Word	Khmer-km	Valence	Arousal	Dominance
actual	ជាក់ស្តែង	0.729	0.400	0.716
actuality	ជាក់ស្តែង	0.750	0.464	0.600
actuary	ឥន្ទធនូ	0.510	0.404	0.491
acuity	ស្រួច	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	ការចាក់ម្ជុលវិទ្យាសាស្ត្រ	0.531	0.324	0.549
acute	ស្រួច	0.427	0.652	0.534
acutely	ធ្ងន់ធ្ងរ	0.417	0.543	0.491
ad	ពាណិជ្ជកម្ម	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	ឆើតឆាយ	0.344	0.529	0.575
adapt	សម្របខ្លួន	0.740	0.355	0.551
adaptable	អាដាប់ធ័រ	0.735	0.423	0.641
adaptation	ការបន្សាំ	0.663	0.365	0.609
add	បន្ថែម	0.728	0.490	0.554
added	បានបន្ថែម	0.562	0.405	0.509
addendum	បន្ថែម	0.392	0.370	0.418
adder	បន្ថែម	0.388	0.461	0.588
addict	ញៀន	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	ញៀន	0.180	0.806	0.420
addictive	ញៀន	0.302	0.683	0.472
addition	លើសពីនេះ	0.562	0.373	0.471
additional	បន្ថែម	0.673	0.462	0.526
additive	បន្ថែម	0.561	0.633	0.691
address	អាសយដ្ឋាន	0.650	0.327	0.567
addressee	អ្នកទទួលសំបុត្រ	0.622	0.382	0.538
addresses	អាសយដ្ឋាន	0.510	0.354	0.450
adept	ស្ទាត់ជំនាញ	0.594	0.539	0.789
adequacy	ភាពគ្រប់គ្រាន់	0.615	0.435	0.702
adequate	គ្រប់គ្រាន់	0.854	0.264	0.705
adhere	ប្រកាន់ខ្ជាប់	0.633	0.339	0.554
adherence	ការប្រកាន់ខ្ជាប់	0.760	0.307	0.630
adherent	ប្រកាន់ខ្ជាប់	0.561	0.385	0.555
adhering	ប្រកាន់ខ្ជាប់	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	នៅជិតគ្នា	0.645	0.276	0.536
adjective	adjective	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	ពន្យារពេល	0.385	0.456	0.475
adjournment	ការពន្យារពេល	0.438	0.510	0.370
adjudicate	វិនិច្ឆ័យ	0.559	0.520	0.683
adjudication	ការវិនិច្ឆ័យ	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	លៃតម្រូវ	0.647	0.327	0.638
adjuster	កែសម្រួល	0.510	0.540	0.760
adjustment	ការលៃតម្រូវ	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	គ្រប់គ្រង	0.635	0.425	0.860
administration	រដ្ឋបាល	0.625	0.404	0.786
administrative	រដ្ឋបាល	0.542	0.415	0.579
administrator	អ្នកគ្រប់គ្រង	0.538	0.480	0.902
admirable	គួរឱ្យសរសើរ	0.929	0.600	0.870
admiral	កោតសរសើរ	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	ការកោតសរសើរ	0.969	0.583	0.726
admire	សរសើរ	0.867	0.692	0.704
admired	កោតសរសើរ	0.917	0.560	0.815
admirer	អ្នកកោតសរសើរ	0.796	0.720	0.650
admiring	កោតសរសើរ	0.867	0.578	0.629
admissibility	ការទទួលយក	0.802	0.580	0.602
admissible	អាចទទួលយកបាន	0.780	0.528	0.642
admission	ចូល	0.802	0.415	0.732
admit	សារភាព	0.538	0.423	0.667
admittance	ចូល	0.690	0.451	0.598
admitted	បានសារភាព	0.720	0.490	0.767
admitting	ទទួលស្គាល់	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	ការប្រៀនប្រដៅ	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	វ័យជំទង់	0.487	0.694	0.444
adolescent	ជំទង់	0.781	0.680	0.509
adopt	អនុម័ត	0.694	0.612	0.701
adoption	ការអនុម័ត	0.625	0.566	0.589
adoptive	ការចិញ្ចឹម	0.531	0.469	0.520
adorable	គួរឱ្យស្រឡាញ់	0.969	0.519	0.457
adoration	ការថ្វាយបង្គំ	0.885	0.699	0.708
adore	ចូលចិត្ត	0.854	0.438	0.657
adoring	គោរព	0.885	0.620	0.717
adorn	តាក់តែង	0.910	0.424	0.482
adornment	តុបតែង	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	លះបង់	0.398	0.486	0.230
adult	មនុស្សពេញវ័យ	0.815	0.491	0.787
adulterated	ក្លែងបន្លំ	0.188	0.865	0.370
adulterer	ផិតក្បត់	0.229	0.814	0.407
adultery	ការផិតក្បត់	0.120	0.922	0.510
adulthood	ពេញវ័យ	0.541	0.454	0.652
advance	ជាមុន	0.673	0.472	0.858
advanced	កម្រិតខ្ពស់	0.844	0.623	0.797
advancement	ការអភិវឌ្ឍ	0.776	0.650	0.839
advancing	ទៅមុខ	0.929	0.608	0.812
advantage	អត្ថប្រយោជន៍	0.917	0.548	0.859
advantageous	គុណសម្បត្តិ	0.837	0.640	0.789
advent	វត្តមាន	0.665	0.560	0.627
adventure	ដំណើរផ្សងព្រេង	0.917	0.857	0.710
adventurer	អ្នកផ្សងព្រេង	0.781	0.839	0.868
adventures	ដំណើរផ្សងព្រេង	0.812	0.764	0.749
adventurous	ការផ្សងព្រេង	0.969	0.898	0.722
adversary	សត្រូវ	0.349	0.777	0.457
adverse	អវិជ្ជមាន	0.323	0.610	0.385
adversity	ភាពមិនអនុគ្រោះ	0.276	0.760	0.538
advertise	ផ្សព្វផ្សាយ	0.500	0.529	0.580
advertisement	ការផ្សព្វផ្សាយ	0.600	0.566	0.539
advertising	ការផ្សាយពាណិជ្ជកម្ម	0.622	0.608	0.632
adverts	ផ្សព្វផ្សាយ	0.551	0.500	0.595
advice	ដំបូន្មាន	0.698	0.408	0.688
advisable	គួរ	0.867	0.480	0.510
advise	ផ្តល់ដំបូន្មាន	0.760	0.393	0.705
advised	ណែនាំ	0.823	0.330	0.509
advisement	ជូនដំណឹង	0.698	0.235	0.655
adviser	ទីប្រឹក្សា	0.745	0.362	0.705
advisor	ទីប្រឹក្សា	0.646	0.350	0.689
advisory	ផ្តល់ដំបូន្មាន	0.656	0.429	0.633
advocacy	ការតស៊ូមតិ	0.500	0.646	0.731
advocate	អ្នកតស៊ូមតិ	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	ខ្យល់	0.550	0.500	0.433
aerial	ពីលើអាកាស	0.615	0.461	0.463
aerobics	ហាត់ប្រាណ	0.708	0.771	0.627
aerodrome	អាកាសយាន	0.541	0.740	0.678
aerodynamic	ឌីណា	0.561	0.724	0.728
aerodynamics	ឌីណាមិក	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	យន្តហោះ	0.714	0.642	0.644
aerospace	អាកាស	0.643	0.520	0.779
aesthetic	សាភ័ណភ្ព	0.708	0.442	0.526
aesthetics	សោភ័ណ្ឌ	0.847	0.327	0.549
aetiology	បរិយាកាស	0.480	0.398	0.615
afar	ឆ្ងាយ	0.396	0.373	0.358
affable	ធូរស្រាល	0.704	0.380	0.452
affair	កិច្ចការ	0.520	0.459	0.657
affect	ប៉ះពាល់	0.458	0.569	0.578
affecting	ប៉ះពាល់	0.350	0.574	0.394
affection	ស្នេហា	0.898	0.559	0.696
affectionate	ស្រឡាញ់	0.949	0.422	0.550
affections	ស្នេហា	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	សេចក្តីថ្លែងការណ៍	0.469	0.584	0.526
affiliated	ពាក់ព័ន្ធ	0.673	0.519	0.535
affiliation	សម្ព័ន្ធ	0.615	0.594	0.500
affinity	ភាពដូចគ្នា	0.800	0.500	0.537
affirm	បញ្ជាក់	0.745	0.509	0.731
affirmation	ការអះអាង	0.750	0.500	0.689
affirmative	វិជ្ជមាន	0.854	0.589	0.816
affirmatively	បញ្ជាក់	0.908	0.500	0.811
affix	ភ្ជាប់	0.438	0.335	0.411
afflict	រងទុក្ខ	0.302	0.555	0.293
afflicted	រងទុក្ខ	0.271	0.500	0.167
affliction	ទុក្ខវេទនា	0.294	0.635	0.392
affluence	សម្បូរបែប	0.663	0.618	0.722
affluent	សម្បូរបែប	0.756	0.388	0.477
afford	លទ្ធភាព	0.571	0.580	0.575
affordable	មានតំលៃសមរម្យ	0.840	0.398	0.493
affront	ការប្រមាថ	0.327	0.740	0.547
affronted	មើលងាយ	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	ភ្លើង	0.367	0.904	0.675
afloat	លិចលង់	0.602	0.427	0.444
afore	ពីមុន	0.500	0.337	0.382
aforementioned	បានបញ្ជាក់	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	ភ័យខ្លាច	0.010	0.775	0.245
afresh	ថ្មី	0.643	0.521	0.480
african	អាហ្វ្រិក	0.490	0.423	0.555
aft	ខាងឆ្វេង	0.480	0.417	0.518
afterlife	afterlife	0.571	0.567	0.568
aftermath	បន្ទាប់ពី	0.312	0.449	0.444
afternoon	រសៀល	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	រសាយ	0.354	0.362	0.455
afterthought	គិតទុកជាមុន	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	អាហ្គេប	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	អាយុ	0.561	0.226	0.498
aged	អាយុ	0.135	0.365	0.236
agency	ភ្នាក់ងារ	0.460	0.296	0.583
agenda	របៀបវារៈ	0.531	0.296	0.553
agent	ភ្នាក់ងារ	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	aggravate	0.224	0.770	0.464
aggravated	aggravated	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	aggravating	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	សរុប	0.730	0.378	0.556
aggregation	សរុប	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ការឈ្លានពាន	0.094	0.929	0.533
aggressive	ឈ្លានពាន	0.125	0.949	0.648
aggressively	យ៉ាងខ្លាំង	0.250	0.926	0.688
aggressiveness	ឈ្លានពាន	0.077	0.913	0.648
aggressor	អ្នកឈ្លានពាន	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	អាឡោះអាល័យ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	រហ័សរហួន	0.720	0.702	0.815
aging	វ័យចំណាស់	0.214	0.255	0.284
agitate	ស្ទាក់ស្ទើរ	0.300	0.796	0.593
agitated	ញ័រ	0.444	0.882	0.491
agitation	ការរំជើបរំជួល	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	មិនដឹងខ្លួន	0.306	0.396	0.574
ago	ពីមុន	0.317	0.280	0.404
agonizing	ឈឺចាប់	0.083	0.800	0.340
agony	ឈឺចាប់	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	យល់ស្រប	0.906	0.260	0.545
agreeable	គួរសម	0.906	0.500	0.696
agreed	បានយល់ស្រប	0.797	0.449	0.574
agreeing	យល់ព្រម	0.854	0.480	0.557
agreement	កិច្ចព្រមព្រៀង	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	កសិកម្ម	0.686	0.321	0.473
agriculture	កសិកម្ម	0.640	0.357	0.465
aground	ខ្ទេចខ្ទី	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	នៅពេល​ខាងមុខ	0.708	0.520	0.673
ahhh	មែន	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	អូយ	0.500	0.497	0.380
aid	ជំនួយ	0.796	0.491	0.541
aide	អ្នកជំនួយ	0.724	0.342	0.434
aiding	ជួយ	0.643	0.533	0.569
aids	ជំនួយ	0.561	0.480	0.500
ail	អូយ	0.375	0.434	0.385
ailing	ឈឺចាប់	0.094	0.518	0.153
ailment	ជំងឺ	0.146	0.734	0.277
aim	បំណង	0.481	0.569	0.567
aimless	គ្មានគោលដៅ	0.150	0.267	0.183
air	ខ្យល់	0.708	0.163	0.427
airbag	ពោងសុវត្ថិភាព	0.510	0.402	0.433
airborne	អាកាស	0.542	0.519	0.385
aircraft	យន្តហោះ	0.646	0.644	0.691
aircraft carrier	នាវាផ្ទុកយន្តហោះ	0.490	0.740	0.727
airfield	វាលយន្តហោះ	0.601	0.650	0.645
airhead	ក្បាលខ្យល់អាកាស	0.271	0.481	0.276
airlift	យន្តហោះ	0.573	0.622	0.642
airline	ក្រុមហ៊ុនអាកាសចរណ៍	0.650	0.482	0.688
airliner	យន្តហោះ	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	អាកាសយានិក	0.587	0.716	0.721
airplane	យន្តហោះ	0.719	0.702	0.708
airport	ព្រ​លាន​យន្តហោះ	0.729	0.684	0.682
airs	ខ្យល់	0.583	0.196	0.370
airship	ខ្យល់	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	ផ្លូវដង្ហើម	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	អាកា	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	សំឡេងរោទ៍	0.241	0.882	0.698
alarm clock	ម៉ោង​រោ​ទិ៍	0.542	0.727	0.642
alarmed	រំខាន	0.188	0.822	0.492
alarming	គួរឱ្យព្រួយបារម្ភ	0.204	0.890	0.585
alas	សើច	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	អាល់ប៊ុម	0.635	0.349	0.453
alchemy	ក្លែងក្លាយ	0.541	0.583	0.693
alcohol	អាល់កុល	0.323	0.667	0.377
alcoholic	គ្រឿងស្រវឹង	0.153	0.688	0.361
alcoholism	ការញៀនស្រា	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ប្រុងប្រយ័ត្ន	0.479	0.820	0.648
alertness	ការប្រុងប្រយ័ត្ន	0.375	0.875	0.750
alerts	ការជូនដំណឹង	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	ពិជគណិត	0.440	0.340	0.565
algebraic	ពិជគណិត	0.531	0.412	0.441
algorithm	ក្បួនដោះស្រាយ	0.448	0.394	0.559
alias	ឈ្មោះក្លែងក្លាយ	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	ចម្លែក	0.410	0.615	0.491
alienate	ឃ្លាតឆ្ងាយ	0.247	0.500	0.523
alienated	ឃ្លាតឆ្ងាយ	0.410	0.423	0.559
alienation	alienation	0.378	0.530	0.462
alight	ភ្លាត់	0.667	0.657	0.605
align	តម្រឹម	0.656	0.364	0.627
aligned	តម្រឹម	0.583	0.275	0.553
alignment	តម្រឹម	0.643	0.412	0.683
alike	ដូចគ្នា	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	រស់	0.816	0.637	0.731
alkali	អាល់កាឡាំង	0.490	0.350	0.408
alkaloids	អាល់កាឡូអ៊ីត	0.433	0.562	0.402
allay	លា	0.417	0.406	0.398
allegation	ចោទ	0.578	0.578	0.608
allege	ចោទប្រកាន់	0.418	0.482	0.587
alleged	ចោទ	0.365	0.522	0.520
allegiance	ភក្តីភាព	0.917	0.398	0.750
allegorical	និមិត្តសញ្ញា	0.517	0.558	0.598
allegory	និមិត្តសញ្ញា	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	អាឡែស៊ី	0.135	0.549	0.273
allergy	ប្រតិកម្ម	0.296	0.606	0.389
alleviate	កាត់បន្ថយ	0.869	0.270	0.528
alleviation	កាត់បន្ថយ	0.735	0.200	0.491
alley	ខ្សែក	0.347	0.500	0.355
alleyway	ច្រកផ្លូវ	0.357	0.471	0.382
alliance	សម្ព័ន្ធភាព	0.696	0.473	0.769
allied	សម្ព័ន្ធមិត្ត	0.714	0.245	0.642
alligator	ក្រពើ	0.354	0.704	0.645
allocate	បម្រុងទុក	0.673	0.462	0.672
allocation	ការបែងចែក	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	ចំនែក	0.600	0.390	0.640
allow	អនុញ្ញាត	0.698	0.429	0.538
allowable	អនុញ្ញាត	0.698	0.500	0.561
allowance	ប្រាក់ឧបត្ថម្ភ	0.673	0.382	0.591
allowed	អនុញ្ញាត	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ទាក់ទាញ	0.804	0.585	0.686
alluring	ទាក់ទាញ	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	សម្ព័ន្ធមិត្ត	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	មានអំណាចខ្លាំងក្លា	0.938	0.874	0.958
almond	អាល់ម៉ុង	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	តែម្នាក់ឯង	0.333	0.167	0.216
alongside	ជាមួយ	0.458	0.333	0.347
