Word	Nyanja (Chichewa)-ny	Valence	Arousal	Dominance
ache	ache	0.146	0.760	0.312
achieve	kukwaniritsa	0.816	0.545	0.843
achieved	zatheka	0.896	0.519	0.775
achievement	kupambana	0.896	0.808	0.759
aching	kupuma	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asidi	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	kuvomereza	0.786	0.370	0.661
acknowledged	adavomereza	0.714	0.443	0.765
acknowledgement	kuvomereza	0.819	0.539	0.830
acknowledgment	kuvomereza	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	ziphuphu	0.167	0.474	0.308
acorn	chikondwerero	0.448	0.198	0.192
acoustic	zokondweretsa	0.542	0.462	0.536
acoustics	zojambula	0.611	0.330	0.509
acquaint	mumadziwana	0.646	0.491	0.639
acquaintance	chidziwitso	0.656	0.290	0.670
acquainted	wodziwa bwino	0.906	0.358	0.632
acquiescence	kuvomereza	0.542	0.480	0.554
acquire	kupeza	0.833	0.468	0.700
acquiring	kupeza	0.735	0.510	0.817
acquisition	kupeza	0.698	0.509	0.736
acquisitions	kupeza	0.773	0.660	0.790
acquit	pezani	0.583	0.571	0.611
acquittal	kumasula	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	zovuta	0.741	0.450	0.528
acres	maekala	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	chitani	0.656	0.704	0.735
acting	kuchita	0.698	0.643	0.500
action	zochita	0.760	0.898	0.802
action figure	chiwerengero chachithunzi	0.615	0.774	0.611
actionable	kuchita	0.673	0.702	0.613
activate	yambani	0.764	0.650	0.806
activation	kutsegulira	0.781	0.800	0.754
active	yogwira ntchito	0.847	0.730	0.731
activist	wotsutsa	0.531	0.653	0.877
activity	ntchito	0.701	0.660	0.807
actor	wojambula	0.653	0.561	0.629
actress	wojambula	0.633	0.556	0.596
actual	zenizeni	0.729	0.400	0.716
actuality	zenizeni	0.750	0.464	0.600
actuary	zochitika	0.510	0.404	0.491
acuity	chibwibwi	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	kuwombera	0.531	0.324	0.549
acute	zovuta	0.427	0.652	0.534
acutely	mwachangu	0.417	0.543	0.491
ad	malonda	0.521	0.705	0.558
adage	malingaliro	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	sintha	0.740	0.355	0.551
adaptable	zosinthika	0.735	0.423	0.641
adaptation	kusintha	0.663	0.365	0.609
add	onjezerani	0.728	0.490	0.554
added	adawonjezeredwa	0.562	0.405	0.509
addendum	wonjezerani	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	chizoloŵezi	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	kuledzera	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	kuwonjezera	0.562	0.373	0.471
additional	zina	0.673	0.462	0.526
additive	zowonjezera	0.561	0.633	0.691
address	adilesi	0.650	0.327	0.567
addressee	wothandizira	0.622	0.382	0.538
addresses	maadiresi	0.510	0.354	0.450
adept	wodalirika	0.594	0.539	0.789
adequacy	kukwanira	0.615	0.435	0.702
adequate	zokwanira	0.854	0.264	0.705
adhere	kumamatira	0.633	0.339	0.554
adherence	kutsatira	0.760	0.307	0.630
adherent	omvera	0.561	0.385	0.555
adhering	kumamatira	0.612	0.561	0.537
adhesion	kulumikiza	0.521	0.445	0.586
adhesive	zomatira	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	zapafupi	0.365	0.417	0.375
adjacent	pafupi	0.645	0.276	0.536
adjective	chiganizo	0.570	0.316	0.569
adjoining	kuphatikizapo	0.520	0.400	0.393
adjourn	bwererani	0.385	0.456	0.475
adjournment	kubwereza	0.438	0.510	0.370
adjudicate	akutsutsa	0.559	0.520	0.683
adjudication	chigamulo	0.551	0.462	0.691
adjunct	yambani	0.459	0.440	0.426
adjust	kusintha	0.647	0.327	0.638
adjuster	sinthani	0.510	0.540	0.760
adjustment	kusintha	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	perekani	0.635	0.425	0.860
administration	ulamuliro	0.625	0.404	0.786
administrative	ulamuliro	0.542	0.415	0.579
administrator	mtsogoleri	0.538	0.480	0.902
admirable	zosangalatsa	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	kuyamikira	0.969	0.583	0.726
admire	ayamikireni	0.867	0.692	0.704
admired	amavomereza	0.917	0.560	0.815
admirer	kuyamikira	0.796	0.720	0.650
admiring	kuyamikira	0.867	0.578	0.629
admissibility	kulandira	0.802	0.580	0.602
admissible	amavomerezedwa	0.780	0.528	0.642
admission	kuvomereza	0.802	0.415	0.732
admit	kuvomereza	0.538	0.423	0.667
admittance	kuvomereza	0.690	0.451	0.598
admitted	avomerezedwa	0.720	0.490	0.767
admitting	kuvomereza	0.620	0.500	0.546
admixture	kusakanizikana	0.450	0.375	0.438
admonition	malangizo	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	unyamata	0.487	0.694	0.444
adolescent	wachinyamata	0.781	0.680	0.509
adopt	kuthandizira	0.694	0.612	0.701
adoption	kukhazikitsidwa	0.625	0.566	0.589
adoptive	olandira	0.531	0.469	0.520
adorable	zosangalatsa	0.969	0.519	0.457
adoration	kupembedza	0.885	0.699	0.708
adore	kondani	0.854	0.438	0.657
adoring	kumvetsera	0.885	0.620	0.717
adorn	zokongoletsa	0.910	0.424	0.482
adornment	zokongoletsera	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	wamkulu	0.815	0.491	0.787
adulterated	akuphwanyidwa	0.188	0.865	0.370
adulterer	wachigololo	0.229	0.814	0.407
adultery	chigololo	0.120	0.922	0.510
adulthood	wachikulire	0.541	0.454	0.652
advance	kupita patsogolo	0.673	0.472	0.858
advanced	wapita patsogolo	0.844	0.623	0.797
advancement	kupita patsogolo	0.776	0.650	0.839
advancing	kupita patsogolo	0.929	0.608	0.812
advantage	zopindulitsa	0.917	0.548	0.859
advantageous	zopindulitsa	0.837	0.640	0.789
advent	kubwera	0.665	0.560	0.627
adventure	ulendo	0.917	0.857	0.710
adventurer	wopita	0.781	0.839	0.868
adventures	masewera	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	mdani	0.349	0.777	0.457
adverse	zovuta	0.323	0.610	0.385
adversity	mavuto	0.276	0.760	0.538
advertise	lengezani	0.500	0.529	0.580
advertisement	malonda	0.600	0.566	0.539
advertising	malonda	0.622	0.608	0.632
adverts	malonda	0.551	0.500	0.595
advice	malangizo	0.698	0.408	0.688
advisable	ndibwino	0.867	0.480	0.510
advise	kulangiza	0.760	0.393	0.705
advised	adalangizidwa	0.823	0.330	0.509
advisement	Langizani	0.698	0.235	0.655
adviser	mlangizi	0.745	0.362	0.705
advisor	mlangizi	0.646	0.350	0.689
advisory	uphungu	0.656	0.429	0.633
advocacy	kulengeza	0.500	0.646	0.731
advocate	wolimbikitsa	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	mlengalenga	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	kutentha kwapadera	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	zozizwitsa	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	ndege	0.714	0.642	0.644
aerospace	malo osungirako zinthu	0.643	0.520	0.779
aesthetic	zokongoletsa	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	Etiology	0.480	0.398	0.615
afar	kutali	0.396	0.373	0.358
affable	zosokonezeka	0.704	0.380	0.452
affair	nkhani	0.520	0.459	0.657
affect	zimakhudza	0.458	0.569	0.578
affecting	zomwe zimakhudza	0.350	0.574	0.394
affection	chikondi	0.898	0.559	0.696
affectionate	wachikondi	0.949	0.422	0.550
affections	chikondi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	zovomerezeka	0.469	0.584	0.526
affiliated	ogwirizana	0.673	0.519	0.535
affiliation	kuyanjana	0.615	0.594	0.500
affinity	chiyanjano	0.800	0.500	0.537
affirm	kutsimikiza	0.745	0.509	0.731
affirmation	kutsimikiziridwa	0.750	0.500	0.689
affirmative	zovomerezeka	0.854	0.589	0.816
affirmatively	kutsimikizira	0.908	0.500	0.811
affix	yikani	0.438	0.335	0.411
afflict	kuzunzika	0.302	0.555	0.293
afflicted	ozunzika	0.271	0.500	0.167
affliction	nsautso	0.294	0.635	0.392
affluence	chuma	0.663	0.618	0.722
affluent	olemera	0.756	0.388	0.477
afford	kukwanitsa	0.571	0.580	0.575
affordable	zotsika mtengo	0.840	0.398	0.493
affront	chisokonezo	0.327	0.740	0.547
affronted	kukangana	0.385	0.750	0.527
afield	malo	0.594	0.370	0.373
afire	moto	0.367	0.904	0.675
afloat	kutentha	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	zomwe tatchulazi	0.490	0.316	0.408
aforesaid	zomwe tatchulazi	0.531	0.358	0.478
afraid	mantha	0.010	0.775	0.245
afresh	mwatsopano	0.643	0.521	0.480
african	African	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	pambuyo pa moyo	0.571	0.567	0.568
aftermath	pambuyo	0.312	0.449	0.444
afternoon	madzulo	0.533	0.388	0.339
aftershave	pambuyo	0.406	0.384	0.415
aftertaste	pambuyo pake	0.354	0.362	0.455
afterthought	pambuyo pake	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	zaka	0.561	0.226	0.498
aged	okalamba	0.135	0.365	0.236
agency	bungwe	0.460	0.296	0.583
agenda	zochitika	0.531	0.296	0.553
agent	wothandizira	0.480	0.439	0.755
agglomeration	chiwonongeko	0.450	0.765	0.509
aggravate	kukulitsa	0.224	0.770	0.464
aggravated	kuwonjezereka	0.079	0.760	0.430
aggravates	zimakula	0.108	0.778	0.357
aggravating	kukulirakulira	0.257	0.794	0.640
aggravation	zovuta	0.071	0.784	0.613
aggregate	kuphatikiza	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	nkhanza	0.094	0.929	0.533
aggressive	nkhanza	0.125	0.949	0.648
aggressively	mwaukali	0.250	0.926	0.688
aggressiveness	nkhanza	0.077	0.913	0.648
aggressor	nkhanza	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	zovuta	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	zovuta	0.800	0.657	0.775
agility	mphamvu	0.720	0.702	0.815
aging	kukalamba	0.214	0.255	0.284
agitate	sungani	0.300	0.796	0.593
agitated	adagwedezeka	0.444	0.882	0.491
agitation	kusokonezeka	0.240	0.931	0.447
aglow	kuyaka	0.780	0.510	0.797
agnostic	osakhulupirira	0.306	0.396	0.574
ago	kale	0.317	0.280	0.404
agonizing	zowawa	0.083	0.800	0.340
agony	zowawa	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	kuvomereza	0.906	0.260	0.545
agreeable	zovomerezeka	0.906	0.500	0.696
agreed	adagwirizana	0.797	0.449	0.574
agreeing	kuvomereza	0.854	0.480	0.557
agreement	mgwirizano	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ulimi	0.686	0.321	0.473
agriculture	ulimi	0.640	0.357	0.465
aground	pansi	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	patsogolo	0.708	0.520	0.673
ahhh	ah	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	thandizo	0.796	0.491	0.541
aide	thandizo	0.724	0.342	0.434
aiding	kuthandiza	0.643	0.533	0.569
aids	zothandizira	0.561	0.480	0.500
ail	chosowa	0.375	0.434	0.385
ailing	odwala	0.094	0.518	0.153
ailment	matenda	0.146	0.734	0.277
aim	cholinga	0.481	0.569	0.567
aimless	zopanda pake	0.150	0.267	0.183
air	mpweya	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	amachoka	0.542	0.519	0.385
aircraft	ndege	0.646	0.644	0.691
aircraft carrier	woyendetsa ndege	0.490	0.740	0.727
airfield	ndege	0.601	0.650	0.645
airhead	mutu wamutu	0.271	0.481	0.276
airlift	ndege	0.573	0.622	0.642
airline	ndege	0.650	0.482	0.688
airliner	ndege	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ndege	0.719	0.702	0.708
airport	ndege	0.729	0.684	0.682
airs	mpweya	0.583	0.196	0.370
airship	ndege	0.542	0.472	0.529
airspace	mpweya	0.562	0.510	0.640
airspeed	mpweya	0.583	0.780	0.544
airstrip	bwalo la ndege	0.550	0.690	0.649
airtight	osagwedezeka	0.479	0.381	0.570
airway	ulendo wapansi	0.638	0.585	0.482
aisle	modutsa	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	mofananira	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alamu	0.241	0.882	0.698
alarm clock	ola	0.542	0.727	0.642
alarmed	mantha	0.188	0.822	0.492
alarming	zochititsa mantha	0.204	0.890	0.585
alas	tsoka	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	mowa	0.323	0.667	0.377
alcoholic	mowa	0.153	0.688	0.361
alcoholism	uchidakwa	0.061	0.779	0.407
alcove	mowa	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	tcheru	0.479	0.820	0.648
alertness	tcheru	0.375	0.875	0.750
alerts	machenjezo	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	mlendo	0.410	0.615	0.491
alienate	kuchotsa	0.247	0.500	0.523
alienated	osiyana	0.410	0.423	0.559
alienation	kuchoka	0.378	0.530	0.462
alight	mwatsatanetsatane	0.667	0.657	0.605
align	yanizani	0.656	0.364	0.627
aligned	zigwirizana	0.583	0.275	0.553
alignment	kulumikizana	0.643	0.412	0.683
alike	chimodzimodzi	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	wamoyo	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	yang'anani	0.417	0.406	0.398
allegation	zifukwa	0.578	0.578	0.608
allege	kunena	0.418	0.482	0.587
alleged	akuti	0.365	0.522	0.520
allegiance	kukhulupirika	0.917	0.398	0.750
allegorical	zophiphiritsira	0.517	0.558	0.598
allegory	zolemba	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	zosokonezeka	0.135	0.549	0.273
allergy	zovuta	0.296	0.606	0.389
alleviate	kuchepetsa	0.869	0.270	0.528
alleviation	kuchepetsa	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	msewu	0.357	0.471	0.382
alliance	mgwirizano	0.696	0.473	0.769
allied	allied	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	allocate	0.673	0.462	0.672
allocation	kugawa	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	gawo	0.600	0.390	0.640
allow	lolani	0.698	0.429	0.538
allowable	zovomerezeka	0.698	0.500	0.561
allowance	malipiro	0.673	0.382	0.591
allowed	analoledwa	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	kukopa	0.804	0.585	0.686
alluring	kukonda	0.837	0.745	0.843
allusion	kutchulidwa	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	mgwirizano	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	wamphamvuyonse	0.938	0.874	0.958
almond	amondi	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	nokha	0.333	0.167	0.216
alongside	limodzi	0.458	0.333	0.347
aloof	lokha	0.189	0.423	0.302
aloud	mokweza	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	zilembo	0.562	0.204	0.672
alphabetical	zojambulajambula	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	kale kale	0.592	0.717	0.351
altar	guwa	0.724	0.387	0.635
altar boy	mnyamata wamchere	0.434	0.206	0.350
alter	kusintha	0.333	0.694	0.654
alteration	kusintha	0.167	0.798	0.609
altercation	kusinthika	0.170	0.806	0.500
altered	anasintha	0.255	0.765	0.500
alternate	zina	0.625	0.363	0.589
alternating	kusinthana	0.480	0.494	0.542
alternative	njira zina	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	pamwamba	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	zonse	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	zovunda	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	mgwirizano	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	zodabwitsa	0.896	0.843	0.783
amazed	kudabwa	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	kudabwa	0.750	0.800	0.639
amazing	zodabwitsa	0.906	0.837	0.849
amazingly	zodabwitsa	0.918	0.765	0.920
ambassador	nthumwi	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	zozungulira	0.625	0.360	0.582
ambiguity	kusamvana	0.164	0.460	0.370
ambiguous	zosamveka	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	chilakolako	0.510	0.804	0.661
ambitious	zofuna	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulansi	0.500	0.750	0.609
ambush	akubisala	0.281	0.830	0.500
ameliorate	kumvetsetsa	0.770	0.548	0.747
amen	ameni	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	kusintha	0.688	0.406	0.658
amendment	kusintha	0.531	0.459	0.606
amends	amasintha	0.640	0.366	0.517
amenity	zabwino	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	wokondeka	0.847	0.290	0.483
amicable	zokondweretsa	0.875	0.330	0.507
amid	pakati	0.510	0.340	0.256
amidst	pakati	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	zida	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	chikhululuko	0.551	0.451	0.814
amorous	okonda	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	kubwezera	0.592	0.491	0.522
amount	kuchuluka	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	masewera	0.653	0.480	0.545
ample	zokwanira	0.744	0.349	0.719
amplification	kukweza	0.690	0.677	0.810
amplify	kukulitsa	0.677	0.735	0.827
amplitude	matalikidwe	0.694	0.439	0.692
amply	mokwanira	0.781	0.431	0.766
amputate	bweza	0.092	0.660	0.509
amputation	kuchotsa	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	kondwerani	0.812	0.684	0.664
amused	amanyansidwa	0.942	0.847	0.596
amusement	zosangalatsa	0.929	0.837	0.803
amusing	kusangalatsa	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
