Word	Sesotho-st	Valence	Arousal	Dominance
adept	e ntle	0.594	0.539	0.789
adequacy	ho lekana	0.615	0.435	0.702
adequate	e lekaneng	0.854	0.264	0.705
adhere	khomarela	0.633	0.339	0.554
adherence	ho khomarela	0.760	0.307	0.630
adherent	ho lumellana	0.561	0.385	0.555
adhering	ho khomarela	0.612	0.561	0.537
adhesion	ho khomarela	0.521	0.445	0.586
adhesive	ho khomarela	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	haufi	0.365	0.417	0.375
adjacent	haufi	0.645	0.276	0.536
adjective	sefetoleli	0.570	0.316	0.569
adjoining	e kopanetsoeng	0.520	0.400	0.393
adjourn	tlohela	0.385	0.456	0.475
adjournment	ho khutlela morao	0.438	0.510	0.370
adjudicate	ho nyatsa	0.559	0.520	0.683
adjudication	ho qosoa	0.551	0.462	0.691
adjunct	ho kopa	0.459	0.440	0.426
adjust	fetola	0.647	0.327	0.638
adjuster	fetola	0.510	0.540	0.760
adjustment	phetoho	0.590	0.520	0.661
adjuvant	sehlahlo	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	tsamaisa	0.635	0.425	0.860
administration	tsamaiso	0.625	0.404	0.786
administrative	tsamaiso	0.542	0.415	0.579
administrator	mookameli	0.538	0.480	0.902
admirable	e babatsehang	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	tlhompho	0.969	0.583	0.726
admire	khahloa	0.867	0.692	0.704
admired	khahloa	0.917	0.560	0.815
admirer	lumela	0.796	0.720	0.650
admiring	ho lumela	0.867	0.578	0.629
admissibility	ho amoheleha	0.802	0.580	0.602
admissible	e amoheleha	0.780	0.528	0.642
admission	kamohelo	0.802	0.415	0.732
admit	lumela	0.538	0.423	0.667
admittance	ho amohela	0.690	0.451	0.598
admitted	a lumela	0.720	0.490	0.767
admitting	ho lumela	0.620	0.500	0.546
admixture	ho kenyelletsoa	0.450	0.375	0.438
admonition	keletso	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	bocha	0.487	0.694	0.444
adolescent	mocha	0.781	0.680	0.509
adopt	amohela	0.694	0.612	0.701
adoption	ho amoheloa	0.625	0.566	0.589
adoptive	e amohelehang	0.531	0.469	0.520
adorable	e ratehang	0.969	0.519	0.457
adoration	khumamelo	0.885	0.699	0.708
adore	rata	0.854	0.438	0.657
adoring	ho rata	0.885	0.620	0.717
adorn	mokhabiso	0.910	0.424	0.482
adornment	mokhabiso	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	ho ba teng	0.398	0.486	0.230
adult	e moholo	0.815	0.491	0.787
adulterated	ba silafalitsoe	0.188	0.865	0.370
adulterer	sefebi	0.229	0.814	0.407
adultery	bofebe	0.120	0.922	0.510
adulthood	motho e moholo	0.541	0.454	0.652
advance	e tsoele pele	0.673	0.472	0.858
advanced	e tsoetseng pele	0.844	0.623	0.797
advancement	tsoelo-pele	0.776	0.650	0.839
advancing	ho hatela pele	0.929	0.608	0.812
advantage	molemo	0.917	0.548	0.859
advantageous	e molemo	0.837	0.640	0.789
advent	ho tla	0.665	0.560	0.627
adventure	ho ithabisa	0.917	0.857	0.710
adventurer	setsebi	0.781	0.839	0.868
adventures	li-adventures	0.812	0.764	0.749
adventurous	ba ratang	0.969	0.898	0.722
adversary	mohanyetsi	0.349	0.777	0.457
adverse	e mpe	0.323	0.610	0.385
adversity	mahlomola	0.276	0.760	0.538
advertise	phatlalatsa	0.500	0.529	0.580
advertisement	papatso	0.600	0.566	0.539
advertising	papatso	0.622	0.608	0.632
adverts	lipapatso	0.551	0.500	0.595
advice	keletso	0.698	0.408	0.688
advisable	e le bohlale	0.867	0.480	0.510
advise	eletsa	0.760	0.393	0.705
advised	e eletsoa	0.823	0.330	0.509
advisement	eletsa	0.698	0.235	0.655
adviser	moeletsi	0.745	0.362	0.705
advisor	moeletsi	0.646	0.350	0.689
advisory	keletso	0.656	0.429	0.633
advocacy	bobuelli	0.500	0.646	0.731
advocate	moemeli	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	sefofane	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	sefofane sa maoto	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	sefofane	0.714	0.642	0.644
aerospace	sebaka sa marulelo	0.643	0.520	0.779
aesthetic	boitlhahiso	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	etiology	0.480	0.398	0.615
afar	hole	0.396	0.373	0.358
affable	e senyeha	0.704	0.380	0.452
affair	taba	0.520	0.459	0.657
affect	e ama	0.458	0.569	0.578
affecting	e amang	0.350	0.574	0.394
affection	lerato	0.898	0.559	0.696
affectionate	lerato	0.949	0.422	0.550
affections	litakatso	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	bopaki	0.469	0.584	0.526
affiliated	ba kopantsoe	0.673	0.519	0.535
affiliation	ho ba le setsoalle	0.615	0.594	0.500
affinity	bonngoe	0.800	0.500	0.537
affirm	netefatsa	0.745	0.509	0.731
affirmation	tiiso	0.750	0.500	0.689
affirmative	ho tiisa	0.854	0.589	0.816
affirmatively	ho tiisa	0.908	0.500	0.811
affix	khaola	0.438	0.335	0.411
afflict	utloisa bohloko	0.302	0.555	0.293
afflicted	ba mahlomoleng	0.271	0.500	0.167
affliction	mahlomola	0.294	0.635	0.392
affluence	maruo	0.663	0.618	0.722
affluent	ba ruileng	0.756	0.388	0.477
afford	ho lefa	0.571	0.580	0.575
affordable	theko e tlaase	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	ho hlaseloa	0.385	0.750	0.527
afield	sebakeng seo	0.594	0.370	0.373
afire	shoa	0.367	0.904	0.675
afloat	a phatloha	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	e boletsoeng ka holimo	0.490	0.316	0.408
aforesaid	e boletsoeng ka holimo	0.531	0.358	0.478
afraid	tšaba	0.010	0.775	0.245
afresh	khafetsa	0.643	0.521	0.480
african	Afrika	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	ka mor'a lefu	0.571	0.567	0.568
aftermath	ka morao	0.312	0.449	0.444
afternoon	thapama	0.533	0.388	0.339
aftershave	ka morao	0.406	0.384	0.415
aftertaste	kamor'a morao	0.354	0.362	0.455
afterthought	ho latela	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	lilemo	0.561	0.226	0.498
aged	ba tsofetseng	0.135	0.365	0.236
agency	mokhatlo	0.460	0.296	0.583
agenda	ketsahalo	0.531	0.296	0.553
agent	moemeli	0.480	0.439	0.755
agglomeration	ho felisa	0.450	0.765	0.509
aggravate	mpefatsa	0.224	0.770	0.464
aggravated	e mpefalitsoe	0.079	0.760	0.430
aggravates	e mpefatsa	0.108	0.778	0.357
aggravating	ho mpefatsa	0.257	0.794	0.640
aggravation	ho senya	0.071	0.784	0.613
aggregate	kakaretso	0.730	0.378	0.556
aggregation	ho hlophisa	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	pefo	0.094	0.929	0.533
aggressive	e mabifi	0.125	0.949	0.648
aggressively	ka mabifi	0.250	0.926	0.688
aggressiveness	bohale	0.077	0.913	0.648
aggressor	mohatelli	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ho tsuba	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	bokhoni	0.720	0.702	0.815
aging	botsofali	0.214	0.255	0.284
agitate	ferekanya	0.300	0.796	0.593
agitated	ferekane	0.444	0.882	0.491
agitation	pherekano	0.240	0.931	0.447
aglow	hlahisa	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	e fetileng	0.317	0.280	0.404
agonizing	bohloko	0.083	0.800	0.340
agony	bohloko	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	lumellana	0.906	0.260	0.545
agreeable	lumellane	0.906	0.500	0.696
agreed	ba lumellane	0.797	0.449	0.574
agreeing	ho lumellana	0.854	0.480	0.557
agreement	tumellano	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	temo	0.686	0.321	0.473
agriculture	temo	0.640	0.357	0.465
aground	mokoloko	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	pele	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	mooy	0.500	0.497	0.380
aid	thuso	0.796	0.491	0.541
aide	mothusi	0.724	0.342	0.434
aiding	ho thusa	0.643	0.533	0.569
aids	lithuso	0.561	0.480	0.500
ail	ho joalo	0.375	0.434	0.385
ailing	ba kulang	0.094	0.518	0.153
ailment	ho kula	0.146	0.734	0.277
aim	sepheo	0.481	0.569	0.567
aimless	e se nang morero	0.150	0.267	0.183
air	moea	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ho sesa	0.542	0.519	0.385
aircraft	lifofane	0.646	0.644	0.691
aircraft carrier	sephethephethe sa lifofane	0.490	0.740	0.727
airfield	lebala la lifofane	0.601	0.650	0.645
airhead	hlooho ea moea	0.271	0.481	0.276
airlift	sefofane sa lifofane	0.573	0.622	0.642
airline	sefofane sa lifofane	0.650	0.482	0.688
airliner	sefofaneng sa lifofane	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	sefofane	0.587	0.716	0.721
airplane	sefofane	0.719	0.702	0.708
airport	boema-fofane	0.729	0.684	0.682
airs	lifofane	0.583	0.196	0.370
airship	sefofane	0.542	0.472	0.529
airspace	sebaka sa moea	0.562	0.510	0.640
airspeed	lifofane	0.583	0.780	0.544
airstrip	lebala la lifofane	0.550	0.690	0.649
airtight	ho fokola	0.479	0.381	0.570
airway	tsela ea sefofane	0.638	0.585	0.482
aisle	tsela	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	e tšoana le	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alamo	0.241	0.882	0.698
alarm clock	alamo ea alamo	0.542	0.727	0.642
alarmed	ba tšohile	0.188	0.822	0.492
alarming	e tšosang	0.204	0.890	0.585
alas	bohloko	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	joala	0.323	0.667	0.377
alcoholic	joala	0.153	0.688	0.361
alcoholism	tahi ea tahi	0.061	0.779	0.407
alcove	joala	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ela hloko	0.479	0.820	0.648
alertness	hlokolosi	0.375	0.875	0.750
alerts	litlhokomeliso	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	mojaki	0.410	0.615	0.491
alienate	arohana	0.247	0.500	0.523
alienated	ba arohane	0.410	0.423	0.559
alienation	ho arohana	0.378	0.530	0.462
alight	e fele	0.667	0.657	0.605
align	lumellana	0.656	0.364	0.627
aligned	e lumellane	0.583	0.275	0.553
alignment	alignment	0.643	0.412	0.683
alike	ka tsela e tšoanang	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	e phela	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	khaola	0.417	0.406	0.398
allegation	nyeoe	0.578	0.578	0.608
allege	bolela	0.418	0.482	0.587
alleged	ho thoe	0.365	0.522	0.520
allegiance	botšepehi	0.917	0.398	0.750
allegorical	litšoantšiso	0.517	0.558	0.598
allegory	litšoantšo	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	ho hlasela	0.135	0.549	0.273
allergy	ho fokola	0.296	0.606	0.389
alleviate	fokotsa	0.869	0.270	0.528
alleviation	ho fokotsa	0.735	0.200	0.491
alley	seretse	0.347	0.500	0.355
alleyway	tseleng	0.357	0.471	0.382
alliance	bonngoe	0.696	0.473	0.769
allied	li kopantsoe	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	kabelo	0.673	0.462	0.672
allocation	kabelo	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	kabelo	0.600	0.390	0.640
allow	lumella	0.698	0.429	0.538
allowable	e amohelehang	0.698	0.500	0.561
allowance	kabelo	0.673	0.382	0.591
allowed	e lumeletsoe	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ho kheloha	0.804	0.585	0.686
alluring	ho khotsofatsa	0.837	0.745	0.843
allusion	ho bua	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	molekane	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	ea matla 'ohle	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	phahama	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	e le mong	0.333	0.167	0.216
alongside	haufi le	0.458	0.333	0.347
aloof	ho se tsotelle	0.189	0.423	0.302
aloud	holimo	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabeta	0.562	0.204	0.672
alphabetical	litlhaku tsa alfabeta	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	aletareng	0.724	0.387	0.635
altar boy	moshanyana oa aletare	0.434	0.206	0.350
alter	fetola	0.333	0.694	0.654
alteration	phetoho	0.167	0.798	0.609
altercation	phetoho	0.170	0.806	0.500
altered	e fetotsoe	0.255	0.765	0.500
alternate	ngoe	0.625	0.363	0.589
alternating	ho fetoha	0.480	0.494	0.542
alternative	mefuta e meng	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	bophahamong	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	ka ho feletseng	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	holimo	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	hlaka	0.438	0.333	0.510
amalgamation	ho kopana	0.406	0.470	0.531
amaretto	li-amaretto	0.543	0.551	0.375
amass	ema	0.552	0.465	0.465
amateur	ho ts'oara	0.469	0.500	0.409
amaze	makatsoa	0.896	0.843	0.783
amazed	ba makala	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	makatsoa	0.750	0.800	0.639
amazing	e makatsang	0.906	0.837	0.849
amazingly	ho makatsang	0.918	0.765	0.920
ambassador	moemeli	0.651	0.529	0.917
amber	li-amber	0.635	0.308	0.369
ambience	boikutlo	0.735	0.356	0.426
ambient	ho ea holimo	0.625	0.360	0.582
ambiguity	ho hloka kutloisiso	0.164	0.460	0.370
ambiguous	ho sa tsotellehe	0.265	0.462	0.358
ambit	li-ambit	0.479	0.380	0.386
ambition	boikhohomoso	0.510	0.804	0.661
ambitious	ho rata maemo	0.484	0.821	0.717
ambivalent	e ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulense	0.500	0.750	0.609
ambush	ba emetse	0.281	0.830	0.500
ameliorate	hlahisa tlhokomelo	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	e khonehang	0.448	0.410	0.406
amend	fetola	0.688	0.406	0.658
amendment	ho fetoloa	0.531	0.459	0.606
amends	e fetisa	0.640	0.366	0.517
amenity	bonono	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	ea ratehang	0.847	0.290	0.483
amicable	e khahlehang	0.875	0.330	0.507
amid	har'a	0.510	0.340	0.256
amidst	har'a	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	lihlomo	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	tšoarelo ea tšoarelo	0.551	0.451	0.814
amorous	e monate	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	palo	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	li-amphibious	0.479	0.346	0.445
amphitheater	holo ea lipapali	0.653	0.480	0.545
ample	e lekaneng	0.744	0.349	0.719
amplification	ho hōlisa	0.690	0.677	0.810
amplify	eketsa	0.677	0.735	0.827
amplitude	boholo ba tsona	0.694	0.439	0.692
amply	haholo	0.781	0.431	0.766
amputate	khaola	0.092	0.660	0.509
amputation	ho khaola	0.100	0.755	0.483
amuck	e le hantle	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	khahlisa	0.812	0.684	0.664
