Word	Bosnian-bs	Valence	Arousal	Dominance
adieu	adieu	0.250	0.471	0.342
adipose	adipozno	0.333	0.350	0.391
adjacency	susedstvo	0.365	0.417	0.375
adjacent	susedno	0.645	0.276	0.536
adjective	pridjev	0.570	0.316	0.569
adjoining	susedno	0.520	0.400	0.393
adjourn	pauza	0.385	0.456	0.475
adjournment	pauza	0.438	0.510	0.370
adjudicate	presuda	0.559	0.520	0.683
adjudication	presuđivanje	0.551	0.462	0.691
adjunct	dodatak	0.459	0.440	0.426
adjust	prilagodite	0.647	0.327	0.638
adjuster	regulator	0.510	0.540	0.760
adjustment	podešavanje	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administrirati	0.635	0.425	0.860
administration	administracija	0.625	0.404	0.786
administrative	administrativni	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	divno	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralitet	0.594	0.547	0.733
admiration	divljenje	0.969	0.583	0.726
admire	divim se	0.867	0.692	0.704
admired	divio se	0.917	0.560	0.815
admirer	obožavalac	0.796	0.720	0.650
admiring	divio se	0.867	0.578	0.629
admissibility	prihvatljivost	0.802	0.580	0.602
admissible	dopušteno	0.780	0.528	0.642
admission	prijem	0.802	0.415	0.732
admit	priznati	0.538	0.423	0.667
admittance	admitanse	0.690	0.451	0.598
admitted	priznao	0.720	0.490	0.767
admitting	priznaje	0.620	0.500	0.546
admixture	dodatak	0.450	0.375	0.438
admonition	opomena	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescencija	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	usvojiti	0.694	0.612	0.701
adoption	usvajanje	0.625	0.566	0.589
adoptive	usvojitelj	0.531	0.469	0.520
adorable	neobično	0.969	0.519	0.457
adoration	obožavanje	0.885	0.699	0.708
adore	obožavam	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	krasi	0.910	0.424	0.482
adornment	ukras	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	kreće	0.398	0.486	0.230
adult	odrasla osoba	0.815	0.491	0.787
adulterated	preplašen	0.188	0.865	0.370
adulterer	preljubnik	0.229	0.814	0.407
adultery	preljuba	0.120	0.922	0.510
adulthood	odrasli	0.541	0.454	0.652
advance	unaprijed	0.673	0.472	0.858
advanced	napredno	0.844	0.623	0.797
advancement	napredovanje	0.776	0.650	0.839
advancing	napreduje	0.929	0.608	0.812
advantage	prednost	0.917	0.548	0.859
advantageous	povoljno	0.837	0.640	0.789
advent	advent	0.665	0.560	0.627
adventure	avantura	0.917	0.857	0.710
adventurer	avanturista	0.781	0.839	0.868
adventures	avanture	0.812	0.764	0.749
adventurous	avanturistički	0.969	0.898	0.722
adversary	protivnik	0.349	0.777	0.457
adverse	negativno	0.323	0.610	0.385
adversity	nesreća	0.276	0.760	0.538
advertise	reklamirati	0.500	0.529	0.580
advertisement	reklama	0.600	0.566	0.539
advertising	oglašavanje	0.622	0.608	0.632
adverts	reklame	0.551	0.500	0.595
advice	savet	0.698	0.408	0.688
advisable	preporučljivo	0.867	0.480	0.510
advise	savjet	0.760	0.393	0.705
advised	savetuje	0.823	0.330	0.509
advisement	adv	0.698	0.235	0.655
adviser	savjetnik	0.745	0.362	0.705
advisor	savjetnik	0.646	0.350	0.689
advisory	savetodavni	0.656	0.429	0.633
advocacy	zagovaranje	0.500	0.646	0.731
advocate	advokat	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeracija	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobika	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodinamički	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	avion	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	estetski	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologija	0.480	0.398	0.615
afar	daleko	0.396	0.373	0.358
affable	prijatan	0.704	0.380	0.452
affair	afera	0.520	0.459	0.657
affect	utiču	0.458	0.569	0.578
affecting	utiču	0.350	0.574	0.394
affection	naklonost	0.898	0.559	0.696
affectionate	ljubazan	0.949	0.422	0.550
affections	osećanja	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	založno pravo	0.469	0.584	0.526
affiliated	affiliated	0.673	0.519	0.535
affiliation	affiliation	0.615	0.594	0.500
affinity	afinitet	0.800	0.500	0.537
affirm	potvrditi	0.745	0.509	0.731
affirmation	afirmacija	0.750	0.500	0.689
affirmative	afirmativan	0.854	0.589	0.816
affirmatively	afirmativno	0.908	0.500	0.811
affix	staviti	0.438	0.335	0.411
afflict	patiti	0.302	0.555	0.293
afflicted	pogođen	0.271	0.500	0.167
affliction	bolest	0.294	0.635	0.392
affluence	bogatstvo	0.663	0.618	0.722
affluent	bogatiji	0.756	0.388	0.477
afford	priuštiti	0.571	0.580	0.575
affordable	pristupačan	0.840	0.398	0.493
affront	oprosti	0.327	0.740	0.547
affronted	ugroženi	0.385	0.750	0.527
afield	negde	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	na planetu	0.602	0.427	0.444
afore	prethodno	0.500	0.337	0.382
aforementioned	prethodno pomenuto	0.490	0.316	0.408
aforesaid	prethodno	0.531	0.358	0.478
afraid	uplašen	0.010	0.775	0.245
afresh	ponovo	0.643	0.521	0.480
african	afrička	0.490	0.423	0.555
aft	krmeno	0.480	0.417	0.518
afterlife	posle života	0.571	0.567	0.568
aftermath	posledice	0.312	0.449	0.444
afternoon	popodne	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	nakon toga	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	starost	0.561	0.226	0.498
aged	stariji	0.135	0.365	0.236
agency	agencija	0.460	0.296	0.583
agenda	dnevni red	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomeracija	0.450	0.765	0.509
aggravate	otežati	0.224	0.770	0.464
aggravated	otežano	0.079	0.760	0.430
aggravates	otežava	0.108	0.778	0.357
aggravating	otežavajuće	0.257	0.794	0.640
aggravation	pogoršanje	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	agregacija	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresija	0.094	0.929	0.533
aggressive	agresivan	0.125	0.949	0.648
aggressively	agresivno	0.250	0.926	0.688
aggressiveness	agresivnost	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agilno	0.800	0.657	0.775
agility	agilnost	0.720	0.702	0.815
aging	starenje	0.214	0.255	0.284
agitate	agitirati	0.300	0.796	0.593
agitated	uznemiren	0.444	0.882	0.491
agitation	agitiranje	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	pre	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agonija	0.083	0.775	0.393
agoraphobia	agorafobija	0.127	0.712	0.438
agree	slažem se	0.906	0.260	0.545
agreeable	prikladno	0.906	0.500	0.696
agreed	složio se	0.797	0.449	0.574
agreeing	pristajanje	0.854	0.480	0.557
agreement	sporazum	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	poljoprivredni	0.686	0.321	0.473
agriculture	poljoprivreda	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	napred	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	pomoć	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	pomaganje	0.643	0.533	0.569
aids	pomagala	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	bolestan	0.094	0.518	0.153
ailment	bolest	0.146	0.734	0.277
aim	Cilj	0.481	0.569	0.567
aimless	bez cilja	0.150	0.267	0.183
air	zrak	0.708	0.163	0.427
airbag	vazdušni jastuk	0.510	0.402	0.433
airborne	vazdušni	0.542	0.519	0.385
aircraft	avion	0.646	0.644	0.691
aircraft carrier	nosač aviona	0.490	0.740	0.727
airfield	aerodrom	0.601	0.650	0.645
airhead	vazdušni glavom	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	avio-kompanija	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	avion	0.719	0.702	0.708
airport	aerodrom	0.729	0.684	0.682
airs	zraci	0.583	0.196	0.370
airship	zrakoplov	0.542	0.472	0.529
airspace	vazdušni prostor	0.562	0.510	0.640
airspeed	vazdušna brzina	0.583	0.780	0.544
airstrip	pista	0.550	0.690	0.649
airtight	Hermetičan	0.479	0.381	0.570
airway	disajne puteve	0.638	0.585	0.482
aisle	prolaz	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	srodan	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	alarm	0.542	0.727	0.642
alarmed	alarmantan	0.188	0.822	0.492
alarming	alarmantno	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alhemija	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholno	0.153	0.688	0.361
alcoholism	alkoholizam	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	upozorenje	0.479	0.820	0.648
alertness	budnost	0.375	0.875	0.750
alerts	upozorenja	0.337	0.804	0.673
alfalfa	lucerka	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebarski	0.531	0.412	0.441
algorithm	algoritam	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	vanzemaljac	0.410	0.615	0.491
alienate	otuđi	0.247	0.500	0.523
alienated	otuđen	0.410	0.423	0.559
alienation	otuđenje	0.378	0.530	0.462
alight	pali	0.667	0.657	0.605
align	poravnajte	0.656	0.364	0.627
aligned	poravnato	0.583	0.275	0.553
alignment	poravnanje	0.643	0.412	0.683
alike	slično	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimentacija	0.612	0.477	0.464
aliquot	alikvot	0.440	0.310	0.404
alive	živ	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloidi	0.433	0.562	0.402
allay	smirite se	0.417	0.406	0.398
allegation	navod	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	navodno	0.365	0.522	0.520
allegiance	lojalnost	0.917	0.398	0.750
allegorical	alegorijski	0.517	0.558	0.598
allegory	alegorija	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergičan	0.135	0.549	0.273
allergy	alergija	0.296	0.606	0.389
alleviate	ublažiti	0.869	0.270	0.528
alleviation	ublažavanje	0.735	0.200	0.491
alley	ulica	0.347	0.500	0.355
alleyway	ulica	0.357	0.471	0.382
alliance	savez	0.696	0.473	0.769
allied	saveznik	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	dodijeliti	0.673	0.462	0.672
allocation	alokacija	0.604	0.388	0.679
allot	alot	0.622	0.481	0.616
allotment	dodeljivanje	0.600	0.390	0.640
allow	dopustiti	0.698	0.429	0.538
allowable	dozvoljeno	0.698	0.500	0.561
allowance	dodatak	0.673	0.382	0.591
allowed	dozvoljeno	0.730	0.360	0.655
alloy	legura	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	privlačnost	0.804	0.585	0.686
alluring	privlačan	0.837	0.745	0.843
allusion	aluzija	0.440	0.308	0.462
alluvial	aluvijalni	0.323	0.490	0.491
ally	saveznik	0.792	0.320	0.688
almanac	almanah	0.688	0.190	0.412
almighty	Svemoguci	0.938	0.874	0.958
almond	badem	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sam	0.333	0.167	0.216
alongside	pored	0.458	0.333	0.347
aloof	ostani	0.189	0.423	0.302
aloud	naglas	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	abeceda	0.562	0.204	0.672
alphabetical	abecedno	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	oltar	0.724	0.387	0.635
altar boy	oltar dečko	0.434	0.206	0.350
alter	alter	0.333	0.694	0.654
alteration	izmjena	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	izmenjeno	0.255	0.765	0.500
alternate	alternativno	0.625	0.363	0.589
alternating	naizmjenično	0.480	0.494	0.542
alternative	alternativa	0.628	0.373	0.631
altimeter	visinomjer	0.615	0.510	0.580
altitude	nadmorske visine	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	u potpunosti	0.833	0.324	0.644
aluminum	aluminijum	0.449	0.280	0.434
alumnus	učitelj	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamacija	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amater	0.469	0.500	0.409
amaze	Iznenađujuće	0.896	0.843	0.783
amazed	zapanjen	0.796	0.779	0.533
amazedness	upečatljivost	0.827	0.872	0.510
amazement	iznenađenje	0.750	0.800	0.639
amazing	Neverovatno	0.906	0.837	0.849
amazingly	Neverovatno	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambijent	0.735	0.356	0.426
ambient	ambijent	0.625	0.360	0.582
ambiguity	dvosmislenost	0.164	0.460	0.370
ambiguous	dvosmislen	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambicija	0.510	0.804	0.661
ambitious	ambiciozan	0.484	0.821	0.717
ambivalent	ambivalentan	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	hitna pomoć	0.500	0.750	0.609
ambush	zaseda	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	izmijeniti	0.688	0.406	0.658
amendment	amandman	0.531	0.459	0.606
amends	izmeni	0.640	0.366	0.517
amenity	ugodnost	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	ljubazno	0.847	0.290	0.483
amicable	prijateljski	0.875	0.330	0.507
amid	sredinom	0.510	0.340	0.256
amidst	sredinom	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	municija	0.323	0.765	0.621
ammonia	amonijak	0.292	0.587	0.409
ammonium	amonijum	0.354	0.396	0.368
ammunition	municiju	0.338	0.635	0.667
amnesia	amnezija	0.296	0.330	0.308
amnesty	amnestija	0.551	0.451	0.814
amorous	ljubazan	0.844	0.670	0.636
amorphous	amorfna	0.327	0.402	0.349
amortization	amortizacija	0.592	0.491	0.522
amount	iznos	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamini	0.133	0.667	0.526
amphibian	amfibija	0.427	0.357	0.474
amphibious	amfibijski	0.479	0.346	0.445
amphitheater	amfiteatar	0.653	0.480	0.545
ample	dovoljno	0.744	0.349	0.719
amplification	amplifikacija	0.690	0.677	0.810
amplify	pojačati	0.677	0.735	0.827
amplitude	amplituda	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputat	0.092	0.660	0.509
amputation	amputacija	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	zabavite se	0.812	0.684	0.664
amused	zabavno	0.942	0.847	0.596
amusement	zabava	0.929	0.837	0.803
amusing	zabavno	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestezija	0.350	0.217	0.473
anaesthetic	anestezija	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgetik	0.417	0.321	0.441
analogous	analogno	0.531	0.270	0.500
analogue	analogni	0.570	0.320	0.446
analogy	analogija	0.510	0.367	0.509
analysis	analiza	0.729	0.448	0.705
analyst	analitičar	0.604	0.415	0.755
analytic	analitički	0.665	0.521	0.634
analytical	analitički	0.625	0.324	0.800
analyze	analiza	0.667	0.462	0.710
analyzer	analizator	0.625	0.556	0.854
anaphylactic	anafilaktički	0.378	0.588	0.500
anarchism	anarhizam	0.125	0.804	0.623
anarchist	anarhista	0.204	0.700	0.759
anarchy	anarhija	0.146	0.755	0.620
anastomosis	anastomoza	0.375	0.470	0.490
anathema	anatema	0.286	0.490	0.519
anatomic	anatomski	0.562	0.442	0.546
