Word	Javanese-jw	Valence	Arousal	Dominance
adjacency	jejer	0.365	0.417	0.375
adjacent	jejer	0.645	0.276	0.536
adjective	adjective	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	adjourn	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	nyetel	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	imbuhan	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	ngurus	0.635	0.425	0.860
administration	administrasi	0.625	0.404	0.786
administrative	administratif	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	kekarepan	0.969	0.583	0.726
admire	ngujo	0.867	0.692	0.704
admired	admired	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	admiring	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	bisa ditampa	0.780	0.528	0.642
admission	diakoni	0.802	0.415	0.732
admit	ngakoni	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	ngakoni	0.720	0.490	0.767
admitting	ngakoni	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	remaja	0.487	0.694	0.444
adolescent	remaja	0.781	0.680	0.509
adopt	diadopsi	0.694	0.612	0.701
adoption	adopsi	0.625	0.566	0.589
adoptive	adoptive	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	adorasi	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	diwasa	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	jinahe	0.120	0.922	0.510
adulthood	diwasa	0.541	0.454	0.652
advance	advance	0.673	0.472	0.858
advanced	majeng	0.844	0.623	0.797
advancement	advancement	0.776	0.650	0.839
advancing	maju	0.929	0.608	0.812
advantage	kauntungan	0.917	0.548	0.859
advantageous	mupangati	0.837	0.640	0.789
advent	kedadeyan	0.665	0.560	0.627
adventure	ngulandara	0.917	0.857	0.710
adventurer	petualang	0.781	0.839	0.868
adventures	petualangan	0.812	0.764	0.749
adventurous	petualang	0.969	0.898	0.722
adversary	musuh	0.349	0.777	0.457
adverse	adverse	0.323	0.610	0.385
adversity	adversity	0.276	0.760	0.538
advertise	iklan	0.500	0.529	0.580
advertisement	iklan	0.600	0.566	0.539
advertising	iklan	0.622	0.608	0.632
adverts	iklan	0.551	0.500	0.595
advice	saran	0.698	0.408	0.688
advisable	dianjurake	0.867	0.480	0.510
advise	maringi pitutur	0.760	0.393	0.705
advised	menehi saran	0.823	0.330	0.509
advisement	saran	0.698	0.235	0.655
adviser	penasehat	0.745	0.362	0.705
advisor	penasehat	0.646	0.350	0.689
advisory	nasehat	0.656	0.429	0.633
advocacy	advokasi	0.500	0.646	0.731
advocate	pengacara	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aerasi	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodinamis	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	pesawat	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	estetis	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	anetiologi	0.480	0.398	0.615
afar	minggat	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	Urip	0.520	0.459	0.657
affect	nggayuh	0.458	0.569	0.578
affecting	nggowo pengaruh	0.350	0.574	0.394
affection	tresna	0.898	0.559	0.696
affectionate	tresna	0.949	0.422	0.550
affections	pengaruh	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	afiliasi	0.673	0.519	0.535
affiliation	afiliasi	0.615	0.594	0.500
affinity	afinitas	0.800	0.500	0.537
affirm	tegese	0.745	0.509	0.731
affirmation	penegasan	0.750	0.500	0.689
affirmative	nyatakake	0.854	0.589	0.816
affirmatively	affirmatively	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	nandhang kasusahan	0.302	0.555	0.293
afflicted	sangsara	0.271	0.500	0.167
affliction	kasangsaran	0.294	0.635	0.392
affluence	gedhe banget	0.663	0.618	0.722
affluent	affluent	0.756	0.388	0.477
afford	saged	0.571	0.580	0.575
affordable	terjangkau	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	nyengir	0.367	0.904	0.675
afloat	ngapusi	0.602	0.427	0.444
afore	banget	0.500	0.337	0.382
aforementioned	sing kasebut	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	wedi	0.010	0.775	0.245
afresh	maneh	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	akhirat	0.571	0.567	0.568
aftermath	sawise	0.312	0.449	0.444
afternoon	sore	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	umur	0.561	0.226	0.498
aged	umur	0.135	0.365	0.236
agency	agensi	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agen	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	aggravate	0.224	0.770	0.464
aggravated	aggravated	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	nyengsemaken	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	pengumpulan	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresi	0.094	0.929	0.533
aggressive	agresif	0.125	0.949	0.648
aggressively	agresif	0.250	0.926	0.688
aggressiveness	agresif	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	Agile	0.800	0.657	0.775
agility	ketangkasan	0.720	0.702	0.815
aging	tuwa	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	kepungkur	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	sangsara	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	setuju	0.906	0.260	0.545
agreeable	agreeable	0.906	0.500	0.696
agreed	sarujuk	0.797	0.449	0.574
agreeing	setuju	0.854	0.480	0.557
agreement	persetujuan	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	tetanèn	0.686	0.321	0.473
agriculture	pertanian	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ahead	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	sepindah	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	aiding	0.643	0.533	0.569
aids	bantuan	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	ailment	0.146	0.734	0.277
aim	tumuju	0.481	0.569	0.567
aimless	tanpa tujuan	0.150	0.267	0.183
air	udara	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	airborne	0.542	0.519	0.385
aircraft	pesawat	0.646	0.644	0.691
aircraft carrier	operator pesawat	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	maskapai	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	pesawat	0.719	0.702	0.708
airport	bandara	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	dalan	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	weker	0.241	0.882	0.698
alarm clock	jam weker	0.542	0.727	0.642
alarmed	kaget	0.188	0.822	0.492
alarming	ngganggu	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	nyandu alkohol	0.153	0.688	0.361
alcoholism	alkoholisme	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	tandha	0.479	0.820	0.648
alertness	kewaspadaan	0.375	0.875	0.750
alerts	tandha	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	aljabar	0.440	0.340	0.565
algebraic	aljabar	0.531	0.412	0.441
algorithm	algoritma	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	asing	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienated	0.410	0.423	0.559
alienation	alienation	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	didadekake siji	0.583	0.275	0.553
alignment	alignment	0.643	0.412	0.683
alike	alike	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	urip	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloid	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	songko	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	diduga	0.365	0.522	0.520
allegiance	allegiance	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergi	0.135	0.549	0.273
allergy	alergi	0.296	0.606	0.389
alleviate	ngurangi	0.869	0.270	0.528
alleviation	ngurangi	0.735	0.200	0.491
alley	gang	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	aliansi	0.696	0.473	0.769
allied	sekutu	0.714	0.245	0.642
alligator	Boyo	0.354	0.704	0.645
allocate	nyetujoni	0.673	0.462	0.672
allocation	alokasi	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	allotment	0.600	0.390	0.640
allow	ngidini	0.698	0.429	0.538
allowable	ngidini	0.698	0.500	0.561
allowance	tunjangan	0.673	0.382	0.591
allowed	diijini	0.730	0.360	0.655
alloy	campuran	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	nyenengake	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	sekutu	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	Maha Kuwasa	0.938	0.874	0.958
almond	kacang almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	piyambakipun	0.333	0.167	0.216
alongside	kajaba	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	banter	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetis	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	wisyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	altar boy	0.434	0.206	0.350
alter	ngowahi	0.333	0.694	0.654
alteration	owahan	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	diowahi	0.255	0.765	0.500
alternate	alternatif	0.625	0.363	0.589
alternating	gantian	0.480	0.494	0.542
alternative	alternatif	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	ketinggian	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	kabeh	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamation	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amatir	0.469	0.500	0.409
amaze	amaze	0.896	0.843	0.783
amazed	kaget	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	kaget	0.750	0.800	0.639
amazing	apik tenan	0.906	0.837	0.849
amazingly	pancen	0.918	0.765	0.920
ambassador	duta	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	sekitar	0.625	0.360	0.582
ambiguity	mbingungake	0.164	0.460	0.370
ambiguous	ambigu	0.265	0.462	0.358
ambit	ambite	0.479	0.380	0.386
ambition	ambisi	0.510	0.804	0.661
ambitious	kekarepan	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	ambush	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	Amin	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	amandemen	0.688	0.406	0.658
amendment	amandemen	0.531	0.459	0.606
amends	amends	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	peluru	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	amonium	0.354	0.396	0.368
ammunition	amunisi	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorfus	0.327	0.402	0.349
amortization	amortisasi	0.592	0.491	0.522
amount	jumlah	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amfibi	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amfitheater	0.653	0.480	0.545
ample	akeh	0.744	0.349	0.719
amplification	amplifikasi	0.690	0.677	0.810
amplify	amplify	0.677	0.735	0.827
amplitude	amplitudo	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputasi	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	nyenengake	0.812	0.684	0.664
amused	gumun	0.942	0.847	0.596
amusement	hiburan	0.929	0.837	0.803
amusing	nyenengake	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestesi	0.350	0.217	0.473
anaesthetic	anestesi	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesik	0.417	0.321	0.441
analogous	analog	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analisis	0.729	0.448	0.705
analyst	Analis	0.604	0.415	0.755
analytic	analisa	0.665	0.521	0.634
analytical	analitis	0.625	0.324	0.800
analyze	analisa	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	anarkisme	0.125	0.804	0.623
anarchist	anarkis	0.204	0.700	0.759
anarchy	anarki	0.146	0.755	0.620
anastomosis	anastomosis	0.375	0.470	0.490
anathema	anathema	0.286	0.490	0.519
anatomic	anatomis	0.562	0.442	0.546
anatomy	anatomi	0.562	0.390	0.571
ancestor	leluhur	0.592	0.388	0.594
ancestral	leluhur	0.640	0.481	0.750
ancestry	leluhur	0.708	0.519	0.717
anchor	jangkar	0.520	0.284	0.564
anchorage	pelabuhan	0.500	0.325	0.639
ancient	kuno	0.420	0.217	0.439
ancillary	ancillary	0.449	0.442	0.278
androgen	androgen	0.255	0.523	0.527
