Word	Estonian-et	Valence	Arousal	Dominance
accommodation	majutus	0.817	0.415	0.587
accompaniment	saade	0.740	0.479	0.695
accompany	kaasas	0.833	0.406	0.585
accompanying	kaasasolev	0.787	0.460	0.582
accomplice	kaasosaline	0.408	0.580	0.510
accomplish	täita	0.929	0.673	0.816
accomplished	saavutatud	0.870	0.520	0.798
accomplishment	saavutus	0.917	0.694	0.888
accord	nõus	0.898	0.264	0.382
accordance	vastavus	0.659	0.349	0.600
accordion	akordion	0.604	0.490	0.361
account	konto	0.531	0.347	0.472
accountability	vastutus	0.755	0.537	0.833
accountable	vastutav	0.709	0.282	0.777
accountant	raamatupidaja	0.625	0.450	0.639
accounting	raamatupidamine	0.552	0.390	0.677
accounts	kontod	0.592	0.340	0.471
accredited	akrediteeritud	0.669	0.479	0.768
accretion	tõus	0.448	0.519	0.672
accrue	koguma	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	koguneda	0.573	0.536	0.607
accumulation	kogunemine	0.479	0.527	0.600
accuracy	täpsus	0.604	0.481	0.802
accurate	täpne	0.743	0.360	0.737
accursed	neetud	0.135	0.745	0.345
accusation	süüdistus	0.073	0.718	0.564
accusative	süüdistatav	0.198	0.755	0.482
accuse	süüdistama	0.133	0.752	0.500
accused	süüdistatav	0.130	0.670	0.420
accuser	süüdistatav	0.122	0.779	0.615
accusing	süüdistades	0.156	0.745	0.324
accustomed	harjunud	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	äädikhape	0.333	0.420	0.519
acetylene	atsetüleen	0.306	0.469	0.509
ache	halb	0.146	0.760	0.312
achieve	saavutama	0.816	0.545	0.843
achieved	saavutatud	0.896	0.519	0.775
achievement	saavutus	0.896	0.808	0.759
aching	valu	0.053	0.880	0.348
achy	ilus	0.167	0.840	0.373
acid	hape	0.265	0.642	0.566
acidity	happesus	0.156	0.663	0.360
acknowledge	tunnustama	0.786	0.370	0.661
acknowledged	tunnistanud	0.714	0.443	0.765
acknowledgement	kinnitus	0.819	0.539	0.830
acknowledgment	kinnitus	0.796	0.528	0.777
acme	akme	0.408	0.435	0.375
acne	vinnid	0.167	0.474	0.308
acorn	tampoon	0.448	0.198	0.192
acoustic	akustiline	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	tutvuge	0.646	0.491	0.639
acquaintance	tuttav	0.656	0.290	0.670
acquainted	tuttav	0.906	0.358	0.632
acquiescence	nõusolek	0.542	0.480	0.554
acquire	omandama	0.833	0.468	0.700
acquiring	omandamine	0.735	0.510	0.817
acquisition	omandamine	0.698	0.509	0.736
acquisitions	omandamised	0.773	0.660	0.790
acquit	õigeks saama	0.583	0.571	0.611
acquittal	õigeksmõistmine	0.760	0.497	0.700
acre	aakri	0.583	0.387	0.423
acreage	maa-ala	0.741	0.450	0.528
acres	aakri	0.510	0.363	0.500
acrobat	akrobaat	0.708	0.828	0.602
acrylic	akrüül	0.582	0.279	0.420
act	tegutsema	0.656	0.704	0.735
acting	tegutsedes	0.698	0.643	0.500
action	tegevus	0.760	0.898	0.802
action figure	tegevusüksus	0.615	0.774	0.611
actionable	vaidlustatav	0.673	0.702	0.613
activate	aktiveerima	0.764	0.650	0.806
activation	aktiveerimine	0.781	0.800	0.754
active	aktiivne	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	tegevus	0.701	0.660	0.807
actor	näitleja	0.653	0.561	0.629
actress	näitleja	0.633	0.556	0.596
actual	tegelik	0.729	0.400	0.716
actuality	tegelikkus	0.750	0.464	0.600
actuary	aktuaar	0.510	0.404	0.491
acuity	äge	0.469	0.378	0.741
acumen	teadlikkus	0.564	0.660	0.679
acupuncture	nõelravi	0.531	0.324	0.549
acute	äge	0.427	0.652	0.534
acutely	teravalt	0.417	0.543	0.491
ad	reklaami	0.521	0.705	0.558
adage	jutlus	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	kohanema	0.740	0.355	0.551
adaptable	kohandatav	0.735	0.423	0.641
adaptation	kohanemine	0.663	0.365	0.609
add	lisama	0.728	0.490	0.554
added	lisatud	0.562	0.405	0.509
addendum	lisa	0.392	0.370	0.418
adder	liitmik	0.388	0.461	0.588
addict	sõltlane	0.075	0.696	0.327
addicted	sõltuvuses	0.156	0.712	0.483
addiction	sõltuvus	0.180	0.806	0.420
addictive	sõltuvust	0.302	0.683	0.472
addition	lisa	0.562	0.373	0.471
additional	lisaks	0.673	0.462	0.526
additive	lisaaine	0.561	0.633	0.691
address	aadress	0.650	0.327	0.567
addressee	adressaat	0.622	0.382	0.538
addresses	aadressid	0.510	0.354	0.450
adept	õpetaja	0.594	0.539	0.789
adequacy	piisavus	0.615	0.435	0.702
adequate	piisav	0.854	0.264	0.705
adhere	kinni	0.633	0.339	0.554
adherence	kinnipidamine	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	järgides	0.612	0.561	0.537
adhesion	adhesioon	0.521	0.445	0.586
adhesive	liimainet	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	rasvane	0.333	0.350	0.391
adjacency	külgnevus	0.365	0.417	0.375
adjacent	naabruses	0.645	0.276	0.536
adjective	omadussõna	0.570	0.316	0.569
adjoining	naabruses	0.520	0.400	0.393
adjourn	katkestada	0.385	0.456	0.475
adjournment	katkestamine	0.438	0.510	0.370
adjudicate	otsustada	0.559	0.520	0.683
adjudication	kohtuotsus	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	kohandama	0.647	0.327	0.638
adjuster	regulaator	0.510	0.540	0.760
adjustment	kohandamine	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	hallata	0.635	0.425	0.860
administration	haldamine	0.625	0.404	0.786
administrative	administratiivne	0.542	0.415	0.579
administrator	administraator	0.538	0.480	0.902
admirable	imetlusväärne	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiraliteet	0.594	0.547	0.733
admiration	imetlus	0.969	0.583	0.726
admire	imetleda	0.867	0.692	0.704
admired	imetles	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	imetlen	0.867	0.578	0.629
admissibility	vastuvõetavus	0.802	0.580	0.602
admissible	vastuvõetav	0.780	0.528	0.642
admission	sissepääs	0.802	0.415	0.732
admit	tunnistama	0.538	0.423	0.667
admittance	sissepääs	0.690	0.451	0.598
admitted	tunnistas	0.720	0.490	0.767
admitting	lubades	0.620	0.500	0.546
admixture	segu	0.450	0.375	0.438
admonition	ettevaatus	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	noorukieas	0.487	0.694	0.444
adolescent	nooruk	0.781	0.680	0.509
adopt	vastu võtma	0.694	0.612	0.701
adoption	vastuvõtmine	0.625	0.566	0.589
adoptive	lapsendaja	0.531	0.469	0.520
adorable	jumalik	0.969	0.519	0.457
adoration	kummardamine	0.885	0.699	0.708
adore	jumaldan	0.854	0.438	0.657
adoring	jumaldan	0.885	0.620	0.717
adorn	kaunistama	0.910	0.424	0.482
adornment	ehe	0.918	0.373	0.377
adrenalin	adrenaliin	0.865	0.920	0.786
adrenaline	adrenaliin	0.765	0.965	0.825
adrift	eemale	0.398	0.486	0.230
adult	täiskasvanu	0.815	0.491	0.787
adulterated	võltsitud	0.188	0.865	0.370
adulterer	abielurikkuja	0.229	0.814	0.407
adultery	abielurikkumine	0.120	0.922	0.510
adulthood	täiskasvanueas	0.541	0.454	0.652
advance	eelnevalt	0.673	0.472	0.858
advanced	arenenud	0.844	0.623	0.797
advancement	areng	0.776	0.650	0.839
advancing	edasiarendamine	0.929	0.608	0.812
advantage	eelis	0.917	0.548	0.859
advantageous	kasulik	0.837	0.640	0.789
advent	advent	0.665	0.560	0.627
adventure	seiklus	0.917	0.857	0.710
adventurer	seikleja	0.781	0.839	0.868
adventures	seiklused	0.812	0.764	0.749
adventurous	seikluslik	0.969	0.898	0.722
adversary	vastane	0.349	0.777	0.457
adverse	kahjulik	0.323	0.610	0.385
adversity	vastasseis	0.276	0.760	0.538
advertise	reklaamima	0.500	0.529	0.580
advertisement	reklaam	0.600	0.566	0.539
advertising	reklaami	0.622	0.608	0.632
adverts	reklaamid	0.551	0.500	0.595
advice	nõuanne	0.698	0.408	0.688
advisable	soovitatav	0.867	0.480	0.510
advise	nõuan	0.760	0.393	0.705
advised	soovitatav	0.823	0.330	0.509
advisement	nõustamine	0.698	0.235	0.655
adviser	nõustaja	0.745	0.362	0.705
advisor	nõustaja	0.646	0.350	0.689
advisory	nõustamine	0.656	0.429	0.633
advocacy	propageerimine	0.500	0.646	0.731
advocate	advokaat	0.551	0.530	0.818
aegis	Eile	0.490	0.439	0.462
aeration	aeratsioon	0.550	0.500	0.433
aerial	antenn	0.615	0.461	0.463
aerobics	aeroobika	0.708	0.771	0.627
aerodrome	lennuväli	0.541	0.740	0.678
aerodynamic	aerodünaamiline	0.561	0.724	0.728
aerodynamics	aerodünaamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	lennuk	0.714	0.642	0.644
aerospace	kosmosetööstus	0.643	0.520	0.779
aesthetic	esteetiline	0.708	0.442	0.526
aesthetics	esteetika	0.847	0.327	0.549
aetiology	etioloogia	0.480	0.398	0.615
afar	kaugel	0.396	0.373	0.358
affable	armastav	0.704	0.380	0.452
affair	asi	0.520	0.459	0.657
affect	mõjutama	0.458	0.569	0.578
affecting	mõjutades	0.350	0.574	0.394
affection	kiindumus	0.898	0.559	0.696
affectionate	Hell	0.949	0.422	0.550
affections	armastus	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	kinnitusviide	0.469	0.584	0.526
affiliated	sidusettevõte	0.673	0.519	0.535
affiliation	liitumine	0.615	0.594	0.500
affinity	afiinsus	0.800	0.500	0.537
affirm	kinnita	0.745	0.509	0.731
affirmation	kinnitus	0.750	0.500	0.689
affirmative	positiivne	0.854	0.589	0.816
affirmatively	positiivselt	0.908	0.500	0.811
affix	kinnitage	0.438	0.335	0.411
afflict	kannatama	0.302	0.555	0.293
afflicted	kannatanud	0.271	0.500	0.167
affliction	viletsus	0.294	0.635	0.392
affluence	jõukus	0.663	0.618	0.722
affluent	jõukas	0.756	0.388	0.477
afford	endale lubada	0.571	0.580	0.575
affordable	taskukohane	0.840	0.398	0.493
affront	pettuma	0.327	0.740	0.547
affronted	pettunud	0.385	0.750	0.527
afield	maa peal	0.594	0.370	0.373
afire	tulekahju	0.367	0.904	0.675
afloat	pinnal	0.602	0.427	0.444
afore	enne	0.500	0.337	0.382
aforementioned	eespool nimetatud	0.490	0.316	0.408
aforesaid	eelnimetatud	0.531	0.358	0.478
afraid	karda	0.010	0.775	0.245
afresh	jälle uuesti	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	ahtris	0.480	0.417	0.518
afterlife	surmajärgne elu	0.571	0.567	0.568
aftermath	tagajärjed	0.312	0.449	0.444
afternoon	pärastlõunal	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	järelmaitse	0.354	0.362	0.455
afterthought	pärast mõtlemist	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	ahhaat	0.540	0.377	0.483
age	vanus	0.561	0.226	0.498
aged	vanuses	0.135	0.365	0.236
agency	agentuur	0.460	0.296	0.583
agenda	päevakord	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomeratsioon	0.450	0.765	0.509
aggravate	süvendama	0.224	0.770	0.464
aggravated	süvenenud	0.079	0.760	0.430
aggravates	raskendab	0.108	0.778	0.357
aggravating	raskendav	0.257	0.794	0.640
aggravation	süvenemine	0.071	0.784	0.613
aggregate	agregaat	0.730	0.378	0.556
aggregation	koondamine	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agressioon	0.094	0.929	0.533
aggressive	agressiivne	0.125	0.949	0.648
aggressively	agressiivselt	0.250	0.926	0.688
aggressiveness	agressiivsus	0.077	0.913	0.648
aggressor	agressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	vilgas	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	vananemine	0.214	0.255	0.284
agitate	segada	0.300	0.796	0.593
agitated	ärritunud	0.444	0.882	0.491
agitation	agitatsioon	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	tagasi	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agoonia	0.083	0.775	0.393
agoraphobia	agorafoobia	0.127	0.712	0.438
agree	nõustun	0.906	0.260	0.545
agreeable	meeldiv	0.906	0.500	0.696
agreed	kokku lepitud	0.797	0.449	0.574
agreeing	kokkuleppel	0.854	0.480	0.557
agreement	kokkulepe	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	põllumajanduslik	0.686	0.321	0.473
agriculture	põllumajandus	0.640	0.357	0.465
aground	maapinnal	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ees	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	abi	0.796	0.491	0.541
aide	abiline	0.724	0.342	0.434
aiding	aitamine	0.643	0.533	0.569
aids	abivahendid	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	raskustes	0.094	0.518	0.153
ailment	haigus	0.146	0.734	0.277
aim	eesmärk	0.481	0.569	0.567
aimless	sihikindel	0.150	0.267	0.183
air	õhk	0.708	0.163	0.427
airbag	turvapadi	0.510	0.402	0.433
airborne	õhus	0.542	0.519	0.385
aircraft	õhusõiduk	0.646	0.644	0.691
aircraft carrier	lennukikandja	0.490	0.740	0.727
airfield	lennuväli	0.601	0.650	0.645
airhead	õhupea	0.271	0.481	0.276
airlift	õhutransport	0.573	0.622	0.642
airline	lennufirma	0.650	0.482	0.688
airliner	lennuk	0.667	0.777	0.647
airlock	õhupilu	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	lennuk	0.719	0.702	0.708
airport	lennujaam	0.729	0.684	0.682
airs	õhutab	0.583	0.196	0.370
airship	õhulaev	0.542	0.472	0.529
airspace	õhuruum	0.562	0.510	0.640
airspeed	õhkkiirus	0.583	0.780	0.544
airstrip	lennuväli	0.550	0.690	0.649
airtight	õhukindel	0.479	0.381	0.570
airway	hingamisteed	0.638	0.585	0.482
aisle	vahekäik	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	sarnane	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	Äratuskell	0.542	0.727	0.642
alarmed	häiritud	0.188	0.822	0.492
alarming	murettekitav	0.204	0.890	0.585
alas	paraku	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkeemia	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkohoolne	0.153	0.688	0.361
alcoholism	alkoholism	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	hoiatus	0.479	0.820	0.648
alertness	tähelepanelikkus	0.375	0.875	0.750
alerts	hoiatused	0.337	0.804	0.673
alfalfa	lutsern	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraline	0.531	0.412	0.441
algorithm	algoritm	0.448	0.394	0.559
alias	teise nimega	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	välismaalane	0.410	0.615	0.491
alienate	võõrandama	0.247	0.500	0.523
alienated	võõrandunud	0.410	0.423	0.559
alienation	võõrandumine	0.378	0.530	0.462
alight	põgenevad	0.667	0.657	0.605
align	joondage	0.656	0.364	0.627
aligned	joondatud	0.583	0.275	0.553
alignment	joondamine	0.643	0.412	0.683
alike	sama	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimendid	0.612	0.477	0.464
aliquot	alikvoot	0.440	0.310	0.404
alive	elus	0.816	0.637	0.731
alkali	leelised	0.490	0.350	0.408
alkaloids	alkaloidid	0.433	0.562	0.402
allay	lahjendada	0.417	0.406	0.398
allegation	süüdistus	0.578	0.578	0.608
allege	väidavad	0.418	0.482	0.587
alleged	väidetavalt	0.365	0.522	0.520
allegiance	lojaalsus	0.917	0.398	0.750
allegorical	allegooriline	0.517	0.558	0.598
allegory	allegooria	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergiline	0.135	0.549	0.273
allergy	allergia	0.296	0.606	0.389
alleviate	leevendada	0.869	0.270	0.528
alleviation	leevendamine	0.735	0.200	0.491
alley	allee	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	liit	0.696	0.473	0.769
allied	liitlased	0.714	0.245	0.642
alligator	alligaator	0.354	0.704	0.645
allocate	eraldama	0.673	0.462	0.672
allocation	eraldamine	0.604	0.388	0.679
allot	eraldama	0.622	0.481	0.616
allotment	eraldamine	0.600	0.390	0.640
allow	lubama	0.698	0.429	0.538
allowable	lubatav	0.698	0.500	0.561
allowance	toetus	0.673	0.382	0.591
allowed	lubatud	0.730	0.360	0.655
alloy	sulam	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	Allure	0.804	0.585	0.686
alluring	võluv	0.837	0.745	0.843
allusion	allusioon	0.440	0.308	0.462
alluvial	alluviaalne	0.323	0.490	0.491
ally	liitlane	0.792	0.320	0.688
almanac	almanahv	0.688	0.190	0.412
almighty	kõikvõimas	0.938	0.874	0.958
almond	mandel	0.698	0.183	0.314
aloft	kõrgemal	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	üksi	0.333	0.167	0.216
alongside	kõrval	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	valjusti	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	tähestikus	0.562	0.204	0.672
alphabetical	tähestikuline	0.537	0.296	0.535
alpine	alpi	0.594	0.337	0.474
alreadyyyyy	juba yyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	altar poiss	0.434	0.206	0.350
alter	muutma	0.333	0.694	0.654
alteration	muutmine	0.167	0.798	0.609
altercation	vaheldumine	0.170	0.806	0.500
altered	muudetud	0.255	0.765	0.500
alternate	asendusliige	0.625	0.363	0.589
alternating	vaheldumisi	0.480	0.494	0.542
alternative	alternatiivne	0.628	0.373	0.631
altimeter	kõrgusemõõtja	0.615	0.510	0.580
altitude	kõrgus	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	kokku	0.833	0.324	0.644
aluminum	alumiiniumist	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolaarne	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgaam	0.438	0.333	0.510
amalgamation	ühinemine	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amatöör	0.469	0.500	0.409
amaze	hämmastama	0.896	0.843	0.783
amazed	üllatunud	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	hämmastusega	0.750	0.800	0.639
amazing	hämmastav	0.906	0.837	0.849
amazingly	hämmastavalt	0.918	0.765	0.920
ambassador	suursaadik	0.651	0.529	0.917
amber	merevaigukollane	0.635	0.308	0.369
ambience	õhkkond	0.735	0.356	0.426
ambient	ümbritsev	0.625	0.360	0.582
ambiguity	ebamäärasus	0.164	0.460	0.370
ambiguous	ebaselge	0.265	0.462	0.358
ambit	piire	0.479	0.380	0.386
ambition	ambitsioon	0.510	0.804	0.661
ambitious	edasipüüdlik	0.484	0.821	0.717
ambivalent	ambivalentne	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	kiirabi	0.500	0.750	0.609
ambush	varitsus	0.281	0.830	0.500
ameliorate	Parandada	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	vastutulelik	0.448	0.410	0.406
amend	muudan	0.688	0.406	0.658
amendment	muudatus	0.531	0.459	0.606
amends	muudab	0.640	0.366	0.517
amenity	mugavus	0.750	0.327	0.574
amethyst	ametüst	0.622	0.406	0.517
amiable	sõbralik	0.847	0.290	0.483
amicable	sõbralik	0.875	0.330	0.507
amid	keset	0.510	0.340	0.256
amidst	keset	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	AMMO	0.323	0.765	0.621
ammonia	ammoniaak	0.292	0.587	0.409
ammonium	ammoonium	0.354	0.396	0.368
ammunition	laskemoona	0.338	0.635	0.667
amnesia	amneesia	0.296	0.330	0.308
amnesty	amnestia	0.551	0.451	0.814
amorous	armuline	0.844	0.670	0.636
amorphous	amorfne	0.327	0.402	0.349
amortization	amortisatsioon	0.592	0.491	0.522
amount	summa	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamiinid	0.133	0.667	0.526
amphibian	amfiibiaalne	0.427	0.357	0.474
amphibious	amfiibne	0.479	0.346	0.445
amphitheater	amfiteater	0.653	0.480	0.545
ample	palju	0.744	0.349	0.719
amplification	võimendamine	0.690	0.677	0.810
amplify	võimendama	0.677	0.735	0.827
amplitude	amplituud	0.694	0.439	0.692
amply	piisavalt	0.781	0.431	0.766
amputate	amputeerima	0.092	0.660	0.509
amputation	amputatsioon	0.100	0.755	0.483
amuck	amak	0.385	0.602	0.321
amulet	amulett	0.781	0.260	0.630
amuse	lõbustama	0.812	0.684	0.664
amused	lõbustas	0.942	0.847	0.596
amusement	lõbustus	0.929	0.837	0.803
amusing	lõbus	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	Anaconda	0.146	0.830	0.540
anaesthesia	anesteesia	0.350	0.217	0.473
anaesthetic	anesteetikum	0.449	0.268	0.509
anagram	Anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	valuvaigisti	0.417	0.321	0.441
analogous	analoogne	0.531	0.270	0.500
analogue	analoog	0.570	0.320	0.446
analogy	analoogia	0.510	0.367	0.509
analysis	analüüsimine	0.729	0.448	0.705
