Word	Xhosa-xh	Valence	Arousal	Dominance
address	idilesi	0.650	0.327	0.567
addressee	kongeza	0.622	0.382	0.538
addresses	dilesi	0.510	0.354	0.450
adept	efanelekileyo	0.594	0.539	0.789
adequacy	ngokwaneleyo	0.615	0.435	0.702
adequate	ngokwaneleyo	0.854	0.264	0.705
adhere	uhambelane	0.633	0.339	0.554
adherence	ukubambelela	0.760	0.307	0.630
adherent	ngokuhambelanayo	0.561	0.385	0.555
adhering	ku thobela	0.612	0.561	0.537
adhesion	ukubambelela	0.521	0.445	0.586
adhesive	ukubambelela	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	esondeleyo	0.365	0.417	0.375
adjacent	kufuphi	0.645	0.276	0.536
adjective	isichazi	0.570	0.316	0.569
adjoining	edibeneyo	0.520	0.400	0.393
adjourn	kuhlaliswa	0.385	0.456	0.475
adjournment	ku rhoxiswa	0.438	0.510	0.370
adjudicate	kugweba	0.559	0.520	0.683
adjudication	kugwetywa	0.551	0.462	0.691
adjunct	ulungelelaniso	0.459	0.440	0.426
adjust	lungisa	0.647	0.327	0.638
adjuster	isilungisi	0.510	0.540	0.760
adjustment	uhlengahlengiso	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	lawulo	0.688	0.420	0.854
administer	lawula	0.635	0.425	0.860
administration	lawulo	0.625	0.404	0.786
administrative	lawulo	0.542	0.415	0.579
administrator	umlawuli	0.538	0.480	0.902
admirable	ncomeka	0.929	0.600	0.870
admiral	memezo	0.844	0.490	0.847
admiralty	memezo	0.594	0.547	0.733
admiration	mxatyiswa	0.969	0.583	0.726
admire	ziyamkela	0.867	0.692	0.704
admired	ziyamkela	0.917	0.560	0.815
admirer	mthandayo	0.796	0.720	0.650
admiring	ziyamkela	0.867	0.578	0.629
admissibility	ukuvunyelwa	0.802	0.580	0.602
admissible	zivumelekile	0.780	0.528	0.642
admission	kwamkelwa	0.802	0.415	0.732
admit	kuvuma	0.538	0.423	0.667
admittance	kwamkelwa	0.690	0.451	0.598
admitted	avunywa	0.720	0.490	0.767
admitting	zivuma	0.620	0.500	0.546
admixture	ukudibanisa	0.450	0.375	0.438
admonition	cebiso	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ebusheni	0.487	0.694	0.444
adolescent	umntwana	0.781	0.680	0.509
adopt	kwamkela	0.694	0.612	0.701
adoption	kwamkelwa	0.625	0.566	0.589
adoptive	mkelayo	0.531	0.469	0.520
adorable	ezihle	0.969	0.519	0.457
adoration	yokudumisa	0.885	0.699	0.708
adore	ziyamkela	0.854	0.438	0.657
adoring	ukuxhaswa	0.885	0.620	0.717
adorn	ukuhlobisa	0.910	0.424	0.482
adornment	ukuhlobisa	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	i-adrift	0.398	0.486	0.230
adult	omdala	0.815	0.491	0.787
adulterated	krexeza	0.188	0.865	0.370
adulterer	krexezi	0.229	0.814	0.407
adultery	krexeza	0.120	0.922	0.510
adulthood	badala	0.541	0.454	0.652
advance	phambili	0.673	0.472	0.858
advanced	phambili	0.844	0.623	0.797
advancement	phambili	0.776	0.650	0.839
advancing	phambili	0.929	0.608	0.812
advantage	inzuzo	0.917	0.548	0.859
advantageous	inzuzo	0.837	0.640	0.789
advent	kufika	0.665	0.560	0.627
adventure	uhambo	0.917	0.857	0.710
adventurer	umcebisi	0.781	0.839	0.868
adventures	kwiintlanga	0.812	0.764	0.749
adventurous	ezayo	0.969	0.898	0.722
adversary	mtsha ndezeli	0.349	0.777	0.457
adverse	ezimbi	0.323	0.610	0.385
adversity	ubunzima	0.276	0.760	0.538
advertise	bhengeze	0.500	0.529	0.580
advertisement	ntengiso	0.600	0.566	0.539
advertising	ntengiso	0.622	0.608	0.632
adverts	izibhengezo	0.551	0.500	0.595
advice	cebiso	0.698	0.408	0.688
advisable	cebisa	0.867	0.480	0.510
advise	cebisa	0.760	0.393	0.705
advised	cebisa	0.823	0.330	0.509
advisement	cebisa	0.698	0.235	0.655
adviser	mcebisi	0.745	0.362	0.705
advisor	umcebisi	0.646	0.350	0.689
advisory	cebisi	0.656	0.429	0.633
advocacy	ku khuthaza	0.500	0.646	0.731
advocate	ukuxhasa	0.551	0.530	0.818
aegis	egazini	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	yombane	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	i-aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	indiza	0.714	0.642	0.644
aerospace	i-aerospace	0.643	0.520	0.779
aesthetic	ubugcisa	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	etiology	0.480	0.398	0.615
afar	kude	0.396	0.373	0.358
affable	zichaphazelekayo	0.704	0.380	0.452
affair	umcimbi	0.520	0.459	0.657
affect	cha phazela	0.458	0.569	0.578
affecting	cha phazela	0.350	0.574	0.394
affection	uthando	0.898	0.559	0.696
affectionate	uthando	0.949	0.422	0.550
affections	ukuthandwa	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	i fidavithi	0.469	0.584	0.526
affiliated	nxu lumene	0.673	0.519	0.535
affiliation	nziswano	0.615	0.594	0.500
affinity	ulwalamano	0.800	0.500	0.537
affirm	qi ni sekisa	0.745	0.509	0.731
affirmation	ukuqinisekiswa	0.750	0.500	0.689
affirmative	ku qi ni	0.854	0.589	0.816
affirmatively	ukuqinisekisile	0.908	0.500	0.811
affix	sichaza	0.438	0.335	0.411
afflict	xhaphaza	0.302	0.555	0.293
afflicted	ba xhatshazwa	0.271	0.500	0.167
affliction	ndezelo	0.294	0.635	0.392
affluence	ubutyebi	0.663	0.618	0.722
affluent	eziphathekayo	0.756	0.388	0.477
afford	ukufumana	0.571	0.580	0.575
affordable	ngexabiso	0.840	0.398	0.493
affront	ukuxhatshazwa	0.327	0.740	0.547
affronted	zichasene	0.385	0.750	0.527
afield	kwindawo	0.594	0.370	0.373
afire	ukufa	0.367	0.904	0.675
afloat	kuhamba	0.602	0.427	0.444
afore	phambili	0.500	0.337	0.382
aforementioned	ngasentla	0.490	0.316	0.408
aforesaid	ngasentla	0.531	0.358	0.478
afraid	soyika	0.010	0.775	0.245
afresh	kwakhona	0.643	0.521	0.480
african	Afrika	0.490	0.423	0.555
aft	emva	0.480	0.417	0.518
afterlife	emva kokufa	0.571	0.567	0.568
aftermath	emva koko	0.312	0.449	0.444
afternoon	njakalanga	0.533	0.388	0.339
aftershave	emva koko	0.406	0.384	0.415
aftertaste	emva kokuhamba	0.354	0.362	0.455
afterthought	emva koko	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	ubudala	0.561	0.226	0.498
aged	a badala	0.135	0.365	0.236
agency	nkonzo	0.460	0.296	0.583
agenda	ajenda	0.531	0.296	0.553
agent	igosa	0.480	0.439	0.755
agglomeration	ulwahlulo	0.450	0.765	0.509
aggravate	phucula	0.224	0.770	0.464
aggravated	kuhlutha	0.079	0.760	0.430
aggravates	ikhula	0.108	0.778	0.357
aggravating	ukunyuka	0.257	0.794	0.640
aggravation	ukugqithisa	0.071	0.784	0.613
aggregate	ngokubanzi	0.730	0.378	0.556
aggregation	ulwahlulo	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ulwalamano	0.094	0.929	0.533
aggressive	ngogonyamelo	0.125	0.949	0.648
aggressively	ngokukhawuleza	0.250	0.926	0.688
aggressiveness	ulwaphulo	0.077	0.913	0.648
aggressor	ngxabano	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ngxakini	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	bangela	0.800	0.657	0.775
agility	ubuchule	0.720	0.702	0.815
aging	ukuguga	0.214	0.255	0.284
agitate	nyibilike	0.300	0.796	0.593
agitated	yavutha	0.444	0.882	0.491
agitation	ukuxhalaba	0.240	0.931	0.447
aglow	ukuvutha	0.780	0.510	0.797
agnostic	i-agnostic	0.306	0.396	0.574
ago	edlulileyo	0.317	0.280	0.404
agonizing	buhlungu	0.083	0.800	0.340
agony	buhlungu	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	vu melana	0.906	0.260	0.545
agreeable	vu meneyo	0.906	0.500	0.696
agreed	vu nyelwene	0.797	0.449	0.574
agreeing	vu melana	0.854	0.480	0.557
agreement	melwano	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	zolimo	0.686	0.321	0.473
agriculture	zolimo	0.640	0.357	0.465
aground	phantsi	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	phambili	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	uncedo	0.796	0.491	0.541
aide	uncedo	0.724	0.342	0.434
aiding	kunceda	0.643	0.533	0.569
aids	zixhobo	0.561	0.480	0.500
ail	yile	0.375	0.434	0.385
ailing	begula	0.094	0.518	0.153
ailment	ukugula	0.146	0.734	0.277
aim	injongo	0.481	0.569	0.567
aimless	ngenjongo	0.150	0.267	0.183
air	emoyeni	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ephuma emoyeni	0.542	0.519	0.385
aircraft	moya	0.646	0.644	0.691
aircraft carrier	umqhubi wendiza	0.490	0.740	0.727
airfield	moya	0.601	0.650	0.645
airhead	emoyeni	0.271	0.481	0.276
airlift	moya	0.573	0.622	0.642
airline	lomoya	0.650	0.482	0.688
airliner	i-airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	umthumeli	0.587	0.716	0.721
airplane	indiza	0.719	0.702	0.708
airport	kwisikhululo	0.729	0.684	0.682
airs	emoyeni	0.583	0.196	0.370
airship	moya	0.542	0.472	0.529
airspace	indawo yomoya	0.562	0.510	0.640
airspeed	moya	0.583	0.780	0.544
airstrip	ibhola	0.550	0.690	0.649
airtight	epholileyo	0.479	0.381	0.570
airway	ngomoya	0.638	0.585	0.482
aisle	ilayini	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	i-Akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alamu	0.241	0.882	0.698
alarm clock	iwoshi ye-alamu	0.542	0.727	0.642
alarmed	ngothuka	0.188	0.822	0.492
alarming	eyoyikisayo	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	i-albhamu	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	utywala	0.323	0.667	0.377
alcoholic	utywala	0.153	0.688	0.361
alcoholism	utywala	0.061	0.779	0.407
alcove	utywala	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	phawula	0.479	0.820	0.648
alertness	uqaphele	0.375	0.875	0.750
alerts	izilumkiso	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	i-algorithm	0.448	0.394	0.559
alias	ezifanayo	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	umfokazi	0.410	0.615	0.491
alienate	hlukana	0.247	0.500	0.523
alienated	bahlukane	0.410	0.423	0.559
alienation	ukuhlukana	0.378	0.530	0.462
alight	ahambe	0.667	0.657	0.605
align	ukulungelelanisa	0.656	0.364	0.627
aligned	ihambelana	0.583	0.275	0.553
alignment	ulungelelaniso	0.643	0.412	0.683
alike	ngokufanayo	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	ephila	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	ukuguqula	0.417	0.406	0.398
allegation	isityholo	0.578	0.578	0.608
allege	nisela	0.418	0.482	0.587
alleged	zityholo	0.365	0.522	0.520
allegiance	ukuthembeka	0.917	0.398	0.750
allegorical	ngephili	0.517	0.558	0.598
allegory	ngongoma	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	ukugula	0.135	0.549	0.273
allergy	ukungahambi	0.296	0.606	0.389
alleviate	kunciphisa	0.869	0.270	0.528
alleviation	ukunciphisa	0.735	0.200	0.491
alley	kwinqanaba	0.347	0.500	0.355
alleyway	ndleleni	0.357	0.471	0.382
alliance	u manyano	0.696	0.473	0.769
allied	nzisane	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	yabelwe	0.673	0.462	0.672
allocation	lwabiwo	0.604	0.388	0.679
allot	ulwabiwo	0.622	0.481	0.616
allotment	isabelo	0.600	0.390	0.640
allow	vumele	0.698	0.429	0.538
allowable	vumelekile	0.698	0.500	0.561
allowance	isibonelelo	0.673	0.382	0.591
allowed	vunyelwe	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ukukhwela	0.804	0.585	0.686
alluring	ukunyusa	0.837	0.745	0.843
allusion	ukuthetha	0.440	0.308	0.462
alluvial	yonke into	0.323	0.490	0.491
ally	nzisane	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	onamandla onke	0.938	0.874	0.958
almond	i-almond	0.698	0.183	0.314
aloft	i-aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	yedwa	0.333	0.167	0.216
alongside	ecaleni	0.458	0.333	0.347
aloof	engabonakaliyo	0.189	0.423	0.302
aloud	ngokuvakalayo	0.458	0.713	0.750
alpha	i-alpha	0.708	0.340	0.755
alphabet	alfabhethi	0.562	0.204	0.672
alphabetical	alfabhethi	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	sele ikhona	0.592	0.717	0.351
altar	isibingelelo	0.724	0.387	0.635
altar boy	yombingelelo	0.434	0.206	0.350
alter	guqula	0.333	0.694	0.654
alteration	utshintsho	0.167	0.798	0.609
altercation	utshintsho	0.170	0.806	0.500
altered	utshintshile	0.255	0.765	0.500
alternate	enye	0.625	0.363	0.589
alternating	ukutshintsha	0.480	0.494	0.542
alternative	ngenye indlela	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	ukuphakama	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	ngokupheleleyo	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	i-alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	ukudibanisa	0.406	0.470	0.531
amaretto	i-amaretto	0.543	0.551	0.375
amass	bahamba	0.552	0.465	0.465
amateur	umtsalane	0.469	0.500	0.409
amaze	ma ngaliswa	0.896	0.843	0.783
amazed	ma ngaliswa	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ma ngaliswa	0.750	0.800	0.639
amazing	kumangalisa	0.906	0.837	0.849
amazingly	ngokumangalisayo	0.918	0.765	0.920
ambassador	ummeli	0.651	0.529	0.917
amber	ngombala	0.635	0.308	0.369
ambience	i-ambience	0.735	0.356	0.426
ambient	ehambayo	0.625	0.360	0.582
ambiguity	ukungahambi kakuhle	0.164	0.460	0.370
ambiguous	ngongoma	0.265	0.462	0.358
ambit	ulungele	0.479	0.380	0.386
ambition	u kuthanda	0.510	0.804	0.661
ambitious	i zikhundla	0.484	0.821	0.717
ambivalent	liweyo	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	iigulane	0.500	0.750	0.609
ambush	balele	0.281	0.830	0.500
ameliorate	ku khuthaza	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	ku lungiswa	0.448	0.410	0.406
amend	u lungiso	0.688	0.406	0.658
amendment	lungiso	0.531	0.459	0.606
amends	lungiswa	0.640	0.366	0.517
amenity	ncedo	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	u mnandi	0.847	0.290	0.483
amicable	efanelekileyo	0.875	0.330	0.507
amid	phakathi	0.510	0.340	0.256
amidst	phakathi	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	zixhobo	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	xolelo	0.551	0.451	0.814
amorous	u kuthanda	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	ukulungiswa kwemali	0.592	0.491	0.522
amount	isixa	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	yezemidlalo	0.653	0.480	0.545
ample	epheleleyo	0.744	0.349	0.719
amplification	ukukhulisa	0.690	0.677	0.810
amplify	phucula	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	kakhulu	0.781	0.431	0.766
amputate	ku rhoxisa	0.092	0.660	0.509
