Word	Lithuanian-lt	Valence	Arousal	Dominance
accommodate	prisitaikyti	0.844	0.375	0.566
accommodation	apgyvendinimas	0.817	0.415	0.587
accompaniment	asortimentas	0.740	0.479	0.695
accompany	lydėti	0.833	0.406	0.585
accompanying	palyda	0.787	0.460	0.582
accomplice	bendrininkas	0.408	0.580	0.510
accomplish	įvykdyti	0.929	0.673	0.816
accomplished	įvykdytas	0.870	0.520	0.798
accomplishment	pasiekimas	0.917	0.694	0.888
accord	susitarti	0.898	0.264	0.382
accordance	atitikimas	0.659	0.349	0.600
accordion	akordeonas	0.604	0.490	0.361
account	sąskaita	0.531	0.347	0.472
accountability	atskaitomybė	0.755	0.537	0.833
accountable	atskaitingas	0.709	0.282	0.777
accountant	buhalteris	0.625	0.450	0.639
accounting	apskaita	0.552	0.390	0.677
accounts	sąskaitos	0.592	0.340	0.471
accredited	akredituotas	0.669	0.479	0.768
accretion	akrecija	0.448	0.519	0.672
accrue	kaupiasi	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kaupti	0.573	0.536	0.607
accumulation	kaupimas	0.479	0.527	0.600
accuracy	tikslumas	0.604	0.481	0.802
accurate	tiksliai	0.743	0.360	0.737
accursed	prakeiktas	0.135	0.745	0.345
accusation	kaltinimas	0.073	0.718	0.564
accusative	kaltinamasis	0.198	0.755	0.482
accuse	kaltinti	0.133	0.752	0.500
accused	kaltinamas	0.130	0.670	0.420
accuser	kaltinamasis	0.122	0.779	0.615
accusing	kaltinamas	0.156	0.745	0.324
accustomed	pripratęs	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acto rūgštis	0.333	0.420	0.519
acetylene	acetilenas	0.306	0.469	0.509
ache	skauda	0.146	0.760	0.312
achieve	pasiekti	0.816	0.545	0.843
achieved	pasiekti	0.896	0.519	0.775
achievement	pasiekimas	0.896	0.808	0.759
aching	skausmas	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	rūgštis	0.265	0.642	0.566
acidity	rūgštingumas	0.156	0.663	0.360
acknowledge	pripažinti	0.786	0.370	0.661
acknowledged	pripažintas	0.714	0.443	0.765
acknowledgement	patvirtinimas	0.819	0.539	0.830
acknowledgment	patvirtinimas	0.796	0.528	0.777
acme	akme	0.408	0.435	0.375
acne	aknė	0.167	0.474	0.308
acorn	gilė	0.448	0.198	0.192
acoustic	akustinis	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	susipažink	0.646	0.491	0.639
acquaintance	pažintis	0.656	0.290	0.670
acquainted	susipažinęs	0.906	0.358	0.632
acquiescence	sutikimas	0.542	0.480	0.554
acquire	įsigyti	0.833	0.468	0.700
acquiring	įsigijimas	0.735	0.510	0.817
acquisition	įsigijimas	0.698	0.509	0.736
acquisitions	įsigijimai	0.773	0.660	0.790
acquit	išteisinti	0.583	0.571	0.611
acquittal	išteisinimas	0.760	0.497	0.700
acre	akras	0.583	0.387	0.423
acreage	plotas	0.741	0.450	0.528
acres	akrai	0.510	0.363	0.500
acrobat	akrobatas	0.708	0.828	0.602
acrylic	akrilas	0.582	0.279	0.420
act	veikti	0.656	0.704	0.735
acting	vaidyba	0.698	0.643	0.500
action	veiksmas	0.760	0.898	0.802
action figure	veiksmo figūra	0.615	0.774	0.611
actionable	ginčytinas	0.673	0.702	0.613
activate	aktyvuoti	0.764	0.650	0.806
activation	aktyvinimas	0.781	0.800	0.754
active	aktyvus	0.847	0.730	0.731
activist	aktyvistas	0.531	0.653	0.877
activity	veikla	0.701	0.660	0.807
actor	aktorius	0.653	0.561	0.629
actress	Aktorė	0.633	0.556	0.596
actual	faktinis	0.729	0.400	0.716
actuality	aktualumas	0.750	0.464	0.600
actuary	aktuarijus	0.510	0.404	0.491
acuity	aštrumas	0.469	0.378	0.741
acumen	sumanumas	0.564	0.660	0.679
acupuncture	akupunktūra	0.531	0.324	0.549
acute	ūminis	0.427	0.652	0.534
acutely	akivaizdžiai	0.417	0.543	0.491
ad	Reklama	0.521	0.705	0.558
adage	pasakojimas	0.517	0.415	0.566
adamant	adamantas	0.344	0.529	0.575
adapt	prisitaikyti	0.740	0.355	0.551
adaptable	pritaikomas	0.735	0.423	0.641
adaptation	prisitaikymas	0.663	0.365	0.609
add	papildyti	0.728	0.490	0.554
added	pridėta	0.562	0.405	0.509
addendum	priedas	0.392	0.370	0.418
adder	papildiklis	0.388	0.461	0.588
addict	narkomanas	0.075	0.696	0.327
addicted	priklausomas	0.156	0.712	0.483
addiction	priklausomybė	0.180	0.806	0.420
addictive	priklausomybę	0.302	0.683	0.472
addition	papildomai	0.562	0.373	0.471
additional	papildomas	0.673	0.462	0.526
additive	priedas	0.561	0.633	0.691
address	adresas	0.650	0.327	0.567
addressee	adresatas	0.622	0.382	0.538
addresses	adresai	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	pakankamumas	0.615	0.435	0.702
adequate	tinkamas	0.854	0.264	0.705
adhere	laikykis	0.633	0.339	0.554
adherence	laikytis	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	laikytis	0.612	0.561	0.537
adhesion	Sukibimas	0.521	0.445	0.586
adhesive	klijai	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	riebaluotas	0.333	0.350	0.391
adjacency	gretimumas	0.365	0.417	0.375
adjacent	šalia	0.645	0.276	0.536
adjective	būdvardis	0.570	0.316	0.569
adjoining	šalia	0.520	0.400	0.393
adjourn	atidėti	0.385	0.456	0.475
adjournment	atidėjimas	0.438	0.510	0.370
adjudicate	nuspręsti	0.559	0.520	0.683
adjudication	teismo sprendimas	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	sureguliuoti	0.647	0.327	0.638
adjuster	reguliatorius	0.510	0.540	0.760
adjustment	sureguliavimas	0.590	0.520	0.661
adjuvant	adjuvantas	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administruoti	0.635	0.425	0.860
administration	administracija	0.625	0.404	0.786
administrative	administracinis	0.542	0.415	0.579
administrator	administratorius	0.538	0.480	0.902
admirable	žavisi	0.929	0.600	0.870
admiral	admirolas	0.844	0.490	0.847
admiralty	admiralitetas	0.594	0.547	0.733
admiration	susižavėjimas	0.969	0.583	0.726
admire	grožėtis	0.867	0.692	0.704
admired	žavisi	0.917	0.560	0.815
admirer	gerbėjas	0.796	0.720	0.650
admiring	žaviuosi	0.867	0.578	0.629
admissibility	priimtinumas	0.802	0.580	0.602
admissible	priimtinas	0.780	0.528	0.642
admission	priėmimas	0.802	0.415	0.732
admit	pripažinti	0.538	0.423	0.667
admittance	priėmimas	0.690	0.451	0.598
admitted	leidžiama	0.720	0.490	0.767
admitting	prisipažįsta	0.620	0.500	0.546
admixture	priemaiša	0.450	0.375	0.438
admonition	įspėjimas	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	paauglystė	0.487	0.694	0.444
adolescent	paauglys	0.781	0.680	0.509
adopt	priimti	0.694	0.612	0.701
adoption	priėmimas	0.625	0.566	0.589
adoptive	priėmėjas	0.531	0.469	0.520
adorable	žavinga	0.969	0.519	0.457
adoration	adoracija	0.885	0.699	0.708
adore	garbinti	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	puošia	0.910	0.424	0.482
adornment	puošmena	0.918	0.373	0.377
adrenalin	adrenalinas	0.865	0.920	0.786
adrenaline	adrenalinas	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	suaugęs	0.815	0.491	0.787
adulterated	suklastotas	0.188	0.865	0.370
adulterer	svetimautojas	0.229	0.814	0.407
adultery	svetimavimu	0.120	0.922	0.510
adulthood	pilnametystė	0.541	0.454	0.652
advance	iš anksto	0.673	0.472	0.858
advanced	pažengusi	0.844	0.623	0.797
advancement	pažanga	0.776	0.650	0.839
advancing	artėjant	0.929	0.608	0.812
advantage	pranašumas	0.917	0.548	0.859
advantageous	naudinga	0.837	0.640	0.789
advent	Adventas	0.665	0.560	0.627
adventure	nuotykis	0.917	0.857	0.710
adventurer	nuotykių ieškotojas	0.781	0.839	0.868
adventures	nuotykiai	0.812	0.764	0.749
adventurous	nuotykis	0.969	0.898	0.722
adversary	priešas	0.349	0.777	0.457
adverse	neigiamas	0.323	0.610	0.385
adversity	nelaimė	0.276	0.760	0.538
advertise	reklamuoti	0.500	0.529	0.580
advertisement	skelbimas	0.600	0.566	0.539
advertising	reklama	0.622	0.608	0.632
adverts	skelbimai	0.551	0.500	0.595
advice	patarimas	0.698	0.408	0.688
advisable	patartinas	0.867	0.480	0.510
advise	patarti	0.760	0.393	0.705
advised	patarė	0.823	0.330	0.509
advisement	patarimas	0.698	0.235	0.655
adviser	patarėjas	0.745	0.362	0.705
advisor	patarėjas	0.646	0.350	0.689
advisory	patarimas	0.656	0.429	0.633
advocacy	advokatas	0.500	0.646	0.731
advocate	advokatas	0.551	0.530	0.818
aegis	euras	0.490	0.439	0.462
aeration	aeracija	0.550	0.500	0.433
aerial	antena	0.615	0.461	0.463
aerobics	aerobika	0.708	0.771	0.627
aerodrome	aerodromas	0.541	0.740	0.678
aerodynamic	aerodinaminis	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	lėktuvas	0.714	0.642	0.644
aerospace	kosmosas	0.643	0.520	0.779
aesthetic	estetinis	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologija	0.480	0.398	0.615
afar	toli	0.396	0.373	0.358
affable	draugiškas	0.704	0.380	0.452
affair	reikalas	0.520	0.459	0.657
affect	įtakos	0.458	0.569	0.578
affecting	įtakos	0.350	0.574	0.394
affection	meilė	0.898	0.559	0.696
affectionate	meilus	0.949	0.422	0.550
affections	jausmai	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	pažyma	0.469	0.584	0.526
affiliated	susijusi	0.673	0.519	0.535
affiliation	priklausomybė	0.615	0.594	0.500
affinity	giminingumas	0.800	0.500	0.537
affirm	patvirtinti	0.745	0.509	0.731
affirmation	patvirtinimas	0.750	0.500	0.689
affirmative	teigiamas	0.854	0.589	0.816
affirmatively	teigiamai	0.908	0.500	0.811
affix	prispausti	0.438	0.335	0.411
afflict	nerimauti	0.302	0.555	0.293
afflicted	nukentėjęs	0.271	0.500	0.167
affliction	nelaimė	0.294	0.635	0.392
affluence	gerovę	0.663	0.618	0.722
affluent	turtingas	0.756	0.388	0.477
afford	sau leisti	0.571	0.580	0.575
affordable	prieinama kaina	0.840	0.398	0.493
affront	apgauti	0.327	0.740	0.547
affronted	susprogdintas	0.385	0.750	0.527
afield	lauke	0.594	0.370	0.373
afire	gaisras	0.367	0.904	0.675
afloat	plaukioti	0.602	0.427	0.444
afore	anksčiau	0.500	0.337	0.382
aforementioned	minėtas	0.490	0.316	0.408
aforesaid	minėta	0.531	0.358	0.478
afraid	išsigandęs	0.010	0.775	0.245
afresh	iš naujo	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	po gyvenimo	0.571	0.567	0.568
aftermath	pasekmės	0.312	0.449	0.444
afternoon	po pietų	0.533	0.388	0.339
aftershave	po skutimosi	0.406	0.384	0.415
aftertaste	poskonis	0.354	0.362	0.455
afterthought	nepastebimas	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	Agape	0.612	0.529	0.464
agate	agatas	0.540	0.377	0.483
age	amžius	0.561	0.226	0.498
aged	amžiaus	0.135	0.365	0.236
agency	Agentūra	0.460	0.296	0.583
agenda	darbotvarkė	0.531	0.296	0.553
agent	agentas	0.480	0.439	0.755
agglomeration	aglomeracija	0.450	0.765	0.509
aggravate	sustiprėti	0.224	0.770	0.464
aggravated	sustiprėja	0.079	0.760	0.430
aggravates	sustiprėja	0.108	0.778	0.357
aggravating	sunkinantis	0.257	0.794	0.640
aggravation	pablogėjimas	0.071	0.784	0.613
aggregate	suvestinis rodiklis	0.730	0.378	0.556
aggregation	agregavimas	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresija	0.094	0.929	0.533
aggressive	agresyvus	0.125	0.949	0.648
aggressively	agresyviai	0.250	0.926	0.688
aggressiveness	agresyvumas	0.077	0.913	0.648
aggressor	agresoriaus	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	pyktis	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	judrus	0.800	0.657	0.775
agility	judrumas	0.720	0.702	0.815
aging	senėjimas	0.214	0.255	0.284
agitate	maišyti	0.300	0.796	0.593
agitated	susijaudinęs	0.444	0.882	0.491
agitation	agitacija	0.240	0.931	0.447
aglow	aglovas	0.780	0.510	0.797
agnostic	agnostikas	0.306	0.396	0.574
ago	prieš	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agonija	0.083	0.775	0.393
agoraphobia	agorafobija	0.127	0.712	0.438
agree	sutinku	0.906	0.260	0.545
agreeable	malonus	0.906	0.500	0.696
agreed	susitarta	0.797	0.449	0.574
agreeing	susitarti	0.854	0.480	0.557
agreement	susitarimas	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	žemės ūkio	0.686	0.321	0.473
agriculture	Žemdirbystė	0.640	0.357	0.465
aground	miške	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	priekyje	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	pagalba	0.796	0.491	0.541
aide	pagalbininkas	0.724	0.342	0.434
aiding	pagalbą	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	sergantis	0.094	0.518	0.153
ailment	negalavimas	0.146	0.734	0.277
aim	tikslas	0.481	0.569	0.567
aimless	begalinis	0.150	0.267	0.183
air	oras	0.708	0.163	0.427
airbag	oro pagalvė	0.510	0.402	0.433
airborne	ore	0.542	0.519	0.385
aircraft	orlaivis	0.646	0.644	0.691
aircraft carrier	lėktuvnešis	0.490	0.740	0.727
airfield	aerodromas	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	oro transportas	0.573	0.622	0.642
airline	aviakompanija	0.650	0.482	0.688
airliner	lėktuvas	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	lėktuvas	0.719	0.702	0.708
airport	oro uostas	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	dirižablis	0.542	0.472	0.529
airspace	oro erdvė	0.562	0.510	0.640
airspeed	oro sparta	0.583	0.780	0.544
airstrip	aerodromas	0.550	0.690	0.649
airtight	hermetiškas	0.479	0.381	0.570
airway	kvėpavimo takai	0.638	0.585	0.482
aisle	praeitis	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	artimas	0.639	0.343	0.523
alabaster	alabastras	0.542	0.404	0.445
alarm	signalizacija	0.241	0.882	0.698
alarm clock	Žadintuvas	0.542	0.727	0.642
alarmed	susirūpinęs	0.188	0.822	0.492
alarming	nerimą keliantis	0.204	0.890	0.585
alas	deja	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	Albatrosas	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	albumas	0.635	0.349	0.453
alchemy	alchemija	0.541	0.583	0.693
alcohol	alkoholis	0.323	0.667	0.377
alcoholic	alkoholinis	0.153	0.688	0.361
alcoholism	alkoholizmas	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	aldermanas	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	budrus	0.479	0.820	0.648
alertness	budrumas	0.375	0.875	0.750
alerts	perspėjimai	0.337	0.804	0.673
alfalfa	liucerna	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebrinė	0.531	0.412	0.441
algorithm	algoritmas	0.448	0.394	0.559
alias	slapyvardis	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	užsienietis	0.410	0.615	0.491
alienate	atsikratyti	0.247	0.500	0.523
alienated	pašalintas	0.410	0.423	0.559
alienation	atsiskyrimas	0.378	0.530	0.462
alight	palikti	0.667	0.657	0.605
align	suderinti	0.656	0.364	0.627
aligned	sulygiuota	0.583	0.275	0.553
alignment	suderinimas	0.643	0.412	0.683
alike	panašiai	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimentai	0.612	0.477	0.464
aliquot	alikvotinė dalis	0.440	0.310	0.404
alive	gyvas	0.816	0.637	0.731
alkali	šarmai	0.490	0.350	0.408
alkaloids	alkaloidai	0.433	0.562	0.402
allay	atsipalaiduoti	0.417	0.406	0.398
allegation	tvirtinimas	0.578	0.578	0.608
allege	pasakyk	0.418	0.482	0.587
alleged	tariamas	0.365	0.522	0.520
allegiance	ištikimybė	0.917	0.398	0.750
allegorical	alegoriškas	0.517	0.558	0.598
allegory	alegorija	0.615	0.580	0.509
allegro	allegoras	0.635	0.627	0.453
allergic	alergiškas	0.135	0.549	0.273
allergy	alergija	0.296	0.606	0.389
alleviate	palengvinti	0.869	0.270	0.528
alleviation	palengvinimas	0.735	0.200	0.491
alley	alėja	0.347	0.500	0.355
alleyway	alėja	0.357	0.471	0.382
alliance	aljansas	0.696	0.473	0.769
allied	sąjungininkas	0.714	0.245	0.642
alligator	aligatorius	0.354	0.704	0.645
allocate	paskirstyti	0.673	0.462	0.672
allocation	paskirstymas	0.604	0.388	0.679
allot	paskirstyti	0.622	0.481	0.616
allotment	paskirstymas	0.600	0.390	0.640
allow	leisti	0.698	0.429	0.538
allowable	leidžiama	0.698	0.500	0.561
allowance	pašalpa	0.673	0.382	0.591
allowed	leidžiama	0.730	0.360	0.655
alloy	lydinys	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	Allure	0.804	0.585	0.686
alluring	viliojantis	0.837	0.745	0.843
allusion	aliuzija	0.440	0.308	0.462
alluvial	aliuviškas	0.323	0.490	0.491
ally	sąjungininkas	0.792	0.320	0.688
almanac	almanachas	0.688	0.190	0.412
almighty	visagalis	0.938	0.874	0.958
almond	migdolai	0.698	0.183	0.314
aloft	aukštyn	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	vienas	0.333	0.167	0.216
alongside	šalia	0.458	0.333	0.347
aloof	atskirai	0.189	0.423	0.302
aloud	garsiai	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	abėcėlė	0.562	0.204	0.672
alphabetical	abėcėlės tvarka	0.537	0.296	0.535
alpine	alpinis	0.594	0.337	0.474
alreadyyyyy	jau yyyy	0.592	0.717	0.351
altar	altorius	0.724	0.387	0.635
altar boy	altoriaus berniukas	0.434	0.206	0.350
alter	pakeisti	0.333	0.694	0.654
alteration	pakeitimas	0.167	0.798	0.609
altercation	pasikeitimas	0.170	0.806	0.500
altered	pakeista	0.255	0.765	0.500
alternate	Alternatyva	0.625	0.363	0.589
alternating	pakaitomis	0.480	0.494	0.542
alternative	alternatyva	0.628	0.373	0.631
altimeter	altimetras	0.615	0.510	0.580
altitude	aukštis virš jūros lygio	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	iš viso	0.833	0.324	0.644
aluminum	aliuminis	0.449	0.280	0.434
alumnus	auklėtojas	0.633	0.368	0.422
alveolar	alveolinis	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	susijungimas	0.406	0.470	0.531
amaretto	amaretas	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	mėgėjas	0.469	0.500	0.409
amaze	stebinti	0.896	0.843	0.783
amazed	nustebintas	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	stebuklas	0.750	0.800	0.639
amazing	nuostabus	0.906	0.837	0.849
amazingly	nuostabiai	0.918	0.765	0.920
ambassador	ambasadorius	0.651	0.529	0.917
amber	gintaras	0.635	0.308	0.369
ambience	atmosfera	0.735	0.356	0.426
ambient	ambientas	0.625	0.360	0.582
ambiguity	dviprasmiškumas	0.164	0.460	0.370
ambiguous	dviprasmiškas	0.265	0.462	0.358
ambit	sritis	0.479	0.380	0.386
ambition	ambicija	0.510	0.804	0.661
ambitious	ambicingas	0.484	0.821	0.717
ambivalent	dvilypis	0.510	0.404	0.482
ambrosia	ambrosija	0.571	0.452	0.480
ambulance	greitosios pagalbos automobilis	0.500	0.750	0.609
ambush	pasala	0.281	0.830	0.500
ameliorate	pagerinti	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	paklusnumas	0.448	0.410	0.406
amend	pataisyti	0.688	0.406	0.658
amendment	pakeitimas	0.531	0.459	0.606
amends	taiso	0.640	0.366	0.517
amenity	malonumas	0.750	0.327	0.574
amethyst	Ametistas	0.622	0.406	0.517
amiable	linksmas	0.847	0.290	0.483
amicable	draugiškas	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	amunicija	0.323	0.765	0.621
ammonia	amoniakas	0.292	0.587	0.409
ammonium	amonio	0.354	0.396	0.368
ammunition	amunicija	0.338	0.635	0.667
amnesia	amnezija	0.296	0.330	0.308
amnesty	amnestija	0.551	0.451	0.814
amorous	mylimasis	0.844	0.670	0.636
amorphous	amorfinis	0.327	0.402	0.349
amortization	amortizacija	0.592	0.491	0.522
amount	suma	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	stiprintuvas	0.439	0.393	0.375
ampersand	ampersandas	0.480	0.448	0.483
amphetamines	amfetaminai	0.133	0.667	0.526
amphibian	amfibija	0.427	0.357	0.474
amphibious	amfibijas	0.479	0.346	0.445
amphitheater	amfiteatras	0.653	0.480	0.545
ample	gausu	0.744	0.349	0.719
amplification	stiprinimas	0.690	0.677	0.810
amplify	didinti	0.677	0.735	0.827
amplitude	amplitudė	0.694	0.439	0.692
amply	pakankamai	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputacija	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amuletas	0.781	0.260	0.630
amuse	linksmintis	0.812	0.684	0.664
amused	linksma	0.942	0.847	0.596
amusement	pramogos	0.929	0.837	0.803
amusing	juokinga	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	Anaconda	0.146	0.830	0.540
anaesthesia	anestezija	0.350	0.217	0.473
