Word	Dutch-nl	Valence	Arousal	Dominance
adhering	hechtende	0.612	0.561	0.537
adhesion	adhesie	0.521	0.445	0.586
adhesive	zelfklevend	0.604	0.350	0.413
adieu	Adieu	0.250	0.471	0.342
adipose	vet	0.333	0.350	0.391
adjacency	nabijheid	0.365	0.417	0.375
adjacent	aangrenzend	0.645	0.276	0.536
adjective	bijvoeglijk naamwoord	0.570	0.316	0.569
adjoining	aangrenzende	0.520	0.400	0.393
adjourn	verdagen	0.385	0.456	0.475
adjournment	verdaging	0.438	0.510	0.370
adjudicate	berechten	0.559	0.520	0.683
adjudication	toewijzing	0.551	0.462	0.691
adjunct	toevoegsel	0.459	0.440	0.426
adjust	aanpassen	0.647	0.327	0.638
adjuster	regelaar	0.510	0.540	0.760
adjustment	aanpassing	0.590	0.520	0.661
adjuvant	adjuvans	0.510	0.500	0.456
admin	beheerder	0.688	0.420	0.854
administer	beheren	0.635	0.425	0.860
administration	administratie	0.625	0.404	0.786
administrative	administratief	0.542	0.415	0.579
administrator	beheerder	0.538	0.480	0.902
admirable	bewonderenswaardig	0.929	0.600	0.870
admiral	admiraal	0.844	0.490	0.847
admiralty	admiraliteit	0.594	0.547	0.733
admiration	bewondering	0.969	0.583	0.726
admire	bewonderen	0.867	0.692	0.704
admired	bewonderd	0.917	0.560	0.815
admirer	bewonderaar	0.796	0.720	0.650
admiring	bewonderend	0.867	0.578	0.629
admissibility	toelaatbaarheid	0.802	0.580	0.602
admissible	toelaatbaar	0.780	0.528	0.642
admission	toelating	0.802	0.415	0.732
admit	toegeven	0.538	0.423	0.667
admittance	toelating	0.690	0.451	0.598
admitted	toegegeven	0.720	0.490	0.767
admitting	toelaten	0.620	0.500	0.546
admixture	toevoegsel	0.450	0.375	0.438
admonition	vermaning	0.357	0.606	0.455
ado	ophef	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescentie	0.487	0.694	0.444
adolescent	puber	0.781	0.680	0.509
adopt	adopteren	0.694	0.612	0.701
adoption	adoptie	0.625	0.566	0.589
adoptive	aangenomen	0.531	0.469	0.520
adorable	aanbiddelijk	0.969	0.519	0.457
adoration	aanbidding	0.885	0.699	0.708
adore	dol zijn op	0.854	0.438	0.657
adoring	bewonderende	0.885	0.620	0.717
adorn	sieren	0.910	0.424	0.482
adornment	versiering	0.918	0.373	0.377
adrenalin	adrenaline	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	drijvend	0.398	0.486	0.230
adult	volwassen	0.815	0.491	0.787
adulterated	vervalste	0.188	0.865	0.370
adulterer	overspelige	0.229	0.814	0.407
adultery	overspel	0.120	0.922	0.510
adulthood	volwassenheid	0.541	0.454	0.652
advance	van te voren	0.673	0.472	0.858
advanced	gevorderd	0.844	0.623	0.797
advancement	vordering	0.776	0.650	0.839
advancing	oprukkende	0.929	0.608	0.812
advantage	voordeel	0.917	0.548	0.859
advantageous	voordelig	0.837	0.640	0.789
advent	komst	0.665	0.560	0.627
adventure	avontuur	0.917	0.857	0.710
adventurer	avonturier	0.781	0.839	0.868
adventures	avonturen	0.812	0.764	0.749
adventurous	avontuurlijk	0.969	0.898	0.722
adversary	tegenstander	0.349	0.777	0.457
adverse	nadelige	0.323	0.610	0.385
adversity	tegenslag	0.276	0.760	0.538
advertise	adverteren	0.500	0.529	0.580
advertisement	advertentie	0.600	0.566	0.539
advertising	reclame	0.622	0.608	0.632
adverts	advertenties	0.551	0.500	0.595
advice	advies	0.698	0.408	0.688
advisable	raadzaam	0.867	0.480	0.510
advise	adviseren	0.760	0.393	0.705
advised	adviseerde	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	raadgever	0.745	0.362	0.705
advisor	adviseur	0.646	0.350	0.689
advisory	adviserend	0.656	0.429	0.633
advocacy	voorspraak	0.500	0.646	0.731
advocate	pleiten voor	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	beluchting	0.550	0.500	0.433
aerial	antenne	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	vliegterrein	0.541	0.740	0.678
aerodynamic	aërodynamisch	0.561	0.724	0.728
aerodynamics	aërodynamica	0.590	0.663	0.722
aeronautics	luchtvaart	0.551	0.633	0.688
aeroplane	vliegtuig	0.714	0.642	0.644
aerospace	ruimte	0.643	0.520	0.779
aesthetic	aesthetisch	0.708	0.442	0.526
aesthetics	schoonheidsleer	0.847	0.327	0.549
aetiology	etiologie	0.480	0.398	0.615
afar	in de verte	0.396	0.373	0.358
affable	minzaam	0.704	0.380	0.452
affair	affaire	0.520	0.459	0.657
affect	aantasten	0.458	0.569	0.578
affecting	invloed	0.350	0.574	0.394
affection	genegenheid	0.898	0.559	0.696
affectionate	hartelijk	0.949	0.422	0.550
affections	affecties	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	beëdigde verklaring	0.469	0.584	0.526
affiliated	aangesloten	0.673	0.519	0.535
affiliation	aansluiting	0.615	0.594	0.500
affinity	affiniteit	0.800	0.500	0.537
affirm	bevestigen	0.745	0.509	0.731
affirmation	bevestiging	0.750	0.500	0.689
affirmative	bevestigend	0.854	0.589	0.816
affirmatively	bevestigend	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	teisteren	0.302	0.555	0.293
afflicted	geteisterd	0.271	0.500	0.167
affliction	bezoeking	0.294	0.635	0.392
affluence	rijkdom	0.663	0.618	0.722
affluent	zijrivier	0.756	0.388	0.477
afford	veroorloven	0.571	0.580	0.575
affordable	betaalbare	0.840	0.398	0.493
affront	belediging	0.327	0.740	0.547
affronted	beledigd	0.385	0.750	0.527
afield	weg	0.594	0.370	0.373
afire	een vuur	0.367	0.904	0.675
afloat	drijvend	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	voornoemd	0.490	0.316	0.408
aforesaid	voornoemd	0.531	0.358	0.478
afraid	bang	0.010	0.775	0.245
afresh	opnieuw	0.643	0.521	0.480
african	Afrikaanse	0.490	0.423	0.555
aft	achteruit	0.480	0.417	0.518
afterlife	het hiernamaals	0.571	0.567	0.568
aftermath	nasleep	0.312	0.449	0.444
afternoon	middag	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	nasmaak	0.354	0.362	0.455
afterthought	nadere overweging	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	met open mond	0.612	0.529	0.464
agate	agaat	0.540	0.377	0.483
age	leeftijd	0.561	0.226	0.498
aged	oud	0.135	0.365	0.236
agency	agentschap	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	opeenhoping	0.450	0.765	0.509
aggravate	verergeren	0.224	0.770	0.464
aggravated	verergerd	0.079	0.760	0.430
aggravates	verergert	0.108	0.778	0.357
aggravating	verzwarend	0.257	0.794	0.640
aggravation	verergering	0.071	0.784	0.613
aggregate	aggregaat	0.730	0.378	0.556
aggregation	aggregatie	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agressie	0.094	0.929	0.533
aggressive	agressief	0.125	0.949	0.648
aggressively	agressief	0.250	0.926	0.688
aggressiveness	agressiviteit	0.077	0.913	0.648
aggressor	agressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ontzet	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	behendig	0.800	0.657	0.775
agility	behendigheid	0.720	0.702	0.815
aging	veroudering	0.214	0.255	0.284
agitate	agiteren	0.300	0.796	0.593
agitated	opgewonden	0.444	0.882	0.491
agitation	agitatie	0.240	0.931	0.447
aglow	gloelend	0.780	0.510	0.797
agnostic	agnostisch	0.306	0.396	0.574
ago	geleden	0.317	0.280	0.404
agonizing	pijnlijke	0.083	0.800	0.340
agony	doodsangst	0.083	0.775	0.393
agoraphobia	agorafobie	0.127	0.712	0.438
agree	mee eens	0.906	0.260	0.545
agreeable	aangenaam	0.906	0.500	0.696
agreed	Akkoord	0.797	0.449	0.574
agreeing	akkoord	0.854	0.480	0.557
agreement	overeenkomst	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrarisch	0.686	0.321	0.473
agriculture	landbouw	0.640	0.357	0.465
aground	aan de grond	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	verder	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoi	0.500	0.497	0.380
aid	steun	0.796	0.491	0.541
aide	assistent	0.724	0.342	0.434
aiding	helpen	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ziekelijk	0.094	0.518	0.153
ailment	kwaal	0.146	0.734	0.277
aim	doel	0.481	0.569	0.567
aimless	doelloos	0.150	0.267	0.183
air	lucht	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	in de lucht	0.542	0.519	0.385
aircraft	vliegtuig	0.646	0.644	0.691
aircraft carrier	vliegdekschip	0.490	0.740	0.727
airfield	vliegveld	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	luchtbrug	0.573	0.622	0.642
airline	vliegmaatschappij	0.650	0.482	0.688
airliner	passagiersvliegtuig	0.667	0.777	0.647
airlock	luchtsluis	0.398	0.520	0.447
airman	vlieger	0.587	0.716	0.721
airplane	vliegtuig	0.719	0.702	0.708
airport	luchthaven	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	luchtschip	0.542	0.472	0.529
airspace	luchtruim	0.562	0.510	0.640
airspeed	luchtsnelheid	0.583	0.780	0.544
airstrip	landingsbaan	0.550	0.690	0.649
airtight	luchtdicht	0.479	0.381	0.570
airway	luchtweg	0.638	0.585	0.482
aisle	gangpad	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	verwant	0.639	0.343	0.523
alabaster	albast	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	wekker	0.542	0.727	0.642
alarmed	gealarmeerd	0.188	0.822	0.492
alarming	zorgwekkend	0.204	0.890	0.585
alas	Helaas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchimie	0.541	0.583	0.693
alcohol	alcohol	0.323	0.667	0.377
alcoholic	alcoholisch	0.153	0.688	0.361
alcoholism	alcoholisme	0.061	0.779	0.407
alcove	prieel	0.490	0.340	0.356
alderman	wethouder	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alarm	0.479	0.820	0.648
alertness	waakzaamheid	0.375	0.875	0.750
alerts	waarschuwingen	0.337	0.804	0.673
alfalfa	luzerne	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraïsch	0.531	0.412	0.441
algorithm	algoritme	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	vreemdeling	0.410	0.615	0.491
alienate	vervreemden	0.247	0.500	0.523
alienated	vervreemd	0.410	0.423	0.559
alienation	vervreemding	0.378	0.530	0.462
alight	uitstappen	0.667	0.657	0.605
align	richten	0.656	0.364	0.627
aligned	uitgelijnd	0.583	0.275	0.553
alignment	opstelling	0.643	0.412	0.683
alike	gelijk	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimentatie	0.612	0.477	0.464
aliquot	evenmatig	0.440	0.310	0.404
alive	levend	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloïden	0.433	0.562	0.402
allay	verminderen	0.417	0.406	0.398
allegation	bewering	0.578	0.578	0.608
allege	beweren	0.418	0.482	0.587
alleged	beweerde	0.365	0.522	0.520
allegiance	trouw	0.917	0.398	0.750
allegorical	allegorisch	0.517	0.558	0.598
allegory	allegorie	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergisch	0.135	0.549	0.273
allergy	allergie	0.296	0.606	0.389
alleviate	verlichten	0.869	0.270	0.528
alleviation	verlichting	0.735	0.200	0.491
alley	steeg	0.347	0.500	0.355
alleyway	gang	0.357	0.471	0.382
alliance	bondgenootschap	0.696	0.473	0.769
allied	geallieerd	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	toewijzen	0.673	0.462	0.672
allocation	toewijzing	0.604	0.388	0.679
allot	verloten	0.622	0.481	0.616
allotment	toewijzing	0.600	0.390	0.640
allow	toestaan	0.698	0.429	0.538
allowable	toelaatbaar	0.698	0.500	0.561
allowance	toelage	0.673	0.382	0.591
allowed	toegestaan	0.730	0.360	0.655
alloy	legering	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	verleiden	0.804	0.585	0.686
alluring	verleidelijk	0.837	0.745	0.843
allusion	zinspeling	0.440	0.308	0.462
alluvial	alluviaal	0.323	0.490	0.491
ally	bondgenoot	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	almachtig	0.938	0.874	0.958
almond	amandel	0.698	0.183	0.314
aloft	omhoog	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	alleen	0.333	0.167	0.216
alongside	naast	0.458	0.333	0.347
aloof	afzijdig	0.189	0.423	0.302
aloud	hardop	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetisch	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altaar	0.724	0.387	0.635
altar boy	misdienaar	0.434	0.206	0.350
alter	wijzigen	0.333	0.694	0.654
alteration	wijziging	0.167	0.798	0.609
altercation	woordenwisseling	0.170	0.806	0.500
altered	gewijzigd	0.255	0.765	0.500
alternate	afwisselend	0.625	0.363	0.589
alternating	alternerende	0.480	0.494	0.542
alternative	alternatief	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	hoogte	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	allemaal samen	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	oud-leerling	0.633	0.368	0.422
alveolar	alveolaar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgaam	0.438	0.333	0.510
amalgamation	vermenging	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	stapelen	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	verbazen	0.896	0.843	0.783
amazed	versteld staan	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	verbazing	0.750	0.800	0.639
amazing	verbazingwekkend	0.906	0.837	0.849
amazingly	verbazend	0.918	0.765	0.920
ambassador	ambassadeur	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	sfeer	0.735	0.356	0.426
ambient	omringend	0.625	0.360	0.582
ambiguity	dubbelzinnigheid	0.164	0.460	0.370
ambiguous	dubbelzinnig	0.265	0.462	0.358
ambit	omvang	0.479	0.380	0.386
ambition	ambitie	0.510	0.804	0.661
ambitious	ambitieus	0.484	0.821	0.717
ambivalent	tegenstrijdig	0.510	0.404	0.482
ambrosia	ambrozijn	0.571	0.452	0.480
ambulance	ambulance	0.500	0.750	0.609
ambush	hinderlaag	0.281	0.830	0.500
ameliorate	verbeteren	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	vatbaar	0.448	0.410	0.406
amend	wijzigen	0.688	0.406	0.658
amendment	amendement	0.531	0.459	0.606
amends	compensatie	0.640	0.366	0.517
amenity	faciliteiten	0.750	0.327	0.574
amethyst	amethist	0.622	0.406	0.517
amiable	beminnelijk	0.847	0.290	0.483
amicable	minnelijk	0.875	0.330	0.507
amid	midden	0.510	0.340	0.256
amidst	midden	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammunitie	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	munitie	0.338	0.635	0.667
amnesia	geheugenverlies	0.296	0.330	0.308
amnesty	amnestie	0.551	0.451	0.814
amorous	verliefd	0.844	0.670	0.636
amorphous	amorfe	0.327	0.402	0.349
amortization	afschrijvingen	0.592	0.491	0.522
amount	bedrag	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetaminen	0.133	0.667	0.526
amphibian	amfibie	0.427	0.357	0.474
amphibious	amfibisch	0.479	0.346	0.445
amphitheater	amfitheater	0.653	0.480	0.545
ample	ruim	0.744	0.349	0.719
amplification	versterking	0.690	0.677	0.810
amplify	versterken	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	ruimschoots	0.781	0.431	0.766
amputate	amputeren	0.092	0.660	0.509
amputation	amputatie	0.100	0.755	0.483
amuck	amok	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	amuseren	0.812	0.684	0.664
amused	geamuseerd	0.942	0.847	0.596
amusement	amusement	0.929	0.837	0.803
amusing	amusant	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesie	0.350	0.217	0.473
anaesthetic	verdovingsmiddel	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anaal	0.333	0.798	0.334
analgesic	pijnstillend	0.417	0.321	0.441
analogous	analoog	0.531	0.270	0.500
analogue	analoog	0.570	0.320	0.446
analogy	analogie	0.510	0.367	0.509
analysis	analyse	0.729	0.448	0.705
analyst	analyst	0.604	0.415	0.755
analytic	analytisch	0.665	0.521	0.634
