Word	Lao-lo	Valence	Arousal	Dominance
activate	activate	0.764	0.650	0.806
activation	activation	0.781	0.800	0.754
active	active	0.847	0.730	0.731
activist	activist	0.531	0.653	0.877
activity	ກິດຈະກໍາ	0.701	0.660	0.807
actor	ນັກສະແດງ	0.653	0.561	0.629
actress	ນັກສະແດງ	0.633	0.556	0.596
actual	ຈິງ	0.729	0.400	0.716
actuality	ຈິງໆ	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	ຮຸນ​ແຮງ	0.427	0.652	0.534
acutely	ຢ່າງລຸນແຮງ	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	ຫມັ້ນຄົງ	0.344	0.529	0.575
adapt	ດັດແປງ	0.740	0.355	0.551
adaptable	ສາມາດປັບໄດ້	0.735	0.423	0.641
adaptation	ການຮັບຮອງເອົາ	0.663	0.365	0.609
add	ເພີ່ມເຕີມ	0.728	0.490	0.554
added	ເພີ່ມ	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	addict	0.075	0.696	0.327
addicted	ຕິດ	0.156	0.712	0.483
addiction	addiction	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	ນອກເຫນືອຈາກນັ້ນ	0.562	0.373	0.471
additional	ເພີ່ມເຕີມ	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	ທີ່ຢູ່	0.650	0.327	0.567
addressee	ຜູ້ຂຽນ	0.622	0.382	0.538
addresses	ທີ່ຢູ່	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	ພຽງພໍ	0.615	0.435	0.702
adequate	ພຽງພໍ	0.854	0.264	0.705
adhere	ຕິດຕາມ	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	ຕິດຕາມ	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	ຢູ່ໃກ້ຄຽງ	0.645	0.276	0.536
adjective	adjective	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	ເລື່ອນເວລາ	0.385	0.456	0.475
adjournment	ການເລື່ອນເວລາ	0.438	0.510	0.370
adjudicate	ຕັດສິນ	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	ປັບປຸງ	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	ການປັບປຸງ	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	ຄຸ້ມຄອງ	0.635	0.425	0.860
administration	ການບໍລິຫານ	0.625	0.404	0.786
administrative	ການບໍລິຫານ	0.542	0.415	0.579
administrator	ຜູ້​ບໍ​ລິ​ຫານ	0.538	0.480	0.902
admirable	ຫນ້າຮັກ	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	ຊົມເຊີຍ	0.969	0.583	0.726
admire	ຊົມເຊີຍ	0.867	0.692	0.704
admired	ຊົມເຊີຍ	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	ຊົມເຊີຍ	0.867	0.578	0.629
admissibility	ຍອມຮັບ	0.802	0.580	0.602
admissible	ຍອມຮັບ	0.780	0.528	0.642
admission	admission	0.802	0.415	0.732
admit	ຍອມຮັບ	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	ຍອມຮັບ	0.720	0.490	0.767
admitting	ຍອມຮັບ	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	ຄໍາແນະນໍາ	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ໄວລຸ້ນ	0.487	0.694	0.444
adolescent	ໄວລຸ້ນ	0.781	0.680	0.509
adopt	ຮັບຮອງເອົາ	0.694	0.612	0.701
adoption	ການຮັບຮອງເອົາ	0.625	0.566	0.589
adoptive	adoptive	0.531	0.469	0.520
adorable	ຫນ້າຮັກ	0.969	0.519	0.457
adoration	ຫນ້າຮັກ	0.885	0.699	0.708
adore	ຮັກແພງ	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	ຕົກແຕ່ງ	0.910	0.424	0.482
adornment	ເຄື່ອງປະດັບ	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	ຫລີກລ່ຽງ	0.398	0.486	0.230
adult	ຜູ້ໃຫຍ່	0.815	0.491	0.787
adulterated	ປອມແປງ	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	ການລ່ວງລະເມີດ	0.120	0.922	0.510
adulthood	adulthood	0.541	0.454	0.652
advance	ລ່ວງຫນ້າ	0.673	0.472	0.858
advanced	advanced	0.844	0.623	0.797
advancement	ຄວາມກ້າວຫນ້າ	0.776	0.650	0.839
advancing	ກ້າວຫນ້າ	0.929	0.608	0.812
advantage	ປະໂຫຍດ	0.917	0.548	0.859
advantageous	ມີປະໂຍດ	0.837	0.640	0.789
advent	ມາຮອດ	0.665	0.560	0.627
adventure	ໄຟອັນຕລາຍ	0.917	0.857	0.710
adventurer	ເຫດການ	0.781	0.839	0.868
adventures	ເຫດການ	0.812	0.764	0.749
adventurous	ການຜະຈົນໄພ	0.969	0.898	0.722
adversary	opponent	0.349	0.777	0.457
adverse	ເປັນທາງລົບ	0.323	0.610	0.385
adversity	ຄວາມຍາກລໍາບາກ	0.276	0.760	0.538
advertise	ໂຄສະນາ	0.500	0.529	0.580
advertisement	ການໂຄສະນາ	0.600	0.566	0.539
advertising	ການໂຄສະນາ	0.622	0.608	0.632
adverts	ໂຄສະນາ	0.551	0.500	0.595
advice	ຄໍາແນະນໍາ	0.698	0.408	0.688
advisable	ຄວນແນະນໍາ	0.867	0.480	0.510
advise	ໃຫ້ຄໍາແນະນໍາ	0.760	0.393	0.705
advised	ແນະນໍາ	0.823	0.330	0.509
advisement	ຄໍາແນະນໍາ	0.698	0.235	0.655
adviser	ທີ່ປຶກສາ	0.745	0.362	0.705
advisor	ທີ່ປຶກສາ	0.646	0.350	0.689
advisory	ຄໍາແນະນໍາ	0.656	0.429	0.633
advocacy	ການສະຫນັບສະຫນູນ	0.500	0.646	0.731
advocate	ສະຫນັບສະຫນູນ	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	ເຮືອບິນ	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	ຄວາມງາມ	0.708	0.442	0.526
aesthetics	ສຸຂະພາບ	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	ຫ່າງໄກ	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	ເລື່ອງ	0.520	0.459	0.657
affect	ຜົນກະທົບ	0.458	0.569	0.578
affecting	affecting	0.350	0.574	0.394
affection	ຄວາມຮັກ	0.898	0.559	0.696
affectionate	ຮັກແພງ	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	ຕິດຕໍ່	0.673	0.519	0.535
affiliation	ພັນທະມິດ	0.615	0.594	0.500
affinity	affinity	0.800	0.500	0.537
affirm	ຢືນຢັນ	0.745	0.509	0.731
affirmation	ການຢືນຢັນ	0.750	0.500	0.689
affirmative	ຍືນຍັນ	0.854	0.589	0.816
affirmatively	ຢ່າງແນ່ນອນ	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	ທຸກທໍລະມານ	0.302	0.555	0.293
afflicted	ທຸກທໍລະມານ	0.271	0.500	0.167
affliction	ຄວາມທຸກທໍລະມານ	0.294	0.635	0.392
affluence	ຄວາມອຸດົມສົມບູນ	0.663	0.618	0.722
affluent	ມີກໍາລັງໃຈ	0.756	0.388	0.477
afford	ສາມາດຈ່າຍໄດ້	0.571	0.580	0.575
affordable	affordable	0.840	0.398	0.493
affront	ຫນ້າຢ້ານກົວ	0.327	0.740	0.547
affronted	ຫນ້າຢ້ານກົວ	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	ໄຟ	0.367	0.904	0.675
afloat	ລ່ອງລອຍ	0.602	0.427	0.444
afore	ກ່ອນຫນ້ານີ້	0.500	0.337	0.382
aforementioned	aforementioned	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	ຢ້ານ	0.010	0.775	0.245
afresh	ໃຫມ່	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	afterlife	0.571	0.567	0.568
aftermath	aftermath	0.312	0.449	0.444
afternoon	ຕອນບ່າຍ	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	ອາຍຸສູງສຸດ	0.561	0.226	0.498
aged	ອາຍຸ	0.135	0.365	0.236
agency	agency	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	ຕົວແທນ	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	aggravate	0.224	0.770	0.464
aggravated	aggravated	0.079	0.760	0.430
aggravates	ເພີ່ມເຕີມ	0.108	0.778	0.357
aggravating	ເພີ່ມເຕີມ	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	ລວມ	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ການຮຸກຮານ	0.094	0.929	0.533
aggressive	ຮຸກຮານ	0.125	0.949	0.648
aggressively	ຢ່າງຮຸນແຮງ	0.250	0.926	0.688
aggressiveness	aggressiveness	0.077	0.913	0.648
aggressor	ຜູ້ຮຸກຮານ	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ວ່ອງໄວ	0.800	0.657	0.775
agility	ວ່ອງໄວ	0.720	0.702	0.815
aging	aging	0.214	0.255	0.284
agitate	ກະຕືລືລົ້ນ	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	ກ່ອນຫນ້ານີ້	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	ຄວາມເຈັບປວດ	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	ຍອມຮັບ	0.906	0.260	0.545
agreeable	ຍິນດີ	0.906	0.500	0.696
agreed	ໄດ້ຕົກລົງກັນ	0.797	0.449	0.574
agreeing	ຍອມຮັບ	0.854	0.480	0.557
agreement	ຂໍ້ຕົກລົງ	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ກະສິກໍາ	0.686	0.321	0.473
agriculture	ການກະສິກໍາ	0.640	0.357	0.465
aground	ຂັດຂວາງ	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ຂ້າງຫນ້າ	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	ຊ່ວຍເຫຼືອ	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	ການຊ່ວຍເຫຼືອ	0.643	0.533	0.569
aids	ຊ່ວຍເຫຼືອ	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ເຈັບປ່ວຍ	0.094	0.518	0.153
ailment	ໂລກພະຍາດ	0.146	0.734	0.277
aim	ຈຸດປະສົງ	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	ອາກາດ	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ອາກາດ	0.542	0.519	0.385
aircraft	ເຄື່ອງບິນ	0.646	0.644	0.691
aircraft carrier	ເຮືອບິນ	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	ສາຍການບິນ	0.650	0.482	0.688
airliner	ເຮືອບິນ	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ເຮືອບິນ	0.719	0.702	0.708
airport	ສະ​ຫນາມ​ບິນ	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	ທາງອາກາດ	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	ເຕືອນ	0.241	0.882	0.698
alarm clock	ໂມງ​ປຸກ	0.542	0.727	0.642
alarmed	ເຕືອນ	0.188	0.822	0.492
alarming	ເປັນອັນຕະລາຍ	0.204	0.890	0.585
alas	ອືມ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	ອັນລະບັ້ມ	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	ເຫຼົ້າ	0.323	0.667	0.377
alcoholic	ເຫຼົ້າແວງ	0.153	0.688	0.361
alcoholism	alcoholism	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ເຕືອນ	0.479	0.820	0.648
alertness	ຄວາມວ່ອງໄວ	0.375	0.875	0.750
alerts	ແຈ້ງເຕືອນ	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	ຄົນຕ່າງດ້າວ	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienated	0.410	0.423	0.559
alienation	alienation	0.378	0.530	0.462
alight	ໄຟໄຫມ້	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	aligned	0.583	0.275	0.553
alignment	alignment	0.643	0.412	0.683
alike	ຄືກັນ	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	ມີຊີວິດຢູ່	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	ເຮັດໃຫ້ທັງຫມົດ	0.417	0.406	0.398
allegation	ຂໍ້ກ່າວຫາ	0.578	0.578	0.608
allege	ກ່າວຫາ	0.418	0.482	0.587
alleged	ຖືກກ່າວຫາ	0.365	0.522	0.520
allegiance	ຄວາມຈົງຮັກພັກດີ	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	ອາການແພ້	0.135	0.549	0.273
allergy	ອາການແພ້	0.296	0.606	0.389
alleviate	ແກ້ບັນຫາ	0.869	0.270	0.528
alleviation	ການຫຼຸດຜ່ອນ	0.735	0.200	0.491
alley	ຊອຍ	0.347	0.500	0.355
alleyway	ທາງທິດໃຕ້	0.357	0.471	0.382
alliance	ພັນທະມິດ	0.696	0.473	0.769
allied	allied	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	ຈັດສັນ	0.673	0.462	0.672
allocation	ການຈັດສັນ	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	ການແບ່ງປັນ	0.600	0.390	0.640
allow	ອະນຸຍາດໃຫ້	0.698	0.429	0.538
allowable	ອະນຸຍາດໃຫ້	0.698	0.500	0.561
allowance	ຄ່າໃຊ້ຈ່າຍ	0.673	0.382	0.591
allowed	ອະນຸຍາດໃຫ້	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ປະຫລາດໃຈ	0.804	0.585	0.686
alluring	ການຫລອກລວງ	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	ພັນທະມິດ	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	ອັນຍິ່ງໃຫຍ່	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	ດຽວ	0.333	0.167	0.216
alongside	ຄຽງຄູ່ກັບ	0.458	0.333	0.347
aloof	ຫ່າງໄກ	0.189	0.423	0.302
aloud	ສຽງດັງໆ	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
