Word	Arabic-ar	Valence	Arousal	Dominance
adherence	التزام	0.760	0.307	0.630
adherent	نصير	0.561	0.385	0.555
adhering	الالتزام	0.612	0.561	0.537
adhesion	التصاق	0.521	0.445	0.586
adhesive	لاصق	0.604	0.350	0.413
adieu	وداعا	0.250	0.471	0.342
adipose	دهني	0.333	0.350	0.391
adjacency	الملاصقة	0.365	0.417	0.375
adjacent	المجاور	0.645	0.276	0.536
adjective	الصفة	0.570	0.316	0.569
adjoining	مجاور	0.520	0.400	0.393
adjourn	فض	0.385	0.456	0.475
adjournment	تأجيل	0.438	0.510	0.370
adjudicate	فصل	0.559	0.520	0.683
adjudication	حكم قضائي	0.551	0.462	0.691
adjunct	المساعد	0.459	0.440	0.426
adjust	يعدل	0.647	0.327	0.638
adjuster	مصحح	0.510	0.540	0.760
adjustment	تعديل	0.590	0.520	0.661
adjuvant	مساعد	0.510	0.500	0.456
admin	مشرف	0.688	0.420	0.854
administer	إدارة	0.635	0.425	0.860
administration	الادارة	0.625	0.404	0.786
administrative	إداري	0.542	0.415	0.579
administrator	مدير	0.538	0.480	0.902
admirable	بديع	0.929	0.600	0.870
admiral	أميرال	0.844	0.490	0.847
admiralty	إمارة البحر	0.594	0.547	0.733
admiration	إعجاب	0.969	0.583	0.726
admire	معجب	0.867	0.692	0.704
admired	محترم	0.917	0.560	0.815
admirer	المعجب	0.796	0.720	0.650
admiring	الإعجاب	0.867	0.578	0.629
admissibility	قبول	0.802	0.580	0.602
admissible	مسموح	0.780	0.528	0.642
admission	قبول	0.802	0.415	0.732
admit	يعترف	0.538	0.423	0.667
admittance	دخول	0.690	0.451	0.598
admitted	اعترف	0.720	0.490	0.767
admitting	اعترف	0.620	0.500	0.546
admixture	اختلاط	0.450	0.375	0.438
admonition	تحذير	0.357	0.606	0.455
ado	ضجة	0.520	0.423	0.385
adobe	أدوبي	0.500	0.319	0.328
adolescence	مرحلة المراهقة	0.487	0.694	0.444
adolescent	مراهق	0.781	0.680	0.509
adopt	تبنى	0.694	0.612	0.701
adoption	تبني	0.625	0.566	0.589
adoptive	بالتبني	0.531	0.469	0.520
adorable	بديع	0.969	0.519	0.457
adoration	عبادة	0.885	0.699	0.708
adore	أعشق	0.854	0.438	0.657
adoring	العشق	0.885	0.620	0.717
adorn	تزين	0.910	0.424	0.482
adornment	زينة	0.918	0.373	0.377
adrenalin	الأدرينالين	0.865	0.920	0.786
adrenaline	الأدرينالين	0.765	0.965	0.825
adrift	بلا هدف	0.398	0.486	0.230
adult	بالغ	0.815	0.491	0.787
adulterated	المغشوشة	0.188	0.865	0.370
adulterer	زانية	0.229	0.814	0.407
adultery	الزنا	0.120	0.922	0.510
adulthood	مرحلة البلوغ	0.541	0.454	0.652
advance	تقدم	0.673	0.472	0.858
advanced	المتقدمة	0.844	0.623	0.797
advancement	تقدم	0.776	0.650	0.839
advancing	تقدم	0.929	0.608	0.812
advantage	أفضلية	0.917	0.548	0.859
advantageous	مفيد	0.837	0.640	0.789
advent	القدوم	0.665	0.560	0.627
adventure	مغامرة	0.917	0.857	0.710
adventurer	مغامر	0.781	0.839	0.868
adventures	مغامرات	0.812	0.764	0.749
adventurous	مغامر	0.969	0.898	0.722
adversary	خصم	0.349	0.777	0.457
adverse	معاكس	0.323	0.610	0.385
adversity	محنة	0.276	0.760	0.538
advertise	يعلن	0.500	0.529	0.580
advertisement	الإعلانات	0.600	0.566	0.539
advertising	إعلان	0.622	0.608	0.632
adverts	الاعلانات	0.551	0.500	0.595
advice	النصيحة	0.698	0.408	0.688
advisable	المستحسن	0.867	0.480	0.510
advise	نصيحة	0.760	0.393	0.705
advised	نصح	0.823	0.330	0.509
advisement	المتأنية	0.698	0.235	0.655
adviser	مستشار	0.745	0.362	0.705
advisor	مستشار	0.646	0.350	0.689
advisory	استشاري	0.656	0.429	0.633
advocacy	مرافعة	0.500	0.646	0.731
advocate	المؤيد	0.551	0.530	0.818
aegis	درع	0.490	0.439	0.462
aeration	تهوئة	0.550	0.500	0.433
aerial	جوي	0.615	0.461	0.463
aerobics	التمارين الرياضية	0.708	0.771	0.627
aerodrome	مطار	0.541	0.740	0.678
aerodynamic	إيرودينامي	0.561	0.724	0.728
aerodynamics	الديناميكا الهوائية	0.590	0.663	0.722
aeronautics	علم الطيران	0.551	0.633	0.688
aeroplane	مطار	0.714	0.642	0.644
aerospace	الطيران	0.643	0.520	0.779
aesthetic	جمالي	0.708	0.442	0.526
aesthetics	جماليات	0.847	0.327	0.549
aetiology	المسببات المرضية	0.480	0.398	0.615
afar	بعيدا	0.396	0.373	0.358
affable	أنيس	0.704	0.380	0.452
affair	قضية	0.520	0.459	0.657
affect	تؤثر	0.458	0.569	0.578
affecting	تؤثر	0.350	0.574	0.394
affection	تاثير	0.898	0.559	0.696
affectionate	حنون	0.949	0.422	0.550
affections	المحبة	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	شهادة	0.469	0.584	0.526
affiliated	التابعة	0.673	0.519	0.535
affiliation	الانتماء	0.615	0.594	0.500
affinity	التقارب	0.800	0.500	0.537
affirm	يؤكد	0.745	0.509	0.731
affirmation	تأكيد	0.750	0.500	0.689
affirmative	اثبات	0.854	0.589	0.816
affirmatively	بالإيجاب	0.908	0.500	0.811
affix	لصق	0.438	0.335	0.411
afflict	ابتلى	0.302	0.555	0.293
afflicted	منكوب	0.271	0.500	0.167
affliction	مصيبة	0.294	0.635	0.392
affluence	ترف	0.663	0.618	0.722
affluent	غني	0.756	0.388	0.477
afford	تحمل	0.571	0.580	0.575
affordable	بأسعار معقولة، ميسور، متناول اليد	0.840	0.398	0.493
affront	إهانة	0.327	0.740	0.547
affronted	بالإهانة	0.385	0.750	0.527
afield	أبعد من ذلك	0.594	0.370	0.373
afire	حريق	0.367	0.904	0.675
afloat	طافيا	0.602	0.427	0.444
afore	السالفة	0.500	0.337	0.382
aforementioned	مذكور آنفا	0.490	0.316	0.408
aforesaid	مذكور آنفا	0.531	0.358	0.478
afraid	خائف	0.010	0.775	0.245
afresh	من جديد	0.643	0.521	0.480
african	الأفريقي	0.490	0.423	0.555
aft	الخلف	0.480	0.417	0.518
afterlife	الآخرة	0.571	0.567	0.568
aftermath	بعد	0.312	0.449	0.444
afternoon	بعد الظهر	0.533	0.388	0.339
aftershave	كولونيا بعد الحلاقة	0.406	0.384	0.415
aftertaste	المذاق المتخلف في الفم	0.354	0.362	0.455
afterthought	مستدركا	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	فاغر الفم	0.612	0.529	0.464
agate	عقيق نبات	0.540	0.377	0.483
age	عمر	0.561	0.226	0.498
aged	مسن	0.135	0.365	0.236
agency	وكالة	0.460	0.296	0.583
agenda	جدول أعمال	0.531	0.296	0.553
agent	وكيل	0.480	0.439	0.755
agglomeration	تكتل	0.450	0.765	0.509
aggravate	تزيد من حدة	0.224	0.770	0.464
aggravated	تتفاقم	0.079	0.760	0.430
aggravates	يفاقم	0.108	0.778	0.357
aggravating	مزعج	0.257	0.794	0.640
aggravation	التفاقم	0.071	0.784	0.613
aggregate	مجموع	0.730	0.378	0.556
aggregation	تجميع	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	عدوان	0.094	0.929	0.533
aggressive	العدواني	0.125	0.949	0.648
aggressively	بقوة	0.250	0.926	0.688
aggressiveness	عدوانية	0.077	0.913	0.648
aggressor	معتدي	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	مذعور	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ذكي	0.800	0.657	0.775
agility	رشاقة	0.720	0.702	0.815
aging	شيخوخة	0.214	0.255	0.284
agitate	حاور	0.300	0.796	0.593
agitated	هائج	0.444	0.882	0.491
agitation	الإثارة	0.240	0.931	0.447
aglow	متوهج	0.780	0.510	0.797
agnostic	محايد دينيا	0.306	0.396	0.574
ago	منذ	0.317	0.280	0.404
agonizing	مؤلم	0.083	0.800	0.340
agony	سكرة	0.083	0.775	0.393
agoraphobia	خوف مرضي	0.127	0.712	0.438
agree	يوافق على	0.906	0.260	0.545
agreeable	مقبول	0.906	0.500	0.696
agreed	متفق عليه	0.797	0.449	0.574
agreeing	الاتفاق	0.854	0.480	0.557
agreement	اتفاقية	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	زراعي	0.686	0.321	0.473
agriculture	الزراعة	0.640	0.357	0.465
aground	جانح	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	المكانية	0.708	0.520	0.673
ahhh	أهه	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	أهوي	0.500	0.497	0.380
aid	مساعدة	0.796	0.491	0.541
aide	معاون	0.724	0.342	0.434
aiding	مساعدة	0.643	0.533	0.569
aids	الإيدز	0.561	0.480	0.500
ail	توعك	0.375	0.434	0.385
ailing	مريض	0.094	0.518	0.153
ailment	وعكة	0.146	0.734	0.277
aim	هدف، تصويب	0.481	0.569	0.567
aimless	بلا هدف	0.150	0.267	0.183
air	هواء	0.708	0.163	0.427
airbag	وسادة هوائية	0.510	0.402	0.433
airborne	محمول جوا	0.542	0.519	0.385
aircraft	الطائرات	0.646	0.644	0.691
aircraft carrier	حاملة طائرات	0.490	0.740	0.727
airfield	مطار	0.601	0.650	0.645
airhead	مواقع الإمداد الجوي	0.271	0.481	0.276
airlift	النقل الجوي	0.573	0.622	0.642
airline	شركة طيران	0.650	0.482	0.688
airliner	طائرة	0.667	0.777	0.647
airlock	القفل	0.398	0.520	0.447
airman	طيار	0.587	0.716	0.721
airplane	مطار	0.719	0.702	0.708
airport	مطار	0.729	0.684	0.682
airs	اجواء	0.583	0.196	0.370
airship	منطاد	0.542	0.472	0.529
airspace	الأجواء	0.562	0.510	0.640
airspeed	السرعة الجوية	0.583	0.780	0.544
airstrip	مهبط الطائرات	0.550	0.690	0.649
airtight	محكم	0.479	0.381	0.570
airway	الهوائية	0.638	0.585	0.482
aisle	ممر	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	الملقب	0.459	0.358	0.351
akin	قريب	0.639	0.343	0.523
alabaster	مرمر	0.542	0.404	0.445
alarm	إنذار	0.241	0.882	0.698
alarm clock	منبه	0.542	0.727	0.642
alarmed	قلق	0.188	0.822	0.492
alarming	مرعب	0.204	0.890	0.585
alas	واحسرتاه	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	القطرس طائر بحري كبير	0.500	0.445	0.527
albino	الأمهق	0.500	0.240	0.358
album	الألبوم	0.635	0.349	0.453
alchemy	كيمياء	0.541	0.583	0.693
alcohol	كحول	0.323	0.667	0.377
alcoholic	سكير	0.153	0.688	0.361
alcoholism	إدمان الكحول	0.061	0.779	0.407
alcove	مختل	0.490	0.340	0.356
alderman	والي	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	محزر	0.479	0.820	0.648
alertness	تأهب	0.375	0.875	0.750
alerts	التنبيهات	0.337	0.804	0.673
alfalfa	فصة	0.546	0.250	0.311
algebra	علم الجبر	0.440	0.340	0.565
algebraic	جبري	0.531	0.412	0.441
algorithm	خوارزمية	0.448	0.394	0.559
alias	الاسم المستعار	0.541	0.353	0.333
alibi	عذر	0.396	0.528	0.556
alien	كائن فضائي	0.410	0.615	0.491
alienate	ينفر	0.247	0.500	0.523
alienated	نفور	0.410	0.423	0.559
alienation	عزلة	0.378	0.530	0.462
alight	ترجل	0.667	0.657	0.605
align	محاذاة	0.656	0.364	0.627
aligned	الانحياز	0.583	0.275	0.553
alignment	انتقام	0.643	0.412	0.683
alike	على حد سواء	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	نفقة الزوجة المطلقة	0.612	0.477	0.464
aliquot	قاسم غير تام	0.440	0.310	0.404
alive	على قيد الحياة	0.816	0.637	0.731
alkali	فلز قلوي	0.490	0.350	0.408
alkaloids	قلويدات	0.433	0.562	0.402
allay	تهدئة	0.417	0.406	0.398
allegation	ادعاء	0.578	0.578	0.608
allege	زعم	0.418	0.482	0.587
alleged	مزعوم	0.365	0.522	0.520
allegiance	ولاء	0.917	0.398	0.750
allegorical	استعاري	0.517	0.558	0.598
allegory	رمز	0.615	0.580	0.509
allegro	اليجرو	0.635	0.627	0.453
allergic	الحساسية	0.135	0.549	0.273
allergy	حساسية	0.296	0.606	0.389
alleviate	تخفيف	0.869	0.270	0.528
alleviation	تخفيف	0.735	0.200	0.491
alley	زقاق	0.347	0.500	0.355
alleyway	زقاق	0.357	0.471	0.382
alliance	تحالف	0.696	0.473	0.769
allied	حليف	0.714	0.245	0.642
alligator	تمساح إستوائي	0.354	0.704	0.645
allocate	تخصيص	0.673	0.462	0.672
allocation	توزيع	0.604	0.388	0.679
allot	خص	0.622	0.481	0.616
allotment	تخصيص	0.600	0.390	0.640
allow	السماح	0.698	0.429	0.538
allowable	مسموح	0.698	0.500	0.561
allowance	بدل	0.673	0.382	0.591
allowed	سمح	0.730	0.360	0.655
alloy	أشابة	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	إغراء	0.804	0.585	0.686
alluring	فاتن	0.837	0.745	0.843
allusion	إشارة	0.440	0.308	0.462
alluvial	طمي	0.323	0.490	0.491
ally	حليف	0.792	0.320	0.688
almanac	تقويم	0.688	0.190	0.412
almighty	عز وجل	0.938	0.874	0.958
almond	لوز	0.698	0.183	0.314
aloft	عاليا	0.771	0.373	0.700
aloha	الوها	0.698	0.440	0.441
alone	وحده	0.333	0.167	0.216
alongside	جنبا إلى جنب	0.458	0.333	0.347
aloof	بمعزل	0.189	0.423	0.302
aloud	بصوت عال	0.458	0.713	0.750
alpha	ألفا	0.708	0.340	0.755
alphabet	الأبجدية	0.562	0.204	0.672
alphabetical	مرتب حسب الحروف الأبجدية	0.537	0.296	0.535
alpine	البيني	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	مذبح	0.724	0.387	0.635
altar boy	صبح المذبح	0.434	0.206	0.350
alter	تغير	0.333	0.694	0.654
alteration	تغيير	0.167	0.798	0.609
altercation	مشادة	0.170	0.806	0.500
altered	تغيير	0.255	0.765	0.500
alternate	البديل	0.625	0.363	0.589
alternating	التيار المتناوب	0.480	0.494	0.542
alternative	لبديل	0.628	0.373	0.631
altimeter	الألتميتر	0.615	0.510	0.580
altitude	ارتفاع	0.708	0.482	0.736
alto	كمان أوسط	0.656	0.404	0.730
altogether	تماما	0.833	0.324	0.644
aluminum	الألومنيوم	0.449	0.280	0.434
alumnus	خريج الجامعه	0.633	0.368	0.422
alveolar	اللسان وسقف الفم	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	ملغم	0.438	0.333	0.510
amalgamation	دمج	0.406	0.470	0.531
amaretto	امرتو]	0.543	0.551	0.375
amass	جمع	0.552	0.465	0.465
amateur	الهاوي	0.469	0.500	0.409
amaze	تدهش	0.896	0.843	0.783
amazed	مندهش	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	ذهول	0.750	0.800	0.639
amazing	رائعة حقا	0.906	0.837	0.849
amazingly	مثير للدهشة	0.918	0.765	0.920
ambassador	سفير	0.651	0.529	0.917
amber	كهرمان	0.635	0.308	0.369
ambience	جو	0.735	0.356	0.426
ambient	محيط ب	0.625	0.360	0.582
ambiguity	التباس	0.164	0.460	0.370
ambiguous	غامض	0.265	0.462	0.358
ambit	نطاق	0.479	0.380	0.386
ambition	طموح	0.510	0.804	0.661
ambitious	طموح	0.484	0.821	0.717
ambivalent	متردد	0.510	0.404	0.482
ambrosia	طعام الآلهة	0.571	0.452	0.480
ambulance	سياره اسعاف	0.500	0.750	0.609
ambush	كمين	0.281	0.830	0.500
ameliorate	تحسن	0.770	0.548	0.747
amen	آمين	0.781	0.182	0.542
amenable	قابل	0.448	0.410	0.406
amend	تعديل	0.688	0.406	0.658
amendment	تعديل	0.531	0.459	0.606
amends	تعويض	0.640	0.366	0.517
amenity	لطافة	0.750	0.327	0.574
amethyst	جمشت	0.622	0.406	0.517
amiable	ودي	0.847	0.290	0.483
amicable	ظريف	0.875	0.330	0.507
amid	وسط	0.510	0.340	0.256
amidst	وسط	0.480	0.330	0.316
amino	الأمينية	0.551	0.402	0.433
ammo	ذخيرة	0.323	0.765	0.621
ammonia	غاز الأمونيا	0.292	0.587	0.409
ammonium	الأمونيوم	0.354	0.396	0.368
ammunition	ذخيرة	0.338	0.635	0.667
amnesia	فقدان الذاكرة	0.296	0.330	0.308
amnesty	عفو عام	0.551	0.451	0.814
amorous	غرامي	0.844	0.670	0.636
amorphous	عديم الشكل	0.327	0.402	0.349
amortization	الإطفاء	0.592	0.491	0.522
amount	كمية	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	أمبير	0.439	0.393	0.375
ampersand	العطف	0.480	0.448	0.483
amphetamines	الأمفيتامينات	0.133	0.667	0.526
amphibian	برمائي	0.427	0.357	0.474
amphibious	برمائي	0.479	0.346	0.445
amphitheater	مدرج	0.653	0.480	0.545
ample	فسيح	0.744	0.349	0.719
amplification	توسيع	0.690	0.677	0.810
amplify	يضخم، يوسع، يبالغ	0.677	0.735	0.827
amplitude	سعة	0.694	0.439	0.692
amply	بإسهاب	0.781	0.431	0.766
amputate	بتر	0.092	0.660	0.509
amputation	بتر	0.100	0.755	0.483
amuck	باهتياج	0.385	0.602	0.321
amulet	تميمة	0.781	0.260	0.630
amuse	سلى	0.812	0.684	0.664
amused	مسليا	0.942	0.847	0.596
amusement	تسلية	0.929	0.837	0.803
amusing	مسل	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	الأناكندة أفعى ضخمة	0.146	0.830	0.540
anaesthesia	تخدير	0.350	0.217	0.473
