Word	Hausa-ha	Valence	Arousal	Dominance
adjournment	adjournment	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	daidaita	0.647	0.327	0.638
adjuster	daidaita	0.510	0.540	0.760
adjustment	gyarawa	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	gudanarwa	0.635	0.425	0.860
administration	gwamnatin	0.625	0.404	0.786
administrative	Gudanarwa	0.542	0.415	0.579
administrator	mai gudanarwa	0.538	0.480	0.902
admirable	m	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	sha'awa	0.969	0.583	0.726
admire	sha'awan	0.867	0.692	0.704
admired	ƙauna	0.917	0.560	0.815
admirer	sha'awan	0.796	0.720	0.650
admiring	sha'awa	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	mai yiwuwa	0.780	0.528	0.642
admission	shiga	0.802	0.415	0.732
admit	yarda	0.538	0.423	0.667
admittance	shigarwa	0.690	0.451	0.598
admitted	shigar da shi	0.720	0.490	0.767
admitting	yarda	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	gargadi	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	yaro	0.487	0.694	0.444
adolescent	yaro	0.781	0.680	0.509
adopt	karɓa	0.694	0.612	0.701
adoption	tallafi	0.625	0.566	0.589
adoptive	Tsarin	0.531	0.469	0.520
adorable	kyakkyawa	0.969	0.519	0.457
adoration	yin sujada	0.885	0.699	0.708
adore	ƙauna	0.854	0.438	0.657
adoring	yin sujada	0.885	0.620	0.717
adorn	ƙawata	0.910	0.424	0.482
adornment	ƙawata	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	girma	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	mazinata	0.229	0.814	0.407
adultery	zina	0.120	0.922	0.510
adulthood	girma	0.541	0.454	0.652
advance	gaba	0.673	0.472	0.858
advanced	ci gaba	0.844	0.623	0.797
advancement	ci gaba	0.776	0.650	0.839
advancing	ci gaba	0.929	0.608	0.812
advantage	amfani	0.917	0.548	0.859
advantageous	m	0.837	0.640	0.789
advent	zuwan	0.665	0.560	0.627
adventure	kasada	0.917	0.857	0.710
adventurer	mai saka jari	0.781	0.839	0.868
adventures	al'ada	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	abokin gaba	0.349	0.777	0.457
adverse	m	0.323	0.610	0.385
adversity	wahala	0.276	0.760	0.538
advertise	tallata	0.500	0.529	0.580
advertisement	talla	0.600	0.566	0.539
advertising	talla	0.622	0.608	0.632
adverts	talla	0.551	0.500	0.595
advice	shawara	0.698	0.408	0.688
advisable	buƙatar	0.867	0.480	0.510
advise	shawara	0.760	0.393	0.705
advised	shawarci	0.823	0.330	0.509
advisement	shawara	0.698	0.235	0.655
adviser	shawara	0.745	0.362	0.705
advisor	shawara	0.646	0.350	0.689
advisory	shawara	0.656	0.429	0.633
advocacy	tallafi	0.500	0.646	0.731
advocate	shawara	0.551	0.530	0.818
aegis	Akan	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	m	0.615	0.461	0.463
aerobics	na'urori masu guba	0.708	0.771	0.627
aerodrome	jirgin sama	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	harkar iska	0.590	0.663	0.722
aeronautics	jiragen sama	0.551	0.633	0.688
aeroplane	jirgin sama	0.714	0.642	0.644
aerospace	Aerospace	0.643	0.520	0.779
aesthetic	kyakkyawa	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	daga nisa	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	al'amarin	0.520	0.459	0.657
affect	shafi	0.458	0.569	0.578
affecting	shafi	0.350	0.574	0.394
affection	ƙauna	0.898	0.559	0.696
affectionate	m	0.949	0.422	0.550
affections	ƙauna	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	tabbacin	0.469	0.584	0.526
affiliated	alaƙa	0.673	0.519	0.535
affiliation	dangantaka	0.615	0.594	0.500
affinity	dangantaka	0.800	0.500	0.537
affirm	tabbacin	0.745	0.509	0.731
affirmation	tabbaci	0.750	0.500	0.689
affirmative	m	0.854	0.589	0.816
affirmatively	gaskiya	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	ciwo	0.302	0.555	0.293
afflicted	wahala	0.271	0.500	0.167
affliction	cũta	0.294	0.635	0.392
affluence	wadata	0.663	0.618	0.722
affluent	m	0.756	0.388	0.477
afford	iya	0.571	0.580	0.575
affordable	araha	0.840	0.398	0.493
affront	fushi	0.327	0.740	0.547
affronted	yi fushi	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	farawa	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	da aka ambata	0.490	0.316	0.408
aforesaid	an fada	0.531	0.358	0.478
afraid	tsoro	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	africa	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	afterlife	0.571	0.567	0.568
aftermath	bayan	0.312	0.449	0.444
afternoon	rana	0.533	0.388	0.339
aftershave	bayan bayan	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	bayan bayanan	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	shekaru	0.561	0.226	0.498
aged	tsoho	0.135	0.365	0.236
agency	hukumar	0.460	0.296	0.583
agenda	ajanda	0.531	0.296	0.553
agent	wakili	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	ƙyama	0.224	0.770	0.464
aggravated	kara	0.079	0.760	0.430
aggravates	damuwa	0.108	0.778	0.357
aggravating	ciwo	0.257	0.794	0.640
aggravation	damuwa	0.071	0.784	0.613
aggregate	tara	0.730	0.378	0.556
aggregation	tarayya	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	tashin hankali	0.094	0.929	0.533
aggressive	m	0.125	0.949	0.648
aggressively	mugunta	0.250	0.926	0.688
aggressiveness	aggressiveness	0.077	0.913	0.648
aggressor	rikici	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	warst	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	tsufa	0.214	0.255	0.284
agitate	tashin hankali	0.300	0.796	0.593
agitated	girgiza	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	da suka wuce	0.317	0.280	0.404
agonizing	cike da damuwa	0.083	0.800	0.340
agony	azaba	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	yarda	0.906	0.260	0.545
agreeable	m	0.906	0.500	0.696
agreed	amince	0.797	0.449	0.574
agreeing	yarda	0.854	0.480	0.557
agreement	yarjejeniya	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	aikin gona	0.686	0.321	0.473
agriculture	aikin noma	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	gaba	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	taimakon	0.796	0.491	0.541
aide	taimakon	0.724	0.342	0.434
aiding	taimakawa	0.643	0.533	0.569
aids	taimakawa	0.561	0.480	0.500
ail	Ail	0.375	0.434	0.385
ailing	masu lafiya	0.094	0.518	0.153
ailment	rashin lafiya	0.146	0.734	0.277
aim	manufa	0.481	0.569	0.567
aimless	rashin amfani	0.150	0.267	0.183
air	iska	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	jirgin sama	0.542	0.519	0.385
aircraft	jirgin sama	0.646	0.644	0.691
aircraft carrier	jirgin sama	0.490	0.740	0.727
airfield	filin jirgin sama	0.601	0.650	0.645
airhead	iska	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	jirgin sama	0.650	0.482	0.688
airliner	jirgin sama	0.667	0.777	0.647
airlock	jirgin sama	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	jirgin sama	0.719	0.702	0.708
airport	filin jirgin sama	0.729	0.684	0.682
airs	iska	0.583	0.196	0.370
airship	jirgin sama	0.542	0.472	0.529
airspace	sararin samaniya	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	farfadowa	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	iska	0.638	0.585	0.482
aisle	hanya	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	ƙararrawa	0.241	0.882	0.698
alarm clock	agogon ƙararrawa	0.542	0.727	0.642
alarmed	firgita	0.188	0.822	0.492
alarming	tsoro	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	barasa	0.323	0.667	0.377
alcoholic	giya	0.153	0.688	0.361
alcoholism	barasa	0.061	0.779	0.407
alcove	barasa	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	jijjiga	0.479	0.820	0.648
alertness	faɗakarwa	0.375	0.875	0.750
alerts	faɗakarwa	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	baƙo	0.410	0.615	0.491
alienate	ba da izini ba	0.247	0.500	0.523
alienated	rarraba	0.410	0.423	0.559
alienation	fitarwa	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	daidaita	0.656	0.364	0.627
aligned	masu hada kai	0.583	0.275	0.553
alignment	jeri	0.643	0.412	0.683
alike	daidai	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	da rai	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	kwashe	0.417	0.406	0.398
allegation	zargin	0.578	0.578	0.608
allege	zargi	0.418	0.482	0.587
alleged	zargin	0.365	0.522	0.520
allegiance	amincewa	0.917	0.398	0.750
allegorical	misali	0.517	0.558	0.598
allegory	misali	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	rashin lafiyan	0.135	0.549	0.273
allergy	rashin lafiyar	0.296	0.606	0.389
alleviate	ragewa	0.869	0.270	0.528
alleviation	gyare-gyare	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alliance	0.696	0.473	0.769
allied	kawance	0.714	0.245	0.642
alligator	alaƙa	0.354	0.704	0.645
allocate	raba	0.673	0.462	0.672
allocation	rarraba	0.604	0.388	0.679
allot	rabawa	0.622	0.481	0.616
allotment	allot	0.600	0.390	0.640
allow	ba da damar	0.698	0.429	0.538
allowable	iyaka	0.698	0.500	0.561
allowance	izni	0.673	0.382	0.591
allowed	a yarda	0.730	0.360	0.655
alloy	mota	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	farawa	0.804	0.585	0.686
alluring	bazuwa	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	alaƙa	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	Mabuwayi	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	sama	0.771	0.373	0.700
aloha	ƙauna	0.698	0.440	0.441
alone	kadai	0.333	0.167	0.216
alongside	kusa da	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	a bayyane	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	haruffa	0.562	0.204	0.672
alphabetical	haruffa	0.537	0.296	0.535
alpine	mai tsayi	0.594	0.337	0.474
alreadyyyyy	rigayyyy	0.592	0.717	0.351
altar	bagade	0.724	0.387	0.635
altar boy	ɗan yaro	0.434	0.206	0.350
alter	canza	0.333	0.694	0.654
alteration	canji	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	canza	0.255	0.765	0.500
alternate	m	0.625	0.363	0.589
alternating	canzawa	0.480	0.494	0.542
alternative	madadin	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	tsawo	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	gaba ɗaya	0.833	0.324	0.644
aluminum	aluminum	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	hadewa	0.406	0.470	0.531
amaretto	yanki	0.543	0.551	0.375
amass	ƙaddara	0.552	0.465	0.465
amateur	mai son	0.469	0.500	0.409
amaze	mamaki	0.896	0.843	0.783
amazed	mamaki	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	mamaki	0.750	0.800	0.639
amazing	ban mamaki	0.906	0.837	0.849
amazingly	mamaki	0.918	0.765	0.920
ambassador	jakadan	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	yanayi	0.735	0.356	0.426
ambient	m	0.625	0.360	0.582
ambiguity	ambiguity	0.164	0.460	0.370
ambiguous	mawuyacin hali	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	kishi	0.510	0.804	0.661
ambitious	m	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	motar asibiti	0.500	0.750	0.609
ambush	jira	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	Amin	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	gyara	0.688	0.406	0.658
amendment	gyare-gyare	0.531	0.459	0.606
amends	gyarawa	0.640	0.366	0.517
amenity	Aminci	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	m	0.875	0.330	0.507
amid	a tsakiyan	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammoniya	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammonium	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	adadin	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	cikakke	0.744	0.349	0.719
amplification	ƙarawa	0.690	0.677	0.810
amplify	ƙarawa	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	yanke	0.092	0.660	0.509
amputation	yankewa	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	m	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	wasanni	0.929	0.837	0.803
amusing	m	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	m	0.449	0.268	0.509
anagram	anafi	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	analogous	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	misali	0.510	0.367	0.509
analysis	bincike	0.729	0.448	0.705
analyst	analyst	0.604	0.415	0.755
analytic	mai nazari	0.665	0.521	0.634
analytical	bincike	0.625	0.324	0.800
analyze	bincika	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	anarchism	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
anarchy	anarchy	0.146	0.755	0.620
anastomosis	anastomosis	0.375	0.470	0.490
anathema	anathema	0.286	0.490	0.519
anatomic	anatomic	0.562	0.442	0.546
anatomy	anatomy	0.562	0.390	0.571
ancestor	kakanninmu	0.592	0.388	0.594
ancestral	kakanninmu	0.640	0.481	0.750
ancestry	zuriya	0.708	0.519	0.717
anchor	ara	0.520	0.284	0.564
anchorage	anchorage	0.500	0.325	0.639
ancient	d ¯ a	0.420	0.217	0.439
ancillary	ancillary	0.449	0.442	0.278
