Word	Igbo-ig	Valence	Arousal	Dominance
adherent	adherent	0.561	0.385	0.555
adhering	na-agbaso	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	nrapado	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	n'akụkụ	0.645	0.276	0.536
adjective	adjective	0.570	0.316	0.569
adjoining	na-adakọrịta	0.520	0.400	0.393
adjourn	kwụsị	0.385	0.456	0.475
adjournment	nkwụsị	0.438	0.510	0.370
adjudicate	adjudic	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	nhazi	0.459	0.440	0.426
adjust	gbanwee	0.647	0.327	0.638
adjuster	nhazi	0.510	0.540	0.760
adjustment	ndozi	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	ha	0.688	0.420	0.854
administer	nye aka	0.635	0.425	0.860
administration	nlekọta	0.625	0.404	0.786
administrative	nhazi	0.542	0.415	0.579
administrator	onye nlekọta	0.538	0.480	0.902
admirable	adọrọ mmasị	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	obi ụtọ	0.969	0.583	0.726
admire	na-enwe mmasị	0.867	0.692	0.704
admired	adọrọ mmasị	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	enwe mmasị	0.867	0.578	0.629
admissibility	ikike	0.802	0.580	0.602
admissible	nwere ike ime	0.780	0.528	0.642
admission	nbanye	0.802	0.415	0.732
admit	kweta	0.538	0.423	0.667
admittance	nkwenye	0.690	0.451	0.598
admitted	kwetara	0.720	0.490	0.767
admitting	ikweta	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	ndụmọdụ	0.357	0.606	0.455
ado	adọọ	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	eto eto	0.487	0.694	0.444
adolescent	nwa okoro	0.781	0.680	0.509
adopt	kwenye	0.694	0.612	0.701
adoption	nnabata	0.625	0.566	0.589
adoptive	nhazi	0.531	0.469	0.520
adorable	mara mma	0.969	0.519	0.457
adoration	eme ihe	0.885	0.699	0.708
adore	na-asọpụrụ	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	chọọ mma	0.910	0.424	0.482
adornment	ịchọ mma	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	okenye	0.815	0.491	0.787
adulterated	ịkwa iko	0.188	0.865	0.370
adulterer	onye na-akwa iko	0.229	0.814	0.407
adultery	ịkwa iko	0.120	0.922	0.510
adulthood	ịghọ okenye	0.541	0.454	0.652
advance	aga n'ihu	0.673	0.472	0.858
advanced	elu	0.844	0.623	0.797
advancement	ọganihu	0.776	0.650	0.839
advancing	aga n'ihu	0.929	0.608	0.812
advantage	uru	0.917	0.548	0.859
advantageous	bara uru	0.837	0.640	0.789
advent	abịa	0.665	0.560	0.627
adventure	njem	0.917	0.857	0.710
adventurer	adventurer	0.781	0.839	0.868
adventures	ihe omimi	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	onye iro	0.349	0.777	0.457
adverse	mmejọ	0.323	0.610	0.385
adversity	nsogbu	0.276	0.760	0.538
advertise	kpọsaanụ	0.500	0.529	0.580
advertisement	mgbasa ozi	0.600	0.566	0.539
advertising	mgbasa ozi	0.622	0.608	0.632
adverts	mgbasa ozi	0.551	0.500	0.595
advice	ndụmọdụ	0.698	0.408	0.688
advisable	ezi uche	0.867	0.480	0.510
advise	nye ndụmọdụ	0.760	0.393	0.705
advised	gwara	0.823	0.330	0.509
advisement	ndụmọdụ	0.698	0.235	0.655
adviser	onye ndụmọdụ	0.745	0.362	0.705
advisor	ndụmọdụ	0.646	0.350	0.689
advisory	ndụmọdụ	0.656	0.429	0.633
advocacy	ntinye	0.500	0.646	0.731
advocate	akwado	0.551	0.530	0.818
aegis	magis	0.490	0.439	0.462
aeration	ebido	0.550	0.500	0.433
aerial	mbara igwe	0.615	0.461	0.463
aerobics	elu igwe	0.708	0.771	0.627
aerodrome	ụgbọ elu	0.541	0.740	0.678
aerodynamic	elu ugwu	0.561	0.724	0.728
aerodynamics	elu igwe	0.590	0.663	0.722
aeronautics	ugboutics	0.551	0.633	0.688
aeroplane	ụgbọelu	0.714	0.642	0.644
aerospace	ụgbọelu	0.643	0.520	0.779
aesthetic	aesthetic	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	n'ebe dị anya	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	arụ ọrụ	0.520	0.459	0.657
affect	emetụta	0.458	0.569	0.578
affecting	emetụta	0.350	0.574	0.394
affection	ịhụnanya	0.898	0.559	0.696
affectionate	ịhụnanya	0.949	0.422	0.550
affections	obi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	nkwupụta	0.469	0.584	0.526
affiliated	ndị mmekọ	0.673	0.519	0.535
affiliation	njikọ	0.615	0.594	0.500
affinity	agbada	0.800	0.500	0.537
affirm	ekwenye	0.745	0.509	0.731
affirmation	nkwenye	0.750	0.500	0.689
affirmative	ekwenye	0.854	0.589	0.816
affirmatively	n'ụzọ doro anya	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	na-ata ahụhụ	0.302	0.555	0.293
afflicted	ndị nọ n'ahụhụ	0.271	0.500	0.167
affliction	nsogbu	0.294	0.635	0.392
affluence	ọgaranya	0.663	0.618	0.722
affluent	bara ọgaranya	0.756	0.388	0.477
afford	ego	0.571	0.580	0.575
affordable	ọnụ ọnụ	0.840	0.398	0.493
affront	iwe	0.327	0.740	0.547
affronted	kpariri	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	afụ	0.602	0.427	0.444
afore	tupu	0.500	0.337	0.382
aforementioned	ekwu	0.490	0.316	0.408
aforesaid	ekwu	0.531	0.358	0.478
afraid	egwu	0.010	0.775	0.245
afresh	ọzọ	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	af	0.480	0.417	0.518
afterlife	mgbe ọ nwụsịrị	0.571	0.567	0.568
aftermath	emesị	0.312	0.449	0.444
afternoon	n'ehihie	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agafe	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	afọ	0.561	0.226	0.498
aged	agadi	0.135	0.365	0.236
agency	ụlọ ọrụ	0.460	0.296	0.583
agenda	echekwa	0.531	0.296	0.553
agent	ụlọ ọrụ	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	mekwuo	0.224	0.770	0.464
aggravated	aggravated	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	aggravating	0.257	0.794	0.640
aggravation	ọgba aghara	0.071	0.784	0.613
aggregate	nchịkọta	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aghara	0.094	0.929	0.533
aggressive	eme ihe ike	0.125	0.949	0.648
aggressively	na-agwụ ike	0.250	0.926	0.688
aggressiveness	eme ihe ike	0.077	0.913	0.648
aggressor	onye na-eme ihe ike	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	ịka nká	0.214	0.255	0.284
agitate	na-emegharị anya	0.300	0.796	0.593
agitated	iwe	0.444	0.882	0.491
agitation	ọgba aghara	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	gara aga	0.317	0.280	0.404
agonizing	na-agwụ ike	0.083	0.800	0.340
agony	ahụhụ	0.083	0.775	0.393
agoraphobia	emeraphobia	0.127	0.712	0.438
agree	kwenye	0.906	0.260	0.545
agreeable	dị mma	0.906	0.500	0.696
agreed	kwetara	0.797	0.449	0.574
agreeing	ekwenye	0.854	0.480	0.557
agreement	nkwekọrịta	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ugbo	0.686	0.321	0.473
agriculture	ugbo	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	n'ihu	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	mma	0.500	0.497	0.380
aid	enyemaka	0.796	0.491	0.541
aide	enyemaka	0.724	0.342	0.434
aiding	enyere aka	0.643	0.533	0.569
aids	ihe enyemaka	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	arịa ọrịa	0.094	0.518	0.153
ailment	ọrịa	0.146	0.734	0.277
aim	Ebumnuche	0.481	0.569	0.567
aimless	enweghị isi	0.150	0.267	0.183
air	ikuku	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ụgbọ elu	0.542	0.519	0.385
aircraft	ụgbọelu	0.646	0.644	0.691
aircraft carrier	ụgbọelu	0.490	0.740	0.727
airfield	ụgbọ elu	0.601	0.650	0.645
airhead	elu	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	ụgbọelu	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	windlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ụgbọelu	0.719	0.702	0.708
airport	ọdụ ụgbọelu	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	ahụ	0.542	0.472	0.529
airspace	ụgbọelu	0.562	0.510	0.640
airspeed	ụgbọ elu	0.583	0.780	0.544
airstrip	ugbua	0.550	0.690	0.649
airtight	ọhụụ	0.479	0.381	0.570
airway	ụgbọ elu	0.638	0.585	0.482
aisle	wara wara	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	mkpu	0.241	0.882	0.698
alarm clock	mkpu elekere	0.542	0.727	0.642
alarmed	ụjọ	0.188	0.822	0.492
alarming	egwu	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	ala	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	ọ bụ nwa agbọghọ	0.541	0.583	0.693
alcohol	mmanya	0.323	0.667	0.377
alcoholic	aṅụrụma	0.153	0.688	0.361
alcoholism	aṅụrụma	0.061	0.779	0.407
alcove	mmanya	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	anya	0.479	0.820	0.648
alertness	anya	0.375	0.875	0.750
alerts	alerts	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebra	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	aha	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	ọbịa	0.410	0.615	0.491
alienate	kewapụ	0.247	0.500	0.523
alienated	kewapụrụ	0.410	0.423	0.559
alienation	nnwere onwe	0.378	0.530	0.462
alight	gafere	0.667	0.657	0.605
align	dozie	0.656	0.364	0.627
aligned	kwadoro	0.583	0.275	0.553
alignment	nhazi	0.643	0.412	0.683
alike	otu	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	uzo	0.440	0.310	0.404
alive	ndụ	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	kwụ	0.417	0.406	0.398
allegation	ebubo	0.578	0.578	0.608
allege	ekwu	0.418	0.482	0.587
alleged	ebubo	0.365	0.522	0.520
allegiance	nkwado	0.917	0.398	0.750
allegorical	ihe omuma	0.517	0.558	0.598
allegory	ihe atụ	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	enwe nchekasị	0.135	0.549	0.273
allergy	enweghi ahuhu	0.296	0.606	0.389
alleviate	belata	0.869	0.270	0.528
alleviation	mbelata	0.735	0.200	0.491
alley	uzo	0.347	0.500	0.355
alleyway	okporo ụzọ	0.357	0.471	0.382
alliance	mmekọrịta niile	0.696	0.473	0.769
allied	ndị jikọrọ aka	0.714	0.245	0.642
alligator	onye na-aga agha	0.354	0.704	0.645
allocate	ekenye	0.673	0.462	0.672
allocation	oke	0.604	0.388	0.679
allot	ekenye	0.622	0.481	0.616
allotment	òkè	0.600	0.390	0.640
allow	kwere	0.698	0.429	0.538
allowable	kwere ekwe	0.698	0.500	0.561
allowance	ohere	0.673	0.382	0.591
allowed	kwere	0.730	0.360	0.655
alloy	ihe niile	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	achọ	0.804	0.585	0.686
alluring	nhazi	0.837	0.745	0.843
allusion	ntụgharị	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	enyi	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	onye pụrụ ime ihe nile	0.938	0.874	0.958
almond	almọnd	0.698	0.183	0.314
aloft	elu	0.771	0.373	0.700
aloha	ima	0.698	0.440	0.441
alone	naanị	0.333	0.167	0.216
alongside	n'akụkụ	0.458	0.333	0.347
aloof	enweghị aka	0.189	0.423	0.302
aloud	n'olu dara ụda	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	mkpụrụ okwu	0.562	0.204	0.672
alphabetical	mkpụrụ edemede	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	amayyyy	0.592	0.717	0.351
altar	ebe ịchụàjà	0.724	0.387	0.635
altar boy	nwa okoro	0.434	0.206	0.350
alter	gbanwee	0.333	0.694	0.654
alteration	mgbanwe	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	gbanwere	0.255	0.765	0.500
alternate	ọzọ	0.625	0.363	0.589
alternating	ọzọ	0.480	0.494	0.542
alternative	ọzọ	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	elu	0.708	0.482	0.736
alto	ọ bụ	0.656	0.404	0.730
altogether	kpamkpam	0.833	0.324	0.644
aluminum	aluminum	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	nhazi	0.438	0.333	0.510
amalgamation	nhazi	0.406	0.470	0.531
amaretto	mara mma	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	onye na-amu amu	0.469	0.500	0.409
amaze	ijuanya	0.896	0.843	0.783
amazed	juru	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ihe ijuanya	0.750	0.800	0.639
amazing	dị ịtụnanya	0.906	0.837	0.849
amazingly	ịtụnanya	0.918	0.765	0.920
ambassador	onye nnọchianya	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	obi	0.735	0.356	0.426
ambient	obi	0.625	0.360	0.582
ambiguity	ambiguity	0.164	0.460	0.370
ambiguous	ezo	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ọchịchọ	0.510	0.804	0.661
ambitious	oké ọchịchọ	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ụgbọ ala	0.500	0.750	0.609
ambush	ezo	0.281	0.830	0.500
ameliorate	meziwanye	0.770	0.548	0.747
amen	Amin	0.781	0.182	0.542
amenable	ike	0.448	0.410	0.406
amend	dozie	0.688	0.406	0.658
amendment	mmeghari	0.531	0.459	0.606
amends	emezi	0.640	0.366	0.517
amenity	mma	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	mma	0.875	0.330	0.507
amid	n'etiti	0.510	0.340	0.256
amidst	n'etiti	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	mgboagha	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	ntinye obi	0.551	0.451	0.814
amorous	obi ụtọ	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	ego	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	eme ihe nkiri	0.653	0.480	0.545
ample	otutu	0.744	0.349	0.719
amplification	nkwalite	0.690	0.677	0.810
amplify	mechie	0.677	0.735	0.827
amplitude	njupụta	0.694	0.439	0.692
amply	ike	0.781	0.431	0.766
amputate	ewepu	0.092	0.660	0.509
amputation	mbepu	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	ọchị	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	ntụrụndụ	0.929	0.837	0.803
amusing	na-atọ ọchị	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
