Word	Indonesian-id	Valence	Arousal	Dominance
adhesion	adhesi	0.521	0.445	0.586
adhesive	perekat	0.604	0.350	0.413
adieu	kata perpisahan	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	kedekatan	0.365	0.417	0.375
adjacent	berdekatan	0.645	0.276	0.536
adjective	kata sifat	0.570	0.316	0.569
adjoining	berdampingan	0.520	0.400	0.393
adjourn	menunda	0.385	0.456	0.475
adjournment	penundaan	0.438	0.510	0.370
adjudicate	mengadili	0.559	0.520	0.683
adjudication	pengadilan	0.551	0.462	0.691
adjunct	tambahan	0.459	0.440	0.426
adjust	menyesuaikan	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	pengaturan	0.590	0.520	0.661
adjuvant	pembantu	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	mengelola	0.635	0.425	0.860
administration	administrasi	0.625	0.404	0.786
administrative	administratif	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	terpuji	0.929	0.600	0.870
admiral	laksamana	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	kekaguman	0.969	0.583	0.726
admire	mengagumi	0.867	0.692	0.704
admired	kagum	0.917	0.560	0.815
admirer	pengagum	0.796	0.720	0.650
admiring	mengagumi	0.867	0.578	0.629
admissibility	dapat diterima	0.802	0.580	0.602
admissible	diterima	0.780	0.528	0.642
admission	penerimaan	0.802	0.415	0.732
admit	mengakui	0.538	0.423	0.667
admittance	masuk	0.690	0.451	0.598
admitted	mengaku	0.720	0.490	0.767
admitting	mengakui	0.620	0.500	0.546
admixture	campuran	0.450	0.375	0.438
admonition	peringatan	0.357	0.606	0.455
ado	ribut	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	masa remaja	0.487	0.694	0.444
adolescent	remaja	0.781	0.680	0.509
adopt	mengambil	0.694	0.612	0.701
adoption	adopsi	0.625	0.566	0.589
adoptive	angkat	0.531	0.469	0.520
adorable	menggemaskan	0.969	0.519	0.457
adoration	pemujaan	0.885	0.699	0.708
adore	cinta	0.854	0.438	0.657
adoring	memujanya	0.885	0.620	0.717
adorn	menghiasi	0.910	0.424	0.482
adornment	perhiasan	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	terapung	0.398	0.486	0.230
adult	dewasa	0.815	0.491	0.787
adulterated	tercemar	0.188	0.865	0.370
adulterer	pezina	0.229	0.814	0.407
adultery	zina	0.120	0.922	0.510
adulthood	masa dewasa	0.541	0.454	0.652
advance	muka	0.673	0.472	0.858
advanced	maju	0.844	0.623	0.797
advancement	kemajuan	0.776	0.650	0.839
advancing	maju	0.929	0.608	0.812
advantage	keuntungan	0.917	0.548	0.859
advantageous	menguntungkan	0.837	0.640	0.789
advent	kedatangan	0.665	0.560	0.627
adventure	petualangan	0.917	0.857	0.710
adventurer	petualang	0.781	0.839	0.868
adventures	petualangan	0.812	0.764	0.749
adventurous	petualang	0.969	0.898	0.722
adversary	musuh	0.349	0.777	0.457
adverse	merugikan	0.323	0.610	0.385
adversity	kesulitan	0.276	0.760	0.538
advertise	mengiklankan	0.500	0.529	0.580
advertisement	iklan	0.600	0.566	0.539
advertising	iklan	0.622	0.608	0.632
adverts	iklan	0.551	0.500	0.595
advice	nasihat	0.698	0.408	0.688
advisable	sebaiknya	0.867	0.480	0.510
advise	menasihati	0.760	0.393	0.705
advised	disarankan	0.823	0.330	0.509
advisement	nasihat	0.698	0.235	0.655
adviser	penasihat	0.745	0.362	0.705
advisor	penasehat	0.646	0.350	0.689
advisory	penasehat	0.656	0.429	0.633
advocacy	pembelaan	0.500	0.646	0.731
advocate	menganjurkan	0.551	0.530	0.818
aegis	perlindungan	0.490	0.439	0.462
aeration	aerasi	0.550	0.500	0.433
aerial	udara	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	lapangan terbang	0.541	0.740	0.678
aerodynamic	aerodinamis	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	pesawat terbang	0.714	0.642	0.644
aerospace	kedirgantaraan	0.643	0.520	0.779
aesthetic	estetis	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologi	0.480	0.398	0.615
afar	jauh	0.396	0.373	0.358
affable	ramah	0.704	0.380	0.452
affair	perselingkuhan	0.520	0.459	0.657
affect	mempengaruhi	0.458	0.569	0.578
affecting	mempengaruhi	0.350	0.574	0.394
affection	kasih sayang	0.898	0.559	0.696
affectionate	sayang	0.949	0.422	0.550
affections	afeksi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	surat sumpah	0.469	0.584	0.526
affiliated	berafiliasi	0.673	0.519	0.535
affiliation	afiliasi	0.615	0.594	0.500
affinity	afinitas	0.800	0.500	0.537
affirm	menegaskan	0.745	0.509	0.731
affirmation	afirmasi	0.750	0.500	0.689
affirmative	setuju	0.854	0.589	0.816
affirmatively	dengan tegas	0.908	0.500	0.811
affix	afiks	0.438	0.335	0.411
afflict	menimpa	0.302	0.555	0.293
afflicted	menderita	0.271	0.500	0.167
affliction	penderitaan	0.294	0.635	0.392
affluence	kemakmuran	0.663	0.618	0.722
affluent	makmur	0.756	0.388	0.477
afford	mampu	0.571	0.580	0.575
affordable	terjangkau	0.840	0.398	0.493
affront	penghinaan	0.327	0.740	0.547
affronted	terhina	0.385	0.750	0.527
afield	jauh	0.594	0.370	0.373
afire	api	0.367	0.904	0.675
afloat	terapung	0.602	0.427	0.444
afore	di depan	0.500	0.337	0.382
aforementioned	tersebut di atas	0.490	0.316	0.408
aforesaid	tersebut di atas	0.531	0.358	0.478
afraid	takut	0.010	0.775	0.245
afresh	lagi	0.643	0.521	0.480
african	Afrika	0.490	0.423	0.555
aft	buritan	0.480	0.417	0.518
afterlife	akhirat	0.571	0.567	0.568
aftermath	akibat	0.312	0.449	0.444
afternoon	sore	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	renungan	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	ternganga	0.612	0.529	0.464
agate	batu akik	0.540	0.377	0.483
age	usia	0.561	0.226	0.498
aged	berumur	0.135	0.365	0.236
agency	agen	0.460	0.296	0.583
agenda	Jadwal acara	0.531	0.296	0.553
agent	agen	0.480	0.439	0.755
agglomeration	pengelompokan	0.450	0.765	0.509
aggravate	memperberat	0.224	0.770	0.464
aggravated	diperburuk	0.079	0.760	0.430
aggravates	memperburuk	0.108	0.778	0.357
aggravating	menjengkelkan	0.257	0.794	0.640
aggravation	kejengkelan	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	pengumpulan	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresi	0.094	0.929	0.533
aggressive	agresif	0.125	0.949	0.648
aggressively	secara agresif	0.250	0.926	0.688
aggressiveness	agresivitas	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	terperanjat	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	tangkas	0.800	0.657	0.775
agility	kelincahan	0.720	0.702	0.815
aging	penuaan	0.214	0.255	0.284
agitate	mengganggu	0.300	0.796	0.593
agitated	gelisah	0.444	0.882	0.491
agitation	agitasi	0.240	0.931	0.447
aglow	bersinar	0.780	0.510	0.797
agnostic	agnostis	0.306	0.396	0.574
ago	lalu	0.317	0.280	0.404
agonizing	menyiksa	0.083	0.800	0.340
agony	penderitaan mendalam	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	setuju	0.906	0.260	0.545
agreeable	menyenangkan	0.906	0.500	0.696
agreed	sepakat	0.797	0.449	0.574
agreeing	setuju	0.854	0.480	0.557
agreement	persetujuan	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	pertanian	0.686	0.321	0.473
agriculture	pertanian	0.640	0.357	0.465
aground	kandas	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	di depan	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	membantu	0.796	0.491	0.541
aide	pembantu	0.724	0.342	0.434
aiding	membantu	0.643	0.533	0.569
aids	bantu	0.561	0.480	0.500
ail	bersakit	0.375	0.434	0.385
ailing	sakit	0.094	0.518	0.153
ailment	penyakit	0.146	0.734	0.277
aim	tujuan	0.481	0.569	0.567
aimless	tanpa tujuan	0.150	0.267	0.183
air	udara	0.708	0.163	0.427
airbag	kantong udara	0.510	0.402	0.433
airborne	udara	0.542	0.519	0.385
aircraft	pesawat terbang	0.646	0.644	0.691
aircraft carrier	kapal induk	0.490	0.740	0.727
airfield	lapangan terbang	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	perusahaan penerbangan	0.650	0.482	0.688
airliner	pesawat terbang	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	pilot	0.587	0.716	0.721
airplane	pesawat terbang	0.719	0.702	0.708
airport	Bandara	0.729	0.684	0.682
airs	mengudara	0.583	0.196	0.370
airship	kapal udara	0.542	0.472	0.529
airspace	ruang udara	0.562	0.510	0.640
airspeed	kecepatan udara	0.583	0.780	0.544
airstrip	landasan udara	0.550	0.690	0.649
airtight	kedap udara	0.479	0.381	0.570
airway	saluran napas	0.638	0.585	0.482
aisle	lorong	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	mirip	0.639	0.343	0.523
alabaster	pualam	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	jam alarm	0.542	0.727	0.642
alarmed	khawatir	0.188	0.822	0.492
alarming	menggelisahkan	0.204	0.890	0.585
alas	Sayang	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	elang laut	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkimia	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	beralkohol	0.153	0.688	0.361
alcoholism	alkoholisme	0.061	0.779	0.407
alcove	ceruk	0.490	0.340	0.356
alderman	anggota dewan kota	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	waspada	0.479	0.820	0.648
alertness	kewaspadaan	0.375	0.875	0.750
alerts	peringatan	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	aljabar	0.440	0.340	0.565
algebraic	aljabar	0.531	0.412	0.441
algorithm	algoritma	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	asing	0.410	0.615	0.491
alienate	menjauhkan	0.247	0.500	0.523
alienated	terasing	0.410	0.423	0.559
alienation	pengasingan	0.378	0.530	0.462
alight	turun	0.667	0.657	0.605
align	meluruskan	0.656	0.364	0.627
aligned	selaras	0.583	0.275	0.553
alignment	penjajaran	0.643	0.412	0.683
alike	sama	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimentasi	0.612	0.477	0.464
aliquot	alikuot	0.440	0.310	0.404
alive	hidup	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloid	0.433	0.562	0.402
allay	menenangkan	0.417	0.406	0.398
allegation	dugaan	0.578	0.578	0.608
allege	mengatakan	0.418	0.482	0.587
alleged	dugaan	0.365	0.522	0.520
allegiance	kesetiaan	0.917	0.398	0.750
allegorical	alegoris	0.517	0.558	0.598
allegory	alegori	0.615	0.580	0.509
allegro	alegro	0.635	0.627	0.453
allergic	alergi	0.135	0.549	0.273
allergy	alergi	0.296	0.606	0.389
alleviate	meringankan	0.869	0.270	0.528
alleviation	pengurangan	0.735	0.200	0.491
alley	gang	0.347	0.500	0.355
alleyway	gang	0.357	0.471	0.382
alliance	persekutuan	0.696	0.473	0.769
allied	bersekutu	0.714	0.245	0.642
alligator	buaya	0.354	0.704	0.645
allocate	mengalokasikan	0.673	0.462	0.672
allocation	alokasi	0.604	0.388	0.679
allot	membagikan	0.622	0.481	0.616
allotment	peruntukan	0.600	0.390	0.640
allow	mengizinkan	0.698	0.429	0.538
allowable	diijinkan	0.698	0.500	0.561
allowance	tunjangan	0.673	0.382	0.591
allowed	diizinkan	0.730	0.360	0.655
alloy	paduan	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	daya tarik	0.804	0.585	0.686
alluring	menarik	0.837	0.745	0.843
allusion	kiasan	0.440	0.308	0.462
alluvial	aluvial	0.323	0.490	0.491
ally	sekutu	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	mahakuasa	0.938	0.874	0.958
almond	badam	0.698	0.183	0.314
aloft	tinggi	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sendirian	0.333	0.167	0.216
alongside	di samping	0.458	0.333	0.347
aloof	jauh	0.189	0.423	0.302
aloud	nyaring	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetis	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	sudahyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	anak laki-laki altar	0.434	0.206	0.350
alter	mengubah	0.333	0.694	0.654
alteration	perubahan	0.167	0.798	0.609
altercation	pertengkaran	0.170	0.806	0.500
altered	diubah	0.255	0.765	0.500
alternate	bergantian	0.625	0.363	0.589
alternating	bergantian	0.480	0.494	0.542
alternative	alternatif	0.628	0.373	0.631
altimeter	alat pengukur tinggi	0.615	0.510	0.580
altitude	ketinggian	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	sama sekali	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	lulusan	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	campuran	0.438	0.333	0.510
amalgamation	penggabungan	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	mengumpulkan	0.552	0.465	0.465
amateur	amatir	0.469	0.500	0.409
amaze	menakjubkan	0.896	0.843	0.783
amazed	takjub	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	keheranan	0.750	0.800	0.639
amazing	luar biasa	0.906	0.837	0.849
amazingly	luar biasa	0.918	0.765	0.920
ambassador	duta besar	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	suasana	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	kemenduaan	0.164	0.460	0.370
ambiguous	ambigu	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambisi	0.510	0.804	0.661
ambitious	ambisius	0.484	0.821	0.717
ambivalent	ambivalen	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	penyergapan	0.281	0.830	0.500
ameliorate	memperbaiki	0.770	0.548	0.747
amen	Amin	0.781	0.182	0.542
amenable	menerima	0.448	0.410	0.406
amend	merubah	0.688	0.406	0.658
amendment	amandemen	0.531	0.459	0.606
amends	memperbaiki	0.640	0.366	0.517
amenity	kemudahan	0.750	0.327	0.574
amethyst	kecubung	0.622	0.406	0.517
amiable	ramah	0.847	0.290	0.483
amicable	ramah tamah	0.875	0.330	0.507
amid	di tengah	0.510	0.340	0.256
amidst	di tengah-tengah	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	amunisi	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	amonium	0.354	0.396	0.368
ammunition	amunisi	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesti	0.551	0.451	0.814
amorous	asmara	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortisasi	0.592	0.491	0.522
amount	jumlah	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamin	0.133	0.667	0.526
amphibian	amfibi	0.427	0.357	0.474
amphibious	amfibi	0.479	0.346	0.445
amphitheater	ampiteater	0.653	0.480	0.545
ample	cukup	0.744	0.349	0.719
amplification	amplifikasi	0.690	0.677	0.810
amplify	memperkuat	0.677	0.735	0.827
amplitude	amplitudo	0.694	0.439	0.692
amply	cukup	0.781	0.431	0.766
amputate	mengamputasi	0.092	0.660	0.509
amputation	amputasi	0.100	0.755	0.483
amuck	amuk	0.385	0.602	0.321
amulet	jimat	0.781	0.260	0.630
amuse	menghibur	0.812	0.684	0.664
amused	geli	0.942	0.847	0.596
amusement	hiburan	0.929	0.837	0.803
amusing	lucu	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestesi	0.350	0.217	0.473
anaesthetic	obat bius	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesik	0.417	0.321	0.441
analogous	sejalan	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analisis	0.729	0.448	0.705
analyst	analis	0.604	0.415	0.755
analytic	analitik	0.665	0.521	0.634
analytical	analitis	0.625	0.324	0.800
analyze	menganalisa	0.667	0.462	0.710
analyzer	analisa	0.625	0.556	0.854
anaphylactic	anafilaksis	0.378	0.588	0.500
anarchism	anarkisme	0.125	0.804	0.623
