Word	Persian-fa	Valence	Arousal	Dominance
adequacy	کفایت	0.615	0.435	0.702
adequate	کافی است	0.854	0.264	0.705
adhere	پایبند باشید	0.633	0.339	0.554
adherence	تبعیت	0.760	0.307	0.630
adherent	پایبند	0.561	0.385	0.555
adhering	پیوستن	0.612	0.561	0.537
adhesion	چسبندگی	0.521	0.445	0.586
adhesive	چسب	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	چربی	0.333	0.350	0.391
adjacency	مجاورت	0.365	0.417	0.375
adjacent	مجاور	0.645	0.276	0.536
adjective	صفت	0.570	0.316	0.569
adjoining	مجاور	0.520	0.400	0.393
adjourn	متوقف کردن	0.385	0.456	0.475
adjournment	تعطیلات	0.438	0.510	0.370
adjudicate	محاکمه	0.559	0.520	0.683
adjudication	قضاوت	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	تنظیم کنید	0.647	0.327	0.638
adjuster	تنظیم کننده	0.510	0.540	0.760
adjustment	تنظیم	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	مدیر	0.688	0.420	0.854
administer	اداره کردن	0.635	0.425	0.860
administration	مدیریت	0.625	0.404	0.786
administrative	اداری	0.542	0.415	0.579
administrator	مدیر	0.538	0.480	0.902
admirable	قابل تحسین	0.929	0.600	0.870
admiral	دریاسالار	0.844	0.490	0.847
admiralty	دریانوردی	0.594	0.547	0.733
admiration	تحسین	0.969	0.583	0.726
admire	تحسین	0.867	0.692	0.704
admired	تحسینش کرد	0.917	0.560	0.815
admirer	تحسین کننده	0.796	0.720	0.650
admiring	تحسین	0.867	0.578	0.629
admissibility	پذیرش	0.802	0.580	0.602
admissible	قابل قبول	0.780	0.528	0.642
admission	پذیرش	0.802	0.415	0.732
admit	اقرار کردن	0.538	0.423	0.667
admittance	پذیرش	0.690	0.451	0.598
admitted	پذیرفته	0.720	0.490	0.767
admitting	پذیرش	0.620	0.500	0.546
admixture	مخلوط	0.450	0.375	0.438
admonition	احتیاط	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	آدوب	0.500	0.319	0.328
adolescence	بلوغ	0.487	0.694	0.444
adolescent	نوجوانان	0.781	0.680	0.509
adopt	اتخاذ کردن	0.694	0.612	0.701
adoption	پذیرش	0.625	0.566	0.589
adoptive	گیرنده	0.531	0.469	0.520
adorable	شایان ستایش	0.969	0.519	0.457
adoration	تقدیر	0.885	0.699	0.708
adore	عشق ورزیدن	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	زینت دادن	0.910	0.424	0.482
adornment	دکوراسیون	0.918	0.373	0.377
adrenalin	آدرنالین	0.865	0.920	0.786
adrenaline	آدرنالین	0.765	0.965	0.825
adrift	مرده	0.398	0.486	0.230
adult	بالغ	0.815	0.491	0.787
adulterated	تقلبی	0.188	0.865	0.370
adulterer	زنا	0.229	0.814	0.407
adultery	زنائی	0.120	0.922	0.510
adulthood	بزرگسالان	0.541	0.454	0.652
advance	پیشرفت	0.673	0.472	0.858
advanced	پیشرفته	0.844	0.623	0.797
advancement	پیشرفت	0.776	0.650	0.839
advancing	پیشبرد	0.929	0.608	0.812
advantage	مزیت	0.917	0.548	0.859
advantageous	با صرفه	0.837	0.640	0.789
advent	ظهور	0.665	0.560	0.627
adventure	ماجرا	0.917	0.857	0.710
adventurer	ماجراجو	0.781	0.839	0.868
adventures	ماجراهای	0.812	0.764	0.749
adventurous	پرماجرا	0.969	0.898	0.722
adversary	دشمن	0.349	0.777	0.457
adverse	منفی است	0.323	0.610	0.385
adversity	بدبختی	0.276	0.760	0.538
advertise	تبلیغات	0.500	0.529	0.580
advertisement	تبلیغات	0.600	0.566	0.539
advertising	تبلیغات	0.622	0.608	0.632
adverts	آگهی ها	0.551	0.500	0.595
advice	مشاوره	0.698	0.408	0.688
advisable	قابل توصیه	0.867	0.480	0.510
advise	توصیه	0.760	0.393	0.705
advised	توصیه می شود	0.823	0.330	0.509
advisement	مشاوره	0.698	0.235	0.655
adviser	مشاور	0.745	0.362	0.705
advisor	مشاور	0.646	0.350	0.689
advisory	مشاوره	0.656	0.429	0.633
advocacy	دفاع	0.500	0.646	0.731
advocate	مدافع	0.551	0.530	0.818
aegis	حدیث	0.490	0.439	0.462
aeration	هوادهی	0.550	0.500	0.433
aerial	هوایی	0.615	0.461	0.463
aerobics	ایروبیک	0.708	0.771	0.627
aerodrome	فرودگاه	0.541	0.740	0.678
aerodynamic	آیرودینامیک	0.561	0.724	0.728
aerodynamics	آیرودینامیک	0.590	0.663	0.722
aeronautics	هواپیما	0.551	0.633	0.688
aeroplane	هواپیما	0.714	0.642	0.644
aerospace	هوافضا	0.643	0.520	0.779
aesthetic	زیبایی شناسی	0.708	0.442	0.526
aesthetics	زیبایی شناسی	0.847	0.327	0.549
aetiology	اتولوژی	0.480	0.398	0.615
afar	دور	0.396	0.373	0.358
affable	قابل اعتماد	0.704	0.380	0.452
affair	امور	0.520	0.459	0.657
affect	تاثیر می گذارد	0.458	0.569	0.578
affecting	موثر بر	0.350	0.574	0.394
affection	محبت	0.898	0.559	0.696
affectionate	مهربان	0.949	0.422	0.550
affections	عواطف	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	تأییدیه	0.469	0.584	0.526
affiliated	وابسته	0.673	0.519	0.535
affiliation	وابستگی	0.615	0.594	0.500
affinity	وابستگی	0.800	0.500	0.537
affirm	تأیید کنید	0.745	0.509	0.731
affirmation	تأیید	0.750	0.500	0.689
affirmative	مثبت	0.854	0.589	0.816
affirmatively	مثبت است	0.908	0.500	0.811
affix	علامت گذاری	0.438	0.335	0.411
afflict	مصیبت	0.302	0.555	0.293
afflicted	آسیب دیده	0.271	0.500	0.167
affliction	بدبختی	0.294	0.635	0.392
affluence	ثروت	0.663	0.618	0.722
affluent	فراوان	0.756	0.388	0.477
afford	استطاعت داشتن	0.571	0.580	0.575
affordable	مقرون به صرفه	0.840	0.398	0.493
affront	اعتراض	0.327	0.740	0.547
affronted	فریب خورده	0.385	0.750	0.527
afield	فضایی	0.594	0.370	0.373
afire	فریاد	0.367	0.904	0.675
afloat	شناور	0.602	0.427	0.444
afore	بالا	0.500	0.337	0.382
aforementioned	فوق الذکر	0.490	0.316	0.408
aforesaid	در بالا ذکر شد	0.531	0.358	0.478
afraid	ترسیدن	0.010	0.775	0.245
afresh	تازه	0.643	0.521	0.480
african	آفریقایی	0.490	0.423	0.555
aft	پشت سر هم	0.480	0.417	0.518
afterlife	زندگی پس از مرگ	0.571	0.567	0.568
aftermath	پس از آن	0.312	0.449	0.444
afternoon	بعد از ظهر	0.533	0.388	0.339
aftershave	پس از برداشتن	0.406	0.384	0.415
aftertaste	بعد از غذا	0.354	0.362	0.455
afterthought	پس انداز	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	آگاپه	0.612	0.529	0.464
agate	آهات	0.540	0.377	0.483
age	سن	0.561	0.226	0.498
aged	سن	0.135	0.365	0.236
agency	آژانس	0.460	0.296	0.583
agenda	دستور جلسه	0.531	0.296	0.553
agent	عامل	0.480	0.439	0.755
agglomeration	تراکم	0.450	0.765	0.509
aggravate	تشدید می شود	0.224	0.770	0.464
aggravated	تشدید می شود	0.079	0.760	0.430
aggravates	تشدید می شود	0.108	0.778	0.357
aggravating	تشدید	0.257	0.794	0.640
aggravation	تشدید	0.071	0.784	0.613
aggregate	تجمیع	0.730	0.378	0.556
aggregation	تجمع	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	تجاوز	0.094	0.929	0.533
aggressive	خشونت آمیز	0.125	0.949	0.648
aggressively	تهاجمی	0.250	0.926	0.688
aggressiveness	تهاجمی	0.077	0.913	0.648
aggressor	متجاوز	0.146	0.948	0.823
agh	آه	0.260	0.500	0.400
aghast	آهسته	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	چابک	0.800	0.657	0.775
agility	چابکی	0.720	0.702	0.815
aging	سالخورده	0.214	0.255	0.284
agitate	آشفتگی	0.300	0.796	0.593
agitated	آشفته	0.444	0.882	0.491
agitation	تحریک	0.240	0.931	0.447
aglow	آهسته	0.780	0.510	0.797
agnostic	اگنستیک	0.306	0.396	0.574
ago	پیش	0.317	0.280	0.404
agonizing	تکان دهنده	0.083	0.800	0.340
agony	آکنه	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	موافق	0.906	0.260	0.545
agreeable	دوست داشتنی	0.906	0.500	0.696
agreed	توافق کرد	0.797	0.449	0.574
agreeing	موافقم	0.854	0.480	0.557
agreement	توافق	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	کشاورزی	0.686	0.321	0.473
agriculture	کشاورزی	0.640	0.357	0.465
aground	در اطراف	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	در پیش	0.708	0.520	0.673
ahhh	آهه	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	آهوی	0.500	0.497	0.380
aid	کمک	0.796	0.491	0.541
aide	کمک کننده	0.724	0.342	0.434
aiding	کمک کردن	0.643	0.533	0.569
aids	ایدز	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	بیمار	0.094	0.518	0.153
ailment	ناراحتی	0.146	0.734	0.277
aim	هدف	0.481	0.569	0.567
aimless	بی هدف	0.150	0.267	0.183
air	هوا	0.708	0.163	0.427
airbag	کیسه هوا	0.510	0.402	0.433
airborne	هواپیما	0.542	0.519	0.385
aircraft	هواپیما	0.646	0.644	0.691
aircraft carrier	ناو هواپیما بر	0.490	0.740	0.727
airfield	فرودگاه	0.601	0.650	0.645
airhead	هوا سرد	0.271	0.481	0.276
airlift	هواپیما	0.573	0.622	0.642
airline	خطوط هوایی	0.650	0.482	0.688
airliner	هواپیمای مسافربری	0.667	0.777	0.647
airlock	دریچه هوا	0.398	0.520	0.447
airman	هواپیما	0.587	0.716	0.721
airplane	هواپیما	0.719	0.702	0.708
airport	فرودگاه	0.729	0.684	0.682
airs	هوا	0.583	0.196	0.370
airship	بالون	0.542	0.472	0.529
airspace	فضای هوایی	0.562	0.510	0.640
airspeed	سرعت هوا	0.583	0.780	0.544
airstrip	ناو هواپیمابر	0.550	0.690	0.649
airtight	هوادهی	0.479	0.381	0.570
airway	راه هوایی	0.638	0.585	0.482
aisle	راهرو	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	مستعار	0.459	0.358	0.351
akin	وابسته	0.639	0.343	0.523
alabaster	آلاباستر	0.542	0.404	0.445
alarm	زنگ خطر	0.241	0.882	0.698
alarm clock	ساعت زنگدار	0.542	0.727	0.642
alarmed	هشدار دهنده	0.188	0.822	0.492
alarming	هشدار دهنده	0.204	0.890	0.585
alas	افسوس	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	آلباتروس	0.500	0.445	0.527
albino	آلبینیو	0.500	0.240	0.358
album	آلبوم	0.635	0.349	0.453
alchemy	کیمیاگری	0.541	0.583	0.693
alcohol	الکل	0.323	0.667	0.377
alcoholic	الکلی	0.153	0.688	0.361
alcoholism	مشروبات الکلی	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	آلدرمن	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	هشدار	0.479	0.820	0.648
alertness	هوشیاری	0.375	0.875	0.750
alerts	هشدار	0.337	0.804	0.673
alfalfa	یونجه	0.546	0.250	0.311
algebra	جبر	0.440	0.340	0.565
algebraic	جبری	0.531	0.412	0.441
algorithm	الگوریتم	0.448	0.394	0.559
alias	نام مستعار	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	بیگانه	0.410	0.615	0.491
alienate	بیگانه	0.247	0.500	0.523
alienated	بیگانه	0.410	0.423	0.559
alienation	بیگانگی	0.378	0.530	0.462
alight	شعله ور	0.667	0.657	0.605
align	تراز کردن	0.656	0.364	0.627
aligned	هم راستا	0.583	0.275	0.553
alignment	هم ترازی	0.643	0.412	0.683
alike	به طور یکسان	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	نفقه	0.612	0.477	0.464
aliquot	آلیکوت	0.440	0.310	0.404
alive	زنده است	0.816	0.637	0.731
alkali	قلیایی	0.490	0.350	0.408
alkaloids	آلکالوئیدها	0.433	0.562	0.402
allay	از بین بردن	0.417	0.406	0.398
allegation	ادعا	0.578	0.578	0.608
allege	ادعا کن	0.418	0.482	0.587
alleged	ادعا کرد	0.365	0.522	0.520
allegiance	وفاداری	0.917	0.398	0.750
allegorical	تمثیل	0.517	0.558	0.598
allegory	تمثیل	0.615	0.580	0.509
allegro	مخلوق	0.635	0.627	0.453
allergic	آلرژیک	0.135	0.549	0.273
allergy	آلرژی	0.296	0.606	0.389
alleviate	تسکین	0.869	0.270	0.528
alleviation	تسکین	0.735	0.200	0.491
alley	کوچه	0.347	0.500	0.355
alleyway	کوچه	0.357	0.471	0.382
alliance	اتحاد	0.696	0.473	0.769
allied	متفقین	0.714	0.245	0.642
alligator	تمساح	0.354	0.704	0.645
allocate	تخصیص	0.673	0.462	0.672
allocation	تخصیص	0.604	0.388	0.679
allot	تخصیص دادن	0.622	0.481	0.616
allotment	تخصیص	0.600	0.390	0.640
allow	اجازه دادن	0.698	0.429	0.538
allowable	مجاز	0.698	0.500	0.561
allowance	کمک هزینه	0.673	0.382	0.591
allowed	مجاز	0.730	0.360	0.655
alloy	آلیاژ	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	جذابیت	0.804	0.585	0.686
alluring	جذابیت	0.837	0.745	0.843
allusion	تقلید	0.440	0.308	0.462
alluvial	آبرفتی	0.323	0.490	0.491
ally	متحد	0.792	0.320	0.688
almanac	هفتگی	0.688	0.190	0.412
almighty	خداوند متعال	0.938	0.874	0.958
almond	بادام	0.698	0.183	0.314
aloft	بالا	0.771	0.373	0.700
aloha	الهه	0.698	0.440	0.441
alone	تنها	0.333	0.167	0.216
alongside	در کنار	0.458	0.333	0.347
aloof	دور	0.189	0.423	0.302
aloud	با صدای بلند	0.458	0.713	0.750
alpha	آلفا	0.708	0.340	0.755
alphabet	الفبا	0.562	0.204	0.672
alphabetical	حروف الفبا	0.537	0.296	0.535
alpine	آلپاین	0.594	0.337	0.474
alreadyyyyy	کنجکاو	0.592	0.717	0.351
altar	محراب	0.724	0.387	0.635
altar boy	جادوگر	0.434	0.206	0.350
alter	تغییر دادن	0.333	0.694	0.654
alteration	تغییر	0.167	0.798	0.609
altercation	جهش	0.170	0.806	0.500
altered	تغییر کرد	0.255	0.765	0.500
alternate	متناوب	0.625	0.363	0.589
alternating	متناوب	0.480	0.494	0.542
alternative	جایگزین	0.628	0.373	0.631
altimeter	ارتفاع سنج	0.615	0.510	0.580
altitude	ارتفاع	0.708	0.482	0.736
alto	آلتو	0.656	0.404	0.730
altogether	در مجموع	0.833	0.324	0.644
aluminum	آلومینیوم	0.449	0.280	0.434
alumnus	فارغ التحصیل	0.633	0.368	0.422
alveolar	آلوئولار	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	آمالگام	0.438	0.333	0.510
amalgamation	ادغام	0.406	0.470	0.531
amaretto	امارت	0.543	0.551	0.375
amass	جمع کن	0.552	0.465	0.465
amateur	آماتور	0.469	0.500	0.409
amaze	عجیب و غریب	0.896	0.843	0.783
amazed	شگفت زده شد	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	شگفتی	0.750	0.800	0.639
amazing	حیرت آور	0.906	0.837	0.849
amazingly	شگفت آور	0.918	0.765	0.920
ambassador	سفیر	0.651	0.529	0.917
amber	کهربا	0.635	0.308	0.369
ambience	محدوده	0.735	0.356	0.426
ambient	محیط	0.625	0.360	0.582
ambiguity	ابهام	0.164	0.460	0.370
ambiguous	مبهم	0.265	0.462	0.358
ambit	دامنه	0.479	0.380	0.386
ambition	هدف - آرزو	0.510	0.804	0.661
ambitious	بلند پروازانه	0.484	0.821	0.717
ambivalent	متضاد	0.510	0.404	0.482
ambrosia	شهد	0.571	0.452	0.480
ambulance	آمبولانس	0.500	0.750	0.609
ambush	کمین	0.281	0.830	0.500
ameliorate	بهبود یافتن	0.770	0.548	0.747
amen	آمین	0.781	0.182	0.542
amenable	قابلیت	0.448	0.410	0.406
amend	اصلاح	0.688	0.406	0.658
amendment	اصالحیه	0.531	0.459	0.606
amends	اصلاح می شود	0.640	0.366	0.517
amenity	سرگرمی	0.750	0.327	0.574
amethyst	آمستردام	0.622	0.406	0.517
amiable	دوستانه	0.847	0.290	0.483
amicable	دوستانه	0.875	0.330	0.507
amid	در میان	0.510	0.340	0.256
amidst	در میان	0.480	0.330	0.316
amino	آمینو	0.551	0.402	0.433
ammo	مهمات	0.323	0.765	0.621
ammonia	آمونیاک	0.292	0.587	0.409
ammonium	آمونیوم	0.354	0.396	0.368
ammunition	مهمات	0.338	0.635	0.667
amnesia	فراموشی	0.296	0.330	0.308
amnesty	عفو	0.551	0.451	0.814
amorous	عاشقانه	0.844	0.670	0.636
amorphous	آمورف	0.327	0.402	0.349
amortization	استهلاک	0.592	0.491	0.522
amount	میزان	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	تقویت کننده	0.439	0.393	0.375
ampersand	امپراطور	0.480	0.448	0.483
amphetamines	آمفتامین	0.133	0.667	0.526
amphibian	دوزیستان	0.427	0.357	0.474
amphibious	دوزیستان	0.479	0.346	0.445
amphitheater	آمفی تئاتر	0.653	0.480	0.545
ample	کافی	0.744	0.349	0.719
amplification	تقویت	0.690	0.677	0.810
amplify	تقویت	0.677	0.735	0.827
amplitude	دامنه	0.694	0.439	0.692
amply	به طور کامل	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
