Word	Malagasy-mg	Valence	Arousal	Dominance
adequate	sahaza	0.854	0.264	0.705
adhere	manaraka	0.633	0.339	0.554
adherence	firaiketana	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	manaraka	0.612	0.561	0.537
adhesion	hidiran'i	0.521	0.445	0.586
adhesive	adhesive	0.604	0.350	0.413
adieu	Adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	mifanila	0.645	0.276	0.536
adjective	mpamaritra	0.570	0.316	0.569
adjoining	nifanila	0.520	0.400	0.393
adjourn	-pivoriany	0.385	0.456	0.475
adjournment	fiafaran'ny	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	hanitsy	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	fanitsiana	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	Admin	0.688	0.420	0.854
administer	hitantana	0.635	0.425	0.860
administration	fitantanan-draharaha	0.625	0.404	0.786
administrative	panjakana	0.542	0.415	0.579
administrator	mpandrindra	0.538	0.480	0.902
admirable	mendri-piderana	0.929	0.600	0.870
admiral	amiral	0.844	0.490	0.847
admiralty	Admiralty	0.594	0.547	0.733
admiration	fahatalanjonana sy fifaliana	0.969	0.583	0.726
admire	mahafinaritra	0.867	0.692	0.704
admired	hidera	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	Nankafizinay koa	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	raisina	0.780	0.528	0.642
admission	fieken-keloka	0.802	0.415	0.732
admit	niaiky	0.538	0.423	0.667
admittance	entina	0.690	0.451	0.598
admitted	niaiky	0.720	0.490	0.767
admitting	niaiky	0.620	0.500	0.546
admixture	nampiasainy	0.450	0.375	0.438
admonition	torohevitra	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	tanora	0.487	0.694	0.444
adolescent	tanora	0.781	0.680	0.509
adopt	mandany	0.694	0.612	0.701
adoption	fananganana	0.625	0.566	0.589
adoptive	nitaiza azy	0.531	0.469	0.520
adorable	mahatehotia	0.969	0.519	0.457
adoration	fitsaohana	0.885	0.699	0.708
adore	mankafy	0.854	0.438	0.657
adoring	fiankohofana	0.885	0.620	0.717
adorn	mandravaka	0.910	0.424	0.482
adornment	haingo	0.918	0.373	0.377
adrenalin	adrénaline	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	olon-dehibe	0.815	0.491	0.787
adulterated	milaza azy	0.188	0.865	0.370
adulterer	mpanitsakitsa-bady	0.229	0.814	0.407
adultery	ny fanitsakitsaham-bady	0.120	0.922	0.510
adulthood	olon-dehibe	0.541	0.454	0.652
advance	Mandroso	0.673	0.472	0.858
advanced	Advanced	0.844	0.623	0.797
advancement	fandrosoana	0.776	0.650	0.839
advancing	dia efa mandroso	0.929	0.608	0.812
advantage	tombony	0.917	0.548	0.859
advantageous	mahasoa	0.837	0.640	0.789
advent	fiavian'ny	0.665	0.560	0.627
adventure	traikefa nahafinaritra	0.917	0.857	0.710
adventurer	mpisantatra	0.781	0.839	0.868
adventures	niainany	0.812	0.764	0.749
adventurous	sahisahy	0.969	0.898	0.722
adversary	fahavalo	0.349	0.777	0.457
adverse	voka	0.323	0.610	0.385
adversity	fahoriana	0.276	0.760	0.538
advertise	hanambara	0.500	0.529	0.580
advertisement	dokam-barotra	0.600	0.566	0.539
advertising	dokam-barotra	0.622	0.608	0.632
adverts	dokam-barotra	0.551	0.500	0.595
advice	toro-hevitra	0.698	0.408	0.688
advisable	tokony hatao	0.867	0.480	0.510
advise	manoro hevitra	0.760	0.393	0.705
advised	nanoro hevitra	0.823	0.330	0.509
advisement	nifampisaina,	0.698	0.235	0.655
adviser	mpanolo-tsaina	0.745	0.362	0.705
advisor	mpanolotsaina	0.646	0.350	0.689
advisory	Mpanolo-tsaina	0.656	0.429	0.633
advocacy	fisoloana vava	0.500	0.646	0.731
advocate	mpiaro	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	avy eny ambony	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	fiaramanidina	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	hatsarana	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	lavitra	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	raharaha	0.520	0.459	0.657
affect	vokany eo	0.458	0.569	0.578
affecting	miantraika	0.350	0.574	0.394
affection	fitiavana	0.898	0.559	0.696
affectionate	fitiavana	0.949	0.422	0.550
affections	fitiavana	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	mpikambana	0.673	0.519	0.535
affiliation	firehana	0.615	0.594	0.500
affinity	vinanton'i	0.800	0.500	0.537
affirm	manamafy	0.745	0.509	0.731
affirmation	hoy	0.750	0.500	0.689
affirmative	affirmative	0.854	0.589	0.816
affirmatively	fankatoavana no	0.908	0.500	0.811
affix	tahirin-tsirin'i	0.438	0.335	0.411
afflict	mampahory	0.302	0.555	0.293
afflicted	ory	0.271	0.500	0.167
affliction	fahoriana	0.294	0.635	0.392
affluence	affluence	0.663	0.618	0.722
affluent	manankarena	0.756	0.388	0.477
afford	manam-bola	0.571	0.580	0.575
affordable	takatry	0.840	0.398	0.493
affront	tafintohina	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	Nivezivezy	0.594	0.370	0.373
afire	afo	0.367	0.904	0.675
afloat	mitsinkafona	0.602	0.427	0.444
afore	rahateo	0.500	0.337	0.382
aforementioned	voalaza etsy ambony	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	matahotra	0.010	0.775	0.245
afresh	indray amin'ny	0.643	0.521	0.480
african	Afrikana	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	fiainana any ankoatra	0.571	0.567	0.568
aftermath	taorian'ilay	0.312	0.449	0.444
afternoon	tolakandro	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	ny vokany	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	gaga kosa	0.612	0.529	0.464
agate	agata	0.540	0.377	0.483
age	taona	0.561	0.226	0.498
aged	antitra	0.135	0.365	0.236
agency	fahafahana misafidy	0.460	0.296	0.583
agenda	fandaharam-potoana	0.531	0.296	0.553
agent	mpandraharaha	0.480	0.439	0.755
agglomeration	agglomération	0.450	0.765	0.509
aggravate	mainka nampahaditra	0.224	0.770	0.464
aggravated	mainka manasaro	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	mampitombo	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	aggregate	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	herisetra	0.094	0.929	0.533
aggressive	masiaka	0.125	0.949	0.648
aggressively	mahery vaika	0.250	0.926	0.688
aggressiveness	masiaka	0.077	0.913	0.648
aggressor	herisetra	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	mailaka	0.800	0.657	0.775
agility	fahaizany mamikitra	0.720	0.702	0.815
aging	be taona	0.214	0.255	0.284
agitate	hanakorontana	0.300	0.796	0.593
agitated	mikorontana	0.444	0.882	0.491
agitation	pahoriana	0.240	0.931	0.447
aglow	Narehitry	0.780	0.510	0.797
agnostic	agnôstika	0.306	0.396	0.574
ago	lasa izay	0.317	0.280	0.404
agonizing	sasa-	0.083	0.800	0.340
agony	fanaintainana	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	manaiky	0.906	0.260	0.545
agreeable	manaiky hiara	0.906	0.500	0.696
agreed	nanaiky	0.797	0.449	0.574
agreeing	nanaiky	0.854	0.480	0.557
agreement	fifanarahana	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	fambolena	0.686	0.321	0.473
agriculture	fambolena	0.640	0.357	0.465
aground	hidona	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	mialoha	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	fanampiana	0.796	0.491	0.541
aide	mpanampy	0.724	0.342	0.434
aiding	nanampy	0.643	0.533	0.569
aids	SIDA	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	marary	0.094	0.518	0.153
ailment	aretina	0.146	0.734	0.277
aim	tanjona	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	rivotra	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	mahazo haavo	0.542	0.519	0.385
aircraft	fiaramanidina	0.646	0.644	0.691
aircraft carrier	fiaramanidina fiaramanidina	0.490	0.740	0.727
airfield	aerodrom	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	airline	0.650	0.482	0.688
airliner	fiaramanidina	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	Miaramila mpanamory fiaramanidina	0.587	0.716	0.721
airplane	fiaramanidina	0.719	0.702	0.708
airport	Airport	0.729	0.684	0.682
airs	hiseho hahalala	0.583	0.196	0.370
airship	afaka manidina	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	fiaramanidina	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	ila	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	antsoina	0.459	0.358	0.351
akin	tahaka	0.639	0.343	0.523
alabaster	vatosanga fasiana	0.542	0.404	0.445
alarm	fanairana	0.241	0.882	0.698
alarm clock	famantaranandro	0.542	0.727	0.642
alarmed	taitra	0.188	0.822	0.492
alarming	manaitra	0.204	0.890	0.585
alas	Indrisy	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	lohovava	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	raki-kira	0.635	0.349	0.453
alchemy	simia	0.541	0.583	0.693
alcohol	toaka	0.323	0.667	0.377
alcoholic	toaka	0.153	0.688	0.361
alcoholism	fisotroan-toaka	0.061	0.779	0.407
alcove	Alcove	0.490	0.340	0.356
alderman	mpanolotsain'ny tanàna	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	fanairana	0.479	0.820	0.648
alertness	mailo	0.375	0.875	0.750
alerts	fanairana	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	alijebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	antsoina	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	vahiny	0.410	0.615	0.491
alienate	hafindrany	0.247	0.500	0.523
alienated	olon-ko	0.410	0.423	0.559
alienation	fahafoizako	0.378	0.530	0.462
alight	midina	0.667	0.657	0.605
align	hampifanaraka	0.656	0.364	0.627
aligned	mifanaraka	0.583	0.275	0.553
alignment	fampifanarahana	0.643	0.412	0.683
alike	mitovy	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	velona	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	tiana	0.417	0.406	0.398
allegation	filazana	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	lazaina	0.365	0.522	0.520
allegiance	fankatoavana	0.917	0.398	0.750
allegorical	fanoharana	0.517	0.558	0.598
allegory	fanoharana	0.615	0.580	0.509
allegro	Allegro	0.635	0.627	0.453
allergic	mahazaka	0.135	0.549	0.273
allergy	allergy	0.296	0.606	0.389
alleviate	hanamaivanana	0.869	0.270	0.528
alleviation	fanamaivanana	0.735	0.200	0.491
alley	làlan-kere	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	fifanarahana	0.696	0.473	0.769
allied	Mpiray Dina	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	zarao	0.673	0.462	0.672
allocation	fanomezana	0.604	0.388	0.679
allot	zarao	0.622	0.481	0.616
allotment	anjara	0.600	0.390	0.640
allow	mamela	0.698	0.429	0.538
allowable	allowable	0.698	0.500	0.561
allowance	vola fanampiana	0.673	0.382	0.591
allowed	navela	0.730	0.360	0.655
alloy	firaka	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	fitaoman'ity	0.804	0.585	0.686
alluring	mahasarika	0.837	0.745	0.843
allusion	manondro	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	mpiara	0.792	0.320	0.688
almanac	Almanac	0.688	0.190	0.412
almighty	tsitoha	0.938	0.874	0.958
almond	amygdala	0.698	0.183	0.314
aloft	fiaran'Andriamanitra	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	irery	0.333	0.167	0.216
alongside	miaraka	0.458	0.333	0.347
aloof	miraharaha	0.189	0.423	0.302
aloud	amin'ny feo avo	0.458	0.713	0.750
alpha	Alfa	0.708	0.340	0.755
alphabet	abidy	0.562	0.204	0.672
alphabetical	Alphabetical	0.537	0.296	0.535
alpine	Alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	alitara	0.724	0.387	0.635
altar boy	alitara zazalahy	0.434	0.206	0.350
alter	manova	0.333	0.694	0.654
alteration	fanovana, fiovana	0.167	0.798	0.609
altercation	fifamaliana	0.170	0.806	0.500
altered	novaina	0.255	0.765	0.500
alternate	Alternate	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	hafa	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	Altitude	0.708	0.482	0.736
alto	Alto	0.656	0.404	0.730
altogether	tanteraka	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	m	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	mifangaro	0.438	0.333	0.510
amalgamation	amalgamation	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	hanangonana	0.552	0.465	0.465
amateur	mpankafy	0.469	0.500	0.409
amaze	velively mampitolagaga	0.896	0.843	0.783
amazed	gaga	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	talanjona	0.750	0.800	0.639
amazing	mahagaga	0.906	0.837	0.849
amazingly	Mahagaga	0.918	0.765	0.920
ambassador	masoivoho	0.651	0.529	0.917
amber	Amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	Ambient	0.625	0.360	0.582
ambiguity	MANJAVOZAVO	0.164	0.460	0.370
ambiguous	mazava	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	faniriana	0.510	0.804	0.661
ambitious	fatra-paniry laza	0.484	0.821	0.717
ambivalent	mino an'izany	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	fiara mpitondra marary	0.500	0.750	0.609
ambush	otrika	0.281	0.830	0.500
ameliorate	manatsara	0.770	0.548	0.747
amen	amena	0.781	0.182	0.542
amenable	tompon'andraikitra manoloana	0.448	0.410	0.406
amend	ataovy tsara	0.688	0.406	0.658
amendment	fanitsiana	0.531	0.459	0.606
amends	hanonitra	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	ametista	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	eo anivon'ny	0.510	0.340	0.256
amidst	anatin'ny	0.480	0.330	0.316
amino	Amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amoniaka	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	bala	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	famotsoran-keloka	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	vola	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	DIEM	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	sahona	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	fanaovana fampisehoana	0.653	0.480	0.545
ample	ampy	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	hanamafisana	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	fanapahana ilay rantsambatana	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	voly	0.812	0.684	0.664
amused	miharihary amin'izany	0.942	0.847	0.596
amusement	voly	0.929	0.837	0.803
