Word	Tamil-ta	Valence	Arousal	Dominance
actor	நடிகர்	0.653	0.561	0.629
actress	நடிகை	0.633	0.556	0.596
actual	உண்மையான	0.729	0.400	0.716
actuality	உண்மையில்	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	கூர்மை	0.469	0.378	0.741
acumen	புத்திசாலித்தனம்	0.564	0.660	0.679
acupuncture	குத்தூசி	0.531	0.324	0.549
acute	கடுமையான	0.427	0.652	0.534
acutely	நன்கு	0.417	0.543	0.491
ad	விளம்பரம்	0.521	0.705	0.558
adage	பழமொழி	0.517	0.415	0.566
adamant	பிடிவாதமாக	0.344	0.529	0.575
adapt	ஏற்ப	0.740	0.355	0.551
adaptable	செய்தக்க	0.735	0.423	0.641
adaptation	தழுவல்	0.663	0.365	0.609
add	கூட்டு	0.728	0.490	0.554
added	சேர்க்கப்பட்டது	0.562	0.405	0.509
addendum	பின்னிணைப்பு	0.392	0.370	0.418
adder	பாம்பின்	0.388	0.461	0.588
addict	அடிமையாக	0.075	0.696	0.327
addicted	அடிமையாகி	0.156	0.712	0.483
addiction	போதை	0.180	0.806	0.420
addictive	போதை	0.302	0.683	0.472
addition	கூடுதலாக	0.562	0.373	0.471
additional	கூடுதல்	0.673	0.462	0.526
additive	சேர்க்கை	0.561	0.633	0.691
address	முகவரி	0.650	0.327	0.567
addressee	பெறுநர்	0.622	0.382	0.538
addresses	முகவரிகள்	0.510	0.354	0.450
adept	திறமையானவை	0.594	0.539	0.789
adequacy	போதுமான	0.615	0.435	0.702
adequate	போதுமான	0.854	0.264	0.705
adhere	கடைபிடிக்கின்றன	0.633	0.339	0.554
adherence	பின்பற்றுவது	0.760	0.307	0.630
adherent	பற்றாமல்	0.561	0.385	0.555
adhering	கடைப்பிடிக்கின்றது	0.612	0.561	0.537
adhesion	ஒட்டுதல்	0.521	0.445	0.586
adhesive	பிசின்	0.604	0.350	0.413
adieu	விடைபெற்றுச்	0.250	0.471	0.342
adipose	கொழுப்பு	0.333	0.350	0.391
adjacency	அடுத்துள்ள	0.365	0.417	0.375
adjacent	அடுத்தடுத்த	0.645	0.276	0.536
adjective	உரிச்சொல்	0.570	0.316	0.569
adjoining	பக்கத்து	0.520	0.400	0.393
adjourn	ஒத்திவைப்பதாக	0.385	0.456	0.475
adjournment	ஒத்திவைப்பு	0.438	0.510	0.370
adjudicate	தீர்ப்பளிப்பதைக்	0.559	0.520	0.683
adjudication	நீதி மன்றமானது	0.551	0.462	0.691
adjunct	சேர்ப்புக்கு	0.459	0.440	0.426
adjust	சரி	0.647	0.327	0.638
adjuster	சரிசெய்யும்	0.510	0.540	0.760
adjustment	சரிசெய்தல்	0.590	0.520	0.661
adjuvant	துணை	0.510	0.500	0.456
admin	நிர்வாகம்	0.688	0.420	0.854
administer	நிர்வாகி	0.635	0.425	0.860
administration	நிர்வாகம்	0.625	0.404	0.786
administrative	நிர்வாக	0.542	0.415	0.579
administrator	நிர்வாகி	0.538	0.480	0.902
admirable	போற்றத்தக்க	0.929	0.600	0.870
admiral	அட்மிரல்	0.844	0.490	0.847
admiralty	கடற்படை	0.594	0.547	0.733
admiration	புகழையும்	0.969	0.583	0.726
admire	ரசிக்கிறது	0.867	0.692	0.704
admired	பாராட்டப்படும்	0.917	0.560	0.815
admirer	ஆர்வலராக	0.796	0.720	0.650
admiring	வியந்து பாராட்டினார்	0.867	0.578	0.629
admissibility	சேர்த்துக்கொள்ள	0.802	0.580	0.602
admissible	ஏற்றுக்கொள்ளக்கூடிய	0.780	0.528	0.642
admission	சேர்க்கை	0.802	0.415	0.732
admit	ஒப்புக்கொள்ள	0.538	0.423	0.667
admittance	உள்ளிடற்திறன்	0.690	0.451	0.598
admitted	அனுமதிக்கப்பட்டார்	0.720	0.490	0.767
admitting	ஒப்புக்	0.620	0.500	0.546
admixture	கலப்புடன்	0.450	0.375	0.438
admonition	கண்டிப்பு	0.357	0.606	0.455
ado	சந்தடி	0.520	0.423	0.385
adobe	அடோப்	0.500	0.319	0.328
adolescence	இளமை	0.487	0.694	0.444
adolescent	பருவ	0.781	0.680	0.509
adopt	தத்தெடுக்க	0.694	0.612	0.701
adoption	தத்தெடுப்பு	0.625	0.566	0.589
adoptive	தத்தெடுக்கப்பட்ட	0.531	0.469	0.520
adorable	ஆச்சர்யமான	0.969	0.519	0.457
adoration	அர்ப்பணிப்பிற்குத்	0.885	0.699	0.708
adore	வணங்கு	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	அலங்கரிக்கும்	0.910	0.424	0.482
adornment	அலங்காரத்தையும்	0.918	0.373	0.377
adrenalin	ஒருவகை	0.865	0.920	0.786
adrenaline	அட்ரினலின்	0.765	0.965	0.825
adrift	நிலைதடுமாறி	0.398	0.486	0.230
adult	வயது	0.815	0.491	0.787
adulterated	கலப்படம் செய்யப்பட்ட	0.188	0.865	0.370
adulterer	விபசாரனுடைய	0.229	0.814	0.407
adultery	விபச்சாரம்	0.120	0.922	0.510
adulthood	வயதுவந்த	0.541	0.454	0.652
advance	முன்னெடுக்க	0.673	0.472	0.858
advanced	மேம்பட்ட	0.844	0.623	0.797
advancement	முன்னேற்றம்	0.776	0.650	0.839
advancing	முன்னேறும்	0.929	0.608	0.812
advantage	நன்மை	0.917	0.548	0.859
advantageous	சாதகமான	0.837	0.640	0.789
advent	வருகையுடன்	0.665	0.560	0.627
adventure	சாகச	0.917	0.857	0.710
adventurer	சாகசக்காரர்	0.781	0.839	0.868
adventures	சாகசங்களை	0.812	0.764	0.749
adventurous	சாகசங்கள்	0.969	0.898	0.722
adversary	விரோதி	0.349	0.777	0.457
adverse	பாதகமான	0.323	0.610	0.385
adversity	பாதகமான	0.276	0.760	0.538
advertise	விளம்பரம்	0.500	0.529	0.580
advertisement	விளம்பரம்	0.600	0.566	0.539
advertising	விளம்பர	0.622	0.608	0.632
adverts	விளம்பரங்களில்	0.551	0.500	0.595
advice	ஆலோசனை	0.698	0.408	0.688
advisable	அறிவுறுத்தப்படுகிறது	0.867	0.480	0.510
advise	ஆலோசனை	0.760	0.393	0.705
advised	அறிவுறுத்தப்படுகிறார்கள்	0.823	0.330	0.509
advisement	எடுத்துக் கொள்ளல்	0.698	0.235	0.655
adviser	ஆலோசகர்	0.745	0.362	0.705
advisor	ஆலோசகர்	0.646	0.350	0.689
advisory	ஆலோசனைக்	0.656	0.429	0.633
advocacy	ஆலோசனை	0.500	0.646	0.731
advocate	வழக்கறிஞர்	0.551	0.530	0.818
aegis	ஏஜிஸ்	0.490	0.439	0.462
aeration	காற்றோட்டம்	0.550	0.500	0.433
aerial	வான்வழி	0.615	0.461	0.463
aerobics	ஏரோபிக்ஸ்	0.708	0.771	0.627
aerodrome	ஏரோடிராம்	0.541	0.740	0.678
aerodynamic	ஏரோடைனமிக்	0.561	0.724	0.728
aerodynamics	காற்றியக்கவியல்	0.590	0.663	0.722
aeronautics	வானியல்	0.551	0.633	0.688
aeroplane	விமானம்	0.714	0.642	0.644
aerospace	விண்வெளி	0.643	0.520	0.779
aesthetic	அழகியல்	0.708	0.442	0.526
aesthetics	அழகியல்	0.847	0.327	0.549
aetiology	நோய்க்காரணி	0.480	0.398	0.615
afar	தூரத்திலிருந்து	0.396	0.373	0.358
affable	விநயமான	0.704	0.380	0.452
affair	விவகாரம்	0.520	0.459	0.657
affect	பாதிக்கும்	0.458	0.569	0.578
affecting	பாதிக்கும்	0.350	0.574	0.394
affection	பாசம்	0.898	0.559	0.696
affectionate	பாசமிகுந்த	0.949	0.422	0.550
affections	பாசங்களை	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	வாக்குமூலம்	0.469	0.584	0.526
affiliated	இணைந்த	0.673	0.519	0.535
affiliation	தொடர்பு	0.615	0.594	0.500
affinity	இணக்கத்தை	0.800	0.500	0.537
affirm	உறுதிபடுத்தவும்	0.745	0.509	0.731
affirmation	உறுதிமொழி	0.750	0.500	0.689
affirmative	உடன்பாட்டு	0.854	0.589	0.816
affirmatively	உடன்பாடாக	0.908	0.500	0.811
affix	பதிக்கவேண்டும்	0.438	0.335	0.411
afflict	தொந்தரவுசெய்	0.302	0.555	0.293
afflicted	பாதிக்கப்பட்டிருந்தார்	0.271	0.500	0.167
affliction	துன்பத்துடன்	0.294	0.635	0.392
affluence	செழுமை	0.663	0.618	0.722
affluent	வசதியான	0.756	0.388	0.477
afford	வாங்க	0.571	0.580	0.575
affordable	மலிவு	0.840	0.398	0.493
affront	அவமரியாதையாக	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	களத்தில்	0.594	0.370	0.373
afire	தீ	0.367	0.904	0.675
afloat	கப்பலில்	0.602	0.427	0.444
afore	முன்	0.500	0.337	0.382
aforementioned	மேற்கூறிய	0.490	0.316	0.408
aforesaid	மேற்படி	0.531	0.358	0.478
afraid	பயம்	0.010	0.775	0.245
afresh	மீண்டும்	0.643	0.521	0.480
african	ஆப்பிரிக்க	0.490	0.423	0.555
aft	பின்னோக்கி	0.480	0.417	0.518
afterlife	உயிர் பிரிந்தபின்	0.571	0.567	0.568
aftermath	பின்னர்	0.312	0.449	0.444
afternoon	பிற்பகல்	0.533	0.388	0.339
aftershave	சவரம்	0.406	0.384	0.415
aftertaste	சுவைத்த	0.354	0.362	0.455
afterthought	மறுயோசனையாக	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	திகைப்பு	0.612	0.529	0.464
agate	இரத்தின கல் வகை	0.540	0.377	0.483
age	வயது	0.561	0.226	0.498
aged	வயது	0.135	0.365	0.236
agency	நிறுவனம்	0.460	0.296	0.583
agenda	நிகழ்ச்சி நிரல்	0.531	0.296	0.553
agent	முகவர்	0.480	0.439	0.755
agglomeration	மாநகரமாகும்	0.450	0.765	0.509
aggravate	தீவிரமடைய	0.224	0.770	0.464
aggravated	மேலும் மோசமானது	0.079	0.760	0.430
aggravates	அதிகமாகிவிட்டால்	0.108	0.778	0.357
aggravating	மிகமுக்கியமான	0.257	0.794	0.640
aggravation	மோசமாக்குகிறது	0.071	0.784	0.613
aggregate	மதிப்பீட்டு	0.730	0.378	0.556
aggregation	திரட்டல்	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ஆக்கிரமிப்பு	0.094	0.929	0.533
aggressive	ஆக்கிரமிப்பு	0.125	0.949	0.648
aggressively	தீவிரமாக	0.250	0.926	0.688
aggressiveness	தீவிரம்	0.077	0.913	0.648
aggressor	சண்டையை	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	திகிலுற்ற	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	சுறுசுறுப்பான	0.800	0.657	0.775
agility	சுறுசுறுப்பு	0.720	0.702	0.815
aging	வயதான	0.214	0.255	0.284
agitate	கிளர்ச்சியுறவும்	0.300	0.796	0.593
agitated	கிளர்ச்சி	0.444	0.882	0.491
agitation	கிளர்ச்சி	0.240	0.931	0.447
aglow	ஒளிர்ந்தன	0.780	0.510	0.797
agnostic	யதார்த்தவாதி	0.306	0.396	0.574
ago	முன்பு	0.317	0.280	0.404
agonizing	தாங்கொண்ணா	0.083	0.800	0.340
agony	தாங்கொணாத்துயர்	0.083	0.775	0.393
agoraphobia	மீதுள்ள	0.127	0.712	0.438
agree	ஏற்கிறேன்	0.906	0.260	0.545
agreeable	ஏற்றுக்கொள்ளக்கூடியதாக	0.906	0.500	0.696
agreed	ஒப்பு	0.797	0.449	0.574
agreeing	ஒப்புக்	0.854	0.480	0.557
agreement	ஒப்பந்தம்	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	விவசாய	0.686	0.321	0.473
agriculture	விவசாயம்	0.640	0.357	0.465
aground	நிலத்தில்	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	மேலே	0.708	0.520	0.673
ahhh	ம்ம்ம்ம்	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	அஹோய்	0.500	0.497	0.380
aid	உதவி	0.796	0.491	0.541
aide	உதவியாளருக்கு	0.724	0.342	0.434
aiding	உதவுதல்	0.643	0.533	0.569
aids	சாதன	0.561	0.480	0.500
ail	வருந்து	0.375	0.434	0.385
ailing	நஷ்டத்தில் ஓடும்	0.094	0.518	0.153
ailment	நோய்	0.146	0.734	0.277
aim	நோக்கம்	0.481	0.569	0.567
aimless	குறிக்கோள் இல்லாத	0.150	0.267	0.183
air	விமான	0.708	0.163	0.427
airbag	காற்றுப்பை	0.510	0.402	0.433
airborne	காற்றில் பரவும்	0.542	0.519	0.385
aircraft	விமானம்	0.646	0.644	0.691
aircraft carrier	விமானம் தாங்கி	0.490	0.740	0.727
airfield	விமான தளம்	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	வானூர்தி	0.573	0.622	0.642
airline	விமான	0.650	0.482	0.688
airliner	விமானம்	0.667	0.777	0.647
airlock	ஏர்லாக்	0.398	0.520	0.447
airman	விமானப்படையினர்	0.587	0.716	0.721
airplane	விமானம்	0.719	0.702	0.708
airport	விமான நிலைய	0.729	0.684	0.682
airs	காற்றுகள்	0.583	0.196	0.370
airship	ஏர்ஷிப்பில்	0.542	0.472	0.529
airspace	வான்வெளியில்	0.562	0.510	0.640
airspeed	காற்று வேகம்	0.583	0.780	0.544
airstrip	விமான ஓடுதளம்	0.550	0.690	0.649
airtight	காற்றுப்புகாத	0.479	0.381	0.570
airway	சுவாசவழி	0.638	0.585	0.482
aisle	இடைகழி	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	அதாவது	0.459	0.358	0.351
akin	ஒத்த	0.639	0.343	0.523
alabaster	பளிங்கு	0.542	0.404	0.445
alarm	அலாரம்	0.241	0.882	0.698
alarm clock	அலாரம் கடிகாரம்	0.542	0.727	0.642
alarmed	எச்சரிக்கை மணி	0.188	0.822	0.492
alarming	கவலைக்கிடமான	0.204	0.890	0.585
alas	அந்தோ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	அல்பட்ரோஸ்	0.500	0.445	0.527
albino	அல்பினோ	0.500	0.240	0.358
album	ஆல்பம்	0.635	0.349	0.453
alchemy	ரசவாதம்	0.541	0.583	0.693
alcohol	மது	0.323	0.667	0.377
alcoholic	மது	0.153	0.688	0.361
alcoholism	சாராய	0.061	0.779	0.407
alcove	Alcove	0.490	0.340	0.356
alderman	அல்டர்மேன்	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	எச்சரிக்கை	0.479	0.820	0.648
alertness	உஷார்நிலை	0.375	0.875	0.750
alerts	எச்சரிக்கைகள்	0.337	0.804	0.673
alfalfa	அல்ஃப்ல்பா	0.546	0.250	0.311
algebra	இயற்கணிதம்	0.440	0.340	0.565
algebraic	இயற்கணித	0.531	0.412	0.441
algorithm	வழிமுறை	0.448	0.394	0.559
alias	என்கிற	0.541	0.353	0.333
alibi	அயலிட சான்று	0.396	0.528	0.556
alien	அன்னிய	0.410	0.615	0.491
alienate	தனிமைப்படுத்த	0.247	0.500	0.523
alienated	பிரித்துவிடக்கூடியதாக	0.410	0.423	0.559
alienation	ஒடுக்கப்பட்ட	0.378	0.530	0.462
alight	இறங்க	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	சீரமைக்கப்பட்டது	0.583	0.275	0.553
alignment	சீரமைப்பு	0.643	0.412	0.683
alike	ஒன்றாக	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ஜீவனாம்சம்	0.612	0.477	0.464
aliquot	மீதியில்லாப்	0.440	0.310	0.404
alive	உயிருடன்	0.816	0.637	0.731
alkali	காரம்	0.490	0.350	0.408
alkaloids	ஆல்கலாய்டுகள்	0.433	0.562	0.402
allay	தணி	0.417	0.406	0.398
allegation	குற்றச்சாட்டு	0.578	0.578	0.608
allege	குற்றம் சாட்டுகின்றனர்	0.418	0.482	0.587
alleged	கூறப்படும்	0.365	0.522	0.520
allegiance	விசுவாசம்	0.917	0.398	0.750
allegorical	உருவக	0.517	0.558	0.598
allegory	உருவகமாக்கமே	0.615	0.580	0.509
allegro	உயிரோட்டமுடைய	0.635	0.627	0.453
allergic	ஒவ்வாமை	0.135	0.549	0.273
allergy	ஒவ்வாமை	0.296	0.606	0.389
alleviate	போக்க	0.869	0.270	0.528
alleviation	ஒழிப்பிற்கு	0.735	0.200	0.491
alley	சந்து	0.347	0.500	0.355
alleyway	உள்ளப் பாதைக்	0.357	0.471	0.382
alliance	கூட்டணி	0.696	0.473	0.769
allied	கூட்டணி	0.714	0.245	0.642
alligator	முதலை	0.354	0.704	0.645
allocate	ஒதுக்கீடு	0.673	0.462	0.672
allocation	ஒதுக்கீடு	0.604	0.388	0.679
allot	ஒதுக்கலாம்	0.622	0.481	0.616
allotment	ஒதுக்கீடு	0.600	0.390	0.640
allow	அனுமதிக்க	0.698	0.429	0.538
allowable	அனுமதிக்கப்பட்ட	0.698	0.500	0.561
allowance	கொடுப்பனவு	0.673	0.382	0.591
allowed	அனுமதி	0.730	0.360	0.655
alloy	அலாய்	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	மயக்கு	0.804	0.585	0.686
alluring	மயக்கும்	0.837	0.745	0.843
allusion	சைகை	0.440	0.308	0.462
alluvial	வண்டல்	0.323	0.490	0.491
ally	கூட்டாளியான	0.792	0.320	0.688
almanac	அல்மானக்	0.688	0.190	0.412
almighty	எல்லாம் வல்ல	0.938	0.874	0.958
almond	பாதம் கொட்டை	0.698	0.183	0.314
aloft	தூக்கி	0.771	0.373	0.700
aloha	அலோகா	0.698	0.440	0.441
alone	தனியாக	0.333	0.167	0.216
alongside	இணைந்து	0.458	0.333	0.347
aloof	ஒதுங்கி	0.189	0.423	0.302
aloud	உரக்க	0.458	0.713	0.750
alpha	ஆல்பா	0.708	0.340	0.755
