Word	Albanian-sq	Valence	Arousal	Dominance
adhesion	ngjitje	0.521	0.445	0.586
adhesive	ngjitës	0.604	0.350	0.413
adieu	lamtumirë	0.250	0.471	0.342
adipose	dhjamor	0.333	0.350	0.391
adjacency	afërsi	0.365	0.417	0.375
adjacent	i afërt	0.645	0.276	0.536
adjective	mbiemër	0.570	0.316	0.569
adjoining	fqinj	0.520	0.400	0.393
adjourn	shtyj	0.385	0.456	0.475
adjournment	shtyrje	0.438	0.510	0.370
adjudicate	gjykoj	0.559	0.520	0.683
adjudication	gjykimi	0.551	0.462	0.691
adjunct	zëvendësues	0.459	0.440	0.426
adjust	përshtat	0.647	0.327	0.638
adjuster	përshtatës	0.510	0.540	0.760
adjustment	rregullim	0.590	0.520	0.661
adjuvant	ndihmës	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administroj	0.635	0.425	0.860
administration	administratë	0.625	0.404	0.786
administrative	administrativ	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	i admirueshëm	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiraliat	0.594	0.547	0.733
admiration	admirim	0.969	0.583	0.726
admire	admiroj	0.867	0.692	0.704
admired	admiruar	0.917	0.560	0.815
admirer	admirues	0.796	0.720	0.650
admiring	admiruar	0.867	0.578	0.629
admissibility	pranueshmëria	0.802	0.580	0.602
admissible	i pranueshëm	0.780	0.528	0.642
admission	pranim	0.802	0.415	0.732
admit	pranoj	0.538	0.423	0.667
admittance	pranim	0.690	0.451	0.598
admitted	pranuar	0.720	0.490	0.767
admitting	pranuar	0.620	0.500	0.546
admixture	përzierje	0.450	0.375	0.438
admonition	paralajmërim	0.357	0.606	0.455
ado	zhurmë	0.520	0.423	0.385
adobe	qerpiç	0.500	0.319	0.328
adolescence	adoleshencë	0.487	0.694	0.444
adolescent	adoleshent	0.781	0.680	0.509
adopt	miratoj	0.694	0.612	0.701
adoption	adoptim	0.625	0.566	0.589
adoptive	adoptues	0.531	0.469	0.520
adorable	i adhurueshëm	0.969	0.519	0.457
adoration	adhurim	0.885	0.699	0.708
adore	adhuroj	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	stolis	0.910	0.424	0.482
adornment	zbukurim	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	në mëshirë të fatit	0.398	0.486	0.230
adult	i rritur	0.815	0.491	0.787
adulterated	falsifikuar	0.188	0.865	0.370
adulterer	kurorëshkelës	0.229	0.814	0.407
adultery	tradhti bashkëshortore	0.120	0.922	0.510
adulthood	moshë madhore	0.541	0.454	0.652
advance	avancoj	0.673	0.472	0.858
advanced	i përparuar	0.844	0.623	0.797
advancement	përparim	0.776	0.650	0.839
advancing	avancimin	0.929	0.608	0.812
advantage	avantazh	0.917	0.548	0.859
advantageous	i favorshëm	0.837	0.640	0.789
advent	ardhje	0.665	0.560	0.627
adventure	aventurë	0.917	0.857	0.710
adventurer	aventurier	0.781	0.839	0.868
adventures	aventurat	0.812	0.764	0.749
adventurous	aventurier	0.969	0.898	0.722
adversary	kundërshtar	0.349	0.777	0.457
adverse	i pafavorshëm	0.323	0.610	0.385
adversity	fatkeqësi	0.276	0.760	0.538
advertise	reklamuar	0.500	0.529	0.580
advertisement	reklamë	0.600	0.566	0.539
advertising	reklamat	0.622	0.608	0.632
adverts	reklamat	0.551	0.500	0.595
advice	këshillë	0.698	0.408	0.688
advisable	i këshillueshëm	0.867	0.480	0.510
advise	këshillë	0.760	0.393	0.705
advised	këshilluar	0.823	0.330	0.509
advisement	këshilllimit	0.698	0.235	0.655
adviser	këshilltar	0.745	0.362	0.705
advisor	këshilltar	0.646	0.350	0.689
advisory	këshillimor	0.656	0.429	0.633
advocacy	mbrojtje	0.500	0.646	0.731
advocate	avokat	0.551	0.530	0.818
aegis	Selimi	0.490	0.439	0.462
aeration	ventilim	0.550	0.500	0.433
aerial	ajror	0.615	0.461	0.463
aerobics	gjimnastikë	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodinamik	0.561	0.724	0.728
aerodynamics	aerodinamikë	0.590	0.663	0.722
aeronautics	aeronautikë	0.551	0.633	0.688
aeroplane	aeroplan	0.714	0.642	0.644
aerospace	hapësirës ajrore	0.643	0.520	0.779
aesthetic	estetik	0.708	0.442	0.526
aesthetics	estetikë	0.847	0.327	0.549
aetiology	etiologjinë	0.480	0.398	0.615
afar	larg	0.396	0.373	0.358
affable	i dashur	0.704	0.380	0.452
affair	çështje	0.520	0.459	0.657
affect	ndikoj	0.458	0.569	0.578
affecting	ndikojnë	0.350	0.574	0.394
affection	dashuri	0.898	0.559	0.696
affectionate	i dashur	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	dëshmi me betim	0.469	0.584	0.526
affiliated	lidhur	0.673	0.519	0.535
affiliation	përkatësia	0.615	0.594	0.500
affinity	prirje	0.800	0.500	0.537
affirm	pohoj	0.745	0.509	0.731
affirmation	pohim	0.750	0.500	0.689
affirmative	pohues	0.854	0.589	0.816
affirmatively	pozitivisht	0.908	0.500	0.811
affix	fiksoj	0.438	0.335	0.411
afflict	hidhëroj	0.302	0.555	0.293
afflicted	i pikëlluar	0.271	0.500	0.167
affliction	vuajtje	0.294	0.635	0.392
affluence	begati	0.663	0.618	0.722
affluent	i pasur	0.756	0.388	0.477
afford	përballojë	0.571	0.580	0.575
affordable	përballueshme	0.840	0.398	0.493
affront	fyerje	0.327	0.740	0.547
affronted	fyer	0.385	0.750	0.527
afield	tutje	0.594	0.370	0.373
afire	një zjarr	0.367	0.904	0.675
afloat	në det	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	i lartpërmendur	0.490	0.316	0.408
aforesaid	i lartpërmendur	0.531	0.358	0.478
afraid	i frikësuar	0.010	0.775	0.245
afresh	përsëri	0.643	0.521	0.480
african	afrikan	0.490	0.423	0.555
aft	në pupë	0.480	0.417	0.518
afterlife	jetë e përtejme	0.571	0.567	0.568
aftermath	pasojë	0.312	0.449	0.444
afternoon	pasdite	0.533	0.388	0.339
aftershave	solucion pas rrojes	0.406	0.384	0.415
aftertaste	amëz	0.354	0.362	0.455
afterthought	mendim i mëvonshëm	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	golëhapur	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	moshë	0.561	0.226	0.498
aged	vjeç	0.135	0.365	0.236
agency	agjenci	0.460	0.296	0.583
agenda	program	0.531	0.296	0.553
agent	agjent	0.480	0.439	0.755
agglomeration	grumbullim	0.450	0.765	0.509
aggravate	rëndoj	0.224	0.770	0.464
aggravated	acaruar	0.079	0.760	0.430
aggravates	përkeqëson	0.108	0.778	0.357
aggravating	rëndues	0.257	0.794	0.640
aggravation	keqësim	0.071	0.784	0.613
aggregate	total	0.730	0.378	0.556
aggregation	grumbull	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	sulm	0.094	0.929	0.533
aggressive	agresive	0.125	0.949	0.648
aggressively	agresive	0.250	0.926	0.688
aggressiveness	agresion	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	i tmerruar	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	i shkathët	0.800	0.657	0.775
agility	shkathtësi	0.720	0.702	0.815
aging	plakje	0.214	0.255	0.284
agitate	shqetësoj	0.300	0.796	0.593
agitated	i shqetësuar	0.444	0.882	0.491
agitation	agjitacion	0.240	0.931	0.447
aglow	ndezur	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	më parë	0.317	0.280	0.404
agonizing	pikëllues	0.083	0.800	0.340
agony	agoni	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	bie dakord	0.906	0.260	0.545
agreeable	i këndshëm	0.906	0.500	0.696
agreed	dakord	0.797	0.449	0.574
agreeing	duke rënë dakord	0.854	0.480	0.557
agreement	marrëveshje	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	bujqësor	0.686	0.321	0.473
agriculture	bujqësi	0.640	0.357	0.465
aground	në cekëtinë	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	përpara	0.708	0.520	0.673
ahhh	Ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoy	0.500	0.497	0.380
aid	ndihmë	0.796	0.491	0.541
aide	ndihmës	0.724	0.342	0.434
aiding	ndihmë	0.643	0.533	0.569
aids	SIDA	0.561	0.480	0.500
ail	jam i sëmurë	0.375	0.434	0.385
ailing	i sëmurë	0.094	0.518	0.153
ailment	sëmundje	0.146	0.734	0.277
aim	qëllim	0.481	0.569	0.567
aimless	i paqëllim	0.150	0.267	0.183
air	ajror	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	në fluturim	0.542	0.519	0.385
aircraft	avion	0.646	0.644	0.691
aircraft carrier	aeroplanmbajtës	0.490	0.740	0.727
airfield	fushë aeroplanësh	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	transportin ajror	0.573	0.622	0.642
airline	linjë ajrore	0.650	0.482	0.688
airliner	avioni	0.667	0.777	0.647
airlock	Airlock	0.398	0.520	0.447
airman	pilot	0.587	0.716	0.721
airplane	aeroplan	0.719	0.702	0.708
airport	aeroport	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	hapësirën ajrore	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	pistë zbritjeje	0.550	0.690	0.649
airtight	hermetik	0.479	0.381	0.570
airway	udhë ajrore	0.638	0.585	0.482
aisle	rresht	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	ngjashëm	0.639	0.343	0.523
alabaster	alabastër	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	orë alarmi	0.542	0.727	0.642
alarmed	alarmuar	0.188	0.822	0.492
alarming	alarmues	0.204	0.890	0.585
alas	mjerisht	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	Albatrosi	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkimi	0.541	0.583	0.693
alcohol	alkool	0.323	0.667	0.377
alcoholic	alkoolik	0.153	0.688	0.361
alcoholism	alkoolizëm	0.061	0.779	0.407
alcove	kthinë	0.490	0.340	0.356
alderman	anëtar i këshillit bashkiak	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	vigjilent	0.479	0.820	0.648
alertness	vigjilencë	0.375	0.875	0.750
alerts	alarme	0.337	0.804	0.673
alfalfa	jonxhë	0.546	0.250	0.311
algebra	algjebër	0.440	0.340	0.565
algebraic	algjebrik	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	pseudonim	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	i huaj	0.410	0.615	0.491
alienate	armiqësoj	0.247	0.500	0.523
alienated	tjetërsuar	0.410	0.423	0.559
alienation	tjetërsim	0.378	0.530	0.462
alight	ulem	0.667	0.657	0.605
align	lidhur	0.656	0.364	0.627
aligned	Angazhimit	0.583	0.275	0.553
alignment	radhitje	0.643	0.412	0.683
alike	njëlloj	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ushqim	0.612	0.477	0.464
aliquot	që ndahet pa tepricë	0.440	0.310	0.404
alive	i gjallë	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloide	0.433	0.562	0.402
allay	lehtësoj	0.417	0.406	0.398
allegation	deklaratë	0.578	0.578	0.608
allege	pohoj	0.418	0.482	0.587
alleged	i supozuar	0.365	0.522	0.520
allegiance	besnikëri	0.917	0.398	0.750
allegorical	alegorik	0.517	0.558	0.598
allegory	alegori	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergjik	0.135	0.549	0.273
allergy	alergji	0.296	0.606	0.389
alleviate	lehtësoj	0.869	0.270	0.528
alleviation	zbutje	0.735	0.200	0.491
alley	rrugicë	0.347	0.500	0.355
alleyway	korridor	0.357	0.471	0.382
alliance	aleancë	0.696	0.473	0.769
allied	aleat	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	ndajë	0.673	0.462	0.672
allocation	shpërndarje	0.604	0.388	0.679
allot	shpërndaj	0.622	0.481	0.616
allotment	ndarje	0.600	0.390	0.640
allow	lejoj	0.698	0.429	0.538
allowable	i lejueshëm	0.698	0.500	0.561
allowance	lejim	0.673	0.382	0.591
allowed	i lejuar	0.730	0.360	0.655
alloy	aliazh	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	joshë	0.804	0.585	0.686
alluring	tërheqës	0.837	0.745	0.843
allusion	aluzion	0.440	0.308	0.462
alluvial	që është hedhur	0.323	0.490	0.491
ally	aleat	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	i plotfuqishëm	0.938	0.874	0.958
almond	bajame	0.698	0.183	0.314
aloft	lart	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	vetëm	0.333	0.167	0.216
alongside	pranë	0.458	0.333	0.347
aloof	i përmbajtur	0.189	0.423	0.302
aloud	me zë të lartë	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetik	0.537	0.296	0.535
alpine	alpin	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	djali i altarit	0.434	0.206	0.350
alter	ndryshoj	0.333	0.694	0.654
alteration	ndryshim	0.167	0.798	0.609
altercation	grindje	0.170	0.806	0.500
altered	ndryshuar	0.255	0.765	0.500
alternate	alternativ	0.625	0.363	0.589
alternating	alternuara	0.480	0.494	0.542
alternative	alternativë	0.628	0.373	0.631
altimeter	lartësimatës	0.615	0.510	0.580
altitude	lartësi	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	krejt	0.833	0.324	0.644
aluminum	alumin	0.449	0.280	0.434
alumnus	ish-nxënës	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgamë	0.438	0.333	0.510
amalgamation	shkrirje	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	grumbulloj	0.552	0.465	0.465
amateur	amator	0.469	0.500	0.409
amaze	çudit	0.896	0.843	0.783
amazed	i habitur	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	habi	0.750	0.800	0.639
amazing	mahnitës	0.906	0.837	0.849
amazingly	amazingly	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	qelibar	0.635	0.308	0.369
ambience	ambient	0.735	0.356	0.426
ambient	i ambientit	0.625	0.360	0.582
ambiguity	dykuptimësi	0.164	0.460	0.370
ambiguous	i paqartë	0.265	0.462	0.358
ambit	cak	0.479	0.380	0.386
ambition	ambicie	0.510	0.804	0.661
ambitious	ambicioz	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	ambulancë	0.500	0.750	0.609
ambush	pritë	0.281	0.830	0.500
ameliorate	përmirësoj	0.770	0.548	0.747
amen	amin	0.781	0.182	0.542
amenable	i dëgjueshëm	0.448	0.410	0.406
amend	ndryshoj	0.688	0.406	0.658
amendment	ndryshim	0.531	0.459	0.606
amends	justifikohen	0.640	0.366	0.517
amenity	komoditet	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	i dashur	0.847	0.290	0.483
amicable	miqësor	0.875	0.330	0.507
amid	në mes të	0.510	0.340	0.256
amidst	në mes të	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	municion	0.323	0.765	0.621
ammonia	amoniak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	municion	0.338	0.635	0.667
amnesia	amnezi	0.296	0.330	0.308
amnesty	amnisti	0.551	0.451	0.814
amorous	dashuror	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortizim	0.592	0.491	0.522
amount	sasi	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	AMP	0.439	0.393	0.375
ampersand	simbol	0.480	0.448	0.483
amphetamines	amfetaminat	0.133	0.667	0.526
amphibian	amfib	0.427	0.357	0.474
amphibious	amfib	0.479	0.346	0.445
amphitheater	amfiteatër	0.653	0.480	0.545
ample	i mjaftueshëm	0.744	0.349	0.719
amplification	përforcim	0.690	0.677	0.810
amplify	plotësoj	0.677	0.735	0.827
amplitude	amplitudë	0.694	0.439	0.692
amply	me bollëk	0.781	0.431	0.766
amputate	pres	0.092	0.660	0.509
amputation	amputim	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	zbavitem	0.812	0.684	0.664
amused	i kënaqur	0.942	0.847	0.596
amusement	dëfrim	0.929	0.837	0.803
amusing	zbavitës	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	Anaconda	0.146	0.830	0.540
anaesthesia	anestezi	0.350	0.217	0.473
anaesthetic	mjet anastezik	0.449	0.268	0.509
anagram	anagramë	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgjezik	0.417	0.321	0.441
analogous	i ngjashëm	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogji	0.510	0.367	0.509
