Word	Tajik-tg	Valence	Arousal	Dominance
addictive	латофат	0.302	0.683	0.472
addition	Илова бар ин,	0.562	0.373	0.471
additional	иловагӣ	0.673	0.462	0.526
additive	илова кардан	0.561	0.633	0.691
address	суроға	0.650	0.327	0.567
addressee	суроға	0.622	0.382	0.538
addresses	суроғаҳо	0.510	0.354	0.450
adept	Оддӣ	0.594	0.539	0.789
adequacy	кифоя аст	0.615	0.435	0.702
adequate	кофӣ аст	0.854	0.264	0.705
adhere	риоя кунед	0.633	0.339	0.554
adherence	риоя кардан	0.760	0.307	0.630
adherent	риоя кунед	0.561	0.385	0.555
adhering	риоя кардан	0.612	0.561	0.537
adhesion	шустани он	0.521	0.445	0.586
adhesive	ширин	0.604	0.350	0.413
adieu	Ойини мадоро	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	ҳамсоягӣ	0.365	0.417	0.375
adjacent	наздик аст	0.645	0.276	0.536
adjective	Ситора	0.570	0.316	0.569
adjoining	баста	0.520	0.400	0.393
adjourn	таъхир	0.385	0.456	0.475
adjournment	таъхир	0.438	0.510	0.370
adjudicate	қарор дод	0.559	0.520	0.683
adjudication	додгоҳ	0.551	0.462	0.691
adjunct	тагйирёбанда	0.459	0.440	0.426
adjust	танзим кунед	0.647	0.327	0.638
adjuster	танзимкунанда	0.510	0.540	0.760
adjustment	тасниф	0.590	0.520	0.661
adjuvant	яклухт	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	идора мекунанд	0.635	0.425	0.860
administration	маъмурият	0.625	0.404	0.786
administrative	маъмурӣ	0.542	0.415	0.579
administrator	мудир	0.538	0.480	0.902
admirable	шодбошӣ	0.929	0.600	0.870
admiral	фармуданд	0.844	0.490	0.847
admiralty	саломати	0.594	0.547	0.733
admiration	тааҷҷубовар	0.969	0.583	0.726
admire	тааҷҷубовар аст	0.867	0.692	0.704
admired	хандиданд	0.917	0.560	0.815
admirer	хандаовар	0.796	0.720	0.650
admiring	тааҷҷубовар аст	0.867	0.578	0.629
admissibility	қабул кардан	0.802	0.580	0.602
admissible	қабул карда шудааст	0.780	0.528	0.642
admission	қабул	0.802	0.415	0.732
admit	эътироф кунед	0.538	0.423	0.667
admittance	ворид шудан	0.690	0.451	0.598
admitted	эътироф кард	0.720	0.490	0.767
admitting	иқрор шудааст	0.620	0.500	0.546
admixture	Садо Ояндасоз	0.450	0.375	0.438
admonition	насиҳат	0.357	0.606	0.455
ado	Садо Ояндасоз	0.520	0.423	0.385
adobe	интегратсия	0.500	0.319	0.328
adolescence	наврасӣ	0.487	0.694	0.444
adolescent	наврасон	0.781	0.680	0.509
adopt	қабул кунед	0.694	0.612	0.701
adoption	қабул	0.625	0.566	0.589
adoptive	фарзандхондӣ	0.531	0.469	0.520
adorable	зебо	0.969	0.519	0.457
adoration	ҷашнвора	0.885	0.699	0.708
adore	шавқовар аст	0.854	0.438	0.657
adoring	Садо Ояндасоз	0.885	0.620	0.717
adorn	зебо	0.910	0.424	0.482
adornment	зебоӣ	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	суроға	0.398	0.486	0.230
adult	калонсолон	0.815	0.491	0.787
adulterated	сеҳрнок	0.188	0.865	0.370
adulterer	зинокор	0.229	0.814	0.407
adultery	зино	0.120	0.922	0.510
adulthood	зани ҳомила	0.541	0.454	0.652
advance	пешрафт	0.673	0.472	0.858
advanced	пешрафта	0.844	0.623	0.797
advancement	пешрафт	0.776	0.650	0.839
advancing	пешрафт	0.929	0.608	0.812
advantage	бартарӣ	0.917	0.548	0.859
advantageous	муфид	0.837	0.640	0.789
advent	баромадааст	0.665	0.560	0.627
adventure	макон	0.917	0.857	0.710
adventurer	ҳунарманд	0.781	0.839	0.868
adventures	ҳикояҳо	0.812	0.764	0.749
adventurous	зебо	0.969	0.898	0.722
adversary	зиддият	0.349	0.777	0.457
adverse	номусоид	0.323	0.610	0.385
adversity	душворӣ	0.276	0.760	0.538
advertise	эълон мекунанд	0.500	0.529	0.580
advertisement	реклама	0.600	0.566	0.539
advertising	реклама	0.622	0.608	0.632
adverts	эълонҳо	0.551	0.500	0.595
advice	маслиҳат	0.698	0.408	0.688
advisable	тавсия дода мешавад	0.867	0.480	0.510
advise	маслиҳат диҳед	0.760	0.393	0.705
advised	тавсия дода мешавад	0.823	0.330	0.509
advisement	маслиҳат	0.698	0.235	0.655
adviser	мушовир	0.745	0.362	0.705
advisor	мушовир	0.646	0.350	0.689
advisory	маслиҳат	0.656	0.429	0.633
advocacy	ҳимоя	0.500	0.646	0.731
advocate	ҳимоя кардан	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	дарахтон	0.550	0.500	0.433
aerial	МАКТАБ	0.615	0.461	0.463
aerobics	аэробика	0.708	0.771	0.627
aerodrome	аэродром	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	аэронетика	0.551	0.633	0.688
aeroplane	ҳавопаймо	0.714	0.642	0.644
aerospace	ҳавопаймо	0.643	0.520	0.779
aesthetic	эстетика	0.708	0.442	0.526
aesthetics	эстетика	0.847	0.327	0.549
aetiology	атеология	0.480	0.398	0.615
afar	данд	0.396	0.373	0.358
affable	изҳори миннатдорӣ кард	0.704	0.380	0.452
affair	кор	0.520	0.459	0.657
affect	таъсир мерасонад	0.458	0.569	0.578
affecting	таъсир мерасонад	0.350	0.574	0.394
affection	муҳаббат	0.898	0.559	0.696
affectionate	муҳаббат	0.949	0.422	0.550
affections	Дунёи иқтисод	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	баёния	0.469	0.584	0.526
affiliated	алоқаманд аст	0.673	0.519	0.535
affiliation	ки	0.615	0.594	0.500
affinity	кист?	0.800	0.500	0.537
affirm	тасдиқ кунед	0.745	0.509	0.731
affirmation	тасдиқ карда мешавад	0.750	0.500	0.689
affirmative	тасдиқ карда шудааст	0.854	0.589	0.816
affirmatively	саъй мекунанд	0.908	0.500	0.811
affix	Илова бар ин,	0.438	0.335	0.411
afflict	азоб мекашанд	0.302	0.555	0.293
afflicted	азоб мекашид	0.271	0.500	0.167
affliction	азоб мекашанд	0.294	0.635	0.392
affluence	фаровонӣ	0.663	0.618	0.722
affluent	фаровон	0.756	0.388	0.477
afford	даст	0.571	0.580	0.575
affordable	дастрас аст	0.840	0.398	0.493
affront	бадбахтӣ	0.327	0.740	0.547
affronted	муқовимат	0.385	0.750	0.527
afield	дур	0.594	0.370	0.373
afire	данд	0.367	0.904	0.675
afloat	баста мешавад	0.602	0.427	0.444
afore	пештар	0.500	0.337	0.382
aforementioned	дар назар дошта шудааст	0.490	0.316	0.408
aforesaid	пешкаш карда шудааст	0.531	0.358	0.478
afraid	тарсед	0.010	0.775	0.245
afresh	нависед	0.643	0.521	0.480
african	Африқо	0.490	0.423	0.555
aft	данд	0.480	0.417	0.518
afterlife	пас аз марг	0.571	0.567	0.568
aftermath	пас аз он	0.312	0.449	0.444
afternoon	нисфирӯзӣ	0.533	0.388	0.339
aftershave	Бештар	0.406	0.384	0.415
aftertaste	баъд	0.354	0.362	0.455
afterthought	пас аз он	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	растаниҳо	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	синну сол	0.561	0.226	0.498
aged	сола	0.135	0.365	0.236
agency	agency	0.460	0.296	0.583
agenda	рӯзона	0.531	0.296	0.553
agent	агенти	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	бадтар	0.224	0.770	0.464
aggravated	бадтар	0.079	0.760	0.430
aggravates	бадтар	0.108	0.778	0.357
aggravating	бадтар	0.257	0.794	0.640
aggravation	бадтар	0.071	0.784	0.613
aggregate	маҷмӯъ	0.730	0.378	0.556
aggregation	ҷамъоварӣ	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	таҷовуз	0.094	0.929	0.533
aggressive	хашмгин	0.125	0.949	0.648
aggressively	аз ҳад зиёд	0.250	0.926	0.688
aggressiveness	хашмгин	0.077	0.913	0.648
aggressor	шиканҷа	0.146	0.948	0.823
agh	аҷ	0.260	0.500	0.400
aghast	шабоҳат	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	гиря	0.800	0.657	0.775
agility	вазнинӣ	0.720	0.702	0.815
aging	сола	0.214	0.255	0.284
agitate	шитобон	0.300	0.796	0.593
agitated	шадид	0.444	0.882	0.491
agitation	ташвишовар	0.240	0.931	0.447
aglow	заъиф	0.780	0.510	0.797
agnostic	агностик	0.306	0.396	0.574
ago	пештар	0.317	0.280	0.404
agonizing	бадбахтӣ	0.083	0.800	0.340
agony	бадбахтӣ	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	розӣ аст	0.906	0.260	0.545
agreeable	розӣ аст	0.906	0.500	0.696
agreed	розӣ шуд	0.797	0.449	0.574
agreeing	розӣ аст	0.854	0.480	0.557
agreement	созишнома	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	кишоварзӣ	0.686	0.321	0.473
agriculture	кишоварзӣ	0.640	0.357	0.465
aground	задааст	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	пештар	0.708	0.520	0.673
ahhh	Ахмад	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ором	0.500	0.497	0.380
aid	кӯмак	0.796	0.491	0.541
aide	ёрдамчӣ	0.724	0.342	0.434
aiding	кӯмак кардан	0.643	0.533	0.569
aids	ёрӣ мерасонад	0.561	0.480	0.500
ail	оилавӣ	0.375	0.434	0.385
ailing	хоб	0.094	0.518	0.153
ailment	беморӣ	0.146	0.734	0.277
aim	мақсад	0.481	0.569	0.567
aimless	мақсаднок	0.150	0.267	0.183
air	ҳаво	0.708	0.163	0.427
airbag	пневматикӣ	0.510	0.402	0.433
airborne	ҳаво	0.542	0.519	0.385
aircraft	ҳавопаймо	0.646	0.644	0.691
aircraft carrier	интиқолдиҳанда	0.490	0.740	0.727
airfield	ҳавоӣ	0.601	0.650	0.645
airhead	ҳаво	0.271	0.481	0.276
airlift	ҳавопаймо	0.573	0.622	0.642
airline	авиатсионӣ	0.650	0.482	0.688
airliner	ҳавопаймо	0.667	0.777	0.647
airlock	клок	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ҳавопаймо	0.719	0.702	0.708
airport	аэропорт	0.729	0.684	0.682
airs	ҳаво	0.583	0.196	0.370
airship	ҳаво	0.542	0.472	0.529
airspace	ҳаво	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	ҳаво	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	ҳаво	0.638	0.585	0.482
aisle	радда	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	хеш	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	ҳушдор	0.241	0.882	0.698
alarm clock	соати зангдор	0.542	0.727	0.642
alarmed	хавотир	0.188	0.822	0.492
alarming	ҳаяҷоновар	0.204	0.890	0.585
alas	huh?	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	албом	0.635	0.349	0.453
alchemy	алчазоир	0.541	0.583	0.693
alcohol	спиртӣ	0.323	0.667	0.377
alcoholic	спиртӣ	0.153	0.688	0.361
alcoholism	alcoholism	0.061	0.779	0.407
alcove	Албоя	0.490	0.340	0.356
alderman	Алдерман	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ҳушдор	0.479	0.820	0.648
alertness	ҳушёрӣ	0.375	0.875	0.750
alerts	огоҳ аст	0.337	0.804	0.673
alfalfa	alphalfa	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебра	0.531	0.412	0.441
algorithm	Алгоритм	0.448	0.394	0.559
alias	алис	0.541	0.353	0.333
alibi	Алиби	0.396	0.528	0.556
alien	бегона	0.410	0.615	0.491
alienate	бегона кардан	0.247	0.500	0.523
alienated	бегона шуд	0.410	0.423	0.559
alienation	бегона кардан	0.378	0.530	0.462
alight	аллергия	0.667	0.657	0.605
align	мутобиқ кунед	0.656	0.364	0.627
aligned	мутобиқ карда шудааст	0.583	0.275	0.553
alignment	ҳамоҳангӣ	0.643	0.412	0.683
alike	Ҳамин тавр	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	алимент	0.612	0.477	0.464
aliquot	алистот	0.440	0.310	0.404
alive	зинда аст	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	Ҳамин тавр	0.417	0.406	0.398
allegation	даъво	0.578	0.578	0.608
allege	изҳор мекунанд	0.418	0.482	0.587
alleged	гуфт	0.365	0.522	0.520
allegiance	собит	0.917	0.398	0.750
allegorical	шубҳаовар	0.517	0.558	0.598
allegory	шаҳодат медиҳад	0.615	0.580	0.509
allegro	Садо Ояндасоз	0.635	0.627	0.453
allergic	аллергия	0.135	0.549	0.273
allergy	аллергия	0.296	0.606	0.389
alleviate	табдил додан	0.869	0.270	0.528
alleviation	табъиз	0.735	0.200	0.491
alley	ҳама	0.347	0.500	0.355
alleyway	ҳама	0.357	0.471	0.382
alliance	иттифоқ	0.696	0.473	0.769
allied	иттифоқ афтод	0.714	0.245	0.642
alligator	аллигатор	0.354	0.704	0.645
allocate	ҷудо кардан	0.673	0.462	0.672
allocation	ҷудо кардан	0.604	0.388	0.679
allot	Тақвим	0.622	0.481	0.616
allotment	тақвият	0.600	0.390	0.640
allow	иҷозат диҳед	0.698	0.429	0.538
allowable	имконпазир аст	0.698	0.500	0.561
allowance	кӯмакпулиҳо	0.673	0.382	0.591
allowed	иҷозат дода шудааст	0.730	0.360	0.655
alloy	алюминий	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ҳама	0.804	0.585	0.686
alluring	интегратсия	0.837	0.745	0.843
allusion	Бештар	0.440	0.308	0.462
alluvial	аллергия	0.323	0.490	0.491
ally	иттифоқ	0.792	0.320	0.688
almanac	Алмаато	0.688	0.190	0.412
almighty	Қудратов	0.938	0.874	0.958
almond	бодом	0.698	0.183	0.314
aloft	алоф	0.771	0.373	0.700
aloha	Алоха	0.698	0.440	0.441
alone	танҳо	0.333	0.167	0.216
alongside	дар баробари	0.458	0.333	0.347
aloof	хомӯш	0.189	0.423	0.302
aloud	овози баланд	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	алифбо	0.562	0.204	0.672
alphabetical	alphabetical	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	алейкум	0.592	0.717	0.351
altar	қурбонгоҳ	0.724	0.387	0.635
altar boy	писарчӯб	0.434	0.206	0.350
alter	тағйир додан	0.333	0.694	0.654
alteration	тағйир додан	0.167	0.798	0.609
altercation	аллергӣ	0.170	0.806	0.500
altered	тағйир ёфт	0.255	0.765	0.500
alternate	алтернативӣ	0.625	0.363	0.589
alternating	алтернативӣ	0.480	0.494	0.542
alternative	алтернативӣ	0.628	0.373	0.631
altimeter	зериметр	0.615	0.510	0.580
altitude	баландӣ	0.708	0.482	0.736
alto	ало	0.656	0.404	0.730
altogether	Ҳамин тавр	0.833	0.324	0.644
aluminum	алюминий	0.449	0.280	0.434
alumnus	тирамоҳ	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амалг	0.438	0.333	0.510
amalgamation	ҳамоҳангӣ	0.406	0.470	0.531
amaretto	Амарка	0.543	0.551	0.375
amass	амаз	0.552	0.465	0.465
amateur	ҳавасманд	0.469	0.500	0.409
amaze	ҳайратовар	0.896	0.843	0.783
amazed	ҳайратовар аст	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	тааҷҷубовар	0.750	0.800	0.639
amazing	аҷиб	0.906	0.837	0.849
amazingly	аҷиб аст	0.918	0.765	0.920
ambassador	сафир	0.651	0.529	0.917
amber	амбер	0.635	0.308	0.369
ambience	ором	0.735	0.356	0.426
ambient	муҳити зист	0.625	0.360	0.582
ambiguity	ғайриоддӣ	0.164	0.460	0.370
ambiguous	нодуруст	0.265	0.462	0.358
ambit	данд	0.479	0.380	0.386
ambition	ихтироъ	0.510	0.804	0.661
ambitious	ҳунармандона	0.484	0.821	0.717
ambivalent	ногаҳон	0.510	0.404	0.482
ambrosia	амбросия	0.571	0.452	0.480
ambulance	амбулаторӣ	0.500	0.750	0.609
ambush	гуруснагӣ	0.281	0.830	0.500
ameliorate	такмили ихтисос	0.770	0.548	0.747
amen	амин	0.781	0.182	0.542
amenable	тасаввур кунед	0.448	0.410	0.406
amend	ислоҳ кунед	0.688	0.406	0.658
amendment	ислоҳ	0.531	0.459	0.606
amends	исбот мекунад	0.640	0.366	0.517
amenity	бофтан	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	бомуваффақият	0.847	0.290	0.483
amicable	мусбат	0.875	0.330	0.507
amid	дар айни ҳол	0.510	0.340	0.256
amidst	дар ҳоли ҳозир	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	аммо	0.323	0.765	0.621
ammonia	аммиак	0.292	0.587	0.409
ammonium	аммоний	0.354	0.396	0.368
ammunition	лавҳа	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	авф	0.551	0.451	0.814
amorous	Ойини мадоро	0.844	0.670	0.636
amorphous	амволӣ	0.327	0.402	0.349
amortization	амортизатсия	0.592	0.491	0.522
amount	миқдор	0.562	0.422	0.649
