Word	Yiddish-yi	Valence	Arousal	Dominance
abominate	אַבאַמאַנייטאַד	0.198	0.788	0.366
abomination	אַבאַמאַניישאַן	0.078	0.755	0.518
aboriginal	אַבאָריגינאַל	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	אַבאָרשאַן	0.082	0.770	0.283
abortive	אַבאָרטיוו	0.090	0.776	0.280
abound	abound	0.704	0.490	0.681
abovementioned	אויבן דערמאנטער	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	אַברייזשאַן	0.406	0.592	0.441
abrasive	אַברייסיוו	0.392	0.610	0.593
abreast	אַבזאָרבד	0.635	0.380	0.519
abroad	אויסלאנד	0.677	0.596	0.561
abrogate	אַבראָגאַטע	0.327	0.510	0.594
abrupt	פּלוצעמדיק	0.271	0.819	0.545
abruptly	פּלוצלינג	0.250	0.808	0.556
abscess	אַבסעסס	0.154	0.451	0.349
absence	absence	0.153	0.235	0.266
absent	absent	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	אַבסאָלוט	0.526	0.510	0.827
absolution	אַבסאָלוט	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	אַרייַנציען	0.469	0.558	0.670
absorbed	אַבזאָרבד	0.490	0.471	0.519
absorbent	אַבזאָרבאַנט	0.552	0.394	0.718
absorbing	אַבזאָרבינג	0.490	0.490	0.578
absorption	אַבזאָרפּשאַן	0.609	0.422	0.446
abstain	abstain	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	אַבסטראַקט	0.438	0.292	0.444
abstraction	אַבסטראַקציע	0.469	0.439	0.525
absurd	אַבסורד	0.188	0.656	0.284
absurdity	אַבסורדיטי	0.115	0.528	0.227
abundance	גראָב	0.812	0.690	0.852
abundant	שעפעדיק	0.958	0.590	0.760
abuse	זידלען	0.071	0.873	0.469
abused	אַביוזד	0.021	0.874	0.235
abusive	אַביוזינג	0.125	0.903	0.567
abutment	אַבוטמענט	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	אַביסמאַל	0.250	0.710	0.598
abyss	אַביס	0.353	0.725	0.296
academic	אַקאַדעמיק	0.781	0.420	0.812
academy	אַקאַדעמי	0.704	0.473	0.792
accede	באַפרייַען	0.698	0.510	0.537
accelerant	אַקסעלעראַנט	0.643	0.844	0.802
accelerate	פאַרגיכערן	0.615	0.902	0.759
accelerated	אַקסעלערייטיד	0.610	0.812	0.682
acceleration	אַקסעלעריישאַן	0.704	0.905	0.843
accelerator	אַקסעלעראַטאָר	0.593	0.830	0.812
accent	אַקצענט	0.598	0.357	0.509
accentuate	אַקצענט	0.673	0.556	0.667
accept	אָננעמען	0.847	0.286	0.565
acceptable	פּאַסיק	0.812	0.286	0.583
acceptance	אַקסעפּטאַנס	0.833	0.287	0.755
acceptances	אַקסעסעריז	0.847	0.413	0.648
access	צוטריט	0.714	0.472	0.567
accessible	accessible	0.796	0.410	0.645
accession	אַקסעססיאָן	0.612	0.383	0.636
accessory	אַקסעסערי	0.562	0.292	0.445
accident	accident	0.125	0.908	0.336
accidental	אַקסאַדענטאַל	0.319	0.784	0.307
accidentally	אַקסאַדענטאַלי	0.333	0.741	0.333
acclaim	אַקליימד	0.562	0.809	0.718
accolade	צוקונפֿט	0.688	0.591	0.775
accommodate	צושטעלן	0.844	0.375	0.566
accommodation	אַקאַמאַדיישאַן	0.817	0.415	0.587
accompaniment	accompaniment	0.740	0.479	0.695
accompany	accompany	0.833	0.406	0.585
accompanying	באגלייטעטע	0.787	0.460	0.582
accomplice	אַקשלי	0.408	0.580	0.510
accomplish	ויספירן	0.929	0.673	0.816
accomplished	accomplished	0.870	0.520	0.798
accomplishment	אַקאַמפּלישמאַנט	0.917	0.694	0.888
accord	accord	0.898	0.264	0.382
accordance	לויט	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	חשבון	0.531	0.347	0.472
accountability	אַקאַונטאַביליטי	0.755	0.537	0.833
accountable	אַקאַונטאַבאַל	0.709	0.282	0.777
accountant	קאָנטראָטאַנט	0.625	0.450	0.639
accounting	אַקאַונטינג	0.552	0.390	0.677
accounts	אַקאַונץ	0.592	0.340	0.471
accredited	אַקרעדיטיד	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	accrue	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	אָנקלייַבן	0.573	0.536	0.607
accumulation	אַקיומיאַליישאַן	0.479	0.527	0.600
accuracy	אַקיעראַסי	0.604	0.481	0.802
accurate	פּינטלעך	0.743	0.360	0.737
accursed	געהיילט	0.135	0.745	0.345
accusation	אַקיוזיישאַן	0.073	0.718	0.564
accusative	אַקיומיאַלייטיד	0.198	0.755	0.482
accuse	באַשולדיקן	0.133	0.752	0.500
accused	אָנגעקלאָגט	0.130	0.670	0.420
accuser	אַקיוזער	0.122	0.779	0.615
accusing	אַקיוזינג	0.156	0.745	0.324
accustomed	צוגעוווינט	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	שאַטן	0.146	0.760	0.312
achieve	דערגרייכן	0.816	0.545	0.843
achieved	אַטשיווד	0.896	0.519	0.775
achievement	achievement	0.896	0.808	0.759
aching	וויי טאָן	0.053	0.880	0.348
achy	אַטשיעוו	0.167	0.840	0.373
acid	זויער	0.265	0.642	0.566
acidity	אַסידאַטי	0.156	0.663	0.360
acknowledge	באַשטעטיקן	0.786	0.370	0.661
acknowledged	אַקקנאָוואַלד	0.714	0.443	0.765
acknowledgement	דערקענטעניש	0.819	0.539	0.830
acknowledgment	דערקענטעניש	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	אַקנע	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	אַקוסטיש	0.542	0.462	0.536
acoustics	אַקוסטיקס	0.611	0.330	0.509
acquaint	באַקענען זיך	0.646	0.491	0.639
acquaintance	באַקאַנט	0.656	0.290	0.670
acquainted	באַקאַנט	0.906	0.358	0.632
acquiescence	אַקוויסעססענסע	0.542	0.480	0.554
acquire	קריגן	0.833	0.468	0.700
acquiring	אַקוויירינג	0.735	0.510	0.817
acquisition	אַקוואַזישאַן	0.698	0.509	0.736
acquisitions	אַקוואַזישאַנז	0.773	0.660	0.790
acquit	acquisition	0.583	0.571	0.611
acquittal	acquittal	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	אַקראָבאַט	0.708	0.828	0.602
acrylic	אַקריליק	0.582	0.279	0.420
act	אַקט	0.656	0.704	0.735
acting	אַקטינג	0.698	0.643	0.500
action	קאַמף	0.760	0.898	0.802
action figure	action figure	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	אַקטאַווייט	0.764	0.650	0.806
activation	אַקטאַוויישאַן	0.781	0.800	0.754
active	אַקטיוו	0.847	0.730	0.731
activist	אַקטיוויסט	0.531	0.653	0.877
activity	טעטיקייט	0.701	0.660	0.807
actor	אַקטיאָר	0.653	0.561	0.629
actress	אַקטריסע	0.633	0.556	0.596
actual	actual	0.729	0.400	0.716
actuality	actuality	0.750	0.464	0.600
actuary	אַקטואַרי	0.510	0.404	0.491
acuity	אַקווייט	0.469	0.378	0.741
acumen	אַקומען	0.564	0.660	0.679
acupuncture	אַקיופּאַנגקטשער	0.531	0.324	0.549
acute	אַקוטע	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	אַד	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	אַדאַמאַנט	0.344	0.529	0.575
adapt	אַדאַפּט	0.740	0.355	0.551
adaptable	אַדאַפּטאַבאַל	0.735	0.423	0.641
adaptation	אַדאַפּטאַטיאָן	0.663	0.365	0.609
add	לייג צו	0.728	0.490	0.554
added	צוגעגעבן	0.562	0.405	0.509
addendum	Addendum	0.392	0.370	0.418
adder	אַדדרעססער	0.388	0.461	0.588
addict	נאַרקאָמאַן	0.075	0.696	0.327
addicted	אַדדיקטעד	0.156	0.712	0.483
addiction	אַדיקשאַן	0.180	0.806	0.420
addictive	אַדיקטיוו	0.302	0.683	0.472
addition	דערצו	0.562	0.373	0.471
additional	additional	0.673	0.462	0.526
additive	אַדאַטיוו	0.561	0.633	0.691
address	אַדרעס	0.650	0.327	0.567
addressee	אַדרעסיי	0.622	0.382	0.538
addresses	ווענדט	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adequacy	0.615	0.435	0.702
adequate	adequate	0.854	0.264	0.705
adhere	אַדכיר	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	אַדכירינג	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	קלעפּיק	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	שכייניש	0.645	0.276	0.536
adjective	אַדישנאַל	0.570	0.316	0.569
adjoining	אַדזשוינינג	0.520	0.400	0.393
adjourn	יבעררעדן	0.385	0.456	0.475
adjournment	סענדז	0.438	0.510	0.370
adjudicate	באַשטעטיקן	0.559	0.520	0.683
adjudication	אדרעס	0.551	0.462	0.691
adjunct	אַדזשונקט	0.459	0.440	0.426
adjust	סטרויערן	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	אַדזשאַסטמאַנט	0.590	0.520	0.661
adjuvant	אַדדזשווואַנט	0.510	0.500	0.456
admin	אַדמין	0.688	0.420	0.854
administer	פירן	0.635	0.425	0.860
administration	אַדמיניסטראַציע	0.625	0.404	0.786
administrative	אַדמיניסטראַטיווע	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	אַדמיראַל	0.844	0.490	0.847
admiralty	אַדמיראַלטי	0.594	0.547	0.733
admiration	אַדמיירינג	0.969	0.583	0.726
admire	admire	0.867	0.692	0.704
admired	admired	0.917	0.560	0.815
admirer	אַדמיירער	0.796	0.720	0.650
admiring	אַדמיירינג	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	admissible	0.780	0.528	0.642
admission	אַרייַנטרעטן	0.802	0.415	0.732
admit	אַרייַנלאָזן	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	אַדמיטאַד	0.720	0.490	0.767
admitting	אַדמיטינג	0.620	0.500	0.546
admixture	צומיש	0.450	0.375	0.438
admonition	ווארענונג	0.357	0.606	0.455
ado	אַזוי	0.520	0.423	0.385
adobe	אַדאָובי	0.500	0.319	0.328
adolescence	אַדאָלעססענסע	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	אַדאַפּט	0.694	0.612	0.701
adoption	קינדער	0.625	0.566	0.589
adoptive	אַדאַפּטיוו	0.531	0.469	0.520
adorable	טייַער	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	באַצירן	0.910	0.424	0.482
adornment	אָרנאַמאַנץ	0.918	0.373	0.377
adrenalin	אַדרענאַלין	0.865	0.920	0.786
adrenaline	אַדרענאַלאַן	0.765	0.965	0.825
adrift	שעדיקן	0.398	0.486	0.230
adult	דערוואַקסן	0.815	0.491	0.787
adulterated	אַדאַלטערייטיד	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	ניעף	0.120	0.922	0.510
adulthood	adulthood	0.541	0.454	0.652
advance	advance	0.673	0.472	0.858
advanced	advanced	0.844	0.623	0.797
advancement	advancement	0.776	0.650	0.839
advancing	אַדוואַנסינג	0.929	0.608	0.812
advantage	advant	0.917	0.548	0.859
advantageous	אַדוואַנטיידזשאַס	0.837	0.640	0.789
advent	advent	0.665	0.560	0.627
adventure	פּאַסירונג	0.917	0.857	0.710
adventurer	אַדווענטשערער	0.781	0.839	0.868
adventures	אַדווענטורעס	0.812	0.764	0.749
adventurous	אַדווענטשעראַס	0.969	0.898	0.722
adversary	קעגנער	0.349	0.777	0.457
adverse	אַדווערס	0.323	0.610	0.385
adversity	ומגליק	0.276	0.760	0.538
advertise	advertise	0.500	0.529	0.580
advertisement	אַדווערטייזמאַנט	0.600	0.566	0.539
advertising	גאַנצע	0.622	0.608	0.632
adverts	אַדווערץ	0.551	0.500	0.595
advice	עצה	0.698	0.408	0.688
advisable	advisable	0.867	0.480	0.510
advise	רעקאָמענדירן	0.760	0.393	0.705
advised	advised	0.823	0.330	0.509
advisement	אַדווייזער	0.698	0.235	0.655
adviser	אַדווייזער	0.745	0.362	0.705
advisor	אַדווייזער	0.646	0.350	0.689
advisory	אַדווייזערי	0.656	0.429	0.633
advocacy	אַדוואָקאַסי	0.500	0.646	0.731
advocate	שטיצן	0.551	0.530	0.818
aegis	אַעגיס	0.490	0.439	0.462
aeration	אַעראַטיאָן	0.550	0.500	0.433
aerial	לופט	0.615	0.461	0.463
aerobics	עראָוביקס	0.708	0.771	0.627
aerodrome	אַעראָדראָם	0.541	0.740	0.678
aerodynamic	אַעראָדינאַמיק	0.561	0.724	0.728
aerodynamics	אַעראָדינאַמיקס	0.590	0.663	0.722
aeronautics	אַעראָנאַוטיקס	0.551	0.633	0.688
aeroplane	אַעראָפּלאַן	0.714	0.642	0.644
aerospace	עראָוספּייס	0.643	0.520	0.779
aesthetic	עסטעטיש	0.708	0.442	0.526
aesthetics	עסטעטיק	0.847	0.327	0.549
aetiology	אַעטיאָלאָגי	0.480	0.398	0.615
afar	ווייַט	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	affair	0.520	0.459	0.657
affect	ווירקן	0.458	0.569	0.578
affecting	אַפעקטינג	0.350	0.574	0.394
affection	ליבשאַפט	0.898	0.559	0.696
affectionate	ליבהאָבער	0.949	0.422	0.550
affections	ליבהאבערס	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	אַפיליייטאַד	0.673	0.519	0.535
affiliation	אַפילייישאַן	0.615	0.594	0.500
affinity	affinity	0.800	0.500	0.537
affirm	affirm	0.745	0.509	0.731
affirmation	אַפערמיישאַן	0.750	0.500	0.689
affirmative	affirmative	0.854	0.589	0.816
affirmatively	אַפערמאַטיוולי	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	פּייַניקן	0.302	0.555	0.293
afflicted	אַפליקטאַד	0.271	0.500	0.167
affliction	צרה	0.294	0.635	0.392
affluence	שלום	0.663	0.618	0.722
affluent	affluent	0.756	0.388	0.477
afford	afford	0.571	0.580	0.575
affordable	אַפאָרדאַבאַל	0.840	0.398	0.493
affront	אַפראַנט	0.327	0.740	0.547
affronted	אַפראַנטיד	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	פלאַוערינג	0.602	0.427	0.444
afore	איידער	0.500	0.337	0.382
aforementioned	aforementioned	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	דערשראָקן	0.010	0.775	0.245
afresh	ווידער	0.643	0.521	0.480
african	אפריקאנער	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	afterlife	0.571	0.567	0.568
aftermath	aftermath	0.312	0.449	0.444
afternoon	נאָכמיטאָג	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	אַפטערטייסט	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	אַגאַפּע	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	עלטער	0.561	0.226	0.498
aged	אַלט	0.135	0.365	0.236
agency	אַגענטור	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	אַגענט	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	פאַרשטאַרקן	0.224	0.770	0.464
aggravated	aggravated	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	aggravating	0.257	0.794	0.640
aggravation	אַגראַוויישאַן	0.071	0.784	0.613
aggregate	aggregate	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	אַגרעסיוו	0.094	0.929	0.533
aggressive	אַגרעסיוו	0.125	0.949	0.648
aggressively	aggressively	0.250	0.926	0.688
aggressiveness	אַגרעסיוונאַס	0.077	0.913	0.648
aggressor	אַגרעסער	0.146	0.948	0.823
agh	אַה	0.260	0.500	0.400
aghast	אַהאַסט	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	גרייט	0.800	0.657	0.775
agility	פלינקייַט	0.720	0.702	0.815
aging	עלטער	0.214	0.255	0.284
agitate	אַגיטירן	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	אַגלאָו	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	ago	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	ווייטאג	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	שטימען	0.906	0.260	0.545
agreeable	agreeable	0.906	0.500	0.696
agreed	agreed	0.797	0.449	0.574
agreeing	שטייענדיק	0.854	0.480	0.557
agreement	מיטגליד	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agricultural	0.686	0.321	0.473
agriculture	אַגריקולטורע	0.640	0.357	0.465
aground	אַגראַונד	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	פאָרויס	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	הילף	0.796	0.491	0.541
aide	הילף	0.724	0.342	0.434
aiding	אַיידינג	0.643	0.533	0.569
aids	אַידס	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	ייל	0.146	0.734	0.277
aim	ציל	0.481	0.569	0.567
aimless	ייסאַס	0.150	0.267	0.183
air	לופט	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ערבאָרן	0.542	0.519	0.385
aircraft	ערקראַפט	0.646	0.644	0.691
aircraft carrier	ערקראַפט טרעגער	0.490	0.740	0.727
airfield	ערפילד	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	אַיריפט	0.573	0.622	0.642
airline	ערליין	0.650	0.482	0.688
airliner	אַירלינער	0.667	0.777	0.647
airlock	אַירלאָקק	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	אַעראָפּלאַן	0.719	0.702	0.708
airport	אַעראָפּאָרט	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	ערשיפּ	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	אַירטיגהט	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	דורכגאַנג	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	אַקאַ	0.459	0.358	0.351
akin	ווי	0.639	0.343	0.523
alabaster	אַלאַבאַסטער	0.542	0.404	0.445
alarm	שרעק	0.241	0.882	0.698
alarm clock	וועקער זייגער	0.542	0.727	0.642
alarmed	alarmed	0.188	0.822	0.492
alarming	alarming	0.204	0.890	0.585
alas	וויי	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	אַלבאַטראָסס	0.500	0.445	0.527
albino	אַלבינאָ	0.500	0.240	0.358
album	אלבאם	0.635	0.349	0.453
alchemy	אַלטשעמי	0.541	0.583	0.693
alcohol	אַלקאָהאָל	0.323	0.667	0.377
alcoholic	אַלקאָהאָליקער	0.153	0.688	0.361
alcoholism	אַלקאַכאָליזאַם	0.061	0.779	0.407
alcove	אַלקאָהאָל	0.490	0.340	0.356
alderman	אלכסנדר	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	פלינק	0.479	0.820	0.648
alertness	alertness	0.375	0.875	0.750
alerts	אַלערץ	0.337	0.804	0.673
alfalfa	אַלפאַלפאַ	0.546	0.250	0.311
algebra	אַלגעבראַ	0.440	0.340	0.565
algebraic	אַלגעבראַיק	0.531	0.412	0.441
algorithm	אַלגערידאַם	0.448	0.394	0.559
alias	אַליאַס	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	פרעמד	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienated	0.410	0.423	0.559
alienation	ייליאַניישאַן	0.378	0.530	0.462
alight	אַליגהט	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	אַליינד	0.583	0.275	0.553
alignment	alignment	0.643	0.412	0.683
alike	ענלעך	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	אַלימענט	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	לעבעדיק	0.816	0.637	0.731
alkali	אַלקאַלי	0.490	0.350	0.408
alkaloids	אַלקאַלוידז	0.433	0.562	0.402
allay	אַללייַ	0.417	0.406	0.398
allegation	אַלאַגיישאַן	0.578	0.578	0.608
allege	אַלע	0.418	0.482	0.587
alleged	alleged	0.365	0.522	0.520
allegiance	געטרייַשאַפט	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	אַלערגאָרי	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	אַלערדזשיק	0.135	0.549	0.273
allergy	אַלערגיע	0.296	0.606	0.389
alleviate	גרינגער	0.869	0.270	0.528
alleviation	לייוויקייט	0.735	0.200	0.491
alley	אַלייע	0.347	0.500	0.355
alleyway	אַלייע	0.357	0.471	0.382
alliance	אַלליאַנסע	0.696	0.473	0.769
allied	אַלייד	0.714	0.245	0.642
alligator	אַלאַגייטער	0.354	0.704	0.645
allocate	אַלאַקייט	0.673	0.462	0.672
allocation	אַלאַקיישאַן	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	אַלאַטמאַנט	0.600	0.390	0.640
allow	לאָזן	0.698	0.429	0.538
allowable	allowable	0.698	0.500	0.561
allowance	allowance	0.673	0.382	0.591
allowed	ערלויבט	0.730	0.360	0.655
alloy	צומיש	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	פאַרנאַרן	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	אַלווויאַל	0.323	0.490	0.491
ally	אַליירט	0.792	0.320	0.688
almanac	אַלמאַנאַק	0.688	0.190	0.412
almighty	אַלמעכטיק	0.938	0.874	0.958
almond	מאַנדל	0.698	0.183	0.314
aloft	אַלאָפט	0.771	0.373	0.700
aloha	ערשטער	0.698	0.440	0.441
alone	alone	0.333	0.167	0.216
alongside	צוזאמען	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	aloud	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	אלפאבעט	0.562	0.204	0.672
alphabetical	אַלפאַבעטיקאַל	0.537	0.296	0.535
alpine	אַלפּיין	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	מזבח	0.724	0.387	0.635
altar boy	altar boy	0.434	0.206	0.350
alter	alter	0.333	0.694	0.654
alteration	alteration	0.167	0.798	0.609
altercation	אַלטערנקייט	0.170	0.806	0.500
altered	altered	0.255	0.765	0.500
alternate	alternate	0.625	0.363	0.589
alternating	אָלטערנייטינג	0.480	0.494	0.542
alternative	אָלטערנאַטיוו	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	הייך	0.708	0.482	0.736
alto	אַלטאָ	0.656	0.404	0.730
altogether	אלע צוזאמען	0.833	0.324	0.644
aluminum	אַלומינום	0.449	0.280	0.434
alumnus	אַלומינום	0.633	0.368	0.422
alveolar	אַלוועאָלאַר	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamation	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	אַמאַס	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	אַמייז	0.896	0.843	0.783
amazed	אַמייזינג	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	אַמייזמאַנט	0.750	0.800	0.639
amazing	געוואלדיג	0.906	0.837	0.849
amazingly	אַמייזינגלי	0.918	0.765	0.920
ambassador	אַמבאַסאַדאָר	0.651	0.529	0.917
amber	בורשטין	0.635	0.308	0.369
ambience	אַמביאַנס	0.735	0.356	0.426
ambient	אַמביאַנט	0.625	0.360	0.582
ambiguity	אַמביגיואַטי	0.164	0.460	0.370
ambiguous	אַמביגיואַס	0.265	0.462	0.358
ambit	אַמביט	0.479	0.380	0.386
ambition	אַמביציע	0.510	0.804	0.661
ambitious	אַמביציעס	0.484	0.821	0.717
ambivalent	אַמביגאַנט	0.510	0.404	0.482
ambrosia	אַמבראָסיאַ	0.571	0.452	0.480
ambulance	אַמבולאַנס	0.500	0.750	0.609
ambush	אַמבוש	0.281	0.830	0.500
