Word	Greek-el	Valence	Arousal	Dominance
adaptation	προσαρμογή	0.663	0.365	0.609
add	προσθέτω	0.728	0.490	0.554
added	πρόσθεσε	0.562	0.405	0.509
addendum	προσθήκη	0.392	0.370	0.418
adder	αθροιστής	0.388	0.461	0.588
addict	εθίζω	0.075	0.696	0.327
addicted	εθισμένος	0.156	0.712	0.483
addiction	εθισμός	0.180	0.806	0.420
addictive	εθιστική	0.302	0.683	0.472
addition	πρόσθεση	0.562	0.373	0.471
additional	πρόσθετος	0.673	0.462	0.526
additive	πρόσθετος	0.561	0.633	0.691
address	διεύθυνση	0.650	0.327	0.567
addressee	αποδέκτης	0.622	0.382	0.538
addresses	διευθύνσεις	0.510	0.354	0.450
adept	έμπειρος	0.594	0.539	0.789
adequacy	επάρκεια	0.615	0.435	0.702
adequate	επαρκής	0.854	0.264	0.705
adhere	εμμένω	0.633	0.339	0.554
adherence	προσκόλληση	0.760	0.307	0.630
adherent	οπαδός	0.561	0.385	0.555
adhering	προσκολλημένος	0.612	0.561	0.537
adhesion	προσκόλληση	0.521	0.445	0.586
adhesive	συγκολλητικός	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	λιπώδης	0.333	0.350	0.391
adjacency	γειτνίαση	0.365	0.417	0.375
adjacent	γειτονικός	0.645	0.276	0.536
adjective	επίθετο	0.570	0.316	0.569
adjoining	γειτονικά	0.520	0.400	0.393
adjourn	διακόπτω	0.385	0.456	0.475
adjournment	αναβολή	0.438	0.510	0.370
adjudicate	επιδικάζω	0.559	0.520	0.683
adjudication	επιδίκαση	0.551	0.462	0.691
adjunct	παρεπόμενο	0.459	0.440	0.426
adjust	προσαρμόζω	0.647	0.327	0.638
adjuster	ρυθμιστής	0.510	0.540	0.760
adjustment	προσαρμογή	0.590	0.520	0.661
adjuvant	ανοσοενισχυτικό	0.510	0.500	0.456
admin	διαχειριστής	0.688	0.420	0.854
administer	διαχειρίζομαι	0.635	0.425	0.860
administration	διαχείριση	0.625	0.404	0.786
administrative	διοικητικός	0.542	0.415	0.579
administrator	διαχειριστής	0.538	0.480	0.902
admirable	θαυμαστός	0.929	0.600	0.870
admiral	ναύαρχος	0.844	0.490	0.847
admiralty	ναυαρχείο	0.594	0.547	0.733
admiration	θαυμασμός	0.969	0.583	0.726
admire	θαυμάζω	0.867	0.692	0.704
admired	θαυμάζατε	0.917	0.560	0.815
admirer	θαυμαστής	0.796	0.720	0.650
admiring	θαυμάζοντας	0.867	0.578	0.629
admissibility	δυνατότητα παραδοχής	0.802	0.580	0.602
admissible	αποδεκτός	0.780	0.528	0.642
admission	άδεια	0.802	0.415	0.732
admit	ομολογώ	0.538	0.423	0.667
admittance	είσοδος	0.690	0.451	0.598
admitted	παράδεκτος	0.720	0.490	0.767
admitting	παραδέχεται	0.620	0.500	0.546
admixture	μίγμα	0.450	0.375	0.438
admonition	νουθεσία	0.357	0.606	0.455
ado	φασαρία	0.520	0.423	0.385
adobe	πλίθα	0.500	0.319	0.328
adolescence	εφηβική ηλικία	0.487	0.694	0.444
adolescent	έφηβος	0.781	0.680	0.509
adopt	ενστερνίζομαι	0.694	0.612	0.701
adoption	υιοθεσία	0.625	0.566	0.589
adoptive	θετός	0.531	0.469	0.520
adorable	λατρευτός	0.969	0.519	0.457
adoration	λατρεία	0.885	0.699	0.708
adore	λατρεύω	0.854	0.438	0.657
adoring	γεμάτος λατρείας	0.885	0.620	0.717
adorn	στολίζω	0.910	0.424	0.482
adornment	στολίδι	0.918	0.373	0.377
adrenalin	αδρεναλίνη	0.865	0.920	0.786
adrenaline	αδρεναλίνη	0.765	0.965	0.825
adrift	ανεμοδαρμένος	0.398	0.486	0.230
adult	ενήλικας	0.815	0.491	0.787
adulterated	νοθευμένα	0.188	0.865	0.370
adulterer	μοιχός	0.229	0.814	0.407
adultery	μοιχεία	0.120	0.922	0.510
adulthood	ενηλικιότητα	0.541	0.454	0.652
advance	προκαταβολή	0.673	0.472	0.858
advanced	προχωρημένος	0.844	0.623	0.797
advancement	προαγωγή	0.776	0.650	0.839
advancing	προχωρώντας	0.929	0.608	0.812
advantage	πλεονέκτημα	0.917	0.548	0.859
advantageous	επωφελής	0.837	0.640	0.789
advent	έλευση	0.665	0.560	0.627
adventure	περιπέτεια	0.917	0.857	0.710
adventurer	τυχοδιώκτης	0.781	0.839	0.868
adventures	περιπέτειες	0.812	0.764	0.749
adventurous	παράτολμος	0.969	0.898	0.722
adversary	αντίπαλος	0.349	0.777	0.457
adverse	δυσμενής	0.323	0.610	0.385
adversity	αντιξοότητα	0.276	0.760	0.538
advertise	διαφημίζω	0.500	0.529	0.580
advertisement	διαφήμιση	0.600	0.566	0.539
advertising	διαφήμιση	0.622	0.608	0.632
adverts	διαφημίσεις	0.551	0.500	0.595
advice	συμβουλή	0.698	0.408	0.688
advisable	ορθός	0.867	0.480	0.510
advise	συμβουλεύω	0.760	0.393	0.705
advised	συνιστάται	0.823	0.330	0.509
advisement	μελέτη	0.698	0.235	0.655
adviser	σύμβουλος	0.745	0.362	0.705
advisor	σύμβουλος	0.646	0.350	0.689
advisory	συμβουλευτικός	0.656	0.429	0.633
advocacy	υπεράσπιση	0.500	0.646	0.731
advocate	συνήγορος	0.551	0.530	0.818
aegis	σκέπη	0.490	0.439	0.462
aeration	εξαερισμός	0.550	0.500	0.433
aerial	εναέριος	0.615	0.461	0.463
aerobics	είδος γυμναστικής	0.708	0.771	0.627
aerodrome	αεροδρόμιο	0.541	0.740	0.678
aerodynamic	αεροδυναμικός	0.561	0.724	0.728
aerodynamics	αεροδυναμική	0.590	0.663	0.722
aeronautics	αεροναυτική	0.551	0.633	0.688
aeroplane	αεροπλάνο	0.714	0.642	0.644
aerospace	αεροδιαστημικής	0.643	0.520	0.779
aesthetic	αισθητικός	0.708	0.442	0.526
aesthetics	αισθητική	0.847	0.327	0.549
aetiology	την αιτιολογία	0.480	0.398	0.615
afar	μακρυά	0.396	0.373	0.358
affable	καταδεκτικός	0.704	0.380	0.452
affair	υπόθεση	0.520	0.459	0.657
affect	επηρεάζουν	0.458	0.569	0.578
affecting	συγκινητικός	0.350	0.574	0.394
affection	στοργή	0.898	0.559	0.696
affectionate	στοργικός	0.949	0.422	0.550
affections	θλίψεις	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	Ένορκη βεβαίωση	0.469	0.584	0.526
affiliated	συνδεδεμένη	0.673	0.519	0.535
affiliation	δεσμός	0.615	0.594	0.500
affinity	συγγένεια	0.800	0.500	0.537
affirm	επιβεβαιώνουμε	0.745	0.509	0.731
affirmation	επιβεβαίωση	0.750	0.500	0.689
affirmative	καταφατικός	0.854	0.589	0.816
affirmatively	καταφατικά	0.908	0.500	0.811
affix	πρόσφυμα	0.438	0.335	0.411
afflict	βασανίζω	0.302	0.555	0.293
afflicted	θρησκεία	0.271	0.500	0.167
affliction	θλίψη	0.294	0.635	0.392
affluence	αφθονία	0.663	0.618	0.722
affluent	άφθονος	0.756	0.388	0.477
afford	ΟΙΚΟΝΟΜΙΚΗ δυνατοτητα	0.571	0.580	0.575
affordable	προμηθευτός	0.840	0.398	0.493
affront	προσβολή	0.327	0.740	0.547
affronted	επιδεινωθεί	0.385	0.750	0.527
afield	εις τους αγρούς	0.594	0.370	0.373
afire	μια πυρκαγιά	0.367	0.904	0.675
afloat	επιπλέων	0.602	0.427	0.444
afore	προ	0.500	0.337	0.382
aforementioned	προαναφερθείς	0.490	0.316	0.408
aforesaid	προλεχθείς	0.531	0.358	0.478
afraid	φοβισμένος	0.010	0.775	0.245
afresh	εκ νέου	0.643	0.521	0.480
african	αφρικανός	0.490	0.423	0.555
aft	πίσω	0.480	0.417	0.518
afterlife	μετά θάνατον ζωή	0.571	0.567	0.568
aftermath	συνέπεια	0.312	0.449	0.444
afternoon	απόγευμα	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	επίγευση	0.354	0.362	0.455
afterthought	δεύτερη σκέψη	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	με ανοικτό στόμα	0.612	0.529	0.464
agate	αχάτης λίθος	0.540	0.377	0.483
age	ηλικία	0.561	0.226	0.498
aged	ηλικιωμένος	0.135	0.365	0.236
agency	πρακτορείο	0.460	0.296	0.583
agenda	ημερήσια διάταξη	0.531	0.296	0.553
agent	μέσο	0.480	0.439	0.755
agglomeration	συσσώρευση	0.450	0.765	0.509
aggravate	επιδείνω	0.224	0.770	0.464
aggravated	επιδεινωθεί	0.079	0.760	0.430
aggravates	επιδεινώνει	0.108	0.778	0.357
aggravating	επιδεινώνοντας	0.257	0.794	0.640
aggravation	επιδείνωση	0.071	0.784	0.613
aggregate	σύνολο	0.730	0.378	0.556
aggregation	συσσωμάτωση	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	επίθεση	0.094	0.929	0.533
aggressive	επιθετικός	0.125	0.949	0.648
aggressively	επιθετικά	0.250	0.926	0.688
aggressiveness	επιθετικότητα	0.077	0.913	0.648
aggressor	επιδρομέας	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	εμβρόντητος	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ευκίνητος	0.800	0.657	0.775
agility	ευκινησία	0.720	0.702	0.815
aging	γηράσκων	0.214	0.255	0.284
agitate	ταράζω	0.300	0.796	0.593
agitated	ταραγμένος	0.444	0.882	0.491
agitation	ανακίνηση	0.240	0.931	0.447
aglow	φλογερός	0.780	0.510	0.797
agnostic	αγνωστικιστής	0.306	0.396	0.574
ago	πριν	0.317	0.280	0.404
agonizing	αγωνιώδης	0.083	0.800	0.340
agony	αγωνία	0.083	0.775	0.393
agoraphobia	αγοραφοβία	0.127	0.712	0.438
agree	συμφωνώ	0.906	0.260	0.545
agreeable	ευχάριστος	0.906	0.500	0.696
agreed	σύμφωνος	0.797	0.449	0.574
agreeing	συμφωνώ	0.854	0.480	0.557
agreement	συμφωνία	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	γεωργικός	0.686	0.321	0.473
agriculture	γεωργία	0.640	0.357	0.465
aground	καθισμένος	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	εμπρός	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	αχόι	0.500	0.497	0.380
aid	βοήθεια	0.796	0.491	0.541
aide	βοηθός	0.724	0.342	0.434
aiding	βοηθώντας	0.643	0.533	0.569
aids	ενισχύσεις	0.561	0.480	0.500
ail	πονώ	0.375	0.434	0.385
ailing	ασθενής	0.094	0.518	0.153
ailment	ασθένεια	0.146	0.734	0.277
aim	σκοπός	0.481	0.569	0.567
aimless	άσκοπος	0.150	0.267	0.183
air	αέρας	0.708	0.163	0.427
airbag	αερόσακος	0.510	0.402	0.433
airborne	αερομεταφερόμενα	0.542	0.519	0.385
aircraft	αεροσκάφος	0.646	0.644	0.691
aircraft carrier	αεροπλανοφόρο	0.490	0.740	0.727
airfield	αεροδρόμιο	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	αερογέφυρα	0.573	0.622	0.642
airline	αερογραμμή	0.650	0.482	0.688
airliner	αεροπλάνο γραμμής	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	αεροπόρος	0.587	0.716	0.721
airplane	αεροπλάνο	0.719	0.702	0.708
airport	αεροδρόμιο	0.729	0.684	0.682
airs	αέρα	0.583	0.196	0.370
airship	αεροσκάφος	0.542	0.472	0.529
airspace	εναέριο χώρο	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	διάδρομος προσγειώσεως	0.550	0.690	0.649
airtight	αεροστεγής	0.479	0.381	0.570
airway	αεροπορική γραμμή	0.638	0.585	0.482
aisle	διάδρομος	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	συγγενής	0.639	0.343	0.523
alabaster	αλαβάστρο	0.542	0.404	0.445
alarm	τρομάζω	0.241	0.882	0.698
alarm clock	ξυπνητηρι	0.542	0.727	0.642
alarmed	ανησυχεί	0.188	0.822	0.492
alarming	ανησυχητικός	0.204	0.890	0.585
alas	Αλίμονο	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	αλμπατρός	0.500	0.445	0.527
albino	λευκίτης	0.500	0.240	0.358
album	άλμπουμ	0.635	0.349	0.453
alchemy	αλχημεία	0.541	0.583	0.693
alcohol	αλκοόλ	0.323	0.667	0.377
alcoholic	αλκοολικός	0.153	0.688	0.361
alcoholism	αλκοολισμός	0.061	0.779	0.407
alcove	εσοχή	0.490	0.340	0.356
alderman	δημοτικός σύμβουλος	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	συναγερμός	0.479	0.820	0.648
alertness	ετοιμότητα	0.375	0.875	0.750
alerts	ειδοποιήσεις	0.337	0.804	0.673
alfalfa	αλφάλφα	0.546	0.250	0.311
algebra	άλγεβρα	0.440	0.340	0.565
algebraic	αλγεβρικός	0.531	0.412	0.441
algorithm	αλγόριθμος	0.448	0.394	0.559
alias	ψευδώνυμο	0.541	0.353	0.333
alibi	άλλοθι	0.396	0.528	0.556
alien	εξωγήινο	0.410	0.615	0.491
alienate	απαλλοτριώ	0.247	0.500	0.523
alienated	αποξενωμένος	0.410	0.423	0.559
alienation	αποξένωση	0.378	0.530	0.462
alight	αναμμένος	0.667	0.657	0.605
align	ευθυγραμμίζω	0.656	0.364	0.627
aligned	ευθυγραμμισμένος	0.583	0.275	0.553
alignment	ευθυγραμμία	0.643	0.412	0.683
alike	ομοίως	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	επίδομα διατροφής	0.612	0.477	0.464
aliquot	ομαλός διαιρέτης	0.440	0.310	0.404
alive	ζωντανός	0.816	0.637	0.731
alkali	αλκαλίο	0.490	0.350	0.408
alkaloids	αλκαλοειδή	0.433	0.562	0.402
allay	ανακουφίζω	0.417	0.406	0.398
allegation	ισχυρισμός	0.578	0.578	0.608
allege	ισχυρίζομαι	0.418	0.482	0.587
alleged	υποτιθεμένος	0.365	0.522	0.520
allegiance	υποταγή	0.917	0.398	0.750
allegorical	αλληγορικός	0.517	0.558	0.598
allegory	αλληγορία	0.615	0.580	0.509
allegro	γοργά	0.635	0.627	0.453
allergic	αλλεργικός	0.135	0.549	0.273
allergy	αλλεργία	0.296	0.606	0.389
alleviate	ανακουφίζω	0.869	0.270	0.528
alleviation	ανακούφιση	0.735	0.200	0.491
alley	δρομάκι	0.347	0.500	0.355
alleyway	διάδρομος	0.357	0.471	0.382
alliance	ΣΥΜΜΑΧΙΑ	0.696	0.473	0.769
allied	σύμμαχος	0.714	0.245	0.642
alligator	αλλιγάτορας	0.354	0.704	0.645
allocate	διανέμω	0.673	0.462	0.672
allocation	κατανομή	0.604	0.388	0.679
allot	απονέμω	0.622	0.481	0.616
allotment	κατανομή	0.600	0.390	0.640
allow	επιτρέπω	0.698	0.429	0.538
allowable	επιτρεπόμενος	0.698	0.500	0.561
allowance	επίδομα	0.673	0.382	0.591
allowed	επιτρέπεται	0.730	0.360	0.655
alloy	κράμα	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	δελεάζω	0.804	0.585	0.686
alluring	δελεαστικός	0.837	0.745	0.843
allusion	νύξη	0.440	0.308	0.462
alluvial	αλλουβιακός	0.323	0.490	0.491
ally	σύμμαχος	0.792	0.320	0.688
almanac	ημερολόγιο	0.688	0.190	0.412
almighty	παντοδύναμος	0.938	0.874	0.958
almond	αμύγδαλο	0.698	0.183	0.314
aloft	ψηλά	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	μόνος	0.333	0.167	0.216
alongside	παραλληλα	0.458	0.333	0.347
aloof	σε απόσταση	0.189	0.423	0.302
aloud	μεγαλόφωνως	0.458	0.713	0.750
alpha	άλφα	0.708	0.340	0.755
alphabet	αλφάβητο	0.562	0.204	0.672
alphabetical	αλφαβητικός	0.537	0.296	0.535
alpine	αλπικός	0.594	0.337	0.474
alreadyyyyy	ήδη	0.592	0.717	0.351
altar	Αγια ΤΡΑΠΕΖΑ	0.724	0.387	0.635
altar boy	αγόρι βωμού	0.434	0.206	0.350
alter	αλλάζω	0.333	0.694	0.654
alteration	μεταβολή	0.167	0.798	0.609
altercation	φιλονικία	0.170	0.806	0.500
altered	μεταβληθεί	0.255	0.765	0.500
alternate	εναλλακτικό	0.625	0.363	0.589
alternating	εναλλασσόμενος	0.480	0.494	0.542
alternative	εναλλακτική λύση	0.628	0.373	0.631
altimeter	υψόμετρο	0.615	0.510	0.580
altitude	υψόμετρο	0.708	0.482	0.736
alto	κοντράλτο	0.656	0.404	0.730
altogether	εντελώς	0.833	0.324	0.644
aluminum	αλουμίνιο	0.449	0.280	0.434
alumnus	τελειόφοιτος	0.633	0.368	0.422
alveolar	φατνιακός	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	αμαλγάμα	0.438	0.333	0.510
amalgamation	συγχώνευση	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	συσσωρεύω	0.552	0.465	0.465
amateur	ερασιτέχνης	0.469	0.500	0.409
amaze	καταπλήσσω	0.896	0.843	0.783
amazed	έκθαμβος	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	έκπληξη	0.750	0.800	0.639
amazing	φοβερο	0.906	0.837	0.849
amazingly	καταπληκτικά	0.918	0.765	0.920
ambassador	πρεσβευτής	0.651	0.529	0.917
amber	κεχριμπάρι	0.635	0.308	0.369
ambience	ατμόσφαιρα	0.735	0.356	0.426
ambient	περιβάλλων	0.625	0.360	0.582
ambiguity	ασάφεια	0.164	0.460	0.370
