Word	Swedish-sv	Valence	Arousal	Dominance
adjacency	närbelägenhet	0.365	0.417	0.375
adjacent	intilliggande	0.645	0.276	0.536
adjective	adjektiv	0.570	0.316	0.569
adjoining	angränsande	0.520	0.400	0.393
adjourn	ajournera	0.385	0.456	0.475
adjournment	uppskov	0.438	0.510	0.370
adjudicate	döma	0.559	0.520	0.683
adjudication	prövning	0.551	0.462	0.691
adjunct	komplement	0.459	0.440	0.426
adjust	justera	0.647	0.327	0.638
adjuster	justerare	0.510	0.540	0.760
adjustment	justering	0.590	0.520	0.661
adjuvant	adjuvans	0.510	0.500	0.456
admin	administration	0.688	0.420	0.854
administer	administrera	0.635	0.425	0.860
administration	administrering	0.625	0.404	0.786
administrative	administrativ	0.542	0.415	0.579
administrator	administratör	0.538	0.480	0.902
admirable	beundransvärd	0.929	0.600	0.870
admiral	amiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	beundran	0.969	0.583	0.726
admire	beundra	0.867	0.692	0.704
admired	beundrade	0.917	0.560	0.815
admirer	beundrare	0.796	0.720	0.650
admiring	beundrande	0.867	0.578	0.629
admissibility	tillåtlighet	0.802	0.580	0.602
admissible	tillåtlig	0.780	0.528	0.642
admission	tillträde	0.802	0.415	0.732
admit	erkänna	0.538	0.423	0.667
admittance	tillträde	0.690	0.451	0.598
admitted	medgav	0.720	0.490	0.767
admitting	insläpp	0.620	0.500	0.546
admixture	blandning	0.450	0.375	0.438
admonition	förmaning	0.357	0.606	0.455
ado	väsen	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ungdom	0.487	0.694	0.444
adolescent	tonåring	0.781	0.680	0.509
adopt	anta	0.694	0.612	0.701
adoption	adoption	0.625	0.566	0.589
adoptive	adoptiv	0.531	0.469	0.520
adorable	förtjusande	0.969	0.519	0.457
adoration	tillbedjan	0.885	0.699	0.708
adore	älska	0.854	0.438	0.657
adoring	beundrande	0.885	0.620	0.717
adorn	smycka	0.910	0.424	0.482
adornment	prydnad	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	på drift	0.398	0.486	0.230
adult	vuxen	0.815	0.491	0.787
adulterated	uppblandat	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	otrohet	0.120	0.922	0.510
adulthood	vuxen ålder	0.541	0.454	0.652
advance	förskott	0.673	0.472	0.858
advanced	Avancerad	0.844	0.623	0.797
advancement	befordran	0.776	0.650	0.839
advancing	avancera	0.929	0.608	0.812
advantage	fördel	0.917	0.548	0.859
advantageous	fördelaktig	0.837	0.640	0.789
advent	första advent	0.665	0.560	0.627
adventure	äventyr	0.917	0.857	0.710
adventurer	äventyrare	0.781	0.839	0.868
adventures	äventyr	0.812	0.764	0.749
adventurous	äventyrlig	0.969	0.898	0.722
adversary	motståndare	0.349	0.777	0.457
adverse	ogynnsam	0.323	0.610	0.385
adversity	motgång	0.276	0.760	0.538
advertise	annonsera	0.500	0.529	0.580
advertisement	annons	0.600	0.566	0.539
advertising	reklam-	0.622	0.608	0.632
adverts	annonser	0.551	0.500	0.595
advice	råd	0.698	0.408	0.688
advisable	tillrådligt	0.867	0.480	0.510
advise	ge råd	0.760	0.393	0.705
advised	rådde	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	rådgivare	0.745	0.362	0.705
advisor	rådgivare	0.646	0.350	0.689
advisory	rådgivande	0.656	0.429	0.633
advocacy	försvar	0.500	0.646	0.731
advocate	förespråkare	0.551	0.530	0.818
aegis	ledning	0.490	0.439	0.462
aeration	luftning	0.550	0.500	0.433
aerial	antenn	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	flygplats	0.541	0.740	0.678
aerodynamic	aerodynamisk	0.561	0.724	0.728
aerodynamics	aerodynamik	0.590	0.663	0.722
aeronautics	aeronautik	0.551	0.633	0.688
aeroplane	flygplan	0.714	0.642	0.644
aerospace	flyg-	0.643	0.520	0.779
aesthetic	estetisk	0.708	0.442	0.526
aesthetics	estetik	0.847	0.327	0.549
aetiology	etiologi	0.480	0.398	0.615
afar	fjärran	0.396	0.373	0.358
affable	förbindlig	0.704	0.380	0.452
affair	affär	0.520	0.459	0.657
affect	påverka	0.458	0.569	0.578
affecting	påverkar	0.350	0.574	0.394
affection	tillgivenhet	0.898	0.559	0.696
affectionate	öm	0.949	0.422	0.550
affections	affektioner	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	ansluten	0.673	0.519	0.535
affiliation	anslutning	0.615	0.594	0.500
affinity	affinitet	0.800	0.500	0.537
affirm	bekräfta	0.745	0.509	0.731
affirmation	bekräftelse	0.750	0.500	0.689
affirmative	korrekt	0.854	0.589	0.816
affirmatively	jakande	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	plåga	0.302	0.555	0.293
afflicted	drabbad	0.271	0.500	0.167
affliction	lidande	0.294	0.635	0.392
affluence	välstånd	0.663	0.618	0.722
affluent	rik	0.756	0.388	0.477
afford	råd	0.571	0.580	0.575
affordable	prisvärd	0.840	0.398	0.493
affront	skymf	0.327	0.740	0.547
affronted	förolämpad	0.385	0.750	0.527
afield	ett fält	0.594	0.370	0.373
afire	en eld	0.367	0.904	0.675
afloat	flytande	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	ovannämnda	0.490	0.316	0.408
aforesaid	ovannämnda	0.531	0.358	0.478
afraid	rädd	0.010	0.775	0.245
afresh	på nytt	0.643	0.521	0.480
african	afrikansk	0.490	0.423	0.555
aft	akter-	0.480	0.417	0.518
afterlife	liv efter detta	0.571	0.567	0.568
aftermath	verkningarna	0.312	0.449	0.444
afternoon	eftermiddag	0.533	0.388	0.339
aftershave	rakvatten	0.406	0.384	0.415
aftertaste	eftersmak	0.354	0.362	0.455
afterthought	eftertanke	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	ålder	0.561	0.226	0.498
aged	åldrig	0.135	0.365	0.236
agency	byrå	0.460	0.296	0.583
agenda	dagordning	0.531	0.296	0.553
agent	ombud	0.480	0.439	0.755
agglomeration	agglomerering	0.450	0.765	0.509
aggravate	förvärra	0.224	0.770	0.464
aggravated	förvärras	0.079	0.760	0.430
aggravates	förvärrar	0.108	0.778	0.357
aggravating	försvårande	0.257	0.794	0.640
aggravation	förvärrande	0.071	0.784	0.613
aggregate	aggregat	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aggression	0.094	0.929	0.533
aggressive	aggressiv	0.125	0.949	0.648
aggressively	aggressivt	0.250	0.926	0.688
aggressiveness	aggressivitet	0.077	0.913	0.648
aggressor	angripare	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	bestört	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	vig	0.800	0.657	0.775
agility	rörlighet	0.720	0.702	0.815
aging	åldring	0.214	0.255	0.284
agitate	agitera	0.300	0.796	0.593
agitated	agiterad	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	glödande	0.780	0.510	0.797
agnostic	agnostiker	0.306	0.396	0.574
ago	sedan	0.317	0.280	0.404
agonizing	plågsam	0.083	0.800	0.340
agony	vånda	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	hålla med	0.906	0.260	0.545
agreeable	angenäm	0.906	0.500	0.696
agreed	gick med på	0.797	0.449	0.574
agreeing	enas	0.854	0.480	0.557
agreement	avtal	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	jordbruks	0.686	0.321	0.473
agriculture	lantbruk	0.640	0.357	0.465
aground	på grund	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ett huvud	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ohoj	0.500	0.497	0.380
aid	hjälpa	0.796	0.491	0.541
aide	medhjälpare	0.724	0.342	0.434
aiding	medhjälp	0.643	0.533	0.569
aids	aids	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	sjuklig	0.094	0.518	0.153
ailment	sjukdom	0.146	0.734	0.277
aim	syfte	0.481	0.569	0.567
aimless	utan mål	0.150	0.267	0.183
air	luft	0.708	0.163	0.427
airbag	krockkudde	0.510	0.402	0.433
airborne	luftburet	0.542	0.519	0.385
aircraft	flygplan	0.646	0.644	0.691
aircraft carrier	hangarfartyg	0.490	0.740	0.727
airfield	flygfält	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	luftbro	0.573	0.622	0.642
airline	flygbolag	0.650	0.482	0.688
airliner	trafikflygplan	0.667	0.777	0.647
airlock	luftsluss	0.398	0.520	0.447
airman	flygare	0.587	0.716	0.721
airplane	flygplan	0.719	0.702	0.708
airport	flygplats	0.729	0.684	0.682
airs	förnäm min	0.583	0.196	0.370
airship	luftskepp	0.542	0.472	0.529
airspace	luftrum	0.562	0.510	0.640
airspeed	flyghastighet	0.583	0.780	0.544
airstrip	landningsbana	0.550	0.690	0.649
airtight	lufttät	0.479	0.381	0.570
airway	luftväg	0.638	0.585	0.482
aisle	gång	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	besläktad	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	larm	0.241	0.882	0.698
alarm clock	väckarklocka	0.542	0.727	0.642
alarmed	orolig	0.188	0.822	0.492
alarming	oroväckande	0.204	0.890	0.585
alas	ack	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkemi	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholhaltig	0.153	0.688	0.361
alcoholism	alkoholism	0.061	0.779	0.407
alcove	alkov	0.490	0.340	0.356
alderman	rådman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	varna	0.479	0.820	0.648
alertness	vakenhet	0.375	0.875	0.750
alerts	varningar	0.337	0.804	0.673
alfalfa	blålusern	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraisk	0.531	0.412	0.441
algorithm	algoritm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	utomjording	0.410	0.615	0.491
alienate	fjärma	0.247	0.500	0.523
alienated	aliene	0.410	0.423	0.559
alienation	alienation	0.378	0.530	0.462
alight	stiga av	0.667	0.657	0.605
align	justera	0.656	0.364	0.627
aligned	Justerat	0.583	0.275	0.553
alignment	inriktning	0.643	0.412	0.683
alike	lika	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	underhållsbidrag	0.612	0.477	0.464
aliquot	alikvot	0.440	0.310	0.404
alive	Levande	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloider	0.433	0.562	0.402
allay	lugna	0.417	0.406	0.398
allegation	påstående	0.578	0.578	0.608
allege	påstå	0.418	0.482	0.587
alleged	påstådda	0.365	0.522	0.520
allegiance	trohet	0.917	0.398	0.750
allegorical	allegorisk	0.517	0.558	0.598
allegory	allegori	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergisk	0.135	0.549	0.273
allergy	allergi	0.296	0.606	0.389
alleviate	lindra	0.869	0.270	0.528
alleviation	lindring	0.735	0.200	0.491
alley	gränd	0.347	0.500	0.355
alleyway	bakgata	0.357	0.471	0.382
alliance	allians	0.696	0.473	0.769
allied	allierad	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	fördela	0.673	0.462	0.672
allocation	tilldelning	0.604	0.388	0.679
allot	tilldela	0.622	0.481	0.616
allotment	tilldelning	0.600	0.390	0.640
allow	tillåta	0.698	0.429	0.538
allowable	tillåten	0.698	0.500	0.561
allowance	ersättning	0.673	0.382	0.591
allowed	tillåten	0.730	0.360	0.655
alloy	legering	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	locka	0.804	0.585	0.686
alluring	lockande	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	alliera	0.792	0.320	0.688
almanac	almanacka	0.688	0.190	0.412
almighty	allsmäktig	0.938	0.874	0.958
almond	mandel	0.698	0.183	0.314
aloft	högt upp	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	ensam	0.333	0.167	0.216
alongside	vid sidan av	0.458	0.333	0.347
aloof	på avstånd	0.189	0.423	0.302
aloud	högt	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetisk	0.537	0.296	0.535
alpine	alpin	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	altare	0.724	0.387	0.635
altar boy	korgosse	0.434	0.206	0.350
alter	ändra	0.333	0.694	0.654
alteration	ändring	0.167	0.798	0.609
altercation	gräl	0.170	0.806	0.500
altered	förändrad	0.255	0.765	0.500
alternate	alternativ	0.625	0.363	0.589
alternating	alternerande	0.480	0.494	0.542
alternative	alternativ	0.628	0.373	0.631
altimeter	höjdmätare	0.615	0.510	0.580
altitude	höjd över havet	0.708	0.482	0.736
alto	alt-	0.656	0.404	0.730
altogether	sammanlagt	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumn	0.633	0.368	0.422
alveolar	alveolär	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	sammanslagning	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	samla	0.552	0.465	0.465
amateur	amatör-	0.469	0.500	0.409
amaze	förvåna	0.896	0.843	0.783
amazed	förvånad	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	häpnad	0.750	0.800	0.639
amazing	fantastiskt	0.906	0.837	0.849
amazingly	otroligt	0.918	0.765	0.920
ambassador	ambassadör	0.651	0.529	0.917
amber	bärnsten	0.635	0.308	0.369
ambience	atmosfär	0.735	0.356	0.426
ambient	omgivande	0.625	0.360	0.582
ambiguity	tvetydighet	0.164	0.460	0.370
ambiguous	tvetydig	0.265	0.462	0.358
ambit	omfång	0.479	0.380	0.386
ambition	ambition	0.510	0.804	0.661
ambitious	ambitiös	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	bakhåll	0.281	0.830	0.500
ameliorate	förbättra	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	mottaglig	0.448	0.410	0.406
amend	ändra	0.688	0.406	0.658
amendment	ändring	0.531	0.459	0.606
amends	gottgörelse	0.640	0.366	0.517
amenity	facilitet	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	älskvärd	0.847	0.290	0.483
amicable	vänskaplig	0.875	0.330	0.507
amid	mitt i	0.510	0.340	0.256
amidst	mitt i	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammunition	0.323	0.765	0.621
ammonia	ammoniak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammunition	0.338	0.635	0.667
amnesia	amnesi	0.296	0.330	0.308
amnesty	amnesti	0.551	0.451	0.814
amorous	kärleksfull	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortering	0.592	0.491	0.522
amount	belopp	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	et-tecken	0.480	0.448	0.483
amphetamines	amfetamin	0.133	0.667	0.526
amphibian	amfibie	0.427	0.357	0.474
amphibious	amfibisk	0.479	0.346	0.445
amphitheater	amfiteater	0.653	0.480	0.545
ample	riklig	0.744	0.349	0.719
amplification	förstärkning	0.690	0.677	0.810
amplify	förstärka	0.677	0.735	0.827
amplitude	amplitud	0.694	0.439	0.692
amply	rikligt	0.781	0.431	0.766
amputate	amputera	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amok	0.385	0.602	0.321
amulet	amulett	0.781	0.260	0.630
amuse	roa	0.812	0.684	0.664
amused	road	0.942	0.847	0.596
amusement	nöje	0.929	0.837	0.803
amusing	rolig	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestesi	0.350	0.217	0.473
anaesthetic	bedövningsmedel	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgetikum	0.417	0.321	0.441
analogous	analog	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analys	0.729	0.448	0.705
analyst	analytiker	0.604	0.415	0.755
analytic	analytisk	0.665	0.521	0.634
analytical	analytisk	0.625	0.324	0.800
analyze	analysera	0.667	0.462	0.710
analyzer	analysator	0.625	0.556	0.854
anaphylactic	anafylaktisk	0.378	0.588	0.500
anarchism	anarkism	0.125	0.804	0.623
anarchist	anarkist	0.204	0.700	0.759
anarchy	anarki	0.146	0.755	0.620
anastomosis	anastomos	0.375	0.470	0.490
anathema	förbannelse	0.286	0.490	0.519
anatomic	anatomisk	0.562	0.442	0.546
anatomy	anatomi	0.562	0.390	0.571
ancestor	förfader	0.592	0.388	0.594
ancestral	släkt-	0.640	0.481	0.750
