Word	Scots Gaelic-gd	Valence	Arousal	Dominance
adept	sgiobalta	0.594	0.539	0.789
adequacy	freagarrachd	0.615	0.435	0.702
adequate	iomchaidh	0.854	0.264	0.705
adhere	cumail	0.633	0.339	0.554
adherence	cumail a 'dol	0.760	0.307	0.630
adherent	sgaoileadh	0.561	0.385	0.555
adhering	cumail suas	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	gluasaid	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	dlùth	0.365	0.417	0.375
adjacent	ri taobh	0.645	0.276	0.536
adjective	buadhair	0.570	0.316	0.569
adjoining	ri taobh	0.520	0.400	0.393
adjourn	ath-ghoirid	0.385	0.456	0.475
adjournment	ath-thagradh	0.438	0.510	0.370
adjudicate	breithneachadh	0.559	0.520	0.683
adjudication	breithneachadh	0.551	0.462	0.691
adjunct	sgaoileadh	0.459	0.440	0.426
adjust	atharrachadh	0.647	0.327	0.638
adjuster	Adhar Soilleir	0.510	0.540	0.760
adjustment	atharrachadh	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	rianachd	0.688	0.420	0.854
administer	rianachd	0.635	0.425	0.860
administration	rianachd	0.625	0.404	0.786
administrative	rianachd	0.542	0.415	0.579
administrator	rianadair	0.538	0.480	0.902
admirable	iongantach	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	geàrdachd	0.594	0.547	0.733
admiration	s an Iar-	0.969	0.583	0.726
admire	admire	0.867	0.692	0.704
admired	deònach	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	deònach	0.867	0.578	0.629
admissibility	ceadaichte	0.802	0.580	0.602
admissible	ceadaichte	0.780	0.528	0.642
admission	steach	0.802	0.415	0.732
admit	aideachadh	0.538	0.423	0.667
admittance	adhair	0.690	0.451	0.598
admitted	steach	0.720	0.490	0.767
admitting	ag aontachadh	0.620	0.500	0.546
admixture	meudachadh	0.450	0.375	0.438
admonition	aideachadh	0.357	0.606	0.455
ado	aodach	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	òigeachd	0.487	0.694	0.444
adolescent	òigridh	0.781	0.680	0.509
adopt	gabhail ris	0.694	0.612	0.701
adoption	uchd-mhacachd	0.625	0.566	0.589
adoptive	gabhail ris	0.531	0.469	0.520
adorable	ion-mholaidh	0.969	0.519	0.457
adoration	adhair	0.885	0.699	0.708
adore	aoradh	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	sgeadachadh	0.910	0.424	0.482
adornment	sgeadachadh	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	aodach	0.398	0.486	0.230
adult	inbheach	0.815	0.491	0.787
adulterated	adhbhrachadh	0.188	0.865	0.370
adulterer	ag adhbhrachadh	0.229	0.814	0.407
adultery	adhaltranas	0.120	0.922	0.510
adulthood	adulthood	0.541	0.454	0.652
advance	ro-làimh	0.673	0.472	0.858
advanced	adhartach	0.844	0.623	0.797
advancement	adhartachadh	0.776	0.650	0.839
advancing	ag adhartachadh	0.929	0.608	0.812
advantage	buannachd	0.917	0.548	0.859
advantageous	buannachdail	0.837	0.640	0.789
advent	tighinn	0.665	0.560	0.627
adventure	dànachd	0.917	0.857	0.710
adventurer	dànadair	0.781	0.839	0.868
adventures	eachdraidhean	0.812	0.764	0.749
adventurous	èibhinn	0.969	0.898	0.722
adversary	adversary	0.349	0.777	0.457
adverse	dona	0.323	0.610	0.385
adversity	duilgheadas	0.276	0.760	0.538
advertise	sanasachd	0.500	0.529	0.580
advertisement	sanas	0.600	0.566	0.539
advertising	sanasachd	0.622	0.608	0.632
adverts	sanasan	0.551	0.500	0.595
advice	comhairle	0.698	0.408	0.688
advisable	moladh	0.867	0.480	0.510
advise	comhairleachadh	0.760	0.393	0.705
advised	chomhairle	0.823	0.330	0.509
advisement	comhairleachadh	0.698	0.235	0.655
adviser	comhairliche	0.745	0.362	0.705
advisor	comhairliche	0.646	0.350	0.689
advisory	comhairleachaidh	0.656	0.429	0.633
advocacy	tagradh	0.500	0.646	0.731
advocate	tagraiche	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aerachadh	0.550	0.500	0.433
aerial	air adhart	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	Air adhart	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	air plèana	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	ealain	0.708	0.442	0.526
aesthetics	aibhneas	0.847	0.327	0.549
aetiology	eòlas	0.480	0.398	0.615
afar	air falbh	0.396	0.373	0.358
affable	bòidheach	0.704	0.380	0.452
affair	affair	0.520	0.459	0.657
affect	buaidh	0.458	0.569	0.578
affecting	a 'toirt buaidh air	0.350	0.574	0.394
affection	gràdh	0.898	0.559	0.696
affectionate	gràdhach	0.949	0.422	0.550
affections	aodach	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	dearbh-sgrìobhte	0.469	0.584	0.526
affiliated	co-cheangailte	0.673	0.519	0.535
affiliation	ceangal	0.615	0.594	0.500
affinity	càirdeas	0.800	0.500	0.537
affirm	dearbhaich	0.745	0.509	0.731
affirmation	dearbhadh	0.750	0.500	0.689
affirmative	dearbhach	0.854	0.589	0.816
affirmatively	dearbhach	0.908	0.500	0.811
affix	s an Iar-	0.438	0.335	0.411
afflict	a 'giùlan	0.302	0.555	0.293
afflicted	s an Iar-	0.271	0.500	0.167
affliction	trioblaid	0.294	0.635	0.392
affluence	beairteas	0.663	0.618	0.722
affluent	beairteach	0.756	0.388	0.477
afford	cosgais	0.571	0.580	0.575
affordable	ruigsinneach	0.840	0.398	0.493
affront	aodach	0.327	0.740	0.547
affronted	s an Iar-	0.385	0.750	0.527
afield	air falbh	0.594	0.370	0.373
afire	adhartachadh	0.367	0.904	0.675
afloat	sgaoileadh	0.602	0.427	0.444
afore	air thoiseach	0.500	0.337	0.382
aforementioned	air ainmeachadh	0.490	0.316	0.408
aforesaid	air a ràdh	0.531	0.358	0.478
afraid	eagal	0.010	0.775	0.245
afresh	as ùr	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	às dèidh beatha	0.571	0.567	0.568
aftermath	às dèidh sin	0.312	0.449	0.444
afternoon	feasgar	0.533	0.388	0.339
aftershave	às dèidh sin	0.406	0.384	0.415
aftertaste	air adhart	0.354	0.362	0.455
afterthought	air adhart	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	aois	0.561	0.226	0.498
aged	aois	0.135	0.365	0.236
agency	buidheann	0.460	0.296	0.583
agenda	clàr-gnothaich	0.531	0.296	0.553
agent	àidseant	0.480	0.439	0.755
agglomeration	sgoltadh	0.450	0.765	0.509
aggravate	ag ionaltradh	0.224	0.770	0.464
aggravated	gann	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	ag ionaltradh	0.257	0.794	0.640
aggravation	ag èigheachadh	0.071	0.784	0.613
aggregate	iomlan	0.730	0.378	0.556
aggregation	cruinneachadh	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ionnsaigh	0.094	0.929	0.533
aggressive	ionnsaigheach	0.125	0.949	0.648
aggressively	ionnsaigheach	0.250	0.926	0.688
aggressiveness	ionnsaigheachd	0.077	0.913	0.648
aggressor	ionnsaigh	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	èibhinn	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	aosta	0.214	0.255	0.284
agitate	ag èisdeachd	0.300	0.796	0.593
agitated	sgaoileadh	0.444	0.882	0.491
agitation	aimhreit	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	air ais	0.317	0.280	0.404
agonizing	ag ionndrainn	0.083	0.800	0.340
agony	agony	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	aontachadh	0.906	0.260	0.545
agreeable	aontaichte	0.906	0.500	0.696
agreed	aontaichte	0.797	0.449	0.574
agreeing	ag aontachadh	0.854	0.480	0.557
agreement	aonta	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	àiteachas	0.686	0.321	0.473
agriculture	àiteachas	0.640	0.357	0.465
aground	air tìr	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	air adhart	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	cuideachadh	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	a 'cuideachadh	0.643	0.533	0.569
aids	cuideachadh	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	air adhart	0.094	0.518	0.153
ailment	tinneas	0.146	0.734	0.277
aim	ag amas	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	air	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	air adhair	0.542	0.519	0.385
aircraft	plèanaichean	0.646	0.644	0.691
aircraft carrier	giùlain phlèanaichean	0.490	0.740	0.727
airfield	raon adhair	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	loidhne-adhair	0.650	0.482	0.688
airliner	inneal-adhair	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	adhair	0.587	0.716	0.721
airplane	air plèana	0.719	0.702	0.708
airport	port-adhair	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	air ais	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	trannsa	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	coltach	0.639	0.343	0.523
alabaster	alabastar	0.542	0.404	0.445
alarm	eagal	0.241	0.882	0.698
alarm clock	cloc eagal	0.542	0.727	0.642
alarmed	eagal	0.188	0.822	0.492
alarming	èibhinn	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	deoch làidir	0.323	0.667	0.377
alcoholic	deoch làidir	0.153	0.688	0.361
alcoholism	deoch-làidir	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	rabhadh	0.479	0.820	0.648
alertness	rabhadh	0.375	0.875	0.750
alerts	rabhaidhean	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	ailseabra	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alien	0.410	0.615	0.491
alienate	eilthireachd	0.247	0.500	0.523
alienated	mach air ais	0.410	0.423	0.559
alienation	coimheachadh	0.378	0.530	0.462
alight	air adhart	0.667	0.657	0.605
align	co-thaobhadh	0.656	0.364	0.627
aligned	co-thaobhadh	0.583	0.275	0.553
alignment	co-thaobhadh	0.643	0.412	0.683
alike	araon	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	s an Iar-	0.612	0.477	0.464
aliquot	amannan	0.440	0.310	0.404
alive	beò	0.816	0.637	0.731
alkali	alcalà	0.490	0.350	0.408
alkaloids	alcalòidean	0.433	0.562	0.402
allay	atharrachadh	0.417	0.406	0.398
allegation	casaid	0.578	0.578	0.608
allege	ag ràdh	0.418	0.482	0.587
alleged	agairt	0.365	0.522	0.520
allegiance	dìlseachd	0.917	0.398	0.750
allegorical	sgaoileadh	0.517	0.558	0.598
allegory	callachd	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	aillse	0.135	0.549	0.273
allergy	aileagsaidh	0.296	0.606	0.389
alleviate	lùghdaich	0.869	0.270	0.528
alleviation	lèirmheas	0.735	0.200	0.491
alley	rathad	0.347	0.500	0.355
alleyway	coiseachd	0.357	0.471	0.382
alliance	caidreachas	0.696	0.473	0.769
allied	càirdeas	0.714	0.245	0.642
alligator	ailigator	0.354	0.704	0.645
allocate	sgaoileadh	0.673	0.462	0.672
allocation	riarachadh	0.604	0.388	0.679
allot	sgaoileadh	0.622	0.481	0.616
allotment	sgoltadh	0.600	0.390	0.640
allow	ceadachadh	0.698	0.429	0.538
allowable	ceadaichte	0.698	0.500	0.561
allowance	cuibhreann	0.673	0.382	0.591
allowed	ceadaichte	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	s an Iar-	0.804	0.585	0.686
alluring	buannachdail	0.837	0.745	0.843
allusion	sgaoileadh	0.440	0.308	0.462
alluvial	aluvial	0.323	0.490	0.491
ally	allaidh	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	uile-chumhachdach	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	air adhart	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	aonar	0.333	0.167	0.216
alongside	ri taobh	0.458	0.333	0.347
aloof	air falbh	0.189	0.423	0.302
aloud	a-muigh	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	aibidil	0.562	0.204	0.672
alphabetical	aibidil	0.537	0.296	0.535
alpine	alpach	0.594	0.337	0.474
alreadyyyyy	saoghail	0.592	0.717	0.351
altar	altair	0.724	0.387	0.635
altar boy	balach altair	0.434	0.206	0.350
alter	atharrachadh	0.333	0.694	0.654
alteration	atharrachadh	0.167	0.798	0.609
altercation	atharrachadh	0.170	0.806	0.500
altered	atharrachadh	0.255	0.765	0.500
alternate	alternach	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	eile	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	àirde	0.708	0.482	0.736
alto	àrd	0.656	0.404	0.730
altogether	gu tur	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	Amalgam	0.438	0.333	0.510
amalgamation	amalachadh	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	iongantas	0.896	0.843	0.783
amazed	s iongnadh	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	iongnadh	0.750	0.800	0.639
amazing	iongantach	0.906	0.837	0.849
amazingly	iongantach	0.918	0.765	0.920
ambassador	tosgaire	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	saoghal	0.735	0.356	0.426
ambient	s an Iar-	0.625	0.360	0.582
ambiguity	dìomhaireachd	0.164	0.460	0.370
ambiguous	d'a-sheaghach	0.265	0.462	0.358
ambit	àrd-amas	0.479	0.380	0.386
ambition	miann-adhartais	0.510	0.804	0.661
ambitious	àrd-amas	0.484	0.821	0.717
ambivalent	ioma-fhillte	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	carbad-eiridinn	0.500	0.750	0.609
ambush	luachairt	0.281	0.830	0.500
ameliorate	a 'fàs nas fheàrr	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	tha e comasach	0.448	0.410	0.406
amend	atharrachadh	0.688	0.406	0.658
amendment	atharrachadh	0.531	0.459	0.606
amends	ag atharrachadh	0.640	0.366	0.517
amenity	goireasan	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	gàirdeil	0.847	0.290	0.483
amicable	dèidheil	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	armachd	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	annasach	0.844	0.670	0.636
amorphous	annasach	0.327	0.402	0.349
amortization	amortachadh	0.592	0.491	0.522
amount	suim	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	sgaoileadh	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	muir-thìrich	0.427	0.357	0.474
amphibious	sneachda	0.479	0.346	0.445
amphitheater	amphitheatar	0.653	0.480	0.545
ample	farsaingeachd	0.744	0.349	0.719
amplification	leudachadh	0.690	0.677	0.810
amplify	amplachadh	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	gu mòr	0.781	0.431	0.766
amputate	sgaoileadh	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	fiù	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	cleasachd	0.812	0.684	0.664
amused	air am meas	0.942	0.847	0.596
amusement	spòrs	0.929	0.837	0.803
amusing	èibhinn	0.960	0.829	0.632
