Word	Belarusian-be	Valence	Arousal	Dominance
adequacy	адэкватнасць	0.615	0.435	0.702
adequate	адэкватны	0.854	0.264	0.705
adhere	прытрымлівацца	0.633	0.339	0.554
adherence	захаванне	0.760	0.307	0.630
adherent	прыхільнік	0.561	0.385	0.555
adhering	прытрымліваючыся	0.612	0.561	0.537
adhesion	адгезія	0.521	0.445	0.586
adhesive	клей	0.604	0.350	0.413
adieu	даруйце	0.250	0.471	0.342
adipose	тлушчавай	0.333	0.350	0.391
adjacency	сумежна	0.365	0.417	0.375
adjacent	прымыкае	0.645	0.276	0.536
adjective	прыметнік	0.570	0.316	0.569
adjoining	прылеглы	0.520	0.400	0.393
adjourn	закрываць	0.385	0.456	0.475
adjournment	адклад	0.438	0.510	0.370
adjudicate	выносіць прысуд	0.559	0.520	0.683
adjudication	судовае рашэнне	0.551	0.462	0.691
adjunct	ад'юнкт	0.459	0.440	0.426
adjust	рэгуляваць	0.647	0.327	0.638
adjuster	ацэншчык	0.510	0.540	0.760
adjustment	рэгуляванне	0.590	0.520	0.661
adjuvant	адъювант	0.510	0.500	0.456
admin	адмін	0.688	0.420	0.854
administer	кіраваць	0.635	0.425	0.860
administration	адміністрацыя	0.625	0.404	0.786
administrative	адміністрацыйны	0.542	0.415	0.579
administrator	адміністратар	0.538	0.480	0.902
admirable	выдатны	0.929	0.600	0.870
admiral	адмірал	0.844	0.490	0.847
admiralty	адміралцейства	0.594	0.547	0.733
admiration	пакланенне	0.969	0.583	0.726
admire	захапляцца	0.867	0.692	0.704
admired	паважаны	0.917	0.560	0.815
admirer	паклонніка	0.796	0.720	0.650
admiring	захоплены	0.867	0.578	0.629
admissibility	дапушчальнасць	0.802	0.580	0.602
admissible	дапушчальны	0.780	0.528	0.642
admission	уваход	0.802	0.415	0.732
admit	ўпусціць	0.538	0.423	0.667
admittance	ўпуск	0.690	0.451	0.598
admitted	прызнаў	0.720	0.490	0.767
admitting	які дапускае	0.620	0.500	0.546
admixture	прымешка	0.450	0.375	0.438
admonition	павучання	0.357	0.606	0.455
ado	мітусня	0.520	0.423	0.385
adobe	саман	0.500	0.319	0.328
adolescence	падлеткавы ўзрост	0.487	0.694	0.444
adolescent	падлетак	0.781	0.680	0.509
adopt	прыняць	0.694	0.612	0.701
adoption	прыняцце	0.625	0.566	0.589
adoptive	ўсыноўленае	0.531	0.469	0.520
adorable	любімы	0.969	0.519	0.457
adoration	абажанне	0.885	0.699	0.708
adore	обожать	0.854	0.438	0.657
adoring	той, хто шануе	0.885	0.620	0.717
adorn	упрыгожваць	0.910	0.424	0.482
adornment	ўпрыгожванне	0.918	0.373	0.377
adrenalin	адрэналін	0.865	0.920	0.786
adrenaline	адрэналін	0.765	0.965	0.825
adrift	дрэйфаваць	0.398	0.486	0.230
adult	для дарослых	0.815	0.491	0.787
adulterated	фальсіфікаваны	0.188	0.865	0.370
adulterer	пералюбнік	0.229	0.814	0.407
adultery	пералюб	0.120	0.922	0.510
adulthood	паўналецце	0.541	0.454	0.652
advance	прасоўванне	0.673	0.472	0.858
advanced	перадавой	0.844	0.623	0.797
advancement	прасоўванне	0.776	0.650	0.839
advancing	апярэджання	0.929	0.608	0.812
advantage	перавага	0.917	0.548	0.859
advantageous	выгадны	0.837	0.640	0.789
advent	прыход	0.665	0.560	0.627
adventure	прыгода	0.917	0.857	0.710
adventurer	авантурыст	0.781	0.839	0.868
adventures	прыгоды	0.812	0.764	0.749
adventurous	прадпрымальны	0.969	0.898	0.722
adversary	спаборны	0.349	0.777	0.457
adverse	неспрыяльны	0.323	0.610	0.385
adversity	пошасці	0.276	0.760	0.538
advertise	рэкламаваць	0.500	0.529	0.580
advertisement	рэклама	0.600	0.566	0.539
advertising	рэклама	0.622	0.608	0.632
adverts	аб'явы	0.551	0.500	0.595
advice	савет	0.698	0.408	0.688
advisable	рэкамендуемы	0.867	0.480	0.510
advise	раіць	0.760	0.393	0.705
advised	рэкамендуецца	0.823	0.330	0.509
advisement	нарада суда перад вынясеннем рашэння	0.698	0.235	0.655
adviser	кансультант	0.745	0.362	0.705
advisor	кансультант	0.646	0.350	0.689
advisory	кансультатыўны	0.656	0.429	0.633
advocacy	прапаганда	0.500	0.646	0.731
advocate	адвакат	0.551	0.530	0.818
aegis	Эгіда	0.490	0.439	0.462
aeration	аэрацыя	0.550	0.500	0.433
aerial	антэна	0.615	0.461	0.463
aerobics	аэробіка	0.708	0.771	0.627
aerodrome	аэрадром	0.541	0.740	0.678
aerodynamic	аэрадынамічнае	0.561	0.724	0.728
aerodynamics	аэрадынаміка	0.590	0.663	0.722
aeronautics	паветраплаванне	0.551	0.633	0.688
aeroplane	самалёт	0.714	0.642	0.644
aerospace	авіяцыйна-касмічны	0.643	0.520	0.779
aesthetic	эстэтычны	0.708	0.442	0.526
aesthetics	эстэтыка	0.847	0.327	0.549
aetiology	этыялогія	0.480	0.398	0.615
afar	здалёку	0.396	0.373	0.358
affable	ветлы	0.704	0.380	0.452
affair	справу	0.520	0.459	0.657
affect	афект	0.458	0.569	0.578
affecting	які закранае	0.350	0.574	0.394
affection	каханне	0.898	0.559	0.696
affectionate	прыхілістая	0.949	0.422	0.550
affections	прыхільнасцяў	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	аффидавит	0.469	0.584	0.526
affiliated	афіляваная	0.673	0.519	0.535
affiliation	далучэнне	0.615	0.594	0.500
affinity	сродство	0.800	0.500	0.537
affirm	сцвярджаць	0.745	0.509	0.731
affirmation	зацвярджэнне	0.750	0.500	0.689
affirmative	сцвярджальны	0.854	0.589	0.816
affirmatively	сцвярджальна	0.908	0.500	0.811
affix	афікс	0.438	0.335	0.411
afflict	трывожыць	0.302	0.555	0.293
afflicted	які пакутуе	0.271	0.500	0.167
affliction	хвароба	0.294	0.635	0.392
affluence	наплыў	0.663	0.618	0.722
affluent	паўнаводны	0.756	0.388	0.477
afford	прадастаўляць	0.571	0.580	0.575
affordable	даступны	0.840	0.398	0.493
affront	абразу	0.327	0.740	0.547
affronted	абражаны	0.385	0.750	0.527
afield	ў полі	0.594	0.370	0.373
afire	агонь	0.367	0.904	0.675
afloat	на плаву	0.602	0.427	0.444
afore	вышэй	0.500	0.337	0.382
aforementioned	вышэйзгаданы	0.490	0.316	0.408
aforesaid	вышэйзгаданы	0.531	0.358	0.478
afraid	баіцца	0.010	0.775	0.245
afresh	зноў	0.643	0.521	0.480
african	афрыканец	0.490	0.423	0.555
aft	кармавой	0.480	0.417	0.518
afterlife	замагільная жыццё	0.571	0.567	0.568
aftermath	атава	0.312	0.449	0.444
afternoon	пасля паўдня	0.533	0.388	0.339
aftershave	ласьён пасля галення	0.406	0.384	0.415
aftertaste	асадак	0.354	0.362	0.455
afterthought	роздум	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	разявіўшы рот	0.612	0.529	0.464
agate	агат	0.540	0.377	0.483
age	ўзрост	0.561	0.226	0.498
aged	састарэлы	0.135	0.365	0.236
agency	агенцтва	0.460	0.296	0.583
agenda	парадак дня	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	агламерацыя	0.450	0.765	0.509
aggravate	абвастраць	0.224	0.770	0.464
aggravated	узмоцнены	0.079	0.760	0.430
aggravates	пагаршае	0.108	0.778	0.357
aggravating	які пагоршыць	0.257	0.794	0.640
aggravation	пагаршэнне	0.071	0.784	0.613
aggregate	сукупны	0.730	0.378	0.556
aggregation	агрэгавання	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агрэсія	0.094	0.929	0.533
aggressive	агрэсіўны	0.125	0.949	0.648
aggressively	агрэсіўна	0.250	0.926	0.688
aggressiveness	агрэсіўнасць	0.077	0.913	0.648
aggressor	агрэсар	0.146	0.948	0.823
agh	АГ	0.260	0.500	0.400
aghast	ашаломлены	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	спрытны	0.800	0.657	0.775
agility	спрыт	0.720	0.702	0.815
aging	старэнне	0.214	0.255	0.284
agitate	агітаваць	0.300	0.796	0.593
agitated	усхваляваны	0.444	0.882	0.491
agitation	агітацыя	0.240	0.931	0.447
aglow	узбуджаны	0.780	0.510	0.797
agnostic	агностыку	0.306	0.396	0.574
ago	назад	0.317	0.280	0.404
agonizing	пакутлівы	0.083	0.800	0.340
agony	агонія	0.083	0.775	0.393
agoraphobia	агарафобіі	0.127	0.712	0.438
agree	згодныя	0.906	0.260	0.545
agreeable	прыемны	0.906	0.500	0.696
agreed	ўзгоднены	0.797	0.449	0.574
agreeing	згаджаючыся	0.854	0.480	0.557
agreement	пагадненне	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	сельскагаспадарчае	0.686	0.321	0.473
agriculture	сельская гаспадарка	0.640	0.357	0.465
aground	на мялі	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	наперадзе	0.708	0.520	0.673
ahhh	аааа	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	на палубе	0.500	0.497	0.380
aid	дапамогу	0.796	0.491	0.541
aide	памочнік	0.724	0.342	0.434
aiding	дапамаганне	0.643	0.533	0.569
aids	дапаможныя сродкі	0.561	0.480	0.500
ail	Айыл	0.375	0.434	0.385
ailing	хворы	0.094	0.518	0.153
ailment	хвароба	0.146	0.734	0.277
aim	мэта	0.481	0.569	0.567
aimless	бязмэтны	0.150	0.267	0.183
air	паветра	0.708	0.163	0.427
airbag	паветраная падушка	0.510	0.402	0.433
airborne	бартавы	0.542	0.519	0.385
aircraft	самалёт	0.646	0.644	0.691
aircraft carrier	авіяносец	0.490	0.740	0.727
airfield	лётнае поле	0.601	0.650	0.645
airhead	дурачок	0.271	0.481	0.276
airlift	паветраныя перавозкі	0.573	0.622	0.642
airline	авіякампанія	0.650	0.482	0.688
airliner	пасажырскі самалёт	0.667	0.777	0.647
airlock	паветраная корак	0.398	0.520	0.447
airman	авіятар	0.587	0.716	0.721
airplane	самалёт	0.719	0.702	0.708
airport	аэрапорт	0.729	0.684	0.682
airs	арыі	0.583	0.196	0.370
airship	дырыжабль	0.542	0.472	0.529
airspace	паветраную прастору	0.562	0.510	0.640
airspeed	паветраная хуткасць	0.583	0.780	0.544
airstrip	узлётна-пасадачная паласа	0.550	0.690	0.649
airtight	паветранепранікальныя	0.479	0.381	0.570
airway	авіялінія	0.638	0.585	0.482
aisle	прыбудоўка	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ака	0.459	0.358	0.351
akin	падобны	0.639	0.343	0.523
alabaster	алебастр	0.542	0.404	0.445
alarm	сігнал трывогі	0.241	0.882	0.698
alarm clock	будзільнік	0.542	0.727	0.642
alarmed	устрывожаны	0.188	0.822	0.492
alarming	трывожны	0.204	0.890	0.585
alas	нажаль	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	альбатрос	0.500	0.445	0.527
albino	альбінос	0.500	0.240	0.358
album	альбом	0.635	0.349	0.453
alchemy	алхімія	0.541	0.583	0.693
alcohol	алкаголь	0.323	0.667	0.377
alcoholic	алкаголік	0.153	0.688	0.361
alcoholism	алкагалізм	0.061	0.779	0.407
alcove	алькоў	0.490	0.340	0.356
alderman	старэйшына	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	пільны	0.479	0.820	0.648
alertness	насцярожанасць	0.375	0.875	0.750
alerts	абвесткі	0.337	0.804	0.673
alfalfa	люцэрна	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебраічная	0.531	0.412	0.441
algorithm	алгарытм	0.448	0.394	0.559
alias	псеўданім	0.541	0.353	0.333
alibi	алібі	0.396	0.528	0.556
alien	іншаземец	0.410	0.615	0.491
alienate	адчужаць	0.247	0.500	0.523
alienated	адчужанай	0.410	0.423	0.559
alienation	адчужэнне	0.378	0.530	0.462
alight	запалены	0.667	0.657	0.605
align	выраўноўваць	0.656	0.364	0.627
aligned	выраўнаваны	0.583	0.275	0.553
alignment	выраўноўванне	0.643	0.412	0.683
alike	падобна	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	аліменты	0.612	0.477	0.464
aliquot	аликвоты	0.440	0.310	0.404
alive	жывы	0.816	0.637	0.731
alkali	шчолач	0.490	0.350	0.408
alkaloids	алкалоіды	0.433	0.562	0.402
allay	змякчаць	0.417	0.406	0.398
allegation	зацвярджэнне	0.578	0.578	0.608
allege	сцвярджаць	0.418	0.482	0.587
alleged	ўяўны	0.365	0.522	0.520
allegiance	вернасць	0.917	0.398	0.750
allegorical	алегарычны	0.517	0.558	0.598
allegory	алегорыя	0.615	0.580	0.509
allegro	алегра	0.635	0.627	0.453
allergic	алергічны	0.135	0.549	0.273
allergy	алергія	0.296	0.606	0.389
alleviate	змякчаць	0.869	0.270	0.528
alleviation	палёгку	0.735	0.200	0.491
alley	алея	0.347	0.500	0.355
alleyway	завулак	0.357	0.471	0.382
alliance	саюз	0.696	0.473	0.769
allied	саюзны	0.714	0.245	0.642
alligator	алігатар	0.354	0.704	0.645
allocate	выдзяляць	0.673	0.462	0.672
allocation	размеркаванне	0.604	0.388	0.679
allot	адлічваць	0.622	0.481	0.616
allotment	вылучэнне	0.600	0.390	0.640
allow	дазваляць	0.698	0.429	0.538
allowable	дапушчальны	0.698	0.500	0.561
allowance	дапаможнік	0.673	0.382	0.591
allowed	дазволена	0.730	0.360	0.655
alloy	сплаў	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	завабліваць	0.804	0.585	0.686
alluring	павабны	0.837	0.745	0.843
allusion	спасылка	0.440	0.308	0.462
alluvial	наноснае	0.323	0.490	0.491
ally	саюзнік	0.792	0.320	0.688
almanac	альманах	0.688	0.190	0.412
almighty	усемагутны	0.938	0.874	0.958
almond	міндальныя	0.698	0.183	0.314
aloft	наверх	0.771	0.373	0.700
aloha	алоха	0.698	0.440	0.441
alone	толькі	0.333	0.167	0.216
alongside	побач	0.458	0.333	0.347
aloof	адчужанай	0.189	0.423	0.302
aloud	ўслых	0.458	0.713	0.750
alpha	альфа	0.708	0.340	0.755
alphabet	алфавіт	0.562	0.204	0.672
alphabetical	літарны	0.537	0.296	0.535
alpine	высакагорны	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	алтар	0.724	0.387	0.635
altar boy	паслугач	0.434	0.206	0.350
alter	змяняць	0.333	0.694	0.654
alteration	пераробка	0.167	0.798	0.609
altercation	лаянка	0.170	0.806	0.500
altered	зменена	0.255	0.765	0.500
alternate	чаргаваць	0.625	0.363	0.589
alternating	пераменны	0.480	0.494	0.542
alternative	альтэрнатыва	0.628	0.373	0.631
altimeter	вышынямер	0.615	0.510	0.580
altitude	вышыня над узроўнем мора	0.708	0.482	0.736
alto	альт	0.656	0.404	0.730
altogether	ў цэлым	0.833	0.324	0.644
aluminum	алюміній	0.449	0.280	0.434
alumnus	выпускнік	0.633	0.368	0.422
alveolar	альвеалярны	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амальгама	0.438	0.333	0.510
amalgamation	ўзбуйненне	0.406	0.470	0.531
amaretto	амаретто	0.543	0.551	0.375
amass	збіраць	0.552	0.465	0.465
amateur	аматар	0.469	0.500	0.409
amaze	паражаць	0.896	0.843	0.783
amazed	уражаны	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	здзіўленне	0.750	0.800	0.639
amazing	дзіўны	0.906	0.837	0.849
amazingly	дзіўна	0.918	0.765	0.920
ambassador	пасол	0.651	0.529	0.917
amber	бурштынавы	0.635	0.308	0.369
ambience	атмасфера	0.735	0.356	0.426
ambient	навакольны	0.625	0.360	0.582
ambiguity	неадназначнасць	0.164	0.460	0.370
ambiguous	двухсэнсоўны	0.265	0.462	0.358
ambit	сфера	0.479	0.380	0.386
ambition	славалюбства	0.510	0.804	0.661
ambitious	славалюбівы	0.484	0.821	0.717
ambivalent	дваісты	0.510	0.404	0.482
ambrosia	амброзія	0.571	0.452	0.480
ambulance	хуткая дапамога	0.500	0.750	0.609
ambush	засада	0.281	0.830	0.500
ameliorate	паляпшаць	0.770	0.548	0.747
amen	амін	0.781	0.182	0.542
amenable	які паддаецца	0.448	0.410	0.406
amend	змяніць	0.688	0.406	0.658
amendment	папраўка	0.531	0.459	0.606
amends	пакрыццё	0.640	0.366	0.517
amenity	выгоды	0.750	0.327	0.574
amethyst	аметыст	0.622	0.406	0.517
amiable	шаноўны	0.847	0.290	0.483
amicable	дружны	0.875	0.330	0.507
amid	сярод	0.510	0.340	0.256
amidst	сярод	0.480	0.330	0.316
amino	амінакіс	0.551	0.402	0.433
ammo	боепрыпасы	0.323	0.765	0.621
ammonia	аміяк	0.292	0.587	0.409
ammonium	амоній	0.354	0.396	0.368
ammunition	боепрыпасаў	0.338	0.635	0.667
amnesia	Амнезія	0.296	0.330	0.308
amnesty	амніставаць	0.551	0.451	0.814
amorous	влюбчивый	0.844	0.670	0.636
amorphous	аморфны	0.327	0.402	0.349
amortization	амартызацыя	0.592	0.491	0.522
amount	сума	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	ампер	0.439	0.393	0.375
ampersand	амперсант	0.480	0.448	0.483
amphetamines	амфетаміны	0.133	0.667	0.526
amphibian	амфібія	0.427	0.357	0.474
amphibious	дэсантны	0.479	0.346	0.445
amphitheater	амфітэатр	0.653	0.480	0.545
ample	багаты	0.744	0.349	0.719
amplification	ўзмацненне	0.690	0.677	0.810
amplify	ўзмацняць	0.677	0.735	0.827
amplitude	амплітуда	0.694	0.439	0.692
amply	вялізна	0.781	0.431	0.766
amputate	ампутаваць	0.092	0.660	0.509
amputation	ампутацыя	0.100	0.755	0.483
amuck	накідвацца	0.385	0.602	0.321
amulet	кудмень	0.781	0.260	0.630
