Word	Czech-cs	Valence	Arousal	Dominance
adjacency	sousedství	0.365	0.417	0.375
adjacent	přilehlý	0.645	0.276	0.536
adjective	přídavné jméno	0.570	0.316	0.569
adjoining	sousedící	0.520	0.400	0.393
adjourn	odložit	0.385	0.456	0.475
adjournment	odročení	0.438	0.510	0.370
adjudicate	rozhodnout	0.559	0.520	0.683
adjudication	rozhodnutí	0.551	0.462	0.691
adjunct	doplněk	0.459	0.440	0.426
adjust	upravit	0.647	0.327	0.638
adjuster	nastavovač	0.510	0.540	0.760
adjustment	nastavení	0.590	0.520	0.661
adjuvant	adjuvans	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	spravovat	0.635	0.425	0.860
administration	správa	0.625	0.404	0.786
administrative	správní	0.542	0.415	0.579
administrator	správce	0.538	0.480	0.902
admirable	obdivuhodný	0.929	0.600	0.870
admiral	admirál	0.844	0.490	0.847
admiralty	admiralita	0.594	0.547	0.733
admiration	obdiv	0.969	0.583	0.726
admire	obdivovat	0.867	0.692	0.704
admired	obdivovaný	0.917	0.560	0.815
admirer	obdivovatel	0.796	0.720	0.650
admiring	obdivovat	0.867	0.578	0.629
admissibility	přípustnost	0.802	0.580	0.602
admissible	přípustné	0.780	0.528	0.642
admission	přijetí	0.802	0.415	0.732
admit	připustit	0.538	0.423	0.667
admittance	vstup	0.690	0.451	0.598
admitted	připustil	0.720	0.490	0.767
admitting	přiznávání	0.620	0.500	0.546
admixture	přísada	0.450	0.375	0.438
admonition	napomenutí	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	dospívání	0.487	0.694	0.444
adolescent	puberťák	0.781	0.680	0.509
adopt	přijmout	0.694	0.612	0.701
adoption	přijetí	0.625	0.566	0.589
adoptive	adoptivní	0.531	0.469	0.520
adorable	rozkošný	0.969	0.519	0.457
adoration	adorace	0.885	0.699	0.708
adore	uctívat	0.854	0.438	0.657
adoring	zamilovaný	0.885	0.620	0.717
adorn	ozdobit	0.910	0.424	0.482
adornment	ozdoba	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	zbytečně	0.398	0.486	0.230
adult	dospělý	0.815	0.491	0.787
adulterated	falešný	0.188	0.865	0.370
adulterer	cizoložník	0.229	0.814	0.407
adultery	cizoložství	0.120	0.922	0.510
adulthood	dospělost	0.541	0.454	0.652
advance	záloha	0.673	0.472	0.858
advanced	pokročilý	0.844	0.623	0.797
advancement	pokrok	0.776	0.650	0.839
advancing	postupování	0.929	0.608	0.812
advantage	výhoda	0.917	0.548	0.859
advantageous	výhodný	0.837	0.640	0.789
advent	příchod	0.665	0.560	0.627
adventure	dobrodružství	0.917	0.857	0.710
adventurer	dobrodruh	0.781	0.839	0.868
adventures	Dobrodružství	0.812	0.764	0.749
adventurous	dobrodružný	0.969	0.898	0.722
adversary	protivník	0.349	0.777	0.457
adverse	nepříznivý	0.323	0.610	0.385
adversity	nepřízeň osudu	0.276	0.760	0.538
advertise	inzerovat	0.500	0.529	0.580
advertisement	reklama	0.600	0.566	0.539
advertising	reklamní	0.622	0.608	0.632
adverts	inzeráty	0.551	0.500	0.595
advice	Rada	0.698	0.408	0.688
advisable	doporučeno	0.867	0.480	0.510
advise	radit, podat zprávu	0.760	0.393	0.705
advised	doporučeno	0.823	0.330	0.509
advisement	poradenství	0.698	0.235	0.655
adviser	poradce	0.745	0.362	0.705
advisor	poradce	0.646	0.350	0.689
advisory	poradní	0.656	0.429	0.633
advocacy	obhajoba	0.500	0.646	0.731
advocate	zastánce	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	provzdušňování	0.550	0.500	0.433
aerial	letecký	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	letiště	0.541	0.740	0.678
aerodynamic	aerodynamický	0.561	0.724	0.728
aerodynamics	aerodynamika	0.590	0.663	0.722
aeronautics	letectví	0.551	0.633	0.688
aeroplane	letoun	0.714	0.642	0.644
aerospace	letectví	0.643	0.520	0.779
aesthetic	estetický	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologie	0.480	0.398	0.615
afar	dál	0.396	0.373	0.358
affable	přívětivý	0.704	0.380	0.452
affair	aféra	0.520	0.459	0.657
affect	postihnout	0.458	0.569	0.578
affecting	ovlivňuje	0.350	0.574	0.394
affection	náklonnost	0.898	0.559	0.696
affectionate	láskyplný	0.949	0.422	0.550
affections	postižení	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	přísežné prohlášení	0.469	0.584	0.526
affiliated	přidružený	0.673	0.519	0.535
affiliation	příslušnosti	0.615	0.594	0.500
affinity	afinita	0.800	0.500	0.537
affirm	potvrdit	0.745	0.509	0.731
affirmation	potvrzení	0.750	0.500	0.689
affirmative	kladně	0.854	0.589	0.816
affirmatively	kladně	0.908	0.500	0.811
affix	připevnit	0.438	0.335	0.411
afflict	postihnout	0.302	0.555	0.293
afflicted	postižených	0.271	0.500	0.167
affliction	utrpení	0.294	0.635	0.392
affluence	blahobyt	0.663	0.618	0.722
affluent	blahobytný	0.756	0.388	0.477
afford	si dovolit	0.571	0.580	0.575
affordable	cenově dostupné	0.840	0.398	0.493
affront	urážka	0.327	0.740	0.547
affronted	postižené	0.385	0.750	0.527
afield	venku	0.594	0.370	0.373
afire	požár	0.367	0.904	0.675
afloat	na vodě	0.602	0.427	0.444
afore	dříve	0.500	0.337	0.382
aforementioned	výše zmíněných	0.490	0.316	0.408
aforesaid	výše uvedené	0.531	0.358	0.478
afraid	strach	0.010	0.775	0.245
afresh	znovu	0.643	0.521	0.480
african	Afričan	0.490	0.423	0.555
aft	na zádi	0.480	0.417	0.518
afterlife	posmrtný život	0.571	0.567	0.568
aftermath	následky	0.312	0.449	0.444
afternoon	odpoledne	0.533	0.388	0.339
aftershave	voda po holení	0.406	0.384	0.415
aftertaste	pachuť	0.354	0.362	0.455
afterthought	přemýšlel	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	achát	0.540	0.377	0.483
age	stáří	0.561	0.226	0.498
aged	letitý	0.135	0.365	0.236
agency	agentura	0.460	0.296	0.583
agenda	denní program	0.531	0.296	0.553
agent	činidlo	0.480	0.439	0.755
agglomeration	aglomerace	0.450	0.765	0.509
aggravate	zhoršit	0.224	0.770	0.464
aggravated	agresivní	0.079	0.760	0.430
aggravates	zhoršuje	0.108	0.778	0.357
aggravating	přitěžující	0.257	0.794	0.640
aggravation	zhoršení	0.071	0.784	0.613
aggregate	agregát	0.730	0.378	0.556
aggregation	agregace	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agrese	0.094	0.929	0.533
aggressive	agresivní	0.125	0.949	0.648
aggressively	agresivně	0.250	0.926	0.688
aggressiveness	agresivita	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agilní	0.800	0.657	0.775
agility	hbitost	0.720	0.702	0.815
aging	stárnutí	0.214	0.255	0.284
agitate	agitovat	0.300	0.796	0.593
agitated	rozrušený	0.444	0.882	0.491
agitation	míchání	0.240	0.931	0.447
aglow	planoucí	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	před	0.317	0.280	0.404
agonizing	agonizující	0.083	0.800	0.340
agony	muka	0.083	0.775	0.393
agoraphobia	agorafobie	0.127	0.712	0.438
agree	souhlasit	0.906	0.260	0.545
agreeable	příjemný	0.906	0.500	0.696
agreed	souhlasil	0.797	0.449	0.574
agreeing	souhlasím	0.854	0.480	0.557
agreement	dohoda	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	zemědělský	0.686	0.321	0.473
agriculture	zemědělství	0.640	0.357	0.465
aground	na mělčině	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	vpřed	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoj	0.500	0.497	0.380
aid	pomoc	0.796	0.491	0.541
aide	pomocník	0.724	0.342	0.434
aiding	pomoc	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	arogantní	0.094	0.518	0.153
ailment	indispozice	0.146	0.734	0.277
aim	cíl	0.481	0.569	0.567
aimless	bezcílný	0.150	0.267	0.183
air	vzduch	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	vzduchem	0.542	0.519	0.385
aircraft	letadlo	0.646	0.644	0.691
aircraft carrier	letadlová loď	0.490	0.740	0.727
airfield	letiště	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	letecká linka	0.650	0.482	0.688
airliner	letadlo	0.667	0.777	0.647
airlock	vzduchový uzávěr	0.398	0.520	0.447
airman	letec	0.587	0.716	0.721
airplane	letoun	0.719	0.702	0.708
airport	letiště	0.729	0.684	0.682
airs	vzduchu	0.583	0.196	0.370
airship	vzducholoď	0.542	0.472	0.529
airspace	vzdušný prostor	0.562	0.510	0.640
airspeed	vzdušnou rychlostí	0.583	0.780	0.544
airstrip	přistávací dráha	0.550	0.690	0.649
airtight	vzduchotěsný	0.479	0.381	0.570
airway	dýchacích cest	0.638	0.585	0.482
aisle	ulička	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	podobný	0.639	0.343	0.523
alabaster	alabastr	0.542	0.404	0.445
alarm	poplach	0.241	0.882	0.698
alarm clock	budík	0.542	0.727	0.642
alarmed	znepokojen	0.188	0.822	0.492
alarming	alarmující	0.204	0.890	0.585
alas	Běda	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albín	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchymie	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholik	0.153	0.688	0.361
alcoholism	alkoholismus	0.061	0.779	0.407
alcove	výklenek	0.490	0.340	0.356
alderman	radní	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	upozornění	0.479	0.820	0.648
alertness	ostražitost	0.375	0.875	0.750
alerts	upozornění	0.337	0.804	0.673
alfalfa	vojtěška	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraický	0.531	0.412	0.441
algorithm	algoritmus	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	mimozemšťan	0.410	0.615	0.491
alienate	odcizit	0.247	0.500	0.523
alienated	odcizený	0.410	0.423	0.559
alienation	odcizení	0.378	0.530	0.462
alight	vystoupit	0.667	0.657	0.605
align	zarovnat	0.656	0.364	0.627
aligned	zarovnaný	0.583	0.275	0.553
alignment	zarovnání	0.643	0.412	0.683
alike	podobně	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	výživné	0.612	0.477	0.464
aliquot	alikvotní	0.440	0.310	0.404
alive	naživu	0.816	0.637	0.731
alkali	alkálie	0.490	0.350	0.408
alkaloids	alkaloidy	0.433	0.562	0.402
allay	zmírnit	0.417	0.406	0.398
allegation	tvrzení	0.578	0.578	0.608
allege	tvrdí	0.418	0.482	0.587
alleged	tvrdí	0.365	0.522	0.520
allegiance	věrnost	0.917	0.398	0.750
allegorical	alegorický	0.517	0.558	0.598
allegory	alegorie	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergický	0.135	0.549	0.273
allergy	alergie	0.296	0.606	0.389
alleviate	zmírnit	0.869	0.270	0.528
alleviation	zmírnění	0.735	0.200	0.491
alley	alej	0.347	0.500	0.355
alleyway	ulička	0.357	0.471	0.382
alliance	aliance	0.696	0.473	0.769
allied	spojenectví	0.714	0.245	0.642
alligator	aligátor	0.354	0.704	0.645
allocate	přidělit	0.673	0.462	0.672
allocation	přidělení	0.604	0.388	0.679
allot	přidělovat	0.622	0.481	0.616
allotment	přidělování	0.600	0.390	0.640
allow	dovolit	0.698	0.429	0.538
allowable	přípustné	0.698	0.500	0.561
allowance	příspěvek	0.673	0.382	0.591
allowed	povoleno	0.730	0.360	0.655
alloy	slitina	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	lákat	0.804	0.585	0.686
alluring	lákavé	0.837	0.745	0.843
allusion	narážka	0.440	0.308	0.462
alluvial	aluviální	0.323	0.490	0.491
ally	spojenec	0.792	0.320	0.688
almanac	almanach	0.688	0.190	0.412
almighty	všemohoucí	0.938	0.874	0.958
almond	mandle	0.698	0.183	0.314
aloft	nahoře	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sama	0.333	0.167	0.216
alongside	vedle	0.458	0.333	0.347
aloof	rezervovaný	0.189	0.423	0.302
aloud	nahlas	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	abeceda	0.562	0.204	0.672
alphabetical	abecední	0.537	0.296	0.535
alpine	vysokohorský	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	oltář	0.724	0.387	0.635
altar boy	oltářní chlapec	0.434	0.206	0.350
alter	změnit	0.333	0.694	0.654
alteration	změna	0.167	0.798	0.609
altercation	hádka	0.170	0.806	0.500
altered	změněn	0.255	0.765	0.500
alternate	střídat	0.625	0.363	0.589
alternating	střídání	0.480	0.494	0.542
alternative	alternativní	0.628	0.373	0.631
altimeter	výškoměr	0.615	0.510	0.580
altitude	nadmořská výška	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	celkem	0.833	0.324	0.644
aluminum	hliník	0.449	0.280	0.434
alumnus	absolvent	0.633	0.368	0.422
alveolar	alveolární	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgám	0.438	0.333	0.510
amalgamation	sloučení	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	hromadit	0.552	0.465	0.465
amateur	amatér	0.469	0.500	0.409
amaze	ohromit	0.896	0.843	0.783
amazed	ohromen	0.796	0.779	0.533
amazedness	úžas	0.827	0.872	0.510
amazement	ohromení	0.750	0.800	0.639
amazing	úžasný	0.906	0.837	0.849
amazingly	úžasně	0.918	0.765	0.920
ambassador	velvyslanec	0.651	0.529	0.917
amber	jantar	0.635	0.308	0.369
ambience	prostředí	0.735	0.356	0.426
ambient	okolní	0.625	0.360	0.582
ambiguity	dvojznačnost	0.164	0.460	0.370
ambiguous	dvojznačný	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ctižádost	0.510	0.804	0.661
ambitious	ambiciózní	0.484	0.821	0.717
ambivalent	ambivalentní	0.510	0.404	0.482
ambrosia	ambrózie	0.571	0.452	0.480
ambulance	záchranná služba	0.500	0.750	0.609
ambush	záloha	0.281	0.830	0.500
ameliorate	zlepšit	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	přizpůsobitelné	0.448	0.410	0.406
amend	pozměnit	0.688	0.406	0.658
amendment	pozměňovací návrh	0.531	0.459	0.606
amends	mění	0.640	0.366	0.517
amenity	S vybavením	0.750	0.327	0.574
amethyst	ametyst	0.622	0.406	0.517
amiable	přívětivý	0.847	0.290	0.483
amicable	přátelské	0.875	0.330	0.507
amid	uprostřed	0.510	0.340	0.256
amidst	uprostřed	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munice	0.323	0.765	0.621
ammonia	amoniak	0.292	0.587	0.409
ammonium	amonia	0.354	0.396	0.368
ammunition	munice	0.338	0.635	0.667
amnesia	amnézie	0.296	0.330	0.308
amnesty	amnestie	0.551	0.451	0.814
amorous	zamilovaný	0.844	0.670	0.636
amorphous	amorfní	0.327	0.402	0.349
amortization	amortizace	0.592	0.491	0.522
amount	množství	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetaminy	0.133	0.667	0.526
amphibian	obojživelník	0.427	0.357	0.474
amphibious	obojživelný	0.479	0.346	0.445
amphitheater	amfiteátr	0.653	0.480	0.545
ample	dostatek	0.744	0.349	0.719
amplification	zesílení	0.690	0.677	0.810
amplify	zesilovat	0.677	0.735	0.827
amplitude	amplituda	0.694	0.439	0.692
amply	bohatě	0.781	0.431	0.766
amputate	amputovat	0.092	0.660	0.509
amputation	amputace	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	bavit	0.812	0.684	0.664
amused	pobavený	0.942	0.847	0.596
amusement	zábavu	0.929	0.837	0.803
amusing	zábavný	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestézie	0.350	0.217	0.473
anaesthetic	anestetikum	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anální	0.333	0.798	0.334
analgesic	analgetika	0.417	0.321	0.441
analogous	analogický	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogie	0.510	0.367	0.509
analysis	analýza	0.729	0.448	0.705
analyst	analytik	0.604	0.415	0.755
analytic	analytický	0.665	0.521	0.634
analytical	analytická	0.625	0.324	0.800
analyze	analyzovat	0.667	0.462	0.710
analyzer	analyzátoru	0.625	0.556	0.854
anaphylactic	anafylaktické	0.378	0.588	0.500
anarchism	anarchismus	0.125	0.804	0.623
anarchist	anarchista	0.204	0.700	0.759
anarchy	anarchie	0.146	0.755	0.620
anastomosis	anastomóza	0.375	0.470	0.490
anathema	anathema	0.286	0.490	0.519
