Word	Sindhi-sd	Valence	Arousal	Dominance
addicted	عادي آهي	0.156	0.712	0.483
addiction	نوڪري	0.180	0.806	0.420
addictive	وڌائڻ	0.302	0.683	0.472
addition	ان کان سواء	0.562	0.373	0.471
additional	اضافي	0.673	0.462	0.526
additive	اضافو	0.561	0.633	0.691
address	ايڊريس	0.650	0.327	0.567
addressee	ايڊريس	0.622	0.382	0.538
addresses	ايڊريس	0.510	0.354	0.450
adept	مشڪل آهي	0.594	0.539	0.789
adequacy	مناسب	0.615	0.435	0.702
adequate	مناسب	0.854	0.264	0.705
adhere	پيروي	0.633	0.339	0.554
adherence	تعريف	0.760	0.307	0.630
adherent	پسنديده	0.561	0.385	0.555
adhering	نصيحت وٺندو	0.612	0.561	0.537
adhesion	ٿڌڻ	0.521	0.445	0.586
adhesive	ٿڪڻ	0.604	0.350	0.413
adieu	آگاهه	0.250	0.471	0.342
adipose	ٻيڻو	0.333	0.350	0.391
adjacency	ويجهو	0.365	0.417	0.375
adjacent	ڀرسان	0.645	0.276	0.536
adjective	صفت	0.570	0.316	0.569
adjoining	ڀرسان	0.520	0.400	0.393
adjourn	اختتام	0.385	0.456	0.475
adjournment	اختتام	0.438	0.510	0.370
adjudicate	آبادي	0.559	0.520	0.683
adjudication	درخواست ڏيڻ	0.551	0.462	0.691
adjunct	ڀرپاسي	0.459	0.440	0.426
adjust	ٺاهي	0.647	0.327	0.638
adjuster	اختتام	0.510	0.540	0.760
adjustment	ترميم	0.590	0.520	0.661
adjuvant	اڪيلو	0.510	0.500	0.456
admin	منتظم	0.688	0.420	0.854
administer	انتظام ڪيو ويو آهي	0.635	0.425	0.860
administration	انتظاميه	0.625	0.404	0.786
administrative	انتظامي	0.542	0.415	0.579
administrator	منتظم	0.538	0.480	0.902
admirable	قابل اطلاق	0.929	0.600	0.870
admiral	ایڈمرل	0.844	0.490	0.847
admiralty	فرمانبرداري	0.594	0.547	0.733
admiration	تعريف	0.969	0.583	0.726
admire	مهرباني ڪري رهيو آهي	0.867	0.692	0.704
admired	منڍ ڪيو	0.917	0.560	0.815
admirer	فرمانبردار	0.796	0.720	0.650
admiring	سجدو ڪرڻ	0.867	0.578	0.629
admissibility	قبول	0.802	0.580	0.602
admissible	قبول نه ٿيو	0.780	0.528	0.642
admission	داخلا	0.802	0.415	0.732
admit	داخل ڪندا	0.538	0.423	0.667
admittance	اعتراف	0.690	0.451	0.598
admitted	داخل ڪيو ويو	0.720	0.490	0.767
admitting	قبول ڪيو	0.620	0.500	0.546
admixture	ايڊٽ ڪرڻ	0.450	0.375	0.438
admonition	نصيحت	0.357	0.606	0.455
ado	ادو	0.520	0.423	0.385
adobe	ايوبو	0.500	0.319	0.328
adolescence	ننڍپڻ	0.487	0.694	0.444
adolescent	نوجوانن	0.781	0.680	0.509
adopt	اپيل	0.694	0.612	0.701
adoption	اپيل	0.625	0.566	0.589
adoptive	اپوزيشن	0.531	0.469	0.520
adorable	تعصب	0.969	0.519	0.457
adoration	سينگاريو	0.885	0.699	0.708
adore	پسند ڪيو	0.854	0.438	0.657
adoring	مشهوري	0.885	0.620	0.717
adorn	زينت	0.910	0.424	0.482
adornment	زينت	0.918	0.373	0.377
adrenalin	ايڊينسلن	0.865	0.920	0.786
adrenaline	ايڊينسلين	0.765	0.965	0.825
adrift	زنا	0.398	0.486	0.230
adult	بالغ	0.815	0.491	0.787
adulterated	زنا ڪيو	0.188	0.865	0.370
adulterer	زنا ڪندڙ	0.229	0.814	0.407
adultery	زنا	0.120	0.922	0.510
adulthood	زنده	0.541	0.454	0.652
advance	اڳوڻو	0.673	0.472	0.858
advanced	ڳوڙهو	0.844	0.623	0.797
advancement	ترقي	0.776	0.650	0.839
advancing	ترقي يافته	0.929	0.608	0.812
advantage	فائدو	0.917	0.548	0.859
advantageous	فائدي	0.837	0.640	0.789
advent	آڌرڀاء	0.665	0.560	0.627
adventure	مشغول	0.917	0.857	0.710
adventurer	شڪست	0.781	0.839	0.868
adventures	آڌارڀاء	0.812	0.764	0.749
adventurous	زبردست	0.969	0.898	0.722
adversary	مخالف	0.349	0.777	0.457
adverse	ناپسند	0.323	0.610	0.385
adversity	غمگين	0.276	0.760	0.538
advertise	اشتهار ڏيو	0.500	0.529	0.580
advertisement	اشتهار	0.600	0.566	0.539
advertising	اشتهارن جو	0.622	0.608	0.632
adverts	اشتهار ڏيو	0.551	0.500	0.595
advice	صلاح	0.698	0.408	0.688
advisable	صلاحڪار	0.867	0.480	0.510
advise	صلاح ڏيو	0.760	0.393	0.705
advised	صلاح ڏني	0.823	0.330	0.509
advisement	مشوري	0.698	0.235	0.655
adviser	صلاحڪار	0.745	0.362	0.705
advisor	صلاحڪار	0.646	0.350	0.689
advisory	صلاحڪار	0.656	0.429	0.633
advocacy	وڪيل	0.500	0.646	0.731
advocate	وڪيل	0.551	0.530	0.818
aegis	ايجاد	0.490	0.439	0.462
aeration	هوا	0.550	0.500	0.433
aerial	ڦيرو	0.615	0.461	0.463
aerobics	ايروبڪس	0.708	0.771	0.627
aerodrome	ايروودوم	0.541	0.740	0.678
aerodynamic	ايروڊيوئليڪل	0.561	0.724	0.728
aerodynamics	ايروودائيڪس	0.590	0.663	0.722
aeronautics	ايروونڪڪس	0.551	0.633	0.688
aeroplane	هوائي جهاز	0.714	0.642	0.644
aerospace	خلائي	0.643	0.520	0.779
aesthetic	جمالياتي	0.708	0.442	0.526
aesthetics	جمالياتيات	0.847	0.327	0.549
aetiology	ايٿوپيالوجي	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	مصلحت	0.704	0.380	0.452
affair	مامرو	0.520	0.459	0.657
affect	متاثر ٿيو	0.458	0.569	0.578
affecting	متاثر ٿيو	0.350	0.574	0.394
affection	تنهنجو	0.898	0.559	0.696
affectionate	تنهنجو	0.949	0.422	0.550
affections	اثرات	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	حڪومتيه	0.469	0.584	0.526
affiliated	لاڳاپيل	0.673	0.519	0.535
affiliation	ٽڪيٽ	0.615	0.594	0.500
affinity	انيتا	0.800	0.500	0.537
affirm	تصديق ڪريو	0.745	0.509	0.731
affirmation	تصديق	0.750	0.500	0.689
affirmative	معتبر	0.854	0.589	0.816
affirmatively	معتبر طور تي	0.908	0.500	0.811
affix	چيڪ	0.438	0.335	0.411
afflict	ڏنڊ	0.302	0.555	0.293
afflicted	مبتلا	0.271	0.500	0.167
affliction	تڪليف	0.294	0.635	0.392
affluence	سنگم	0.663	0.618	0.722
affluent	امير	0.756	0.388	0.477
afford	برداشت	0.571	0.580	0.575
affordable	سستي	0.840	0.398	0.493
affront	منهن ڏيڻ	0.327	0.740	0.547
affronted	منهن ڏيڻ	0.385	0.750	0.527
afield	آفيسر	0.594	0.370	0.373
afire	اينڊريو	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	هيٺيون	0.500	0.337	0.382
aforementioned	پيش ڪيل	0.490	0.316	0.408
aforesaid	اضافو ٿيو	0.531	0.358	0.478
afraid	ڊپ	0.010	0.775	0.245
afresh	نئون	0.643	0.521	0.480
african	افريقا	0.490	0.423	0.555
aft	ا	0.480	0.417	0.518
afterlife	زندگي گذارڻ	0.571	0.567	0.568
aftermath	بعد ۾	0.312	0.449	0.444
afternoon	منجهند	0.533	0.388	0.339
aftershave	پنهور	0.406	0.384	0.415
aftertaste	بعد ۾	0.354	0.362	0.455
afterthought	ٿڪڻ	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	زنده	0.612	0.529	0.464
agate	عمر	0.540	0.377	0.483
age	عمر	0.561	0.226	0.498
aged	عمر	0.135	0.365	0.236
agency	ايجنسي	0.460	0.296	0.583
agenda	ايجنڊا	0.531	0.296	0.553
agent	نمائندو	0.480	0.439	0.755
agglomeration	گروهه	0.450	0.765	0.509
aggravate	بگڙيل	0.224	0.770	0.464
aggravated	بگڙيل	0.079	0.760	0.430
aggravates	بگڙيل	0.108	0.778	0.357
aggravating	بگڙيل	0.257	0.794	0.640
aggravation	بگڙيل	0.071	0.784	0.613
aggregate	مجموعي طور تي	0.730	0.378	0.556
aggregation	مجموعي	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	جارحيت	0.094	0.929	0.533
aggressive	جارحتي	0.125	0.949	0.648
aggressively	افسوس سان	0.250	0.926	0.688
aggressiveness	جارحيت	0.077	0.913	0.648
aggressor	جارحيت	0.146	0.948	0.823
agh	هڪهه	0.260	0.500	0.400
aghast	هڪ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ٽٽل	0.800	0.657	0.775
agility	زوري	0.720	0.702	0.815
aging	عمر	0.214	0.255	0.284
agitate	مشاهدو ڪيو	0.300	0.796	0.593
agitated	متحد آهي	0.444	0.882	0.491
agitation	وڳوڙ	0.240	0.931	0.447
aglow	هڪڙو	0.780	0.510	0.797
agnostic	اي اين پيسٽ	0.306	0.396	0.574
ago	اڳ	0.317	0.280	0.404
agonizing	ايجاد ڪرڻ	0.083	0.800	0.340
agony	زبردست	0.083	0.775	0.393
agoraphobia	ايورپورٽو	0.127	0.712	0.438
agree	متفق	0.906	0.260	0.545
agreeable	رضامندي	0.906	0.500	0.696
agreed	اتفاق ڪيو	0.797	0.449	0.574
agreeing	اتفاق ڪيو	0.854	0.480	0.557
agreement	معاهدي	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	زرعي	0.686	0.321	0.473
agriculture	زراعت	0.640	0.357	0.465
aground	ڀيرو	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	اڳتي	0.708	0.520	0.673
ahhh	آه	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	آسودو	0.500	0.497	0.380
aid	امداد	0.796	0.491	0.541
aide	رستو	0.724	0.342	0.434
aiding	امداد	0.643	0.533	0.569
aids	امداد	0.561	0.480	0.500
ail	اييل	0.375	0.434	0.385
ailing	ٻرندڙ	0.094	0.518	0.153
ailment	بيماري	0.146	0.734	0.277
aim	مقصد	0.481	0.569	0.567
aimless	معتبر	0.150	0.267	0.183
air	هوائي	0.708	0.163	0.427
airbag	هوائي بيگ	0.510	0.402	0.433
airborne	هوائي اڏو	0.542	0.519	0.385
aircraft	هوائي جهاز	0.646	0.644	0.691
aircraft carrier	هوائي جهاز	0.490	0.740	0.727
airfield	هوائي ميدان	0.601	0.650	0.645
airhead	هوائيڊنگ	0.271	0.481	0.276
airlift	هوٽل	0.573	0.622	0.642
airline	هوائي جهاز	0.650	0.482	0.688
airliner	جهاز	0.667	0.777	0.647
airlock	جهاز	0.398	0.520	0.447
airman	هوائي	0.587	0.716	0.721
airplane	هوائي جهاز	0.719	0.702	0.708
airport	ايئرپورٽ	0.729	0.684	0.682
airs	هوائي	0.583	0.196	0.370
airship	هوائي جهاز	0.542	0.472	0.529
airspace	هوائي اسپيڪر	0.562	0.510	0.640
airspeed	هوائي اسپيڪر	0.583	0.780	0.544
airstrip	هوڏانهن	0.550	0.690	0.649
airtight	واڌو	0.479	0.381	0.570
airway	هوائي اڏو	0.638	0.585	0.482
aisle	ٻڏل	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	اڪا	0.459	0.358	0.351
akin	مستند	0.639	0.343	0.523
alabaster	الاساطير	0.542	0.404	0.445
alarm	الارم	0.241	0.882	0.698
alarm clock	الارم ڪلاڪ	0.542	0.727	0.642
alarmed	خطرناڪ	0.188	0.822	0.492
alarming	الارم ڪرڻ	0.204	0.890	0.585
alas	افسوس	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	البمراورس	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	البم	0.635	0.349	0.453
alchemy	الشيخ	0.541	0.583	0.693
alcohol	شراب	0.323	0.667	0.377
alcoholic	شراب	0.153	0.688	0.361
alcoholism	شراب	0.061	0.779	0.407
alcove	ڪري ڇڏيو	0.490	0.340	0.356
alderman	ڪوڙا	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	خبرداري	0.479	0.820	0.648
alertness	خبرداري	0.375	0.875	0.750
alerts	خبرون	0.337	0.804	0.673
alfalfa	ارفا	0.546	0.250	0.311
algebra	ايجبي	0.440	0.340	0.565
algebraic	ايجبيڪ	0.531	0.412	0.441
algorithm	الورورٿيم	0.448	0.394	0.559
alias	عرف	0.541	0.353	0.333
alibi	البيبي	0.396	0.528	0.556
alien	اجنبي	0.410	0.615	0.491
alienate	ڌاريو	0.247	0.500	0.523
alienated	ڌاريو	0.410	0.423	0.559
alienation	اجايو	0.378	0.530	0.462
alight	اجهائي	0.667	0.657	0.605
align	ڏسو	0.656	0.364	0.627
aligned	ملندڙ	0.583	0.275	0.553
alignment	صفائي	0.643	0.412	0.683
alike	ھڪڙي	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	سامونڊي	0.612	0.477	0.464
aliquot	غير يقيني	0.440	0.310	0.404
alive	زنده	0.816	0.637	0.731
alkali	Alkali	0.490	0.350	0.408
alkaloids	Alkaloids	0.433	0.562	0.402
allay	سڀ	0.417	0.406	0.398
allegation	الزام	0.578	0.578	0.608
allege	خبردار ڪيو	0.418	0.482	0.587
alleged	ڪري رهيو آهي	0.365	0.522	0.520
allegiance	بيعت	0.917	0.398	0.750
allegorical	الزاماتي	0.517	0.558	0.598
allegory	الزام	0.615	0.580	0.509
allegro	الزام آهي	0.635	0.627	0.453
allergic	ايلجڪ	0.135	0.549	0.273
allergy	ايلئر	0.296	0.606	0.389
alleviate	ننڍو	0.869	0.270	0.528
alleviation	وڳوڙ	0.735	0.200	0.491
alley	علي	0.347	0.500	0.355
alleyway	اللي رستو	0.357	0.471	0.382
alliance	اتحاد	0.696	0.473	0.769
allied	متحد ٿيو	0.714	0.245	0.642
alligator	ايجاد ڪندڙ	0.354	0.704	0.645
allocate	سمورو	0.673	0.462	0.672
allocation	تخصيص	0.604	0.388	0.679
allot	سمورو	0.622	0.481	0.616
allotment	سموريون	0.600	0.390	0.640
allow	اجازت ڏيو	0.698	0.429	0.538
allowable	اجازت ڏنل آهي	0.698	0.500	0.561
allowance	جو فائدو	0.673	0.382	0.591
allowed	اجازت ڏنل آهي	0.730	0.360	0.655
alloy	گانو	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	سمورو	0.804	0.585	0.686
alluring	سمورا	0.837	0.745	0.843
allusion	سمورو	0.440	0.308	0.462
alluvial	زڪوه	0.323	0.490	0.491
ally	اجايو	0.792	0.320	0.688
almanac	الفانق	0.688	0.190	0.412
almighty	اڪيلو غالب	0.938	0.874	0.958
almond	بادام	0.698	0.183	0.314
aloft	اٽل	0.771	0.373	0.700
aloha	الهي	0.698	0.440	0.441
alone	اڪيلو	0.333	0.167	0.216
alongside	گڏوگڏ	0.458	0.333	0.347
aloof	مسڪين	0.189	0.423	0.302
aloud	اجايو	0.458	0.713	0.750
alpha	Alpha	0.708	0.340	0.755
alphabet	الفابيٽ	0.562	0.204	0.672
alphabetical	الفابيٽ	0.537	0.296	0.535
alpine	ايڪسڪس	0.594	0.337	0.474
alreadyyyyy	اڳين	0.592	0.717	0.351
altar	قربانيو	0.724	0.387	0.635
altar boy	قربانيو ڇوڪرو	0.434	0.206	0.350
alter	ڦيرائڻ	0.333	0.694	0.654
alteration	ڦيرڦار	0.167	0.798	0.609
altercation	ڦير ڦار	0.170	0.806	0.500
altered	تبديل ٿي وئي	0.255	0.765	0.500
alternate	متبادل	0.625	0.363	0.589
alternating	متبادل	0.480	0.494	0.542
alternative	ڪيڏو نه	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	اوچائي	0.708	0.482	0.736
alto	الفليٽ	0.656	0.404	0.730
altogether	مجموعي طور تي	0.833	0.324	0.644
aluminum	ايلومينيم	0.449	0.280	0.434
alumnus	قطار	0.633	0.368	0.422
alveolar	ڦيرواري	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	ايم	0.438	0.333	0.510
amalgamation	واقف	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	سمنڊ ۾	0.552	0.465	0.465
amateur	شوق	0.469	0.500	0.409
amaze	بيزار	0.896	0.843	0.783
amazed	حيرت ٿي	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	حيرت انگيز	0.750	0.800	0.639
amazing	هذا	0.906	0.837	0.849
amazingly	حيرت انگيز	0.918	0.765	0.920
ambassador	سفير	0.651	0.529	0.917
amber	امبر	0.635	0.308	0.369
ambience	فضيلت	0.735	0.356	0.426
ambient	وسيع	0.625	0.360	0.582
ambiguity	مونجهاري	0.164	0.460	0.370
ambiguous	غير جانبدار	0.265	0.462	0.358
ambit	عارضي آهي	0.479	0.380	0.386
ambition	لوڀ	0.510	0.804	0.661
ambitious	عجيب	0.484	0.821	0.717
ambivalent	مستحق	0.510	0.404	0.482
ambrosia	مونجهاري	0.571	0.452	0.480
ambulance	ايمبولنس	0.500	0.750	0.609
ambush	منهن ڏيڻ	0.281	0.830	0.500
ameliorate	حيرت انگيز	0.770	0.548	0.747
amen	اهي	0.781	0.182	0.542
amenable	ٻيا	0.448	0.410	0.406
amend	ترميم	0.688	0.406	0.658
amendment	ترميم	0.531	0.459	0.606
amends	مزاج آهي	0.640	0.366	0.517
amenity	ماڻهون	0.750	0.327	0.574
amethyst	بيٿو	0.622	0.406	0.517
amiable	بيحد آهي	0.847	0.290	0.483
amicable	چرچ	0.875	0.330	0.507
amid	مقتول	0.510	0.340	0.256
amidst	کان	0.480	0.330	0.316
amino	ايمينو	0.551	0.402	0.433
ammo	ڦوٽو	0.323	0.765	0.621
ammonia	امونيا	0.292	0.587	0.409
ammonium	امونيم	0.354	0.396	0.368
