Word	Maltese-mt	Valence	Arousal	Dominance
adherent	aderenti	0.561	0.385	0.555
adhering	aderazzjoni	0.612	0.561	0.537
adhesion	adeżjoni	0.521	0.445	0.586
adhesive	kolla	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	maġenb	0.645	0.276	0.536
adjective	aġġettiv	0.570	0.316	0.569
adjoining	kontigwi	0.520	0.400	0.393
adjourn	taġġorna	0.385	0.456	0.475
adjournment	aġġornament	0.438	0.510	0.370
adjudicate	tiddeċiedi	0.559	0.520	0.683
adjudication	aġġudikazzjoni	0.551	0.462	0.691
adjunct	flimkien	0.459	0.440	0.426
adjust	taġġusta	0.647	0.327	0.638
adjuster	jaġġusta	0.510	0.540	0.760
adjustment	aġġustament	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	tamministra	0.635	0.425	0.860
administration	amministrazzjoni	0.625	0.404	0.786
administrative	amministrattiv	0.542	0.415	0.579
administrator	amministratur	0.538	0.480	0.902
admirable	ammirabbli	0.929	0.600	0.870
admiral	ammiral	0.844	0.490	0.847
admiralty	ammirali	0.594	0.547	0.733
admiration	ammirazzjoni	0.969	0.583	0.726
admire	jammiraw	0.867	0.692	0.704
admired	ammirajt	0.917	0.560	0.815
admirer	ammiratur	0.796	0.720	0.650
admiring	admiring	0.867	0.578	0.629
admissibility	ammissibbiltà	0.802	0.580	0.602
admissible	ammissibbli	0.780	0.528	0.642
admission	ammissjoni	0.802	0.415	0.732
admit	jammettu	0.538	0.423	0.667
admittance	dħul	0.690	0.451	0.598
admitted	ammessi	0.720	0.490	0.767
admitting	ammissjoni	0.620	0.500	0.546
admixture	taħlita	0.450	0.375	0.438
admonition	twissija	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolexxenza	0.487	0.694	0.444
adolescent	adolexxenti	0.781	0.680	0.509
adopt	tadotta	0.694	0.612	0.701
adoption	adozzjoni	0.625	0.566	0.589
adoptive	adottiv	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	Adorazzjoni	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	tiżjin	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalina	0.765	0.965	0.825
adrift	maqlub	0.398	0.486	0.230
adult	adulti	0.815	0.491	0.787
adulterated	adulterat	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	adulterju	0.120	0.922	0.510
adulthood	adulta	0.541	0.454	0.652
advance	bil-quddiem	0.673	0.472	0.858
advanced	avvanzat	0.844	0.623	0.797
advancement	avvanz	0.776	0.650	0.839
advancing	avvanz	0.929	0.608	0.812
advantage	vantaġġ	0.917	0.548	0.859
advantageous	vantaġġjuż	0.837	0.640	0.789
advent	il-miġja	0.665	0.560	0.627
adventure	avventura	0.917	0.857	0.710
adventurer	adventurer	0.781	0.839	0.868
adventures	avventuri	0.812	0.764	0.749
adventurous	avventuruża	0.969	0.898	0.722
adversary	avversarju	0.349	0.777	0.457
adverse	avversi	0.323	0.610	0.385
adversity	diffikultajiet	0.276	0.760	0.538
advertise	jirreklamaw	0.500	0.529	0.580
advertisement	reklam	0.600	0.566	0.539
advertising	reklamar	0.622	0.608	0.632
adverts	reklami	0.551	0.500	0.595
advice	pariri	0.698	0.408	0.688
advisable	rakkomandabbli	0.867	0.480	0.510
advise	avża	0.760	0.393	0.705
advised	avżat	0.823	0.330	0.509
advisement	parir	0.698	0.235	0.655
adviser	konsulent	0.745	0.362	0.705
advisor	konsulent	0.646	0.350	0.689
advisory	konsultattiv	0.656	0.429	0.633
advocacy	advocacy	0.500	0.646	0.731
advocate	avukat	0.551	0.530	0.818
aegis	patroċinju	0.490	0.439	0.462
aeration	arjazzjoni	0.550	0.500	0.433
aerial	ajru	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	ajrudrom	0.541	0.740	0.678
aerodynamic	aerodinamika	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronawtika	0.551	0.633	0.688
aeroplane	ajruplan	0.714	0.642	0.644
aerospace	aerospazjali	0.643	0.520	0.779
aesthetic	estetika	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etjoloġija	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	affari	0.520	0.459	0.657
affect	taffettwa	0.458	0.569	0.578
affecting	jaffettwa	0.350	0.574	0.394
affection	affezzjoni	0.898	0.559	0.696
affectionate	affettiva	0.949	0.422	0.550
affections	affetti	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	affiljati	0.673	0.519	0.535
affiliation	affiljazzjoni	0.615	0.594	0.500
affinity	affinità	0.800	0.500	0.537
affirm	jaffermaw	0.745	0.509	0.731
affirmation	affermazzjoni	0.750	0.500	0.689
affirmative	affermattiv	0.854	0.589	0.816
affirmatively	fl-affermattiv	0.908	0.500	0.811
affix	twaħħal	0.438	0.335	0.411
afflict	afflict	0.302	0.555	0.293
afflicted	milquta	0.271	0.500	0.167
affliction	affliction	0.294	0.635	0.392
affluence	ġid	0.663	0.618	0.722
affluent	sinjuri	0.756	0.388	0.477
afford	taffordja	0.571	0.580	0.575
affordable	affordabbli	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	lil hinn	0.594	0.370	0.373
afire	nifs	0.367	0.904	0.675
afloat	fil-wiċċ	0.602	0.427	0.444
afore	qabel	0.500	0.337	0.382
aforementioned	imsemmi hawn fuq	0.490	0.316	0.408
aforesaid	hawn fuq imsemmi	0.531	0.358	0.478
afraid	jibżgħu	0.010	0.775	0.245
afresh	mill-ġdid	0.643	0.521	0.480
african	Afrikan	0.490	0.423	0.555
aft	wara	0.480	0.417	0.518
afterlife	wara l-ħajja	0.571	0.567	0.568
aftermath	konsegwenzi	0.312	0.449	0.444
afternoon	wara nofsinhar	0.533	0.388	0.339
aftershave	wara aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	wara l-ħsibt	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	età	0.561	0.226	0.498
aged	età	0.135	0.365	0.236
agency	aġenzija	0.460	0.296	0.583
agenda	aġenda	0.531	0.296	0.553
agent	aġent	0.480	0.439	0.755
agglomeration	agglomerazzjoni	0.450	0.765	0.509
aggravate	taggrava	0.224	0.770	0.464
aggravated	aggravat	0.079	0.760	0.430
aggravates	taggrava	0.108	0.778	0.357
aggravating	aggravanti	0.257	0.794	0.640
aggravation	aggravament	0.071	0.784	0.613
aggregate	aggregat	0.730	0.378	0.556
aggregation	aggregazzjoni	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aggressjoni	0.094	0.929	0.533
aggressive	aggressiva	0.125	0.949	0.648
aggressively	aggressiv	0.250	0.926	0.688
aggressiveness	aggressività	0.077	0.913	0.648
aggressor	aggressur	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	b'aġilità	0.800	0.657	0.775
agility	b'aġilità	0.720	0.702	0.815
aging	tixjiħ	0.214	0.255	0.284
agitate	ħawwad	0.300	0.796	0.593
agitated	aġitat	0.444	0.882	0.491
agitation	aġitazzjoni	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostiku	0.306	0.396	0.574
ago	ilu	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agunija	0.083	0.775	0.393
agoraphobia	agorafobija	0.127	0.712	0.438
agree	jaqblu	0.906	0.260	0.545
agreeable	aċċettabbli	0.906	0.500	0.696
agreed	miftiehem	0.797	0.449	0.574
agreeing	qbil	0.854	0.480	0.557
agreement	ftehim	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrikoli	0.686	0.321	0.473
agriculture	agrikoltura	0.640	0.357	0.465
aground	inħawi	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	quddiem	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	għajnuna	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	għajnuna	0.643	0.533	0.569
aids	għajnuniet	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	mdgħajjef	0.094	0.518	0.153
ailment	marda	0.146	0.734	0.277
aim	jimmiraw	0.481	0.569	0.567
aimless	mingħajr għan	0.150	0.267	0.183
air	arja	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	fl-ajru	0.542	0.519	0.385
aircraft	ajruplani	0.646	0.644	0.691
aircraft carrier	trasportatur tal-ajruplani	0.490	0.740	0.727
airfield	ajruport	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	titjira bl-ajru	0.573	0.622	0.642
airline	linja ta 'l-ajru	0.650	0.482	0.688
airliner	ajruplan	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ajruplan	0.719	0.702	0.708
airport	ajruport	0.729	0.684	0.682
airs	ajru	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	l-ispazju ta 'l-ajru	0.562	0.510	0.640
airspeed	Veloċità tal-veloċità	0.583	0.780	0.544
airstrip	ajruplan	0.550	0.690	0.649
airtight	ma jgħaddix arja minnha	0.479	0.381	0.570
airway	passaġġ tan-nifs	0.638	0.585	0.482
aisle	nisel	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	simili	0.639	0.343	0.523
alabaster	alabastru	0.542	0.404	0.445
alarm	allarm	0.241	0.882	0.698
alarm clock	arloġġ ta 'allarm	0.542	0.727	0.642
alarmed	allarmat	0.188	0.822	0.492
alarming	allarmanti	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	Alchemy	0.541	0.583	0.693
alcohol	alkoħol	0.323	0.667	0.377
alcoholic	alkoħoliku	0.153	0.688	0.361
alcoholism	alkoħoliżmu	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	allert	0.479	0.820	0.648
alertness	viġilanza	0.375	0.875	0.750
alerts	allerti	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	alġebra	0.440	0.340	0.565
algebraic	alġebrin	0.531	0.412	0.441
algorithm	algoritmu	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	aljeni	0.410	0.615	0.491
alienate	aljenati	0.247	0.500	0.523
alienated	aljenati	0.410	0.423	0.559
alienation	aljenazzjoni	0.378	0.530	0.462
alight	mixgħul	0.667	0.657	0.605
align	allinjament	0.656	0.364	0.627
aligned	allinjat	0.583	0.275	0.553
alignment	allinjament	0.643	0.412	0.683
alike	bl-istess mod	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	manteniment	0.612	0.477	0.464
aliquot	alikwot	0.440	0.310	0.404
alive	ħaj	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkalojdi	0.433	0.562	0.402
allay	ittaffi	0.417	0.406	0.398
allegation	allegazzjoni	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	allegat	0.365	0.522	0.520
allegiance	lealtà	0.917	0.398	0.750
allegorical	allegoriku	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allerġiku	0.135	0.549	0.273
allergy	allerġija	0.296	0.606	0.389
alleviate	ittaffi	0.869	0.270	0.528
alleviation	it-taffija	0.735	0.200	0.491
alley	sqaq	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alleanza	0.696	0.473	0.769
allied	alleati	0.714	0.245	0.642
alligator	alligatur	0.354	0.704	0.645
allocate	talloka	0.673	0.462	0.672
allocation	allokazzjoni	0.604	0.388	0.679
allot	allok	0.622	0.481	0.616
allotment	allokazzjoni	0.600	0.390	0.640
allow	jippermettu	0.698	0.429	0.538
allowable	permissibbli	0.698	0.500	0.561
allowance	allowance	0.673	0.382	0.591
allowed	permess	0.730	0.360	0.655
alloy	liga	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	allużjoni	0.440	0.308	0.462
alluvial	alluvjali	0.323	0.490	0.491
ally	alleat	0.792	0.320	0.688
almanac	almanakk	0.688	0.190	0.412
almighty	omnipotenti	0.938	0.874	0.958
almond	lewż	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	waħdu	0.333	0.167	0.216
alongside	flimkien	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	b'leħen għoli	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetiku	0.537	0.296	0.535
alpine	alpini	0.594	0.337	0.474
alreadyyyyy	diġà	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	tifel ta 'l-artal	0.434	0.206	0.350
alter	tbiddel	0.333	0.694	0.654
alteration	alterazzjoni	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	mibdula	0.255	0.765	0.500
alternate	sostitut	0.625	0.363	0.589
alternating	jalterna	0.480	0.494	0.542
alternative	alternattiva	0.628	0.373	0.631
altimeter	altimetru	0.615	0.510	0.580
altitude	altitudni	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	għal kollox	0.833	0.324	0.644
aluminum	aluminju	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolari	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	amalgamazzjoni	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	dilettanti	0.469	0.500	0.409
amaze	amaze	0.896	0.843	0.783
amazed	étonné	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	b'dispjaċir	0.750	0.800	0.639
amazing	aqwa	0.906	0.837	0.849
amazingly	amazingly	0.918	0.765	0.920
ambassador	Ambaxxatur	0.651	0.529	0.917
amber	ambra	0.635	0.308	0.369
ambience	atmosfera	0.735	0.356	0.426
ambient	ambjent	0.625	0.360	0.582
ambiguity	ambigwità	0.164	0.460	0.370
ambiguous	ambigwu	0.265	0.462	0.358
ambit	Ambitu	0.479	0.380	0.386
ambition	ambizzjoni	0.510	0.804	0.661
ambitious	ambizzjuż	0.484	0.821	0.717
ambivalent	ambivalenti	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulanza	0.500	0.750	0.609
ambush	imbotta	0.281	0.830	0.500
ameliorate	ittejjeb	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenabbli	0.448	0.410	0.406
amend	temenda	0.688	0.406	0.658
amendment	emenda	0.531	0.459	0.606
amends	temenda	0.640	0.366	0.517
amenity	kumdità	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	amikevoli	0.875	0.330	0.507
amid	f'nofs	0.510	0.340	0.256
amidst	f'nofs	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	Ammo	0.323	0.765	0.621
ammonia	ammonja	0.292	0.587	0.409
ammonium	ammonju	0.354	0.396	0.368
ammunition	munizzjon	0.338	0.635	0.667
amnesia	amnesija	0.296	0.330	0.308
amnesty	amnestija	0.551	0.451	0.814
amorous	amoruż	0.844	0.670	0.636
amorphous	amorfu	0.327	0.402	0.349
amortization	amortizzazzjoni	0.592	0.491	0.522
amount	ammont	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamini	0.133	0.667	0.526
amphibian	anfibju	0.427	0.357	0.474
amphibious	anfibji	0.479	0.346	0.445
amphitheater	amfiteatru	0.653	0.480	0.545
ample	abbundanti	0.744	0.349	0.719
amplification	amplifikazzjoni	0.690	0.677	0.810
amplify	amplifikazzjoni	0.677	0.735	0.827
amplitude	amplitudni	0.694	0.439	0.692
amply	b'mod sħiħ	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputazzjoni	0.100	0.755	0.483
amuck	Amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	amuse	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	divertiment	0.929	0.837	0.803
amusing	divertenti	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestesija	0.350	0.217	0.473
anaesthetic	anestetiku	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anali	0.333	0.798	0.334
analgesic	analġeżiku	0.417	0.321	0.441
