Word	Kyrgyz-ky	Valence	Arousal	Dominance
addressee	дареги	0.622	0.382	0.538
addresses	даректери	0.510	0.354	0.450
adept	жакшыраак	0.594	0.539	0.789
adequacy	шайкештиги	0.615	0.435	0.702
adequate	шайкеш	0.854	0.264	0.705
adhere	карманышат	0.633	0.339	0.554
adherence	сактоо	0.760	0.307	0.630
adherent	жактоочу	0.561	0.385	0.555
adhering	кармануу	0.612	0.561	0.537
adhesion	адгезия	0.521	0.445	0.586
adhesive	жабышчаак	0.604	0.350	0.413
adieu	кош	0.250	0.471	0.342
adipose	Майлуу	0.333	0.350	0.391
adjacency	жакындык	0.365	0.417	0.375
adjacent	жакынкы	0.645	0.276	0.536
adjective	сын атооч	0.570	0.316	0.569
adjoining	жайгашкан	0.520	0.400	0.393
adjourn	убактысын узартуу	0.385	0.456	0.475
adjournment	токтотуп	0.438	0.510	0.370
adjudicate	мыйзым	0.559	0.520	0.683
adjudication	чечими	0.551	0.462	0.691
adjunct	иши	0.459	0.440	0.426
adjust	тууралоо	0.647	0.327	0.638
adjuster	кураштыруучу	0.510	0.540	0.760
adjustment	тууралоо	0.590	0.520	0.661
adjuvant	ракта	0.510	0.500	0.456
admin	админ	0.688	0.420	0.854
administer	башкаруу	0.635	0.425	0.860
administration	башкаруу	0.625	0.404	0.786
administrative	башкаруу	0.542	0.415	0.579
administrator	администратор	0.538	0.480	0.902
admirable	укмуштуу	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	Бакенбардами	0.594	0.547	0.733
admiration	суктануу	0.969	0.583	0.726
admire	суктануу	0.867	0.692	0.704
admired	сыйлуу	0.917	0.560	0.815
admirer	суктанганын	0.796	0.720	0.650
admiring	кошоматчылык	0.867	0.578	0.629
admissibility	алгылыктуулугу	0.802	0.580	0.602
admissible	кылууга мүмкүн	0.780	0.528	0.642
admission	кабыл алуу	0.802	0.415	0.732
admit	кабыл алуу	0.538	0.423	0.667
admittance	кирүү / жакындоо	0.690	0.451	0.598
admitted	мойнуна алды	0.720	0.490	0.767
admitting	кабыл алуу	0.620	0.500	0.546
admixture	көмүүнүн	0.450	0.375	0.438
admonition	эскертүү	0.357	0.606	0.455
ado	Майкл Меред	0.520	0.423	0.385
adobe	Текшерүү	0.500	0.319	0.328
adolescence	жаштык	0.487	0.694	0.444
adolescent	жаш аял	0.781	0.680	0.509
adopt	кабыл алуу	0.694	0.612	0.701
adoption	кабыл алуу	0.625	0.566	0.589
adoptive	асырап алган	0.531	0.469	0.520
adorable	укмуштуу	0.969	0.519	0.457
adoration	болушу	0.885	0.699	0.708
adore	жакшы көрүү	0.854	0.438	0.657
adoring	кастарлоо	0.885	0.620	0.717
adorn	кооздоо	0.910	0.424	0.482
adornment	кооздук	0.918	0.373	0.377
adrenalin	Адреналин	0.865	0.920	0.786
adrenaline	адреналин	0.765	0.965	0.825
adrift	агым менен	0.398	0.486	0.230
adult	бойго жеткен	0.815	0.491	0.787
adulterated	бузулган	0.188	0.865	0.370
adulterer	адам	0.229	0.814	0.407
adultery	ойноштук	0.120	0.922	0.510
adulthood	бойго жеткен	0.541	0.454	0.652
advance	жогору жылуу	0.673	0.472	0.858
advanced	алдынкы	0.844	0.623	0.797
advancement	алдылоо	0.776	0.650	0.839
advancing	алга	0.929	0.608	0.812
advantage	артыкчылык	0.917	0.548	0.859
advantageous	пайдалуу	0.837	0.640	0.789
advent	келүү	0.665	0.560	0.627
adventure	тобокел	0.917	0.857	0.710
adventurer	шылуун аял	0.781	0.839	0.868
adventures	укмуштуу окуялар	0.812	0.764	0.749
adventurous	окуялуу	0.969	0.898	0.722
adversary	теңтайлашуучу	0.349	0.777	0.457
adverse	зыян	0.323	0.610	0.385
adversity	Кырсык	0.276	0.760	0.538
advertise	рекламалоо	0.500	0.529	0.580
advertisement	реклама	0.600	0.566	0.539
advertising	рекламалоо	0.622	0.608	0.632
adverts	Кулактандыруулар	0.551	0.500	0.595
advice	кенеш	0.698	0.408	0.688
advisable	кааларлык	0.867	0.480	0.510
advise	кеңеш берүү	0.760	0.393	0.705
advised	сунушталат	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	кеңешчи аял	0.745	0.362	0.705
advisor	арачысы	0.646	0.350	0.689
advisory	Чечүүчү	0.656	0.429	0.633
advocacy	укук коргоо	0.500	0.646	0.731
advocate	коргоо	0.551	0.530	0.818
aegis	элеси	0.490	0.439	0.462
aeration	тундургуч,	0.550	0.500	0.433
aerial	аба	0.615	0.461	0.463
aerobics	аэробика	0.708	0.771	0.627
aerodrome	перрондун	0.541	0.740	0.678
aerodynamic	аэродинамикалык	0.561	0.724	0.728
aerodynamics	Аэродинамика	0.590	0.663	0.722
aeronautics	учуусундагы	0.551	0.633	0.688
aeroplane	учак	0.714	0.642	0.644
aerospace	Космостогу	0.643	0.520	0.779
aesthetic	эстетикалык	0.708	0.442	0.526
aesthetics	эстетика	0.847	0.327	0.549
aetiology	Этиология	0.480	0.398	0.615
afar	алыстан	0.396	0.373	0.358
affable	адамгерчиликтүү	0.704	0.380	0.452
affair	иш	0.520	0.459	0.657
affect	таасир	0.458	0.569	0.578
affecting	таасир	0.350	0.574	0.394
affection	көнүп алгандык	0.898	0.559	0.696
affectionate	илбериңки	0.949	0.422	0.550
affections	сезимдери	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	жазма көрсөтүүлөр	0.469	0.584	0.526
affiliated	туунду	0.673	0.519	0.535
affiliation	таандык	0.615	0.594	0.500
affinity	Оррулуунун	0.800	0.500	0.537
affirm	ырастоо	0.745	0.509	0.731
affirmation	сүйүнүү	0.750	0.500	0.689
affirmative	ырастаган	0.854	0.589	0.816
affirmatively	ооба	0.908	0.500	0.811
affix	бириктирүү	0.438	0.335	0.411
afflict	тынчын алуу	0.302	0.555	0.293
afflicted	азап	0.271	0.500	0.167
affliction	жамандык	0.294	0.635	0.392
affluence	байлык	0.663	0.618	0.722
affluent	агылган	0.756	0.388	0.477
afford	мүмкүндүк алуу	0.571	0.580	0.575
affordable	жеткиликтүү	0.840	0.398	0.493
affront	муунткан	0.327	0.740	0.547
affronted	нааразылыкты	0.385	0.750	0.527
afield	аймактарды	0.594	0.370	0.373
afire	өчпөй	0.367	0.904	0.675
afloat	сүзмө	0.602	0.427	0.444
afore	мурун	0.500	0.337	0.382
aforementioned	жогоруда	0.490	0.316	0.408
aforesaid	жогоруда	0.531	0.358	0.478
afraid	коркуп	0.010	0.775	0.245
afresh	кайрадан	0.643	0.521	0.480
african	африкалык	0.490	0.423	0.555
aft	келатат	0.480	0.417	0.518
afterlife	Акырет	0.571	0.567	0.568
aftermath	кесепеттери	0.312	0.449	0.444
afternoon	түштөн кийинки мезгил	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	даам	0.354	0.362	0.455
afterthought	токтой калып	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	агапи	0.612	0.529	0.464
agate	агат	0.540	0.377	0.483
age	жашы	0.561	0.226	0.498
aged	жаштагы	0.135	0.365	0.236
agency	агентство	0.460	0.296	0.583
agenda	күн тартиби	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	Шаарчанын	0.450	0.765	0.509
aggravate	күчөтүү	0.224	0.770	0.464
aggravated	татаалданып	0.079	0.760	0.430
aggravates	күчөшүнө негиз	0.108	0.778	0.357
aggravating	оордогон	0.257	0.794	0.640
aggravation	оордоо	0.071	0.784	0.613
aggregate	чогуу алгандагы	0.730	0.378	0.556
aggregation	бириктирүү	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агрессия	0.094	0.929	0.533
aggressive	агрессивдүү	0.125	0.949	0.648
aggressively	душмандык	0.250	0.926	0.688
aggressiveness	ачууга	0.077	0.913	0.648
aggressor	агрессор	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	үрөйү	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ийкемдүү	0.800	0.657	0.775
agility	жөндөмдүүлүк	0.720	0.702	0.815
aging	каруу	0.214	0.255	0.284
agitate	агитациялоо	0.300	0.796	0.593
agitated	Тынчым	0.444	0.882	0.491
agitation	үгүт	0.240	0.931	0.447
aglow	жалындоо	0.780	0.510	0.797
agnostic	агностик	0.306	0.396	0.574
ago	мурда	0.317	0.280	0.404
agonizing	азаптуу	0.083	0.800	0.340
agony	катуу оору	0.083	0.775	0.393
agoraphobia	электрондук	0.127	0.712	0.438
agree	макул	0.906	0.260	0.545
agreeable	алгылыктуу	0.906	0.500	0.696
agreed	макулдашылган	0.797	0.449	0.574
agreeing	макул	0.854	0.480	0.557
agreement	макулдук	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	айыл чарбалык	0.686	0.321	0.473
agriculture	айыл чарба	0.640	0.357	0.465
aground	кумга	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	алдыда	0.708	0.520	0.673
ahhh	экобуз	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoy	0.500	0.497	0.380
aid	жардам	0.796	0.491	0.541
aide	жардамчы аял	0.724	0.342	0.434
aiding	жардам	0.643	0.533	0.569
aids	СПИД	0.561	0.480	0.500
ail	калк жашаган пункттар, айылдык	0.375	0.434	0.385
ailing	ооруп	0.094	0.518	0.153
ailment	оору	0.146	0.734	0.277
aim	максат	0.481	0.569	0.567
aimless	максатсыз	0.150	0.267	0.183
air	аба	0.708	0.163	0.427
airbag	алып баруучулар	0.510	0.402	0.433
airborne	борт	0.542	0.519	0.385
aircraft	самолет	0.646	0.644	0.691
aircraft carrier	учак конуучу кемеси	0.490	0.740	0.727
airfield	учуш	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	аба менен жүк ташуу	0.573	0.622	0.642
airline	аба жолу	0.650	0.482	0.688
airliner	учагында	0.667	0.777	0.647
airlock	аба кулпу	0.398	0.520	0.447
airman	аскер	0.587	0.716	0.721
airplane	учак	0.719	0.702	0.708
airport	аэропорт	0.729	0.684	0.682
airs	болуучу	0.583	0.196	0.370
airship	отуна	0.542	0.472	0.529
airspace	аба мейкиндигин	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	тейлоо	0.550	0.690	0.649
airtight	желдетилчү	0.479	0.381	0.570
airway	дем	0.638	0.585	0.482
aisle	катарлар ортосунан өтмө	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ака	0.459	0.358	0.351
akin	сыяктуу	0.639	0.343	0.523
alabaster	айнек идишке куюлган	0.542	0.404	0.445
alarm	согуштук тревога	0.241	0.882	0.698
alarm clock	ойготкуч саат	0.542	0.727	0.642
alarmed	учту	0.188	0.822	0.492
alarming	ойлонткон	0.204	0.890	0.585
alas	кайгы	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	курсор	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	альбом	0.635	0.349	0.453
alchemy	Alchemy	0.541	0.583	0.693
alcohol	алкоголь	0.323	0.667	0.377
alcoholic	алкоголдук	0.153	0.688	0.361
alcoholism	алкоголизм	0.061	0.779	0.407
alcove	комната	0.490	0.340	0.356
alderman	аксакал	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	сак	0.479	0.820	0.648
alertness	баамчылдык	0.375	0.875	0.750
alerts	эскертме	0.337	0.804	0.673
alfalfa	беде	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебралык	0.531	0.412	0.441
algorithm	алгоритми	0.448	0.394	0.559
alias	жашыруун ысымы	0.541	0.353	0.333
alibi	актыгы жөнүндө далил	0.396	0.528	0.556
alien	келгин	0.410	0.615	0.491
alienate	ээликтен ажыратуу	0.247	0.500	0.523
alienated	алыстаган	0.410	0.423	0.559
alienation	ээликтен ажыратуу	0.378	0.530	0.462
alight	түшүү	0.667	0.657	0.605
align	катарга түздөнүү	0.656	0.364	0.627
aligned	түздөтүлгөн	0.583	0.275	0.553
alignment	тегиздөө	0.643	0.412	0.683
alike	бирдей	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	алимент	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	жандуу	0.816	0.637	0.731
alkali	калийдүү талаа	0.490	0.350	0.408
alkaloids	алкалоиддери	0.433	0.562	0.402
allay	жумшартууга	0.417	0.406	0.398
allegation	үн берүү	0.578	0.578	0.608
allege	далилдөө	0.418	0.482	0.587
alleged	бузулду	0.365	0.522	0.520
allegiance	берилгендик	0.917	0.398	0.750
allegorical	аллегориялык	0.517	0.558	0.598
allegory	жомок	0.615	0.580	0.509
allegro	Allegro	0.635	0.627	0.453
allergic	аллергиялык	0.135	0.549	0.273
allergy	аллергия	0.296	0.606	0.389
alleviate	кыскартуу	0.869	0.270	0.528
alleviation	Кыргызстандын стратегиялык ресурсу	0.735	0.200	0.491
alley	аллея	0.347	0.500	0.355
alleyway	т.к.	0.357	0.471	0.382
alliance	биримдик	0.696	0.473	0.769
allied	жакынкы	0.714	0.245	0.642
alligator	аллигатор	0.354	0.704	0.645
allocate	бөлүштүрүү	0.673	0.462	0.672
allocation	бөлүштүрүү	0.604	0.388	0.679
allot	дайындоо	0.622	0.481	0.616
allotment	бөлүштүрүү	0.600	0.390	0.640
allow	уруксат берүү	0.698	0.429	0.538
allowable	жол	0.698	0.500	0.561
allowance	уруксат	0.673	0.382	0.591
allowed	жол	0.730	0.360	0.655
alloy	эритме	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	катыштыруу	0.804	0.585	0.686
alluring	түркүн түстүү	0.837	0.745	0.843
allusion	жазу	0.440	0.308	0.462
alluvial	аралашкан	0.323	0.490	0.491
ally	дос	0.792	0.320	0.688
almanac	Буга	0.688	0.190	0.412
almighty	кудуреттүү	0.938	0.874	0.958
almond	бадам	0.698	0.183	0.314
aloft	көтөрдү	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	жалгыз	0.333	0.167	0.216
alongside	менен бирге	0.458	0.333	0.347
aloof	алыс	0.189	0.423	0.302
aloud	үн	0.458	0.713	0.750
alpha	Alpha	0.708	0.340	0.755
alphabet	алфавит	0.562	0.204	0.672
alphabetical	алфавиттик	0.537	0.296	0.535
alpine	бийик тоолуу	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	курмандык чалынуучу жай	0.724	0.387	0.635
altar boy	Курмандык чалынуучу жай бала	0.434	0.206	0.350
alter	өзгөртүү	0.333	0.694	0.654
alteration	өзгөртүү	0.167	0.798	0.609
altercation	үнүн көтөрбөйт	0.170	0.806	0.500
altered	өзгөртүлөт	0.255	0.765	0.500
alternate	альтернативалуу	0.625	0.363	0.589
alternating	өзгөрүүчү	0.480	0.494	0.542
alternative	альтернатива	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	бийиктик	0.708	0.482	0.736
alto	Alto	0.656	0.404	0.730
altogether	бүтүндөй	0.833	0.324	0.644
aluminum	алюминий	0.449	0.280	0.434
alumnus	бүтүрүүчүсү	0.633	0.368	0.422
alveolar	кетет	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	аралашмасы	0.438	0.333	0.510
amalgamation	жактардын мүчөлүгүнүн,	0.406	0.470	0.531
amaretto	амаретто	0.543	0.551	0.375
amass	топтойт	0.552	0.465	0.465
amateur	жактыруучу аял	0.469	0.500	0.409
amaze	таң калтыруу	0.896	0.843	0.783
amazed	айран	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	тац калуу	0.750	0.800	0.639
amazing	таң калаарлык	0.906	0.837	0.849
amazingly	өзгөчө	0.918	0.765	0.920
ambassador	элчи	0.651	0.529	0.917
amber	янтарь	0.635	0.308	0.369
ambience	чөйрө	0.735	0.356	0.426
ambient	чачырама	0.625	0.360	0.582
ambiguity	так эместиктер	0.164	0.460	0.370
ambiguous	кылка	0.265	0.462	0.358
ambit	Бул атка ээ	0.479	0.380	0.386
ambition	мансапкордук	0.510	0.804	0.661
ambitious	мансапкор	0.484	0.821	0.717
ambivalent	эки анжы ойдо	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	тез жардам	0.500	0.750	0.609
ambush	буктурма	0.281	0.830	0.500
ameliorate	кайрадан	0.770	0.548	0.747
amen	Оомийин!	0.781	0.182	0.542
amenable	жоопкерчилиги	0.448	0.410	0.406
amend	оңдоо	0.688	0.406	0.658
amendment	толуктоо	0.531	0.459	0.606
amends	келтирилген зыянды	0.640	0.366	0.517
amenity	үстүбүздө	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	каткы	0.847	0.290	0.483
amicable	достук	0.875	0.330	0.507
amid	алкагында	0.510	0.340	0.256
amidst	арасына	0.480	0.330	0.316
amino	амино	0.551	0.402	0.433
ammo	Ammo	0.323	0.765	0.621
ammonia	аммиак	0.292	0.587	0.409
ammonium	аммоний	0.354	0.396	0.368
ammunition	ок-дары	0.338	0.635	0.667
amnesia	амнезия	0.296	0.330	0.308
amnesty	кечирим	0.551	0.451	0.814
amorous	наздануу	0.844	0.670	0.636
amorphous	натыйжасыз	0.327	0.402	0.349
amortization	тындыруу	0.592	0.491	0.522
amount	суммасы	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	кусым	0.439	0.393	0.375
ampersand	амперсант	0.480	0.448	0.483
amphetamines	Amphetamines	0.133	0.667	0.526
amphibian	сууда	0.427	0.357	0.474
amphibious	орустардын	0.479	0.346	0.445
amphitheater	Асиядагы	0.653	0.480	0.545
ample	жетишкен	0.744	0.349	0.719
amplification	ампер	0.690	0.677	0.810
