Word	Georgian-ka	Valence	Arousal	Dominance
added	დამატებული	0.562	0.405	0.509
addendum	დანამატი	0.392	0.370	0.418
adder	დამტენი	0.388	0.461	0.588
addict	დამოკიდებული	0.075	0.696	0.327
addicted	ნარკომანი	0.156	0.712	0.483
addiction	დამოკიდებულება	0.180	0.806	0.420
addictive	ნარკოტიკული	0.302	0.683	0.472
addition	გარდა ამისა	0.562	0.373	0.471
additional	დამატებითი	0.673	0.462	0.526
additive	დანამატი	0.561	0.633	0.691
address	მისამართი	0.650	0.327	0.567
addressee	ადრესატი	0.622	0.382	0.538
addresses	მისამართები	0.510	0.354	0.450
adept	კომპეტენტური	0.594	0.539	0.789
adequacy	ადეკვატურობა	0.615	0.435	0.702
adequate	ადეკვატური	0.854	0.264	0.705
adhere	ვიცავ	0.633	0.339	0.554
adherence	ერთგულება	0.760	0.307	0.630
adherent	თანმიმდევრული	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	გადაბარება	0.521	0.445	0.586
adhesive	წებოვანი	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	მიმდევრობა	0.365	0.417	0.375
adjacent	მიმდებარე	0.645	0.276	0.536
adjective	ზედსართავი სახელი	0.570	0.316	0.569
adjoining	მიმდებარე	0.520	0.400	0.393
adjourn	გადაუდებელი	0.385	0.456	0.475
adjournment	გადადება	0.438	0.510	0.370
adjudicate	გადაწყვეტილების მიღება	0.559	0.520	0.683
adjudication	საქმის განხილვა	0.551	0.462	0.691
adjunct	დამხმარე	0.459	0.440	0.426
adjust	შეცვალოს	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	კორექტირება	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	ადმინისტრირება	0.635	0.425	0.860
administration	ადმინისტრაცია	0.625	0.404	0.786
administrative	ადმინისტრაციული	0.542	0.415	0.579
administrator	ადმინისტრატორი	0.538	0.480	0.902
admirable	შესანიშნავი	0.929	0.600	0.870
admiral	ადმირალი	0.844	0.490	0.847
admiralty	ადმირალი	0.594	0.547	0.733
admiration	აღფრთოვანება	0.969	0.583	0.726
admire	აღფრთოვანებული ვარ	0.867	0.692	0.704
admired	აღფრთოვანებული	0.917	0.560	0.815
admirer	თაყვანისმცემელი	0.796	0.720	0.650
admiring	გამოვხატო	0.867	0.578	0.629
admissibility	დასაშვებობა	0.802	0.580	0.602
admissible	დასაშვებად	0.780	0.528	0.642
admission	მიღება	0.802	0.415	0.732
admit	აღიარება	0.538	0.423	0.667
admittance	მიღება	0.690	0.451	0.598
admitted	აღიარა	0.720	0.490	0.767
admitting	აღიარება	0.620	0.500	0.546
admixture	თანხმობა	0.450	0.375	0.438
admonition	გაფრთხილება	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	მოზარდი	0.487	0.694	0.444
adolescent	მოზარდი	0.781	0.680	0.509
adopt	მიიღოს	0.694	0.612	0.701
adoption	მიღება	0.625	0.566	0.589
adoptive	შვილად აყვანა	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	თაყვანისცემა	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	სამკაული	0.918	0.373	0.377
adrenalin	ადრენალინი	0.865	0.920	0.786
adrenaline	ადრენალინი	0.765	0.965	0.825
adrift	მიდრეკილება	0.398	0.486	0.230
adult	ზრდასრული	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	მრჩეველი	0.229	0.814	0.407
adultery	მრუშობა	0.120	0.922	0.510
adulthood	სრულწლოვანებამდე	0.541	0.454	0.652
advance	წინსვლა	0.673	0.472	0.858
advanced	მოწინავე	0.844	0.623	0.797
advancement	წინსვლა	0.776	0.650	0.839
advancing	მიიწევს	0.929	0.608	0.812
advantage	უპირატესობა	0.917	0.548	0.859
advantageous	ხელსაყრელი	0.837	0.640	0.789
advent	სამყარო	0.665	0.560	0.627
adventure	სათავგადასავლო	0.917	0.857	0.710
adventurer	ავანტიურისტი	0.781	0.839	0.868
adventures	თავგადასავლები	0.812	0.764	0.749
adventurous	თავგადასავალი	0.969	0.898	0.722
adversary	მოწინააღმდეგე	0.349	0.777	0.457
adverse	უარყოფითი	0.323	0.610	0.385
adversity	უბედურება	0.276	0.760	0.538
advertise	რეკლამა	0.500	0.529	0.580
advertisement	რეკლამა	0.600	0.566	0.539
advertising	სარეკლამო	0.622	0.608	0.632
adverts	რეკლამები	0.551	0.500	0.595
advice	რჩევა	0.698	0.408	0.688
advisable	სასურველია	0.867	0.480	0.510
advise	რჩევა	0.760	0.393	0.705
advised	ურჩია	0.823	0.330	0.509
advisement	საკონსულტაციო	0.698	0.235	0.655
adviser	მრჩეველი	0.745	0.362	0.705
advisor	მრჩეველი	0.646	0.350	0.689
advisory	საკონსულტაციო	0.656	0.429	0.633
advocacy	ადვოკატირება	0.500	0.646	0.731
advocate	ადვოკატი	0.551	0.530	0.818
aegis	ეგზი	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	საჰაერო	0.615	0.461	0.463
aerobics	აერობიკა	0.708	0.771	0.627
aerodrome	აეროდრომი	0.541	0.740	0.678
aerodynamic	აეროდინამიკური	0.561	0.724	0.728
aerodynamics	აეროდინამიკა	0.590	0.663	0.722
aeronautics	აერონავტიკა	0.551	0.633	0.688
aeroplane	თვითმფრინავი	0.714	0.642	0.644
aerospace	კოსმოსური	0.643	0.520	0.779
aesthetic	ესთეტიური	0.708	0.442	0.526
aesthetics	ესთეტიკას	0.847	0.327	0.549
aetiology	ეტიოლოგია	0.480	0.398	0.615
afar	შორიდან	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	საქმე	0.520	0.459	0.657
affect	აფექტი	0.458	0.569	0.578
affecting	გავლენას ახდენს	0.350	0.574	0.394
affection	სითბო	0.898	0.559	0.696
affectionate	მოსიყვარულეა	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	ასიგნება	0.469	0.584	0.526
affiliated	შვილობილი	0.673	0.519	0.535
affiliation	კუთვნილება	0.615	0.594	0.500
affinity	affinity	0.800	0.500	0.537
affirm	დაადასტუროთ	0.745	0.509	0.731
affirmation	დამტკიცება	0.750	0.500	0.689
affirmative	დადებითი	0.854	0.589	0.816
affirmatively	დამტკიცებულად	0.908	0.500	0.811
affix	ა	0.438	0.335	0.411
afflict	აწუხებს	0.302	0.555	0.293
afflicted	დაზარალებული	0.271	0.500	0.167
affliction	სენია	0.294	0.635	0.392
affluence	სიმდიდრე	0.663	0.618	0.722
affluent	affluent	0.756	0.388	0.477
afford	ახერხებს	0.571	0.580	0.575
affordable	ხელმისაწვდომი	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	ცეცხლი	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	ადრე	0.500	0.337	0.382
aforementioned	აღნიშნული	0.490	0.316	0.408
aforesaid	აღნიშნულია	0.531	0.358	0.478
afraid	შეშინებული	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	აფრიკა	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	სავანე	0.571	0.567	0.568
aftermath	შემდგომ	0.312	0.449	0.444
afternoon	დღის მეორე ნახევარში	0.533	0.388	0.339
aftershave	გაპარსვის შემდეგ	0.406	0.384	0.415
aftertaste	გემო	0.354	0.362	0.455
afterthought	შემდგომში	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	ალეპე	0.612	0.529	0.464
agate	აქატი	0.540	0.377	0.483
age	ასაკი	0.561	0.226	0.498
aged	ასაკის	0.135	0.365	0.236
agency	სააგენტო	0.460	0.296	0.583
agenda	დღის წესრიგი	0.531	0.296	0.553
agent	აგენტი	0.480	0.439	0.755
agglomeration	აგლომერაცია	0.450	0.765	0.509
aggravate	გამწვავება	0.224	0.770	0.464
aggravated	გამწვავდა	0.079	0.760	0.430
aggravates	დამამძიმებს	0.108	0.778	0.357
aggravating	დამამძიმებელი	0.257	0.794	0.640
aggravation	გამწვავება	0.071	0.784	0.613
aggregate	აგრეგატი	0.730	0.378	0.556
aggregation	აგრეგაცია	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	აგრესია	0.094	0.929	0.533
aggressive	აგრესიული	0.125	0.949	0.648
aggressively	აგრესიულად	0.250	0.926	0.688
aggressiveness	აგრესიულობა	0.077	0.913	0.648
aggressor	აგრესორი	0.146	0.948	0.823
agh	აგჰ	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	სწრაფი	0.800	0.657	0.775
agility	სისწრაფე	0.720	0.702	0.815
aging	დაძველება	0.214	0.255	0.284
agitate	აგიტაცია	0.300	0.796	0.593
agitated	წყნარად	0.444	0.882	0.491
agitation	აგიტაცია	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	აგნოსტიკი	0.306	0.396	0.574
ago	წინ	0.317	0.280	0.404
agonizing	აწუხებს	0.083	0.800	0.340
agony	აგონია	0.083	0.775	0.393
agoraphobia	აგოროფობია	0.127	0.712	0.438
agree	ვეთანხმები	0.906	0.260	0.545
agreeable	სასიამოვნო	0.906	0.500	0.696
agreed	შეთანხმდნენ	0.797	0.449	0.574
agreeing	დათანხმება	0.854	0.480	0.557
agreement	შეთანხმება	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	სოფლის მეურნეობა	0.686	0.321	0.473
agriculture	სოფლის მეურნეობა	0.640	0.357	0.465
aground	აგრო	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	წინ	0.708	0.520	0.673
ahhh	აჰჰჰ	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	დახმარება	0.796	0.491	0.541
aide	თანაშემწე	0.724	0.342	0.434
aiding	დახმარება	0.643	0.533	0.569
aids	შიდსის	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ავადმყოფი	0.094	0.518	0.153
ailment	ailment	0.146	0.734	0.277
aim	მიზნად	0.481	0.569	0.567
aimless	მიზანმიმართული	0.150	0.267	0.183
air	საჰაერო	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	სადესანტო	0.542	0.519	0.385
aircraft	თვითმფრინავი	0.646	0.644	0.691
aircraft carrier	თვითმფრინავის გადამზიდავი	0.490	0.740	0.727
airfield	აეროდრომი	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	ავიაკომპანია	0.650	0.482	0.688
airliner	საჰაერო ხომალდი	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	თვითმფრინავი	0.719	0.702	0.708
airport	აეროპორტი	0.729	0.684	0.682
airs	გადის	0.583	0.196	0.370
airship	აეროპორტი	0.542	0.472	0.529
airspace	საჰაერო სივრცე	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	საჰაერო გზა	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	აკა	0.459	0.358	0.351
akin	მსგავსი	0.639	0.343	0.523
alabaster	ანბანი	0.542	0.404	0.445
alarm	სიგნალიზაცია	0.241	0.882	0.698
alarm clock	მაღვიძარა	0.542	0.727	0.642
alarmed	შეაშფოთა	0.188	0.822	0.492
alarming	საგანგაშო	0.204	0.890	0.585
alas	სამწუხაროდ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	ალბატროსი	0.500	0.445	0.527
albino	ალბინო	0.500	0.240	0.358
album	ალბომი	0.635	0.349	0.453
alchemy	ალქიმია	0.541	0.583	0.693
alcohol	ალკოჰოლი	0.323	0.667	0.377
alcoholic	ალკოჰოლური	0.153	0.688	0.361
alcoholism	ალკოჰოლიზმი	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	ალდერმანი	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	გაფრთხილება	0.479	0.820	0.648
alertness	სიფხიზლე	0.375	0.875	0.750
alerts	შეტყობინებები	0.337	0.804	0.673
alfalfa	ალფაფა	0.546	0.250	0.311
algebra	ალგებრა	0.440	0.340	0.565
algebraic	ალგებრული	0.531	0.412	0.441
algorithm	ალგორითმი	0.448	0.394	0.559
alias	ანა	0.541	0.353	0.333
alibi	ალიბი	0.396	0.528	0.556
alien	უცხოა	0.410	0.615	0.491
alienate	გასხვისება	0.247	0.500	0.523
alienated	გაუცხოებული	0.410	0.423	0.559
alienation	გასხვისება	0.378	0.530	0.462
alight	სხვაგან	0.667	0.657	0.605
align	გასწორება	0.656	0.364	0.627
aligned	შეესაბამება	0.583	0.275	0.553
alignment	განვიხილეთ	0.643	0.412	0.683
alike	მსგავსად	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ალიმენტი	0.612	0.477	0.464
aliquot	ალკოტი	0.440	0.310	0.404
alive	ცოცხალია	0.816	0.637	0.731
alkali	ტუტე	0.490	0.350	0.408
alkaloids	ალკალოიდები	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	ბრალდება	0.578	0.578	0.608
allege	აცხადებს	0.418	0.482	0.587
alleged	სავარაუდოდ	0.365	0.522	0.520
allegiance	ერთგულება	0.917	0.398	0.750
allegorical	ალეგორიული	0.517	0.558	0.598
allegory	ალეგორია	0.615	0.580	0.509
allegro	ალეგრო	0.635	0.627	0.453
allergic	ალერგიული	0.135	0.549	0.273
allergy	ალერგია	0.296	0.606	0.389
alleviate	შემსუბუქება	0.869	0.270	0.528
alleviation	შემსუბუქება	0.735	0.200	0.491
alley	ხეივანი	0.347	0.500	0.355
alleyway	ხომალდი	0.357	0.471	0.382
alliance	ალიანსი	0.696	0.473	0.769
allied	მოკავშირე	0.714	0.245	0.642
alligator	ალიგატორი	0.354	0.704	0.645
allocate	გამოყოფა	0.673	0.462	0.672
allocation	განაწილება	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	გამოყოფა	0.600	0.390	0.640
allow	დაუშვებელია	0.698	0.429	0.538
allowable	დასაშვებია	0.698	0.500	0.561
allowance	შემწეობა	0.673	0.382	0.591
allowed	ნებადართულია	0.730	0.360	0.655
alloy	დისკები	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	მიმზიდველი	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	ალუვიური	0.323	0.490	0.491
ally	მოკავშირე	0.792	0.320	0.688
almanac	ალმანაკი	0.688	0.190	0.412
almighty	ყოვლისშემძლე	0.938	0.874	0.958
almond	ნუშის	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	ალოა	0.698	0.440	0.441
alone	მარტო	0.333	0.167	0.216
alongside	ერთად	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	ხმამაღლა	0.458	0.713	0.750
alpha	ალფა	0.708	0.340	0.755
alphabet	ანბანი	0.562	0.204	0.672
alphabetical	ანბანური	0.537	0.296	0.535
alpine	ალპური	0.594	0.337	0.474
alreadyyyyy	უკვე არის	0.592	0.717	0.351
altar	სამსხვერპლო	0.724	0.387	0.635
altar boy	სამსხვერპლო ბიჭი	0.434	0.206	0.350
alter	შეცვალოს	0.333	0.694	0.654
alteration	შეცდომა	0.167	0.798	0.609
altercation	შეცდომა	0.170	0.806	0.500
altered	შეცვლილი	0.255	0.765	0.500
alternate	ალტერნატიული	0.625	0.363	0.589
alternating	ალტერნატივა	0.480	0.494	0.542
alternative	ალტერნატივა	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	სიმაღლე	0.708	0.482	0.736
alto	ალტო	0.656	0.404	0.730
altogether	საერთოდ	0.833	0.324	0.644
aluminum	ალუმინის	0.449	0.280	0.434
alumnus	კურსდამთავრებულები	0.633	0.368	0.422
alveolar	ალვეოლარი	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	ამალგამაცია	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	სამოყვარულო	0.469	0.500	0.409
amaze	გაოცებული	0.896	0.843	0.783
amazed	გაოცებული	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	გაოცება	0.750	0.800	0.639
amazing	საოცარი	0.906	0.837	0.849
amazingly	საოცრად	0.918	0.765	0.920
ambassador	ელჩი	0.651	0.529	0.917
amber	ქარვა	0.635	0.308	0.369
ambience	ატმოსფერო	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	გაურკვევლობა	0.164	0.460	0.370
ambiguous	ორაზროვანი	0.265	0.462	0.358
ambit	ამბიცია	0.479	0.380	0.386
ambition	ამბიცია	0.510	0.804	0.661
ambitious	ამბიციური	0.484	0.821	0.717
ambivalent	ამბივალენტური	0.510	0.404	0.482
ambrosia	ამბიზია	0.571	0.452	0.480
ambulance	სასწრაფო დახმარება	0.500	0.750	0.609
ambush	ჩასაფრება	0.281	0.830	0.500
ameliorate	გააუმჯობესე	0.770	0.548	0.747
amen	ამინ	0.781	0.182	0.542
amenable	სასურველია	0.448	0.410	0.406
amend	შესწორება	0.688	0.406	0.658
