Word	Latvian-lv	Valence	Arousal	Dominance
accommodate	uzņemt	0.844	0.375	0.566
accommodation	izmitināšana	0.817	0.415	0.587
accompaniment	pavadījums	0.740	0.479	0.695
accompany	pavadīt	0.833	0.406	0.585
accompanying	pavadošais	0.787	0.460	0.582
accomplice	līdzdalībnieks	0.408	0.580	0.510
accomplish	paveikt	0.929	0.673	0.816
accomplished	paveikts	0.870	0.520	0.798
accomplishment	sasniegums	0.917	0.694	0.888
accord	piekrītu	0.898	0.264	0.382
accordance	atbilstību	0.659	0.349	0.600
accordion	akordeons	0.604	0.490	0.361
account	konts	0.531	0.347	0.472
accountability	atbildība	0.755	0.537	0.833
accountable	atbildīgs	0.709	0.282	0.777
accountant	grāmatvedis	0.625	0.450	0.639
accounting	grāmatvedība	0.552	0.390	0.677
accounts	konti	0.592	0.340	0.471
accredited	akreditēta	0.669	0.479	0.768
accretion	akrecija	0.448	0.519	0.672
accrue	uzkrāt	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	uzkrāties	0.573	0.536	0.607
accumulation	uzkrāšanās	0.479	0.527	0.600
accuracy	precizitāte	0.604	0.481	0.802
accurate	precīza	0.743	0.360	0.737
accursed	nolādēts	0.135	0.745	0.345
accusation	apsūdzība	0.073	0.718	0.564
accusative	apsūdzošs	0.198	0.755	0.482
accuse	apsūdzēt	0.133	0.752	0.500
accused	apsūdzētais	0.130	0.670	0.420
accuser	apsūdzētājs	0.122	0.779	0.615
accusing	apsūdzot	0.156	0.745	0.324
accustomed	pieraduši	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	etiķskābe	0.333	0.420	0.519
acetylene	acetilēns	0.306	0.469	0.509
ache	sāpes	0.146	0.760	0.312
achieve	sasniegt	0.816	0.545	0.843
achieved	sasniegts	0.896	0.519	0.775
achievement	sasniegums	0.896	0.808	0.759
aching	sāpes	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	skābe	0.265	0.642	0.566
acidity	skābums	0.156	0.663	0.360
acknowledge	atzīt	0.786	0.370	0.661
acknowledged	atzina	0.714	0.443	0.765
acknowledgement	apstiprinājums	0.819	0.539	0.830
acknowledgment	apstiprinājums	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	pūtītes	0.167	0.474	0.308
acorn	zārks	0.448	0.198	0.192
acoustic	akustika	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	iepazīties	0.646	0.491	0.639
acquaintance	iepazīšanās	0.656	0.290	0.670
acquainted	iepazinies	0.906	0.358	0.632
acquiescence	piekrišana	0.542	0.480	0.554
acquire	iegādāties	0.833	0.468	0.700
acquiring	iegūšana	0.735	0.510	0.817
acquisition	iegūšana	0.698	0.509	0.736
acquisitions	iegādes	0.773	0.660	0.790
acquit	attaisnot	0.583	0.571	0.611
acquittal	attaisnojums	0.760	0.497	0.700
acre	Acre	0.583	0.387	0.423
acreage	platība	0.741	0.450	0.528
acres	akriem	0.510	0.363	0.500
acrobat	akrobāts	0.708	0.828	0.602
acrylic	akrils	0.582	0.279	0.420
act	tēlot	0.656	0.704	0.735
acting	darbojas	0.698	0.643	0.500
action	rīcība	0.760	0.898	0.802
action figure	darbības rādītājs	0.615	0.774	0.611
actionable	apstrīdams	0.673	0.702	0.613
activate	aktivizēt	0.764	0.650	0.806
activation	aktivizēšana	0.781	0.800	0.754
active	aktīva	0.847	0.730	0.731
activist	aktīvists	0.531	0.653	0.877
activity	aktivitāte	0.701	0.660	0.807
actor	aktieris	0.653	0.561	0.629
actress	aktrise	0.633	0.556	0.596
actual	faktiskais	0.729	0.400	0.716
actuality	aktualitāte	0.750	0.464	0.600
actuary	aktuārs	0.510	0.404	0.491
acuity	asums	0.469	0.378	0.741
acumen	izveicība	0.564	0.660	0.679
acupuncture	akupunktūra	0.531	0.324	0.549
acute	akūta	0.427	0.652	0.534
acutely	akūti	0.417	0.543	0.491
ad	reklāma	0.521	0.705	0.558
adage	piedēklis	0.517	0.415	0.566
adamant	adamants	0.344	0.529	0.575
adapt	pielāgot	0.740	0.355	0.551
adaptable	pielāgojama	0.735	0.423	0.641
adaptation	adaptācija	0.663	0.365	0.609
add	pievieno	0.728	0.490	0.554
added	pievienots	0.562	0.405	0.509
addendum	papildinājums	0.392	0.370	0.418
adder	papildinātājs	0.388	0.461	0.588
addict	atkarīgais	0.075	0.696	0.327
addicted	atkarīgs	0.156	0.712	0.483
addiction	atkarība	0.180	0.806	0.420
addictive	atkarību	0.302	0.683	0.472
addition	papildinājums	0.562	0.373	0.471
additional	papildus	0.673	0.462	0.526
additive	piedeva	0.561	0.633	0.691
address	adrese	0.650	0.327	0.567
addressee	adresāts	0.622	0.382	0.538
addresses	adreses	0.510	0.354	0.450
adept	lietpratējs	0.594	0.539	0.789
adequacy	atbilstība	0.615	0.435	0.702
adequate	adekvāts	0.854	0.264	0.705
adhere	jāievēro	0.633	0.339	0.554
adherence	ievērošana	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	pieliekoties	0.612	0.561	0.537
adhesion	saķere	0.521	0.445	0.586
adhesive	līmi	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	tauki	0.333	0.350	0.391
adjacency	blakusdarbība	0.365	0.417	0.375
adjacent	blakus	0.645	0.276	0.536
adjective	īpašības vārds	0.570	0.316	0.569
adjoining	blakus	0.520	0.400	0.393
adjourn	pārtraukt	0.385	0.456	0.475
adjournment	pārtraukšana	0.438	0.510	0.370
adjudicate	izlemt	0.559	0.520	0.683
adjudication	spriedums	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	pielāgot	0.647	0.327	0.638
adjuster	regulētājs	0.510	0.540	0.760
adjustment	korekcija	0.590	0.520	0.661
adjuvant	adjuvants	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administrēt	0.635	0.425	0.860
administration	administrācija	0.625	0.404	0.786
administrative	administratīvā	0.542	0.415	0.579
administrator	administrators	0.538	0.480	0.902
admirable	apbrīnojams	0.929	0.600	0.870
admiral	admirālis	0.844	0.490	0.847
admiralty	admiralitāte	0.594	0.547	0.733
admiration	apbrīna	0.969	0.583	0.726
admire	apbrīnot	0.867	0.692	0.704
admired	apbrīnot	0.917	0.560	0.815
admirer	cienītājs	0.796	0.720	0.650
admiring	apbrīnoju	0.867	0.578	0.629
admissibility	pieņemamība	0.802	0.580	0.602
admissible	pieņemams	0.780	0.528	0.642
admission	uzņemšana	0.802	0.415	0.732
admit	atzīt	0.538	0.423	0.667
admittance	uzņemšana	0.690	0.451	0.598
admitted	atļauts	0.720	0.490	0.767
admitting	pieļaujot	0.620	0.500	0.546
admixture	piemaisījums	0.450	0.375	0.438
admonition	brīdinājums	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	pusaudža gados	0.487	0.694	0.444
adolescent	pusaudzis	0.781	0.680	0.509
adopt	pieņemt	0.694	0.612	0.701
adoption	adopcija	0.625	0.566	0.589
adoptive	adoptētājs	0.531	0.469	0.520
adorable	burvīgs	0.969	0.519	0.457
adoration	pielūgšana	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	izgreznot	0.910	0.424	0.482
adornment	rotājums	0.918	0.373	0.377
adrenalin	adrenalīns	0.865	0.920	0.786
adrenaline	adrenalīns	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	pieaugušais	0.815	0.491	0.787
adulterated	falsificēts	0.188	0.865	0.370
adulterer	laulības pārkāpējs	0.229	0.814	0.407
adultery	laulības pārkāpšana	0.120	0.922	0.510
adulthood	pieauguša cilvēka vecums	0.541	0.454	0.652
advance	iepriekš	0.673	0.472	0.858
advanced	uzlabots	0.844	0.623	0.797
advancement	attīstība	0.776	0.650	0.839
advancing	virzība uz priekšu	0.929	0.608	0.812
advantage	priekšrocība	0.917	0.548	0.859
advantageous	izdevīgi	0.837	0.640	0.789
advent	Advent	0.665	0.560	0.627
adventure	piedzīvojums	0.917	0.857	0.710
adventurer	piedzīvojumu meklētājs	0.781	0.839	0.868
adventures	piedzīvojumi	0.812	0.764	0.749
adventurous	piedzīvojumu kārs	0.969	0.898	0.722
adversary	pretinieks	0.349	0.777	0.457
adverse	nelabvēlīgs	0.323	0.610	0.385
adversity	nelaimi	0.276	0.760	0.538
advertise	reklamēt	0.500	0.529	0.580
advertisement	reklāma	0.600	0.566	0.539
advertising	reklāma	0.622	0.608	0.632
adverts	sludinājumi	0.551	0.500	0.595
advice	konsultācijas	0.698	0.408	0.688
advisable	ieteicams	0.867	0.480	0.510
advise	ieteikt	0.760	0.393	0.705
advised	ieteicams	0.823	0.330	0.509
advisement	ieteikums	0.698	0.235	0.655
adviser	padomnieks	0.745	0.362	0.705
advisor	padomnieks	0.646	0.350	0.689
advisory	konsultācijas	0.656	0.429	0.633
advocacy	aizstāvība	0.500	0.646	0.731
advocate	advokāts	0.551	0.530	0.818
aegis	ēda	0.490	0.439	0.462
aeration	aerācija	0.550	0.500	0.433
aerial	antena	0.615	0.461	0.463
aerobics	aerobika	0.708	0.771	0.627
aerodrome	lidlauks	0.541	0.740	0.678
aerodynamic	aerodinamika	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	lidmašīna	0.714	0.642	0.644
aerospace	kosmosa avoti	0.643	0.520	0.779
aesthetic	estētisks	0.708	0.442	0.526
aesthetics	estētika	0.847	0.327	0.549
aetiology	etioloģija	0.480	0.398	0.615
afar	tālumā	0.396	0.373	0.358
affable	laipni	0.704	0.380	0.452
affair	lieta	0.520	0.459	0.657
affect	ietekmēt	0.458	0.569	0.578
affecting	ietekmē	0.350	0.574	0.394
affection	pieķeršanās	0.898	0.559	0.696
affectionate	sirsnīgs	0.949	0.422	0.550
affections	mīļi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	apliecinošs dokuments	0.469	0.584	0.526
affiliated	saistīts	0.673	0.519	0.535
affiliation	piederība	0.615	0.594	0.500
affinity	afinitāte	0.800	0.500	0.537
affirm	apstiprināt	0.745	0.509	0.731
affirmation	apstiprinājums	0.750	0.500	0.689
affirmative	apstiprinošs	0.854	0.589	0.816
affirmatively	apstiprinoši	0.908	0.500	0.811
affix	piestiprināt	0.438	0.335	0.411
afflict	apgrūtinošs	0.302	0.555	0.293
afflicted	nomocīts	0.271	0.500	0.167
affliction	nelaime	0.294	0.635	0.392
affluence	labklājība	0.663	0.618	0.722
affluent	pārtikusi	0.756	0.388	0.477
afford	atļauties	0.571	0.580	0.575
affordable	pieejamu	0.840	0.398	0.493
affront	apvainojums	0.327	0.740	0.547
affronted	apslāpēts	0.385	0.750	0.527
afield	apvidus	0.594	0.370	0.373
afire	uguns	0.367	0.904	0.675
afloat	virs ūdens	0.602	0.427	0.444
afore	iepriekš	0.500	0.337	0.382
aforementioned	iepriekš minētais	0.490	0.316	0.408
aforesaid	iepriekšminēto	0.531	0.358	0.478
afraid	baidās	0.010	0.775	0.245
afresh	no jauna	0.643	0.521	0.480
african	afrikānis	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	pēclīgšanas	0.571	0.567	0.568
aftermath	sekas	0.312	0.449	0.444
afternoon	pēcpusdiena	0.533	0.388	0.339
aftershave	pēc skūšanās	0.406	0.384	0.415
aftertaste	pēcgarša	0.354	0.362	0.455
afterthought	pēkšņi domājams	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	Agape	0.612	0.529	0.464
agate	ahāts	0.540	0.377	0.483
age	vecums	0.561	0.226	0.498
aged	vecumā	0.135	0.365	0.236
agency	aģentūra	0.460	0.296	0.583
agenda	darba kārtībā	0.531	0.296	0.553
agent	aģents	0.480	0.439	0.755
agglomeration	aglomerācija	0.450	0.765	0.509
aggravate	saasināt	0.224	0.770	0.464
aggravated	pasliktinās	0.079	0.760	0.430
aggravates	pasliktina	0.108	0.778	0.357
aggravating	pastiprinošs	0.257	0.794	0.640
aggravation	pasliktināšanās	0.071	0.784	0.613
aggregate	kopsumma	0.730	0.378	0.556
aggregation	apkopošana	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresija	0.094	0.929	0.533
aggressive	agresīvs	0.125	0.949	0.648
aggressively	agresīvi	0.250	0.926	0.688
aggressiveness	agresivitāte	0.077	0.913	0.648
aggressor	agresors	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	elastīgs	0.800	0.657	0.775
agility	veiklība	0.720	0.702	0.815
aging	novecošana	0.214	0.255	0.284
agitate	uzbudināt	0.300	0.796	0.593
agitated	satraukti	0.444	0.882	0.491
agitation	uzbudinājums	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	pirms	0.317	0.280	0.404
agonizing	agonēšana	0.083	0.800	0.340
agony	agonija	0.083	0.775	0.393
agoraphobia	agorafobija	0.127	0.712	0.438
agree	piekrītu	0.906	0.260	0.545
agreeable	pieklājīgs	0.906	0.500	0.696
agreed	vienojās	0.797	0.449	0.574
agreeing	piekrītu	0.854	0.480	0.557
agreement	vienošanās	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	lauksaimniecības	0.686	0.321	0.473
agriculture	lauksaimniecība	0.640	0.357	0.465
aground	laukos	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	uz priekšu	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	atbalsts	0.796	0.491	0.541
aide	palīgs	0.724	0.342	0.434
aiding	Palīdzība	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	slikts cilvēks	0.094	0.518	0.153
ailment	slimība	0.146	0.734	0.277
aim	mērķis	0.481	0.569	0.567
aimless	bezmērķīgi	0.150	0.267	0.183
air	gaiss	0.708	0.163	0.427
airbag	gaisa spilvens	0.510	0.402	0.433
airborne	gaisā	0.542	0.519	0.385
aircraft	lidmašīna	0.646	0.644	0.691
aircraft carrier	gaisa kuģa pārvadātājs	0.490	0.740	0.727
airfield	lidlauks	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	aviokompānija	0.650	0.482	0.688
airliner	lidmašīna	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	lidmašīna	0.719	0.702	0.708
airport	lidosta	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	dirižablis	0.542	0.472	0.529
airspace	gaisa telpa	0.562	0.510	0.640
airspeed	gaisa ātrums	0.583	0.780	0.544
airstrip	lidlauka līnija	0.550	0.690	0.649
airtight	hermētisks	0.479	0.381	0.570
airway	elpceļi	0.638	0.585	0.482
aisle	eja	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	līdzīgs	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	trauksme	0.241	0.882	0.698
alarm clock	modinātājs	0.542	0.727	0.642
alarmed	satraukts	0.188	0.822	0.492
alarming	satraucošs	0.204	0.890	0.585
alas	diemžēl	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albīns	0.500	0.240	0.358
album	albums	0.635	0.349	0.453
alchemy	alķīmija	0.541	0.583	0.693
alcohol	alkohols	0.323	0.667	0.377
alcoholic	alkoholiskais	0.153	0.688	0.361
alcoholism	alkoholisms	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	aldermans	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	brīdinājums	0.479	0.820	0.648
alertness	modrība	0.375	0.875	0.750
alerts	brīdinājumi	0.337	0.804	0.673
alfalfa	lucerna	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebrisks	0.531	0.412	0.441
algorithm	algoritms	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	ārzemnieks	0.410	0.615	0.491
alienate	atsavināt	0.247	0.500	0.523
alienated	atsavināts	0.410	0.423	0.559
alienation	atsvešināšanās	0.378	0.530	0.462
alight	gaisma	0.667	0.657	0.605
align	saskaņot	0.656	0.364	0.627
aligned	saskaņots	0.583	0.275	0.553
alignment	saskaņošana	0.643	0.412	0.683
alike	līdzīgi	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimenti	0.612	0.477	0.464
aliquot	alikvota	0.440	0.310	0.404
alive	dzīvs	0.816	0.637	0.731
alkali	sārmu	0.490	0.350	0.408
alkaloids	alkaloīdi	0.433	0.562	0.402
allay	atslābināties	0.417	0.406	0.398
allegation	apgalvojums	0.578	0.578	0.608
allege	apgalvo	0.418	0.482	0.587
alleged	apgalvots	0.365	0.522	0.520
allegiance	uzticība	0.917	0.398	0.750
allegorical	allegorisks	0.517	0.558	0.598
allegory	alegorija	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alerģija	0.135	0.549	0.273
allergy	alerģija	0.296	0.606	0.389
alleviate	atvieglot	0.869	0.270	0.528
alleviation	atvieglošana	0.735	0.200	0.491
alley	aleja	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alianse	0.696	0.473	0.769
allied	sabiedrotais	0.714	0.245	0.642
alligator	aligators	0.354	0.704	0.645
allocate	piešķirt	0.673	0.462	0.672
allocation	piešķiršana	0.604	0.388	0.679
allot	piešķirt	0.622	0.481	0.616
allotment	piešķīrums	0.600	0.390	0.640
allow	atļaut	0.698	0.429	0.538
allowable	pieļaujams	0.698	0.500	0.561
allowance	pabalsts	0.673	0.382	0.591
allowed	atļauts	0.730	0.360	0.655
alloy	sakausējums	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	Allure	0.804	0.585	0.686
alluring	pievilcīgs	0.837	0.745	0.843
allusion	alūzija	0.440	0.308	0.462
alluvial	aluviāls	0.323	0.490	0.491
ally	sabiedrotais	0.792	0.320	0.688
almanac	almanahs	0.688	0.190	0.412
almighty	Visvarenais	0.938	0.874	0.958
almond	mandeļu	0.698	0.183	0.314
aloft	augšā	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	vienatnē	0.333	0.167	0.216
alongside	līdzās	0.458	0.333	0.347
aloof	apakšā	0.189	0.423	0.302
aloud	skaļi	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabēts	0.562	0.204	0.672
alphabetical	alfabētiskais	0.537	0.296	0.535
alpine	alpīns	0.594	0.337	0.474
alreadyyyyy	jau yyyy	0.592	0.717	0.351
altar	altāri	0.724	0.387	0.635
altar boy	altāra zēns	0.434	0.206	0.350
alter	mainīt	0.333	0.694	0.654
alteration	izmaiņas	0.167	0.798	0.609
altercation	pārlikšanās	0.170	0.806	0.500
altered	mainīts	0.255	0.765	0.500
alternate	aizstājējs	0.625	0.363	0.589
alternating	pārmaiņus	0.480	0.494	0.542
alternative	alternatīva	0.628	0.373	0.631
altimeter	altimetrs	0.615	0.510	0.580
altitude	augstums	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	kopā	0.833	0.324	0.644
aluminum	alumīnijs	0.449	0.280	0.434
alumnus	audzinātājs	0.633	0.368	0.422
alveolar	alveolārais	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	apvienošana	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	uzkrāties	0.552	0.465	0.465
amateur	amatieris	0.469	0.500	0.409
amaze	pārsteigt	0.896	0.843	0.783
amazed	pārsteigts	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	izbrīnu	0.750	0.800	0.639
amazing	pārsteidzošs	0.906	0.837	0.849
amazingly	pārsteidzoši	0.918	0.765	0.920
ambassador	vēstnieks	0.651	0.529	0.917
amber	dzintars	0.635	0.308	0.369
ambience	atmosfēra	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	neskaidrība	0.164	0.460	0.370
ambiguous	neskaidrs	0.265	0.462	0.358
ambit	sfēra	0.479	0.380	0.386
ambition	ambīcijas	0.510	0.804	0.661
ambitious	vērienīgs	0.484	0.821	0.717
ambivalent	divējāds	0.510	0.404	0.482
ambrosia	ambrozija	0.571	0.452	0.480
ambulance	ātrā palīdzība	0.500	0.750	0.609
ambush	noslēpums	0.281	0.830	0.500
ameliorate	labot	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	pieļaujams	0.448	0.410	0.406
amend	labot	0.688	0.406	0.658
amendment	grozījums	0.531	0.459	0.606
amends	groza	0.640	0.366	0.517
amenity	labierīcības	0.750	0.327	0.574
amethyst	ametists	0.622	0.406	0.517
amiable	draudzīgs	0.847	0.290	0.483
amicable	draudzīgs	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munīcija	0.323	0.765	0.621
ammonia	amonjaks	0.292	0.587	0.409
ammonium	amonija	0.354	0.396	0.368
ammunition	munīcija	0.338	0.635	0.667
amnesia	amnēzija	0.296	0.330	0.308
amnesty	amnestija	0.551	0.451	0.814
amorous	cienīgs	0.844	0.670	0.636
amorphous	amorfs	0.327	0.402	0.349
amortization	amortizācija	0.592	0.491	0.522
amount	summa	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	pastiprinātājs	0.439	0.393	0.375
ampersand	ampersands	0.480	0.448	0.483
amphetamines	amfetamīni	0.133	0.667	0.526
amphibian	abinieku	0.427	0.357	0.474
amphibious	amfībiju	0.479	0.346	0.445
amphitheater	amfiteātris	0.653	0.480	0.545
ample	daudz	0.744	0.349	0.719
amplification	pastiprināšana	0.690	0.677	0.810
amplify	paplašināt	0.677	0.735	0.827
amplitude	amplitūda	0.694	0.439	0.692
amply	plaši	0.781	0.431	0.766
amputate	amputēt	0.092	0.660	0.509
amputation	amputācija	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulets	0.781	0.260	0.630
amuse	izklaidēt	0.812	0.684	0.664
amused	izklaidēja	0.942	0.847	0.596
amusement	izklaide	0.929	0.837	0.803
amusing	smieklīgi	0.960	0.829	0.632
