Word	Welsh-cy	Valence	Arousal	Dominance
adequate	ddigonol	0.854	0.264	0.705
adhere	glynu	0.633	0.339	0.554
adherence	cydlyniad	0.760	0.307	0.630
adherent	cydlynol	0.561	0.385	0.555
adhering	cadw ato	0.612	0.561	0.537
adhesion	adlyniad	0.521	0.445	0.586
adhesive	gludiog	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	cyfagos	0.365	0.417	0.375
adjacent	cyfagos	0.645	0.276	0.536
adjective	ansoddeiriol	0.570	0.316	0.569
adjoining	cyfagos	0.520	0.400	0.393
adjourn	gohirio	0.385	0.456	0.475
adjournment	gohiriad	0.438	0.510	0.370
adjudicate	beirniadu	0.559	0.520	0.683
adjudication	dyfarniad	0.551	0.462	0.691
adjunct	cyfatebol	0.459	0.440	0.426
adjust	addasu	0.647	0.327	0.638
adjuster	addasydd	0.510	0.540	0.760
adjustment	addasiad	0.590	0.520	0.661
adjuvant	cynorthwyol	0.510	0.500	0.456
admin	gweinydd	0.688	0.420	0.854
administer	gweinyddu	0.635	0.425	0.860
administration	gweinyddu	0.625	0.404	0.786
administrative	gweinyddol	0.542	0.415	0.579
administrator	gweinyddwr	0.538	0.480	0.902
admirable	yn ddymunol	0.929	0.600	0.870
admiral	myfrwraig	0.844	0.490	0.847
admiralty	marmoriaeth	0.594	0.547	0.733
admiration	edmygedd	0.969	0.583	0.726
admire	edmygu	0.867	0.692	0.704
admired	yn edmygu	0.917	0.560	0.815
admirer	edmygydd	0.796	0.720	0.650
admiring	edmygu	0.867	0.578	0.629
admissibility	derbynioldeb	0.802	0.580	0.602
admissible	yn dderbyniol	0.780	0.528	0.642
admission	mynediad	0.802	0.415	0.732
admit	cyfaddef	0.538	0.423	0.667
admittance	cyfaddefiad	0.690	0.451	0.598
admitted	cyfaddefwyd	0.720	0.490	0.767
admitting	yn derbyn	0.620	0.500	0.546
admixture	cymysgedd	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ad	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	glasoed	0.487	0.694	0.444
adolescent	glasoed	0.781	0.680	0.509
adopt	mabwysiadu	0.694	0.612	0.701
adoption	mabwysiadu	0.625	0.566	0.589
adoptive	mabwysiadol	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	addoli	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	addurno	0.910	0.424	0.482
adornment	addurniad	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	oedolyn	0.815	0.491	0.787
adulterated	yn anghyfreithlon	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	godineb	0.120	0.922	0.510
adulthood	oedolyn	0.541	0.454	0.652
advance	ymlaen llaw	0.673	0.472	0.858
advanced	uwch	0.844	0.623	0.797
advancement	hyrwyddo	0.776	0.650	0.839
advancing	symud ymlaen	0.929	0.608	0.812
advantage	Mantais	0.917	0.548	0.859
advantageous	yn fanteisiol	0.837	0.640	0.789
advent	dyfodiad	0.665	0.560	0.627
adventure	antur	0.917	0.857	0.710
adventurer	anturiaethwr	0.781	0.839	0.868
adventures	anturiaethau	0.812	0.764	0.749
adventurous	anturus	0.969	0.898	0.722
adversary	gwrthwynebydd	0.349	0.777	0.457
adverse	anffafriol	0.323	0.610	0.385
adversity	gwrthdaro	0.276	0.760	0.538
advertise	hysbysebu	0.500	0.529	0.580
advertisement	hysbyseb	0.600	0.566	0.539
advertising	hysbysebu	0.622	0.608	0.632
adverts	hysbysebion	0.551	0.500	0.595
advice	cyngor	0.698	0.408	0.688
advisable	yn ddoeth	0.867	0.480	0.510
advise	cynghori	0.760	0.393	0.705
advised	cynghorir	0.823	0.330	0.509
advisement	cynghori	0.698	0.235	0.655
adviser	cynghorydd	0.745	0.362	0.705
advisor	ymgynghorydd	0.646	0.350	0.689
advisory	cynghori	0.656	0.429	0.633
advocacy	eiriolaeth	0.500	0.646	0.731
advocate	eiriolwr	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	awyru	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobeg	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodynamig	0.561	0.724	0.728
aerodynamics	aerodynameg	0.590	0.663	0.722
aeronautics	awyrennau	0.551	0.633	0.688
aeroplane	awyren	0.714	0.642	0.644
aerospace	awyrofod	0.643	0.520	0.779
aesthetic	esthetig	0.708	0.442	0.526
aesthetics	estheteg	0.847	0.327	0.549
aetiology	awdioleg	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	perthynas	0.520	0.459	0.657
affect	effeithio	0.458	0.569	0.578
affecting	yn effeithio ar	0.350	0.574	0.394
affection	hoffter	0.898	0.559	0.696
affectionate	cariadus	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	cysylltiedig	0.673	0.519	0.535
affiliation	cysylltiad	0.615	0.594	0.500
affinity	perthnasedd	0.800	0.500	0.537
affirm	cadarnhau	0.745	0.509	0.731
affirmation	cadarnhad	0.750	0.500	0.689
affirmative	cadarnhaol	0.854	0.589	0.816
affirmatively	yn gadarnhaol	0.908	0.500	0.811
affix	ymuno	0.438	0.335	0.411
afflict	aflonyddwch	0.302	0.555	0.293
afflicted	cythryblus	0.271	0.500	0.167
affliction	aflonyddwch	0.294	0.635	0.392
affluence	gefnogaeth	0.663	0.618	0.722
affluent	yn gyfoethog	0.756	0.388	0.477
afford	fforddio	0.571	0.580	0.575
affordable	fforddiadwy	0.840	0.398	0.493
affront	afront	0.327	0.740	0.547
affronted	afronted	0.385	0.750	0.527
afield	i ffwrdd	0.594	0.370	0.373
afire	bwrw ymlaen	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	ymlaen	0.500	0.337	0.382
aforementioned	uchod	0.490	0.316	0.408
aforesaid	a nodwyd	0.531	0.358	0.478
afraid	ofn	0.010	0.775	0.245
afresh	newydd	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	ôl-oes	0.571	0.567	0.568
aftermath	dilynol	0.312	0.449	0.444
afternoon	prynhawn	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	oedran	0.561	0.226	0.498
aged	oed	0.135	0.365	0.236
agency	asiantaeth	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	asiant	0.480	0.439	0.755
agglomeration	crynhoad	0.450	0.765	0.509
aggravate	gwaethygu	0.224	0.770	0.464
aggravated	gwaethygu	0.079	0.760	0.430
aggravates	yn gwaethygu	0.108	0.778	0.357
aggravating	gwaethygu	0.257	0.794	0.640
aggravation	gwaethygu	0.071	0.784	0.613
aggregate	agregau	0.730	0.378	0.556
aggregation	cydgrynhoi	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ymosodol	0.094	0.929	0.533
aggressive	yn ymosodol	0.125	0.949	0.648
aggressively	yn ymosodol	0.250	0.926	0.688
aggressiveness	ymosodol	0.077	0.913	0.648
aggressor	ymosodwr	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	hyfryd	0.800	0.657	0.775
agility	ystwythder	0.720	0.702	0.815
aging	yn heneiddio	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	ysgogol	0.444	0.882	0.491
agitation	aflonyddwch	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostig	0.306	0.396	0.574
ago	yn ôl	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agony	0.083	0.775	0.393
agoraphobia	agoraffobia	0.127	0.712	0.438
agree	cytuno	0.906	0.260	0.545
agreeable	yn fodlon	0.906	0.500	0.696
agreed	cytunwyd	0.797	0.449	0.574
agreeing	cytuno	0.854	0.480	0.557
agreement	cytundeb	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	amaethyddol	0.686	0.321	0.473
agriculture	amaethyddiaeth	0.640	0.357	0.465
aground	ar droed	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ymlaen	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	cymorth	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	helpu	0.643	0.533	0.569
aids	cymhorthion	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	anhwylder	0.146	0.734	0.277
aim	nod	0.481	0.569	0.567
aimless	anhygoel	0.150	0.267	0.183
air	aer	0.708	0.163	0.427
airbag	bag awyr	0.510	0.402	0.433
airborne	awyr	0.542	0.519	0.385
aircraft	awyrennau	0.646	0.644	0.691
aircraft carrier	cludwr awyrennau	0.490	0.740	0.727
airfield	maes awyr	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	hedfan	0.573	0.622	0.642
airline	cwmni hedfan	0.650	0.482	0.688
airliner	awyrennau	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	aerwr	0.587	0.716	0.721
airplane	awyren	0.719	0.702	0.708
airport	maes Awyr	0.729	0.684	0.682
airs	awyroedd	0.583	0.196	0.370
airship	awyrennau	0.542	0.472	0.529
airspace	gofod awyr	0.562	0.510	0.640
airspeed	gwydr aer	0.583	0.780	0.544
airstrip	stêm awyr	0.550	0.690	0.649
airtight	arthight	0.479	0.381	0.570
airway	llwybr anadlu	0.638	0.585	0.482
aisle	eiliad	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	yn debyg	0.639	0.343	0.523
alabaster	alabastwr	0.542	0.404	0.445
alarm	larwm	0.241	0.882	0.698
alarm clock	cloc larwm	0.542	0.727	0.642
alarmed	yn poeni	0.188	0.822	0.492
alarming	yn frawychus	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albwm	0.635	0.349	0.453
alchemy	alchemi	0.541	0.583	0.693
alcohol	alcohol	0.323	0.667	0.377
alcoholic	alcoholig	0.153	0.688	0.361
alcoholism	alcoholiaeth	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	rhybuddio	0.479	0.820	0.648
alertness	rhybudd	0.375	0.875	0.750
alerts	rhybuddion	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraidd	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	estron	0.410	0.615	0.491
alienate	yn estron	0.247	0.500	0.523
alienated	estronedig	0.410	0.423	0.559
alienation	dieithrio	0.378	0.530	0.462
alight	yn ôl	0.667	0.657	0.605
align	alinio	0.656	0.364	0.627
aligned	wedi'i alinio	0.583	0.275	0.553
alignment	alinio	0.643	0.412	0.683
alike	fel ei gilydd	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	rhywfaint	0.440	0.310	0.404
alive	yn fyw	0.816	0.637	0.731
alkali	alcalïaidd	0.490	0.350	0.408
alkaloids	alcaloidau	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	honiad	0.578	0.578	0.608
allege	yn honni	0.418	0.482	0.587
alleged	honnir	0.365	0.522	0.520
allegiance	ffyddlondeb	0.917	0.398	0.750
allegorical	arograffaidd	0.517	0.558	0.598
allegory	alegoriaeth	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergedd	0.135	0.549	0.273
allergy	alergedd	0.296	0.606	0.389
alleviate	lleddfu	0.869	0.270	0.528
alleviation	lliniaru	0.735	0.200	0.491
alley	traeth	0.347	0.500	0.355
alleyway	cerdded	0.357	0.471	0.382
alliance	cynghrair	0.696	0.473	0.769
allied	perthynol	0.714	0.245	0.642
alligator	ailigydd	0.354	0.704	0.645
allocate	dyrannu	0.673	0.462	0.672
allocation	dyraniad	0.604	0.388	0.679
allot	rhychwant	0.622	0.481	0.616
allotment	rhandiroedd	0.600	0.390	0.640
allow	caniatáu	0.698	0.429	0.538
allowable	yn ganiataol	0.698	0.500	0.561
allowance	lwfans	0.673	0.382	0.591
allowed	caniateir	0.730	0.360	0.655
alloy	aloi	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	hyfryd	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	llifwadiad	0.323	0.490	0.491
ally	ally	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	hollalluog	0.938	0.874	0.958
almond	almon	0.698	0.183	0.314
aloft	yn uchel	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	yn unig	0.333	0.167	0.216
alongside	ochr yn ochr â hi	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	yn uchel	0.458	0.713	0.750
alpha	alffa	0.708	0.340	0.755
alphabet	yr wyddor	0.562	0.204	0.672
alphabetical	yn nhrefn yr wyddor	0.537	0.296	0.535
alpine	alpaidd	0.594	0.337	0.474
alreadyyyyy	yn barod	0.592	0.717	0.351
altar	allor	0.724	0.387	0.635
altar boy	bachgen allor	0.434	0.206	0.350
alter	newid	0.333	0.694	0.654
alteration	newid	0.167	0.798	0.609
altercation	newidiad	0.170	0.806	0.500
altered	wedi'i newid	0.255	0.765	0.500
alternate	yn ail	0.625	0.363	0.589
alternating	yn ail	0.480	0.494	0.542
alternative	amgen	0.628	0.373	0.631
altimeter	altimedr	0.615	0.510	0.580
altitude	uchder	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	yn gyfan gwbl	0.833	0.324	0.644
aluminum	alwminiwm	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	uno	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amatur	0.469	0.500	0.409
amaze	rhyfeddu	0.896	0.843	0.783
amazed	syfrdanol	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	syfrdan	0.750	0.800	0.639
amazing	anhygoel	0.906	0.837	0.849
amazingly	yn rhyfeddol	0.918	0.765	0.920
ambassador	llysgennad	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	awyrgylch	0.735	0.356	0.426
ambient	amgylchynol	0.625	0.360	0.582
ambiguity	amwysedd	0.164	0.460	0.370
ambiguous	amwys	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	uchelgais	0.510	0.804	0.661
ambitious	uchelgeisiol	0.484	0.821	0.717
ambivalent	yn uchelgeisiol	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambiwlans	0.500	0.750	0.609
ambush	ysglyfaethus	0.281	0.830	0.500
ameliorate	gwella	0.770	0.548	0.747
amen	amwynder	0.781	0.182	0.542
amenable	yn amwynder	0.448	0.410	0.406
amend	diwygio	0.688	0.406	0.658
amendment	gwelliant	0.531	0.459	0.606
amends	yn diwygio	0.640	0.366	0.517
amenity	amwynder	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	dibynadwy	0.847	0.290	0.483
amicable	yn gyfeillgar	0.875	0.330	0.507
amid	yn y canol	0.510	0.340	0.256
amidst	yn y canol	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	amoniwm	0.354	0.396	0.368
ammunition	bwledyn	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnest	0.551	0.451	0.814
amorous	cariadus	0.844	0.670	0.636
amorphous	amorffaidd	0.327	0.402	0.349
amortization	amorteiddio	0.592	0.491	0.522
amount	swm	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amffetaminau	0.133	0.667	0.526
amphibian	amffibiaid	0.427	0.357	0.474
amphibious	anffibriol	0.479	0.346	0.445
amphitheater	amffitheatr	0.653	0.480	0.545
ample	digon	0.744	0.349	0.719
amplification	ehangu	0.690	0.677	0.810
amplify	ehangu	0.677	0.735	0.827
amplitude	ehangder	0.694	0.439	0.692
amply	yn rhy fawr	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	byth	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	difyr	0.812	0.684	0.664
amused	yn ddifyr	0.942	0.847	0.596
amusement	difyr	0.929	0.837	0.803
amusing	yn ddrwg	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
