Word	Catalan-ca	Valence	Arousal	Dominance
adjudicate	adjudicat	0.559	0.520	0.683
adjudication	adjudicació	0.551	0.462	0.691
adjunct	adjunt	0.459	0.440	0.426
adjust	ajustar	0.647	0.327	0.638
adjuster	ajustador	0.510	0.540	0.760
adjustment	ajust	0.590	0.520	0.661
adjuvant	adyuvante	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administrar	0.635	0.425	0.860
administration	Administració	0.625	0.404	0.786
administrative	administrativa	0.542	0.415	0.579
administrator	administrador	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	almirall	0.844	0.490	0.847
admiralty	almirantazgo	0.594	0.547	0.733
admiration	admiració	0.969	0.583	0.726
admire	admirar	0.867	0.692	0.704
admired	admirat	0.917	0.560	0.815
admirer	admirador	0.796	0.720	0.650
admiring	admirant	0.867	0.578	0.629
admissibility	admissibilitat	0.802	0.580	0.602
admissible	admissible	0.780	0.528	0.642
admission	admissió	0.802	0.415	0.732
admit	admitir	0.538	0.423	0.667
admittance	admissió	0.690	0.451	0.598
admitted	admès	0.720	0.490	0.767
admitting	admetent	0.620	0.500	0.546
admixture	barreja	0.450	0.375	0.438
admonition	admonició	0.357	0.606	0.455
ado	adéu	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescència	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	adoptar	0.694	0.612	0.701
adoption	adopció	0.625	0.566	0.589
adoptive	adoptiva	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	adoració	0.885	0.699	0.708
adore	adorar	0.854	0.438	0.657
adoring	adorant	0.885	0.620	0.717
adorn	adornar	0.910	0.424	0.482
adornment	adorn	0.918	0.373	0.377
adrenalin	adrenalina	0.865	0.920	0.786
adrenaline	adrenalina	0.765	0.965	0.825
adrift	a la deriva	0.398	0.486	0.230
adult	adult	0.815	0.491	0.787
adulterated	adulterat	0.188	0.865	0.370
adulterer	adúlter	0.229	0.814	0.407
adultery	adulteri	0.120	0.922	0.510
adulthood	edat adulta	0.541	0.454	0.652
advance	avance	0.673	0.472	0.858
advanced	avançat	0.844	0.623	0.797
advancement	avenç	0.776	0.650	0.839
advancing	avançant	0.929	0.608	0.812
advantage	avantatge	0.917	0.548	0.859
advantageous	avantatjós	0.837	0.640	0.789
advent	avinguda	0.665	0.560	0.627
adventure	aventura	0.917	0.857	0.710
adventurer	aventurer	0.781	0.839	0.868
adventures	aventures	0.812	0.764	0.749
adventurous	aventurer	0.969	0.898	0.722
adversary	adversari	0.349	0.777	0.457
adverse	advers	0.323	0.610	0.385
adversity	adversitat	0.276	0.760	0.538
advertise	anunciar	0.500	0.529	0.580
advertisement	publicitat	0.600	0.566	0.539
advertising	publicitat	0.622	0.608	0.632
adverts	anuncis	0.551	0.500	0.595
advice	consells	0.698	0.408	0.688
advisable	recomanable	0.867	0.480	0.510
advise	aconsellar	0.760	0.393	0.705
advised	aconsellat	0.823	0.330	0.509
advisement	assessorament	0.698	0.235	0.655
adviser	assessor	0.745	0.362	0.705
advisor	assessor	0.646	0.350	0.689
advisory	assessorament	0.656	0.429	0.633
advocacy	advocacia	0.500	0.646	0.731
advocate	advocar	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aireació	0.550	0.500	0.433
aerial	aeri	0.615	0.461	0.463
aerobics	aeròbic	0.708	0.771	0.627
aerodrome	aeròdrom	0.541	0.740	0.678
aerodynamic	aerodinàmica	0.561	0.724	0.728
aerodynamics	aerodinàmica	0.590	0.663	0.722
aeronautics	aeronàutica	0.551	0.633	0.688
aeroplane	avió	0.714	0.642	0.644
aerospace	aeroespacial	0.643	0.520	0.779
aesthetic	estètic	0.708	0.442	0.526
aesthetics	estètica	0.847	0.327	0.549
aetiology	etiologia	0.480	0.398	0.615
afar	lluny	0.396	0.373	0.358
affable	afable	0.704	0.380	0.452
affair	aventura	0.520	0.459	0.657
affect	afectar	0.458	0.569	0.578
affecting	afectant	0.350	0.574	0.394
affection	afecte	0.898	0.559	0.696
affectionate	afectuós	0.949	0.422	0.550
affections	afectes	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	declaració jurada	0.469	0.584	0.526
affiliated	afiliat	0.673	0.519	0.535
affiliation	afiliació	0.615	0.594	0.500
affinity	afinitat	0.800	0.500	0.537
affirm	afirmar	0.745	0.509	0.731
affirmation	afirmació	0.750	0.500	0.689
affirmative	afirmatiu	0.854	0.589	0.816
affirmatively	afirmativament	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	aflicció	0.302	0.555	0.293
afflicted	afligit	0.271	0.500	0.167
affliction	aflicció	0.294	0.635	0.392
affluence	riquesa	0.663	0.618	0.722
affluent	afluent	0.756	0.388	0.477
afford	pagar	0.571	0.580	0.575
affordable	assequible	0.840	0.398	0.493
affront	afrontament	0.327	0.740	0.547
affronted	afrontat	0.385	0.750	0.527
afield	fora	0.594	0.370	0.373
afire	un incendi	0.367	0.904	0.675
afloat	a flotació	0.602	0.427	0.444
afore	abans	0.500	0.337	0.382
aforementioned	abans esmentat	0.490	0.316	0.408
aforesaid	esmentat	0.531	0.358	0.478
afraid	té por	0.010	0.775	0.245
afresh	de nou	0.643	0.521	0.480
african	africà	0.490	0.423	0.555
aft	popa	0.480	0.417	0.518
afterlife	més enllà	0.571	0.567	0.568
aftermath	conseqüències	0.312	0.449	0.444
afternoon	tarda	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	regust	0.354	0.362	0.455
afterthought	després de la reflexió	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	Agape	0.612	0.529	0.464
agate	àgata	0.540	0.377	0.483
age	edat	0.561	0.226	0.498
aged	envellit	0.135	0.365	0.236
agency	agència	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomeració	0.450	0.765	0.509
aggravate	agreujar	0.224	0.770	0.464
aggravated	agreujat	0.079	0.760	0.430
aggravates	s'agreuja	0.108	0.778	0.357
aggravating	agreujant	0.257	0.794	0.640
aggravation	agreujament	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	agregació	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agressió	0.094	0.929	0.533
aggressive	agressiu	0.125	0.949	0.648
aggressively	agressivament	0.250	0.926	0.688
aggressiveness	agressivitat	0.077	0.913	0.648
aggressor	agressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	agotar	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	àgil	0.800	0.657	0.775
agility	agilitat	0.720	0.702	0.815
aging	envelliment	0.214	0.255	0.284
agitate	agitar	0.300	0.796	0.593
agitated	agitat	0.444	0.882	0.491
agitation	agitació	0.240	0.931	0.447
aglow	Aglow	0.780	0.510	0.797
agnostic	agnòstic	0.306	0.396	0.574
ago	fa	0.317	0.280	0.404
agonizing	agonitzant	0.083	0.800	0.340
agony	agonia	0.083	0.775	0.393
agoraphobia	agorafòbia	0.127	0.712	0.438
agree	acordar	0.906	0.260	0.545
agreeable	agradable	0.906	0.500	0.696
agreed	convingut	0.797	0.449	0.574
agreeing	acordant	0.854	0.480	0.557
agreement	acord	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrícola	0.686	0.321	0.473
agriculture	agricultura	0.640	0.357	0.465
aground	encallat	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	endavant	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	ajudes	0.796	0.491	0.541
aide	ajudant	0.724	0.342	0.434
aiding	ajudant	0.643	0.533	0.569
aids	ajudes	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	malalta	0.094	0.518	0.153
ailment	malaltia	0.146	0.734	0.277
aim	objectiu	0.481	0.569	0.567
aimless	sense sentit	0.150	0.267	0.183
air	aire	0.708	0.163	0.427
airbag	Airbag	0.510	0.402	0.433
airborne	aerotransportat	0.542	0.519	0.385
aircraft	avió	0.646	0.644	0.691
aircraft carrier	portaavions	0.490	0.740	0.727
airfield	aeròdrom	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	pujada aèria	0.573	0.622	0.642
airline	aerolínia	0.650	0.482	0.688
airliner	avió de línia	0.667	0.777	0.647
airlock	airejador	0.398	0.520	0.447
airman	aviador	0.587	0.716	0.721
airplane	avió	0.719	0.702	0.708
airport	aeroport	0.729	0.684	0.682
airs	aire	0.583	0.196	0.370
airship	aeronau	0.542	0.472	0.529
airspace	espai aeri	0.562	0.510	0.640
airspeed	velocitat aèria	0.583	0.780	0.544
airstrip	pista d'aterratge	0.550	0.690	0.649
airtight	estanca	0.479	0.381	0.570
airway	via aèria	0.638	0.585	0.482
aisle	passadís	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	igual	0.639	0.343	0.523
alabaster	alabastre	0.542	0.404	0.445
alarm	alarma	0.241	0.882	0.698
alarm clock	despertador	0.542	0.727	0.642
alarmed	alarmat	0.188	0.822	0.492
alarming	alarmant	0.204	0.890	0.585
alas	per desgràcia	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	àlbum	0.635	0.349	0.453
alchemy	alquímia	0.541	0.583	0.693
alcohol	alcohol	0.323	0.667	0.377
alcoholic	alcohòlic	0.153	0.688	0.361
alcoholism	alcoholisme	0.061	0.779	0.407
alcove	alcova	0.490	0.340	0.356
alderman	regidor	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alerta	0.479	0.820	0.648
alertness	vigilància	0.375	0.875	0.750
alerts	alertes	0.337	0.804	0.673
alfalfa	Alfals	0.546	0.250	0.311
algebra	àlgebra	0.440	0.340	0.565
algebraic	algebraica	0.531	0.412	0.441
algorithm	algorisme	0.448	0.394	0.559
alias	àlies	0.541	0.353	0.333
alibi	coartada	0.396	0.528	0.556
alien	estranger	0.410	0.615	0.491
alienate	alienar	0.247	0.500	0.523
alienated	alienat	0.410	0.423	0.559
alienation	alienació	0.378	0.530	0.462
alight	s'encén	0.667	0.657	0.605
align	alinear	0.656	0.364	0.627
aligned	alineats	0.583	0.275	0.553
alignment	alineació	0.643	0.412	0.683
alike	igual	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	pensió alimentària	0.612	0.477	0.464
aliquot	alíquota	0.440	0.310	0.404
alive	viu	0.816	0.637	0.731
alkali	àlcali	0.490	0.350	0.408
alkaloids	alcaloides	0.433	0.562	0.402
allay	allau	0.417	0.406	0.398
allegation	al · legació	0.578	0.578	0.608
allege	al·leguen	0.418	0.482	0.587
alleged	suposat	0.365	0.522	0.520
allegiance	lleialtat	0.917	0.398	0.750
allegorical	alegórico	0.517	0.558	0.598
allegory	al·legoria	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	al·lèrgic	0.135	0.549	0.273
allergy	al·lèrgia	0.296	0.606	0.389
alleviate	alleujar	0.869	0.270	0.528
alleviation	alleujament	0.735	0.200	0.491
alley	carreró	0.347	0.500	0.355
alleyway	carreró	0.357	0.471	0.382
alliance	aliança	0.696	0.473	0.769
allied	aliats	0.714	0.245	0.642
alligator	caiman	0.354	0.704	0.645
allocate	assignar	0.673	0.462	0.672
allocation	assignació	0.604	0.388	0.679
allot	allotjar	0.622	0.481	0.616
allotment	assignació	0.600	0.390	0.640
allow	permetre'l	0.698	0.429	0.538
allowable	admissible	0.698	0.500	0.561
allowance	subsidi	0.673	0.382	0.591
allowed	permès	0.730	0.360	0.655
alloy	aliatge	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	encant	0.804	0.585	0.686
alluring	fascinant	0.837	0.745	0.843
allusion	al·lusió	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	aliat	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	Totpoderós	0.938	0.874	0.958
almond	ametlla	0.698	0.183	0.314
aloft	a dalt	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sol	0.333	0.167	0.216
alongside	al costat	0.458	0.333	0.347
aloof	a part	0.189	0.423	0.302
aloud	en veu alta	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabètic	0.537	0.296	0.535
alpine	alpí	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	noi altar	0.434	0.206	0.350
alter	alterar	0.333	0.694	0.654
alteration	alteració	0.167	0.798	0.609
altercation	altercació	0.170	0.806	0.500
altered	alterat	0.255	0.765	0.500
alternate	alternatiu	0.625	0.363	0.589
alternating	alternant	0.480	0.494	0.542
alternative	alternativa	0.628	0.373	0.631
altimeter	altímetre	0.615	0.510	0.580
altitude	altitud	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	en conjunt	0.833	0.324	0.644
aluminum	alumini	0.449	0.280	0.434
alumnus	alumne	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	amalgamació	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	sorprèn	0.896	0.843	0.783
amazed	sorprès	0.796	0.779	0.533
amazedness	amistat	0.827	0.872	0.510
amazement	sorpresa	0.750	0.800	0.639
amazing	sorprenent	0.906	0.837	0.849
amazingly	sorprenentment	0.918	0.765	0.920
ambassador	ambaixador	0.651	0.529	0.917
amber	ambre	0.635	0.308	0.369
ambience	ambient	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambigüitat	0.164	0.460	0.370
ambiguous	ambigu	0.265	0.462	0.358
ambit	àmbit	0.479	0.380	0.386
ambition	ambició	0.510	0.804	0.661
ambitious	ambiciós	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulància	0.500	0.750	0.609
ambush	emboscada	0.281	0.830	0.500
ameliorate	Millorar	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	esmenar	0.688	0.406	0.658
amendment	esmena	0.531	0.459	0.606
amends	esmena	0.640	0.366	0.517
amenity	comoditat	0.750	0.327	0.574
amethyst	Ametista	0.622	0.406	0.517
amiable	amable	0.847	0.290	0.483
amicable	amistós	0.875	0.330	0.507
amid	enmig	0.510	0.340	0.256
amidst	amunt	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munició	0.323	0.765	0.621
ammonia	amoníac	0.292	0.587	0.409
ammonium	amoni	0.354	0.396	0.368
ammunition	municions	0.338	0.635	0.667
amnesia	amnèsia	0.296	0.330	0.308
amnesty	amnistia	0.551	0.451	0.814
amorous	amorós	0.844	0.670	0.636
amorphous	amorfa	0.327	0.402	0.349
amortization	amortització	0.592	0.491	0.522
amount	quantitat	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamines	0.133	0.667	0.526
amphibian	amfibi	0.427	0.357	0.474
amphibious	amfibis	0.479	0.346	0.445
amphitheater	amfiteatre	0.653	0.480	0.545
ample	àmplia	0.744	0.349	0.719
amplification	Amplificació	0.690	0.677	0.810
amplify	amplificar	0.677	0.735	0.827
amplitude	amplitud	0.694	0.439	0.692
amply	àmpliament	0.781	0.431	0.766
amputate	amputar	0.092	0.660	0.509
amputation	amputació	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	divertir	0.812	0.684	0.664
amused	divertit	0.942	0.847	0.596
amusement	diversió	0.929	0.837	0.803
amusing	divertit	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestèsia	0.350	0.217	0.473
anaesthetic	anestèsic	0.449	0.268	0.509
anagram	anagrama	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgèsic	0.417	0.321	0.441
analogous	anàleg	0.531	0.270	0.500
analogue	analògic	0.570	0.320	0.446
analogy	analogia	0.510	0.367	0.509
analysis	anàlisi	0.729	0.448	0.705
analyst	analista	0.604	0.415	0.755
analytic	analític	0.665	0.521	0.634
analytical	analític	0.625	0.324	0.800
analyze	analitzar	0.667	0.462	0.710
analyzer	analitzador	0.625	0.556	0.854
anaphylactic	anafilàctic	0.378	0.588	0.500
anarchism	anarquisme	0.125	0.804	0.623
anarchist	anarquista	0.204	0.700	0.759
anarchy	anarquia	0.146	0.755	0.620
anastomosis	anastomosi	0.375	0.470	0.490
anathema	anatema	0.286	0.490	0.519
anatomic	anatòmic	0.562	0.442	0.546
anatomy	anatomia	0.562	0.390	0.571
ancestor	avantpassat	0.592	0.388	0.594
ancestral	ancestral	0.640	0.481	0.750
ancestry	ascendència	0.708	0.519	0.717
anchor	àncora	0.520	0.284	0.564
anchorage	ancoratge	0.500	0.325	0.639
ancient	antic	0.420	0.217	0.439
ancillary	auxiliars	0.449	0.442	0.278
androgen	Androgen	0.255	0.523	0.527
android	Android	0.663	0.436	0.500
anecdote	anècdota	0.583	0.529	0.500
anemia	anèmia	0.188	0.327	0.310
anemic	anémico	0.167	0.279	0.155
anemone	anemone	0.552	0.538	0.327
