Word	Croatian-hr	Valence	Arousal	Dominance
adhesion	prianjanje	0.521	0.445	0.586
adhesive	adheziv	0.604	0.350	0.413
adieu	zbogom	0.250	0.471	0.342
adipose	masan	0.333	0.350	0.391
adjacency	susjedstvo	0.365	0.417	0.375
adjacent	susjedan	0.645	0.276	0.536
adjective	pridjev	0.570	0.316	0.569
adjoining	susjedan	0.520	0.400	0.393
adjourn	odgoditi	0.385	0.456	0.475
adjournment	odlaganje	0.438	0.510	0.370
adjudicate	presuditi	0.559	0.520	0.683
adjudication	presuda	0.551	0.462	0.691
adjunct	dodatak	0.459	0.440	0.426
adjust	prilagoditi	0.647	0.327	0.638
adjuster	regulator	0.510	0.540	0.760
adjustment	podešavanje	0.590	0.520	0.661
adjuvant	katalizator	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	upravljati	0.635	0.425	0.860
administration	uprava	0.625	0.404	0.786
administrative	upravni	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	izvrstan	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralitet	0.594	0.547	0.733
admiration	divljenje	0.969	0.583	0.726
admire	diviti se	0.867	0.692	0.704
admired	cijenjen	0.917	0.560	0.815
admirer	obožavatelj	0.796	0.720	0.650
admiring	diveći	0.867	0.578	0.629
admissibility	dopuštenost	0.802	0.580	0.602
admissible	dopustiv	0.780	0.528	0.642
admission	ulaz	0.802	0.415	0.732
admit	priznati	0.538	0.423	0.667
admittance	ulaz	0.690	0.451	0.598
admitted	priznao	0.720	0.490	0.767
admitting	priznajući	0.620	0.500	0.546
admixture	primjesa	0.450	0.375	0.438
admonition	ukor	0.357	0.606	0.455
ado	teškoća	0.520	0.423	0.385
adobe	čerpić	0.500	0.319	0.328
adolescence	mladost	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	posvojiti	0.694	0.612	0.701
adoption	posvajanje	0.625	0.566	0.589
adoptive	sposoban za primanje	0.531	0.469	0.520
adorable	divan	0.969	0.519	0.457
adoration	obožavanje	0.885	0.699	0.708
adore	obožavati	0.854	0.438	0.657
adoring	divna	0.885	0.620	0.717
adorn	krasiti	0.910	0.424	0.482
adornment	ukras	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	prepušteno slučaju	0.398	0.486	0.230
adult	odrasla osoba	0.815	0.491	0.787
adulterated	postarale	0.188	0.865	0.370
adulterer	preljubnik	0.229	0.814	0.407
adultery	preljuba	0.120	0.922	0.510
adulthood	odraslost	0.541	0.454	0.652
advance	napredovati	0.673	0.472	0.858
advanced	Napredna	0.844	0.623	0.797
advancement	napredak	0.776	0.650	0.839
advancing	unapređenja	0.929	0.608	0.812
advantage	prednost	0.917	0.548	0.859
advantageous	povoljan	0.837	0.640	0.789
advent	dolazak	0.665	0.560	0.627
adventure	avantura	0.917	0.857	0.710
adventurer	pustolov	0.781	0.839	0.868
adventures	avanture	0.812	0.764	0.749
adventurous	pustolovan	0.969	0.898	0.722
adversary	protivnik	0.349	0.777	0.457
adverse	štetan	0.323	0.610	0.385
adversity	nedaće	0.276	0.760	0.538
advertise	oglašavati	0.500	0.529	0.580
advertisement	oglas	0.600	0.566	0.539
advertising	oglašavanje	0.622	0.608	0.632
adverts	oglasi	0.551	0.500	0.595
advice	savjet	0.698	0.408	0.688
advisable	preporučljiv	0.867	0.480	0.510
advise	savjetovati	0.760	0.393	0.705
advised	savjetovan	0.823	0.330	0.509
advisement	savjetovanje	0.698	0.235	0.655
adviser	savjetnik	0.745	0.362	0.705
advisor	savjetnik	0.646	0.350	0.689
advisory	savjetodavni	0.656	0.429	0.633
advocacy	advokatura	0.500	0.646	0.731
advocate	pristalica	0.551	0.530	0.818
aegis	okrilje	0.490	0.439	0.462
aeration	aeracija	0.550	0.500	0.433
aerial	antena	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodinamičan	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	zrakoplov	0.714	0.642	0.644
aerospace	zračno-kosmički prostor	0.643	0.520	0.779
aesthetic	estetski	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologija	0.480	0.398	0.615
afar	izdaleka	0.396	0.373	0.358
affable	ljubazan	0.704	0.380	0.452
affair	afera	0.520	0.459	0.657
affect	utjecati	0.458	0.569	0.578
affecting	utječu	0.350	0.574	0.394
affection	ljubav	0.898	0.559	0.696
affectionate	nježan	0.949	0.422	0.550
affections	sklonosti	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	pismena izjava	0.469	0.584	0.526
affiliated	povezane	0.673	0.519	0.535
affiliation	pripadanje	0.615	0.594	0.500
affinity	sklonost	0.800	0.500	0.537
affirm	potvrditi	0.745	0.509	0.731
affirmation	potvrđivanje	0.750	0.500	0.689
affirmative	potvrdan	0.854	0.589	0.816
affirmatively	potvrdno	0.908	0.500	0.811
affix	pričvrstiti	0.438	0.335	0.411
afflict	nanijeti bol	0.302	0.555	0.293
afflicted	potlačeni	0.271	0.500	0.167
affliction	nesreća	0.294	0.635	0.392
affluence	obilje	0.663	0.618	0.722
affluent	pritoka	0.756	0.388	0.477
afford	priuštiti	0.571	0.580	0.575
affordable	dostupan	0.840	0.398	0.493
affront	uvreda	0.327	0.740	0.547
affronted	uvrijeđeno	0.385	0.750	0.527
afield	napolju	0.594	0.370	0.373
afire	vatra	0.367	0.904	0.675
afloat	na vodi	0.602	0.427	0.444
afore	prije	0.500	0.337	0.382
aforementioned	ranije spomenuti	0.490	0.316	0.408
aforesaid	spomenuta	0.531	0.358	0.478
afraid	uplašen	0.010	0.775	0.245
afresh	iznova	0.643	0.521	0.480
african	afrički	0.490	0.423	0.555
aft	na krmi	0.480	0.417	0.518
afterlife	zagrobni život	0.571	0.567	0.568
aftermath	posljedica	0.312	0.449	0.444
afternoon	poslijepodne	0.533	0.388	0.339
aftershave	losion poslije brijanja	0.406	0.384	0.415
aftertaste	zaostali ukus u ustima	0.354	0.362	0.455
afterthought	naknadna misao	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	zinvši	0.612	0.529	0.464
agate	ahat	0.540	0.377	0.483
age	dob	0.561	0.226	0.498
aged	star	0.135	0.365	0.236
agency	agencija	0.460	0.296	0.583
agenda	dnevni red	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomeracija	0.450	0.765	0.509
aggravate	pogoršati	0.224	0.770	0.464
aggravated	pogoršati	0.079	0.760	0.430
aggravates	otežava	0.108	0.778	0.357
aggravating	otežavajući	0.257	0.794	0.640
aggravation	otežavanje	0.071	0.784	0.613
aggregate	skupina	0.730	0.378	0.556
aggregation	sakupljanje	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresija	0.094	0.929	0.533
aggressive	agresivan	0.125	0.949	0.648
aggressively	agresivno	0.250	0.926	0.688
aggressiveness	agresivnost	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	Agh	0.260	0.500	0.400
aghast	prestravljen	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	okretan	0.800	0.657	0.775
agility	agilnost	0.720	0.702	0.815
aging	starenje	0.214	0.255	0.284
agitate	agitirati	0.300	0.796	0.593
agitated	uzrujan	0.444	0.882	0.491
agitation	agitacija	0.240	0.931	0.447
aglow	u plamenu	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	prije	0.317	0.280	0.404
agonizing	očajnički	0.083	0.800	0.340
agony	agonija	0.083	0.775	0.393
agoraphobia	strah od otvorenog prostora	0.127	0.712	0.438
agree	složiti	0.906	0.260	0.545
agreeable	prijatan	0.906	0.500	0.696
agreed	dogovoren	0.797	0.449	0.574
agreeing	slažući	0.854	0.480	0.557
agreement	sporazum	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	poljoprivredni	0.686	0.321	0.473
agriculture	poljoprivreda	0.640	0.357	0.465
aground	nasukano	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	naprijed	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoy	0.500	0.497	0.380
aid	pomoć	0.796	0.491	0.541
aide	pomoćnik	0.724	0.342	0.434
aiding	pomaganje	0.643	0.533	0.569
aids	sida	0.561	0.480	0.500
ail	boliti	0.375	0.434	0.385
ailing	bolan	0.094	0.518	0.153
ailment	oboljenje	0.146	0.734	0.277
aim	cilj	0.481	0.569	0.567
aimless	besciljan	0.150	0.267	0.183
air	zrak	0.708	0.163	0.427
airbag	zračni jastuk	0.510	0.402	0.433
airborne	u zraku	0.542	0.519	0.385
aircraft	zrakoplov	0.646	0.644	0.691
aircraft carrier	nosač zrakoplova	0.490	0.740	0.727
airfield	aerodrom	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	zračni most	0.573	0.622	0.642
airline	aviokompanija	0.650	0.482	0.688
airliner	putnički avion	0.667	0.777	0.647
airlock	plinski rezervoar	0.398	0.520	0.447
airman	avijatičar	0.587	0.716	0.721
airplane	zrakoplov	0.719	0.702	0.708
airport	zračna luka	0.729	0.684	0.682
airs	Zrak	0.583	0.196	0.370
airship	cepelin	0.542	0.472	0.529
airspace	zračni prostor	0.562	0.510	0.640
airspeed	brzina zraka	0.583	0.780	0.544
airstrip	pista za poletanje i sletanje	0.550	0.690	0.649
airtight	hermetičan	0.479	0.381	0.570
airway	ventilacija	0.638	0.585	0.482
aisle	prolaz	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	sličan	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	budilica	0.542	0.727	0.642
alarmed	uznemirio	0.188	0.822	0.492
alarming	alarmantan	0.204	0.890	0.585
alas	avaj jao meni	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkemija	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholičar	0.153	0.688	0.361
alcoholism	alkoholizam	0.061	0.779	0.407
alcove	sjenica	0.490	0.340	0.356
alderman	vijećnik	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	uzbuna	0.479	0.820	0.648
alertness	opreznost	0.375	0.875	0.750
alerts	upozorenja	0.337	0.804	0.673
alfalfa	lucerka	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebarski	0.531	0.412	0.441
algorithm	algoritam	0.448	0.394	0.559
alias	pseudonim	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	stranac	0.410	0.615	0.491
alienate	otuđiti	0.247	0.500	0.523
alienated	otuđen	0.410	0.423	0.559
alienation	otuđenje	0.378	0.530	0.462
alight	zapaljen	0.667	0.657	0.605
align	uskladiti	0.656	0.364	0.627
aligned	poravnat	0.583	0.275	0.553
alignment	poravnanje	0.643	0.412	0.683
alike	slično	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimentacija	0.612	0.477	0.464
aliquot	alikvot	0.440	0.310	0.404
alive	živ	0.816	0.637	0.731
alkali	lužina	0.490	0.350	0.408
alkaloids	alkaloidi	0.433	0.562	0.402
allay	ublažiti	0.417	0.406	0.398
allegation	navod	0.578	0.578	0.608
allege	izjavljivati	0.418	0.482	0.587
alleged	navodni	0.365	0.522	0.520
allegiance	vjernost	0.917	0.398	0.750
allegorical	alegorijski	0.517	0.558	0.598
allegory	alegorija	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergičan	0.135	0.549	0.273
allergy	alergija	0.296	0.606	0.389
alleviate	ublažiti	0.869	0.270	0.528
alleviation	ublaženje	0.735	0.200	0.491
alley	drvored	0.347	0.500	0.355
alleyway	prilaz kući	0.357	0.471	0.382
alliance	savez	0.696	0.473	0.769
allied	saveznički	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	dodijeliti	0.673	0.462	0.672
allocation	namjena	0.604	0.388	0.679
allot	dodijeliti	0.622	0.481	0.616
allotment	dodjela	0.600	0.390	0.640
allow	dopustiti	0.698	0.429	0.538
allowable	dopustiv	0.698	0.500	0.561
allowance	džeparac	0.673	0.382	0.591
allowed	dopušteno	0.730	0.360	0.655
alloy	legura	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	vabiti	0.804	0.585	0.686
alluring	primamljiv	0.837	0.745	0.843
allusion	aluzija	0.440	0.308	0.462
alluvial	aluvialni	0.323	0.490	0.491
ally	saveznik	0.792	0.320	0.688
almanac	almanah	0.688	0.190	0.412
almighty	svemoguć	0.938	0.874	0.958
almond	badem	0.698	0.183	0.314
aloft	gore	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	sam	0.333	0.167	0.216
alongside	pored	0.458	0.333	0.347
aloof	podalje	0.189	0.423	0.302
aloud	naglas	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	abeceda	0.562	0.204	0.672
alphabetical	alfabetski	0.537	0.296	0.535
alpine	alpski	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	oltar	0.724	0.387	0.635
altar boy	oltarni dječak	0.434	0.206	0.350
alter	mijenjati	0.333	0.694	0.654
alteration	promjena	0.167	0.798	0.609
altercation	svađa	0.170	0.806	0.500
altered	promijenjen	0.255	0.765	0.500
alternate	naizmjenično	0.625	0.363	0.589
alternating	naizmjeničan	0.480	0.494	0.542
alternative	alternativa	0.628	0.373	0.631
altimeter	altimetar	0.615	0.510	0.580
altitude	visina	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	potpuno	0.833	0.324	0.644
aluminum	aluminijum	0.449	0.280	0.434
alumnus	svršeni učenik visoke škole	0.633	0.368	0.422
alveolar	alveolarni	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamacija	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	skupiti	0.552	0.465	0.465
amateur	amater	0.469	0.500	0.409
amaze	zadiviti	0.896	0.843	0.783
amazed	zadivljen	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	zadivljenost	0.750	0.800	0.639
amazing	nevjerojatan	0.906	0.837	0.849
amazingly	začuđeno	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	jantar	0.635	0.308	0.369
ambience	sredina	0.735	0.356	0.426
ambient	ambijentalni	0.625	0.360	0.582
ambiguity	dvosmislenost	0.164	0.460	0.370
ambiguous	dvosmislen	0.265	0.462	0.358
ambit	granica	0.479	0.380	0.386
ambition	ambicija	0.510	0.804	0.661
ambitious	ambiciozan	0.484	0.821	0.717
ambivalent	ambivalentan	0.510	0.404	0.482
ambrosia	ambrozija	0.571	0.452	0.480
ambulance	hitna pomoć	0.500	0.750	0.609
ambush	zasjeda	0.281	0.830	0.500
ameliorate	poboljšati	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	odgovoran	0.448	0.410	0.406
amend	ispraviti	0.688	0.406	0.658
amendment	amandman	0.531	0.459	0.606
amends	odšteta	0.640	0.366	0.517
amenity	ugodnost	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	ljubazan	0.847	0.290	0.483
amicable	prijateljski	0.875	0.330	0.507
amid	usred	0.510	0.340	0.256
amidst	usred	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	municija	0.323	0.765	0.621
ammonia	amonijak	0.292	0.587	0.409
ammonium	amonijum	0.354	0.396	0.368
ammunition	municija	0.338	0.635	0.667
amnesia	amnezija	0.296	0.330	0.308
amnesty	amnestija	0.551	0.451	0.814
amorous	ljubavni	0.844	0.670	0.636
amorphous	amorfan	0.327	0.402	0.349
amortization	amortizacija	0.592	0.491	0.522
amount	iznos	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	pojačalo	0.439	0.393	0.375
ampersand	znak za struju	0.480	0.448	0.483
amphetamines	amfetamini	0.133	0.667	0.526
amphibian	amfibijski	0.427	0.357	0.474
amphibious	amfibijski	0.479	0.346	0.445
amphitheater	amfiteatar	0.653	0.480	0.545
ample	opsežan	0.744	0.349	0.719
amplification	pojačanje	0.690	0.677	0.810
amplify	pojačati	0.677	0.735	0.827
amplitude	amplituda	0.694	0.439	0.692
amply	opširno	0.781	0.431	0.766
amputate	amputirati	0.092	0.660	0.509
amputation	amputacija	0.100	0.755	0.483
amuck	bijesan	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	zabavljati	0.812	0.684	0.664
amused	zabavljen	0.942	0.847	0.596
amusement	zabava	0.929	0.837	0.803
amusing	zabavan	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestezija	0.350	0.217	0.473
anaesthetic	anestetički	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	analan	0.333	0.798	0.334
analgesic	analgetik	0.417	0.321	0.441
analogous	analogan	0.531	0.270	0.500
analogue	analoga	0.570	0.320	0.446
analogy	analogija	0.510	0.367	0.509
analysis	analiza	0.729	0.448	0.705
analyst	analitičar	0.604	0.415	0.755
analytic	analitički	0.665	0.521	0.634
analytical	analitički	0.625	0.324	0.800
analyze	analizirati	0.667	0.462	0.710
