Word	Korean-ko	Valence	Arousal	Dominance
acoustics	음향학	0.611	0.330	0.509
acquaint	의히 알게 하다	0.646	0.491	0.639
acquaintance	아는 사람	0.656	0.290	0.670
acquainted	정통한	0.906	0.358	0.632
acquiescence	묵종	0.542	0.480	0.554
acquire	얻다	0.833	0.468	0.700
acquiring	취득	0.735	0.510	0.817
acquisition	취득	0.698	0.509	0.736
acquisitions	인수	0.773	0.660	0.790
acquit	무죄하다	0.583	0.571	0.611
acquittal	무죄 방면	0.760	0.497	0.700
acre	에이커	0.583	0.387	0.423
acreage	토지	0.741	0.450	0.528
acres	에이커	0.510	0.363	0.500
acrobat	곡예사	0.708	0.828	0.602
acrylic	아크릴	0.582	0.279	0.420
act	행위	0.656	0.704	0.735
acting	연기	0.698	0.643	0.500
action	동작	0.760	0.898	0.802
action figure	액션 피규어	0.615	0.774	0.611
actionable	실행 가능한	0.673	0.702	0.613
activate	활성화하다	0.764	0.650	0.806
activation	활성화	0.781	0.800	0.754
active	유효한	0.847	0.730	0.731
activist	활동가	0.531	0.653	0.877
activity	활동	0.701	0.660	0.807
actor	배우	0.653	0.561	0.629
actress	여배우	0.633	0.556	0.596
actual	실제의	0.729	0.400	0.716
actuality	현실	0.750	0.464	0.600
actuary	보험 수리사	0.510	0.404	0.491
acuity	날카로움	0.469	0.378	0.741
acumen	예리함	0.564	0.660	0.679
acupuncture	침 요법	0.531	0.324	0.549
acute	심각한	0.427	0.652	0.534
acutely	심하게	0.417	0.543	0.491
ad	광고	0.521	0.705	0.558
adage	금언	0.517	0.415	0.566
adamant	단호한	0.344	0.529	0.575
adapt	개조 하다	0.740	0.355	0.551
adaptable	적응할 수 있는	0.735	0.423	0.641
adaptation	적응	0.663	0.365	0.609
add	더하다	0.728	0.490	0.554
added	추가 된	0.562	0.405	0.509
addendum	추가	0.392	0.370	0.418
adder	가산기	0.388	0.461	0.588
addict	중독자	0.075	0.696	0.327
addicted	중독 된	0.156	0.712	0.483
addiction	탐닉	0.180	0.806	0.420
addictive	중독성의	0.302	0.683	0.472
addition	부가	0.562	0.373	0.471
additional	추가의	0.673	0.462	0.526
additive	첨가물	0.561	0.633	0.691
address	주소	0.650	0.327	0.567
addressee	수신인	0.622	0.382	0.538
addresses	구애	0.510	0.354	0.450
adept	정통한	0.594	0.539	0.789
adequacy	적절	0.615	0.435	0.702
adequate	알맞은	0.854	0.264	0.705
adhere	고착하다	0.633	0.339	0.554
adherence	부착	0.760	0.307	0.630
adherent	자기편	0.561	0.385	0.555
adhering	고착하는	0.612	0.561	0.537
adhesion	부착	0.521	0.445	0.586
adhesive	점착제	0.604	0.350	0.413
adieu	안녕	0.250	0.471	0.342
adipose	지방	0.333	0.350	0.391
adjacency	인접	0.365	0.417	0.375
adjacent	인접한	0.645	0.276	0.536
adjective	형용사	0.570	0.316	0.569
adjoining	인접한	0.520	0.400	0.393
adjourn	연기하다	0.385	0.456	0.475
adjournment	연기	0.438	0.510	0.370
adjudicate	판결하다	0.559	0.520	0.683
adjudication	판결	0.551	0.462	0.691
adjunct	부가어	0.459	0.440	0.426
adjust	맞추다	0.647	0.327	0.638
adjuster	조정자	0.510	0.540	0.760
adjustment	조정	0.590	0.520	0.661
adjuvant	보조제	0.510	0.500	0.456
admin	관리자	0.688	0.420	0.854
administer	관리하다	0.635	0.425	0.860
administration	관리	0.625	0.404	0.786
administrative	행정의	0.542	0.415	0.579
administrator	관리자	0.538	0.480	0.902
admirable	훌륭한	0.929	0.600	0.870
admiral	해군 대장	0.844	0.490	0.847
admiralty	해군 대장	0.594	0.547	0.733
admiration	감탄	0.969	0.583	0.726
admire	감탄하다	0.867	0.692	0.704
admired	존경하는	0.917	0.560	0.815
admirer	숭배자	0.796	0.720	0.650
admiring	감탄하는	0.867	0.578	0.629
admissibility	허용 성	0.802	0.580	0.602
admissible	허용할만한	0.780	0.528	0.642
admission	입장	0.802	0.415	0.732
admit	들이다	0.538	0.423	0.667
admittance	입장	0.690	0.451	0.598
admitted	인정 된	0.720	0.490	0.767
admitting	인정하다	0.620	0.500	0.546
admixture	혼합	0.450	0.375	0.438
admonition	훈계	0.357	0.606	0.455
ado	야단법석	0.520	0.423	0.385
adobe	어도비 벽돌	0.500	0.319	0.328
adolescence	청년기	0.487	0.694	0.444
adolescent	한창 젊은	0.781	0.680	0.509
adopt	채택하다	0.694	0.612	0.701
adoption	양자	0.625	0.566	0.589
adoptive	입양아	0.531	0.469	0.520
adorable	홀딱 반할 만한	0.969	0.519	0.457
adoration	동경	0.885	0.699	0.708
adore	경앙하다	0.854	0.438	0.657
adoring	숭배하는	0.885	0.620	0.717
adorn	꾸미다	0.910	0.424	0.482
adornment	장식품	0.918	0.373	0.377
adrenalin	아드레날린	0.865	0.920	0.786
adrenaline	아드레날린	0.765	0.965	0.825
adrift	떠돌아	0.398	0.486	0.230
adult	성인	0.815	0.491	0.787
adulterated	불량	0.188	0.865	0.370
adulterer	간부	0.229	0.814	0.407
adultery	간통	0.120	0.922	0.510
adulthood	성인 임	0.541	0.454	0.652
advance	전진	0.673	0.472	0.858
advanced	많은	0.844	0.623	0.797
advancement	진보	0.776	0.650	0.839
advancing	전진하는	0.929	0.608	0.812
advantage	이점	0.917	0.548	0.859
advantageous	유리한	0.837	0.640	0.789
advent	출현	0.665	0.560	0.627
adventure	모험	0.917	0.857	0.710
adventurer	모험가	0.781	0.839	0.868
adventures	모험	0.812	0.764	0.749
adventurous	모험심이 많은	0.969	0.898	0.722
adversary	적	0.349	0.777	0.457
adverse	불리한	0.323	0.610	0.385
adversity	역경	0.276	0.760	0.538
advertise	공시 하다	0.500	0.529	0.580
advertisement	광고	0.600	0.566	0.539
advertising	광고하는	0.622	0.608	0.632
adverts	광고	0.551	0.500	0.595
advice	조언	0.698	0.408	0.688
advisable	타당한	0.867	0.480	0.510
advise	권하다	0.760	0.393	0.705
advised	조언받은	0.823	0.330	0.509
advisement	권고	0.698	0.235	0.655
adviser	고문	0.745	0.362	0.705
advisor	고문	0.646	0.350	0.689
advisory	자문	0.656	0.429	0.633
advocacy	옹호	0.500	0.646	0.731
advocate	대변자	0.551	0.530	0.818
aegis	보호	0.490	0.439	0.462
aeration	폭기	0.550	0.500	0.433
aerial	공중선	0.615	0.461	0.463
aerobics	에어로빅	0.708	0.771	0.627
aerodrome	비행장	0.541	0.740	0.678
aerodynamic	공기 역학의	0.561	0.724	0.728
aerodynamics	공기 역학	0.590	0.663	0.722
aeronautics	항공학	0.551	0.633	0.688
aeroplane	비행기	0.714	0.642	0.644
aerospace	항공 우주	0.643	0.520	0.779
aesthetic	심미적 인	0.708	0.442	0.526
aesthetics	미학	0.847	0.327	0.549
aetiology	병인학	0.480	0.398	0.615
afar	멀리	0.396	0.373	0.358
affable	상냥한	0.704	0.380	0.452
affair	일	0.520	0.459	0.657
affect	감정	0.458	0.569	0.578
affecting	영향을 미치는	0.350	0.574	0.394
affection	애정	0.898	0.559	0.696
affectionate	애정 어린	0.949	0.422	0.550
affections	애정	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	선서 진술서	0.469	0.584	0.526
affiliated	계열사	0.673	0.519	0.535
affiliation	입회	0.615	0.594	0.500
affinity	유연	0.800	0.500	0.537
affirm	긍정하다	0.745	0.509	0.731
affirmation	확언	0.750	0.500	0.689
affirmative	긍정의	0.854	0.589	0.816
affirmatively	긍정의	0.908	0.500	0.811
affix	부착	0.438	0.335	0.411
afflict	괴롭히다	0.302	0.555	0.293
afflicted	괴로워하는	0.271	0.500	0.167
affliction	고통	0.294	0.635	0.392
affluence	풍부	0.663	0.618	0.722
affluent	풍족한	0.756	0.388	0.477
afford	여유가있다	0.571	0.580	0.575
affordable	저렴한	0.840	0.398	0.493
affront	모욕	0.327	0.740	0.547
affronted	부끄러운	0.385	0.750	0.527
afield	외지의	0.594	0.370	0.373
afire	화재	0.367	0.904	0.675
afloat	떠서	0.602	0.427	0.444
afore	전에	0.500	0.337	0.382
aforementioned	앞서 말한	0.490	0.316	0.408
aforesaid	전술 한	0.531	0.358	0.478
afraid	두려워하는	0.010	0.775	0.245
afresh	새로이	0.643	0.521	0.480
african	아프리카 사람	0.490	0.423	0.555
aft	후미	0.480	0.417	0.518
afterlife	내세	0.571	0.567	0.568
aftermath	여파	0.312	0.449	0.444
afternoon	대낮	0.533	0.388	0.339
aftershave	애프터 셰 이브	0.406	0.384	0.415
aftertaste	뒷맛	0.354	0.362	0.455
afterthought	보적	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	입을 딱 벌리고	0.612	0.529	0.464
agate	마노	0.540	0.377	0.483
age	나이	0.561	0.226	0.498
aged	늙은	0.135	0.365	0.236
agency	대리점	0.460	0.296	0.583
agenda	비망록	0.531	0.296	0.553
agent	에이전트	0.480	0.439	0.755
agglomeration	응집	0.450	0.765	0.509
aggravate	화나게 하다	0.224	0.770	0.464
aggravated	악화 된	0.079	0.760	0.430
aggravates	악화시키다	0.108	0.778	0.357
aggravating	악화시키는	0.257	0.794	0.640
aggravation	악화	0.071	0.784	0.613
aggregate	골재	0.730	0.378	0.556
aggregation	집합	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	침략	0.094	0.929	0.533
aggressive	적극적인	0.125	0.949	0.648
aggressively	공격적으로	0.250	0.926	0.688
aggressiveness	공격	0.077	0.913	0.648
aggressor	침략자	0.146	0.948	0.823
agh	아	0.260	0.500	0.400
aghast	깜짝 놀라	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	기민한	0.800	0.657	0.775
agility	민첩	0.720	0.702	0.815
aging	노화	0.214	0.255	0.284
agitate	흔들다	0.300	0.796	0.593
agitated	흥분한	0.444	0.882	0.491
agitation	동요	0.240	0.931	0.447
aglow	불타서	0.780	0.510	0.797
agnostic	불가 지론의	0.306	0.396	0.574
ago	...전에	0.317	0.280	0.404
agonizing	고뇌하는	0.083	0.800	0.340
agony	고뇌	0.083	0.775	0.393
agoraphobia	광장 공포증	0.127	0.712	0.438
agree	동의하다	0.906	0.260	0.545
agreeable	기분 좋은	0.906	0.500	0.696
agreed	동의했다	0.797	0.449	0.574
agreeing	동의하다	0.854	0.480	0.557
agreement	협정	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	농업의	0.686	0.321	0.473
agriculture	농업	0.640	0.357	0.465
aground	좌회전하다	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	앞으로	0.708	0.520	0.673
ahhh	아아아	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	아호이	0.500	0.497	0.380
aid	도움	0.796	0.491	0.541
aide	보좌관	0.724	0.342	0.434
aiding	원조	0.643	0.533	0.569
aids	에이즈	0.561	0.480	0.500
ail	괴롭히다	0.375	0.434	0.385
ailing	병든	0.094	0.518	0.153
ailment	병	0.146	0.734	0.277
aim	목표	0.481	0.569	0.567
aimless	목적없는	0.150	0.267	0.183
air	공기	0.708	0.163	0.427
airbag	에어백	0.510	0.402	0.433
airborne	공수의	0.542	0.519	0.385
aircraft	항공기	0.646	0.644	0.691
aircraft carrier	항공 모함	0.490	0.740	0.727
airfield	비행장	0.601	0.650	0.645
airhead	공포	0.271	0.481	0.276
airlift	공수	0.573	0.622	0.642
airline	공기 호스	0.650	0.482	0.688
airliner	여객기	0.667	0.777	0.647
airlock	에어락	0.398	0.520	0.447
airman	비행사	0.587	0.716	0.721
airplane	비행기	0.719	0.702	0.708
airport	공항	0.729	0.684	0.682
airs	바람을 피우다	0.583	0.196	0.370
airship	비행선	0.542	0.472	0.529
airspace	공적	0.562	0.510	0.640
airspeed	속도	0.583	0.780	0.544
airstrip	활주로	0.550	0.690	0.649
airtight	기밀	0.479	0.381	0.570
airway	기도	0.638	0.585	0.482
aisle	통로	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	일명	0.459	0.358	0.351
akin	유사	0.639	0.343	0.523
alabaster	설화 석고	0.542	0.404	0.445
alarm	경보	0.241	0.882	0.698
alarm clock	알람 시계	0.542	0.727	0.642
alarmed	놀란	0.188	0.822	0.492
alarming	놀라운	0.204	0.890	0.585
alas	아아	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	신천옹	0.500	0.445	0.527
albino	흰둥이	0.500	0.240	0.358
album	앨범	0.635	0.349	0.453
alchemy	연금술	0.541	0.583	0.693
alcohol	알코올	0.323	0.667	0.377
alcoholic	알콜 중독의	0.153	0.688	0.361
alcoholism	대주	0.061	0.779	0.407
alcove	반침	0.490	0.340	0.356
alderman	구청장	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	경보	0.479	0.820	0.648
alertness	경보	0.375	0.875	0.750
alerts	경고	0.337	0.804	0.673
alfalfa	알팔파	0.546	0.250	0.311
algebra	대수학	0.440	0.340	0.565
algebraic	대수학의	0.531	0.412	0.441
algorithm	연산	0.448	0.394	0.559
alias	별명	0.541	0.353	0.333
alibi	구실	0.396	0.528	0.556
alien	외계인	0.410	0.615	0.491
alienate	소외시키다	0.247	0.500	0.523
alienated	소외 된	0.410	0.423	0.559
alienation	소원	0.378	0.530	0.462
alight	불타고	0.667	0.657	0.605
align	정렬하다	0.656	0.364	0.627
aligned	정렬 된	0.583	0.275	0.553
alignment	조정	0.643	0.412	0.683
alike	서로 같은	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	별거 수당	0.612	0.477	0.464
aliquot	분액	0.440	0.310	0.404
alive	살아 있는	0.816	0.637	0.731
alkali	알칼리	0.490	0.350	0.408
alkaloids	알칼로이드	0.433	0.562	0.402
allay	어레인지	0.417	0.406	0.398
allegation	진술	0.578	0.578	0.608
allege	주장하다	0.418	0.482	0.587
alleged	혐의가있는	0.365	0.522	0.520
allegiance	충성	0.917	0.398	0.750
allegorical	우화적인	0.517	0.558	0.598
allegory	우화	0.615	0.580	0.509
allegro	알레그로	0.635	0.627	0.453
allergic	알레르기가있는	0.135	0.549	0.273
allergy	알레르기	0.296	0.606	0.389
alleviate	덜다	0.869	0.270	0.528
alleviation	경감	0.735	0.200	0.491
alley	골목	0.347	0.500	0.355
alleyway	골목	0.357	0.471	0.382
alliance	동맹	0.696	0.473	0.769
allied	결연한	0.714	0.245	0.642
alligator	악어	0.354	0.704	0.645
allocate	할당하다	0.673	0.462	0.672
allocation	배당	0.604	0.388	0.679
allot	배당하다	0.622	0.481	0.616
allotment	할당	0.600	0.390	0.640
allow	허용하다	0.698	0.429	0.538
allowable	허용되는	0.698	0.500	0.561
allowance	수당	0.673	0.382	0.591
allowed	허용 된	0.730	0.360	0.655
alloy	합금	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	매력	0.804	0.585	0.686
alluring	고혹적 인	0.837	0.745	0.843
allusion	암시	0.440	0.308	0.462
alluvial	충적의	0.323	0.490	0.491
ally	동맹국	0.792	0.320	0.688
almanac	달력	0.688	0.190	0.412
almighty	전능자	0.938	0.874	0.958
almond	아몬드	0.698	0.183	0.314
aloft	위에	0.771	0.373	0.700
aloha	알로하	0.698	0.440	0.441
alone	혼자	0.333	0.167	0.216
alongside	나란히	0.458	0.333	0.347
aloof	쌀쌀한	0.189	0.423	0.302
aloud	소리 내어	0.458	0.713	0.750
alpha	알파	0.708	0.340	0.755
alphabet	알파벳	0.562	0.204	0.672
alphabetical	알파벳순의	0.537	0.296	0.535
alpine	알파인	0.594	0.337	0.474
alreadyyyyy	벌써부터	0.592	0.717	0.351
altar	제단	0.724	0.387	0.635
altar boy	제단 소년	0.434	0.206	0.350
alter	바꾸다	0.333	0.694	0.654
alteration	변경	0.167	0.798	0.609
altercation	언쟁	0.170	0.806	0.500
altered	변경된	0.255	0.765	0.500
alternate	번갈아 하는	0.625	0.363	0.589
alternating	교번하는	0.480	0.494	0.542
alternative	대안	0.628	0.373	0.631
altimeter	고도계	0.615	0.510	0.580
altitude	고도	0.708	0.482	0.736
alto	알토	0.656	0.404	0.730
altogether	전부	0.833	0.324	0.644
aluminum	알류미늄	0.449	0.280	0.434
alumnus	학생	0.633	0.368	0.422
alveolar	폐포	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	아말감	0.438	0.333	0.510
amalgamation	융합	0.406	0.470	0.531
amaretto	아마 레토	0.543	0.551	0.375
amass	쌓다	0.552	0.465	0.465
amateur	아마추어	0.469	0.500	0.409
amaze	몹시 놀라게 하다	0.896	0.843	0.783
amazed	놀란	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	놀람	0.750	0.800	0.639
amazing	놀랄 만한	0.906	0.837	0.849
amazingly	놀랍게도	0.918	0.765	0.920
ambassador	대사	0.651	0.529	0.917
amber	호박색	0.635	0.308	0.369
ambience	분위기	0.735	0.356	0.426
ambient	주위의	0.625	0.360	0.582
ambiguity	모호	0.164	0.460	0.370
ambiguous	모호한	0.265	0.462	0.358
ambit	범위	0.479	0.380	0.386
ambition	큰 뜻	0.510	0.804	0.661
ambitious	거창한	0.484	0.821	0.717
ambivalent	양가의	0.510	0.404	0.482
ambrosia	디저트	0.571	0.452	0.480
ambulance	구급차	0.500	0.750	0.609
ambush	매복	0.281	0.830	0.500
ameliorate	개량하다	0.770	0.548	0.747
amen	아멘	0.781	0.182	0.542
amenable	받을 수 있는	0.448	0.410	0.406
amend	고치다	0.688	0.406	0.658
amendment	개정	0.531	0.459	0.606
amends	보상	0.640	0.366	0.517
amenity	예의	0.750	0.327	0.574
amethyst	자수정	0.622	0.406	0.517
amiable	붙임성 있는	0.847	0.290	0.483
amicable	우호적 인	0.875	0.330	0.507
amid	의 속에	0.510	0.340	0.256
amidst	가운데	0.480	0.330	0.316
amino	아미노	0.551	0.402	0.433
ammo	탄약	0.323	0.765	0.621
ammonia	암모니아	0.292	0.587	0.409
ammonium	암모늄	0.354	0.396	0.368
ammunition	탄약	0.338	0.635	0.667
amnesia	기억력 상실	0.296	0.330	0.308
amnesty	특사	0.551	0.451	0.814
amorous	요염한	0.844	0.670	0.636
amorphous	비정질의	0.327	0.402	0.349
amortization	할부 상환	0.592	0.491	0.522
amount	양	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	앰프	0.439	0.393	0.375
ampersand	앰퍼샌드	0.480	0.448	0.483
amphetamines	암페타민	0.133	0.667	0.526
amphibian	수륙 양용 비행기	0.427	0.357	0.474
amphibious	수륙 양용의	0.479	0.346	0.445
amphitheater	원형 극장	0.653	0.480	0.545
ample	앰플	0.744	0.349	0.719
amplification	확대	0.690	0.677	0.810
amplify	더욱 상 세히 하다	0.677	0.735	0.827
amplitude	진폭	0.694	0.439	0.692
amply	충분히	0.781	0.431	0.766
amputate	절단하다	0.092	0.660	0.509
amputation	절단	0.100	0.755	0.483
amuck	암컷	0.385	0.602	0.321
amulet	부적	0.781	0.260	0.630
amuse	즐겁게 하다	0.812	0.684	0.664
amused	즐기는	0.942	0.847	0.596
amusement	즐거움	0.929	0.837	0.803
amusing	즐거움	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	아나콘다	0.146	0.830	0.540
anaesthesia	마취	0.350	0.217	0.473
anaesthetic	마취제	0.449	0.268	0.509
anagram	철자 바꾸기	0.552	0.327	0.449
anal	항문	0.333	0.798	0.334
analgesic	진통제	0.417	0.321	0.441
analogous	유사한	0.531	0.270	0.500
analogue	비슷한 물건	0.570	0.320	0.446
analogy	유추	0.510	0.367	0.509
analysis	분석	0.729	0.448	0.705
analyst	분석자	0.604	0.415	0.755
analytic	분석적인	0.665	0.521	0.634
analytical	분석적인	0.625	0.324	0.800
analyze	분석하다	0.667	0.462	0.710
analyzer	분석기	0.625	0.556	0.854
anaphylactic	과민성의	0.378	0.588	0.500
anarchism	무정부주의	0.125	0.804	0.623
anarchist	무정부주의자	0.204	0.700	0.759
anarchy	무정부 상태	0.146	0.755	0.620
anastomosis	문합	0.375	0.470	0.490
anathema	저주	0.286	0.490	0.519
anatomic	해부학의	0.562	0.442	0.546
anatomy	해부	0.562	0.390	0.571
ancestor	선조	0.592	0.388	0.594
ancestral	조상의	0.640	0.481	0.750
ancestry	가계	0.708	0.519	0.717
anchor	닻	0.520	0.284	0.564
anchorage	앵커리지	0.500	0.325	0.639
ancient	고대의	0.420	0.217	0.439
ancillary	보조의	0.449	0.442	0.278
androgen	안드로겐	0.255	0.523	0.527
android	기계적 인조 인간	0.663	0.436	0.500
anecdote	일화	0.583	0.529	0.500
anemia	빈혈증	0.188	0.327	0.310
anemic	빈혈	0.167	0.279	0.155
anemone	아네모네	0.552	0.538	0.327
anesthesia	마취	0.365	0.216	0.394
anesthesiologist	마취 전문의	0.419	0.224	0.526
anesthetic	마취제	0.350	0.264	0.482
aneurysm	동맥류	0.115	0.690	0.536
anew	다시 한번	0.771	0.358	0.385
