Word	Esperanto-eo	Valence	Arousal	Dominance
adjective	adjektivo	0.570	0.316	0.569
adjoining	apude	0.520	0.400	0.393
adjourn	malaperas	0.385	0.456	0.475
adjournment	postulado	0.438	0.510	0.370
adjudicate	ajudiki	0.559	0.520	0.683
adjudication	juĝado	0.551	0.462	0.691
adjunct	kuna	0.459	0.440	0.426
adjust	alĝustigi	0.647	0.327	0.638
adjuster	ĝustilo	0.510	0.540	0.760
adjustment	riparas	0.590	0.520	0.661
adjuvant	adjuvanto	0.510	0.500	0.456
admin	administranto	0.688	0.420	0.854
administer	administri	0.635	0.425	0.860
administration	administrado	0.625	0.404	0.786
administrative	administra	0.542	0.415	0.579
administrator	administranto	0.538	0.480	0.902
admirable	admirinda	0.929	0.600	0.870
admiral	admiralo	0.844	0.490	0.847
admiralty	almirantazgo	0.594	0.547	0.733
admiration	admiro	0.969	0.583	0.726
admire	admiras	0.867	0.692	0.704
admired	admirita	0.917	0.560	0.815
admirer	admiranto	0.796	0.720	0.650
admiring	admirante	0.867	0.578	0.629
admissibility	admisibilidad	0.802	0.580	0.602
admissible	admisible	0.780	0.528	0.642
admission	konfeso	0.802	0.415	0.732
admit	akceptu	0.538	0.423	0.667
admittance	akcepto	0.690	0.451	0.598
admitted	akceptita	0.720	0.490	0.767
admitting	akceptante	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobo	0.500	0.319	0.328
adolescence	adoleskado	0.487	0.694	0.444
adolescent	adoleskanto	0.781	0.680	0.509
adopt	adopti	0.694	0.612	0.701
adoption	adopto	0.625	0.566	0.589
adoptive	adoptita	0.531	0.469	0.520
adorable	adora	0.969	0.519	0.457
adoration	adorado	0.885	0.699	0.708
adore	adori	0.854	0.438	0.657
adoring	adorante	0.885	0.620	0.717
adorn	garni	0.910	0.424	0.482
adornment	ornamo	0.918	0.373	0.377
adrenalin	adrenalino	0.865	0.920	0.786
adrenaline	adrenalino	0.765	0.965	0.825
adrift	adiaŭi	0.398	0.486	0.230
adult	plenaĝa	0.815	0.491	0.787
adulterated	adultita	0.188	0.865	0.370
adulterer	adultulo	0.229	0.814	0.407
adultery	adulto	0.120	0.922	0.510
adulthood	adulteco	0.541	0.454	0.652
advance	antaŭu	0.673	0.472	0.858
advanced	progresinta	0.844	0.623	0.797
advancement	progreso	0.776	0.650	0.839
advancing	antaŭeniri	0.929	0.608	0.812
advantage	avantaĝo	0.917	0.548	0.859
advantageous	avantaĝa	0.837	0.640	0.789
advent	alveno	0.665	0.560	0.627
adventure	aventuro	0.917	0.857	0.710
adventurer	aventuristo	0.781	0.839	0.868
adventures	aventuroj	0.812	0.764	0.749
adventurous	aventuristo	0.969	0.898	0.722
adversary	kontraŭulo	0.349	0.777	0.457
adverse	adversa	0.323	0.610	0.385
adversity	malfeliĉo	0.276	0.760	0.538
advertise	reklami	0.500	0.529	0.580
advertisement	anonco	0.600	0.566	0.539
advertising	reklamado	0.622	0.608	0.632
adverts	reklamoj	0.551	0.500	0.595
advice	konsiloj	0.698	0.408	0.688
advisable	konvena	0.867	0.480	0.510
advise	konsilas	0.760	0.393	0.705
advised	konsilita	0.823	0.330	0.509
advisement	konsilojn	0.698	0.235	0.655
adviser	konsilanto	0.745	0.362	0.705
advisor	konsilisto	0.646	0.350	0.689
advisory	konsilanto	0.656	0.429	0.633
advocacy	rekompenco	0.500	0.646	0.731
advocate	advokato	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeraĵo	0.550	0.500	0.433
aerial	aera	0.615	0.461	0.463
aerobics	aerobiko	0.708	0.771	0.627
aerodrome	aeródromo	0.541	0.740	0.678
aerodynamic	aerodinámica	0.561	0.724	0.728
aerodynamics	aerodinámiko	0.590	0.663	0.722
aeronautics	aeronáutica	0.551	0.633	0.688
aeroplane	aviadilo	0.714	0.642	0.644
aerospace	aeroespacial	0.643	0.520	0.779
aesthetic	estetika	0.708	0.442	0.526
aesthetics	estetiko	0.847	0.327	0.549
aetiology	aetiologio	0.480	0.398	0.615
afar	malproksime	0.396	0.373	0.358
affable	afabla	0.704	0.380	0.452
affair	afero	0.520	0.459	0.657
affect	tuŝi	0.458	0.569	0.578
affecting	tuŝante	0.350	0.574	0.394
affection	amo	0.898	0.559	0.696
affectionate	cariñosa	0.949	0.422	0.550
affections	simpatioj	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	deklaro	0.469	0.584	0.526
affiliated	aniĝita	0.673	0.519	0.535
affiliation	afiliación	0.615	0.594	0.500
affinity	afineco	0.800	0.500	0.537
affirm	aserti	0.745	0.509	0.731
affirmation	aserto	0.750	0.500	0.689
affirmative	afirmativa	0.854	0.589	0.816
affirmatively	afirmativamente	0.908	0.500	0.811
affix	afikso	0.438	0.335	0.411
afflict	aflikto	0.302	0.555	0.293
afflicted	afliktitaj	0.271	0.500	0.167
affliction	aflikto	0.294	0.635	0.392
affluence	afluencia	0.663	0.618	0.722
affluent	alfluanto	0.756	0.388	0.477
afford	pagu	0.571	0.580	0.575
affordable	malaltekosta	0.840	0.398	0.493
affront	afero	0.327	0.740	0.547
affronted	afrontita	0.385	0.750	0.527
afield	afero	0.594	0.370	0.373
afire	fajro	0.367	0.904	0.675
afloat	flosi	0.602	0.427	0.444
afore	antaŭe	0.500	0.337	0.382
aforementioned	menciite	0.490	0.316	0.408
aforesaid	dirite	0.531	0.358	0.478
afraid	timema	0.010	0.775	0.245
afresh	lastatempe	0.643	0.521	0.480
african	afrikano	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	postvivanta	0.571	0.567	0.568
aftermath	sekvoj	0.312	0.449	0.444
afternoon	posttagmeze	0.533	0.388	0.339
aftershave	postsekvi	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	pripensita	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agato	0.540	0.377	0.483
age	aĝo	0.561	0.226	0.498
aged	maljunaj	0.135	0.365	0.236
agency	agentejo	0.460	0.296	0.583
agenda	agendo	0.531	0.296	0.553
agent	agento	0.480	0.439	0.755
agglomeration	aglomerado	0.450	0.765	0.509
aggravate	pligravigi	0.224	0.770	0.464
aggravated	pligravigita	0.079	0.760	0.430
aggravates	pligravigas	0.108	0.778	0.357
aggravating	pligravigante	0.257	0.794	0.640
aggravation	pligravigo	0.071	0.784	0.613
aggregate	aldonita	0.730	0.378	0.556
aggregation	agregado	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agreso	0.094	0.929	0.533
aggressive	agresema	0.125	0.949	0.648
aggressively	agreseme	0.250	0.926	0.688
aggressiveness	agresividad	0.077	0.913	0.648
aggressor	agresanto	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	agrabi	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	lerta	0.800	0.657	0.775
agility	lerteco	0.720	0.702	0.815
aging	envejeci	0.214	0.255	0.284
agitate	agiti	0.300	0.796	0.593
agitated	agitata	0.444	0.882	0.491
agitation	agitiĝo	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostika	0.306	0.396	0.574
ago	antaŭe	0.317	0.280	0.404
agonizing	agonante	0.083	0.800	0.340
agony	agonio	0.083	0.775	0.393
agoraphobia	agorafobio	0.127	0.712	0.438
agree	konsentas	0.906	0.260	0.545
agreeable	plaĉa	0.906	0.500	0.696
agreed	konsentis	0.797	0.449	0.574
agreeing	konsentante	0.854	0.480	0.557
agreement	interkonsento	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	terkulturaj	0.686	0.321	0.473
agriculture	agrikulturo	0.640	0.357	0.465
aground	ĉirkaŭaĵo	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	antaŭen	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	bone	0.500	0.497	0.380
aid	helpo	0.796	0.491	0.541
aide	helpanto	0.724	0.342	0.434
aiding	helpante	0.643	0.533	0.569
aids	helpantoj	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	malfeliĉa	0.094	0.518	0.153
ailment	malsano	0.146	0.734	0.277
aim	fino	0.481	0.569	0.567
aimless	senfinaj	0.150	0.267	0.183
air	aero	0.708	0.163	0.427
airbag	aviadilo	0.510	0.402	0.433
airborne	aviadilo	0.542	0.519	0.385
aircraft	aviadilo	0.646	0.644	0.691
aircraft carrier	aviadilŝipo	0.490	0.740	0.727
airfield	aviadilo	0.601	0.650	0.645
airhead	aero	0.271	0.481	0.276
airlift	aviadilo	0.573	0.622	0.642
airline	aerolínea	0.650	0.482	0.688
airliner	aviadilo	0.667	0.777	0.647
airlock	aviadilo	0.398	0.520	0.447
airman	aviadilo	0.587	0.716	0.721
airplane	aviadilo	0.719	0.702	0.708
airport	flughaveno	0.729	0.684	0.682
airs	aeroj	0.583	0.196	0.370
airship	aviadilo	0.542	0.472	0.529
airspace	aera spaco	0.562	0.510	0.640
airspeed	aviadilo	0.583	0.780	0.544
airstrip	aero	0.550	0.690	0.649
airtight	avida	0.479	0.381	0.570
airway	aviadilo	0.638	0.585	0.482
aisle	aislo	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	Ankaŭ	0.459	0.358	0.351
akin	parenca	0.639	0.343	0.523
alabaster	alabastro	0.542	0.404	0.445
alarm	alarmo	0.241	0.882	0.698
alarm clock	vekhorloĝo	0.542	0.727	0.642
alarmed	alarmita	0.188	0.822	0.492
alarming	alarmante	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatroso	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albumo	0.635	0.349	0.453
alchemy	alkemio	0.541	0.583	0.693
alcohol	alkoholo	0.323	0.667	0.377
alcoholic	Alkohola	0.153	0.688	0.361
alcoholism	alkoholismo	0.061	0.779	0.407
alcove	alkovo	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	garde	0.479	0.820	0.648
alertness	gardeco	0.375	0.875	0.750
alerts	garde	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebro	0.440	0.340	0.565
algebraic	algebra	0.531	0.412	0.441
algorithm	algoritmo	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	Alibi	0.396	0.528	0.556
alien	fremda	0.410	0.615	0.491
alienate	fremdulo	0.247	0.500	0.523
alienated	fremdigita	0.410	0.423	0.559
alienation	alienación	0.378	0.530	0.462
alight	Alight	0.667	0.657	0.605
align	vicigi	0.656	0.364	0.627
aligned	vicigita	0.583	0.275	0.553
alignment	vicigo	0.643	0.412	0.683
alike	egale	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimonio	0.612	0.477	0.464
aliquot	kelkaj	0.440	0.310	0.404
alive	viva	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alcaloidoj	0.433	0.562	0.402
allay	malhelpi	0.417	0.406	0.398
allegation	akuzo	0.578	0.578	0.608
allege	pledas	0.418	0.482	0.587
alleged	supozita	0.365	0.522	0.520
allegiance	fideleco	0.917	0.398	0.750
allegorical	alegórica	0.517	0.558	0.598
allegory	alegorio	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergia	0.135	0.549	0.273
allergy	alergio	0.296	0.606	0.389
alleviate	malpezigu	0.869	0.270	0.528
alleviation	malpezigo	0.735	0.200	0.491
alley	strateto	0.347	0.500	0.355
alleyway	koruso	0.357	0.471	0.382
alliance	alianco	0.696	0.473	0.769
allied	aliancitaj	0.714	0.245	0.642
alligator	kroigilo	0.354	0.704	0.645
allocate	atribui	0.673	0.462	0.672
allocation	atribuo	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	donaco	0.600	0.390	0.640
allow	permesu	0.698	0.429	0.538
allowable	permesebla	0.698	0.500	0.561
allowance	akcepto	0.673	0.382	0.591
allowed	permesita	0.730	0.360	0.655
alloy	alojo	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allureco	0.804	0.585	0.686
alluring	allogaj	0.837	0.745	0.843
allusion	aludo	0.440	0.308	0.462
alluvial	aluvial	0.323	0.490	0.491
ally	aliancano	0.792	0.320	0.688
almanac	almanako	0.688	0.190	0.412
almighty	ĉiopova	0.938	0.874	0.958
almond	migdalo	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sole	0.333	0.167	0.216
alongside	al la flanko	0.458	0.333	0.347
aloof	malproksime	0.189	0.423	0.302
aloud	laŭte	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabeto	0.562	0.204	0.672
alphabetical	alfabeta	0.537	0.296	0.535
alpine	alpino	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altaro	0.724	0.387	0.635
altar boy	altara knabo	0.434	0.206	0.350
alter	ŝanĝi	0.333	0.694	0.654
alteration	ŝanĝo	0.167	0.798	0.609
altercation	ŝanĝo	0.170	0.806	0.500
altered	ŝanĝita	0.255	0.765	0.500
alternate	alterna	0.625	0.363	0.589
alternating	alterna	0.480	0.494	0.542
alternative	alternativo	0.628	0.373	0.631
altimeter	altimetro	0.615	0.510	0.580
altitude	alteco	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	tute	0.833	0.324	0.644
aluminum	aluminio	0.449	0.280	0.434
alumnus	lernanto	0.633	0.368	0.422
alveolar	alveolara	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	Amalgama	0.438	0.333	0.510
amalgamation	amalgamado	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amasa	0.552	0.465	0.465
amateur	amatora	0.469	0.500	0.409
amaze	miru	0.896	0.843	0.783
amazed	mirigita	0.796	0.779	0.533
amazedness	mirindaĵo	0.827	0.872	0.510
amazement	miro	0.750	0.800	0.639
amazing	mirinda	0.906	0.837	0.849
amazingly	mirinde	0.918	0.765	0.920
ambassador	ambasadoro	0.651	0.529	0.917
amber	ambro	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambigüedad	0.164	0.460	0.370
ambiguous	dubasenca	0.265	0.462	0.358
ambit	ambicio	0.479	0.380	0.386
ambition	ambicio	0.510	0.804	0.661
ambitious	ambicia	0.484	0.821	0.717
ambivalent	ambivalente	0.510	0.404	0.482
ambrosia	Ambrosio	0.571	0.452	0.480
ambulance	ambulanco	0.500	0.750	0.609
ambush	embusko	0.281	0.830	0.500
ameliorate	plibonigi	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	konvena	0.448	0.410	0.406
amend	amendu	0.688	0.406	0.658
amendment	amendo	0.531	0.459	0.606
amends	Amendas	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	ametisto	0.622	0.406	0.517
amiable	afabla	0.847	0.290	0.483
amicable	amika	0.875	0.330	0.507
amid	inter	0.510	0.340	0.256
amidst	interne	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	Ammo	0.323	0.765	0.621
ammonia	amonio	0.292	0.587	0.409
ammonium	amonio	0.354	0.396	0.368
ammunition	municioj	0.338	0.635	0.667
amnesia	Amnezio	0.296	0.330	0.308
amnesty	Amnestio	0.551	0.451	0.814
amorous	Amuza	0.844	0.670	0.636
amorphous	amorfa	0.327	0.402	0.349
amortization	Amortigo	0.592	0.491	0.522
amount	kvanto	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	Ampersand	0.480	0.448	0.483
amphetamines	anfetaminoj	0.133	0.667	0.526
amphibian	amfibio	0.427	0.357	0.474
amphibious	amfibio	0.479	0.346	0.445
amphitheater	amfiteatro	0.653	0.480	0.545
ample	ampleksa	0.744	0.349	0.719
amplification	amplifo	0.690	0.677	0.810
amplify	amplifi	0.677	0.735	0.827
amplitude	amplekso	0.694	0.439	0.692
amply	Ample	0.781	0.431	0.766
amputate	amputi	0.092	0.660	0.509
amputation	amputado	0.100	0.755	0.483
amuck	bedaŭrinde	0.385	0.602	0.321
amulet	amuleto	0.781	0.260	0.630
amuse	amuzi	0.812	0.684	0.664
amused	amuzita	0.942	0.847	0.596
amusement	amuzo	0.929	0.837	0.803
amusing	amuzaj	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakondo	0.146	0.830	0.540
anaesthesia	anestezo	0.350	0.217	0.473
anaesthetic	anestezo	0.449	0.268	0.509
anagram	anagramo	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgésico	0.417	0.321	0.441
analogous	analoga	0.531	0.270	0.500
analogue	analoga	0.570	0.320	0.446
analogy	analogio	0.510	0.367	0.509
analysis	analizo	0.729	0.448	0.705
analyst	analizisto	0.604	0.415	0.755
analytic	analitika	0.665	0.521	0.634
analytical	analizaj	0.625	0.324	0.800
analyze	analizi	0.667	0.462	0.710
analyzer	analizilo	0.625	0.556	0.854
anaphylactic	anafiláctica	0.378	0.588	0.500
anarchism	anarkiismo	0.125	0.804	0.623
anarchist	anarkiisma	0.204	0.700	0.759
anarchy	anarkio	0.146	0.755	0.620
anastomosis	anastomosis	0.375	0.470	0.490
anathema	anatemo	0.286	0.490	0.519
anatomic	anatomia	0.562	0.442	0.546
anatomy	anatomio	0.562	0.390	0.571
ancestor	prapatro	0.592	0.388	0.594
ancestral	ancestral	0.640	0.481	0.750
