Word	Basque-eu	Valence	Arousal	Dominance
adhesive	itsasgarri	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	gantz	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	aldameneko	0.645	0.276	0.536
adjective	adjektibo	0.570	0.316	0.569
adjoining	aldameneko	0.520	0.400	0.393
adjourn	adjourn	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	esleitzea	0.559	0.520	0.683
adjudication	adjudikazio	0.551	0.462	0.691
adjunct	batzuetan	0.459	0.440	0.426
adjust	egokitu	0.647	0.327	0.638
adjuster	adituen	0.510	0.540	0.760
adjustment	doikuntza	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	kudeatzeko	0.635	0.425	0.860
administration	administrazioa	0.625	0.404	0.786
administrative	administratiboak	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	miresgarria	0.929	0.600	0.870
admiral	almirante	0.844	0.490	0.847
admiralty	Admiralty	0.594	0.547	0.733
admiration	miresmen	0.969	0.583	0.726
admire	miresten	0.867	0.692	0.704
admired	miresten	0.917	0.560	0.815
admirer	miresle	0.796	0.720	0.650
admiring	miresten	0.867	0.578	0.629
admissibility	onargarriak	0.802	0.580	0.602
admissible	onargarria	0.780	0.528	0.642
admission	onarpen	0.802	0.415	0.732
admit	aitortu	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	onartutakoen	0.720	0.490	0.767
admitting	onartu	0.620	0.500	0.546
admixture	nahaste	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ADO	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	nerabezaroan	0.487	0.694	0.444
adolescent	nerabe	0.781	0.680	0.509
adopt	adoptatu	0.694	0.612	0.701
adoption	adopzioa	0.625	0.566	0.589
adoptive	adopziozko	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	gurtza	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	apaintzen	0.910	0.424	0.482
adornment	Apaingarririk	0.918	0.373	0.377
adrenalin	tentsioa	0.865	0.920	0.786
adrenaline	adrenalina	0.765	0.965	0.825
adrift	noraezean	0.398	0.486	0.230
adult	helduen	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	adulterioak	0.120	0.922	0.510
adulthood	heldutasunera	0.541	0.454	0.652
advance	aurrera	0.673	0.472	0.858
advanced	aurreratu	0.844	0.623	0.797
advancement	aurrerapena	0.776	0.650	0.839
advancing	aurrera	0.929	0.608	0.812
advantage	abantaila	0.917	0.548	0.859
advantageous	onuragarria	0.837	0.640	0.789
advent	etorrerak	0.665	0.560	0.627
adventure	abentura	0.917	0.857	0.710
adventurer	abenturazale	0.781	0.839	0.868
adventures	abenturak	0.812	0.764	0.749
adventurous	abenturazalea	0.969	0.898	0.722
adversary	aurkariarekiko	0.349	0.777	0.457
adverse	kaltegarriak	0.323	0.610	0.385
adversity	zoritxarrean	0.276	0.760	0.538
advertise	Iragarkiak	0.500	0.529	0.580
advertisement	iragarki	0.600	0.566	0.539
advertising	publizitatea	0.622	0.608	0.632
adverts	iragarkiak	0.551	0.500	0.595
advice	aholkularitza	0.698	0.408	0.688
advisable	komenigarria	0.867	0.480	0.510
advise	aholkatzeko	0.760	0.393	0.705
advised	aholkatu	0.823	0.330	0.509
advisement	aholkularitzarekin	0.698	0.235	0.655
adviser	aholkulari	0.745	0.362	0.705
advisor	aholkularia	0.646	0.350	0.689
advisory	Aholku	0.656	0.429	0.633
advocacy	sentsibilizazio	0.500	0.646	0.731
advocate	defendatzaile	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aireko	0.615	0.461	0.463
aerobics	aerobic	0.708	0.771	0.627
aerodrome	aerodromo	0.541	0.740	0.678
aerodynamic	aerodinamikoak	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	hegazkin	0.714	0.642	0.644
aerospace	aeroespaziala	0.643	0.520	0.779
aesthetic	estetiko	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologia	0.480	0.398	0.615
afar	urrundik	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	afera	0.520	0.459	0.657
affect	eraginik	0.458	0.569	0.578
affecting	eragiten	0.350	0.574	0.394
affection	afektua	0.898	0.559	0.696
affectionate	maitekor	0.949	0.422	0.550
affections	atxikimendu	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	zinpeko aitorpena	0.469	0.584	0.526
affiliated	afiliatu	0.673	0.519	0.535
affiliation	afiliazio	0.615	0.594	0.500
affinity	kidetasuna	0.800	0.500	0.537
affirm	baiezta	0.745	0.509	0.731
affirmation	afirmación	0.750	0.500	0.689
affirmative	baiezko	0.854	0.589	0.816
affirmatively	baietz	0.908	0.500	0.811
affix	hizki	0.438	0.335	0.411
afflict	munduan bizi	0.302	0.555	0.293
afflicted	egondako	0.271	0.500	0.167
affliction	affliction	0.294	0.635	0.392
affluence	oparotasunak	0.663	0.618	0.722
affluent	affluent	0.756	0.388	0.477
afford	ordaindu	0.571	0.580	0.575
affordable	merkean	0.840	0.398	0.493
affront	laido	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	arestian	0.500	0.337	0.382
aforementioned	aipatutako	0.490	0.316	0.408
aforesaid	aipatu	0.531	0.358	0.478
afraid	beldur	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	Popa	0.480	0.417	0.518
afterlife	bIZITZA	0.571	0.567	0.568
aftermath	Kolpe	0.312	0.449	0.444
afternoon	arratsalde	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	eta eranskin	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	Agata	0.540	0.377	0.483
age	adina	0.561	0.226	0.498
aged	onduak	0.135	0.365	0.236
agency	agentzia	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agentea	0.480	0.439	0.755
agglomeration	aglomerazio	0.450	0.765	0.509
aggravate	areagotu	0.224	0.770	0.464
aggravated	larriagotu	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	aggravating	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	agregatua	0.730	0.378	0.556
aggregation	agregazio	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	Idatzia	0.094	0.929	0.533
aggressive	oldarkor	0.125	0.949	0.648
aggressively	Agresiboki	0.250	0.926	0.688
aggressiveness	agresibitatea	0.077	0.913	0.648
aggressor	erasotzailea	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	arin	0.800	0.657	0.775
agility	arintasuna	0.720	0.702	0.815
aging	zahartze	0.214	0.255	0.284
agitate	inarrosten	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	asaldura	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostikoa	0.306	0.396	0.574
ago	duela	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agonia	0.083	0.775	0.393
agoraphobia	Agorafobia	0.127	0.712	0.438
agree	ados	0.906	0.260	0.545
agreeable	atseginak	0.906	0.500	0.696
agreed	adostu	0.797	0.449	0.574
agreeing	adosteko	0.854	0.480	0.557
agreement	hitzarmen	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	nekazaritza	0.686	0.321	0.473
agriculture	nekazaritza	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	aurrera	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	laguntza	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	laguntza	0.643	0.533	0.569
aids	laguntzak	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	gaitz	0.146	0.734	0.277
aim	helburua	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	aire	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	Airean	0.542	0.519	0.385
aircraft	hegazkin	0.646	0.644	0.691
aircraft carrier	hegazkin garraiolari	0.490	0.740	0.727
airfield	aerodromo	0.601	0.650	0.645
airhead	Airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	aire-konpainiak	0.650	0.482	0.688
airliner	hegazkin	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	hegazkin	0.719	0.702	0.708
airport	aireportua	0.729	0.684	0.682
airs	Airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	Aire-nabigazioa	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	arnas	0.638	0.585	0.482
aisle	korridore	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	Akin	0.639	0.343	0.523
alabaster	alabastroa	0.542	0.404	0.445
alarm	alarma	0.241	0.882	0.698
alarm clock	iratzargailua	0.542	0.727	0.642
alarmed	larritu	0.188	0.822	0.492
alarming	kezkagarria	0.204	0.890	0.585
alas	ai	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkimia	0.541	0.583	0.693
alcohol	alkohola	0.323	0.667	0.377
alcoholic	alkoholdun	0.153	0.688	0.361
alcoholism	alkoholarekin	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	Alerta	0.479	0.820	0.648
alertness	alertness	0.375	0.875	0.750
alerts	alertak	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraikoa	0.531	0.412	0.441
algorithm	algoritmo	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	Alien	0.410	0.615	0.491
alienate	alienatzeko	0.247	0.500	0.523
alienated	alienaturik	0.410	0.423	0.559
alienation	alienazioa	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	lerrokatu	0.656	0.364	0.627
aligned	lerrokatu	0.583	0.275	0.553
alignment	lerrokatzea	0.643	0.412	0.683
alike	berdin	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	Elikagaiak	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	bizirik	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloide	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	alegazio	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	ustezko	0.365	0.522	0.520
allegiance	atxikipena	0.917	0.398	0.750
allegorical	alegorikoa	0.517	0.558	0.598
allegory	alegoria	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergia	0.135	0.549	0.273
allergy	alergia	0.296	0.606	0.389
alleviate	arindu	0.869	0.270	0.528
alleviation	arintzen	0.735	0.200	0.491
alley	kalezulo	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	aliantza	0.696	0.473	0.769
allied	aliatuen	0.714	0.245	0.642
alligator	Alligator	0.354	0.704	0.645
allocate	esleitu	0.673	0.462	0.672
allocation	esleipena	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	banaketari	0.600	0.390	0.640
allow	baimendu	0.698	0.429	0.538
allowable	onargarri	0.698	0.500	0.561
allowance	zuzkidura	0.673	0.382	0.591
allowed	onartzen	0.730	0.360	0.655
alloy	aleazio	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	Allure	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	aipamena	0.440	0.308	0.462
alluvial	alubialak	0.323	0.490	0.491
ally	aliatu	0.792	0.320	0.688
almanac	Almanaka	0.688	0.190	0.412
almighty	almighty	0.938	0.874	0.958
almond	almendra	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	bakarrik	0.333	0.167	0.216
alongside	batera	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	ozenki	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabetoa	0.562	0.204	0.672
alphabetical	alfabetiko	0.537	0.296	0.535
alpine	alpetar	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	aldare	0.724	0.387	0.635
altar boy	aldare boy	0.434	0.206	0.350
alter	aldatu	0.333	0.694	0.654
alteration	alterazio	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	aldatu	0.255	0.765	0.500
alternate	ordezko	0.625	0.363	0.589
alternating	txandakatuz	0.480	0.494	0.542
alternative	alternatiboak	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	altitudean	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	guztiz	0.833	0.324	0.644
aluminum	aluminio	0.449	0.280	0.434
alumnus	ikasle ohia	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	kontzentrazioa	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	harrituko	0.896	0.843	0.783
amazed	harritu	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	harridura	0.750	0.800	0.639
amazing	harrigarria	0.906	0.837	0.849
amazingly	amazingly	0.918	0.765	0.920
ambassador	enbaxadoreak	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	giroa	0.735	0.356	0.426
ambient	giro	0.625	0.360	0.582
ambiguity	anbiguotasuna	0.164	0.460	0.370
ambiguous	anbiguoa	0.265	0.462	0.358
ambit	esparru	0.479	0.380	0.386
ambition	anbizio	0.510	0.804	0.661
ambitious	handinahi	0.484	0.821	0.717
ambivalent	anbibalentea	0.510	0.404	0.482
ambrosia	anbrosia	0.571	0.452	0.480
ambulance	anbulantzia	0.500	0.750	0.609
ambush	segada	0.281	0.830	0.500
ameliorate	arintzen	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	aldatzea	0.688	0.406	0.658
amendment	zuzenketa	0.531	0.459	0.606
amends	aldatzen	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	Amatista	0.622	0.406	0.517
amiable	maitagarri	0.847	0.290	0.483
amicable	adiskidetsu	0.875	0.330	0.507
amid	erdian	0.510	0.340	0.256
amidst	artean	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amoniako	0.292	0.587	0.409
ammonium	amonio	0.354	0.396	0.368
ammunition	munizioa	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnistia	0.551	0.451	0.814
amorous	maitasun	0.844	0.670	0.636
amorphous	amorfoa	0.327	0.402	0.349
amortization	amortizazio	0.592	0.491	0.522
amount	Zenbateko	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	anfetaminak	0.133	0.667	0.526
amphibian	anfibio	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	anfiteatroan	0.653	0.480	0.545
ample	zabal	0.744	0.349	0.719
amplification	anplifikazio	0.690	0.677	0.810
amplify	handiagoa	0.677	0.735	0.827
amplitude	anplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	anputazio	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	kuttun	0.781	0.260	0.630
amuse	amuse	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	jolas-	0.929	0.837	0.803
amusing	Nabarmentzekoa	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	Anaconda	0.146	0.830	0.540
anaesthesia	anestesia	0.350	0.217	0.473
anaesthetic	anestesiko	0.449	0.268	0.509
anagram	anagrama	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesikoak	0.417	0.321	0.441
analogous	antzeko	0.531	0.270	0.500
analogue	analogikoa	0.570	0.320	0.446
analogy	analogia	0.510	0.367	0.509
analysis	azterketa	0.729	0.448	0.705
analyst	analista	0.604	0.415	0.755
analytic	analitikoa	0.665	0.521	0.634
analytical	analitikoa	0.625	0.324	0.800
analyze	aztertzeko	0.667	0.462	0.710
analyzer	analizatzaile	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	anarkismoa	0.125	0.804	0.623
