Word	Urdu-ur	Valence	Arousal	Dominance
addresses	پتے	0.510	0.354	0.450
adept	ماہر	0.594	0.539	0.789
adequacy	کافی	0.615	0.435	0.702
adequate	کافی	0.854	0.264	0.705
adhere	عمل کرنا	0.633	0.339	0.554
adherence	عمل	0.760	0.307	0.630
adherent	اطاعت	0.561	0.385	0.555
adhering	عمل کرنا	0.612	0.561	0.537
adhesion	چپکنے والی	0.521	0.445	0.586
adhesive	چپکنے والی	0.604	0.350	0.413
adieu	ایڈی	0.250	0.471	0.342
adipose	مشق	0.333	0.350	0.391
adjacency	ملحقہ	0.365	0.417	0.375
adjacent	قریب	0.645	0.276	0.536
adjective	صفت	0.570	0.316	0.569
adjoining	ملحق	0.520	0.400	0.393
adjourn	اختتام	0.385	0.456	0.475
adjournment	اختتام	0.438	0.510	0.370
adjudicate	فیصلہ کرنا	0.559	0.520	0.683
adjudication	فیصلہ	0.551	0.462	0.691
adjunct	ملحقہ	0.459	0.440	0.426
adjust	ایڈجسٹ کریں	0.647	0.327	0.638
adjuster	ایڈجسٹٹر	0.510	0.540	0.760
adjustment	ایڈجسٹمنٹ	0.590	0.520	0.661
adjuvant	قریب	0.510	0.500	0.456
admin	منتظم	0.688	0.420	0.854
administer	انتظامیہ	0.635	0.425	0.860
administration	انتظامیہ	0.625	0.404	0.786
administrative	انتظامیہ	0.542	0.415	0.579
administrator	منتظم	0.538	0.480	0.902
admirable	قابل اطمینان	0.929	0.600	0.870
admiral	ایڈمرل	0.844	0.490	0.847
admiralty	ایڈمرلٹی	0.594	0.547	0.733
admiration	تعریف	0.969	0.583	0.726
admire	تعریف کرتے ہیں	0.867	0.692	0.704
admired	شخصیات	0.917	0.560	0.815
admirer	پرستار	0.796	0.720	0.650
admiring	تعریف کرتے ہیں	0.867	0.578	0.629
admissibility	قبولیت	0.802	0.580	0.602
admissible	قابل قبول	0.780	0.528	0.642
admission	داخلہ	0.802	0.415	0.732
admit	تسلیم	0.538	0.423	0.667
admittance	اعتراف	0.690	0.451	0.598
admitted	اعتراف کیا	0.720	0.490	0.767
admitting	تسلیم کرتے ہیں	0.620	0.500	0.546
admixture	اطمینان	0.450	0.375	0.438
admonition	مشورہ	0.357	0.606	0.455
ado	ادو	0.520	0.423	0.385
adobe	ایڈوب	0.500	0.319	0.328
adolescence	کشور	0.487	0.694	0.444
adolescent	نوجوانوں	0.781	0.680	0.509
adopt	اپنانے	0.694	0.612	0.701
adoption	اپنانا	0.625	0.566	0.589
adoptive	اپنانا	0.531	0.469	0.520
adorable	پیارا	0.969	0.519	0.457
adoration	سجاوٹ	0.885	0.699	0.708
adore	پسند ہے	0.854	0.438	0.657
adoring	ایڈورڈنگ	0.885	0.620	0.717
adorn	زراعت	0.910	0.424	0.482
adornment	زراعت	0.918	0.373	0.377
adrenalin	ایڈنالین	0.865	0.920	0.786
adrenaline	ایڈنالائن	0.765	0.965	0.825
adrift	مشغول	0.398	0.486	0.230
adult	بالغ	0.815	0.491	0.787
adulterated	زنا	0.188	0.865	0.370
adulterer	زنا	0.229	0.814	0.407
adultery	زنا	0.120	0.922	0.510
adulthood	بالغ	0.541	0.454	0.652
advance	پیشگی	0.673	0.472	0.858
advanced	اعلی درجے کی	0.844	0.623	0.797
advancement	ترقی	0.776	0.650	0.839
advancing	پیش رفت	0.929	0.608	0.812
advantage	فائدہ	0.917	0.548	0.859
advantageous	فائدہ مند	0.837	0.640	0.789
advent	آمدنی	0.665	0.560	0.627
adventure	مہم جوئی	0.917	0.857	0.710
adventurer	مہم جوئی	0.781	0.839	0.868
adventures	مہم جوئی	0.812	0.764	0.749
adventurous	بہادر	0.969	0.898	0.722
adversary	مخالف	0.349	0.777	0.457
adverse	منفی	0.323	0.610	0.385
adversity	پریشان	0.276	0.760	0.538
advertise	تشہیر کریں	0.500	0.529	0.580
advertisement	اشتہار	0.600	0.566	0.539
advertising	اشتہارات	0.622	0.608	0.632
adverts	پیش کرتا ہے	0.551	0.500	0.595
advice	مشورہ	0.698	0.408	0.688
advisable	مشاورتی	0.867	0.480	0.510
advise	مشورہ	0.760	0.393	0.705
advised	مشورہ	0.823	0.330	0.509
advisement	مشورہ	0.698	0.235	0.655
adviser	مشیر	0.745	0.362	0.705
advisor	مشیر	0.646	0.350	0.689
advisory	مشاورتی	0.656	0.429	0.633
advocacy	وکالت	0.500	0.646	0.731
advocate	وکیل	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	واشنگٹن	0.550	0.500	0.433
aerial	فضائی	0.615	0.461	0.463
aerobics	ایروبکس	0.708	0.771	0.627
aerodrome	ایروودوم	0.541	0.740	0.678
aerodynamic	ایروڈومیشنل	0.561	0.724	0.728
aerodynamics	ہوائی جہاز	0.590	0.663	0.722
aeronautics	ہوائی جہاز	0.551	0.633	0.688
aeroplane	ہوائی جہاز	0.714	0.642	0.644
aerospace	ہوائی جہاز	0.643	0.520	0.779
aesthetic	جمالیاتی	0.708	0.442	0.526
aesthetics	جمالیاتیات	0.847	0.327	0.549
aetiology	حیاتیات	0.480	0.398	0.615
afar	دور	0.396	0.373	0.358
affable	قابل اطلاق	0.704	0.380	0.452
affair	معاملہ	0.520	0.459	0.657
affect	متاثر	0.458	0.569	0.578
affecting	کو متاثر	0.350	0.574	0.394
affection	افسوس	0.898	0.559	0.696
affectionate	پیار	0.949	0.422	0.550
affections	اثرات	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	افسوس	0.469	0.584	0.526
affiliated	منسلک	0.673	0.519	0.535
affiliation	تعلق	0.615	0.594	0.500
affinity	تعلق	0.800	0.500	0.537
affirm	تصدیق	0.745	0.509	0.731
affirmation	تصدیق	0.750	0.500	0.689
affirmative	مثبت	0.854	0.589	0.816
affirmatively	تاثر سے	0.908	0.500	0.811
affix	پیسہ	0.438	0.335	0.411
afflict	پریشان	0.302	0.555	0.293
afflicted	پریشان	0.271	0.500	0.167
affliction	افسوس	0.294	0.635	0.392
affluence	ارتقاء	0.663	0.618	0.722
affluent	امیر	0.756	0.388	0.477
afford	برداشت	0.571	0.580	0.575
affordable	سستی	0.840	0.398	0.493
affront	پریشان	0.327	0.740	0.547
affronted	پریشان	0.385	0.750	0.527
afield	افریقی	0.594	0.370	0.373
afire	ایک آگ	0.367	0.904	0.675
afloat	افسوس	0.602	0.427	0.444
afore	آگے	0.500	0.337	0.382
aforementioned	پیش نظارہ	0.490	0.316	0.408
aforesaid	پہلے سے	0.531	0.358	0.478
afraid	ڈر	0.010	0.775	0.245
afresh	افسوس	0.643	0.521	0.480
african	افریقہ	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	زندگی کے بعد	0.571	0.567	0.568
aftermath	اس کے بعد	0.312	0.449	0.444
afternoon	دوپہر	0.533	0.388	0.339
aftershave	داڑھی مونڈھنے کے بعد	0.406	0.384	0.415
aftertaste	بعد میں	0.354	0.362	0.455
afterthought	بعد ازاں	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	اجنبی	0.612	0.529	0.464
agate	عمر	0.540	0.377	0.483
age	عمر	0.561	0.226	0.498
aged	عمر	0.135	0.365	0.236
agency	ایجنسی	0.460	0.296	0.583
agenda	ایجنڈا	0.531	0.296	0.553
agent	ایجنٹ	0.480	0.439	0.755
agglomeration	اجنبی	0.450	0.765	0.509
aggravate	بہت بڑا	0.224	0.770	0.464
aggravated	بڑھ کر	0.079	0.760	0.430
aggravates	اجنبی	0.108	0.778	0.357
aggravating	بڑھتی ہوئی	0.257	0.794	0.640
aggravation	افادیت	0.071	0.784	0.613
aggregate	مجموعی طور پر	0.730	0.378	0.556
aggregation	مجموعی	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	جارحیت	0.094	0.929	0.533
aggressive	جارحانہ	0.125	0.949	0.648
aggressively	جارحانہ طور پر	0.250	0.926	0.688
aggressiveness	جارحیت	0.077	0.913	0.648
aggressor	جارحانہ	0.146	0.948	0.823
agh	Agh	0.260	0.500	0.400
aghast	ابرسٹ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	فرتیلی	0.800	0.657	0.775
agility	چپلتا	0.720	0.702	0.815
aging	عمر بڑھنا	0.214	0.255	0.284
agitate	مشکوک	0.300	0.796	0.593
agitated	متحرک	0.444	0.882	0.491
agitation	تحریک	0.240	0.931	0.447
aglow	آہستہ	0.780	0.510	0.797
agnostic	اجنبی	0.306	0.396	0.574
ago	پہلے	0.317	0.280	0.404
agonizing	اجنبی	0.083	0.800	0.340
agony	پریشانی	0.083	0.775	0.393
agoraphobia	اراوروفیا	0.127	0.712	0.438
agree	متفق ہوں	0.906	0.260	0.545
agreeable	متفق	0.906	0.500	0.696
agreed	اتفاق	0.797	0.449	0.574
agreeing	اتفاق	0.854	0.480	0.557
agreement	معاہدہ	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	زرعی	0.686	0.321	0.473
agriculture	زراعت	0.640	0.357	0.465
aground	زمانے	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	آگے	0.708	0.520	0.673
ahhh	آہ	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	مدد	0.796	0.491	0.541
aide	ساتھی	0.724	0.342	0.434
aiding	امداد	0.643	0.533	0.569
aids	ایڈز	0.561	0.480	0.500
ail	ایلی	0.375	0.434	0.385
ailing	بیماری	0.094	0.518	0.153
ailment	بیماری	0.146	0.734	0.277
aim	مقصد	0.481	0.569	0.567
aimless	بےمقصد	0.150	0.267	0.183
air	ہوا	0.708	0.163	0.427
airbag	ہوائی اڈے	0.510	0.402	0.433
airborne	ہوائی	0.542	0.519	0.385
aircraft	ہوائی جہاز	0.646	0.644	0.691
aircraft carrier	ہوائی جہاز کیریئر	0.490	0.740	0.727
airfield	ہوائی اڈے	0.601	0.650	0.645
airhead	ہوائی اڈے	0.271	0.481	0.276
airlift	ہوائی جہاز	0.573	0.622	0.642
airline	ایئر لائن	0.650	0.482	0.688
airliner	ہوائی جہاز	0.667	0.777	0.647
airlock	ہوائی جہاز	0.398	0.520	0.447
airman	ایئر مین	0.587	0.716	0.721
airplane	ہوائی جہاز	0.719	0.702	0.708
airport	ہوائی اڈے	0.729	0.684	0.682
airs	ہوا	0.583	0.196	0.370
airship	ہوائی جہاز	0.542	0.472	0.529
airspace	ہوائی جہاز	0.562	0.510	0.640
airspeed	ہوائی اسپریڈ	0.583	0.780	0.544
airstrip	ہوائی جہاز	0.550	0.690	0.649
airtight	واٹرائٹ	0.479	0.381	0.570
airway	ہوائی اڈے	0.638	0.585	0.482
aisle	گلیارے	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	اکا	0.459	0.358	0.351
akin	بیکار	0.639	0.343	0.523
alabaster	الاسٹرٹر	0.542	0.404	0.445
alarm	الارم	0.241	0.882	0.698
alarm clock	الارم گھڑی	0.542	0.727	0.642
alarmed	خطرناک	0.188	0.822	0.492
alarming	خطرناک	0.204	0.890	0.585
alas	افسوس	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	البانی	0.500	0.240	0.358
album	البم	0.635	0.349	0.453
alchemy	کیمیا	0.541	0.583	0.693
alcohol	شراب	0.323	0.667	0.377
alcoholic	الکحل	0.153	0.688	0.361
alcoholism	شراب	0.061	0.779	0.407
alcove	الکو	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	انتباہ	0.479	0.820	0.648
alertness	انتباہ	0.375	0.875	0.750
alerts	انتباہات	0.337	0.804	0.673
alfalfa	الفافہ	0.546	0.250	0.311
algebra	الجبرا	0.440	0.340	0.565
algebraic	جگر	0.531	0.412	0.441
algorithm	الگورتھم	0.448	0.394	0.559
alias	عرف	0.541	0.353	0.333
alibi	البیبی	0.396	0.528	0.556
alien	اجنبی	0.410	0.615	0.491
alienate	الگ الگ	0.247	0.500	0.523
alienated	اجنبی	0.410	0.423	0.559
alienation	اجنبی	0.378	0.530	0.462
alight	الٹ	0.667	0.657	0.605
align	سیدھا	0.656	0.364	0.627
aligned	منسلک	0.583	0.275	0.553
alignment	سیدھ	0.643	0.412	0.683
alike	اسی طرح	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	تعصب	0.612	0.477	0.464
aliquot	غیر ملکی	0.440	0.310	0.404
alive	زندہ	0.816	0.637	0.731
alkali	الکالی	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	ہمارا	0.417	0.406	0.398
allegation	الزام	0.578	0.578	0.608
allege	الزام لگایا	0.418	0.482	0.587
alleged	مبینہ طور پر	0.365	0.522	0.520
allegiance	بیعت	0.917	0.398	0.750
allegorical	الزامات	0.517	0.558	0.598
allegory	الزامات	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	الرجک	0.135	0.549	0.273
allergy	الرجی	0.296	0.606	0.389
alleviate	کم	0.869	0.270	0.528
alleviation	کم	0.735	0.200	0.491
alley	گلی	0.347	0.500	0.355
alleyway	اللی وے	0.357	0.471	0.382
alliance	اتحاد	0.696	0.473	0.769
allied	اتحادی	0.714	0.245	0.642
alligator	مگرمچرچھ	0.354	0.704	0.645
allocate	مختص	0.673	0.462	0.672
allocation	مختص کرنے	0.604	0.388	0.679
allot	الاٹ	0.622	0.481	0.616
allotment	الاٹمنٹ	0.600	0.390	0.640
allow	اجازت دیں	0.698	0.429	0.538
allowable	قابل اجازت	0.698	0.500	0.561
allowance	الاؤنس	0.673	0.382	0.591
allowed	اجازت دی	0.730	0.360	0.655
alloy	مصر	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	غصہ	0.804	0.585	0.686
alluring	بھرپور	0.837	0.745	0.843
allusion	الجھن	0.440	0.308	0.462
alluvial	جغرافیہ	0.323	0.490	0.491
ally	اتحادی	0.792	0.320	0.688
almanac	المانیک	0.688	0.190	0.412
almighty	زبردست	0.938	0.874	0.958
almond	بادام	0.698	0.183	0.314
aloft	الافٹ	0.771	0.373	0.700
aloha	الہہ	0.698	0.440	0.441
alone	اکیلے	0.333	0.167	0.216
alongside	ساتھ ساتھ	0.458	0.333	0.347
aloof	ٹھیک ہے	0.189	0.423	0.302
aloud	زبردست	0.458	0.713	0.750
alpha	الفا	0.708	0.340	0.755
alphabet	حروف تہجی	0.562	0.204	0.672
alphabetical	حروف تہجی	0.537	0.296	0.535
alpine	الپائن	0.594	0.337	0.474
alreadyyyyy	پہلے ہی	0.592	0.717	0.351
altar	قربان گاہ	0.724	0.387	0.635
altar boy	قربان گاہ لڑکے	0.434	0.206	0.350
alter	تبدیل کریں	0.333	0.694	0.654
alteration	تبدیلی	0.167	0.798	0.609
altercation	تبدیلی	0.170	0.806	0.500
altered	تبدیل	0.255	0.765	0.500
alternate	متبادل	0.625	0.363	0.589
alternating	متبادل	0.480	0.494	0.542
alternative	متبادل	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	اونچائی	0.708	0.482	0.736
alto	الٹو	0.656	0.404	0.730
altogether	ایک ساتھ	0.833	0.324	0.644
aluminum	ایلومینیم	0.449	0.280	0.434
alumnus	الماری	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	املاگم	0.438	0.333	0.510
amalgamation	تجزیہ	0.406	0.470	0.531
amaretto	امیرٹو	0.543	0.551	0.375
amass	اماس	0.552	0.465	0.465
amateur	شوکیا	0.469	0.500	0.409
amaze	حیران کن	0.896	0.843	0.783
amazed	حیران کن	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	تعجب	0.750	0.800	0.639
amazing	حیرت انگیز	0.906	0.837	0.849
amazingly	حیرت انگیز	0.918	0.765	0.920
ambassador	سفیر	0.651	0.529	0.917
amber	امبر	0.635	0.308	0.369
ambience	ماحول	0.735	0.356	0.426
ambient	وسیع	0.625	0.360	0.582
ambiguity	ناگزیر	0.164	0.460	0.370
ambiguous	مبہم	0.265	0.462	0.358
ambit	امتیاز	0.479	0.380	0.386
ambition	امتیاز	0.510	0.804	0.661
ambitious	بلند نظر	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	الجزائر	0.571	0.452	0.480
ambulance	ایمبولینس	0.500	0.750	0.609
ambush	گھات لگا کر حملہ	0.281	0.830	0.500
ameliorate	بڑھاو	0.770	0.548	0.747
amen	امی	0.781	0.182	0.542
amenable	تیار	0.448	0.410	0.406
amend	ترمیم کریں	0.688	0.406	0.658
amendment	ترمیم	0.531	0.459	0.606
amends	تعارف	0.640	0.366	0.517
amenity	سہولت	0.750	0.327	0.574
amethyst	تعصب	0.622	0.406	0.517
amiable	امیر	0.847	0.290	0.483
amicable	خوشگوار	0.875	0.330	0.507
amid	کے درمیان	0.510	0.340	0.256
amidst	کے دوران	0.480	0.330	0.316
amino	امینو	0.551	0.402	0.433
ammo	بارود	0.323	0.765	0.621
ammonia	امونیا	0.292	0.587	0.409
ammonium	امونیم	0.354	0.396	0.368
ammunition	گولہ باری	0.338	0.635	0.667
amnesia	امونیا	0.296	0.330	0.308
amnesty	ایمنسٹی	0.551	0.451	0.814
amorous	حیرت انگیز	0.844	0.670	0.636
amorphous	بدمعاش	0.327	0.402	0.349
amortization	تعصب	0.592	0.491	0.522
amount	رقم	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	AMP	0.439	0.393	0.375
ampersand	امپرسند	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	امفابین	0.427	0.357	0.474
amphibious	افسوس	0.479	0.346	0.445
amphitheater	امفیٹھیٹر	0.653	0.480	0.545
