Word	Maori-mi	Valence	Arousal	Dominance
adequacy	tika	0.615	0.435	0.702
adequate	tika	0.854	0.264	0.705
adhere	piri	0.633	0.339	0.554
adherence	te piri	0.760	0.307	0.630
adherent	piri	0.561	0.385	0.555
adhering	whakatairanga	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	awhi	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	paku	0.333	0.350	0.391
adjacency	Tuhinga	0.365	0.417	0.375
adjacent	tata	0.645	0.276	0.536
adjective	whakahua	0.570	0.316	0.569
adjoining	e piri ana	0.520	0.400	0.393
adjourn	Tuhinga	0.385	0.456	0.475
adjournment	Tuhinga o mua	0.438	0.510	0.370
adjudicate	whakatau	0.559	0.520	0.683
adjudication	whakatau whakawa	0.551	0.462	0.691
adjunct	Tuhinga	0.459	0.440	0.426
adjust	whakatika	0.647	0.327	0.638
adjuster	whakatikatika	0.510	0.540	0.760
adjustment	whakatikatika	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	kaiwhakahaere	0.688	0.420	0.854
administer	whakahaere	0.635	0.425	0.860
administration	whakahaere	0.625	0.404	0.786
administrative	whakahaere	0.542	0.415	0.579
administrator	kaiwhakahaere	0.538	0.480	0.902
admirable	whakahiahia	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	whakapaipai	0.594	0.547	0.733
admiration	whakanui	0.969	0.583	0.726
admire	whakanui	0.867	0.692	0.704
admired	whakahiahia	0.917	0.560	0.815
admirer	whakanui	0.796	0.720	0.650
admiring	whakanui	0.867	0.578	0.629
admissibility	whakaaetanga	0.802	0.580	0.602
admissible	ka taea	0.780	0.528	0.642
admission	whakauru	0.802	0.415	0.732
admit	whakaae	0.538	0.423	0.667
admittance	whakaaetanga	0.690	0.451	0.598
admitted	whakaaetia	0.720	0.490	0.767
admitting	whakaae	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	whakatupato	0.357	0.606	0.455
ado	whakapaipai	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	te taiohi	0.487	0.694	0.444
adolescent	te taiohi	0.781	0.680	0.509
adopt	tango	0.694	0.612	0.701
adoption	whakatipu	0.625	0.566	0.589
adoptive	whakatairanga	0.531	0.469	0.520
adorable	rongonui	0.969	0.519	0.457
adoration	whakanui	0.885	0.699	0.708
adore	aroha	0.854	0.438	0.657
adoring	karakia	0.885	0.620	0.717
adorn	whakapaipai	0.910	0.424	0.482
adornment	whakapaipai	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	Tuhinga	0.398	0.486	0.230
adult	pakeke	0.815	0.491	0.787
adulterated	puremu	0.188	0.865	0.370
adulterer	kairau	0.229	0.814	0.407
adultery	puremu	0.120	0.922	0.510
adulthood	te pakeke	0.541	0.454	0.652
advance	Tuhinga	0.673	0.472	0.858
advanced	matatau	0.844	0.623	0.797
advancement	Tuhinga	0.776	0.650	0.839
advancing	Tuhinga	0.929	0.608	0.812
advantage	painga	0.917	0.548	0.859
advantageous	pai	0.837	0.640	0.789
advent	Tuhinga o mua	0.665	0.560	0.627
adventure	Tuhinga	0.917	0.857	0.710
adventurer	kaihoko	0.781	0.839	0.868
adventures	nga mahinga	0.812	0.764	0.749
adventurous	kaihau	0.969	0.898	0.722
adversary	hoariri	0.349	0.777	0.457
adverse	kino	0.323	0.610	0.385
adversity	Tuhinga o mua	0.276	0.760	0.538
advertise	whakatairanga	0.500	0.529	0.580
advertisement	pānuitanga	0.600	0.566	0.539
advertising	pānuitanga	0.622	0.608	0.632
adverts	Tuhinga	0.551	0.500	0.595
advice	tohutohu	0.698	0.408	0.688
advisable	tika	0.867	0.480	0.510
advise	tohutohu	0.760	0.393	0.705
advised	tohutohu	0.823	0.330	0.509
advisement	tohutohu	0.698	0.235	0.655
adviser	kaiwhakaako	0.745	0.362	0.705
advisor	kaiwhakaako	0.646	0.350	0.689
advisory	tohutohu	0.656	0.429	0.633
advocacy	tautoko	0.500	0.646	0.731
advocate	Tuhinga	0.551	0.530	0.818
aegis	Tuhinga o mua	0.490	0.439	0.462
aeration	Tuhinga	0.550	0.500	0.433
aerial	Tuhinga	0.615	0.461	0.463
aerobics	haurangi	0.708	0.771	0.627
aerodrome	haurangi	0.541	0.740	0.678
aerodynamic	haurangi	0.561	0.724	0.728
aerodynamics	haurangi	0.590	0.663	0.722
aeronautics	te hunga hauora	0.551	0.633	0.688
aeroplane	vaalele	0.714	0.642	0.644
aerospace	mokowā	0.643	0.520	0.779
aesthetic	ahuareka	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	tawhiti	0.396	0.373	0.358
affable	Tuhinga	0.704	0.380	0.452
affair	mahi	0.520	0.459	0.657
affect	pānga	0.458	0.569	0.578
affecting	e pā ana	0.350	0.574	0.394
affection	aroha	0.898	0.559	0.696
affectionate	aroha	0.949	0.422	0.550
affections	aroha	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	taunakitanga	0.469	0.584	0.526
affiliated	hono	0.673	0.519	0.535
affiliation	hononga	0.615	0.594	0.500
affinity	Tuhinga	0.800	0.500	0.537
affirm	whakamana	0.745	0.509	0.731
affirmation	whakautu	0.750	0.500	0.689
affirmative	whakautu	0.854	0.589	0.816
affirmatively	i runga i te kupu	0.908	0.500	0.811
affix	Tuhinga	0.438	0.335	0.411
afflict	mamae	0.302	0.555	0.293
afflicted	mamae	0.271	0.500	0.167
affliction	Tuhinga o mua	0.294	0.635	0.392
affluence	Tuhinga	0.663	0.618	0.722
affluent	hua	0.756	0.388	0.477
afford	utu	0.571	0.580	0.575
affordable	utu	0.840	0.398	0.493
affront	whakaeke	0.327	0.740	0.547
affronted	whakahē	0.385	0.750	0.527
afield	Tuhinga	0.594	0.370	0.373
afire	Tuhinga	0.367	0.904	0.675
afloat	Tuhinga o mua	0.602	0.427	0.444
afore	Tuhinga o mua	0.500	0.337	0.382
aforementioned	i kiia i mua	0.490	0.316	0.408
aforesaid	i korerotia i mua	0.531	0.358	0.478
afraid	wehi	0.010	0.775	0.245
afresh	hou	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	Tuhinga o mua	0.480	0.417	0.518
afterlife	muri muri	0.571	0.567	0.568
aftermath	Tuhinga o mua	0.312	0.449	0.444
afternoon	ahiahi	0.533	0.388	0.339
aftershave	muri muri	0.406	0.384	0.415
aftertaste	Tuhinga o mua	0.354	0.362	0.455
afterthought	Tuhinga o mua	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	tau	0.561	0.226	0.498
aged	koroheke	0.135	0.365	0.236
agency	umanga	0.460	0.296	0.583
agenda	kaupapa	0.531	0.296	0.553
agent	kaihoko	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	whakahou	0.224	0.770	0.464
aggravated	nui ake	0.079	0.760	0.430
aggravates	te whakatikatika	0.108	0.778	0.357
aggravating	whakatikatika	0.257	0.794	0.640
aggravation	Tuhinga o mua	0.071	0.784	0.613
aggregate	kohikohi	0.730	0.378	0.556
aggregation	huihuinga	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	riri	0.094	0.929	0.533
aggressive	kaha	0.125	0.949	0.648
aggressively	kaha	0.250	0.926	0.688
aggressiveness	Tuhinga o mua	0.077	0.913	0.648
aggressor	Tuhinga o mua	0.146	0.948	0.823
agh	Tuhinga o mua	0.260	0.500	0.400
aghast	Tuhinga o mua	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	Tuhinga	0.720	0.702	0.815
aging	koroheke	0.214	0.255	0.284
agitate	whakatikatika	0.300	0.796	0.593
agitated	ka raru	0.444	0.882	0.491
agitation	te whakaoho	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	i mua	0.317	0.280	0.404
agonizing	mamae	0.083	0.800	0.340
agony	mamae	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	whakaae	0.906	0.260	0.545
agreeable	he pai	0.906	0.500	0.696
agreed	whakaae	0.797	0.449	0.574
agreeing	whakaae	0.854	0.480	0.557
agreement	whakaaetanga	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	umanga	0.686	0.321	0.473
agriculture	te ahuwhenua	0.640	0.357	0.465
aground	a tawhio noa	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	Tuhinga o mua	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Tuhinga o mua	0.500	0.497	0.380
aid	āwhina	0.796	0.491	0.541
aide	awhina	0.724	0.342	0.434
aiding	awhina	0.643	0.533	0.569
aids	awhina	0.561	0.480	0.500
ail	Tuhinga o mua	0.375	0.434	0.385
ailing	mate	0.094	0.518	0.153
ailment	mate	0.146	0.734	0.277
aim	whāinga	0.481	0.569	0.567
aimless	kore noa	0.150	0.267	0.183
air	hau	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	haurangi	0.542	0.519	0.385
aircraft	rererangi	0.646	0.644	0.691
aircraft carrier	waka kawerangi	0.490	0.740	0.727
airfield	haurangi	0.601	0.650	0.645
airhead	haurangi	0.271	0.481	0.276
airlift	Tuhinga o mua	0.573	0.622	0.642
airline	wakarangi	0.650	0.482	0.688
airliner	haurangi	0.667	0.777	0.647
airlock	haurangi	0.398	0.520	0.447
airman	haurangi	0.587	0.716	0.721
airplane	vaalele	0.719	0.702	0.708
airport	paparangi rererangi	0.729	0.684	0.682
airs	hau	0.583	0.196	0.370
airship	haurangi	0.542	0.472	0.529
airspace	mokowārangi	0.562	0.510	0.640
airspeed	haurangi	0.583	0.780	0.544
airstrip	piripiri	0.550	0.690	0.649
airtight	Tuhinga o mua	0.479	0.381	0.570
airway	haurangi	0.638	0.585	0.482
aisle	waahi	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	whakaoho	0.241	0.882	0.698
alarm clock	karaka whakaoho	0.542	0.727	0.642
alarmed	ka mataku	0.188	0.822	0.492
alarming	whakawehi	0.204	0.890	0.585
alas	Tuhinga	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	Tuhinga	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	waipiro	0.323	0.667	0.377
alcoholic	waipiro	0.153	0.688	0.361
alcoholism	waipiro	0.061	0.779	0.407
alcove	Tuhinga o mua	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	mataara	0.479	0.820	0.648
alertness	mataara	0.375	0.875	0.750
alerts	mataara	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	taurangi	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	tohu	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	tangata ke	0.410	0.615	0.491
alienate	tohatoha	0.247	0.500	0.523
alienated	ka rereke	0.410	0.423	0.559
alienation	Tuhinga	0.378	0.530	0.462
alight	haere	0.667	0.657	0.605
align	hono	0.656	0.364	0.627
aligned	e hāngai ana	0.583	0.275	0.553
alignment	whakawhitinga	0.643	0.412	0.683
alike	rite tonu	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	Tuhinga	0.440	0.310	0.404
alive	ora	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	whakahou	0.417	0.406	0.398
allegation	Tuhinga	0.578	0.578	0.608
allege	korero	0.418	0.482	0.587
alleged	ka kiia	0.365	0.522	0.520
allegiance	Tuhinga	0.917	0.398	0.750
allegorical	Tuhinga	0.517	0.558	0.598
allegory	Tuhinga	0.615	0.580	0.509
allegro	Tuhinga	0.635	0.627	0.453
allergic	mate mate	0.135	0.549	0.273
allergy	mate mate	0.296	0.606	0.389
alleviate	whakakorea	0.869	0.270	0.528
alleviation	whakaiti	0.735	0.200	0.491
alley	ara	0.347	0.500	0.355
alleyway	arawhata	0.357	0.471	0.382
alliance	Tuhinga	0.696	0.473	0.769
allied	Tuhinga	0.714	0.245	0.642
alligator	Tuhinga o mua	0.354	0.704	0.645
allocate	tohatoha	0.673	0.462	0.672
allocation	tohatoha	0.604	0.388	0.679
allot	toha	0.622	0.481	0.616
allotment	Tuhinga	0.600	0.390	0.640
allow	whakaaetia	0.698	0.429	0.538
allowable	ka taea	0.698	0.500	0.561
allowance	Tuhinga	0.673	0.382	0.591
allowed	whakaaetia	0.730	0.360	0.655
alloy	Tuhinga	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	Tuhinga	0.804	0.585	0.686
alluring	whakaari	0.837	0.745	0.843
allusion	toronga	0.440	0.308	0.462
alluvial	Tuhinga	0.323	0.490	0.491
ally	hoa	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	Kaha Rawa	0.938	0.874	0.958
almond	aramona	0.698	0.183	0.314
aloft	Tuhinga o mua	0.771	0.373	0.700
aloha	aroha	0.698	0.440	0.441
alone	anake	0.333	0.167	0.216
alongside	i te taha	0.458	0.333	0.347
aloof	Tuhinga o mua	0.189	0.423	0.302
aloud	nui	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	tohu	0.562	0.204	0.672
alphabetical	tohu	0.537	0.296	0.535
alpine	Tuhinga	0.594	0.337	0.474
alreadyyyyy	Tuhinga o mua	0.592	0.717	0.351
altar	aata	0.724	0.387	0.635
altar boy	tamaiti tamaiti	0.434	0.206	0.350
alter	hurihia	0.333	0.694	0.654
alteration	whakarerekē	0.167	0.798	0.609
altercation	Tuhinga	0.170	0.806	0.500
altered	kua whakarereketia	0.255	0.765	0.500
alternate	rerekē	0.625	0.363	0.589
alternating	rerekē	0.480	0.494	0.542
alternative	rerekē	0.628	0.373	0.631
altimeter	teitei	0.615	0.510	0.580
altitude	teitei	0.708	0.482	0.736
alto	Tuhinga o mua	0.656	0.404	0.730
altogether	katoa	0.833	0.324	0.644
aluminum	konumohe	0.449	0.280	0.434
alumnus	Tuhinga	0.633	0.368	0.422
alveolar	Tuhinga o mua	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	whakakotahi	0.406	0.470	0.531
amaretto	Tuhinga	0.543	0.551	0.375
amass	whakaemihia	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	miharo	0.896	0.843	0.783
amazed	miharo	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	miharo	0.750	0.800	0.639
amazing	maere	0.906	0.837	0.849
amazingly	miharo	0.918	0.765	0.920
ambassador	karere	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	hinengaro	0.735	0.356	0.426
ambient	mema	0.625	0.360	0.582
ambiguity	taatai	0.164	0.460	0.370
ambiguous	maama	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	hiahia	0.510	0.804	0.661
ambitious	hiahia	0.484	0.821	0.717
ambivalent	Tuhinga	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	motuka	0.500	0.750	0.609
ambush	tatari	0.281	0.830	0.500
ameliorate	whakanui	0.770	0.548	0.747
amen	Amene	0.781	0.182	0.542
amenable	Tuhinga ka whai mai	0.448	0.410	0.406
amend	whakatikatika	0.688	0.406	0.658
amendment	whakatikatika	0.531	0.459	0.606
amends	whakatika	0.640	0.366	0.517
amenity	Tuhinga	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	he pai	0.847	0.290	0.483
amicable	pai	0.875	0.330	0.507
amid	i waenganui	0.510	0.340	0.256
amidst	Tuhinga o mua	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	umanga	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	Tuhinga o mua	0.551	0.451	0.814
amorous	ahuareka	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	whakahoutanga	0.592	0.491	0.522
amount	nui	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	nui	0.744	0.349	0.719
amplification	whakangungu	0.690	0.677	0.810
amplify	whakanui ake	0.677	0.735	0.827
amplitude	rahi	0.694	0.439	0.692
amply	nui	0.781	0.431	0.766
amputate	ka wehea	0.092	0.660	0.509
amputation	Tuhinga	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	koa	0.812	0.684	0.664
amused	koa	0.942	0.847	0.596
amusement	hākinakina	0.929	0.837	0.803
amusing	ngahau	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	Tuhinga o mua	0.350	0.217	0.473
