Word	Thai-th	Valence	Arousal	Dominance
actuary	ผู้ชำนา ณ การหาสถิติเกี่ยวกับการประกันภัย	0.510	0.404	0.491
acuity	ความรุนแรง	0.469	0.378	0.741
acumen	ความเฉียบแหลม	0.564	0.660	0.679
acupuncture	การฝังเข็ม	0.531	0.324	0.549
acute	รุนแรง	0.427	0.652	0.534
acutely	อย่างรุนแรง	0.417	0.543	0.491
ad	การโฆษณา	0.521	0.705	0.558
adage	สุภาษิต	0.517	0.415	0.566
adamant	ยืนกราน	0.344	0.529	0.575
adapt	ปรับ	0.740	0.355	0.551
adaptable	ปรับตัวได้	0.735	0.423	0.641
adaptation	การปรับตัว	0.663	0.365	0.609
add	เพิ่ม	0.728	0.490	0.554
added	ที่เพิ่ม	0.562	0.405	0.509
addendum	ภาคผนวก	0.392	0.370	0.418
adder	งูพิษ	0.388	0.461	0.588
addict	ผู้เสพติด	0.075	0.696	0.327
addicted	ติดยาเสพติด	0.156	0.712	0.483
addiction	ติดยาเสพติด	0.180	0.806	0.420
addictive	เสพติด	0.302	0.683	0.472
addition	การเพิ่ม	0.562	0.373	0.471
additional	เพิ่มเติม	0.673	0.462	0.526
additive	สารเติมแต่ง	0.561	0.633	0.691
address	ที่อยู่	0.650	0.327	0.567
addressee	ผู้รับจดหมาย	0.622	0.382	0.538
addresses	ที่อยู่	0.510	0.354	0.450
adept	เก่ง	0.594	0.539	0.789
adequacy	ความเพียงพอ	0.615	0.435	0.702
adequate	เพียงพอ	0.854	0.264	0.705
adhere	ยึดมั่น	0.633	0.339	0.554
adherence	การยึดมั่น	0.760	0.307	0.630
adherent	สานุศิษย์	0.561	0.385	0.555
adhering	ยึดมั่น	0.612	0.561	0.537
adhesion	ความศรัทธา	0.521	0.445	0.586
adhesive	ติดแน่น	0.604	0.350	0.413
adieu	ลาก่อน	0.250	0.471	0.342
adipose	ไขมันของสัตว์	0.333	0.350	0.391
adjacency	ถ้อยคำ	0.365	0.417	0.375
adjacent	ติดกัน	0.645	0.276	0.536
adjective	คำคุณศัพท์	0.570	0.316	0.569
adjoining	ติดกับ	0.520	0.400	0.393
adjourn	เลื่อน	0.385	0.456	0.475
adjournment	การเลื่อน	0.438	0.510	0.370
adjudicate	ตัดสิน	0.559	0.520	0.683
adjudication	การตัดสินใจ	0.551	0.462	0.691
adjunct	เสริม	0.459	0.440	0.426
adjust	ปรับ	0.647	0.327	0.638
adjuster	ปรับ	0.510	0.540	0.760
adjustment	การปรับ	0.590	0.520	0.661
adjuvant	เสริม	0.510	0.500	0.456
admin	ผู้ดูแลระบบ	0.688	0.420	0.854
administer	จัดการ	0.635	0.425	0.860
administration	การบริหาร	0.625	0.404	0.786
administrative	การบริหาร	0.542	0.415	0.579
administrator	ผู้บริหาร	0.538	0.480	0.902
admirable	โบแดง	0.929	0.600	0.870
admiral	พลเรือเอก	0.844	0.490	0.847
admiralty	กระทรวงทหารเรือ	0.594	0.547	0.733
admiration	สิ่งที่น่าชมเชย	0.969	0.583	0.726
admire	ชม	0.867	0.692	0.704
admired	ชื่นชม	0.917	0.560	0.815
admirer	แฟน	0.796	0.720	0.650
admiring	ที่เลื่อมใส	0.867	0.578	0.629
admissibility	ภัณฑ์	0.802	0.580	0.602
admissible	อนุญาตได้	0.780	0.528	0.642
admission	การรับเข้า	0.802	0.415	0.732
admit	ยอมรับ	0.538	0.423	0.667
admittance	การรับเข้า	0.690	0.451	0.598
admitted	ที่ยอมรับ	0.720	0.490	0.767
admitting	ยอมรับ	0.620	0.500	0.546
admixture	ส่วนผสม	0.450	0.375	0.438
admonition	การตักเตือน	0.357	0.606	0.455
ado	ความกังวลใจ	0.520	0.423	0.385
adobe	อะโดบี	0.500	0.319	0.328
adolescence	วัยรุ่น	0.487	0.694	0.444
adolescent	วัยรุ่น	0.781	0.680	0.509
adopt	นำมาใช้	0.694	0.612	0.701
adoption	การนำมาใช้	0.625	0.566	0.589
adoptive	บุญธรรม	0.531	0.469	0.520
adorable	น่ารัก	0.969	0.519	0.457
adoration	ความรัก	0.885	0.699	0.708
adore	รัก	0.854	0.438	0.657
adoring	ที่รัก	0.885	0.620	0.717
adorn	ประดับ	0.910	0.424	0.482
adornment	เครื่องประดับ	0.918	0.373	0.377
adrenalin	ต่อมหมวกไต	0.865	0.920	0.786
adrenaline	ตื่นเต้น	0.765	0.965	0.825
adrift	ไม่มีจุดหมาย	0.398	0.486	0.230
adult	ผู้ใหญ่	0.815	0.491	0.787
adulterated	ปลอมปน	0.188	0.865	0.370
adulterer	ชู้	0.229	0.814	0.407
adultery	การผิดประเวณี	0.120	0.922	0.510
adulthood	วุฒิ	0.541	0.454	0.652
advance	ความก้าวหน้า	0.673	0.472	0.858
advanced	สูง	0.844	0.623	0.797
advancement	ความก้าวหน้า	0.776	0.650	0.839
advancing	ความก้าวหน้า	0.929	0.608	0.812
advantage	ความได้เปรียบ	0.917	0.548	0.859
advantageous	ได้เปรียบ	0.837	0.640	0.789
advent	การกำเนิด	0.665	0.560	0.627
adventure	การผจญภัย	0.917	0.857	0.710
adventurer	นักผจญภัย	0.781	0.839	0.868
adventures	การผจญภัย	0.812	0.764	0.749
adventurous	ชอบผจญภัย	0.969	0.898	0.722
adversary	ฝ่ายตรงข้าม	0.349	0.777	0.457
adverse	ตรงข้าม	0.323	0.610	0.385
adversity	ความทุกข์ยาก	0.276	0.760	0.538
advertise	โฆษณา	0.500	0.529	0.580
advertisement	การโฆษณา	0.600	0.566	0.539
advertising	การโฆษณา	0.622	0.608	0.632
adverts	โฆษณา	0.551	0.500	0.595
advice	คำแนะนำ	0.698	0.408	0.688
advisable	สมควร	0.867	0.480	0.510
advise	แนะนำ	0.760	0.393	0.705
advised	ให้คำแนะนำ	0.823	0.330	0.509
advisement	การให้คำแนะนำ	0.698	0.235	0.655
adviser	ที่ปรึกษา	0.745	0.362	0.705
advisor	ที่ปรึกษา	0.646	0.350	0.689
advisory	ที่ปรึกษา	0.656	0.429	0.633
advocacy	ทนาย	0.500	0.646	0.731
advocate	สนับสนุน	0.551	0.530	0.818
aegis	โล่	0.490	0.439	0.462
aeration	การเติมอากาศ	0.550	0.500	0.433
aerial	สายอากาศ	0.615	0.461	0.463
aerobics	กายกรรม	0.708	0.771	0.627
aerodrome	สนามบิน	0.541	0.740	0.678
aerodynamic	อากาศพลศาสตร์	0.561	0.724	0.728
aerodynamics	อากาศพลศาสตร์	0.590	0.663	0.722
aeronautics	วิชาการบิน	0.551	0.633	0.688
aeroplane	เครื่องบิน	0.714	0.642	0.644
aerospace	การบินและอวกาศ	0.643	0.520	0.779
aesthetic	สุนทรียะ	0.708	0.442	0.526
aesthetics	สุนทรียศาสตร์	0.847	0.327	0.549
aetiology	สาเหตุ	0.480	0.398	0.615
afar	แต่ไกล	0.396	0.373	0.358
affable	น่ารัก	0.704	0.380	0.452
affair	เรื่อง	0.520	0.459	0.657
affect	มีผลต่อ	0.458	0.569	0.578
affecting	น่าสงสาร	0.350	0.574	0.394
affection	ความรัก	0.898	0.559	0.696
affectionate	ที่รักใคร่	0.949	0.422	0.550
affections	ความรัก	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	คำเบิกความ	0.469	0.584	0.526
affiliated	บริษัท ในเครือ	0.673	0.519	0.535
affiliation	การติดต่อ	0.615	0.594	0.500
affinity	ความเป็นพี่น้องกัน	0.800	0.500	0.537
affirm	ยืนยัน	0.745	0.509	0.731
affirmation	การยืนยัน	0.750	0.500	0.689
affirmative	ซึ่งยืนยัน	0.854	0.589	0.816
affirmatively	โดยยืนยัน	0.908	0.500	0.811
affix	ติด	0.438	0.335	0.411
afflict	ทำให้เดือดร้อน	0.302	0.555	0.293
afflicted	ทรมาน	0.271	0.500	0.167
affliction	ความทุกข์	0.294	0.635	0.392
affluence	ความมั่งคั่ง	0.663	0.618	0.722
affluent	ร่ำรวย	0.756	0.388	0.477
afford	จ่าย	0.571	0.580	0.575
affordable	ราคาไม่แพง	0.840	0.398	0.493
affront	ดูหมิ่น	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	ในทุ่งนา	0.594	0.370	0.373
afire	ไฟไหม้	0.367	0.904	0.675
afloat	ลอยไป	0.602	0.427	0.444
afore	แต่ก่อน	0.500	0.337	0.382
aforementioned	ดังกล่าว	0.490	0.316	0.408
aforesaid	ดังกล่าว	0.531	0.358	0.478
afraid	เกรงกลัว	0.010	0.775	0.245
afresh	อีกครั้ง	0.643	0.521	0.480
african	แอฟริกัน	0.490	0.423	0.555
aft	ไปทางท้ายเรือ	0.480	0.417	0.518
afterlife	ชีวิตภายหลังมรณะ	0.571	0.567	0.568
aftermath	ควันหลง	0.312	0.449	0.444
afternoon	ตอนบ่าย	0.533	0.388	0.339
aftershave	โลชั่นหลังโกนหนวด	0.406	0.384	0.415
aftertaste	ค้างอยู่ในคอ	0.354	0.362	0.455
afterthought	คำอธิบายเพิ่มเติม	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	อ้าปากกว้าง	0.612	0.529	0.464
agate	หินโมรา	0.540	0.377	0.483
age	อายุ	0.561	0.226	0.498
aged	มีอายุ	0.135	0.365	0.236
agency	หน่วยงาน	0.460	0.296	0.583
agenda	ระเบียบวาระการประชุม	0.531	0.296	0.553
agent	ตัวแทน	0.480	0.439	0.755
agglomeration	การรวมตัวกัน	0.450	0.765	0.509
aggravate	ซ้ำเติม	0.224	0.770	0.464
aggravated	กำเริบ	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	aggravating	0.257	0.794	0.640
aggravation	การทำให้รุนแรงขึ้น	0.071	0.784	0.613
aggregate	สรุป	0.730	0.378	0.556
aggregation	การรวมตัว	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	การรุกราน	0.094	0.929	0.533
aggressive	ก้าวร้าว	0.125	0.949	0.648
aggressively	อุกอาจ	0.250	0.926	0.688
aggressiveness	ความแข็งขัน	0.077	0.913	0.648
aggressor	ผู้รุกราน	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	ตกตะลึง	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	เปรียว	0.800	0.657	0.775
agility	ความว่องไว	0.720	0.702	0.815
aging	ริ้วรอย	0.214	0.255	0.284
agitate	ปั่นหัว	0.300	0.796	0.593
agitated	ตื่นเต้น	0.444	0.882	0.491
agitation	การก่อกวน	0.240	0.931	0.447
aglow	อิ่มเอิบ	0.780	0.510	0.797
agnostic	ไม่เชื่อเรื่องพระเจ้า	0.306	0.396	0.574
ago	มาแล้ว	0.317	0.280	0.404
agonizing	ที่ทนทุกข์ทรมาน	0.083	0.800	0.340
agony	ความทุกข์ทรมาน	0.083	0.775	0.393
agoraphobia	อาทิเช่น	0.127	0.712	0.438
agree	ตกลง	0.906	0.260	0.545
agreeable	น่าพอใจ	0.906	0.500	0.696
agreed	ตกลง	0.797	0.449	0.574
agreeing	เห็นพ้อง	0.854	0.480	0.557
agreement	ข้อตกลง	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	การเกษตร	0.686	0.321	0.473
agriculture	การเกษตร	0.640	0.357	0.465
aground	บนพื้นดิน	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ล่วงหน้า	0.708	0.520	0.673
ahhh	ahhh ค	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	เสียงเรียก	0.500	0.497	0.380
aid	ช่วยเหลือ	0.796	0.491	0.541
aide	เสนาธิการ	0.724	0.342	0.434
aiding	การช่วยงาน	0.643	0.533	0.569
aids	เอดส์	0.561	0.480	0.500
ail	ลำบาก	0.375	0.434	0.385
ailing	ไม่สบาย	0.094	0.518	0.153
ailment	โรค	0.146	0.734	0.277
aim	จุดมุ่งหมาย	0.481	0.569	0.567
aimless	จับจด	0.150	0.267	0.183
air	อากาศ	0.708	0.163	0.427
airbag	ถุงลมนิรภัย	0.510	0.402	0.433
airborne	ขนมาทางอากาศ	0.542	0.519	0.385
aircraft	อากาศยาน	0.646	0.644	0.691
aircraft carrier	เรือบรรทุกเครื่องบิน	0.490	0.740	0.727
airfield	สนามบิน	0.601	0.650	0.645
airhead	คนโง่	0.271	0.481	0.276
airlift	การขนส่งทางอากาศ	0.573	0.622	0.642
airline	สายการบิน	0.650	0.482	0.688
airliner	เครื่องบินโดยสาร	0.667	0.777	0.647
airlock	ผนึก	0.398	0.520	0.447
airman	นักบิน	0.587	0.716	0.721
airplane	เครื่องบิน	0.719	0.702	0.708
airport	สนามบิน	0.729	0.684	0.682
airs	มาด	0.583	0.196	0.370
airship	เรือเหาะ	0.542	0.472	0.529
airspace	น่านฟ้า	0.562	0.510	0.640
airspeed	เครื่องบิน	0.583	0.780	0.544
airstrip	สนามบิน	0.550	0.690	0.649
airtight	อัดลม	0.479	0.381	0.570
airway	สายการบิน	0.638	0.585	0.482
aisle	ทางเดินระหว่างที่นั่ง	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	อาคา	0.459	0.358	0.351
akin	คล้ายกัน	0.639	0.343	0.523
alabaster	เศวตศิลา	0.542	0.404	0.445
alarm	สัญญาณเตือนภัย	0.241	0.882	0.698
alarm clock	นาฬิกาปลุก	0.542	0.727	0.642
alarmed	ตระหนก	0.188	0.822	0.492
alarming	น่ากลัว	0.204	0.890	0.585
alas	อนิจจา	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	นกทะแลชนิทใหญ่	0.500	0.445	0.527
albino	คนเผือก	0.500	0.240	0.358
album	อัลบั้ม	0.635	0.349	0.453
alchemy	การเล่นแร่แปรธาตุ	0.541	0.583	0.693
alcohol	แอลกอฮอล์	0.323	0.667	0.377
alcoholic	มีส่วนผสมของแอลกอฮอล์	0.153	0.688	0.361
alcoholism	พิษสุราเรื้อรัง	0.061	0.779	0.407
alcove	ซุ้มไม้	0.490	0.340	0.356
alderman	เทศมนตรี	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	เตือนภัย	0.479	0.820	0.648
alertness	การเตรียมพร้อม	0.375	0.875	0.750
alerts	การแจ้งเตือน	0.337	0.804	0.673
alfalfa	หญ้าชนิตหนึ่ง	0.546	0.250	0.311
algebra	พีชคณิต	0.440	0.340	0.565
algebraic	เกี่ยวกับพีชคณิต	0.531	0.412	0.441
algorithm	ขั้นตอนวิธี	0.448	0.394	0.559
alias	นามแฝง	0.541	0.353	0.333
alibi	ข้อแก้ตัว	0.396	0.528	0.556
alien	มนุษย์ต่างดาว	0.410	0.615	0.491
alienate	โอน	0.247	0.500	0.523
alienated	แปลก	0.410	0.423	0.559
alienation	การโอนเงิน	0.378	0.530	0.462
alight	ลุก	0.667	0.657	0.605
align	เป็นเส้นตรง	0.656	0.364	0.627
aligned	แนวราบ	0.583	0.275	0.553
alignment	การวางแนว	0.643	0.412	0.683
alike	เหมือนกัน	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ค่าเลี้ยงดู	0.612	0.477	0.464
aliquot	เลขที่นำไปหารจำนวนอื่นได้ลงตัว	0.440	0.310	0.404
alive	มีชีวิตอยู่	0.816	0.637	0.731
alkali	ด่าง	0.490	0.350	0.408
alkaloids	ลคาลอยด์	0.433	0.562	0.402
allay	บรรเทา	0.417	0.406	0.398
allegation	ข้อกล่าวหา	0.578	0.578	0.608
allege	กล่าวหา	0.418	0.482	0.587
alleged	ถูกกล่าวหา	0.365	0.522	0.520
allegiance	ความจงรักภักดี	0.917	0.398	0.750
allegorical	เป็นเชิงเปรียบเทียบ	0.517	0.558	0.598
allegory	ชาดก	0.615	0.580	0.509
allegro	ดนตรีเร็ว	0.635	0.627	0.453
allergic	แพ้	0.135	0.549	0.273
allergy	โรคภูมิแพ้	0.296	0.606	0.389
alleviate	บรรเทา	0.869	0.270	0.528
alleviation	การบรรเทา	0.735	0.200	0.491
alley	ซอย	0.347	0.500	0.355
alleyway	ตรอก	0.357	0.471	0.382
alliance	พันธมิตร	0.696	0.473	0.769
allied	เป็นพันธมิตรกัน	0.714	0.245	0.642
alligator	จระเข้	0.354	0.704	0.645
allocate	จัดสรร	0.673	0.462	0.672
allocation	การจัดสรร	0.604	0.388	0.679
allot	เจียด	0.622	0.481	0.616
allotment	ส่วนแบ่ง	0.600	0.390	0.640
allow	อนุญาต	0.698	0.429	0.538
allowable	อนุญาต	0.698	0.500	0.561
allowance	เบี้ยเลี้ยง	0.673	0.382	0.591
allowed	ได้รับอนุญาต	0.730	0.360	0.655
alloy	โลหะผสม	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	จูงใจ	0.804	0.585	0.686
alluring	มีเสน่ห์	0.837	0.745	0.843
allusion	การพาดพิง	0.440	0.308	0.462
alluvial	ลุ่มน้ำ	0.323	0.490	0.491
ally	พันธมิตร	0.792	0.320	0.688
almanac	ปูม	0.688	0.190	0.412
almighty	ยิ่งใหญ่	0.938	0.874	0.958
almond	อัลมอนด์	0.698	0.183	0.314
aloft	สูงขึ้น	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	คนเดียว	0.333	0.167	0.216
alongside	คู่ขนาน	0.458	0.333	0.347
aloof	ห่าง	0.189	0.423	0.302
aloud	ดัง	0.458	0.713	0.750
alpha	แอลฟา	0.708	0.340	0.755
alphabet	ตัวอักษร	0.562	0.204	0.672
alphabetical	ตามตัวอักษร	0.537	0.296	0.535
alpine	อัลไพน์	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	แท่นบูชา	0.724	0.387	0.635
altar boy	เด็กชายแท่นบูชา	0.434	0.206	0.350
alter	แก้ไข	0.333	0.694	0.654
alteration	การเปลี่ยนแปลง	0.167	0.798	0.609
altercation	การทะเลาะ	0.170	0.806	0.500
altered	การเปลี่ยนแปลง	0.255	0.765	0.500
