Word	Chinese (Traditional)-zh-TW	Valence	Arousal	Dominance
admin	管理	0.688	0.420	0.854
administer	管理	0.635	0.425	0.860
administration	行政	0.625	0.404	0.786
administrative	行政的	0.542	0.415	0.579
administrator	管理員	0.538	0.480	0.902
admirable	令人欽佩	0.929	0.600	0.870
admiral	上將	0.844	0.490	0.847
admiralty	金鐘	0.594	0.547	0.733
admiration	欽佩	0.969	0.583	0.726
admire	欣賞	0.867	0.692	0.704
admired	尊敬的	0.917	0.560	0.815
admirer	愛慕者	0.796	0.720	0.650
admiring	欣賞	0.867	0.578	0.629
admissibility	受理	0.802	0.580	0.602
admissible	受理	0.780	0.528	0.642
admission	入場	0.802	0.415	0.732
admit	承認	0.538	0.423	0.667
admittance	准入	0.690	0.451	0.598
admitted	承認	0.720	0.490	0.767
admitting	承認	0.620	0.500	0.546
admixture	混合物	0.450	0.375	0.438
admonition	警告	0.357	0.606	0.455
ado	忙亂	0.520	0.423	0.385
adobe	土磚	0.500	0.319	0.328
adolescence	青春期	0.487	0.694	0.444
adolescent	青少年	0.781	0.680	0.509
adopt	採用	0.694	0.612	0.701
adoption	採用	0.625	0.566	0.589
adoptive	養	0.531	0.469	0.520
adorable	可愛的	0.969	0.519	0.457
adoration	崇拜	0.885	0.699	0.708
adore	崇拜	0.854	0.438	0.657
adoring	崇拜	0.885	0.620	0.717
adorn	裝飾	0.910	0.424	0.482
adornment	裝飾	0.918	0.373	0.377
adrenalin	腎上腺素	0.865	0.920	0.786
adrenaline	腎上腺素	0.765	0.965	0.825
adrift	漂浮	0.398	0.486	0.230
adult	成人	0.815	0.491	0.787
adulterated	摻假	0.188	0.865	0.370
adulterer	姦夫	0.229	0.814	0.407
adultery	通姦	0.120	0.922	0.510
adulthood	成年	0.541	0.454	0.652
advance	提前	0.673	0.472	0.858
advanced	高級	0.844	0.623	0.797
advancement	進步	0.776	0.650	0.839
advancing	前進	0.929	0.608	0.812
advantage	優點	0.917	0.548	0.859
advantageous	有利	0.837	0.640	0.789
advent	來臨	0.665	0.560	0.627
adventure	冒險	0.917	0.857	0.710
adventurer	冒險家	0.781	0.839	0.868
adventures	冒險	0.812	0.764	0.749
adventurous	愛冒險的	0.969	0.898	0.722
adversary	對手	0.349	0.777	0.457
adverse	不利的	0.323	0.610	0.385
adversity	逆境	0.276	0.760	0.538
advertise	廣告	0.500	0.529	0.580
advertisement	廣告	0.600	0.566	0.539
advertising	廣告	0.622	0.608	0.632
adverts	廣告	0.551	0.500	0.595
advice	忠告	0.698	0.408	0.688
advisable	可取	0.867	0.480	0.510
advise	勸告	0.760	0.393	0.705
advised	建議	0.823	0.330	0.509
advisement	周密	0.698	0.235	0.655
adviser	顧問	0.745	0.362	0.705
advisor	顧問	0.646	0.350	0.689
advisory	諮詢	0.656	0.429	0.633
advocacy	擁護	0.500	0.646	0.731
advocate	主張	0.551	0.530	0.818
aegis	庇護	0.490	0.439	0.462
aeration	通風	0.550	0.500	0.433
aerial	天線	0.615	0.461	0.463
aerobics	有氧運動	0.708	0.771	0.627
aerodrome	機場	0.541	0.740	0.678
aerodynamic	空氣動力學的	0.561	0.724	0.728
aerodynamics	空氣動力學	0.590	0.663	0.722
aeronautics	航空學	0.551	0.633	0.688
aeroplane	飛機	0.714	0.642	0.644
aerospace	航天	0.643	0.520	0.779
aesthetic	審美	0.708	0.442	0.526
aesthetics	美學	0.847	0.327	0.549
aetiology	病因	0.480	0.398	0.615
afar	遠	0.396	0.373	0.358
affable	和藹可親的	0.704	0.380	0.452
affair	事務	0.520	0.459	0.657
affect	影響	0.458	0.569	0.578
affecting	影響	0.350	0.574	0.394
affection	感情	0.898	0.559	0.696
affectionate	親熱	0.949	0.422	0.550
affections	感情	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	宣誓書	0.469	0.584	0.526
affiliated	附屬	0.673	0.519	0.535
affiliation	聯繫	0.615	0.594	0.500
affinity	親和力	0.800	0.500	0.537
affirm	確認	0.745	0.509	0.731
affirmation	肯定	0.750	0.500	0.689
affirmative	肯定	0.854	0.589	0.816
affirmatively	肯定地	0.908	0.500	0.811
affix	詞綴	0.438	0.335	0.411
afflict	折磨	0.302	0.555	0.293
afflicted	折磨	0.271	0.500	0.167
affliction	痛苦	0.294	0.635	0.392
affluence	富裕	0.663	0.618	0.722
affluent	富裕的	0.756	0.388	0.477
afford	給予	0.571	0.580	0.575
affordable	實惠	0.840	0.398	0.493
affront	冒犯	0.327	0.740	0.547
affronted	冒犯	0.385	0.750	0.527
afield	遠處	0.594	0.370	0.373
afire	著火	0.367	0.904	0.675
afloat	浮著	0.602	0.427	0.444
afore	前面	0.500	0.337	0.382
aforementioned	前述的	0.490	0.316	0.408
aforesaid	前述的	0.531	0.358	0.478
afraid	害怕	0.010	0.775	0.245
afresh	重新	0.643	0.521	0.480
african	非洲人	0.490	0.423	0.555
aft	船尾	0.480	0.417	0.518
afterlife	來世	0.571	0.567	0.568
aftermath	後果	0.312	0.449	0.444
afternoon	下午	0.533	0.388	0.339
aftershave	擦面液	0.406	0.384	0.415
aftertaste	回味	0.354	0.362	0.455
afterthought	事後	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	純愛	0.612	0.529	0.464
agate	瑪瑙	0.540	0.377	0.483
age	年齡	0.561	0.226	0.498
aged	老	0.135	0.365	0.236
agency	機構	0.460	0.296	0.583
agenda	議程	0.531	0.296	0.553
agent	代理人	0.480	0.439	0.755
agglomeration	凝聚	0.450	0.765	0.509
aggravate	加劇	0.224	0.770	0.464
aggravated	加重	0.079	0.760	0.430
aggravates	加重	0.108	0.778	0.357
aggravating	惱人的	0.257	0.794	0.640
aggravation	加重	0.071	0.784	0.613
aggregate	骨料	0.730	0.378	0.556
aggregation	聚合	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	侵略	0.094	0.929	0.533
aggressive	侵略性	0.125	0.949	0.648
aggressively	積極	0.250	0.926	0.688
aggressiveness	侵略性	0.077	0.913	0.648
aggressor	侵略者	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	駭然	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	敏捷	0.800	0.657	0.775
agility	敏捷	0.720	0.702	0.815
aging	老化	0.214	0.255	0.284
agitate	激盪	0.300	0.796	0.593
agitated	激動	0.444	0.882	0.491
agitation	攪動	0.240	0.931	0.447
aglow	發紅的	0.780	0.510	0.797
agnostic	不可知	0.306	0.396	0.574
ago	前	0.317	0.280	0.404
agonizing	折騰	0.083	0.800	0.340
agony	痛苦	0.083	0.775	0.393
agoraphobia	廣場恐怖症	0.127	0.712	0.438
agree	同意	0.906	0.260	0.545
agreeable	合適的	0.906	0.500	0.696
agreed	同意	0.797	0.449	0.574
agreeing	同意	0.854	0.480	0.557
agreement	協議	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	農業的	0.686	0.321	0.473
agriculture	農業	0.640	0.357	0.465
aground	擱淺	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	先	0.708	0.520	0.673
ahhh	唉唉	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	趣多多	0.500	0.497	0.380
aid	援助	0.796	0.491	0.541
aide	助手	0.724	0.342	0.434
aiding	幫助	0.643	0.533	0.569
aids	艾滋病	0.561	0.480	0.500
ail	AIL	0.375	0.434	0.385
ailing	生病	0.094	0.518	0.153
ailment	病痛	0.146	0.734	0.277
aim	目標	0.481	0.569	0.567
aimless	漫無目的	0.150	0.267	0.183
air	空氣	0.708	0.163	0.427
airbag	安全氣囊	0.510	0.402	0.433
airborne	空降	0.542	0.519	0.385
aircraft	飛機	0.646	0.644	0.691
aircraft carrier	航空母艦	0.490	0.740	0.727
airfield	機場	0.601	0.650	0.645
airhead	空降場	0.271	0.481	0.276
airlift	空運	0.573	0.622	0.642
airline	航空公司	0.650	0.482	0.688
airliner	客機	0.667	0.777	0.647
airlock	氣閘	0.398	0.520	0.447
airman	空軍	0.587	0.716	0.721
airplane	飛機	0.719	0.702	0.708
airport	飛機場	0.729	0.684	0.682
airs	擺架子	0.583	0.196	0.370
airship	飛艇	0.542	0.472	0.529
airspace	空域	0.562	0.510	0.640
airspeed	空速	0.583	0.780	0.544
airstrip	簡易機場	0.550	0.690	0.649
airtight	密閉	0.479	0.381	0.570
airway	空中航線	0.638	0.585	0.482
aisle	走道	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	又名	0.459	0.358	0.351
akin	類似的	0.639	0.343	0.523
alabaster	雪花	0.542	0.404	0.445
alarm	報警	0.241	0.882	0.698
alarm clock	鬧鐘	0.542	0.727	0.642
alarmed	驚慌	0.188	0.822	0.492
alarming	驚人	0.204	0.890	0.585
alas	唉	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	信天翁	0.500	0.445	0.527
albino	白化病	0.500	0.240	0.358
album	專輯	0.635	0.349	0.453
alchemy	煉金術	0.541	0.583	0.693
alcohol	醇	0.323	0.667	0.377
alcoholic	酒精	0.153	0.688	0.361
alcoholism	酗酒	0.061	0.779	0.407
alcove	壁龕	0.490	0.340	0.356
alderman	市議員	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	警報	0.479	0.820	0.648
alertness	警覺	0.375	0.875	0.750
alerts	警報	0.337	0.804	0.673
alfalfa	苜蓿	0.546	0.250	0.311
algebra	代數	0.440	0.340	0.565
algebraic	代數	0.531	0.412	0.441
algorithm	算法	0.448	0.394	0.559
alias	別號	0.541	0.353	0.333
alibi	託辭	0.396	0.528	0.556
alien	外僑	0.410	0.615	0.491
alienate	離間	0.247	0.500	0.523
alienated	疏遠	0.410	0.423	0.559
alienation	異化	0.378	0.530	0.462
alight	落	0.667	0.657	0.605
align	對齊	0.656	0.364	0.627
aligned	對齊	0.583	0.275	0.553
alignment	對準	0.643	0.412	0.683
alike	一樣	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	贍養費	0.612	0.477	0.464
aliquot	等份	0.440	0.310	0.404
alive	活	0.816	0.637	0.731
alkali	強鹼	0.490	0.350	0.408
alkaloids	生物鹼	0.433	0.562	0.402
allay	緩和	0.417	0.406	0.398
allegation	斷言	0.578	0.578	0.608
allege	斷言	0.418	0.482	0.587
alleged	所謂的	0.365	0.522	0.520
allegiance	忠誠	0.917	0.398	0.750
allegorical	寓言	0.517	0.558	0.598
allegory	寓言	0.615	0.580	0.509
allegro	快板	0.635	0.627	0.453
allergic	過敏的	0.135	0.549	0.273
allergy	過敏	0.296	0.606	0.389
alleviate	緩和	0.869	0.270	0.528
alleviation	緩和	0.735	0.200	0.491
alley	胡同	0.347	0.500	0.355
alleyway	胡同	0.357	0.471	0.382
alliance	聯盟	0.696	0.473	0.769
allied	聯盟的	0.714	0.245	0.642
alligator	鱷魚	0.354	0.704	0.645
allocate	分配	0.673	0.462	0.672
allocation	分配	0.604	0.388	0.679
allot	分配	0.622	0.481	0.616
allotment	配股	0.600	0.390	0.640
allow	允許	0.698	0.429	0.538
allowable	允許	0.698	0.500	0.561
allowance	津貼	0.673	0.382	0.591
allowed	允許	0.730	0.360	0.655
alloy	合金	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	引誘	0.804	0.585	0.686
alluring	誘人	0.837	0.745	0.843
allusion	典故	0.440	0.308	0.462
alluvial	沖積	0.323	0.490	0.491
ally	盟友	0.792	0.320	0.688
almanac	歷書	0.688	0.190	0.412
almighty	大能	0.938	0.874	0.958
almond	杏仁	0.698	0.183	0.314
aloft	在高處	0.771	0.373	0.700
aloha	阿羅哈	0.698	0.440	0.441
alone	單獨	0.333	0.167	0.216
alongside	並肩	0.458	0.333	0.347
aloof	超然	0.189	0.423	0.302
aloud	高聲	0.458	0.713	0.750
alpha	α	0.708	0.340	0.755
alphabet	字母	0.562	0.204	0.672
alphabetical	拼音	0.537	0.296	0.535
alpine	高山	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	壇	0.724	0.387	0.635
altar boy	祭壇男孩	0.434	0.206	0.350
alter	改變	0.333	0.694	0.654
alteration	改造	0.167	0.798	0.609
altercation	爭吵	0.170	0.806	0.500
altered	改變	0.255	0.765	0.500
alternate	備用	0.625	0.363	0.589
alternating	交替	0.480	0.494	0.542
alternative	替代	0.628	0.373	0.631
altimeter	高度表	0.615	0.510	0.580
altitude	高度	0.708	0.482	0.736
alto	中音	0.656	0.404	0.730
altogether	共	0.833	0.324	0.644
aluminum	鋁	0.449	0.280	0.434
alumnus	校友	0.633	0.368	0.422
alveolar	肺泡	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	汞合金	0.438	0.333	0.510
amalgamation	合併	0.406	0.470	0.531
amaretto	阿瑪麗托	0.543	0.551	0.375
amass	攢	0.552	0.465	0.465
amateur	業餘	0.469	0.500	0.409
amaze	驚奇	0.896	0.843	0.783
amazed	吃驚	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	驚愕	0.750	0.800	0.639
amazing	驚人	0.906	0.837	0.849
amazingly	令人驚訝	0.918	0.765	0.920
ambassador	大使	0.651	0.529	0.917
amber	琥珀色	0.635	0.308	0.369
ambience	環境	0.735	0.356	0.426
ambient	周圍	0.625	0.360	0.582
ambiguity	歧義	0.164	0.460	0.370
ambiguous	曖昧	0.265	0.462	0.358
ambit	範圍	0.479	0.380	0.386
ambition	志向	0.510	0.804	0.661
ambitious	有雄心	0.484	0.821	0.717
ambivalent	矛盾	0.510	0.404	0.482
ambrosia	神的食物	0.571	0.452	0.480
ambulance	救護車	0.500	0.750	0.609
ambush	伏擊	0.281	0.830	0.500
ameliorate	改善	0.770	0.548	0.747
amen	阿門	0.781	0.182	0.542
amenable	適合	0.448	0.410	0.406
amend	修改	0.688	0.406	0.658
amendment	修訂	0.531	0.459	0.606
amends	賠償	0.640	0.366	0.517
amenity	禮儀	0.750	0.327	0.574
amethyst	紫晶	0.622	0.406	0.517
amiable	可親	0.847	0.290	0.483
amicable	和睦	0.875	0.330	0.507
amid	際	0.510	0.340	0.256
amidst	煙雨	0.480	0.330	0.316
amino	氨基	0.551	0.402	0.433
ammo	彈藥	0.323	0.765	0.621
ammonia	氨	0.292	0.587	0.409
ammonium	氨	0.354	0.396	0.368
ammunition	彈藥	0.338	0.635	0.667
amnesia	健忘症	0.296	0.330	0.308
amnesty	大赦	0.551	0.451	0.814
amorous	戀愛的	0.844	0.670	0.636
amorphous	非晶	0.327	0.402	0.349
amortization	折舊	0.592	0.491	0.522
amount	量	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	功放	0.439	0.393	0.375
ampersand	符號	0.480	0.448	0.483
amphetamines	安非他明	0.133	0.667	0.526
amphibian	兩棲動物	0.427	0.357	0.474
amphibious	水陸兩用	0.479	0.346	0.445
amphitheater	圓形劇場	0.653	0.480	0.545
ample	充足	0.744	0.349	0.719
amplification	放大	0.690	0.677	0.810
amplify	放大	0.677	0.735	0.827
amplitude	振幅	0.694	0.439	0.692
amply	充分	0.781	0.431	0.766
amputate	截肢	0.092	0.660	0.509
amputation	切斷術	0.100	0.755	0.483
amuck	瘋狂地	0.385	0.602	0.321
amulet	護身符	0.781	0.260	0.630
amuse	遊玩	0.812	0.684	0.664
amused	樂	0.942	0.847	0.596
amusement	娛樂	0.929	0.837	0.803
amusing	有趣	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	森蚺	0.146	0.830	0.540
anaesthesia	麻醉	0.350	0.217	0.473
anaesthetic	麻藥	0.449	0.268	0.509
anagram	字謎	0.552	0.327	0.449
anal	肛門	0.333	0.798	0.334
analgesic	鎮痛藥	0.417	0.321	0.441
analogous	類似	0.531	0.270	0.500
analogue	類似物	0.570	0.320	0.446
analogy	比喻	0.510	0.367	0.509
analysis	分析	0.729	0.448	0.705
analyst	分析人士	0.604	0.415	0.755
analytic	解析	0.665	0.521	0.634
analytical	分析	0.625	0.324	0.800
analyze	分析	0.667	0.462	0.710
analyzer	分析儀	0.625	0.556	0.854
anaphylactic	過敏的	0.378	0.588	0.500
anarchism	無政府主義	0.125	0.804	0.623
anarchist	無政府主義者	0.204	0.700	0.759
anarchy	無政府狀態	0.146	0.755	0.620
anastomosis	吻合	0.375	0.470	0.490
anathema	詛咒	0.286	0.490	0.519
anatomic	解剖的	0.562	0.442	0.546
anatomy	解剖學	0.562	0.390	0.571
ancestor	祖先	0.592	0.388	0.594
ancestral	祖	0.640	0.481	0.750
ancestry	祖先	0.708	0.519	0.717
anchor	錨	0.520	0.284	0.564
anchorage	錨地	0.500	0.325	0.639
ancient	古	0.420	0.217	0.439
ancillary	輔助的	0.449	0.442	0.278
androgen	雄激素	0.255	0.523	0.527
android	安卓	0.663	0.436	0.500
anecdote	軼事	0.583	0.529	0.500
anemia	貧血	0.188	0.327	0.310
anemic	貧血的	0.167	0.279	0.155
anemone	海葵	0.552	0.538	0.327
anesthesia	麻醉	0.365	0.216	0.394
anesthesiologist	麻醉師	0.419	0.224	0.526
anesthetic	麻藥	0.350	0.264	0.482
aneurysm	動脈瘤	0.115	0.690	0.536
anew	重新	0.771	0.358	0.385
angel	天使	0.906	0.158	0.704
angelic	天使	0.927	0.298	0.668
anger	憤怒	0.167	0.865	0.657
angered	激怒	0.010	0.860	0.547
angermanagement	NO TRANSLATION	0.260	0.632	0.482
angina	心絞痛	0.230	0.630	0.464
angiogram	血管造影	0.347	0.520	0.465
angiography	血管造影	0.378	0.536	0.520
angle	角度	0.541	0.330	0.455
angling	釣魚	0.625	0.408	0.500
angora	兔毛	0.529	0.425	0.405
angriest	angriest	0.094	0.892	0.430
angry	憤怒	0.122	0.830	0.604
