Word	Malay-ms	Valence	Arousal	Dominance
adhesive	pelekat	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	bersebelahan	0.365	0.417	0.375
adjacent	bersebelahan	0.645	0.276	0.536
adjective	kata sifat	0.570	0.316	0.569
adjoining	bersebelahan	0.520	0.400	0.393
adjourn	menangguhkan	0.385	0.456	0.475
adjournment	penangguhan	0.438	0.510	0.370
adjudicate	mengadili	0.559	0.520	0.683
adjudication	adjudikasi	0.551	0.462	0.691
adjunct	tambahan	0.459	0.440	0.426
adjust	melaraskan	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	pelarasan	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	mentadbir	0.635	0.425	0.860
administration	pentadbiran	0.625	0.404	0.786
administrative	pentadbiran	0.542	0.415	0.579
administrator	pentadbir	0.538	0.480	0.902
admirable	terpuji	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	kekaguman	0.969	0.583	0.726
admire	mengagumi	0.867	0.692	0.704
admired	dikagumi	0.917	0.560	0.815
admirer	peminat	0.796	0.720	0.650
admiring	mengagumi	0.867	0.578	0.629
admissibility	kebolehterimaan	0.802	0.580	0.602
admissible	boleh diterima	0.780	0.528	0.642
admission	kemasukan	0.802	0.415	0.732
admit	mengaku	0.538	0.423	0.667
admittance	kemasukan	0.690	0.451	0.598
admitted	mengaku	0.720	0.490	0.767
admitting	mengaku	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	peringatan	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	remaja	0.487	0.694	0.444
adolescent	remaja	0.781	0.680	0.509
adopt	menerima pakai	0.694	0.612	0.701
adoption	pengangkatan	0.625	0.566	0.589
adoptive	mengadopsi	0.531	0.469	0.520
adorable	comel	0.969	0.519	0.457
adoration	pemujaan	0.885	0.699	0.708
adore	suka	0.854	0.438	0.657
adoring	memuja	0.885	0.620	0.717
adorn	menghiasi	0.910	0.424	0.482
adornment	perhiasan	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	hanyut	0.398	0.486	0.230
adult	dewasa	0.815	0.491	0.787
adulterated	dicampurkan	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	perzinaan	0.120	0.922	0.510
adulthood	dewasa	0.541	0.454	0.652
advance	pendahuluan	0.673	0.472	0.858
advanced	maju	0.844	0.623	0.797
advancement	kemajuan	0.776	0.650	0.839
advancing	memajukan	0.929	0.608	0.812
advantage	kelebihannya	0.917	0.548	0.859
advantageous	berfaedah	0.837	0.640	0.789
advent	kedatangan	0.665	0.560	0.627
adventure	pengembaraan	0.917	0.857	0.710
adventurer	pengembara	0.781	0.839	0.868
adventures	pengembaraan	0.812	0.764	0.749
adventurous	petualang	0.969	0.898	0.722
adversary	musuh	0.349	0.777	0.457
adverse	buruk	0.323	0.610	0.385
adversity	kesengsaraan	0.276	0.760	0.538
advertise	mengiklankan	0.500	0.529	0.580
advertisement	iklan	0.600	0.566	0.539
advertising	mengiklankan	0.622	0.608	0.632
adverts	iklan	0.551	0.500	0.595
advice	nasihat	0.698	0.408	0.688
advisable	dinasihatkan	0.867	0.480	0.510
advise	menasihati	0.760	0.393	0.705
advised	dinasihatkan	0.823	0.330	0.509
advisement	nasihat	0.698	0.235	0.655
adviser	penasihat	0.745	0.362	0.705
advisor	penasihat	0.646	0.350	0.689
advisory	nasihat	0.656	0.429	0.633
advocacy	advokasi	0.500	0.646	0.731
advocate	peguam bela	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	pengudaraan	0.550	0.500	0.433
aerial	udara	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodinamik	0.561	0.724	0.728
aerodynamics	aerodinamik	0.590	0.663	0.722
aeronautics	aeronautik	0.551	0.633	0.688
aeroplane	kapal terbang	0.714	0.642	0.644
aerospace	aeroangkasa	0.643	0.520	0.779
aesthetic	estetik	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etika	0.480	0.398	0.615
afar	jauh	0.396	0.373	0.358
affable	ramah	0.704	0.380	0.452
affair	urusan	0.520	0.459	0.657
affect	menjejaskan	0.458	0.569	0.578
affecting	menjejaskan	0.350	0.574	0.394
affection	kasih sayang	0.898	0.559	0.696
affectionate	penyayang	0.949	0.422	0.550
affections	pengertian	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	afidavit	0.469	0.584	0.526
affiliated	bersekutu	0.673	0.519	0.535
affiliation	gabungan	0.615	0.594	0.500
affinity	pertalian	0.800	0.500	0.537
affirm	mengesahkan	0.745	0.509	0.731
affirmation	pengesahan	0.750	0.500	0.689
affirmative	afirmatif	0.854	0.589	0.816
affirmatively	secara tegas	0.908	0.500	0.811
affix	melekat	0.438	0.335	0.411
afflict	menyerang	0.302	0.555	0.293
afflicted	tertindas	0.271	0.500	0.167
affliction	penderitaan	0.294	0.635	0.392
affluence	kemewahan	0.663	0.618	0.722
affluent	mewah	0.756	0.388	0.477
afford	mampu	0.571	0.580	0.575
affordable	berpatutan	0.840	0.398	0.493
affront	penghinaan	0.327	0.740	0.547
affronted	teruk	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	api	0.367	0.904	0.675
afloat	bertahan	0.602	0.427	0.444
afore	sebelum ini	0.500	0.337	0.382
aforementioned	yang dinyatakan di atas	0.490	0.316	0.408
aforesaid	yang disebut terdahulu	0.531	0.358	0.478
afraid	takut	0.010	0.775	0.245
afresh	lagi	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	belakang	0.480	0.417	0.518
afterlife	akhirat	0.571	0.567	0.568
aftermath	selepas itu	0.312	0.449	0.444
afternoon	petang	0.533	0.388	0.339
aftershave	selepas bercukur	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	selepas itu	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	umur	0.561	0.226	0.498
aged	berumur	0.135	0.365	0.236
agency	agensi	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	ejen	0.480	0.439	0.755
agglomeration	aglomerasi	0.450	0.765	0.509
aggravate	memburukkan lagi	0.224	0.770	0.464
aggravated	diperparah	0.079	0.760	0.430
aggravates	merosot	0.108	0.778	0.357
aggravating	mengecewakan	0.257	0.794	0.640
aggravation	kejutan	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	pengagregatan	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	pencerobohan	0.094	0.929	0.533
aggressive	agresif	0.125	0.949	0.648
aggressively	agresif	0.250	0.926	0.688
aggressiveness	agresif	0.077	0.913	0.648
aggressor	penyerang	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	terkejut	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	tangkas	0.800	0.657	0.775
agility	ketangkasan	0.720	0.702	0.815
aging	penuaan	0.214	0.255	0.284
agitate	mengganggu	0.300	0.796	0.593
agitated	gelisah	0.444	0.882	0.491
agitation	pergaduhan	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	sebelum ini	0.317	0.280	0.404
agonizing	menyakitkan	0.083	0.800	0.340
agony	kesakitan	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	bersetuju	0.906	0.260	0.545
agreeable	bersetuju	0.906	0.500	0.696
agreed	bersetuju	0.797	0.449	0.574
agreeing	bersetuju	0.854	0.480	0.557
agreement	perjanjian	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	pertanian	0.686	0.321	0.473
agriculture	pertanian	0.640	0.357	0.465
aground	tertutup	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	depan	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	bantuan	0.796	0.491	0.541
aide	pembantu	0.724	0.342	0.434
aiding	membantu	0.643	0.533	0.569
aids	bantuan	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	sakit	0.094	0.518	0.153
ailment	penyakit	0.146	0.734	0.277
aim	matlamat	0.481	0.569	0.567
aimless	tiada tujuan	0.150	0.267	0.183
air	udara	0.708	0.163	0.427
airbag	beg udara	0.510	0.402	0.433
airborne	udara	0.542	0.519	0.385
aircraft	kapal terbang	0.646	0.644	0.691
aircraft carrier	pengangkut pesawat	0.490	0.740	0.727
airfield	lapangan terbang	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	syarikat penerbangan	0.650	0.482	0.688
airliner	kapal terbang	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	kapal terbang	0.719	0.702	0.708
airport	lapangan terbang	0.729	0.684	0.682
airs	menyiarkan	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	ruang udara	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	landasan udara	0.550	0.690	0.649
airtight	kedap udara	0.479	0.381	0.570
airway	jalan raya	0.638	0.585	0.482
aisle	lorong	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	sama	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	penggera	0.241	0.882	0.698
alarm clock	jam loceng	0.542	0.727	0.642
alarmed	cemas	0.188	0.822	0.492
alarming	membimbangkan	0.204	0.890	0.585
alas	Malangnya	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkimia	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkohol	0.153	0.688	0.361
alcoholism	alkohol	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	amaran	0.479	0.820	0.648
alertness	kewaspadaan	0.375	0.875	0.750
alerts	makluman	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algoritma	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	makhluk asing	0.410	0.615	0.491
alienate	mengasingkan diri	0.247	0.500	0.523
alienated	terasing	0.410	0.423	0.559
alienation	pengasingan	0.378	0.530	0.462
alight	turun	0.667	0.657	0.605
align	menyelaraskan	0.656	0.364	0.627
aligned	sejajar	0.583	0.275	0.553
alignment	penjajaran	0.643	0.412	0.683
alike	sama	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimoni	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	hidup	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloid	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	dakwaan	0.578	0.578	0.608
allege	mendakwa	0.418	0.482	0.587
alleged	didakwa	0.365	0.522	0.520
allegiance	kesetiaan	0.917	0.398	0.750
allegorical	alegori	0.517	0.558	0.598
allegory	alegori	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alahan	0.135	0.549	0.273
allergy	alergi	0.296	0.606	0.389
alleviate	meredakan	0.869	0.270	0.528
alleviation	pengurangan	0.735	0.200	0.491
alley	lorong	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	persekutuan	0.696	0.473	0.769
allied	bersekutu	0.714	0.245	0.642
alligator	buaya	0.354	0.704	0.645
allocate	memperuntukkan	0.673	0.462	0.672
allocation	peruntukan	0.604	0.388	0.679
allot	memperuntukkan	0.622	0.481	0.616
allotment	peruntukan	0.600	0.390	0.640
allow	izinkan	0.698	0.429	0.538
allowable	dibenarkan	0.698	0.500	0.561
allowance	elaun	0.673	0.382	0.591
allowed	dibenarkan	0.730	0.360	0.655
alloy	aloi	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	daya tarikan	0.804	0.585	0.686
alluring	memikat	0.837	0.745	0.843
allusion	kiasan	0.440	0.308	0.462
alluvial	aluvial	0.323	0.490	0.491
ally	sekutu	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	yang maha kuasa	0.938	0.874	0.958
almond	badam	0.698	0.183	0.314
aloft	tinggi	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sahaja	0.333	0.167	0.216
alongside	bersama-sama	0.458	0.333	0.347
aloof	menyendiri	0.189	0.423	0.302
aloud	kuat	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	abjad	0.562	0.204	0.672
alphabetical	abjad	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	sudah lama	0.592	0.717	0.351
altar	mezbah	0.724	0.387	0.635
altar boy	anak lelaki altar	0.434	0.206	0.350
alter	ubah	0.333	0.694	0.654
alteration	pemindaan	0.167	0.798	0.609
altercation	perbalahan	0.170	0.806	0.500
altered	diubah	0.255	0.765	0.500
alternate	alternatif	0.625	0.363	0.589
alternating	bergantian	0.480	0.494	0.542
alternative	alternatif	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	ketinggian	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	kesemuanya	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	penggabungan	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amatur	0.469	0.500	0.409
amaze	kagum	0.896	0.843	0.783
amazed	kagum	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	kagum	0.750	0.800	0.639
amazing	menakjubkan	0.906	0.837	0.849
amazingly	luar biasa	0.918	0.765	0.920
ambassador	duta besar	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	suasana	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	kekaburan	0.164	0.460	0.370
ambiguous	kabur	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	cita-cita	0.510	0.804	0.661
ambitious	bercita-cita tinggi	0.484	0.821	0.717
ambivalent	ambivalen	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	serangan hendap	0.281	0.830	0.500
ameliorate	selesaikan	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	boleh diterima	0.448	0.410	0.406
amend	pindahkan	0.688	0.406	0.658
amendment	pindaan	0.531	0.459	0.606
amends	meminda	0.640	0.366	0.517
amenity	kemudahan	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	mesra	0.847	0.290	0.483
amicable	baik hati	0.875	0.330	0.507
amid	tengah	0.510	0.340	0.256
amidst	tengah	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	peluru	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	peluru	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	pengampunan	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorfus	0.327	0.402	0.349
amortization	pelunasan	0.592	0.491	0.522
amount	jumlah	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amfibia	0.427	0.357	0.474
amphibious	amfibia	0.479	0.346	0.445
amphitheater	amfiteater	0.653	0.480	0.545
ample	cukup	0.744	0.349	0.719
amplification	penguatan	0.690	0.677	0.810
amplify	menguatkan	0.677	0.735	0.827
amplitude	amplitud	0.694	0.439	0.692
amply	cukup	0.781	0.431	0.766
amputate	memotong	0.092	0.660	0.509
amputation	pemotongan	0.100	0.755	0.483
amuck	amuk	0.385	0.602	0.321
amulet	azimat	0.781	0.260	0.630
amuse	bersenang-senang	0.812	0.684	0.664
amused	gembira	0.942	0.847	0.596
amusement	hiburan	0.929	0.837	0.803
amusing	lucu	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestesia	0.350	0.217	0.473
anaesthetic	anestetik	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	dubur	0.333	0.798	0.334
analgesic	analgesik	0.417	0.321	0.441
analogous	analogi	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analisis	0.729	0.448	0.705
analyst	penganalisis	0.604	0.415	0.755
analytic	analitik	0.665	0.521	0.634
analytical	analitikal	0.625	0.324	0.800
analyze	menganalisis	0.667	0.462	0.710
analyzer	penganalisis	0.625	0.556	0.854
anaphylactic	anafilaksis	0.378	0.588	0.500
