Word	Shona-sn	Valence	Arousal	Dominance
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	pedo	0.645	0.276	0.536
adjective	chirevo	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	rambai	0.385	0.456	0.475
adjournment	kusununguka	0.438	0.510	0.370
adjudicate	kururamisa	0.559	0.520	0.683
adjudication	kupiwa mhosva	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	shandura	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	kuchinja	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	kutungamirira	0.635	0.425	0.860
administration	administration	0.625	0.404	0.786
administrative	administration	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	inonakidza	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	kuyemura	0.969	0.583	0.726
admire	admire	0.867	0.692	0.704
admired	anoyemura	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	admiring	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	zvinogamuchirwa	0.780	0.528	0.642
admission	kubvuma	0.802	0.415	0.732
admit	bvuma	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	akabvuma	0.720	0.490	0.767
admitting	admitting	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	zano	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	kuyaruka	0.487	0.694	0.444
adolescent	mwana wechidiki	0.781	0.680	0.509
adopt	adopt	0.694	0.612	0.701
adoption	kubvumirwa	0.625	0.566	0.589
adoptive	anogamuchira	0.531	0.469	0.520
adorable	zvinofadza	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	kupfeka	0.910	0.424	0.482
adornment	chikomba	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	munhu mukuru	0.815	0.491	0.787
adulterated	vakafeva	0.188	0.865	0.370
adulterer	mhombwe	0.229	0.814	0.407
adultery	upombwe	0.120	0.922	0.510
adulthood	munhu mukuru	0.541	0.454	0.652
advance	mberi	0.673	0.472	0.858
advanced	advanced	0.844	0.623	0.797
advancement	kufambira mberi	0.776	0.650	0.839
advancing	kufambira mberi	0.929	0.608	0.812
advantage	advantage	0.917	0.548	0.859
advantageous	zvinobatsira	0.837	0.640	0.789
advent	kuuya	0.665	0.560	0.627
adventure	adventure	0.917	0.857	0.710
adventurer	anventure	0.781	0.839	0.868
adventures	adventures	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	muvengi	0.349	0.777	0.457
adverse	zvakaipa	0.323	0.610	0.385
adversity	dambudziko	0.276	0.760	0.538
advertise	taura	0.500	0.529	0.580
advertisement	kushambadzira	0.600	0.566	0.539
advertising	kushambadzira	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	mazano	0.698	0.408	0.688
advisable	zvinonzwisisika	0.867	0.480	0.510
advise	zano	0.760	0.393	0.705
advised	vakurudzirwa	0.823	0.330	0.509
advisement	kurudzira	0.698	0.235	0.655
adviser	mupi wezano	0.745	0.362	0.705
advisor	mudzidzisi	0.646	0.350	0.689
advisory	mazano	0.656	0.429	0.633
advocacy	kukurudzira	0.500	0.646	0.731
advocate	tsigira	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	ndege	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	aesthetic	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	kunetseka	0.704	0.380	0.452
affair	nyaya	0.520	0.459	0.657
affect	inobata	0.458	0.569	0.578
affecting	inogunzva	0.350	0.574	0.394
affection	rudo	0.898	0.559	0.696
affectionate	rudo	0.949	0.422	0.550
affections	zvido	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	zvakabatana	0.673	0.519	0.535
affiliation	kushamwaridzana	0.615	0.594	0.500
affinity	hukama	0.800	0.500	0.537
affirm	anotsigira	0.745	0.509	0.731
affirmation	kutsigira	0.750	0.500	0.689
affirmative	affirmative	0.854	0.589	0.816
affirmatively	zvinotsigira	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	tambudza	0.302	0.555	0.293
afflicted	vanotambudzika	0.271	0.500	0.167
affliction	kutambudzika	0.294	0.635	0.392
affluence	hupfumi	0.663	0.618	0.722
affluent	vane ruzivo	0.756	0.388	0.477
afford	kukwanisa	0.571	0.580	0.575
affordable	asingakwanisi	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	kushushwa	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	zvakataurwa	0.490	0.316	0.408
aforesaid	zvakataurwa	0.531	0.358	0.478
afraid	kutya	0.010	0.775	0.245
afresh	zvakare	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	mushure mekufa	0.571	0.567	0.568
aftermath	pashure	0.312	0.449	0.444
afternoon	masikati	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	age	0.561	0.226	0.498
aged	vakwegura	0.135	0.365	0.236
agency	sangano	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	kuwedzera	0.224	0.770	0.464
aggravated	yakawedzera	0.079	0.760	0.430
aggravates	inowedzera	0.108	0.778	0.357
aggravating	kuwedzera	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	aggregate	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	utsinye	0.094	0.929	0.533
aggressive	utsinye	0.125	0.949	0.648
aggressively	kurwisa	0.250	0.926	0.688
aggressiveness	utsinye	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	aging	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	kushungurudzika	0.240	0.931	0.447
aglow	kupisa	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	yapfuura	0.317	0.280	0.404
agonizing	kushungurudza	0.083	0.800	0.340
agony	kurwadziwa	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	anobvumirana	0.906	0.260	0.545
agreeable	inofadza	0.906	0.500	0.696
agreed	akabvumirana	0.797	0.449	0.574
agreeing	kubvumirana	0.854	0.480	0.557
agreement	chibvumirano	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agriculture	0.686	0.321	0.473
agriculture	agriculture	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	mberi	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	rubatsiro	0.796	0.491	0.541
aide	mubatsiri	0.724	0.342	0.434
aiding	kubatsira	0.643	0.533	0.569
aids	rubatsiro	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	kurwara	0.094	0.518	0.153
ailment	kurwara	0.146	0.734	0.277
aim	chinangwa	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	air	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	airborne	0.542	0.519	0.385
aircraft	ndege	0.646	0.644	0.691
aircraft carrier	ndege dzinotakura	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	ndege	0.573	0.622	0.642
airline	airline	0.650	0.482	0.688
airliner	ndege	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ndege	0.719	0.702	0.708
airport	airport	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	ndege	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	parisite	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	Aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	alarm clock	0.542	0.727	0.642
alarmed	zvinotyisa	0.188	0.822	0.492
alarming	chinotyisa	0.204	0.890	0.585
alas	meso	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	doro	0.323	0.667	0.377
alcoholic	doro	0.153	0.688	0.361
alcoholism	kudhakwa	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	chenjerera	0.479	0.820	0.648
alertness	kuchenjerera	0.375	0.875	0.750
alerts	alerts	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alien	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienated	0.410	0.423	0.559
alienation	kuparadzana	0.378	0.530	0.462
alight	zvakananga	0.667	0.657	0.605
align	fanana	0.656	0.364	0.627
aligned	akafanana	0.583	0.275	0.553
alignment	kuenzanisa	0.643	0.412	0.683
alike	zvakafanana	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	mupenyu	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	shanduka	0.417	0.406	0.398
allegation	mhaka	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	akadaro	0.365	0.522	0.520
allegiance	kutendeseka	0.917	0.398	0.750
allegorical	zvinyorwa	0.517	0.558	0.598
allegory	zvinyorwa	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergic	0.135	0.549	0.273
allergy	allergy	0.296	0.606	0.389
alleviate	kuderedza	0.869	0.270	0.528
alleviation	kuderedza	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	Alleyway	0.357	0.471	0.382
alliance	kubatana	0.696	0.473	0.769
allied	sangano	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	allocate	0.673	0.462	0.672
allocation	kugoverwa	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	mugove	0.600	0.390	0.640
allow	tendera	0.698	0.429	0.538
allowable	inobvumirwa	0.698	0.500	0.561
allowance	mugove	0.673	0.382	0.591
allowed	akabvumirwa	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	kukanganisa	0.804	0.585	0.686
alluring	kukanganisa	0.837	0.745	0.843
allusion	kureva	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	sangano	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	masimbaose	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	ndoga	0.333	0.167	0.216
alongside	pamwe chete	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	zvinonzwika	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alphabet	0.562	0.204	0.672
alphabetical	alfabheti	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	aritari	0.724	0.387	0.635
altar boy	aritari mukomana	0.434	0.206	0.350
alter	shanduka	0.333	0.694	0.654
alteration	kuchinja	0.167	0.798	0.609
altercation	kushanduka	0.170	0.806	0.500
altered	akachinjwa	0.255	0.765	0.500
alternate	alternate	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	zvimwe	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	kureba	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	zvachose	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	kubatana	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	svika	0.552	0.465	0.465
amateur	mutambi	0.469	0.500	0.409
amaze	kushamisa	0.896	0.843	0.783
amazed	akashamisika	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	anoshamisika	0.750	0.800	0.639
amazing	anoshamisa	0.906	0.837	0.849
amazingly	zvinoshamisa	0.918	0.765	0.920
ambassador	ambassador	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	kusaziva	0.164	0.460	0.370
ambiguous	zvisinganzwisisiki	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	chido	0.510	0.804	0.661
ambitious	ambitious	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulensi	0.500	0.750	0.609
ambush	ambush	0.281	0.830	0.500
ameliorate	rumbidzai	0.770	0.548	0.747
amen	ameni	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	kuchinja	0.688	0.406	0.658
amendment	kugadzirisa	0.531	0.459	0.606
amends	inogadzirisa	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	friendlyable	0.847	0.290	0.483
amicable	vanoita zvakanaka	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	zvombo	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	ruregerero	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	kudyidzana	0.592	0.491	0.522
amount	chiyero	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	zvakakwana	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	amplify	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	kunyorerwa	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	kufadza	0.812	0.684	0.664
amused	kufara	0.942	0.847	0.596
amusement	kufara	0.929	0.837	0.803
amusing	kunakidza	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	anesthetic	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	analogous	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	analogy	0.510	0.367	0.509
analysis	analysis	0.729	0.448	0.705
analyst	analyst	0.604	0.415	0.755
analytic	analytic	0.665	0.521	0.634
analytical	kuongorora	0.625	0.324	0.800
analyze	kuongorora	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	anarchism	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
