Word	Ukrainian-uk	Valence	Arousal	Dominance
agglomeration	агломерація	0.450	0.765	0.509
aggravate	загострювати	0.224	0.770	0.464
aggravated	загострення	0.079	0.760	0.430
aggravates	загострюється	0.108	0.778	0.357
aggravating	обтяжуючи	0.257	0.794	0.640
aggravation	загострення	0.071	0.784	0.613
aggregate	сукупність	0.730	0.378	0.556
aggregation	агрегація	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агресія	0.094	0.929	0.533
aggressive	агресивний	0.125	0.949	0.648
aggressively	агресивно	0.250	0.926	0.688
aggressiveness	агресивність	0.077	0.913	0.648
aggressor	агресор	0.146	0.948	0.823
agh	аг	0.260	0.500	0.400
aghast	агас	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	гнучкий	0.800	0.657	0.775
agility	спритність	0.720	0.702	0.815
aging	старіння	0.214	0.255	0.284
agitate	агітувати	0.300	0.796	0.593
agitated	збуджений	0.444	0.882	0.491
agitation	агітація	0.240	0.931	0.447
aglow	поглинання	0.780	0.510	0.797
agnostic	агностик	0.306	0.396	0.574
ago	тому назад	0.317	0.280	0.404
agonizing	мучитися	0.083	0.800	0.340
agony	агонія	0.083	0.775	0.393
agoraphobia	агорафобія	0.127	0.712	0.438
agree	згоден	0.906	0.260	0.545
agreeable	приємний	0.906	0.500	0.696
agreed	погодився	0.797	0.449	0.574
agreeing	погодившись	0.854	0.480	0.557
agreement	Угода	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	сільськогосподарське	0.686	0.321	0.473
agriculture	сільське господарство	0.640	0.357	0.465
aground	на межі	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	вперед	0.708	0.520	0.673
ahhh	аххх	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	агоя	0.500	0.497	0.380
aid	допомога	0.796	0.491	0.541
aide	помічник	0.724	0.342	0.434
aiding	допомога	0.643	0.533	0.569
aids	допоміжні засоби	0.561	0.480	0.500
ail	айль	0.375	0.434	0.385
ailing	хворий	0.094	0.518	0.153
ailment	хвороба	0.146	0.734	0.277
aim	мета	0.481	0.569	0.567
aimless	безцільний	0.150	0.267	0.183
air	повітря	0.708	0.163	0.427
airbag	подушка безпеки	0.510	0.402	0.433
airborne	бортовий	0.542	0.519	0.385
aircraft	літак	0.646	0.644	0.691
aircraft carrier	авіаносець	0.490	0.740	0.727
airfield	аеродром	0.601	0.650	0.645
airhead	повітряна головка	0.271	0.481	0.276
airlift	авіаперевезення	0.573	0.622	0.642
airline	авіакомпанія	0.650	0.482	0.688
airliner	авіалайнер	0.667	0.777	0.647
airlock	шлюз	0.398	0.520	0.447
airman	літак	0.587	0.716	0.721
airplane	літак	0.719	0.702	0.708
airport	аеропорт	0.729	0.684	0.682
airs	ефіри	0.583	0.196	0.370
airship	дирижабль	0.542	0.472	0.529
airspace	повітряний простір	0.562	0.510	0.640
airspeed	швидкість повітря	0.583	0.780	0.544
airstrip	злітно-посадочна смуга	0.550	0.690	0.649
airtight	герметичний	0.479	0.381	0.570
airway	дихальних шляхів	0.638	0.585	0.482
aisle	прохід	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ака	0.459	0.358	0.351
akin	подібний	0.639	0.343	0.523
alabaster	алебастр	0.542	0.404	0.445
alarm	тривога	0.241	0.882	0.698
alarm clock	будильник	0.542	0.727	0.642
alarmed	стурбований	0.188	0.822	0.492
alarming	тривожний	0.204	0.890	0.585
alas	на жаль!	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	альбатрос	0.500	0.445	0.527
albino	альбінос	0.500	0.240	0.358
album	альбом	0.635	0.349	0.453
alchemy	алхімія	0.541	0.583	0.693
alcohol	алкоголь	0.323	0.667	0.377
alcoholic	алкоголік	0.153	0.688	0.361
alcoholism	алкоголізм	0.061	0.779	0.407
alcove	Алків	0.490	0.340	0.356
alderman	Алдерман	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	оповіщення	0.479	0.820	0.648
alertness	пильність	0.375	0.875	0.750
alerts	сповіщення	0.337	0.804	0.673
alfalfa	люцерна	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебраїчний	0.531	0.412	0.441
algorithm	алгоритм	0.448	0.394	0.559
alias	псевдонім	0.541	0.353	0.333
alibi	алібі	0.396	0.528	0.556
alien	чужий	0.410	0.615	0.491
alienate	відчужувати	0.247	0.500	0.523
alienated	відчужений	0.410	0.423	0.559
alienation	відчуження	0.378	0.530	0.462
alight	втечу	0.667	0.657	0.605
align	вирівняти	0.656	0.364	0.627
aligned	вирівняно	0.583	0.275	0.553
alignment	вирівнювання	0.643	0.412	0.683
alike	так	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	аліменти	0.612	0.477	0.464
aliquot	аліквот	0.440	0.310	0.404
alive	живий	0.816	0.637	0.731
alkali	луг	0.490	0.350	0.408
alkaloids	алкалоїди	0.433	0.562	0.402
allay	ламати	0.417	0.406	0.398
allegation	звинувачення	0.578	0.578	0.608
allege	стверджуй	0.418	0.482	0.587
alleged	нібито	0.365	0.522	0.520
allegiance	вірність	0.917	0.398	0.750
allegorical	алегоричний	0.517	0.558	0.598
allegory	алегорія	0.615	0.580	0.509
allegro	алегро	0.635	0.627	0.453
allergic	алергія	0.135	0.549	0.273
allergy	алергія	0.296	0.606	0.389
alleviate	полегшити	0.869	0.270	0.528
alleviation	полегшення	0.735	0.200	0.491
alley	алея	0.347	0.500	0.355
alleyway	алея	0.357	0.471	0.382
alliance	союз	0.696	0.473	0.769
allied	союзник	0.714	0.245	0.642
alligator	алігатор	0.354	0.704	0.645
allocate	виділити	0.673	0.462	0.672
allocation	виділення	0.604	0.388	0.679
allot	виділити	0.622	0.481	0.616
allotment	наділ	0.600	0.390	0.640
allow	дозволити	0.698	0.429	0.538
allowable	допустимий	0.698	0.500	0.561
allowance	допомога	0.673	0.382	0.591
allowed	дозволено	0.730	0.360	0.655
alloy	сплав	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	привабливість	0.804	0.585	0.686
alluring	приваблива	0.837	0.745	0.843
allusion	натяк	0.440	0.308	0.462
alluvial	алювіальний	0.323	0.490	0.491
ally	союзник	0.792	0.320	0.688
almanac	альманах	0.688	0.190	0.412
almighty	всемогутній	0.938	0.874	0.958
almond	мигдаль	0.698	0.183	0.314
aloft	вгору	0.771	0.373	0.700
aloha	Алоха	0.698	0.440	0.441
alone	поодинці	0.333	0.167	0.216
alongside	поруч	0.458	0.333	0.347
aloof	осторонь	0.189	0.423	0.302
aloud	вголос	0.458	0.713	0.750
alpha	альфа	0.708	0.340	0.755
alphabet	алфавіт	0.562	0.204	0.672
alphabetical	в алфавітному порядку	0.537	0.296	0.535
alpine	альпійський	0.594	0.337	0.474
alreadyyyyy	вжеyyyy	0.592	0.717	0.351
altar	вівтар	0.724	0.387	0.635
altar boy	алтарний хлопчик	0.434	0.206	0.350
alter	змінити	0.333	0.694	0.654
alteration	зміна	0.167	0.798	0.609
altercation	сплеск	0.170	0.806	0.500
altered	змінений	0.255	0.765	0.500
alternate	чергувати	0.625	0.363	0.589
alternating	змінюється	0.480	0.494	0.542
alternative	альтернатива	0.628	0.373	0.631
altimeter	висотомір	0.615	0.510	0.580
altitude	висота	0.708	0.482	0.736
alto	Альто	0.656	0.404	0.730
altogether	взагалі	0.833	0.324	0.644
aluminum	алюміній	0.449	0.280	0.434
alumnus	випускник	0.633	0.368	0.422
alveolar	альвеолярний	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амальгама	0.438	0.333	0.510
amalgamation	злиття	0.406	0.470	0.531
amaretto	амаретто	0.543	0.551	0.375
amass	накопичувати	0.552	0.465	0.465
amateur	любитель	0.469	0.500	0.409
amaze	здивування	0.896	0.843	0.783
amazed	вражений	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	здивування	0.750	0.800	0.639
amazing	дивовижний	0.906	0.837	0.849
amazingly	дивовижно	0.918	0.765	0.920
ambassador	посол	0.651	0.529	0.917
amber	бурштин	0.635	0.308	0.369
ambience	атмосфера	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	неоднозначність	0.164	0.460	0.370
ambiguous	неоднозначне	0.265	0.462	0.358
ambit	амбіція	0.479	0.380	0.386
ambition	честолюбство	0.510	0.804	0.661
ambitious	амбіційний	0.484	0.821	0.717
ambivalent	амбівалентний	0.510	0.404	0.482
ambrosia	амброзія	0.571	0.452	0.480
ambulance	швидка допомога	0.500	0.750	0.609
ambush	засідка	0.281	0.830	0.500
ameliorate	полегшити	0.770	0.548	0.747
amen	амінь	0.781	0.182	0.542
amenable	піддається	0.448	0.410	0.406
amend	змінити	0.688	0.406	0.658
amendment	поправка	0.531	0.459	0.606
amends	поправляє	0.640	0.366	0.517
amenity	приємність	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	люб'язний	0.847	0.290	0.483
amicable	дружній	0.875	0.330	0.507
amid	на тлі	0.510	0.340	0.256
amidst	посеред	0.480	0.330	0.316
amino	аміно	0.551	0.402	0.433
ammo	боєприпаси	0.323	0.765	0.621
ammonia	аміак	0.292	0.587	0.409
ammonium	амоній	0.354	0.396	0.368
ammunition	боєприпаси	0.338	0.635	0.667
amnesia	амнезія	0.296	0.330	0.308
amnesty	амністія	0.551	0.451	0.814
amorous	люб'язний	0.844	0.670	0.636
amorphous	аморфний	0.327	0.402	0.349
amortization	амортизація	0.592	0.491	0.522
amount	сума	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	підсилювач	0.439	0.393	0.375
ampersand	амперсанд	0.480	0.448	0.483
amphetamines	амфетаміни	0.133	0.667	0.526
amphibian	амфібія	0.427	0.357	0.474
amphibious	амфібія	0.479	0.346	0.445
amphitheater	амфітеатр	0.653	0.480	0.545
ample	достатньо	0.744	0.349	0.719
amplification	посилення	0.690	0.677	0.810
amplify	посилюється	0.677	0.735	0.827
amplitude	амплітуда	0.694	0.439	0.692
amply	достатньо	0.781	0.431	0.766
amputate	ампутуйте	0.092	0.660	0.509
amputation	ампутація	0.100	0.755	0.483
amuck	амук	0.385	0.602	0.321
amulet	амулет	0.781	0.260	0.630
amuse	розважати	0.812	0.684	0.664
amused	веселився	0.942	0.847	0.596
amusement	розвага	0.929	0.837	0.803
amusing	забавний	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	анаконда	0.146	0.830	0.540
anaesthesia	анестезія	0.350	0.217	0.473
anaesthetic	анестетик	0.449	0.268	0.509
anagram	анаграма	0.552	0.327	0.449
anal	анальний	0.333	0.798	0.334
analgesic	знеболюючий	0.417	0.321	0.441
analogous	аналогічний	0.531	0.270	0.500
analogue	аналог	0.570	0.320	0.446
analogy	аналогія	0.510	0.367	0.509
analysis	аналіз	0.729	0.448	0.705
analyst	аналітик	0.604	0.415	0.755
analytic	аналітичний	0.665	0.521	0.634
analytical	аналітичний	0.625	0.324	0.800
analyze	проаналізувати	0.667	0.462	0.710
analyzer	аналізатор	0.625	0.556	0.854
anaphylactic	анафілактичний	0.378	0.588	0.500
anarchism	анархізм	0.125	0.804	0.623
anarchist	анархіст	0.204	0.700	0.759
anarchy	анархія	0.146	0.755	0.620
anastomosis	анастомоз	0.375	0.470	0.490
anathema	анатема	0.286	0.490	0.519
anatomic	анатомічний	0.562	0.442	0.546
anatomy	анатомія	0.562	0.390	0.571
ancestor	предок	0.592	0.388	0.594
ancestral	спадковий	0.640	0.481	0.750
ancestry	походження	0.708	0.519	0.717
