Word	Polish-pl	Valence	Arousal	Dominance
ache	ból	0.146	0.760	0.312
achieve	osiągać	0.816	0.545	0.843
achieved	osiągnięty	0.896	0.519	0.775
achievement	osiągnięcie	0.896	0.808	0.759
aching	zbolały	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	kwas	0.265	0.642	0.566
acidity	kwasowość	0.156	0.663	0.360
acknowledge	uznać	0.786	0.370	0.661
acknowledged	potwierdzone	0.714	0.443	0.765
acknowledgement	potwierdzenie	0.819	0.539	0.830
acknowledgment	potwierdzenie	0.796	0.528	0.777
acme	kulminacja	0.408	0.435	0.375
acne	trądzik	0.167	0.474	0.308
acorn	żołądź	0.448	0.198	0.192
acoustic	akustyczny	0.542	0.462	0.536
acoustics	akustyka	0.611	0.330	0.509
acquaint	zapoznać	0.646	0.491	0.639
acquaintance	znajomy	0.656	0.290	0.670
acquainted	obeznany	0.906	0.358	0.632
acquiescence	przyzwolenie	0.542	0.480	0.554
acquire	nabyć	0.833	0.468	0.700
acquiring	nabywanie	0.735	0.510	0.817
acquisition	nabycie	0.698	0.509	0.736
acquisitions	przejęcia	0.773	0.660	0.790
acquit	uniewinnić	0.583	0.571	0.611
acquittal	uniewinnienie	0.760	0.497	0.700
acre	akr	0.583	0.387	0.423
acreage	areał	0.741	0.450	0.528
acres	włości	0.510	0.363	0.500
acrobat	akrobata	0.708	0.828	0.602
acrylic	akryl	0.582	0.279	0.420
act	działać	0.656	0.704	0.735
acting	gra aktorska	0.698	0.643	0.500
action	akcja	0.760	0.898	0.802
action figure	Figurka	0.615	0.774	0.611
actionable	zaskarżalny	0.673	0.702	0.613
activate	Aktywuj	0.764	0.650	0.806
activation	aktywacja	0.781	0.800	0.754
active	aktywny	0.847	0.730	0.731
activist	aktywista	0.531	0.653	0.877
activity	czynność	0.701	0.660	0.807
actor	aktor	0.653	0.561	0.629
actress	aktorka	0.633	0.556	0.596
actual	rzeczywisty	0.729	0.400	0.716
actuality	rzeczywistość	0.750	0.464	0.600
actuary	specjalista od ubezpieczeń	0.510	0.404	0.491
acuity	ostrość	0.469	0.378	0.741
acumen	bystrość	0.564	0.660	0.679
acupuncture	akupunktura	0.531	0.324	0.549
acute	ostry	0.427	0.652	0.534
acutely	przenikliwie	0.417	0.543	0.491
ad	ogłoszenie	0.521	0.705	0.558
adage	powiedzenie	0.517	0.415	0.566
adamant	nieugięty	0.344	0.529	0.575
adapt	przystosować się	0.740	0.355	0.551
adaptable	dający się przystosować	0.735	0.423	0.641
adaptation	dostosowanie	0.663	0.365	0.609
add	Dodaj	0.728	0.490	0.554
added	dodany	0.562	0.405	0.509
addendum	uzupełnienie	0.392	0.370	0.418
adder	sumator	0.388	0.461	0.588
addict	nałogowiec	0.075	0.696	0.327
addicted	uzależniony	0.156	0.712	0.483
addiction	nałóg	0.180	0.806	0.420
addictive	wciągający	0.302	0.683	0.472
addition	dodanie	0.562	0.373	0.471
additional	dodatkowy	0.673	0.462	0.526
additive	przyłączeniowy	0.561	0.633	0.691
address	adres	0.650	0.327	0.567
addressee	adresat	0.622	0.382	0.538
addresses	adresy	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adekwatność	0.615	0.435	0.702
adequate	odpowiedni	0.854	0.264	0.705
adhere	przylegać	0.633	0.339	0.554
adherence	przyczepność	0.760	0.307	0.630
adherent	przylegający	0.561	0.385	0.555
adhering	przyleganie	0.612	0.561	0.537
adhesion	przyczepność	0.521	0.445	0.586
adhesive	spoiwo	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	tłuszczowy	0.333	0.350	0.391
adjacency	przyleganie	0.365	0.417	0.375
adjacent	sąsiadujący	0.645	0.276	0.536
adjective	przymiotnik	0.570	0.316	0.569
adjoining	przylegający	0.520	0.400	0.393
adjourn	zawiesić	0.385	0.456	0.475
adjournment	odroczenie	0.438	0.510	0.370
adjudicate	orzec	0.559	0.520	0.683
adjudication	wyrok	0.551	0.462	0.691
adjunct	dodatek	0.459	0.440	0.426
adjust	dostosować	0.647	0.327	0.638
adjuster	nastawiacz	0.510	0.540	0.760
adjustment	dostosowanie	0.590	0.520	0.661
adjuvant	adiuwant	0.510	0.500	0.456
admin	Admin	0.688	0.420	0.854
administer	administrować	0.635	0.425	0.860
administration	administracja	0.625	0.404	0.786
administrative	Administracyjny	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	zachwycający	0.929	0.600	0.870
admiral	admirał	0.844	0.490	0.847
admiralty	admiralicja	0.594	0.547	0.733
admiration	podziw	0.969	0.583	0.726
admire	podziwiać	0.867	0.692	0.704
admired	podziwiany	0.917	0.560	0.815
admirer	wielbiciel	0.796	0.720	0.650
admiring	podziwiając	0.867	0.578	0.629
admissibility	dopuszczalność	0.802	0.580	0.602
admissible	dopuszczalny	0.780	0.528	0.642
admission	wstęp	0.802	0.415	0.732
admit	przyznać	0.538	0.423	0.667
admittance	wstęp	0.690	0.451	0.598
admitted	Przyznał	0.720	0.490	0.767
admitting	przyznać	0.620	0.500	0.546
admixture	domieszka	0.450	0.375	0.438
admonition	napomnienie	0.357	0.606	0.455
ado	korowody	0.520	0.423	0.385
adobe	cegła suszona na słońcu	0.500	0.319	0.328
adolescence	adolescencja	0.487	0.694	0.444
adolescent	dorastający	0.781	0.680	0.509
adopt	przyjąć	0.694	0.612	0.701
adoption	przyjęcie	0.625	0.566	0.589
adoptive	przybrany	0.531	0.469	0.520
adorable	godny podziwu	0.969	0.519	0.457
adoration	adoracja	0.885	0.699	0.708
adore	adorować	0.854	0.438	0.657
adoring	adorowanie	0.885	0.620	0.717
adorn	zdobić	0.910	0.424	0.482
adornment	ozdoba	0.918	0.373	0.377
adrenalin	adrenalina	0.865	0.920	0.786
adrenaline	adrenalina	0.765	0.965	0.825
adrift	dryfujący	0.398	0.486	0.230
adult	dorosły	0.815	0.491	0.787
adulterated	zafałszowany	0.188	0.865	0.370
adulterer	cudzołożnik	0.229	0.814	0.407
adultery	cudzołóstwo	0.120	0.922	0.510
adulthood	wiek dojrzały	0.541	0.454	0.652
advance	postęp	0.673	0.472	0.858
advanced	zaawansowane	0.844	0.623	0.797
advancement	postęp	0.776	0.650	0.839
advancing	postęp	0.929	0.608	0.812
advantage	korzyść	0.917	0.548	0.859
advantageous	korzystny	0.837	0.640	0.789
advent	Adwent	0.665	0.560	0.627
adventure	przygoda	0.917	0.857	0.710
adventurer	poszukiwacz przygód	0.781	0.839	0.868
adventures	przygody	0.812	0.764	0.749
adventurous	ryzykowny	0.969	0.898	0.722
adversary	przeciwnik	0.349	0.777	0.457
adverse	niekorzystny	0.323	0.610	0.385
adversity	nieszczęście	0.276	0.760	0.538
advertise	reklamować	0.500	0.529	0.580
advertisement	Reklama	0.600	0.566	0.539
advertising	reklama	0.622	0.608	0.632
adverts	ogłoszenia	0.551	0.500	0.595
advice	Rada	0.698	0.408	0.688
advisable	wskazany	0.867	0.480	0.510
advise	doradzać	0.760	0.393	0.705
advised	rozmyślny	0.823	0.330	0.509
advisement	doradztwo	0.698	0.235	0.655
adviser	doradca	0.745	0.362	0.705
advisor	doradca	0.646	0.350	0.689
advisory	doradczy	0.656	0.429	0.633
advocacy	rzecznictwo	0.500	0.646	0.731
advocate	rzecznik	0.551	0.530	0.818
aegis	egida	0.490	0.439	0.462
aeration	napowietrzanie	0.550	0.500	0.433
aerial	antenowy	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	lotnisko	0.541	0.740	0.678
aerodynamic	aerodynamiczny	0.561	0.724	0.728
aerodynamics	aerodynamika	0.590	0.663	0.722
aeronautics	aeronautyka	0.551	0.633	0.688
aeroplane	samolot	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	estetyczny	0.708	0.442	0.526
aesthetics	estetyka	0.847	0.327	0.549
aetiology	etiologia	0.480	0.398	0.615
afar	daleko	0.396	0.373	0.358
affable	uprzejmy	0.704	0.380	0.452
affair	sprawa	0.520	0.459	0.657
affect	oddziaływać	0.458	0.569	0.578
affecting	wpływający	0.350	0.574	0.394
affection	tkliwość	0.898	0.559	0.696
affectionate	czuły	0.949	0.422	0.550
affections	uczucia	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	oświadczenie	0.469	0.584	0.526
affiliated	stowarzyszony	0.673	0.519	0.535
affiliation	przynależność	0.615	0.594	0.500
affinity	powinowactwo	0.800	0.500	0.537
affirm	potwierdzać	0.745	0.509	0.731
affirmation	afirmacja	0.750	0.500	0.689
affirmative	twierdzący	0.854	0.589	0.816
affirmatively	afirmatywnie	0.908	0.500	0.811
affix	afiks	0.438	0.335	0.411
afflict	dotknąć	0.302	0.555	0.293
afflicted	cierpiący	0.271	0.500	0.167
affliction	cierpienie	0.294	0.635	0.392
affluence	zamożność	0.663	0.618	0.722
affluent	zamożny	0.756	0.388	0.477
afford	pozwolić sobie	0.571	0.580	0.575
affordable	niedrogie	0.840	0.398	0.493
affront	afront	0.327	0.740	0.547
affronted	urażony	0.385	0.750	0.527
afield	w polu	0.594	0.370	0.373
afire	ogień	0.367	0.904	0.675
afloat	na morzu	0.602	0.427	0.444
afore	wyżej	0.500	0.337	0.382
aforementioned	wyżej wymieniony	0.490	0.316	0.408
aforesaid	wyżej wymieniony	0.531	0.358	0.478
afraid	przestraszony	0.010	0.775	0.245
afresh	na nowo	0.643	0.521	0.480
african	afrykanin	0.490	0.423	0.555
aft	na rufie	0.480	0.417	0.518
afterlife	życie pozagrobowe	0.571	0.567	0.568
aftermath	następstwa	0.312	0.449	0.444
afternoon	popołudnie	0.533	0.388	0.339
aftershave	płyn po goleniu	0.406	0.384	0.415
aftertaste	posmak	0.354	0.362	0.455
afterthought	refleksja	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agapa	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	wiek	0.561	0.226	0.498
aged	w wieku	0.135	0.365	0.236
agency	agencja	0.460	0.296	0.583
agenda	program	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomeracja	0.450	0.765	0.509
aggravate	pogarszać	0.224	0.770	0.464
aggravated	pogarsza się	0.079	0.760	0.430
aggravates	pogarsza	0.108	0.778	0.357
aggravating	obciążający	0.257	0.794	0.640
aggravation	pogorszenie	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	zbiór	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresja	0.094	0.929	0.533
aggressive	agresywny	0.125	0.949	0.648
aggressively	agresywnie	0.250	0.926	0.688
aggressiveness	agresywność	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	przerażony	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	zwinny	0.800	0.657	0.775
agility	zwinność	0.720	0.702	0.815
aging	starzenie się	0.214	0.255	0.284
agitate	mieszać	0.300	0.796	0.593
agitated	poruszony	0.444	0.882	0.491
agitation	podniecenie	0.240	0.931	0.447
aglow	płonący	0.780	0.510	0.797
agnostic	agnostyk	0.306	0.396	0.574
ago	temu	0.317	0.280	0.404
agonizing	bolesny	0.083	0.800	0.340
agony	agonia	0.083	0.775	0.393
agoraphobia	agorafobia	0.127	0.712	0.438
agree	Zgodzić się	0.906	0.260	0.545
agreeable	przyjemny	0.906	0.500	0.696
agreed	Zgoda	0.797	0.449	0.574
agreeing	zgodzić się	0.854	0.480	0.557
agreement	umowa	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	rolniczy	0.686	0.321	0.473
agriculture	rolnictwo	0.640	0.357	0.465
aground	na mieliźnie	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	przed siebie	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	pomoc	0.796	0.491	0.541
aide	doradca	0.724	0.342	0.434
aiding	pomocnictwo	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	chorować	0.375	0.434	0.385
ailing	schorowany	0.094	0.518	0.153
ailment	dolegliwość	0.146	0.734	0.277
aim	cel	0.481	0.569	0.567
aimless	bezcelowy	0.150	0.267	0.183
air	powietrze	0.708	0.163	0.427
airbag	poduszka powietrzna	0.510	0.402	0.433
airborne	samolotowy	0.542	0.519	0.385
aircraft	samolot	0.646	0.644	0.691
aircraft carrier	lotniskowiec	0.490	0.740	0.727
airfield	lotnisko	0.601	0.650	0.645
airhead	powietrzny	0.271	0.481	0.276
airlift	most lotniczy	0.573	0.622	0.642
airline	linia lotnicza	0.650	0.482	0.688
airliner	samolot pasażerski	0.667	0.777	0.647
airlock	śluza	0.398	0.520	0.447
airman	lotnik	0.587	0.716	0.721
airplane	samolot	0.719	0.702	0.708
airport	Lotnisko	0.729	0.684	0.682
airs	powietrze	0.583	0.196	0.370
airship	sterowiec	0.542	0.472	0.529
airspace	kubatura	0.562	0.510	0.640
airspeed	prędkość lotu	0.583	0.780	0.544
airstrip	lądowisko	0.550	0.690	0.649
airtight	hermetyczny	0.479	0.381	0.570
airway	drogi oddechowe	0.638	0.585	0.482
aisle	przejście	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	znany jako	0.459	0.358	0.351
akin	pokrewny	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	budzik	0.542	0.727	0.642
alarmed	zaniepokojony	0.188	0.822	0.492
alarming	alarmujące	0.204	0.890	0.585
alas	Niestety	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albinos	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemia	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholowy	0.153	0.688	0.361
alcoholism	alkoholizm	0.061	0.779	0.407
alcove	alkierz	0.490	0.340	0.356
alderman	radny miejski	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alarm	0.479	0.820	0.648
alertness	czujność	0.375	0.875	0.750
alerts	ostrzeżenia	0.337	0.804	0.673
alfalfa	lucerna	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraiczny	0.531	0.412	0.441
algorithm	algorytm	0.448	0.394	0.559
alias	Alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	obcy	0.410	0.615	0.491
alienate	zrazić	0.247	0.500	0.523
alienated	wyobcowany	0.410	0.423	0.559
alienation	alienacja	0.378	0.530	0.462
alight	wysiadać	0.667	0.657	0.605
align	wyrównać	0.656	0.364	0.627
aligned	wyrównane	0.583	0.275	0.553
alignment	wyrównanie	0.643	0.412	0.683
alike	zarówno	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimenty	0.612	0.477	0.464
aliquot	podwielokrotność	0.440	0.310	0.404
alive	żywy	0.816	0.637	0.731
alkali	alkalia	0.490	0.350	0.408
alkaloids	alkaloidy	0.433	0.562	0.402
allay	uspokajać	0.417	0.406	0.398
allegation	zarzut	0.578	0.578	0.608
allege	twierdzić	0.418	0.482	0.587
alleged	rzekomy	0.365	0.522	0.520
allegiance	wierność	0.917	0.398	0.750
allegorical	alegoryczny	0.517	0.558	0.598
allegory	alegoria	0.615	0.580	0.509
allegro	Allegro	0.635	0.627	0.453
allergic	uczulony	0.135	0.549	0.273
allergy	alergia	0.296	0.606	0.389
alleviate	łagodzić	0.869	0.270	0.528
alleviation	ulga	0.735	0.200	0.491
alley	aleja	0.347	0.500	0.355
alleyway	boczna uliczka	0.357	0.471	0.382
alliance	Sojusz	0.696	0.473	0.769
allied	sprzymierzony	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	przeznaczyć	0.673	0.462	0.672
allocation	przydział	0.604	0.388	0.679
allot	przydzielać	0.622	0.481	0.616
allotment	przydział	0.600	0.390	0.640
allow	dopuszczać	0.698	0.429	0.538
allowable	dopuszczalne	0.698	0.500	0.561
allowance	dodatek	0.673	0.382	0.591
allowed	dozwolony	0.730	0.360	0.655
alloy	stop	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	wabić	0.804	0.585	0.686
alluring	pociągający	0.837	0.745	0.843
allusion	aluzja	0.440	0.308	0.462
alluvial	aluwialny	0.323	0.490	0.491
ally	sprzymierzyć	0.792	0.320	0.688
almanac	almanach	0.688	0.190	0.412
almighty	wszechmocny	0.938	0.874	0.958
almond	migdałowy	0.698	0.183	0.314
aloft	wysoko	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sam	0.333	0.167	0.216
alongside	wzdłuż	0.458	0.333	0.347
aloof	z dala	0.189	0.423	0.302
aloud	głośno	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetyczny	0.537	0.296	0.535
alpine	alpejski	0.594	0.337	0.474
alreadyyyyy	jużyyyyy	0.592	0.717	0.351
altar	ołtarz	0.724	0.387	0.635
altar boy	ministrant	0.434	0.206	0.350
alter	zmieniać	0.333	0.694	0.654
alteration	zmiana	0.167	0.798	0.609
altercation	sprzeczka	0.170	0.806	0.500
altered	zmieniony	0.255	0.765	0.500
alternate	alternatywny	0.625	0.363	0.589
alternating	zmienny	0.480	0.494	0.542
alternative	alternatywny	0.628	0.373	0.631
altimeter	wysokościomierz	0.615	0.510	0.580
altitude	Wysokość	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	całkowicie	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	absolwent	0.633	0.368	0.422
alveolar	pęcherzykowy	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgamat	0.438	0.333	0.510
amalgamation	połączenie	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	zgromadzić	0.552	0.465	0.465
amateur	amator	0.469	0.500	0.409
amaze	zadziwiać	0.896	0.843	0.783
amazed	zdziwiony	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	zdumienie	0.750	0.800	0.639
amazing	niesamowity	0.906	0.837	0.849
amazingly	zadziwiająco	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	bursztyn	0.635	0.308	0.369
ambience	atmosfera	0.735	0.356	0.426
ambient	otaczający	0.625	0.360	0.582
ambiguity	Dwuznaczność	0.164	0.460	0.370
ambiguous	dwuznaczny	0.265	0.462	0.358
ambit	obwód	0.479	0.380	0.386
ambition	ambicja	0.510	0.804	0.661
ambitious	ambitny	0.484	0.821	0.717
ambivalent	ambiwalentny	0.510	0.404	0.482
ambrosia	Ambrozja	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	zasadzka	0.281	0.830	0.500
ameliorate	polepszyć	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	odpowiedzialny	0.448	0.410	0.406
amend	modyfikować	0.688	0.406	0.658
amendment	poprawka	0.531	0.459	0.606
amends	odszkodowanie	0.640	0.366	0.517
amenity	uprzejmość	0.750	0.327	0.574
amethyst	ametyst	0.622	0.406	0.517
amiable	sympatyczny	0.847	0.290	0.483
amicable	przyjazny	0.875	0.330	0.507
amid	wśród	0.510	0.340	0.256
amidst	wśród	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	amunicja	0.323	0.765	0.621
ammonia	amoniak	0.292	0.587	0.409
ammonium	amon	0.354	0.396	0.368
ammunition	amunicja	0.338	0.635	0.667
amnesia	amnezja	0.296	0.330	0.308
amnesty	amnestia	0.551	0.451	0.814
amorous	kochliwy	0.844	0.670	0.636
amorphous	amorficzny	0.327	0.402	0.349
amortization	amortyzacja	0.592	0.491	0.522
amount	ilość	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetaminy	0.133	0.667	0.526
amphibian	płaz	0.427	0.357	0.474
amphibious	ziemnowodny	0.479	0.346	0.445
amphitheater	amfiteatr	0.653	0.480	0.545
ample	obszerny	0.744	0.349	0.719
amplification	wzmocnienie	0.690	0.677	0.810
amplify	wzmacniać	0.677	0.735	0.827
amplitude	amplituda	0.694	0.439	0.692
amply	obficie	0.781	0.431	0.766
amputate	odciąć	0.092	0.660	0.509
amputation	amputacja	0.100	0.755	0.483
amuck	szał	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	bawić	0.812	0.684	0.664
amused	rozbawiony	0.942	0.847	0.596
amusement	rozrywka	0.929	0.837	0.803
amusing	zabawny	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	znieczulenie	0.350	0.217	0.473
anaesthetic	znieczulający	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
