Word	Icelandic-is	Valence	Arousal	Dominance
adhering	fylgi	0.612	0.561	0.537
adhesion	viðloðun	0.521	0.445	0.586
adhesive	lím	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	fitu	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	aðliggjandi	0.645	0.276	0.536
adjective	lýsingarorð	0.570	0.316	0.569
adjoining	samliggjandi	0.520	0.400	0.393
adjourn	frestað	0.385	0.456	0.475
adjournment	frestun	0.438	0.510	0.370
adjudicate	dæma	0.559	0.520	0.683
adjudication	dómgreind	0.551	0.462	0.691
adjunct	aðstoðarmaður	0.459	0.440	0.426
adjust	stilla	0.647	0.327	0.638
adjuster	stilla	0.510	0.540	0.760
adjustment	aðlögun	0.590	0.520	0.661
adjuvant	hjálparefni	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	gefa	0.635	0.425	0.860
administration	gjöf	0.625	0.404	0.786
administrative	stjórnsýslu	0.542	0.415	0.579
administrator	stjórnandi	0.538	0.480	0.902
admirable	dásamlegt	0.929	0.600	0.870
admiral	Admiral	0.844	0.490	0.847
admiralty	aðdáun	0.594	0.547	0.733
admiration	aðdáun	0.969	0.583	0.726
admire	dáist	0.867	0.692	0.704
admired	dáðist	0.917	0.560	0.815
admirer	aðdáandi	0.796	0.720	0.650
admiring	dáist	0.867	0.578	0.629
admissibility	aðgengileg	0.802	0.580	0.602
admissible	leyfilegt	0.780	0.528	0.642
admission	inngöngu	0.802	0.415	0.732
admit	viðurkenna	0.538	0.423	0.667
admittance	inngöngu	0.690	0.451	0.598
admitted	viðurkenndi	0.720	0.490	0.767
admitting	viðurkenna	0.620	0.500	0.546
admixture	blöndun	0.450	0.375	0.438
admonition	áminning	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	unglingabólur	0.487	0.694	0.444
adolescent	unglingur	0.781	0.680	0.509
adopt	ættleiða	0.694	0.612	0.701
adoption	samþykkt	0.625	0.566	0.589
adoptive	ættleiðandi	0.531	0.469	0.520
adorable	yndislegt	0.969	0.519	0.457
adoration	tilbeiðslu	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenalín	0.865	0.920	0.786
adrenaline	adrenalíni	0.765	0.965	0.825
adrift	rekstur	0.398	0.486	0.230
adult	fullorðinn	0.815	0.491	0.787
adulterated	útrýmt	0.188	0.865	0.370
adulterer	hórdómari	0.229	0.814	0.407
adultery	hórdómur	0.120	0.922	0.510
adulthood	fullorðinsárum	0.541	0.454	0.652
advance	fyrirfram	0.673	0.472	0.858
advanced	háþróaður	0.844	0.623	0.797
advancement	framfarir	0.776	0.650	0.839
advancing	framfarir	0.929	0.608	0.812
advantage	kostur	0.917	0.548	0.859
advantageous	hagstæðar	0.837	0.640	0.789
advent	tilkomu	0.665	0.560	0.627
adventure	ævintýri	0.917	0.857	0.710
adventurer	ævintýramaður	0.781	0.839	0.868
adventures	ævintýri	0.812	0.764	0.749
adventurous	ævintýralegt	0.969	0.898	0.722
adversary	andstæðingurinn	0.349	0.777	0.457
adverse	skaðleg	0.323	0.610	0.385
adversity	mótlæti	0.276	0.760	0.538
advertise	auglýsa	0.500	0.529	0.580
advertisement	auglýsing	0.600	0.566	0.539
advertising	auglýsingar	0.622	0.608	0.632
adverts	auglýsingar	0.551	0.500	0.595
advice	ráðgjöf	0.698	0.408	0.688
advisable	ráðlegt	0.867	0.480	0.510
advise	ráðleggja	0.760	0.393	0.705
advised	ráðlagt	0.823	0.330	0.509
advisement	ráðgjöf	0.698	0.235	0.655
adviser	ráðgjafi	0.745	0.362	0.705
advisor	ráðgjafi	0.646	0.350	0.689
advisory	ráðgefandi	0.656	0.429	0.633
advocacy	málsvörn	0.500	0.646	0.731
advocate	talsmaður	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	loftun	0.550	0.500	0.433
aerial	loftnet	0.615	0.461	0.463
aerobics	þolfimi	0.708	0.771	0.627
aerodrome	flugvallar	0.541	0.740	0.678
aerodynamic	loftflæði	0.561	0.724	0.728
aerodynamics	loftþynning	0.590	0.663	0.722
aeronautics	flugmála	0.551	0.633	0.688
aeroplane	flugvél	0.714	0.642	0.644
aerospace	loftrými	0.643	0.520	0.779
aesthetic	fagurfræðilegu	0.708	0.442	0.526
aesthetics	fagurfræði	0.847	0.327	0.549
aetiology	eðlisfræði	0.480	0.398	0.615
afar	langt	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	mál	0.520	0.459	0.657
affect	áhrif	0.458	0.569	0.578
affecting	hafa áhrif á	0.350	0.574	0.394
affection	ástúð	0.898	0.559	0.696
affectionate	ástúðlegur	0.949	0.422	0.550
affections	ástríðu	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	staðfesting	0.469	0.584	0.526
affiliated	tengdir	0.673	0.519	0.535
affiliation	tengsl	0.615	0.594	0.500
affinity	sækni	0.800	0.500	0.537
affirm	staðfesta	0.745	0.509	0.731
affirmation	staðfesting	0.750	0.500	0.689
affirmative	jákvætt	0.854	0.589	0.816
affirmatively	jákvætt	0.908	0.500	0.811
affix	festa	0.438	0.335	0.411
afflict	þjáningar	0.302	0.555	0.293
afflicted	þjáður	0.271	0.500	0.167
affliction	eymd	0.294	0.635	0.392
affluence	auðmýkt	0.663	0.618	0.722
affluent	auðugur	0.756	0.388	0.477
afford	hafa efni á	0.571	0.580	0.575
affordable	affordable	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	í burtu	0.594	0.370	0.373
afire	eldur	0.367	0.904	0.675
afloat	á floti	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	áðurnefndur	0.490	0.316	0.408
aforesaid	áðurnefndur	0.531	0.358	0.478
afraid	hræddur	0.010	0.775	0.245
afresh	aftur	0.643	0.521	0.480
african	Afríku	0.490	0.423	0.555
aft	aftari	0.480	0.417	0.518
afterlife	lífslíf	0.571	0.567	0.568
aftermath	eftirfylgni	0.312	0.449	0.444
afternoon	síðdegis	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	eftirmynd	0.354	0.362	0.455
afterthought	eftir hugsun	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	Aldur	0.561	0.226	0.498
aged	á aldrinum	0.135	0.365	0.236
agency	auglýsingastofu	0.460	0.296	0.583
agenda	dagskrá	0.531	0.296	0.553
agent	umboðsmaður	0.480	0.439	0.755
agglomeration	þéttbýli	0.450	0.765	0.509
aggravate	versna	0.224	0.770	0.464
aggravated	versnað	0.079	0.760	0.430
aggravates	versnar	0.108	0.778	0.357
aggravating	versna	0.257	0.794	0.640
aggravation	versnun	0.071	0.784	0.613
aggregate	samanlagður	0.730	0.378	0.556
aggregation	samansafn	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	árásargirni	0.094	0.929	0.533
aggressive	árásargjarn	0.125	0.949	0.648
aggressively	hart	0.250	0.926	0.688
aggressiveness	árásargirni	0.077	0.913	0.648
aggressor	árásarmaður	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	lipur	0.800	0.657	0.775
agility	lipurð	0.720	0.702	0.815
aging	öldrun	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	órólegur	0.444	0.882	0.491
agitation	óróa	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	síðan	0.317	0.280	0.404
agonizing	pirrandi	0.083	0.800	0.340
agony	kvöl	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	sammála	0.906	0.260	0.545
agreeable	agreeable	0.906	0.500	0.696
agreed	samþykkt	0.797	0.449	0.574
agreeing	samþykkja	0.854	0.480	0.557
agreement	samningur	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	landbúnaðar	0.686	0.321	0.473
agriculture	landbúnaður	0.640	0.357	0.465
aground	á grunni	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	framundan	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	aðstoð	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	aðstoð	0.643	0.533	0.569
aids	hjálpartæki	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	lasleiki	0.146	0.734	0.277
aim	stefna	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	loft	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	í lofti	0.542	0.519	0.385
aircraft	flugvélar	0.646	0.644	0.691
aircraft carrier	flugmóðurskip	0.490	0.740	0.727
airfield	flugvellinum	0.601	0.650	0.645
airhead	flugvél	0.271	0.481	0.276
airlift	loftlift	0.573	0.622	0.642
airline	flugfélag	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	flugmaður	0.587	0.716	0.721
airplane	flugvél	0.719	0.702	0.708
airport	flugvöllur	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	loftskip	0.542	0.472	0.529
airspace	loftrými	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	loftþétt	0.479	0.381	0.570
airway	öndunarvegi	0.638	0.585	0.482
aisle	gangstétt	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	svipað	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	viðvörun	0.241	0.882	0.698
alarm clock	Vekjaraklukka	0.542	0.727	0.642
alarmed	órótt	0.188	0.822	0.492
alarming	skelfilegur	0.204	0.890	0.585
alas	því miður	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albúm	0.635	0.349	0.453
alchemy	gullgerðarlist	0.541	0.583	0.693
alcohol	áfengi	0.323	0.667	0.377
alcoholic	áfengi	0.153	0.688	0.361
alcoholism	áfengissýki	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	viðvörun	0.479	0.820	0.648
alertness	árvekni	0.375	0.875	0.750
alerts	tilkynningar	0.337	0.804	0.673
alfalfa	álfur	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	reiknirit	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	framandi	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienated	0.410	0.423	0.559
alienation	sölu	0.378	0.530	0.462
alight	elda	0.667	0.657	0.605
align	taktu saman	0.656	0.364	0.627
aligned	takt	0.583	0.275	0.553
alignment	röðun	0.643	0.412	0.683
alike	eins	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	afsal	0.612	0.477	0.464
aliquot	skammtur	0.440	0.310	0.404
alive	lifandi	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkalóíða	0.433	0.562	0.402
allay	úthlutun	0.417	0.406	0.398
allegation	ásakanir	0.578	0.578	0.608
allege	áminna	0.418	0.482	0.587
alleged	meint	0.365	0.522	0.520
allegiance	trúfesti	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	ofnæmi	0.135	0.549	0.273
allergy	ofnæmi	0.296	0.606	0.389
alleviate	létta	0.869	0.270	0.528
alleviation	léttir	0.735	0.200	0.491
alley	sundið	0.347	0.500	0.355
alleyway	sundið	0.357	0.471	0.382
alliance	bandalag	0.696	0.473	0.769
allied	bandamanna	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	úthluta	0.673	0.462	0.672
allocation	úthlutun	0.604	0.388	0.679
allot	úthluta	0.622	0.481	0.616
allotment	úthlutun	0.600	0.390	0.640
allow	leyfa	0.698	0.429	0.538
allowable	leyfilegt	0.698	0.500	0.561
allowance	greiðsla	0.673	0.382	0.591
allowed	leyft	0.730	0.360	0.655
alloy	ál	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	kærleiki	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	framsal	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	bandamann	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	almáttugur	0.938	0.874	0.958
almond	möndlu	0.698	0.183	0.314
aloft	uppi	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	ein	0.333	0.167	0.216
alongside	við hliðina á	0.458	0.333	0.347
aloof	fyrirfram	0.189	0.423	0.302
aloud	upphátt	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	stafrófið	0.562	0.204	0.672
alphabetical	stafrófsröð	0.537	0.296	0.535
alpine	Alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	altari	0.724	0.387	0.635
altar boy	altar strákur	0.434	0.206	0.350
alter	breyta	0.333	0.694	0.654
alteration	breyting	0.167	0.798	0.609
altercation	breyting	0.170	0.806	0.500
altered	breytt	0.255	0.765	0.500
alternate	varamaður	0.625	0.363	0.589
alternating	skiptis	0.480	0.494	0.542
alternative	val	0.628	0.373	0.631
altimeter	hæðarmælir	0.615	0.510	0.580
altitude	hæð	0.708	0.482	0.736
alto	allt	0.656	0.404	0.730
altogether	að öllu leyti	0.833	0.324	0.644
aluminum	ál	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	sameining	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	áhugamaður	0.469	0.500	0.409
amaze	undrandi	0.896	0.843	0.783
amazed	undrandi	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	undrun	0.750	0.800	0.639
amazing	ótrúlegt	0.906	0.837	0.849
amazingly	ótrúlega	0.918	0.765	0.920
ambassador	sendiherra	0.651	0.529	0.917
amber	gult	0.635	0.308	0.369
ambience	umhverfi	0.735	0.356	0.426
ambient	umlykur	0.625	0.360	0.582
ambiguity	tvíræðni	0.164	0.460	0.370
ambiguous	óljós	0.265	0.462	0.358
ambit	umfang	0.479	0.380	0.386
ambition	metnað	0.510	0.804	0.661
ambitious	metnaðarfullt	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	sjúkrabíll	0.500	0.750	0.609
ambush	afli	0.281	0.830	0.500
ameliorate	bæta við	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	unnt	0.448	0.410	0.406
amend	breyta	0.688	0.406	0.658
amendment	breyting	0.531	0.459	0.606
amends	breytist	0.640	0.366	0.517
amenity	aðstaða	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	elskanlegur	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	amidst	0.510	0.340	0.256
amidst	innan um	0.480	0.330	0.316
amino	amínó	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammoníak	0.292	0.587	0.409
ammonium	ammoníum	0.354	0.396	0.368
ammunition	skotfæri	0.338	0.635	0.667
amnesia	minnisleysi	0.296	0.330	0.308
amnesty	sakleysi	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	formlaust	0.327	0.402	0.349
amortization	afskriftir	0.592	0.491	0.522
amount	magn	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamín	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	hringleikahús	0.653	0.480	0.545
ample	nóg	0.744	0.349	0.719
amplification	mögnun	0.690	0.677	0.810
amplify	magna	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	nóg	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	skemmta	0.812	0.684	0.664
amused	skemmt	0.942	0.847	0.596
amusement	skemmtunar	0.929	0.837	0.803
amusing	skemmtilegt	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	svæfingu	0.350	0.217	0.473
anaesthetic	svæfingarlyf	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	endaþarms	0.333	0.798	0.334
analgesic	verkjalyf	0.417	0.321	0.441
analogous	hliðstæð	0.531	0.270	0.500
analogue	hliðstæða	0.570	0.320	0.446
analogy	hliðstæðni	0.510	0.367	0.509
analysis	greining	0.729	0.448	0.705
analyst	sérfræðingur	0.604	0.415	0.755
analytic	greinandi	0.665	0.521	0.634
