Word	Hebrew-iw	Valence	Arousal	Dominance
acutely	למעשה	0.417	0.543	0.491
ad	מוֹדָעָה	0.521	0.705	0.558
adage	פִּתגָם	0.517	0.415	0.566
adamant	נאמנה	0.344	0.529	0.575
adapt	לְהִסְתָגֵל	0.740	0.355	0.551
adaptable	סָגִיל	0.735	0.423	0.641
adaptation	הִסתַגְלוּת	0.663	0.365	0.609
add	לְהוֹסִיף	0.728	0.490	0.554
added	הוסיף	0.562	0.405	0.509
addendum	תוֹסֶפֶת	0.392	0.370	0.418
adder	פֶּתֶן	0.388	0.461	0.588
addict	מָכוּר	0.075	0.696	0.327
addicted	מָכוּר	0.156	0.712	0.483
addiction	הִתמַכְּרוּת	0.180	0.806	0.420
addictive	ממכר	0.302	0.683	0.472
addition	בנוסף	0.562	0.373	0.471
additional	נוֹסָף	0.673	0.462	0.526
additive	תוסף	0.561	0.633	0.691
address	כתובת	0.650	0.327	0.567
addressee	נִמעָן	0.622	0.382	0.538
addresses	כתובות	0.510	0.354	0.450
adept	מְיוּמָן	0.594	0.539	0.789
adequacy	הלימות	0.615	0.435	0.702
adequate	נאות	0.854	0.264	0.705
adhere	לִדבּוֹק	0.633	0.339	0.554
adherence	דְבֵקוּת	0.760	0.307	0.630
adherent	חָסִיד	0.561	0.385	0.555
adhering	דבקות	0.612	0.561	0.537
adhesion	הַדבָּקָה	0.521	0.445	0.586
adhesive	דבק	0.604	0.350	0.413
adieu	שָׁלוֹם	0.250	0.471	0.342
adipose	אדיפוז	0.333	0.350	0.391
adjacency	סדירות	0.365	0.417	0.375
adjacent	סמוך	0.645	0.276	0.536
adjective	תוֹאַר	0.570	0.316	0.569
adjoining	סמוכים	0.520	0.400	0.393
adjourn	לִדחוֹת	0.385	0.456	0.475
adjournment	דְחִיָה	0.438	0.510	0.370
adjudicate	לִפְסוֹק	0.559	0.520	0.683
adjudication	שְׁפִיטָה	0.551	0.462	0.691
adjunct	נספח	0.459	0.440	0.426
adjust	לְהַתְאִים	0.647	0.327	0.638
adjuster	מתאמת	0.510	0.540	0.760
adjustment	התאמה	0.590	0.520	0.661
adjuvant	אדג'ובנט	0.510	0.500	0.456
admin	מנהל	0.688	0.420	0.854
administer	לְנַהֵל	0.635	0.425	0.860
administration	מִנהָל	0.625	0.404	0.786
administrative	מנהלי	0.542	0.415	0.579
administrator	מנהל	0.538	0.480	0.902
admirable	ראוי להערצה	0.929	0.600	0.870
admiral	אַדמִירָל	0.844	0.490	0.847
admiralty	אדמירליות	0.594	0.547	0.733
admiration	הערצה	0.969	0.583	0.726
admire	לְהִתְפַּעֵל	0.867	0.692	0.704
admired	נערץ	0.917	0.560	0.815
admirer	מַעֲרִיץ	0.796	0.720	0.650
admiring	מעריץ	0.867	0.578	0.629
admissibility	קבילות	0.802	0.580	0.602
admissible	קָבִיל	0.780	0.528	0.642
admission	הוֹדָאָה	0.802	0.415	0.732
admit	לְהוֹדוֹת	0.538	0.423	0.667
admittance	קבלה	0.690	0.451	0.598
admitted	הודה	0.720	0.490	0.767
admitting	מודה	0.620	0.500	0.546
admixture	תַעֲרוֹבֶת	0.450	0.375	0.438
admonition	תוֹכֵחָה	0.357	0.606	0.455
ado	מְהוּמָה	0.520	0.423	0.385
adobe	אדוב	0.500	0.319	0.328
adolescence	גיל ההתבגרות	0.487	0.694	0.444
adolescent	מִתבַּגֵר	0.781	0.680	0.509
adopt	לְאַמֵץ	0.694	0.612	0.701
adoption	אימוץ	0.625	0.566	0.589
adoptive	מאמצת	0.531	0.469	0.520
adorable	מקסים	0.969	0.519	0.457
adoration	הַעֲרָצָה	0.885	0.699	0.708
adore	לְהַעֲרִיץ	0.854	0.438	0.657
adoring	מעריץ	0.885	0.620	0.717
adorn	לְקַשֵׁט	0.910	0.424	0.482
adornment	תַכשִׁיט	0.918	0.373	0.377
adrenalin	אַדְרֶנָלִין	0.865	0.920	0.786
adrenaline	אדרנלין	0.765	0.965	0.825
adrift	נִסחָף	0.398	0.486	0.230
adult	מְבוּגָר	0.815	0.491	0.787
adulterated	מָהוּל	0.188	0.865	0.370
adulterer	נוֹאֵף	0.229	0.814	0.407
adultery	ניאוף	0.120	0.922	0.510
adulthood	בַּגרוּת	0.541	0.454	0.652
advance	לְקַדֵם	0.673	0.472	0.858
advanced	מִתקַדֵם	0.844	0.623	0.797
advancement	הִתקַדְמוּת	0.776	0.650	0.839
advancing	מתקדם	0.929	0.608	0.812
advantage	יתרון	0.917	0.548	0.859
advantageous	מוֹעִיל	0.837	0.640	0.789
advent	הִתגַלוּת	0.665	0.560	0.627
adventure	הַרפַּתקָה	0.917	0.857	0.710
adventurer	הַרפַּתקָן	0.781	0.839	0.868
adventures	הרפתקאות	0.812	0.764	0.749
adventurous	הרפתקני	0.969	0.898	0.722
adversary	יָרִיב	0.349	0.777	0.457
adverse	שְׁלִילִי	0.323	0.610	0.385
adversity	מְצוּקָה	0.276	0.760	0.538
advertise	לְפַרְסֵם	0.500	0.529	0.580
advertisement	פרסומת	0.600	0.566	0.539
advertising	פִּרסוּם	0.622	0.608	0.632
adverts	פרסומות	0.551	0.500	0.595
advice	עֵצָה	0.698	0.408	0.688
advisable	רצוי	0.867	0.480	0.510
advise	לייעץ	0.760	0.393	0.705
advised	מומלץ	0.823	0.330	0.509
advisement	יעוץ	0.698	0.235	0.655
adviser	יוֹעֵץ	0.745	0.362	0.705
advisor	יועץ	0.646	0.350	0.689
advisory	ייעוץ	0.656	0.429	0.633
advocacy	פְּרַקְלִיטוּת	0.500	0.646	0.731
advocate	עוֹרֵך דִין	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	אִוְרוּר	0.550	0.500	0.433
aerial	אַנטֶנָה	0.615	0.461	0.463
aerobics	אֶרוֹבִיקָה	0.708	0.771	0.627
aerodrome	שְׂדֵה תְעוּפָה	0.541	0.740	0.678
aerodynamic	אווירודינמי	0.561	0.724	0.728
aerodynamics	אֲוִירוֹדִינָמִיקָה	0.590	0.663	0.722
aeronautics	תוֹרַת הַתְעוּפָה	0.551	0.633	0.688
aeroplane	מטוס	0.714	0.642	0.644
aerospace	חלל	0.643	0.520	0.779
aesthetic	אֶסתֵטִי	0.708	0.442	0.526
aesthetics	אֶסתֵטִיקָה	0.847	0.327	0.549
aetiology	אטיולוגיה	0.480	0.398	0.615
afar	מרחוק	0.396	0.373	0.358
affable	מַסבִּיר פָּנִים	0.704	0.380	0.452
affair	פָּרָשָׁה	0.520	0.459	0.657
affect	להשפיע	0.458	0.569	0.578
affecting	משפיע	0.350	0.574	0.394
affection	אַהֲבָה	0.898	0.559	0.696
affectionate	מחבב	0.949	0.422	0.550
affections	רגשות	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	תצהיר	0.469	0.584	0.526
affiliated	מְסוּנָף	0.673	0.519	0.535
affiliation	השתייכות	0.615	0.594	0.500
affinity	זִיקָה	0.800	0.500	0.537
affirm	לְאַשֵׁר	0.745	0.509	0.731
affirmation	חִיוּב	0.750	0.500	0.689
affirmative	חִיוּבִי	0.854	0.589	0.816
affirmatively	בחיוב	0.908	0.500	0.811
affix	לְהַדבִּיק	0.438	0.335	0.411
afflict	לְיַסֵר	0.302	0.555	0.293
afflicted	מְעוּנֶה	0.271	0.500	0.167
affliction	מֶמֶר	0.294	0.635	0.392
affluence	שֶׁפַע	0.663	0.618	0.722
affluent	אָמִיד	0.756	0.388	0.477
afford	לְהַרְשׁוֹת לְעַצמוֹ	0.571	0.580	0.575
affordable	זול	0.840	0.398	0.493
affront	עֶלבּוֹן	0.327	0.740	0.547
affronted	פגוע	0.385	0.750	0.527
afield	מרוחק	0.594	0.370	0.373
afire	אש	0.367	0.904	0.675
afloat	צָף	0.602	0.427	0.444
afore	שצוין	0.500	0.337	0.382
aforementioned	הנ"ל	0.490	0.316	0.408
aforesaid	לְעֵיל	0.531	0.358	0.478
afraid	חוֹשֵׁשׁ	0.010	0.775	0.245
afresh	מִחָדָשׁ	0.643	0.521	0.480
african	אַפְרִיקַנִי	0.490	0.423	0.555
aft	אָחוֹר	0.480	0.417	0.518
afterlife	אחרי המוות	0.571	0.567	0.568
aftermath	אחרי	0.312	0.449	0.444
afternoon	אחרי הצהריים	0.533	0.388	0.339
aftershave	אפטרשייב	0.406	0.384	0.415
aftertaste	טעם לוואי	0.354	0.362	0.455
afterthought	לאחר מחשבה	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	פָּעוּר פֶּה	0.612	0.529	0.464
agate	בַּרֶקֶת	0.540	0.377	0.483
age	גיל	0.561	0.226	0.498
aged	זָקֵן	0.135	0.365	0.236
agency	סוֹכְנוּת	0.460	0.296	0.583
agenda	סֵדֶר הַיוֹם	0.531	0.296	0.553
agent	סוֹכֵן	0.480	0.439	0.755
agglomeration	הִצטַבְּרוּת	0.450	0.765	0.509
aggravate	לְהַחרִיף	0.224	0.770	0.464
aggravated	מחמירות	0.079	0.760	0.430
aggravates	מחמירה	0.108	0.778	0.357
aggravating	מַרגִיז	0.257	0.794	0.640
aggravation	הַחמָרָה	0.071	0.784	0.613
aggregate	לְקַבֵּץ	0.730	0.378	0.556
aggregation	- צבירה	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	תוֹקפָּנוּת	0.094	0.929	0.533
aggressive	תוֹקפָּנִי	0.125	0.949	0.648
aggressively	בתוקפנות	0.250	0.926	0.688
aggressiveness	תוֹקפָּנוּת	0.077	0.913	0.648
aggressor	תוֹקפָּן	0.146	0.948	0.823
agh	א.ג.	0.260	0.500	0.400
aghast	נדהם	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	זָרִיז	0.800	0.657	0.775
agility	זְרִיזוּת	0.720	0.702	0.815
aging	הְזדַקְנוּת	0.214	0.255	0.284
agitate	לְהַתְסִיס	0.300	0.796	0.593
agitated	נִסעָר	0.444	0.882	0.491
agitation	תסיסה	0.240	0.931	0.447
aglow	לוֹהֵט	0.780	0.510	0.797
agnostic	כּוֹפֵר	0.306	0.396	0.574
ago	לִפנֵי	0.317	0.280	0.404
agonizing	מתייסר	0.083	0.800	0.340
agony	יסורים	0.083	0.775	0.393
agoraphobia	בַּעַת חוּץ	0.127	0.712	0.438
agree	לְהַסכִּים	0.906	0.260	0.545
agreeable	נָעִים	0.906	0.500	0.696
agreed	מוסכם	0.797	0.449	0.574
agreeing	מסכים	0.854	0.480	0.557
agreement	הֶסכֵּם	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	חַקלָאִי	0.686	0.321	0.473
agriculture	חַקלָאוּת	0.640	0.357	0.465
aground	עַל שִׂרטוֹן	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	קָדִימָה	0.708	0.520	0.673
ahhh	אההה	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	אהוי	0.500	0.497	0.380
aid	סיוע	0.796	0.491	0.541
aide	עוֹזֵר	0.724	0.342	0.434
aiding	סיוע	0.643	0.533	0.569
aids	עזרים	0.561	0.480	0.500
ail	אֶל	0.375	0.434	0.385
ailing	חוֹלָנִי	0.094	0.518	0.153
ailment	חוֹלִי	0.146	0.734	0.277
aim	מַטָרָה	0.481	0.569	0.567
aimless	חֲסַר תַכְלִית	0.150	0.267	0.183
air	אוויר	0.708	0.163	0.427
airbag	כרית אוויר	0.510	0.402	0.433
airborne	מוֹטָס	0.542	0.519	0.385
aircraft	כְּלִי טַיִס	0.646	0.644	0.691
aircraft carrier	נושאת מטוסים	0.490	0.740	0.727
airfield	שדה התעופה	0.601	0.650	0.645
airhead	טיפשה	0.271	0.481	0.276
airlift	רַכֶּבֶת אֲוִירִית	0.573	0.622	0.642
airline	חֶברַת תְעוּפָה	0.650	0.482	0.688
airliner	מטוס	0.667	0.777	0.647
airlock	איירלוק	0.398	0.520	0.447
airman	איירמן	0.587	0.716	0.721
airplane	מטוס	0.719	0.702	0.708
airport	נמל תעופה	0.729	0.684	0.682
airs	אוויר	0.583	0.196	0.370
airship	ספינת אוויר	0.542	0.472	0.529
airspace	המרחב האווירי	0.562	0.510	0.640
airspeed	מהירות אוויר	0.583	0.780	0.544
airstrip	מַסלוּל הַמרָאָה	0.550	0.690	0.649
airtight	אטום	0.479	0.381	0.570
airway	מַסלוּל טִיסָה	0.638	0.585	0.482
aisle	מַעֲבָר	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	דומה	0.639	0.343	0.523
alabaster	בַּהַט	0.542	0.404	0.445
alarm	אזעקה	0.241	0.882	0.698
alarm clock	שעון מעורר	0.542	0.727	0.642
alarmed	נבהל	0.188	0.822	0.492
alarming	מדאיגה	0.204	0.890	0.585
alas	אבוי	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	אַלבַּטרוֹס	0.500	0.445	0.527
albino	לַבקָן	0.500	0.240	0.358
album	אַלבּוֹם	0.635	0.349	0.453
alchemy	אַלכִּימְיָה	0.541	0.583	0.693
alcohol	כּוֹהֶל	0.323	0.667	0.377
alcoholic	כּוֹהָלִי	0.153	0.688	0.361
alcoholism	כָּהֳלִיוּת	0.061	0.779	0.407
alcove	גוּמחָה	0.490	0.340	0.356
alderman	אלדרמן	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	עֵרָנִי	0.479	0.820	0.648
alertness	עֵרָנוּת	0.375	0.875	0.750
alerts	התראות	0.337	0.804	0.673
alfalfa	אַספֶּסֶת	0.546	0.250	0.311
algebra	אַלגֶבּרָה	0.440	0.340	0.565
algebraic	אַלגֶבּרִי	0.531	0.412	0.441
algorithm	אַלגוֹרִיתְם	0.448	0.394	0.559
alias	כינוי	0.541	0.353	0.333
alibi	אַלִיבִּי	0.396	0.528	0.556
alien	חייזר	0.410	0.615	0.491
alienate	לְהַרְחִיק	0.247	0.500	0.523
alienated	מנוכר	0.410	0.423	0.559
alienation	הִתנַכְּרוּת	0.378	0.530	0.462
alight	מוּאָר	0.667	0.657	0.605
align	ישר	0.656	0.364	0.627
aligned	מיושר	0.583	0.275	0.553
alignment	יישור	0.643	0.412	0.683
alike	דוֹמֶה	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	מְזוֹנוֹת	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	בחיים	0.816	0.637	0.731
alkali	אַלקָלִי	0.490	0.350	0.408
alkaloids	אלקלואידים	0.433	0.562	0.402
allay	לְהַרְגִיעַ	0.417	0.406	0.398
allegation	טענה	0.578	0.578	0.608
allege	טענה	0.418	0.482	0.587
alleged	כִּביָכוֹל	0.365	0.522	0.520
allegiance	אֱמוּנִים	0.917	0.398	0.750
allegorical	אַלֵגוֹרִי	0.517	0.558	0.598
allegory	אַלֵגוֹרִיָה	0.615	0.580	0.509
allegro	מה Architect	0.635	0.627	0.453
allergic	אַלֶרגִי	0.135	0.549	0.273
allergy	אַלֶרגִיָה	0.296	0.606	0.389
alleviate	להקל	0.869	0.270	0.528
alleviation	הֲקָלָה	0.735	0.200	0.491
alley	סִמטָה	0.347	0.500	0.355
alleyway	סמטה	0.357	0.471	0.382
alliance	בְּרִית	0.696	0.473	0.769
allied	בעלות הברית	0.714	0.245	0.642
alligator	תַנִין	0.354	0.704	0.645
allocate	לְהַקְצוֹת	0.673	0.462	0.672
allocation	הַקצָאָה	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	הַקצָאָה	0.600	0.390	0.640
allow	להתיר	0.698	0.429	0.538
allowable	מותר	0.698	0.500	0.561
allowance	קצבה	0.673	0.382	0.591
allowed	מוּתָר	0.730	0.360	0.655
alloy	סַגסוֹגֶת	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	קֶסֶם	0.804	0.585	0.686
alluring	מרתק	0.837	0.745	0.843
allusion	רֶמֶז	0.440	0.308	0.462
alluvial	סחף	0.323	0.490	0.491
ally	ברית	0.792	0.320	0.688
almanac	אַלְמָנָך	0.688	0.190	0.412
almighty	כל יכול	0.938	0.874	0.958
almond	שקד	0.698	0.183	0.314
aloft	אֵל עַל	0.771	0.373	0.700
aloha	שלום	0.698	0.440	0.441
alone	לבד	0.333	0.167	0.216
alongside	בַּצַד	0.458	0.333	0.347
aloof	מרוחק	0.189	0.423	0.302
aloud	בְּקוֹל רָם	0.458	0.713	0.750
alpha	אלפא	0.708	0.340	0.755
alphabet	אלף בית	0.562	0.204	0.672
alphabetical	אָלֶף בֵּיתִי	0.537	0.296	0.535
alpine	אלפיני	0.594	0.337	0.474
alreadyyyyy	כבר	0.592	0.717	0.351
altar	מִזבֵּחַ	0.724	0.387	0.635
altar boy	נער מזבח	0.434	0.206	0.350
alter	לשנות	0.333	0.694	0.654
alteration	שינוי	0.167	0.798	0.609
altercation	קְטָטָה	0.170	0.806	0.500
altered	השתנה	0.255	0.765	0.500
alternate	לְהַחלִיף	0.625	0.363	0.589
alternating	לסירוגין	0.480	0.494	0.542
alternative	חֲלוּפָה	0.628	0.373	0.631
altimeter	מַד גוֹבָה	0.615	0.510	0.580
altitude	גוֹבַה	0.708	0.482	0.736
alto	אַלט	0.656	0.404	0.730
altogether	לְגַמרֵי	0.833	0.324	0.644
aluminum	אֲלוּמִינְיוּם	0.449	0.280	0.434
alumnus	בּוֹגֵר	0.633	0.368	0.422
alveolar	אלכוהולי	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	אֲמַלְגַמָה	0.438	0.333	0.510
amalgamation	הִתמַזְגוּת	0.406	0.470	0.531
amaretto	אמרטו	0.543	0.551	0.375
amass	לִצְבּוֹר	0.552	0.465	0.465
amateur	חוֹבְבָן	0.469	0.500	0.409
amaze	לְהַדהִים	0.896	0.843	0.783
amazed	נדהם	0.796	0.779	0.533
