Word	Mongolian-mn	Valence	Arousal	Dominance
ago	өмнө нь	0.317	0.280	0.404
agonizing	зовж шаналах	0.083	0.800	0.340
agony	шаналал	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	тохиролцоно	0.906	0.260	0.545
agreeable	Зөвшөөрнө	0.906	0.500	0.696
agreed	тохиролцсон	0.797	0.449	0.574
agreeing	санал нийлж байна	0.854	0.480	0.557
agreement	гэрээ хэлэлцээр	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	хөдөө аж ахуй	0.686	0.321	0.473
agriculture	хөдөө аж ахуй	0.640	0.357	0.465
aground	хажуугаар нь	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	өмнө нь	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	тусламж	0.796	0.491	0.541
aide	туслах	0.724	0.342	0.434
aiding	туслах	0.643	0.533	0.569
aids	тусламж	0.561	0.480	0.500
ail	Ах	0.375	0.434	0.385
ailing	өвдөж байна	0.094	0.518	0.153
ailment	эмгэг	0.146	0.734	0.277
aim	Зорилго	0.481	0.569	0.567
aimless	зорилгогүй	0.150	0.267	0.183
air	агаар	0.708	0.163	0.427
airbag	дэрний дэр	0.510	0.402	0.433
airborne	Агааржуулалт	0.542	0.519	0.385
aircraft	нисэх онгоц	0.646	0.644	0.691
aircraft carrier	нисэх онгоц тээвэрлэгч	0.490	0.740	0.727
airfield	нисэх буудал	0.601	0.650	0.645
airhead	агаарын толгой	0.271	0.481	0.276
airlift	усан онгоц	0.573	0.622	0.642
airline	агаарын тээвэр	0.650	0.482	0.688
airliner	нисэх онгоц	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	Airman	0.587	0.716	0.721
airplane	онгоц	0.719	0.702	0.708
airport	нисэх буудал	0.729	0.684	0.682
airs	Агаарын	0.583	0.196	0.370
airship	Airship	0.542	0.472	0.529
airspace	агаарын зай	0.562	0.510	0.640
airspeed	Агаарын хурд	0.583	0.780	0.544
airstrip	Нисэх буудал	0.550	0.690	0.649
airtight	Агааргүй	0.479	0.381	0.570
airway	Амьсгалын зам	0.638	0.585	0.482
aisle	Онгоцны буудал	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	гэгддэг	0.459	0.358	0.351
akin	төстэй	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	дохиолол	0.241	0.882	0.698
alarm clock	сэрүүлэгтэй цаг	0.542	0.727	0.642
alarmed	түгшсэн	0.188	0.822	0.492
alarming	түгшүүрийн дохио	0.204	0.890	0.585
alas	Ачаа	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	цомог	0.635	0.349	0.453
alchemy	Алкеми	0.541	0.583	0.693
alcohol	согтууруулах ундаа	0.323	0.667	0.377
alcoholic	архи	0.153	0.688	0.361
alcoholism	архидалт	0.061	0.779	0.407
alcove	Алков	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	сэрэмжлүүлэг	0.479	0.820	0.648
alertness	сэрэмжтэй байх	0.375	0.875	0.750
alerts	анхааруулга	0.337	0.804	0.673
alfalfa	царгас	0.546	0.250	0.311
algebra	алгебр	0.440	0.340	0.565
algebraic	алгебр	0.531	0.412	0.441
algorithm	алгоритм	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	харийн	0.410	0.615	0.491
alienate	алга болно	0.247	0.500	0.523
alienated	алга болсон	0.410	0.423	0.559
alienation	төрөөс ангид	0.378	0.530	0.462
alight	гэнэт	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	нэгтгэсэн	0.583	0.275	0.553
alignment	уялдаа холбоо	0.643	0.412	0.683
alike	адилхан	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	тэтгэлэг	0.612	0.477	0.464
aliquot	аликвот	0.440	0.310	0.404
alive	амьд байна	0.816	0.637	0.731
alkali	шүлт	0.490	0.350	0.408
alkaloids	алкалоид	0.433	0.562	0.402
allay	Эсрэг	0.417	0.406	0.398
allegation	мэдэгдэл	0.578	0.578	0.608
allege	Өчигдөр	0.418	0.482	0.587
alleged	гэж үзсэн	0.365	0.522	0.520
allegiance	үнэнч	0.917	0.398	0.750
allegorical	Алдаа	0.517	0.558	0.598
allegory	Эшлэл	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	харшилтай	0.135	0.549	0.273
allergy	харшилтай	0.296	0.606	0.389
alleviate	багасгах	0.869	0.270	0.528
alleviation	багасгах	0.735	0.200	0.491
alley	тойрог зам	0.347	0.500	0.355
alleyway	зам	0.357	0.471	0.382
alliance	холбоо	0.696	0.473	0.769
allied	холбоотон	0.714	0.245	0.642
alligator	матар	0.354	0.704	0.645
allocate	хуваарилна	0.673	0.462	0.672
allocation	хуваарилалт	0.604	0.388	0.679
allot	хуваарилна	0.622	0.481	0.616
allotment	хувь	0.600	0.390	0.640
allow	зөвшөөрөх	0.698	0.429	0.538
allowable	зөвшөөрөгдсөн	0.698	0.500	0.561
allowance	тэтгэмж	0.673	0.382	0.591
allowed	зөвшөөрөгдсөн	0.730	0.360	0.655
alloy	хайлш	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	сэтгэл татам	0.804	0.585	0.686
alluring	сэтгэл хангалуун байна	0.837	0.745	0.843
allusion	Дурсгал	0.440	0.308	0.462
alluvial	аллюви	0.323	0.490	0.491
ally	холбоотон	0.792	0.320	0.688
almanac	Алманак	0.688	0.190	0.412
almighty	Бүхнийг Чадагч	0.938	0.874	0.958
almond	бүйлс	0.698	0.183	0.314
aloft	маш өндөр	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	дангаараа	0.333	0.167	0.216
alongside	хамт байна	0.458	0.333	0.347
aloof	алив	0.189	0.423	0.302
aloud	чангаарай	0.458	0.713	0.750
alpha	Альфа	0.708	0.340	0.755
alphabet	цагаан толгой	0.562	0.204	0.672
alphabetical	үсгэн	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	дажгүй байна	0.592	0.717	0.351
altar	тахилын ширээ	0.724	0.387	0.635
altar boy	тахилын ширээ хөвгүүн	0.434	0.206	0.350
alter	Өөрчлөлт	0.333	0.694	0.654
alteration	өөрчлөлт	0.167	0.798	0.609
altercation	зөрчилдөөн	0.170	0.806	0.500
altered	өөрчлөгдсөн	0.255	0.765	0.500
alternate	Альтернатив	0.625	0.363	0.589
alternating	ээлжлэн	0.480	0.494	0.542
alternative	өөр хувилбар	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	өндөр	0.708	0.482	0.736
alto	Альто	0.656	0.404	0.730
altogether	бүхэлдээ	0.833	0.324	0.644
aluminum	хөнгөн цагаан	0.449	0.280	0.434
alumnus	Алюмаа	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	нэгтгэх	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	Амар амгалаа	0.552	0.465	0.465
amateur	сонирхогчид	0.469	0.500	0.409
amaze	гайхширлаа	0.896	0.843	0.783
amazed	гайхширсан	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	гайхширсан	0.750	0.800	0.639
amazing	гайхалтай	0.906	0.837	0.849
amazingly	гайхалтай	0.918	0.765	0.920
ambassador	Элчин сайд	0.651	0.529	0.917
amber	хув	0.635	0.308	0.369
ambience	ая тухтай байдал	0.735	0.356	0.426
ambient	хүрээлэн буй орчин	0.625	0.360	0.582
ambiguity	хоёрдмол утгатай	0.164	0.460	0.370
ambiguous	тодорхойгүй байна	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	Хүсэл тэмүүлэл	0.510	0.804	0.661
ambitious	зоригтой	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	түргэн тусламж	0.500	0.750	0.609
ambush	хоргодох газар	0.281	0.830	0.500
ameliorate	засах	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	тавтай морилно уу	0.448	0.410	0.406
amend	нэмэлт өөрчлөлт оруулах	0.688	0.406	0.658
