Word	Romanian-ro	Valence	Arousal	Dominance
adjudicate	adjudeca	0.559	0.520	0.683
adjudication	adjudecare	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	regla	0.647	0.327	0.638
adjuster	ajustor	0.510	0.540	0.760
adjustment	ajustare	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administra	0.635	0.425	0.860
administration	administrare	0.625	0.404	0.786
administrative	administrativ	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	admirabil	0.929	0.600	0.870
admiral	amiral	0.844	0.490	0.847
admiralty	amiralitate	0.594	0.547	0.733
admiration	admirație	0.969	0.583	0.726
admire	admira	0.867	0.692	0.704
admired	admirata	0.917	0.560	0.815
admirer	admirator	0.796	0.720	0.650
admiring	admirativ	0.867	0.578	0.629
admissibility	admisibilitate	0.802	0.580	0.602
admissible	admisibil	0.780	0.528	0.642
admission	admitere	0.802	0.415	0.732
admit	admite	0.538	0.423	0.667
admittance	admitere	0.690	0.451	0.598
admitted	admise	0.720	0.490	0.767
admitting	admiterea	0.620	0.500	0.546
admixture	amestec	0.450	0.375	0.438
admonition	admonestare	0.357	0.606	0.455
ado	zgomot	0.520	0.423	0.385
adobe	chirpici	0.500	0.319	0.328
adolescence	adolescent	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	adopta	0.694	0.612	0.701
adoption	adopţie	0.625	0.566	0.589
adoptive	adoptiv	0.531	0.469	0.520
adorable	adorabil	0.969	0.519	0.457
adoration	adorare	0.885	0.699	0.708
adore	adora	0.854	0.438	0.657
adoring	adorator	0.885	0.620	0.717
adorn	împodobi	0.910	0.424	0.482
adornment	podoabă	0.918	0.373	0.377
adrenalin	adrenalină	0.865	0.920	0.786
adrenaline	adrenalina	0.765	0.965	0.825
adrift	în voia valurilor	0.398	0.486	0.230
adult	adult	0.815	0.491	0.787
adulterated	alterat	0.188	0.865	0.370
adulterer	adulter	0.229	0.814	0.407
adultery	adulter	0.120	0.922	0.510
adulthood	maturitate	0.541	0.454	0.652
advance	avans	0.673	0.472	0.858
advanced	avansat	0.844	0.623	0.797
advancement	avansare	0.776	0.650	0.839
advancing	avansarea	0.929	0.608	0.812
advantage	avantaj	0.917	0.548	0.859
advantageous	avantajos	0.837	0.640	0.789
advent	venire	0.665	0.560	0.627
adventure	aventură	0.917	0.857	0.710
adventurer	aventurier	0.781	0.839	0.868
adventures	aventuri	0.812	0.764	0.749
adventurous	aventuros	0.969	0.898	0.722
adversary	adversar	0.349	0.777	0.457
adverse	advers	0.323	0.610	0.385
adversity	adversitate	0.276	0.760	0.538
advertise	face publicitate	0.500	0.529	0.580
advertisement	publicitate	0.600	0.566	0.539
advertising	reclamă	0.622	0.608	0.632
adverts	publicitate	0.551	0.500	0.595
advice	sfat	0.698	0.408	0.688
advisable	recomandabil	0.867	0.480	0.510
advise	recomanda	0.760	0.393	0.705
advised	avizat	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	consilier	0.745	0.362	0.705
advisor	consilier	0.646	0.350	0.689
advisory	consultativ	0.656	0.429	0.633
advocacy	susținere	0.500	0.646	0.731
advocate	avocat	0.551	0.530	0.818
aegis	egidă	0.490	0.439	0.462
aeration	aerare	0.550	0.500	0.433
aerial	aerian	0.615	0.461	0.463
aerobics	aerobic	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodinamic	0.561	0.724	0.728
aerodynamics	aerodinamică	0.590	0.663	0.722
aeronautics	aeronautică	0.551	0.633	0.688
aeroplane	avion	0.714	0.642	0.644
aerospace	Industria aerospațială	0.643	0.520	0.779
aesthetic	estetic	0.708	0.442	0.526
aesthetics	estetică	0.847	0.327	0.549
aetiology	etiologia	0.480	0.398	0.615
afar	la distanță	0.396	0.373	0.358
affable	afabil	0.704	0.380	0.452
affair	afacere	0.520	0.459	0.657
affect	a afecta	0.458	0.569	0.578
affecting	care afectează	0.350	0.574	0.394
affection	afecţiune	0.898	0.559	0.696
affectionate	afectuos	0.949	0.422	0.550
affections	afecțiuni	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	declarație	0.469	0.584	0.526
affiliated	afiliat	0.673	0.519	0.535
affiliation	afiliere	0.615	0.594	0.500
affinity	afinitate	0.800	0.500	0.537
affirm	afirma	0.745	0.509	0.731
affirmation	afirmare	0.750	0.500	0.689
affirmative	afirmativ	0.854	0.589	0.816
affirmatively	afirmativ	0.908	0.500	0.811
affix	afix	0.438	0.335	0.411
afflict	dezola	0.302	0.555	0.293
afflicted	bolnav	0.271	0.500	0.167
affliction	nenorocire	0.294	0.635	0.392
affluence	afluență	0.663	0.618	0.722
affluent	afluent	0.756	0.388	0.477
afford	permite	0.571	0.580	0.575
affordable	accesibil	0.840	0.398	0.493
affront	afront	0.327	0.740	0.547
affronted	ofensat	0.385	0.750	0.527
afield	departe	0.594	0.370	0.373
afire	un foc	0.367	0.904	0.675
afloat	plutind	0.602	0.427	0.444
afore	înainte	0.500	0.337	0.382
aforementioned	menționat mai sus	0.490	0.316	0.408
aforesaid	de mai sus	0.531	0.358	0.478
afraid	speriat	0.010	0.775	0.245
afresh	din nou	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	la pupă	0.480	0.417	0.518
afterlife	viata de apoi	0.571	0.567	0.568
aftermath	Urmări	0.312	0.449	0.444
afternoon	dupa amiaza	0.533	0.388	0.339
aftershave	after-shave	0.406	0.384	0.415
aftertaste	gust care stăruie	0.354	0.362	0.455
afterthought	gând ulterior	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	căscat	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	vârstă	0.561	0.226	0.498
aged	în vârstă de	0.135	0.365	0.236
agency	agenţie	0.460	0.296	0.583
agenda	agendă	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomerare	0.450	0.765	0.509
aggravate	agrava	0.224	0.770	0.464
aggravated	agravată	0.079	0.760	0.430
aggravates	agravează	0.108	0.778	0.357
aggravating	agravant	0.257	0.794	0.640
aggravation	agravare	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	agregare	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresiune	0.094	0.929	0.533
aggressive	agresiv	0.125	0.949	0.648
aggressively	agresiv	0.250	0.926	0.688
aggressiveness	agresivitate	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	înspăimântat	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agil	0.800	0.657	0.775
agility	agilitate	0.720	0.702	0.815
aging	îmbătrânire	0.214	0.255	0.284
agitate	agita	0.300	0.796	0.593
agitated	agitat	0.444	0.882	0.491
agitation	agitaţie	0.240	0.931	0.447
aglow	în flăcări	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	în urmă	0.317	0.280	0.404
agonizing	agonizant	0.083	0.800	0.340
agony	agonie	0.083	0.775	0.393
agoraphobia	agorafobie	0.127	0.712	0.438
agree	de acord	0.906	0.260	0.545
agreeable	agreabil	0.906	0.500	0.696
agreed	de acord	0.797	0.449	0.574
agreeing	fiind de acord	0.854	0.480	0.557
agreement	acord	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agricol	0.686	0.321	0.473
agriculture	agricultură	0.640	0.357	0.465
aground	eşuat	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	înainte	0.708	0.520	0.673
ahhh	Ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	hei	0.500	0.497	0.380
aid	ajutor	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	complicitatea	0.643	0.533	0.569
aids	SIDA	0.561	0.480	0.500
ail	pricinui durere	0.375	0.434	0.385
ailing	maladiv	0.094	0.518	0.153
ailment	indispoziție	0.146	0.734	0.277
aim	scop	0.481	0.569	0.567
aimless	fără rost	0.150	0.267	0.183
air	aer	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	în aer	0.542	0.519	0.385
aircraft	avioane	0.646	0.644	0.691
aircraft carrier	portavion	0.490	0.740	0.727
airfield	aerodrom	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	transportul aerian	0.573	0.622	0.642
airline	linie aeriană	0.650	0.482	0.688
airliner	avion de pasageri	0.667	0.777	0.647
airlock	ermetică	0.398	0.520	0.447
airman	aviator	0.587	0.716	0.721
airplane	avion	0.719	0.702	0.708
airport	aeroport	0.729	0.684	0.682
airs	ifose	0.583	0.196	0.370
airship	dirijabil	0.542	0.472	0.529
airspace	spațiul aerian	0.562	0.510	0.640
airspeed	viteza aerului	0.583	0.780	0.544
airstrip	pistă de aterizare	0.550	0.690	0.649
airtight	etanș	0.479	0.381	0.570
airway	căilor aeriene	0.638	0.585	0.482
aisle	interval	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	alias	0.459	0.358	0.351
akin	înrudit	0.639	0.343	0.523
alabaster	alabastru	0.542	0.404	0.445
alarm	alarma	0.241	0.882	0.698
alarm clock	ceas deșteptător	0.542	0.727	0.642
alarmed	alarmat	0.188	0.822	0.492
alarming	alarmant	0.204	0.890	0.585
alas	Vai	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albinos	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchimie	0.541	0.583	0.693
alcohol	alcool	0.323	0.667	0.377
alcoholic	alcoolic	0.153	0.688	0.361
alcoholism	alcoolism	0.061	0.779	0.407
alcove	nişă	0.490	0.340	0.356
alderman	consilier municipal	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alerta	0.479	0.820	0.648
alertness	vigilenţă	0.375	0.875	0.750
alerts	alerte	0.337	0.804	0.673
alfalfa	lucernă	0.546	0.250	0.311
algebra	algebră	0.440	0.340	0.565
algebraic	algebric	0.531	0.412	0.441
algorithm	algoritmul	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	străin	0.410	0.615	0.491
alienate	aliena	0.247	0.500	0.523
alienated	alienat	0.410	0.423	0.559
alienation	alienare	0.378	0.530	0.462
alight	aprins	0.667	0.657	0.605
align	alinia	0.656	0.364	0.627
aligned	aliniat	0.583	0.275	0.553
alignment	aliniere	0.643	0.412	0.683
alike	deopotrivă	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	pensia alimentară	0.612	0.477	0.464
aliquot	alicot	0.440	0.310	0.404
alive	în viaţă	0.816	0.637	0.731
alkali	alcaliu	0.490	0.350	0.408
alkaloids	alcaloizi	0.433	0.562	0.402
allay	domoli	0.417	0.406	0.398
allegation	afirmaţie	0.578	0.578	0.608
allege	pretinde	0.418	0.482	0.587
alleged	pretins	0.365	0.522	0.520
allegiance	credință	0.917	0.398	0.750
allegorical	alegoric	0.517	0.558	0.598
allegory	alegorie	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergic	0.135	0.549	0.273
allergy	alergie	0.296	0.606	0.389
alleviate	atenua	0.869	0.270	0.528
alleviation	alinare	0.735	0.200	0.491
alley	alee	0.347	0.500	0.355
alleyway	străduță	0.357	0.471	0.382
alliance	alianţă	0.696	0.473	0.769
allied	aliat	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	aloca	0.673	0.462	0.672
allocation	alocare	0.604	0.388	0.679
allot	aloca	0.622	0.481	0.616
allotment	alocare	0.600	0.390	0.640
allow	permite	0.698	0.429	0.538
allowable	admisibil	0.698	0.500	0.561
allowance	alocație	0.673	0.382	0.591
allowed	permis	0.730	0.360	0.655
alloy	aliaj	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	momi	0.804	0.585	0.686
alluring	ademenitor	0.837	0.745	0.843
allusion	aluzie	0.440	0.308	0.462
alluvial	aluvial	0.323	0.490	0.491
ally	aliat	0.792	0.320	0.688
almanac	almanah	0.688	0.190	0.412
almighty	atotputernic	0.938	0.874	0.958
almond	migdală	0.698	0.183	0.314
aloft	sus	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	singur	0.333	0.167	0.216
alongside	pe langa	0.458	0.333	0.347
aloof	departe	0.189	0.423	0.302
aloud	cu voce tare	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetic	0.537	0.296	0.535
alpine	alpin	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	baiat de altar	0.434	0.206	0.350
alter	modifica	0.333	0.694	0.654
alteration	modificare	0.167	0.798	0.609
altercation	altercaţie	0.170	0.806	0.500
altered	modificată	0.255	0.765	0.500
alternate	alterna	0.625	0.363	0.589
alternating	alternativ	0.480	0.494	0.542
alternative	alternativă	0.628	0.373	0.631
altimeter	altimetru	0.615	0.510	0.580
altitude	altitudine	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	întru totul	0.833	0.324	0.644
aluminum	aluminiu	0.449	0.280	0.434
alumnus	absolvent al unei școli	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamare	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	tezauriza	0.552	0.465	0.465
amateur	amator	0.469	0.500	0.409
amaze	uimi	0.896	0.843	0.783
amazed	uimit	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	uimire	0.750	0.800	0.639
amazing	uimitor	0.906	0.837	0.849
amazingly	uimitor	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	chihlimbar	0.635	0.308	0.369
ambience	ambianță	0.735	0.356	0.426
ambient	înconjurător	0.625	0.360	0.582
ambiguity	ambiguitate	0.164	0.460	0.370
ambiguous	ambiguu	0.265	0.462	0.358
ambit	graniță	0.479	0.380	0.386
ambition	ambiţie	0.510	0.804	0.661
ambitious	ambiţios	0.484	0.821	0.717
ambivalent	ambivalentă	0.510	0.404	0.482
ambrosia	ambrozie	0.571	0.452	0.480
ambulance	ambulanță	0.500	0.750	0.609
ambush	ambuscadă	0.281	0.830	0.500
ameliorate	ameliora	0.770	0.548	0.747
amen	Amin	0.781	0.182	0.542
amenable	maleabil	0.448	0.410	0.406
amend	modifica	0.688	0.406	0.658
amendment	amendament	0.531	0.459	0.606
amends	compensație	0.640	0.366	0.517
amenity	amenitate	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	amabil	0.847	0.290	0.483
amicable	amical	0.875	0.330	0.507
amid	în mijlocul	0.510	0.340	0.256
amidst	în mijlocul	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	muniții	0.323	0.765	0.621
ammonia	amoniac	0.292	0.587	0.409
ammonium	amoniu	0.354	0.396	0.368
ammunition	muniţie	0.338	0.635	0.667
amnesia	amnezie	0.296	0.330	0.308
amnesty	amnistia	0.551	0.451	0.814
amorous	amoros	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortizare	0.592	0.491	0.522
amount	Cantitate	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamine	0.133	0.667	0.526
amphibian	amfibiu	0.427	0.357	0.474
amphibious	amfibiu	0.479	0.346	0.445
amphitheater	amfiteatru	0.653	0.480	0.545
ample	amplu	0.744	0.349	0.719
amplification	amplificare	0.690	0.677	0.810
amplify	amplifica	0.677	0.735	0.827
amplitude	amplitudine	0.694	0.439	0.692
amply	amplu	0.781	0.431	0.766
amputate	amputa	0.092	0.660	0.509
amputation	amputare	0.100	0.755	0.483
amuck	amoc	0.385	0.602	0.321
amulet	amuletă	0.781	0.260	0.630
amuse	amuza	0.812	0.684	0.664
amused	amuzat	0.942	0.847	0.596
amusement	amuzament	0.929	0.837	0.803
amusing	amuzant	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	Anaconda	0.146	0.830	0.540
anaesthesia	anestezie	0.350	0.217	0.473
anaesthetic	anestezic	0.449	0.268	0.509
anagram	anagramă	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgezic	0.417	0.321	0.441
analogous	analog	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogie	0.510	0.367	0.509
analysis	analiză	0.729	0.448	0.705
analyst	analist	0.604	0.415	0.755
analytic	analitic	0.665	0.521	0.634
analytical	analitic	0.625	0.324	0.800
analyze	a analiza	0.667	0.462	0.710
analyzer	analizor	0.625	0.556	0.854
anaphylactic	anafilactic	0.378	0.588	0.500
anarchism	anarhism	0.125	0.804	0.623
anarchist	anarhist	0.204	0.700	0.759
anarchy	anarhie	0.146	0.755	0.620
anastomosis	anastomoza	0.375	0.470	0.490
anathema	anatemă	0.286	0.490	0.519
anatomic	anatomic	0.562	0.442	0.546
anatomy	anatomie	0.562	0.390	0.571
ancestor	strămoş	0.592	0.388	0.594
ancestral	ancestral	0.640	0.481	0.750
ancestry	origine	0.708	0.519	0.717
anchor	ancoră	0.520	0.284	0.564
anchorage	ancorare	0.500	0.325	0.639
ancient	vechi	0.420	0.217	0.439
ancillary	auxiliar	0.449	0.442	0.278
androgen	androgeni	0.255	0.523	0.527
android	Android	0.663	0.436	0.500
anecdote	anecdotă	0.583	0.529	0.500
anemia	anemie	0.188	0.327	0.310
