Word	Sinhala (Sinhalese)-si	Valence	Arousal	Dominance
acting	රංගනයයි	0.698	0.643	0.500
action	කටයුතු	0.760	0.898	0.802
action figure	ක්රියාකාරී චරිතය	0.615	0.774	0.611
actionable	ක්රියාත්මක විය හැකිය	0.673	0.702	0.613
activate	ක්රියාත්මක කරන්න	0.764	0.650	0.806
activation	සක්රිය කිරීම	0.781	0.800	0.754
active	ක්රියාකාරී වේ	0.847	0.730	0.731
activist	ක්රියාකාරිකයෙක්	0.531	0.653	0.877
activity	ක්රියාකාරිත්වය	0.701	0.660	0.807
actor	නළුවා	0.653	0.561	0.629
actress	නිළිය	0.633	0.556	0.596
actual	ඇත්ත	0.729	0.400	0.716
actuality	සත්යයයි	0.750	0.464	0.600
actuary	ක්රියාකාරී	0.510	0.404	0.491
acuity	අවාසනාවන්ත තත්වය	0.469	0.378	0.741
acumen	සිතුවිලි	0.564	0.660	0.679
acupuncture	ක්ෂුද්ර	0.531	0.324	0.549
acute	උග්ර වේ	0.427	0.652	0.534
acutely	තියෙන්නෙ	0.417	0.543	0.491
ad	දැන්වීම	0.521	0.705	0.558
adage	කතාවයි	0.517	0.415	0.566
adamant	නොකියා ඉන්න	0.344	0.529	0.575
adapt	අනුවර්තනය	0.740	0.355	0.551
adaptable	අනුවර්තනය	0.735	0.423	0.641
adaptation	අනුවර්තනය වීම	0.663	0.365	0.609
add	එකතු කරන්න	0.728	0.490	0.554
added	එකතු විය	0.562	0.405	0.509
addendum	උපග්රන්ථය	0.392	0.370	0.418
adder	ඇඩෝනය	0.388	0.461	0.588
addict	ඇබ්බැහි වෙන්න	0.075	0.696	0.327
addicted	ඇබ්බැහි වෙලා	0.156	0.712	0.483
addiction	ඇබ්බැහිවීම	0.180	0.806	0.420
addictive	ඇබ්බැහි කරන්න	0.302	0.683	0.472
addition	ඊට අමතරව	0.562	0.373	0.471
additional	අතිරේක	0.673	0.462	0.526
additive	අතිෙර්කයකි	0.561	0.633	0.691
address	ලිපිනය	0.650	0.327	0.567
addressee	ලිපිනය	0.622	0.382	0.538
addresses	ලිපිනයන් වේ	0.510	0.354	0.450
adept	ශිල්පියෙක්	0.594	0.539	0.789
adequacy	ප්රමාණවත් නොවේ	0.615	0.435	0.702
adequate	ප්රමාණවත්ය	0.854	0.264	0.705
adhere	පිළිපදින්න	0.633	0.339	0.554
adherence	ආඩම්බරයෙනි	0.760	0.307	0.630
adherent	අනුගාමිකයෙකි	0.561	0.385	0.555
adhering	පිළිපදිනවා	0.612	0.561	0.537
adhesion	ඇලෝෂිය	0.521	0.445	0.586
adhesive	මැලියම්	0.604	0.350	0.413
adieu	ඇඩියූ	0.250	0.471	0.342
adipose	මැසිවිලි නඟන්න	0.333	0.350	0.391
adjacency	යාබදව පිහිටා ඇත	0.365	0.417	0.375
adjacent	යාබදව පිහිටා ඇත	0.645	0.276	0.536
adjective	විශේෂණයකි	0.570	0.316	0.569
adjoining	යාබද	0.520	0.400	0.393
adjourn	කල් තැබිණි	0.385	0.456	0.475
adjournment	කල් තැබිණි	0.438	0.510	0.370
adjudicate	විනිශ්චය කිරීම	0.559	0.520	0.683
adjudication	විනිශ්චය කිරීම	0.551	0.462	0.691
adjunct	අනුබද්ධිතයි	0.459	0.440	0.426
adjust	වෙනස් කරන්න	0.647	0.327	0.638
adjuster	අනුගත කරන්න	0.510	0.540	0.760
adjustment	ගැලපීම්	0.590	0.520	0.661
adjuvant	සන්නායකයකි	0.510	0.500	0.456
admin	පරිපාලක	0.688	0.420	0.854
administer	පරිපාලනය කරයි	0.635	0.425	0.860
administration	පරිපාලනය	0.625	0.404	0.786
administrative	පරිපාලන	0.542	0.415	0.579
administrator	පරිපාලක	0.538	0.480	0.902
admirable	ප්රශංසාත්මකයි	0.929	0.600	0.870
admiral	අද්මිරාල්	0.844	0.490	0.847
admiralty	අම්මාල්	0.594	0.547	0.733
admiration	ප්රශංසා කිරීම	0.969	0.583	0.726
admire	අගය කරනවා	0.867	0.692	0.704
admired	අගය කළා	0.917	0.560	0.815
admirer	අගය කරනවා	0.796	0.720	0.650
admiring	ආදරණීයයි	0.867	0.578	0.629
admissibility	පිළිගත හැකි ය	0.802	0.580	0.602
admissible	පිළිගත හැකි ය	0.780	0.528	0.642
admission	ඇතුළත් විය	0.802	0.415	0.732
admit	පිළිගන්නවා	0.538	0.423	0.667
admittance	ඇතුළත් විය	0.690	0.451	0.598
admitted	ඇතුළත් විය	0.720	0.490	0.767
admitting	පිළිගන්නවා	0.620	0.500	0.546
admixture	අතිෙර්කයකි	0.450	0.375	0.438
admonition	අවවාදයයි	0.357	0.606	0.455
ado	ඇඩෝ	0.520	0.423	0.385
adobe	ඇඩෝබ්	0.500	0.319	0.328
adolescence	යොවුන් විය	0.487	0.694	0.444
adolescent	යොවුන් වියට	0.781	0.680	0.509
adopt	අනුගමනය කරයි	0.694	0.612	0.701
adoption	හදාගැනීම	0.625	0.566	0.589
adoptive	හදාගන්න	0.531	0.469	0.520
adorable	සුන්දරයි	0.969	0.519	0.457
adoration	ප්රශංසා	0.885	0.699	0.708
adore	ආදරණීයයි	0.854	0.438	0.657
adoring	ආදරයකි	0.885	0.620	0.717
adorn	වර්ණවත් විය	0.910	0.424	0.482
adornment	අලංකාරය	0.918	0.373	0.377
adrenalin	ඇඩ්රිනිනන්	0.865	0.920	0.786
adrenaline	ඇඩ්රිනීන්	0.765	0.965	0.825
adrift	වාඩිවී සිටිති	0.398	0.486	0.230
adult	වැඩිහිටි	0.815	0.491	0.787
adulterated	සමූලඝාතනය	0.188	0.865	0.370
adulterer	කාමමිථ්යාචාරිකයෙක්	0.229	0.814	0.407
adultery	අනාචාරය	0.120	0.922	0.510
adulthood	වැඩිහිටි විය	0.541	0.454	0.652
advance	අත්තිකාරමක්	0.673	0.472	0.858
advanced	උසස්	0.844	0.623	0.797
advancement	දියුණුවයි	0.776	0.650	0.839
advancing	ඉදිරියට යති	0.929	0.608	0.812
advantage	වාසිදායකය	0.917	0.548	0.859
advantageous	වාසිදායකයි	0.837	0.640	0.789
advent	පැමිණීමයි	0.665	0.560	0.627
adventure	ත්රාසජනක	0.917	0.857	0.710
adventurer	ත්රාසජනක	0.781	0.839	0.868
adventures	ඇඩ්වෙන්චර්ස්	0.812	0.764	0.749
adventurous	වික්රමාන්විතයි	0.969	0.898	0.722
adversary	විරුද්ධකාරයා	0.349	0.777	0.457
adverse	අහිතකර ය	0.323	0.610	0.385
adversity	විපත්ති	0.276	0.760	0.538
advertise	ප්රචාරය කරන්න	0.500	0.529	0.580
advertisement	දැන්වීමයි	0.600	0.566	0.539
advertising	ප්රචාරණය	0.622	0.608	0.632
adverts	දැන්වීම්	0.551	0.500	0.595
advice	උපදෙස්	0.698	0.408	0.688
advisable	යෝග්ය වේ	0.867	0.480	0.510
advise	උපදෙස් දෙන්න	0.760	0.393	0.705
advised	උපදෙස් දුන්නේය	0.823	0.330	0.509
advisement	උපදේශනය	0.698	0.235	0.655
adviser	උපදේශකයෙකි	0.745	0.362	0.705
advisor	උපදේශකයෙකි	0.646	0.350	0.689
advisory	උපදේශක වේ	0.656	0.429	0.633
advocacy	වෙනුවෙන් පෙනී සිටියේය	0.500	0.646	0.731
advocate	උද්ඝෝෂකයෙක්	0.551	0.530	0.818
aegis	ඒජීස්	0.490	0.439	0.462
aeration	වාතනය	0.550	0.500	0.433
aerial	ගුවන්යානා	0.615	0.461	0.463
aerobics	වයිට්බෝයි	0.708	0.771	0.627
aerodrome	ගුවන් තොටුපල	0.541	0.740	0.678
aerodynamic	වායුගතිකමය	0.561	0.724	0.728
aerodynamics	වායුගෝලයෙනි	0.590	0.663	0.722
aeronautics	ගගන	0.551	0.633	0.688
aeroplane	ගුවන්යානය	0.714	0.642	0.644
aerospace	අභ්යාවකාශ	0.643	0.520	0.779
aesthetic	සෞන්දර්යාත්මක විය	0.708	0.442	0.526
aesthetics	සෞන්දර්යය	0.847	0.327	0.549
aetiology	ලක්ෂණ වේ	0.480	0.398	0.615
afar	දුරින්	0.396	0.373	0.358
affable	හිතවත්	0.704	0.380	0.452
affair	පෙම් කිරීම	0.520	0.459	0.657
affect	බලපාන	0.458	0.569	0.578
affecting	බලපානවා	0.350	0.574	0.394
affection	සෙනෙහස	0.898	0.559	0.696
affectionate	ආදරය	0.949	0.422	0.550
affections	ආදර හැඟීමක්	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	දිවුරුම් ප්රකාශයක්	0.469	0.584	0.526
affiliated	අනුබද්ධිතයි	0.673	0.519	0.535
affiliation	අනුබැඳිය	0.615	0.594	0.500
affinity	ආකර්ෂණීය බව	0.800	0.500	0.537
affirm	තහවුරු කරන්න	0.745	0.509	0.731
affirmation	ප්රතිඥා දීම	0.750	0.500	0.689
affirmative	ස්ථිරයි	0.854	0.589	0.816
affirmatively	ස්ථීරවම	0.908	0.500	0.811
affix	ඇමිණිය යුතුය	0.438	0.335	0.411
afflict	දුක් විඳිනවා	0.302	0.555	0.293
afflicted	දුක් විඳිනවා	0.271	0.500	0.167
affliction	දුකකි	0.294	0.635	0.392
affluence	ඉවහල් වේ	0.663	0.618	0.722
affluent	ධනවත් අයයි	0.756	0.388	0.477
afford	දැරිය යුතුය	0.571	0.580	0.575
affordable	දැරිය හැකි මිලකට	0.840	0.398	0.493
affront	දඩයමකි	0.327	0.740	0.547
affronted	තුවාල ලැබීය	0.385	0.750	0.527
afield	එයි	0.594	0.370	0.373
afire	ගින්නක්	0.367	0.904	0.675
afloat	පතනය	0.602	0.427	0.444
afore	කලින් සඳහන් කළා	0.500	0.337	0.382
aforementioned	ඉහතින් සඳහන් කරයි	0.490	0.316	0.408
aforesaid	ඉහත කී	0.531	0.358	0.478
afraid	බය වෙලා	0.010	0.775	0.245
afresh	අලුතින්ම	0.643	0.521	0.480
african	අප්රිකානු	0.490	0.423	0.555
aft	පසුපස	0.480	0.417	0.518
afterlife	පසු ජීවිතය	0.571	0.567	0.568
aftermath	පසු විපරමක්	0.312	0.449	0.444
afternoon	දහවල්	0.533	0.388	0.339
aftershave	ආෆ්ටර්ෙෂේව්	0.406	0.384	0.415
aftertaste	කල්ඉකුත්වී ඇත	0.354	0.362	0.455
afterthought	කල්පනා කළා	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	ඇපටපේ	0.612	0.529	0.464
agate	උඩුගම්	0.540	0.377	0.483
age	වයස	0.561	0.226	0.498
aged	වයස අවුරුදු	0.135	0.365	0.236
agency	නියෝජිතායතනය	0.460	0.296	0.583
agenda	න්යාය පත්රය	0.531	0.296	0.553
agent	නියෝජිතයා	0.480	0.439	0.755
agglomeration	ස්ථාවරත්වයයි	0.450	0.765	0.509
aggravate	උග්රයි	0.224	0.770	0.464
aggravated	උග්රවී තිබේ	0.079	0.760	0.430
aggravates	උග්රවී තිබේ	0.108	0.778	0.357
aggravating	උග්රවීම	0.257	0.794	0.640
aggravation	උග්රවීම	0.071	0.784	0.613
aggregate	එකතුවකි	0.730	0.378	0.556
aggregation	ඒකාබද්ධ කිරීමයි	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ආක්රමණිකය	0.094	0.929	0.533
aggressive	ආක්රමණශීලී විය	0.125	0.949	0.648
aggressively	ආක්රමනකාරී ලෙස	0.250	0.926	0.688
aggressiveness	ආක්රමනශීලී බව	0.077	0.913	0.648
aggressor	ආක්රමණිකයා	0.146	0.948	0.823
agh	ඒ	0.260	0.500	0.400
aghast	දුගඳයි	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ඉක්මන්	0.800	0.657	0.775
agility	කඩිසර බව	0.720	0.702	0.815
aging	වයස්ගතවීම	0.214	0.255	0.284
agitate	උද්වේගකරයි	0.300	0.796	0.593
agitated	උද්වේගකරයි	0.444	0.882	0.491
agitation	උද්ඝෝෂණය	0.240	0.931	0.447
aglow	ගොරෝසුයි	0.780	0.510	0.797
agnostic	අඥෙයවාදී	0.306	0.396	0.574
ago	පෙර	0.317	0.280	0.404
agonizing	කෲර ය	0.083	0.800	0.340
agony	වියවුල්සහගතය	0.083	0.775	0.393
agoraphobia	ඇරොරෝෆොබියා	0.127	0.712	0.438
agree	එකඟ වෙමි	0.906	0.260	0.545
agreeable	එකඟ විය හැකි	0.906	0.500	0.696
agreed	එකඟ විය	0.797	0.449	0.574
agreeing	එකඟ වෙමි	0.854	0.480	0.557
agreement	ගිවිසුම	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	කෘෂි	0.686	0.321	0.473
agriculture	කෘෂිකර්ම	0.640	0.357	0.465
aground	වටපිටාව	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ඉදිරියෙන්	0.708	0.520	0.673
ahhh	අහ්හ්	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	අහෝයි	0.500	0.497	0.380
aid	ආධාරය	0.796	0.491	0.541
aide	ආධාරකරුවෙකි	0.724	0.342	0.434
aiding	උදව් කරනවා	0.643	0.533	0.569
aids	ආධාරක වේ	0.561	0.480	0.500
ail	අලි	0.375	0.434	0.385
ailing	රෝගාතුර විය	0.094	0.518	0.153
ailment	රෝගී තත්ත්වයකි	0.146	0.734	0.277
aim	අරමුණයි	0.481	0.569	0.567
aimless	අසරණයි	0.150	0.267	0.183
air	ගුවන්	0.708	0.163	0.427
airbag	වායු ගෝලය	0.510	0.402	0.433
airborne	වායුගෝලීය	0.542	0.519	0.385
aircraft	ගුවන් යානා	0.646	0.644	0.691
aircraft carrier	ගුවන් යානා නෞකාව	0.490	0.740	0.727
airfield	ගුවන් තොටුපල	0.601	0.650	0.645
airhead	ගුවන්යානය	0.271	0.481	0.276
airlift	ගුවන්යානයයි	0.573	0.622	0.642
airline	ගුවන් සමාගමයි	0.650	0.482	0.688
airliner	ගුවන්යානය	0.667	0.777	0.647
airlock	ගුවන්යානා	0.398	0.520	0.447
airman	ගුවන්යානය	0.587	0.716	0.721
airplane	ගුවන්යානය	0.719	0.702	0.708
airport	ගුවන් තොටුපොළ	0.729	0.684	0.682
airs	වාතය	0.583	0.196	0.370
airship	ඩුප්ලිකේෂන්	0.542	0.472	0.529
airspace	ගුවන් ගමනකි	0.562	0.510	0.640
airspeed	ගුවන්යානය	0.583	0.780	0.544
airstrip	ගුවන් පථය	0.550	0.690	0.649
airtight	වාහනයේ	0.479	0.381	0.570
airway	ශ්වසන මාර්ගය	0.638	0.585	0.482
aisle	පේළිය	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ඒ	0.459	0.358	0.351
akin	හුරු	0.639	0.343	0.523
alabaster	ඇලබැස්ටර්	0.542	0.404	0.445
alarm	අනතුරු ඇඟවීමකි	0.241	0.882	0.698
alarm clock	බල්බ ඔරලෝසුව	0.542	0.727	0.642
alarmed	තැතිගැන්මක් ඇත	0.188	0.822	0.492
alarming	තැතිගන්වනසුළුයි	0.204	0.890	0.585
alas	අනේ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	ඇල්බට්රොස්	0.500	0.445	0.527
albino	ඇලිිනෝ	0.500	0.240	0.358
album	ඇල්බමය	0.635	0.349	0.453
alchemy	ඇල්කෙමි	0.541	0.583	0.693
alcohol	මත්පැන්	0.323	0.667	0.377
alcoholic	මත්පැන්	0.153	0.688	0.361
alcoholism	මත්පැන්	0.061	0.779	0.407
alcove	ඇල්කොව්	0.490	0.340	0.356
alderman	ඇලෙක්සැන්ඩර්	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	අවදියෙන් සිටින්න	0.479	0.820	0.648
alertness	සීරුවේ	0.375	0.875	0.750
alerts	ඇඟවීම්	0.337	0.804	0.673
alfalfa	ඇල්ෆල්ෆා	0.546	0.250	0.311
algebra	වීජ ගණිතය	0.440	0.340	0.565
algebraic	වීජීය	0.531	0.412	0.441
algorithm	ඇල්ගොරිතමය	0.448	0.394	0.559
alias	අන්වර්ථය	0.541	0.353	0.333
alibi	ඇලිබි	0.396	0.528	0.556
alien	විදේශිකයෙක්	0.410	0.615	0.491
alienate	විරසකය	0.247	0.500	0.523
alienated	විරසක විය	0.410	0.423	0.559
alienation	පරාරෝපණය	0.378	0.530	0.462
alight	නැගිටින්න	0.667	0.657	0.605
align	පෙලගස්වන්න	0.656	0.364	0.627
aligned	පෙලගැසුනි	0.583	0.275	0.553
alignment	පෙළගැස්වීම	0.643	0.412	0.683
alike	සමානව	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	අලිමන්ට්	0.612	0.477	0.464
aliquot	ඇලෙක්සෝට්	0.440	0.310	0.404
alive	ජීවත් වෙනවා	0.816	0.637	0.731
alkali	ක්ෂාරමය	0.490	0.350	0.408
alkaloids	ඇල්කලෝයිඩ්	0.433	0.562	0.402
allay	නරකයි	0.417	0.406	0.398
allegation	චෝදනාවයි	0.578	0.578	0.608
allege	චෝදනා කරයි	0.418	0.482	0.587
alleged	චෝදනා කර ඇත	0.365	0.522	0.520
allegiance	පක්ෂපාතිත්වය	0.917	0.398	0.750
allegorical	ද්විතීයයි	0.517	0.558	0.598
allegory	කථාව	0.615	0.580	0.509
allegro	ඇලේග්රෝ	0.635	0.627	0.453
allergic	අසාත්මිකතාවක්	0.135	0.549	0.273
allergy	ආසාත්මිකතාවයකි	0.296	0.606	0.389
alleviate	විසඳෙනු ඇත	0.869	0.270	0.528
alleviation	තුරන් කිරීමයි	0.735	0.200	0.491
alley	ඇලිය	0.347	0.500	0.355
alleyway	ඇලියුයිස්	0.357	0.471	0.382
alliance	සන්ධානය	0.696	0.473	0.769
allied	අනුබද්ධිත ය	0.714	0.245	0.642
alligator	ඇලිගැටයා	0.354	0.704	0.645
allocate	වෙන් කරන්න	0.673	0.462	0.672
allocation	වෙන් කිරීම	0.604	0.388	0.679
