Word	Zulu-zu	Valence	Arousal	Dominance
additive	okungeziwe	0.561	0.633	0.691
address	ikheli	0.650	0.327	0.567
addressee	i-addressee	0.622	0.382	0.538
addresses	amakheli	0.510	0.354	0.450
adept	u-adept	0.594	0.539	0.789
adequacy	ngokwanele	0.615	0.435	0.702
adequate	ezanele	0.854	0.264	0.705
adhere	ukunamathela	0.633	0.339	0.554
adherence	ukunamathela	0.760	0.307	0.630
adherent	ukuhambisana	0.561	0.385	0.555
adhering	ukunamathela	0.612	0.561	0.537
adhesion	ukunamathela	0.521	0.445	0.586
adhesive	ukunamathela	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	eseduze	0.365	0.417	0.375
adjacent	eduze	0.645	0.276	0.536
adjective	isichazamazwi	0.570	0.316	0.569
adjoining	ehlangene	0.520	0.400	0.393
adjourn	phindela	0.385	0.456	0.475
adjournment	ukuhlehliswa	0.438	0.510	0.370
adjudicate	ukugweba	0.559	0.520	0.683
adjudication	ukugwetshwa	0.551	0.462	0.691
adjunct	ukulungiswa	0.459	0.440	0.426
adjust	lungisa	0.647	0.327	0.638
adjuster	i-adjuster	0.510	0.540	0.760
adjustment	ukulungiswa	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	umphathi	0.688	0.420	0.854
administer	ukuphatha	0.635	0.425	0.860
administration	ukuphathwa	0.625	0.404	0.786
administrative	ukuphatha	0.542	0.415	0.579
administrator	umlawuli	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	ukuhlonipha	0.844	0.490	0.847
admiralty	i-admiralty	0.594	0.547	0.733
admiration	ukubonga	0.969	0.583	0.726
admire	ngiyakubonga	0.867	0.692	0.704
admired	uyathandwa	0.917	0.560	0.815
admirer	uyamthanda	0.796	0.720	0.650
admiring	ngiyakubonga	0.867	0.578	0.629
admissibility	ukuvuma	0.802	0.580	0.602
admissible	ivumelekile	0.780	0.528	0.642
admission	ukungena	0.802	0.415	0.732
admit	vuma	0.538	0.423	0.667
admittance	ukuvuma	0.690	0.451	0.598
admitted	avunyelwe	0.720	0.490	0.767
admitting	uyavuma	0.620	0.500	0.546
admixture	ukuhlanganiswa	0.450	0.375	0.438
admonition	iseluleko	0.357	0.606	0.455
ado	i-ado	0.520	0.423	0.385
adobe	i-adobe	0.500	0.319	0.328
adolescence	ukukhula	0.487	0.694	0.444
adolescent	osemusha	0.781	0.680	0.509
adopt	ukwamukela	0.694	0.612	0.701
adoption	ukwamukelwa	0.625	0.566	0.589
adoptive	ukwamukela	0.531	0.469	0.520
adorable	okujabulisayo	0.969	0.519	0.457
adoration	ukukhuleka	0.885	0.699	0.708
adore	ukuthanda	0.854	0.438	0.657
adoring	ukuncoma	0.885	0.620	0.717
adorn	ukuhlobisa	0.910	0.424	0.482
adornment	ukuhlobisa	0.918	0.373	0.377
adrenalin	i-adrenalin	0.865	0.920	0.786
adrenaline	i-adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	umuntu omdala	0.815	0.491	0.787
adulterated	ukuphinga	0.188	0.865	0.370
adulterer	umphingi	0.229	0.814	0.407
adultery	ukuphinga	0.120	0.922	0.510
adulthood	umuntu omdala	0.541	0.454	0.652
advance	phambili	0.673	0.472	0.858
advanced	ithuthukile	0.844	0.623	0.797
advancement	ukuthuthuka	0.776	0.650	0.839
advancing	ukuqhubeka	0.929	0.608	0.812
advantage	inzuzo	0.917	0.548	0.859
advantageous	inzuzo	0.837	0.640	0.789
advent	ukuza	0.665	0.560	0.627
adventure	i-adventure	0.917	0.857	0.710
adventurer	umshayeli	0.781	0.839	0.868
adventures	izintandokazi	0.812	0.764	0.749
adventurous	okuzenzekelayo	0.969	0.898	0.722
adversary	isitha	0.349	0.777	0.457
adverse	okubi	0.323	0.610	0.385
adversity	ukuhlupheka	0.276	0.760	0.538
advertise	khangisa	0.500	0.529	0.580
advertisement	isikhangiso	0.600	0.566	0.539
advertising	ukukhangisa	0.622	0.608	0.632
adverts	izikhangiso	0.551	0.500	0.595
advice	iseluleko	0.698	0.408	0.688
advisable	kuhlelwe	0.867	0.480	0.510
advise	ukweluleka	0.760	0.393	0.705
advised	welulekwa	0.823	0.330	0.509
advisement	yeluleka	0.698	0.235	0.655
adviser	umeluleki	0.745	0.362	0.705
advisor	umeluleki	0.646	0.350	0.689
advisory	ukululekwa	0.656	0.429	0.633
advocacy	ukukhuthaza	0.500	0.646	0.731
advocate	khuthaza	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	i-aeration	0.550	0.500	0.433
aerial	insimbi	0.615	0.461	0.463
aerobics	i-aerobics	0.708	0.771	0.627
aerodrome	i-aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	i-aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	indiza	0.714	0.642	0.644
aerospace	i-aerospace	0.643	0.520	0.779
aesthetic	ubuhle	0.708	0.442	0.526
aesthetics	i-aesthetics	0.847	0.327	0.549
aetiology	i-etiology	0.480	0.398	0.615
afar	kude	0.396	0.373	0.358
affable	kungathinteka	0.704	0.380	0.452
affair	indaba	0.520	0.459	0.657
affect	kuthinta	0.458	0.569	0.578
affecting	okuthinta	0.350	0.574	0.394
affection	uthando	0.898	0.559	0.696
affectionate	uthando	0.949	0.422	0.550
affections	ukuthandwa	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	i-afidavithi	0.469	0.584	0.526
affiliated	ehlangene	0.673	0.519	0.535
affiliation	ukubambisana	0.615	0.594	0.500
affinity	ukusondelana	0.800	0.500	0.537
affirm	qinisekisa	0.745	0.509	0.731
affirmation	ukuqinisekiswa	0.750	0.500	0.689
affirmative	okuqinisekisiwe	0.854	0.589	0.816
affirmatively	ngokuqinisekisayo	0.908	0.500	0.811
affix	kufakwa	0.438	0.335	0.411
afflict	ukuhlupha	0.302	0.555	0.293
afflicted	uhluphekile	0.271	0.500	0.167
affliction	ukuhlupheka	0.294	0.635	0.392
affluence	ukuthatha	0.663	0.618	0.722
affluent	enamandla	0.756	0.388	0.477
afford	ukuthenga	0.571	0.580	0.575
affordable	ezingabizi	0.840	0.398	0.493
affront	ukuhlukunyezwa	0.327	0.740	0.547
affronted	ukuhlukunyezwa	0.385	0.750	0.527
afield	endaweni	0.594	0.370	0.373
afire	ukushisa	0.367	0.904	0.675
afloat	i-afloat	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	okushiwo ngenhla	0.490	0.316	0.408
aforesaid	okushiwo ngaphambili	0.531	0.358	0.478
afraid	esaba	0.010	0.775	0.245
afresh	kabusha	0.643	0.521	0.480
african	i-african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	emva kokufa	0.571	0.567	0.568
aftermath	ngemuva	0.312	0.449	0.444
afternoon	ntambama	0.533	0.388	0.339
aftershave	ngemuva kwalokho	0.406	0.384	0.415
aftertaste	i-aftertaste	0.354	0.362	0.455
afterthought	ngemuva kokulandela	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	i-agate	0.540	0.377	0.483
age	ubudala	0.561	0.226	0.498
aged	asebekhulile	0.135	0.365	0.236
agency	i-agency	0.460	0.296	0.583
agenda	ajenda	0.531	0.296	0.553
agent	i-agent	0.480	0.439	0.755
agglomeration	ukuhlukumeza	0.450	0.765	0.509
aggravate	kuthuthukisiwe	0.224	0.770	0.464
aggravated	ihlukumezekile	0.079	0.760	0.430
aggravates	kukhula	0.108	0.778	0.357
aggravating	ukuhlukumeza	0.257	0.794	0.640
aggravation	ukuhlukumezeka	0.071	0.784	0.613
aggregate	uhlanganiso	0.730	0.378	0.556
aggregation	i-aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ukuhlukunyezwa	0.094	0.929	0.533
aggressive	ulaka	0.125	0.949	0.648
aggressively	ngokuhlukumeza	0.250	0.926	0.688
aggressiveness	ukuhlukumezeka	0.077	0.913	0.648
aggressor	u-aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ukhululekile	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	sishaye	0.800	0.657	0.775
agility	ukufaneleka	0.720	0.702	0.815
aging	ukuguga	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	wavutha	0.444	0.882	0.491
agitation	ukukhathazeka	0.240	0.931	0.447
aglow	ukuvutha	0.780	0.510	0.797
agnostic	i-agnostic	0.306	0.396	0.574
ago	edlule	0.317	0.280	0.404
agonizing	ibuhlungu	0.083	0.800	0.340
agony	ubuhlungu	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	vumelana	0.906	0.260	0.545
agreeable	uyavuma	0.906	0.500	0.696
agreed	kuvunyelwene	0.797	0.449	0.574
agreeing	uyavuma	0.854	0.480	0.557
agreement	isivumelwano	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ezolimo	0.686	0.321	0.473
agriculture	ezolimo	0.640	0.357	0.465
aground	phansi	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	phambili	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	usizo	0.796	0.491	0.541
aide	umsizi	0.724	0.342	0.434
aiding	ukusiza	0.643	0.533	0.569
aids	izinsiza	0.561	0.480	0.500
ail	konke	0.375	0.434	0.385
ailing	ukugula	0.094	0.518	0.153
ailment	ukugula	0.146	0.734	0.277
aim	umgomo	0.481	0.569	0.567
aimless	okungenhloso	0.150	0.267	0.183
air	umoya	0.708	0.163	0.427
airbag	i-airbag	0.510	0.402	0.433
airborne	ivela emoyeni	0.542	0.519	0.385
aircraft	izindiza	0.646	0.644	0.691
aircraft carrier	othwala izindiza	0.490	0.740	0.727
airfield	ibhanoyi	0.601	0.650	0.645
airhead	i-airhead	0.271	0.481	0.276
airlift	i-airlift	0.573	0.622	0.642
airline	izindiza	0.650	0.482	0.688
airliner	indiza	0.667	0.777	0.647
airlock	i-airlock	0.398	0.520	0.447
airman	umoya womoya	0.587	0.716	0.721
airplane	indiza	0.719	0.702	0.708
airport	sezindiza	0.729	0.684	0.682
airs	umoya	0.583	0.196	0.370
airship	i-airship	0.542	0.472	0.529
airspace	i-airspace	0.562	0.510	0.640
airspeed	emoyeni	0.583	0.780	0.544
airstrip	i-airstrip	0.550	0.690	0.649
airtight	kungenwe umoya	0.479	0.381	0.570
airway	ukuhamba emoyeni	0.638	0.585	0.482
aisle	Indawo yezinto	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	ngokufanayo	0.639	0.343	0.523
alabaster	i-alabaster	0.542	0.404	0.445
alarm	i-alamu	0.241	0.882	0.698
alarm clock	iwashi eline alamu	0.542	0.727	0.642
alarmed	eshaqile	0.188	0.822	0.492
alarming	eshaqisayo	0.204	0.890	0.585
alas	i-alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	i-albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	i-albhamu	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	utshwala	0.323	0.667	0.377
alcoholic	utshwala	0.153	0.688	0.361
alcoholism	utshwala	0.061	0.779	0.407
alcove	i-alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	uqaphile	0.479	0.820	0.648
alertness	ukuqapha	0.375	0.875	0.750
alerts	izaziso	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	i-algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	i-algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alien	0.410	0.615	0.491
alienate	hlukanisa	0.247	0.500	0.523
alienated	ohlukanisiwe	0.410	0.423	0.559
alienation	ukuhlukaniswa	0.378	0.530	0.462
alight	kuphelile	0.667	0.657	0.605
align	ukuvumelanisa	0.656	0.364	0.627
aligned	ihambisana	0.583	0.275	0.553
alignment	ukuqondanisa	0.643	0.412	0.683
alike	ngokufanayo	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	i-alimony	0.612	0.477	0.464
aliquot	i-aliquot	0.440	0.310	0.404
alive	ephila	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	londoloza	0.417	0.406	0.398
allegation	icala	0.578	0.578	0.608
allege	zithi	0.418	0.482	0.587
alleged	usolwa	0.365	0.522	0.520
allegiance	ukuthembeka	0.917	0.398	0.750
allegorical	ngephutha	0.517	0.558	0.598
allegory	i-allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	i-allergic	0.135	0.549	0.273
allergy	ukungezwani komzimba	0.296	0.606	0.389
alleviate	ukunciphisa	0.869	0.270	0.528
alleviation	ukunciphisa	0.735	0.200	0.491
alley	indawo	0.347	0.500	0.355
alleyway	emgwaqeni	0.357	0.471	0.382
alliance	ukusebenzisana	0.696	0.473	0.769
allied	ihlangene	0.714	0.245	0.642
alligator	i-alligator	0.354	0.704	0.645
allocate	ukwabiwa	0.673	0.462	0.672
allocation	isabelo	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	isabelo	0.600	0.390	0.640
allow	vumela	0.698	0.429	0.538
allowable	kuvunyelwe	0.698	0.500	0.561
allowance	isabelo	0.673	0.382	0.591
allowed	kuvunyelwe	0.730	0.360	0.655
alloy	i-alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ukukhishwa	0.804	0.585	0.686
alluring	ukuphoqa	0.837	0.745	0.843
allusion	ukukhuluma	0.440	0.308	0.462
alluvial	konke	0.323	0.490	0.491
ally	umlingani	0.792	0.320	0.688
almanac	i-almanac	0.688	0.190	0.412
almighty	unamandla onke	0.938	0.874	0.958
almond	i-almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	yedwa	0.333	0.167	0.216
alongside	eceleni	0.458	0.333	0.347
aloof	i-aloof	0.189	0.423	0.302
aloud	ngokuzwakalayo	0.458	0.713	0.750
alpha	i-alpha	0.708	0.340	0.755
alphabet	alfabhethi	0.562	0.204	0.672
alphabetical	i-alfabhethi	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	kakade	0.592	0.717	0.351
altar	i-altare	0.724	0.387	0.635
altar boy	umfana we-altare	0.434	0.206	0.350
alter	guqula	0.333	0.694	0.654
alteration	ukuguqulwa	0.167	0.798	0.609
altercation	ukuguqulwa	0.170	0.806	0.500
altered	iguquliwe	0.255	0.765	0.500
alternate	okunye	0.625	0.363	0.589
alternating	ukushintsha	0.480	0.494	0.542
alternative	okunye	0.628	0.373	0.631
altimeter	i-altimeter	0.615	0.510	0.580
altitude	ukuphakama	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	ngokuphelele	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	i-alumnus	0.633	0.368	0.422
alveolar	i-alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	ukuhlanganiswa	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	funa	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	mangaza	0.896	0.843	0.783
amazed	bamangala	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ukumangala	0.750	0.800	0.639
amazing	amazing	0.906	0.837	0.849
amazingly	ngokumangalisayo	0.918	0.765	0.920
ambassador	unxusa	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	i-ambient	0.625	0.360	0.582
ambiguity	ukungaboni kahle	0.164	0.460	0.370
ambiguous	okungaqondakali	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	izifiso	0.510	0.804	0.661
ambitious	ambitious	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	i-ambulensi	0.500	0.750	0.609
ambush	baqamekele	0.281	0.830	0.500
ameliorate	ukuvuselela	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	ungenakho	0.448	0.410	0.406
amend	ukuchibiyela	0.688	0.406	0.658
amendment	ukuchitshiyelwa	0.531	0.459	0.606
amends	ulungisa	0.640	0.366	0.517
amenity	ubuhle	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	unomusa	0.847	0.290	0.483
amicable	enokuthula	0.875	0.330	0.507
amid	phakathi	0.510	0.340	0.256
amidst	phakathi	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	izinhlamvu	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	ukuxolelwa	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	inani	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
