Word	Kannada-kn	Valence	Arousal	Dominance
ace	ಎಕ್ಕ	0.643	0.481	0.546
acetic	ಅಸಿಟಿಕ್	0.333	0.420	0.519
acetylene	ಅಸಿಟಲೀನ್	0.306	0.469	0.509
ache	ನೋವು	0.146	0.760	0.312
achieve	ಸಾಧಿಸು	0.816	0.545	0.843
achieved	ಸಾಧಿಸಿದೆ	0.896	0.519	0.775
achievement	ಸಾಧನೆ	0.896	0.808	0.759
aching	ನೋವುಂಟು ಮಾಡುವಿಕೆ	0.053	0.880	0.348
achy	ಅಚಿ	0.167	0.840	0.373
acid	ಆಮ್ಲ	0.265	0.642	0.566
acidity	ಆಮ್ಲತೆ	0.156	0.663	0.360
acknowledge	ಅಂಗೀಕರಿಸಿ	0.786	0.370	0.661
acknowledged	ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ	0.714	0.443	0.765
acknowledgement	ಸ್ವೀಕೃತಿ	0.819	0.539	0.830
acknowledgment	ಸ್ವೀಕೃತಿ	0.796	0.528	0.777
acme	ಆಕ್ಮೆ	0.408	0.435	0.375
acne	ಮೊಡವೆ	0.167	0.474	0.308
acorn	ಆಕ್ರಾನ್	0.448	0.198	0.192
acoustic	ಅಕೌಸ್ಟಿಕ್	0.542	0.462	0.536
acoustics	ಅಕೌಸ್ಟಿಕ್ಸ್	0.611	0.330	0.509
acquaint	ಪರಿಚಯ	0.646	0.491	0.639
acquaintance	ಪರಿಚಯ	0.656	0.290	0.670
acquainted	ಪರಿಚಯವಾಯಿತು	0.906	0.358	0.632
acquiescence	ಸ್ವಾಧೀನತೆ	0.542	0.480	0.554
acquire	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳಿ	0.833	0.468	0.700
acquiring	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು	0.735	0.510	0.817
acquisition	ಸ್ವಾಧೀನ	0.698	0.509	0.736
acquisitions	ಸ್ವಾಧೀನಗಳು	0.773	0.660	0.790
acquit	ತಪ್ಪಿಸು	0.583	0.571	0.611
acquittal	ಖುಲಾಸೆ	0.760	0.497	0.700
acre	ಎಕರೆ	0.583	0.387	0.423
acreage	ಎಕರೆ	0.741	0.450	0.528
acres	ಎಕರೆ	0.510	0.363	0.500
acrobat	ಅಕ್ರೋಬ್ಯಾಟ್	0.708	0.828	0.602
acrylic	ಅಕ್ರಿಲಿಕ್	0.582	0.279	0.420
act	ಕ್ರಿಯೆ	0.656	0.704	0.735
acting	ನಟನೆ	0.698	0.643	0.500
action	ಕ್ರಿಯೆ	0.760	0.898	0.802
action figure	ಆಕ್ಷನ್ ಫಿಗರ್	0.615	0.774	0.611
actionable	ಕ್ರಿಯಾತ್ಮಕ	0.673	0.702	0.613
activate	ಸಕ್ರಿಯಗೊಳಿಸಿ	0.764	0.650	0.806
activation	ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ	0.781	0.800	0.754
active	ಸಕ್ರಿಯವಾಗಿದೆ	0.847	0.730	0.731
activist	ಕಾರ್ಯಕರ್ತ	0.531	0.653	0.877
activity	ಚಟುವಟಿಕೆ	0.701	0.660	0.807
actor	ನಟ	0.653	0.561	0.629
actress	ನಟಿ	0.633	0.556	0.596
actual	ನಿಜವಾದ	0.729	0.400	0.716
actuality	ವಾಸ್ತವತೆ	0.750	0.464	0.600
actuary	ಕಾರ್ಯಾಚರಣೆ	0.510	0.404	0.491
acuity	ತೀಕ್ಷ್ಣತೆ	0.469	0.378	0.741
acumen	ಕುಶಾಗ್ರಮತಿ	0.564	0.660	0.679
acupuncture	ಅಕ್ಯುಪಂಕ್ಚರ್	0.531	0.324	0.549
acute	ತೀವ್ರ	0.427	0.652	0.534
acutely	ತೀವ್ರವಾಗಿ	0.417	0.543	0.491
ad	ಜಾಹೀರಾತು	0.521	0.705	0.558
adage	ನಿಷ್ಠೆ	0.517	0.415	0.566
adamant	ಅಚಲ	0.344	0.529	0.575
adapt	ಹೊಂದಿಕೊಳ್ಳಿ	0.740	0.355	0.551
adaptable	ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ	0.735	0.423	0.641
adaptation	ರೂಪಾಂತರ	0.663	0.365	0.609
add	ಸೇರಿಸಿ	0.728	0.490	0.554
added	ಸೇರಿಸಲಾಗಿದೆ	0.562	0.405	0.509
addendum	ಸೇರಿಸು	0.392	0.370	0.418
adder	ಆಡ್ಕರ್	0.388	0.461	0.588
addict	ವ್ಯಸನಿ	0.075	0.696	0.327
addicted	ಗೀಳು	0.156	0.712	0.483
addiction	ಚಟ	0.180	0.806	0.420
addictive	ಚಟ	0.302	0.683	0.472
addition	ಜೊತೆಗೆ	0.562	0.373	0.471
additional	ಹೆಚ್ಚುವರಿ	0.673	0.462	0.526
additive	ಸಂಯೋಜಕವಾಗಿ	0.561	0.633	0.691
address	ವಿಳಾಸ	0.650	0.327	0.567
addressee	ವಿಳಾಸಕಾರ	0.622	0.382	0.538
addresses	ವಿಳಾಸಗಳು	0.510	0.354	0.450
adept	ಪ್ರವೀಣ	0.594	0.539	0.789
adequacy	ಸಮರ್ಪಕ	0.615	0.435	0.702
adequate	ಸಾಕಷ್ಟು	0.854	0.264	0.705
adhere	ಅಂಟಿಕೊಳ್ಳಿ	0.633	0.339	0.554
adherence	ನಿಷ್ಠೆ	0.760	0.307	0.630
adherent	ಅನುಯಾಯಿ	0.561	0.385	0.555
adhering	ಅಂಟಿಕೊಂಡಿರುವುದು	0.612	0.561	0.537
adhesion	ಅಂಟಿಕೊಳ್ಳುವಿಕೆ	0.521	0.445	0.586
adhesive	ಅಂಟು	0.604	0.350	0.413
adieu	ಅಡಿಯು	0.250	0.471	0.342
adipose	ಅಡಿಪೋಸ್	0.333	0.350	0.391
adjacency	ಪಕ್ಕದ	0.365	0.417	0.375
adjacent	ಪಕ್ಕದ	0.645	0.276	0.536
adjective	ವಿಶೇಷಣ	0.570	0.316	0.569
adjoining	ಪಕ್ಕದ	0.520	0.400	0.393
adjourn	ಮುಂದೂಡು	0.385	0.456	0.475
adjournment	ಮುಂದೂಡಿಕೆ	0.438	0.510	0.370
adjudicate	ನಿರ್ಣಯಿಸು	0.559	0.520	0.683
adjudication	ತೀರ್ಮಾನ	0.551	0.462	0.691
adjunct	ಅನುಚಿತ	0.459	0.440	0.426
adjust	ಸರಿಹೊಂದಿಸು	0.647	0.327	0.638
adjuster	ಹೊಂದಾಣಿಕೆ	0.510	0.540	0.760
adjustment	ಹೊಂದಾಣಿಕೆ	0.590	0.520	0.661
adjuvant	ಸಹಾನುಭೂತಿ	0.510	0.500	0.456
admin	ನಿರ್ವಹಣೆ	0.688	0.420	0.854
administer	ನಿರ್ವಹಿಸು	0.635	0.425	0.860
administration	ಆಡಳಿತ	0.625	0.404	0.786
administrative	ಆಡಳಿತಾತ್ಮಕ	0.542	0.415	0.579
administrator	ನಿರ್ವಾಹಕರು	0.538	0.480	0.902
admirable	ಪ್ರಶಂಸನೀಯ	0.929	0.600	0.870
admiral	ಅಡ್ಮಿರಲ್	0.844	0.490	0.847
admiralty	ಅಡ್ಮಿರಾಲ್ಟಿ	0.594	0.547	0.733
admiration	ಮೆಚ್ಚುಗೆ	0.969	0.583	0.726
admire	ಅಚ್ಚುಮೆಚ್ಚು	0.867	0.692	0.704
admired	ಮೆಚ್ಚುಗೆ	0.917	0.560	0.815
admirer	ಅಭಿಮಾನಿ	0.796	0.720	0.650
admiring	ಮೆಚ್ಚುಗೆ	0.867	0.578	0.629
admissibility	ಒಪ್ಪಿಕೊಳ್ಳುವಿಕೆ	0.802	0.580	0.602
admissible	ಒಪ್ಪಿಕೊಳ್ಳಬಲ್ಲದು	0.780	0.528	0.642
admission	ಪ್ರವೇಶ	0.802	0.415	0.732
admit	ಒಪ್ಪಿಕೊಳ್ಳಿ	0.538	0.423	0.667
admittance	ಪ್ರವೇಶ	0.690	0.451	0.598
admitted	ಒಪ್ಪಿಕೊಂಡರು	0.720	0.490	0.767
admitting	ಒಪ್ಪಿಕೊಳ್ಳುವುದು	0.620	0.500	0.546
admixture	ಮಿಶ್ರಣ	0.450	0.375	0.438
admonition	ಎಚ್ಚರಿಕೆ	0.357	0.606	0.455
ado	ಅಡೋ	0.520	0.423	0.385
adobe	ಅಡೋಬ್	0.500	0.319	0.328
adolescence	ಹದಿಹರೆಯದವರು	0.487	0.694	0.444
adolescent	ಹರೆಯದ	0.781	0.680	0.509
adopt	ಅಳವಡಿಸಿಕೊಳ್ಳಿ	0.694	0.612	0.701
adoption	ದತ್ತು	0.625	0.566	0.589
adoptive	ಅಳವಡಿಸಿಕೊಳ್ಳುವುದು	0.531	0.469	0.520
adorable	ಆರಾಧ್ಯ	0.969	0.519	0.457
adoration	ಆರಾಧನೆ	0.885	0.699	0.708
adore	ಪೂಜಿಸು	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	ಅಲಂಕರಿಸು	0.910	0.424	0.482
adornment	ಅಲಂಕರಿಸುವುದು	0.918	0.373	0.377
adrenalin	ಅಡ್ರಿನಾಲಿನ್	0.865	0.920	0.786
adrenaline	ಅಡ್ರಿನಾಲಿನ್	0.765	0.965	0.825
adrift	ಅಲೆಯುವ	0.398	0.486	0.230
adult	ವಯಸ್ಕ	0.815	0.491	0.787
adulterated	ಕಲಬೆರಕೆ	0.188	0.865	0.370
adulterer	ವ್ಯಭಿಚಾರಗಾರ	0.229	0.814	0.407
adultery	ವ್ಯಭಿಚಾರ	0.120	0.922	0.510
adulthood	ಪ್ರೌಢಾವಸ್ಥೆ	0.541	0.454	0.652
advance	ಮುನ್ನಡೆ	0.673	0.472	0.858
advanced	ಮುಂದುವರಿದಿದೆ	0.844	0.623	0.797
advancement	ಪ್ರಗತಿ	0.776	0.650	0.839
advancing	ಮುಂದುವರೆಯುತ್ತಿದೆ	0.929	0.608	0.812
advantage	ಪ್ರಯೋಜನ	0.917	0.548	0.859
advantageous	ಅನುಕೂಲಕರ	0.837	0.640	0.789
advent	ಆಗಮನ	0.665	0.560	0.627
adventure	ಸಾಹಸ	0.917	0.857	0.710
adventurer	ಸಾಹಸಿ	0.781	0.839	0.868
adventures	ಸಾಹಸಗಳು	0.812	0.764	0.749
adventurous	ಸಾಹಸಮಯ	0.969	0.898	0.722
adversary	ಎದುರಾಳಿ	0.349	0.777	0.457
adverse	ಪ್ರತಿಕೂಲ	0.323	0.610	0.385
adversity	ಪ್ರತಿಕೂಲತೆ	0.276	0.760	0.538
advertise	ಜಾಹೀರಾತು ಮಾಡಿ	0.500	0.529	0.580
advertisement	ಜಾಹೀರಾತು	0.600	0.566	0.539
advertising	ಜಾಹೀರಾತು	0.622	0.608	0.632
adverts	ಜಾಹೀರಾತುಗಳು	0.551	0.500	0.595
advice	ಸಲಹೆ	0.698	0.408	0.688
advisable	ಸಲಹೆ	0.867	0.480	0.510
advise	ಸಲಹೆ	0.760	0.393	0.705
advised	ಸಲಹೆ	0.823	0.330	0.509
advisement	ಸಲಹೆ	0.698	0.235	0.655
adviser	ಸಲಹೆಗಾರ	0.745	0.362	0.705
advisor	ಸಲಹೆಗಾರ	0.646	0.350	0.689
advisory	ಸಲಹಾ	0.656	0.429	0.633
advocacy	ಸಮರ್ಥನೆ	0.500	0.646	0.731
advocate	ವಕೀಲರು	0.551	0.530	0.818
aegis	ಆಜೀಸ್	0.490	0.439	0.462
aeration	ವಾತಾಯನ	0.550	0.500	0.433
aerial	ವೈಮಾನಿಕ	0.615	0.461	0.463
aerobics	ಏರೋಬಿಕ್ಸ್	0.708	0.771	0.627
aerodrome	ಏರೋಡ್ರೋಮ್	0.541	0.740	0.678
aerodynamic	ವಾಯುಬಲವಿಜ್ಞಾನ	0.561	0.724	0.728
aerodynamics	ವಾಯುಬಲವಿಜ್ಞಾನ	0.590	0.663	0.722
aeronautics	ಏರೋನಾಟಿಕ್ಸ್	0.551	0.633	0.688
aeroplane	ವಿಮಾನದ	0.714	0.642	0.644
aerospace	ಅಂತರಿಕ್ಷಯಾನ	0.643	0.520	0.779
aesthetic	ಸೌಂದರ್ಯದ	0.708	0.442	0.526
aesthetics	ಸೌಂದರ್ಯಶಾಸ್ತ್ರ	0.847	0.327	0.549
aetiology	ರಸಾಯನಶಾಸ್ತ್ರ	0.480	0.398	0.615
afar	ದೂರಕ್ಕೆ	0.396	0.373	0.358
affable	ಅನುಕೂಲಕರ	0.704	0.380	0.452
affair	ಸಂಬಂಧ	0.520	0.459	0.657
affect	ಪರಿಣಾಮ	0.458	0.569	0.578
affecting	ಬಾಧಿಸುವ	0.350	0.574	0.394
affection	ಪ್ರೀತಿ	0.898	0.559	0.696
affectionate	ಅಕ್ಕರೆಯ	0.949	0.422	0.550
affections	ಪ್ರೀತಿ	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	ಅಫಿಡವಿಟ್	0.469	0.584	0.526
affiliated	ಅಂಗಸಂಸ್ಥೆ	0.673	0.519	0.535
affiliation	ಅಂಗಸಂಸ್ಥೆ	0.615	0.594	0.500
affinity	ಆಕರ್ಷಣೆ	0.800	0.500	0.537
affirm	ದೃಢೀಕರಿಸಿ	0.745	0.509	0.731
affirmation	ದೃಢೀಕರಣ	0.750	0.500	0.689
affirmative	ಸಮರ್ಥನೀಯ	0.854	0.589	0.816
affirmatively	ದೃಢವಾಗಿ	0.908	0.500	0.811
affix	ಅಫಿಕ್ಸ್	0.438	0.335	0.411
afflict	ತೊಂದರೆ	0.302	0.555	0.293
afflicted	ಪೀಡಿತ	0.271	0.500	0.167
affliction	ದುಃಖ	0.294	0.635	0.392
affluence	ಸಂಪತ್ತು	0.663	0.618	0.722
affluent	ಶ್ರೀಮಂತ	0.756	0.388	0.477
afford	ಪಡೆಯಲು	0.571	0.580	0.575
affordable	ಕೈಗೆಟುಕುವ	0.840	0.398	0.493
affront	ಅಫ್ರಾಂಟ್	0.327	0.740	0.547
affronted	ಎದುರಾಳಿ	0.385	0.750	0.527
afield	ದೂರದಿಂದಲೇ	0.594	0.370	0.373
afire	ಬೆಂಕಿ	0.367	0.904	0.675
afloat	ತೇಲುತ್ತದೆ	0.602	0.427	0.444
afore	ಮೊದಲು	0.500	0.337	0.382
aforementioned	ಮೇಲೆ ತಿಳಿಸಿದ	0.490	0.316	0.408
aforesaid	ಅಫೋರ್ಸೈಡ್	0.531	0.358	0.478
afraid	ಭಯ	0.010	0.775	0.245
afresh	ಹೊಸದಾಗಿ	0.643	0.521	0.480
african	ಆಫ್ರಿಕನ್	0.490	0.423	0.555
aft	ಹಿಂದೆ	0.480	0.417	0.518
afterlife	ಮರಣಾನಂತರದ ಜೀವನ	0.571	0.567	0.568
aftermath	ಪರಿಣಾಮ	0.312	0.449	0.444
afternoon	ಮಧ್ಯಾಹ್ನ	0.533	0.388	0.339
aftershave	ಆಫ್ಟರ್ ಷೇವ್	0.406	0.384	0.415
aftertaste	ನಂತರದ ರುಚಿ	0.354	0.362	0.455
afterthought	ನಂತರದ ಭಾವನೆ	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	ಅಗಾಪೆ	0.612	0.529	0.464
agate	ಅಗೇಟ್	0.540	0.377	0.483
age	ವಯಸ್ಸು	0.561	0.226	0.498
aged	ವಯಸ್ಸಾದವರು	0.135	0.365	0.236
agency	ಸಂಸ್ಥೆ	0.460	0.296	0.583
agenda	ಕಾರ್ಯಸೂಚಿ	0.531	0.296	0.553
agent	ದಳ್ಳಾಲಿ	0.480	0.439	0.755
agglomeration	ಒಟ್ಟುಗೂಡುವಿಕೆ	0.450	0.765	0.509
aggravate	ಉಲ್ಬಣಗೊಳಿಸು	0.224	0.770	0.464
aggravated	ಉಲ್ಬಣಗೊಂಡಿದೆ	0.079	0.760	0.430
aggravates	ಉಲ್ಬಣಗೊಳ್ಳುತ್ತದೆ	0.108	0.778	0.357
aggravating	ಉಲ್ಬಣಗೊಳಿಸುತ್ತದೆ	0.257	0.794	0.640
aggravation	ಉಲ್ಬಣಗೊಳ್ಳುವಿಕೆ	0.071	0.784	0.613
aggregate	ಒಟ್ಟು	0.730	0.378	0.556
aggregation	ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ಆಕ್ರಮಣಶೀಲತೆ	0.094	0.929	0.533
aggressive	ಆಕ್ರಮಣಕಾರಿ	0.125	0.949	0.648
aggressively	ಆಕ್ರಮಣಕಾರಿಯಾಗಿ	0.250	0.926	0.688
aggressiveness	ಆಕ್ರಮಣಶೀಲತೆ	0.077	0.913	0.648
aggressor	ಆಕ್ರಮಣಕಾರ	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ಅಗಾಸ್ಟ್	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ಅಗೈಲ್	0.800	0.657	0.775
agility	ಚುರುಕುತನ	0.720	0.702	0.815
aging	ವಯಸ್ಸಾದ	0.214	0.255	0.284
agitate	ಚಳವಳಿ	0.300	0.796	0.593
agitated	ಕ್ಷೋಭೆಗೊಳಗಾದ	0.444	0.882	0.491
agitation	ಚಳವಳಿ	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	ಅಗ್ನೊಸ್ಟಿಕ್	0.306	0.396	0.574
ago	ಹಿಂದೆ	0.317	0.280	0.404
agonizing	ಆಘಾತಕಾರಿ	0.083	0.800	0.340
agony	ಸಂಕಟ	0.083	0.775	0.393
agoraphobia	ಅಗೋರಾಫೋಬಿಯಾ	0.127	0.712	0.438
agree	ಒಪ್ಪುತ್ತೇನೆ	0.906	0.260	0.545
agreeable	ಸಮ್ಮತ	0.906	0.500	0.696
agreed	ಒಪ್ಪಿಗೆ	0.797	0.449	0.574
agreeing	ಒಪ್ಪುತ್ತೀರಿ	0.854	0.480	0.557
agreement	ಒಪ್ಪಂದ	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ಕೃಷಿ	0.686	0.321	0.473
