Word	Tagalog (Filipino)-tl	Valence	Arousal	Dominance
adhesion	pagdirikit	0.521	0.445	0.586
adhesive	malagkit	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	katabi	0.645	0.276	0.536
adjective	pang-uri	0.570	0.316	0.569
adjoining	magkakaugnay	0.520	0.400	0.393
adjourn	magpatuloy	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	magpatibay	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	ayusin	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	pagsasaayos	0.590	0.520	0.661
adjuvant	katulong	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	mangasiwa	0.635	0.425	0.860
administration	pangangasiwa	0.625	0.404	0.786
administrative	administratibo	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	kahanga-hanga	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	paghanga	0.969	0.583	0.726
admire	humanga	0.867	0.692	0.704
admired	hinahangaan	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	hinahangaan	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	admissible	0.780	0.528	0.642
admission	pagpasok	0.802	0.415	0.732
admit	umamin	0.538	0.423	0.667
admittance	pagpasok	0.690	0.451	0.598
admitted	inamin	0.720	0.490	0.767
admitting	admitting	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	paalala	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	pagbibinata	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	magpatibay	0.694	0.612	0.701
adoption	pag-aampon	0.625	0.566	0.589
adoptive	adoptive	0.531	0.469	0.520
adorable	kaibig-ibig	0.969	0.519	0.457
adoration	pagsamba	0.885	0.699	0.708
adore	sambahin	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	magpaganda	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	lumayo ka	0.398	0.486	0.230
adult	matanda	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	pangangalunya	0.120	0.922	0.510
adulthood	adulthood	0.541	0.454	0.652
advance	isulong	0.673	0.472	0.858
advanced	advanced	0.844	0.623	0.797
advancement	pagsulong	0.776	0.650	0.839
advancing	pagsulong	0.929	0.608	0.812
advantage	kalamangan	0.917	0.548	0.859
advantageous	kapaki-pakinabang	0.837	0.640	0.789
advent	pagdating	0.665	0.560	0.627
adventure	pakikipagsapalaran	0.917	0.857	0.710
adventurer	adventurer	0.781	0.839	0.868
adventures	mga pakikipagsapalaran	0.812	0.764	0.749
adventurous	malakas ang loob	0.969	0.898	0.722
adversary	kalaban	0.349	0.777	0.457
adverse	salungat	0.323	0.610	0.385
adversity	kahirapan	0.276	0.760	0.538
advertise	mag-advertise	0.500	0.529	0.580
advertisement	advertisement	0.600	0.566	0.539
advertising	advertising	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	payo	0.698	0.408	0.688
advisable	maipapayo	0.867	0.480	0.510
advise	payuhan	0.760	0.393	0.705
advised	pinapayuhan	0.823	0.330	0.509
advisement	pagpapayo	0.698	0.235	0.655
adviser	tagapayo	0.745	0.362	0.705
advisor	tagapayo	0.646	0.350	0.689
advisory	pagpapayo	0.656	0.429	0.633
advocacy	pagtataguyod	0.500	0.646	0.731
advocate	tagataguyod	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	eroplano	0.714	0.642	0.644
aerospace	Aerospace	0.643	0.520	0.779
aesthetic	Aesthetic	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	sa malayo	0.396	0.373	0.358
affable	kaaya-aya	0.704	0.380	0.452
affair	kapakanan	0.520	0.459	0.657
affect	makakaapekto	0.458	0.569	0.578
affecting	nakakaapekto	0.350	0.574	0.394
affection	pagmamahal	0.898	0.559	0.696
affectionate	magiliw	0.949	0.422	0.550
affections	pagmamahal	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	kaakibat	0.673	0.519	0.535
affiliation	pagkakaugnay	0.615	0.594	0.500
affinity	pagkakahawig	0.800	0.500	0.537
affirm	magpatibay	0.745	0.509	0.731
affirmation	pagsang-ayon	0.750	0.500	0.689
affirmative	apirmatibo	0.854	0.589	0.816
affirmatively	affirmatively	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	pasakit	0.302	0.555	0.293
afflicted	afflicted	0.271	0.500	0.167
affliction	sakit	0.294	0.635	0.392
affluence	kasaganaan	0.663	0.618	0.722
affluent	mayaman	0.756	0.388	0.477
afford	kayang bayaran	0.571	0.580	0.575
affordable	abot-kayang	0.840	0.398	0.493
affront	apront	0.327	0.740	0.547
affronted	apronted	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	apoy	0.367	0.904	0.675
afloat	nakalutang	0.602	0.427	0.444
afore	bago	0.500	0.337	0.382
aforementioned	aforementioned	0.490	0.316	0.408
aforesaid	nabanggit na	0.531	0.358	0.478
afraid	takot	0.010	0.775	0.245
afresh	muli	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	pagkatapos ng buhay	0.571	0.567	0.568
aftermath	resulta	0.312	0.449	0.444
afternoon	hapon	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	pagkatapos ng luto ng pagkain	0.354	0.362	0.455
afterthought	nahuling isip	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agata	0.540	0.377	0.483
age	edad	0.561	0.226	0.498
aged	may edad na	0.135	0.365	0.236
agency	ahensiya	0.460	0.296	0.583
agenda	adyenda	0.531	0.296	0.553
agent	ahente	0.480	0.439	0.755
agglomeration	pangangalap	0.450	0.765	0.509
aggravate	magpalubha	0.224	0.770	0.464
aggravated	pinalubha	0.079	0.760	0.430
aggravates	nagpapalubha	0.108	0.778	0.357
aggravating	nagpapalubha	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	pinagsama-samang	0.730	0.378	0.556
aggregation	pagsasama-sama	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	pagsalakay	0.094	0.929	0.533
aggressive	agresibo	0.125	0.949	0.648
aggressively	agresibo	0.250	0.926	0.688
aggressiveness	agresibo	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	matinding galit	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	maliksi	0.800	0.657	0.775
agility	liksi	0.720	0.702	0.815
aging	pag-iipon	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	nabalisa	0.444	0.882	0.491
agitation	alitan	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostiko	0.306	0.396	0.574
ago	nakaraan	0.317	0.280	0.404
agonizing	naghihirap	0.083	0.800	0.340
agony	paghihirap	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	sumang-ayon	0.906	0.260	0.545
agreeable	kaaya-aya	0.906	0.500	0.696
agreed	sumang-ayon	0.797	0.449	0.574
agreeing	sumang-ayon	0.854	0.480	0.557
agreement	kasunduan	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrikultura	0.686	0.321	0.473
agriculture	agrikultura	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	maaga	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	tulong	0.796	0.491	0.541
aide	pangalawa	0.724	0.342	0.434
aiding	aiding	0.643	0.533	0.569
aids	tulong	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	may sakit	0.094	0.518	0.153
ailment	sakit	0.146	0.734	0.277
aim	pakay	0.481	0.569	0.567
aimless	walang patutunguhan	0.150	0.267	0.183
air	hangin	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	nasa eruplano	0.542	0.519	0.385
aircraft	aircraft	0.646	0.644	0.691
aircraft carrier	sasakyang panghimpapawid	0.490	0.740	0.727
airfield	paliparan	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	airline	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	eroplano	0.719	0.702	0.708
airport	paliparan	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	panghimpapawid	0.638	0.585	0.482
aisle	pasilyo	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	katulad	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarma	0.241	0.882	0.698
alarm clock	alarm clock	0.542	0.727	0.642
alarmed	Nababahala	0.188	0.822	0.492
alarming	may alarma	0.204	0.890	0.585
alas	Naku	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	alak	0.323	0.667	0.377
alcoholic	alkohol	0.153	0.688	0.361
alcoholism	alkoholismo	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alerto	0.479	0.820	0.648
alertness	alerto	0.375	0.875	0.750
alerts	mga alerto	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	dayuhan	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienated	0.410	0.423	0.559
alienation	alienation	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	nakahanay	0.583	0.275	0.553
alignment	pagkakahanay	0.643	0.412	0.683
alike	magkatulad	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	buhay	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	paikliin	0.417	0.406	0.398
allegation	paratang	0.578	0.578	0.608
allege	magsasabi	0.418	0.482	0.587
alleged	pinaghihinalaang	0.365	0.522	0.520
allegiance	katapatan	0.917	0.398	0.750
allegorical	alegoriko	0.517	0.558	0.598
allegory	alegorya	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergic	0.135	0.549	0.273
allergy	allergy	0.296	0.606	0.389
alleviate	magpakalma	0.869	0.270	0.528
alleviation	pagpapagaan	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alyansa	0.696	0.473	0.769
allied	allied	0.714	0.245	0.642
alligator	buaya	0.354	0.704	0.645
allocate	maglaan	0.673	0.462	0.672
allocation	alokasyon	0.604	0.388	0.679
allot	maglaan	0.622	0.481	0.616
allotment	pamamahagi	0.600	0.390	0.640
allow	payagan	0.698	0.429	0.538
allowable	pinapahintulutan	0.698	0.500	0.561
allowance	allowance	0.673	0.382	0.591
allowed	pinapayagan	0.730	0.360	0.655
alloy	haluang metal	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	gayahin	0.804	0.585	0.686
alluring	kaakit-akit	0.837	0.745	0.843
allusion	alusyon	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	kapanalig	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	makapangyarihan	0.938	0.874	0.958
almond	pili	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	nag-iisa	0.333	0.167	0.216
alongside	sa tabi	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	malakas	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alpabeto	0.562	0.204	0.672
alphabetical	alpabetikong	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	altar boy	0.434	0.206	0.350
alter	baguhin	0.333	0.694	0.654
alteration	pagbabago	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	binago	0.255	0.765	0.500
alternate	kahalili	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	alternatibong	0.628	0.373	0.631
altimeter	altimetro	0.615	0.510	0.580
altitude	altitude	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	kabuuan	0.833	0.324	0.644
aluminum	aluminyo	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	pagsasama-sama	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	magtipon	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	humanga	0.896	0.843	0.783
amazed	nagtaka nang labis	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	paghanga	0.750	0.800	0.639
amazing	kahanga-hangang	0.906	0.837	0.849
amazingly	amazingly	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	kapaligiran	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	kalabuan	0.164	0.460	0.370
ambiguous	hindi siguradong	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambisyon	0.510	0.804	0.661
ambitious	ambisyoso	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulansya	0.500	0.750	0.609
ambush	ambus	0.281	0.830	0.500
ameliorate	magpapanatili	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	baguhin	0.688	0.406	0.658
amendment	susog	0.531	0.459	0.606
amends	nagbabago	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	amatista	0.622	0.406	0.517
amiable	mabait	0.847	0.290	0.483
amicable	magaling	0.875	0.330	0.507
amid	sa gitna	0.510	0.340	0.256
amidst	sa gitna	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munisyon	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	bala	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	walang hugis	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	halaga	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	ampiteatro	0.653	0.480	0.545
ample	sapat na	0.744	0.349	0.719
amplification	paglaki	0.690	0.677	0.810
amplify	palakasin	0.677	0.735	0.827
amplitude	malawak	0.694	0.439	0.692
amply	masagana	0.781	0.431	0.766
amputate	magputol	0.092	0.660	0.509
amputation	pagputol	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	magpatawa	0.812	0.684	0.664
amused	nilibang	0.942	0.847	0.596
amusement	libangan	0.929	0.837	0.803
amusing	nakakatawa	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	anestesya	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	kahalintulad	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	pagkakatulad	0.510	0.367	0.509
analysis	pagsusuri	0.729	0.448	0.705
analyst	analyst	0.604	0.415	0.755
analytic	analytic	0.665	0.521	0.634
analytical	analytical	0.625	0.324	0.800
analyze	pag-aralan	0.667	0.462	0.710
