Word	Azeerbaijani-az	Valence	Arousal	Dominance
adequacy	adekvatlıq	0.615	0.435	0.702
adequate	adekvat	0.854	0.264	0.705
adhere	riayət edin	0.633	0.339	0.554
adherence	uyğunluq	0.760	0.307	0.630
adherent	bağlıdır	0.561	0.385	0.555
adhering	sadiqdir	0.612	0.561	0.537
adhesion	yapışma	0.521	0.445	0.586
adhesive	yapışan	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipoz	0.333	0.350	0.391
adjacency	bitişiklik	0.365	0.417	0.375
adjacent	bitişik	0.645	0.276	0.536
adjective	sifət	0.570	0.316	0.569
adjoining	bitişik	0.520	0.400	0.393
adjourn	gecikmə	0.385	0.456	0.475
adjournment	təxirə salınma	0.438	0.510	0.370
adjudicate	qərar verin	0.559	0.520	0.683
adjudication	məhkəmə qərarı	0.551	0.462	0.691
adjunct	əlavə	0.459	0.440	0.426
adjust	tənzimləyin	0.647	0.327	0.638
adjuster	tənzimləyici	0.510	0.540	0.760
adjustment	tənzimləmə	0.590	0.520	0.661
adjuvant	adjuvan	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	idarə et	0.635	0.425	0.860
administration	administrasiya	0.625	0.404	0.786
administrative	inzibati	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	təəccüblü	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiral	0.594	0.547	0.733
admiration	heyranlıq	0.969	0.583	0.726
admire	heyran	0.867	0.692	0.704
admired	heyran qaldı	0.917	0.560	0.815
admirer	pərəstişkar	0.796	0.720	0.650
admiring	heyranedici	0.867	0.578	0.629
admissibility	qəbuledilebilirlik	0.802	0.580	0.602
admissible	qəbul edilə bilən	0.780	0.528	0.642
admission	qəbul	0.802	0.415	0.732
admit	etiraf etmək	0.538	0.423	0.667
admittance	giriş hüququ	0.690	0.451	0.598
admitted	etiraf etdi	0.720	0.490	0.767
admitting	qəbul etmə	0.620	0.500	0.546
admixture	qarışıqlıq	0.450	0.375	0.438
admonition	xəbərdarlıq	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	yeniyetmələr	0.487	0.694	0.444
adolescent	ergen	0.781	0.680	0.509
adopt	qəbul edir	0.694	0.612	0.701
adoption	qəbul edilməsi	0.625	0.566	0.589
adoptive	qəbul edən	0.531	0.469	0.520
adorable	sevimli	0.969	0.519	0.457
adoration	sədaqət	0.885	0.699	0.708
adore	həsrət edin	0.854	0.438	0.657
adoring	həsrət	0.885	0.620	0.717
adorn	bəzəkli	0.910	0.424	0.482
adornment	bəzək	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	böyüklər	0.815	0.491	0.787
adulterated	ittiham etdi	0.188	0.865	0.370
adulterer	zinakar	0.229	0.814	0.407
adultery	zina	0.120	0.922	0.510
adulthood	yetkinlik	0.541	0.454	0.652
advance	avans	0.673	0.472	0.858
advanced	inkişaf etmiş	0.844	0.623	0.797
advancement	irəliləmə	0.776	0.650	0.839
advancing	inkişaf edir	0.929	0.608	0.812
advantage	üstünlük	0.917	0.548	0.859
advantageous	üstünlüklü	0.837	0.640	0.789
advent	gəlir	0.665	0.560	0.627
adventure	macəra	0.917	0.857	0.710
adventurer	macəraçı	0.781	0.839	0.868
adventures	sərgüzəştləri	0.812	0.764	0.749
adventurous	macəralı	0.969	0.898	0.722
adversary	düşmən	0.349	0.777	0.457
adverse	mənfi	0.323	0.610	0.385
adversity	zəlzələ	0.276	0.760	0.538
advertise	reklam edin	0.500	0.529	0.580
advertisement	reklam	0.600	0.566	0.539
advertising	reklam	0.622	0.608	0.632
adverts	reklamlar	0.551	0.500	0.595
advice	məsləhətdir	0.698	0.408	0.688
advisable	məsləhətdir	0.867	0.480	0.510
advise	məsləhətləşin	0.760	0.393	0.705
advised	tövsiyə etdi	0.823	0.330	0.509
advisement	məsləhətdir	0.698	0.235	0.655
adviser	məsləhətçi	0.745	0.362	0.705
advisor	məsləhətçi	0.646	0.350	0.689
advisory	məsləhətdir	0.656	0.429	0.633
advocacy	savadlılıq	0.500	0.646	0.731
advocate	müdafiəçi	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	havalandırma	0.550	0.500	0.433
aerial	hava	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	hava limanı	0.541	0.740	0.678
aerodynamic	aerodinamik	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronavtika	0.551	0.633	0.688
aeroplane	təyyarə	0.714	0.642	0.644
aerospace	aerokosmik	0.643	0.520	0.779
aesthetic	estetik	0.708	0.442	0.526
aesthetics	estetikası	0.847	0.327	0.549
aetiology	aetiologiya	0.480	0.398	0.615
afar	uzaqdan	0.396	0.373	0.358
affable	xoşagəlməz	0.704	0.380	0.452
affair	işi	0.520	0.459	0.657
affect	təsir	0.458	0.569	0.578
affecting	təsir edir	0.350	0.574	0.394
affection	sevgi	0.898	0.559	0.696
affectionate	şəfqətli	0.949	0.422	0.550
affections	sevgilər	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	bağlıdır	0.673	0.519	0.535
affiliation	mənsubiyyət	0.615	0.594	0.500
affinity	qohumluq	0.800	0.500	0.537
affirm	təsdiq et	0.745	0.509	0.731
affirmation	təsdiqləmə	0.750	0.500	0.689
affirmative	müsbətdir	0.854	0.589	0.816
affirmatively	əlbəttə	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	bədbəxtlik	0.302	0.555	0.293
afflicted	əziyyətli	0.271	0.500	0.167
affliction	zülm	0.294	0.635	0.392
affluence	zənginlik	0.663	0.618	0.722
affluent	zəngin	0.756	0.388	0.477
afford	ödəyirəm	0.571	0.580	0.575
affordable	əlverişli	0.840	0.398	0.493
affront	təhqir edir	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	yanğın	0.367	0.904	0.675
afloat	dənizdə	0.602	0.427	0.444
afore	əvvəllər	0.500	0.337	0.382
aforementioned	yuxarıda qeyd etdilər	0.490	0.316	0.408
aforesaid	yuxarıda qeyd olunmuşdur	0.531	0.358	0.478
afraid	qorxuram	0.010	0.775	0.245
afresh	yenə	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	sonra həyat	0.571	0.567	0.568
aftermath	sonra	0.312	0.449	0.444
afternoon	günortadan sonra	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	sonralar	0.354	0.362	0.455
afterthought	Sonradan	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	yaşı	0.561	0.226	0.498
aged	yaşlılar	0.135	0.365	0.236
agency	agentliyi	0.460	0.296	0.583
agenda	gündəm	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aqlomerasiya	0.450	0.765	0.509
aggravate	ağırlaşdıracaq	0.224	0.770	0.464
aggravated	ağırlaşdı	0.079	0.760	0.430
aggravates	ağırlaşır	0.108	0.778	0.357
aggravating	ağırlaşdıran	0.257	0.794	0.640
aggravation	ağırlaşması	0.071	0.784	0.613
aggregate	məcmu	0.730	0.378	0.556
aggregation	birləşmə	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	təcavüzkarlıq	0.094	0.929	0.533
aggressive	təcavüzkar	0.125	0.949	0.648
aggressively	aqressivdir	0.250	0.926	0.688
aggressiveness	təcavüzkarlıq	0.077	0.913	0.648
aggressor	təcavüzkar	0.146	0.948	0.823
agh	ağ	0.260	0.500	0.400
aghast	dəhşət	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	çevik	0.800	0.657	0.775
agility	çeviklik	0.720	0.702	0.815
aging	yaşlanma	0.214	0.255	0.284
agitate	təşviq edir	0.300	0.796	0.593
agitated	həyəcanlı	0.444	0.882	0.491
agitation	təşviqat	0.240	0.931	0.447
aglow	həvəs	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	əvvəllər	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	aclıq	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	razılaşmaq	0.906	0.260	0.545
agreeable	xoşagəlməz	0.906	0.500	0.696
agreed	razılaşdı	0.797	0.449	0.574
agreeing	razılaşdı	0.854	0.480	0.557
agreement	razılaşma	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	kənd təsərrüfatı	0.686	0.321	0.473
agriculture	Kənd təsərrüfatı	0.640	0.357	0.465
aground	quruya	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	Öncə	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	yardım	0.796	0.491	0.541
aide	köməkçi	0.724	0.342	0.434
aiding	kömək edir	0.643	0.533	0.569
aids	alətlər	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	xəstəlik	0.094	0.518	0.153
ailment	xəstəlik	0.146	0.734	0.277
aim	məqsədi	0.481	0.569	0.567
aimless	məqsədsiz	0.150	0.267	0.183
air	hava	0.708	0.163	0.427
airbag	hava yastığı	0.510	0.402	0.433
airborne	havadan	0.542	0.519	0.385
aircraft	təyyarə	0.646	0.644	0.691
aircraft carrier	təyyarə gəmisi	0.490	0.740	0.727
airfield	hava limanı	0.601	0.650	0.645
airhead	hava kəməri	0.271	0.481	0.276
airlift	hava təyyarəsi	0.573	0.622	0.642
airline	aviaşirkət	0.650	0.482	0.688
airliner	təyyarəsi	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	aviaşirkəti	0.587	0.716	0.721
airplane	təyyarə	0.719	0.702	0.708
airport	hava limanı	0.729	0.684	0.682
airs	havalar	0.583	0.196	0.370
airship	dirijorluq	0.542	0.472	0.529
airspace	hava sahəsi	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	havada	0.550	0.690	0.649
airtight	hava sızdırmazlığı	0.479	0.381	0.570
airway	hava yolu	0.638	0.585	0.482
aisle	koridorda	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	yaxın	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	həyəcan	0.241	0.882	0.698
alarm clock	Zəngli saat	0.542	0.727	0.642
alarmed	həyəcanlandı	0.188	0.822	0.492
alarming	həyəcan verici	0.204	0.890	0.585
alas	Əfsuslar	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albom	0.635	0.349	0.453
alchemy	simya	0.541	0.583	0.693
alcohol	spirt	0.323	0.667	0.377
alcoholic	spirtli	0.153	0.688	0.361
alcoholism	alkoqolizm	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	xəbərdarlıq	0.479	0.820	0.648
alertness	həssaslıq	0.375	0.875	0.750
alerts	siqnallar	0.337	0.804	0.673
alfalfa	yonca	0.546	0.250	0.311
algebra	cəbr	0.440	0.340	0.565
algebraic	cəbr	0.531	0.412	0.441
algorithm	alqoritmi	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	yad	0.410	0.615	0.491
alienate	yabancılaşmaq	0.247	0.500	0.523
alienated	yabancılaşmışdır	0.410	0.423	0.559
alienation	yabancılaşma	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	hündürlüyü	0.583	0.275	0.553
alignment	hizalanma	0.643	0.412	0.683
alike	eyni	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	aliment	0.612	0.477	0.464
aliquot	alikot	0.440	0.310	0.404
alive	diri	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloidlər	0.433	0.562	0.402
allay	Allay	0.417	0.406	0.398
allegation	iddiası	0.578	0.578	0.608
allege	iddia	0.418	0.482	0.587
alleged	iddia etdi	0.365	0.522	0.520
allegiance	sədaqət	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergik	0.135	0.549	0.273
allergy	allergiya	0.296	0.606	0.389
alleviate	yüngülləşdirmək	0.869	0.270	0.528
alleviation	yüngülləşdirmə	0.735	0.200	0.491
alley	xiyaban	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	ittifaq	0.696	0.473	0.769
allied	müttəfiq	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	ayırmaq	0.673	0.462	0.672
allocation	ayırma	0.604	0.388	0.679
allot	ayırın	0.622	0.481	0.616
allotment	ayırma	0.600	0.390	0.640
allow	icazə verin	0.698	0.429	0.538
allowable	icazə verilə bilər	0.698	0.500	0.561
allowance	müavinət	0.673	0.382	0.591
allowed	icazə verildi	0.730	0.360	0.655
alloy	ərinti	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	cazibə	0.804	0.585	0.686
alluring	cəlbedici	0.837	0.745	0.843
allusion	alqışlar	0.440	0.308	0.462
alluvial	allüvial	0.323	0.490	0.491
ally	müttəfiq	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	qüdrətli	0.938	0.874	0.958
almond	badam	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	tək başına	0.333	0.167	0.216
alongside	yanaşı	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	səsləndi	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	əlifba	0.562	0.204	0.672
alphabetical	əlifba sırası	0.537	0.296	0.535
alpine	alpin	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	qurbangah	0.724	0.387	0.635
altar boy	altar oğlanı	0.434	0.206	0.350
alter	dəyişdirmək	0.333	0.694	0.654
alteration	dəyişiklik	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	dəyişdirildi	0.255	0.765	0.500
alternate	alternativ	0.625	0.363	0.589
alternating	alternativ	0.480	0.494	0.542
alternative	alternativ	0.628	0.373	0.631
altimeter	altimetre	0.615	0.510	0.580
altitude	hündürlük	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	tamamilə	0.833	0.324	0.644
aluminum	alüminium	0.449	0.280	0.434
alumnus	məzunu	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	birləşmə	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	həvəskar	0.469	0.500	0.409
amaze	təəccübləndirmək	0.896	0.843	0.783
amazed	təəccübləndi	0.796	0.779	0.533
amazedness	heyranlıq	0.827	0.872	0.510
amazement	təəccübləndim	0.750	0.800	0.639
amazing	inanılmaz	0.906	0.837	0.849
amazingly	qəribədir	0.918	0.765	0.920
ambassador	səfir	0.651	0.529	0.917
amber	kəhrəba	0.635	0.308	0.369
ambience	mühit	0.735	0.356	0.426
ambient	mühit	0.625	0.360	0.582
ambiguity	qeyri-müəyyənlik	0.164	0.460	0.370
ambiguous	qeyri-müəyyən	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	həvəs	0.510	0.804	0.661
ambitious	iddialı	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	pusqu	0.281	0.830	0.500
ameliorate	yaxşılaşdırmaq	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	uyğun ola bilər	0.448	0.410	0.406
amend	dəyişdirin	0.688	0.406	0.658
amendment	düzəliş	0.531	0.459	0.606
amends	düzəldir	0.640	0.366	0.517
amenity	rahatlıq	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	sevindirici	0.847	0.290	0.483
amicable	dostluq	0.875	0.330	0.507
amid	arasında	0.510	0.340	0.256
amidst	ortada	0.480	0.330	0.316
amino	amin	0.551	0.402	0.433
ammo	amma	0.323	0.765	0.621
ammonia	ammonyak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	müharibə	0.338	0.635	0.667
amnesia	amneziya	0.296	0.330	0.308
amnesty	amnistiya	0.551	0.451	0.814
amorous	hörmətli	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortizasiya	0.592	0.491	0.522
amount	məbləğ	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetaminlər	0.133	0.667	0.526
amphibian	amfibi	0.427	0.357	0.474
amphibious	amfibi	0.479	0.346	0.445
amphitheater	amfiteatr	0.653	0.480	0.545
ample	geniş	0.744	0.349	0.719
amplification	amplifikasiya	0.690	0.677	0.810
amplify	gücləndirin	0.677	0.735	0.827
amplitude	amplituda	0.694	0.439	0.692
amply	kifayətdir	0.781	0.431	0.766
amputate	amputasiya	0.092	0.660	0.509
amputation	amputasiya	0.100	0.755	0.483
