Word	Hungarian-hu	Valence	Arousal	Dominance
adhering	tapadó	0.612	0.561	0.537
adhesion	tapadás	0.521	0.445	0.586
adhesive	ragasztóanyag	0.604	0.350	0.413
adieu	Isten veletek	0.250	0.471	0.342
adipose	kövér	0.333	0.350	0.391
adjacency	szomszédosság	0.365	0.417	0.375
adjacent	szomszédos	0.645	0.276	0.536
adjective	melléknév	0.570	0.316	0.569
adjoining	szomszédos	0.520	0.400	0.393
adjourn	berekeszt	0.385	0.456	0.475
adjournment	elnapolás	0.438	0.510	0.370
adjudicate	határozni	0.559	0.520	0.683
adjudication	megítélés	0.551	0.462	0.691
adjunct	adjunktus	0.459	0.440	0.426
adjust	beállítani	0.647	0.327	0.638
adjuster	beállító	0.510	0.540	0.760
adjustment	beállítás	0.590	0.520	0.661
adjuvant	adjuváns	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	beadására	0.635	0.425	0.860
administration	adminisztráció	0.625	0.404	0.786
administrative	közigazgatási	0.542	0.415	0.579
administrator	adminisztrátor	0.538	0.480	0.902
admirable	csodálatra méltó	0.929	0.600	0.870
admiral	admirális	0.844	0.490	0.847
admiralty	admiralitás	0.594	0.547	0.733
admiration	csodálat	0.969	0.583	0.726
admire	csodál	0.867	0.692	0.704
admired	csodált	0.917	0.560	0.815
admirer	csodáló	0.796	0.720	0.650
admiring	megcsodálta	0.867	0.578	0.629
admissibility	elfogadhatóság	0.802	0.580	0.602
admissible	elfogadható	0.780	0.528	0.642
admission	belépés	0.802	0.415	0.732
admit	beismerni	0.538	0.423	0.667
admittance	bejárás	0.690	0.451	0.598
admitted	felvételt nyer	0.720	0.490	0.767
admitting	bevallja	0.620	0.500	0.546
admixture	keverék	0.450	0.375	0.438
admonition	figyelmeztetés	0.357	0.606	0.455
ado	hűhó	0.520	0.423	0.385
adobe	vályogtégla	0.500	0.319	0.328
adolescence	serdülőkor	0.487	0.694	0.444
adolescent	serdülő	0.781	0.680	0.509
adopt	elfogad	0.694	0.612	0.701
adoption	örökbefogadás	0.625	0.566	0.589
adoptive	örökbe fogadott	0.531	0.469	0.520
adorable	imádni való	0.969	0.519	0.457
adoration	imádat	0.885	0.699	0.708
adore	rajong	0.854	0.438	0.657
adoring	imádó	0.885	0.620	0.717
adorn	szépít	0.910	0.424	0.482
adornment	díszítés	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	sodródva	0.398	0.486	0.230
adult	felnőtt	0.815	0.491	0.787
adulterated	hamisított	0.188	0.865	0.370
adulterer	házasságtörő férfi	0.229	0.814	0.407
adultery	házasságtörés	0.120	0.922	0.510
adulthood	felnőttkor	0.541	0.454	0.652
advance	előleg	0.673	0.472	0.858
advanced	fejlett	0.844	0.623	0.797
advancement	haladás	0.776	0.650	0.839
advancing	előrenyomuló	0.929	0.608	0.812
advantage	előny	0.917	0.548	0.859
advantageous	előnyös	0.837	0.640	0.789
advent	megérkezés	0.665	0.560	0.627
adventure	kaland	0.917	0.857	0.710
adventurer	kalandor	0.781	0.839	0.868
adventures	kalandok	0.812	0.764	0.749
adventurous	kalandos	0.969	0.898	0.722
adversary	ellenség	0.349	0.777	0.457
adverse	kedvezőtlen	0.323	0.610	0.385
adversity	balsors	0.276	0.760	0.538
advertise	hirdet	0.500	0.529	0.580
advertisement	hirdetés	0.600	0.566	0.539
advertising	hirdető	0.622	0.608	0.632
adverts	reklámok	0.551	0.500	0.595
advice	tanács	0.698	0.408	0.688
advisable	tanácsos	0.867	0.480	0.510
advise	tanácsot ad	0.760	0.393	0.705
advised	tanácsos	0.823	0.330	0.509
advisement	szaktanácsadás	0.698	0.235	0.655
adviser	tanácsadó	0.745	0.362	0.705
advisor	tanácsadó	0.646	0.350	0.689
advisory	tanácsadó	0.656	0.429	0.633
advocacy	pártfogás	0.500	0.646	0.731
advocate	ügyvéd	0.551	0.530	0.818
aegis	égisze	0.490	0.439	0.462
aeration	szellőztetés	0.550	0.500	0.433
aerial	légi	0.615	0.461	0.463
aerobics	aerobic	0.708	0.771	0.627
aerodrome	repülőtér	0.541	0.740	0.678
aerodynamic	aerodinamikai	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	repülés	0.551	0.633	0.688
aeroplane	repülőgép	0.714	0.642	0.644
aerospace	légtér	0.643	0.520	0.779
aesthetic	esztétika	0.708	0.442	0.526
aesthetics	esztétika	0.847	0.327	0.549
aetiology	etiológiájú	0.480	0.398	0.615
afar	messze	0.396	0.373	0.358
affable	barátságos	0.704	0.380	0.452
affair	ügy	0.520	0.459	0.657
affect	érint	0.458	0.569	0.578
affecting	érintő	0.350	0.574	0.394
affection	szeretet	0.898	0.559	0.696
affectionate	gyengéd	0.949	0.422	0.550
affections	bántalmak	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	eskü alatti írásbeli nyilatkozat	0.469	0.584	0.526
affiliated	kapcsolt	0.673	0.519	0.535
affiliation	hovatartozás	0.615	0.594	0.500
affinity	affinitás	0.800	0.500	0.537
affirm	megerősítik	0.745	0.509	0.731
affirmation	megerősítés	0.750	0.500	0.689
affirmative	igenlő	0.854	0.589	0.816
affirmatively	igenlő	0.908	0.500	0.811
affix	elhelyezi	0.438	0.335	0.411
afflict	kínoz	0.302	0.555	0.293
afflicted	sújtott	0.271	0.500	0.167
affliction	szenvedés	0.294	0.635	0.392
affluence	bőség	0.663	0.618	0.722
affluent	gazdag	0.756	0.388	0.477
afford	engedheti meg magának,	0.571	0.580	0.575
affordable	megfizethető	0.840	0.398	0.493
affront	sértés	0.327	0.740	0.547
affronted	sértett	0.385	0.750	0.527
afield	mezőn	0.594	0.370	0.373
afire	Tűz	0.367	0.904	0.675
afloat	felszínen	0.602	0.427	0.444
afore	előbb	0.500	0.337	0.382
aforementioned	fent említett	0.490	0.316	0.408
aforesaid	fent említett	0.531	0.358	0.478
afraid	félnek	0.010	0.775	0.245
afresh	újra	0.643	0.521	0.480
african	afrikai	0.490	0.423	0.555
aft	hátsó	0.480	0.417	0.518
afterlife	túlvilág	0.571	0.567	0.568
aftermath	utóhatás	0.312	0.449	0.444
afternoon	délután	0.533	0.388	0.339
aftershave	borotválkozás utáni arcszesz	0.406	0.384	0.415
aftertaste	utóíz	0.354	0.362	0.455
afterthought	utógondolat	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	bámuló	0.612	0.529	0.464
agate	achát	0.540	0.377	0.483
age	kor	0.561	0.226	0.498
aged	idős	0.135	0.365	0.236
agency	ügynökség	0.460	0.296	0.583
agenda	napirend	0.531	0.296	0.553
agent	ügynök	0.480	0.439	0.755
agglomeration	agglomeráció	0.450	0.765	0.509
aggravate	bosszant	0.224	0.770	0.464
aggravated	súlyosbít	0.079	0.760	0.430
aggravates	súlyosbítja	0.108	0.778	0.357
aggravating	súlyosbító	0.257	0.794	0.640
aggravation	súlyosbodás	0.071	0.784	0.613
aggregate	adalékanyag	0.730	0.378	0.556
aggregation	összesítés	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresszió	0.094	0.929	0.533
aggressive	agresszív	0.125	0.949	0.648
aggressively	agresszívan	0.250	0.926	0.688
aggressiveness	erőszakosság	0.077	0.913	0.648
aggressor	agresszor	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	megdöbbent	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agilis	0.800	0.657	0.775
agility	agilitás	0.720	0.702	0.815
aging	öregedés	0.214	0.255	0.284
agitate	megmozgat	0.300	0.796	0.593
agitated	izgatott	0.444	0.882	0.491
agitation	agitáció	0.240	0.931	0.447
aglow	sugárzó	0.780	0.510	0.797
agnostic	agnosztikus	0.306	0.396	0.574
ago	ezelőtt	0.317	0.280	0.404
agonizing	kínzó	0.083	0.800	0.340
agony	gyötrelem	0.083	0.775	0.393
agoraphobia	tériszony	0.127	0.712	0.438
agree	egyetért	0.906	0.260	0.545
agreeable	kellemes	0.906	0.500	0.696
agreed	egyetért	0.797	0.449	0.574
agreeing	megegyezés	0.854	0.480	0.557
agreement	megegyezés	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	mezőgazdasági	0.686	0.321	0.473
agriculture	mezőgazdaság	0.640	0.357	0.465
aground	zátonyon	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	előre	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoy	0.500	0.497	0.380
aid	támogatás	0.796	0.491	0.541
aide	segédtiszt	0.724	0.342	0.434
aiding	bűnrészesség	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	gyengélkedik	0.375	0.434	0.385
ailing	gyengélkedő	0.094	0.518	0.153
ailment	betegség	0.146	0.734	0.277
aim	cél	0.481	0.569	0.567
aimless	céltalan	0.150	0.267	0.183
air	levegő	0.708	0.163	0.427
airbag	légzsák	0.510	0.402	0.433
airborne	levegőben	0.542	0.519	0.385
aircraft	repülőgép	0.646	0.644	0.691
aircraft carrier	repülőgép hordozó	0.490	0.740	0.727
airfield	repülőtér	0.601	0.650	0.645
airhead	légi hídfő	0.271	0.481	0.276
airlift	légi szállítás	0.573	0.622	0.642
airline	légitársaság	0.650	0.482	0.688
airliner	utasszállító	0.667	0.777	0.647
airlock	légzsilipben	0.398	0.520	0.447
airman	pilóta	0.587	0.716	0.721
airplane	repülőgép	0.719	0.702	0.708
airport	repülőtér	0.729	0.684	0.682
airs	levegõ	0.583	0.196	0.370
airship	léghajó	0.542	0.472	0.529
airspace	légtér	0.562	0.510	0.640
airspeed	repülési sebesség	0.583	0.780	0.544
airstrip	felszállópálya	0.550	0.690	0.649
airtight	légmentesen záródó	0.479	0.381	0.570
airway	légúti	0.638	0.585	0.482
aisle	folyosó	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	más néven	0.459	0.358	0.351
akin	rokon	0.639	0.343	0.523
alabaster	alabástrom	0.542	0.404	0.445
alarm	riasztás	0.241	0.882	0.698
alarm clock	ébresztőóra	0.542	0.727	0.642
alarmed	riasztónak	0.188	0.822	0.492
alarming	riasztó	0.204	0.890	0.585
alas	Jaj	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatrosz	0.500	0.445	0.527
albino	albínó	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	aranycsinálás	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkohol függő	0.153	0.688	0.361
alcoholism	alkoholizmus	0.061	0.779	0.407
alcove	alkóv	0.490	0.340	0.356
alderman	városatya	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	éber	0.479	0.820	0.648
alertness	éberség	0.375	0.875	0.750
alerts	figyelmeztetések	0.337	0.804	0.673
alfalfa	lucerna	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebrai	0.531	0.412	0.441
algorithm	algoritmus	0.448	0.394	0.559
alias	álnév	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	idegen	0.410	0.615	0.491
alienate	elidegenít	0.247	0.500	0.523
alienated	elidegenedett	0.410	0.423	0.559
alienation	elidegenítés	0.378	0.530	0.462
alight	kiszáll	0.667	0.657	0.605
align	igazítsa	0.656	0.364	0.627
aligned	igazított	0.583	0.275	0.553
alignment	összehangolás	0.643	0.412	0.683
alike	hasonló	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	feleségtartási díj	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	élő	0.816	0.637	0.731
alkali	alkáli	0.490	0.350	0.408
alkaloids	alkaloidok	0.433	0.562	0.402
allay	enyhít	0.417	0.406	0.398
allegation	állítás	0.578	0.578	0.608
allege	állítják	0.418	0.482	0.587
alleged	állítólagos	0.365	0.522	0.520
allegiance	hűség	0.917	0.398	0.750
allegorical	allegorikus	0.517	0.558	0.598
allegory	allegória	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergiás	0.135	0.549	0.273
allergy	allergia	0.296	0.606	0.389
alleviate	enyhít	0.869	0.270	0.528
alleviation	enyhítés	0.735	0.200	0.491
alley	sikátor	0.347	0.500	0.355
alleyway	sikátor	0.357	0.471	0.382
alliance	szövetség	0.696	0.473	0.769
allied	szövetséges	0.714	0.245	0.642
alligator	aligátor	0.354	0.704	0.645
allocate	osztja	0.673	0.462	0.672
allocation	kiosztás	0.604	0.388	0.679
allot	kioszt	0.622	0.481	0.616
allotment	kiosztás	0.600	0.390	0.640
allow	lehetővé teszi	0.698	0.429	0.538
allowable	megengedhető	0.698	0.500	0.561
allowance	juttatás	0.673	0.382	0.591
allowed	engedélyezett	0.730	0.360	0.655
alloy	ötvözet	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	csábít	0.804	0.585	0.686
alluring	csábító	0.837	0.745	0.843
allusion	célzás	0.440	0.308	0.462
alluvial	hordalékos	0.323	0.490	0.491
ally	szövetséges	0.792	0.320	0.688
almanac	évkönyv	0.688	0.190	0.412
almighty	mindenható	0.938	0.874	0.958
almond	mandula	0.698	0.183	0.314
aloft	magasban	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	egyedül	0.333	0.167	0.216
alongside	hosszában	0.458	0.333	0.347
aloof	tartózkodó	0.189	0.423	0.302
aloud	hangosan	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	ábécé	0.562	0.204	0.672
alphabetical	betűrendes	0.537	0.296	0.535
alpine	alpesi	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	oltár	0.724	0.387	0.635
altar boy	oltár fiú	0.434	0.206	0.350
alter	változtat	0.333	0.694	0.654
alteration	módosítás	0.167	0.798	0.609
altercation	veszekedés	0.170	0.806	0.500
altered	megváltozott	0.255	0.765	0.500
alternate	váltakozó	0.625	0.363	0.589
alternating	váltakozó	0.480	0.494	0.542
alternative	alternatív	0.628	0.373	0.631
altimeter	magasságmérő	0.615	0.510	0.580
altitude	magasság	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	teljesen	0.833	0.324	0.644
aluminum	alumínium	0.449	0.280	0.434
alumnus	volt diák	0.633	0.368	0.422
alveolar	alveoláris	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgám	0.438	0.333	0.510
amalgamation	keveredés	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	felhalmoz	0.552	0.465	0.465
amateur	amatőr	0.469	0.500	0.409
amaze	meghökkent	0.896	0.843	0.783
amazed	meghökkent	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ámulat	0.750	0.800	0.639
amazing	elképesztő	0.906	0.837	0.849
amazingly	bámulatosan	0.918	0.765	0.920
ambassador	nagykövet	0.651	0.529	0.917
amber	borostyán	0.635	0.308	0.369
ambience	környezet	0.735	0.356	0.426
ambient	környező	0.625	0.360	0.582
ambiguity	kétértelműség	0.164	0.460	0.370
ambiguous	kétértelmű	0.265	0.462	0.358
ambit	környék	0.479	0.380	0.386
ambition	nagyravágyás	0.510	0.804	0.661
ambitious	becsvágyó	0.484	0.821	0.717
ambivalent	ambivalens	0.510	0.404	0.482
ambrosia	ambrózia	0.571	0.452	0.480
ambulance	mentőautó	0.500	0.750	0.609
ambush	csapda	0.281	0.830	0.500
ameliorate	fejleszt	0.770	0.548	0.747
amen	ámen	0.781	0.182	0.542
amenable	irányítható	0.448	0.410	0.406
amend	módosítására	0.688	0.406	0.658
amendment	módosítás	0.531	0.459	0.606
amends	jóvátétel	0.640	0.366	0.517
amenity	Szolgáltatás	0.750	0.327	0.574
amethyst	ametiszt	0.622	0.406	0.517
amiable	kedves	0.847	0.290	0.483
amicable	baráti	0.875	0.330	0.507
amid	között	0.510	0.340	0.256
amidst	között	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	lőszer	0.323	0.765	0.621
ammonia	ammónia	0.292	0.587	0.409
ammonium	ammónia	0.354	0.396	0.368
ammunition	lőszer	0.338	0.635	0.667
amnesia	amnézia	0.296	0.330	0.308
amnesty	amnesztia	0.551	0.451	0.814
amorous	érzéki	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortizáció	0.592	0.491	0.522
amount	összeg	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	-jel	0.480	0.448	0.483
amphetamines	amfetaminok	0.133	0.667	0.526
amphibian	kétéltű	0.427	0.357	0.474
amphibious	kétéltű	0.479	0.346	0.445
amphitheater	amfiteátrum	0.653	0.480	0.545
ample	bőséges	0.744	0.349	0.719
amplification	erősítés	0.690	0.677	0.810
amplify	erősít	0.677	0.735	0.827
amplitude	amplitúdó	0.694	0.439	0.692
amply	bőségesen	0.781	0.431	0.766
amputate	amputál	0.092	0.660	0.509
amputation	amputálás	0.100	0.755	0.483
amuck	ámokfutás	0.385	0.602	0.321
amulet	amulett	0.781	0.260	0.630
amuse	szórakoztat	0.812	0.684	0.664
amused	vidám	0.942	0.847	0.596
amusement	szórakoztatás	0.929	0.837	0.803
amusing	szórakoztató	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	érzéstelenítés	0.350	0.217	0.473
anaesthetic	érzéstelenítő	0.449	0.268	0.509
anagram	anagramma	0.552	0.327	0.449
anal	anális	0.333	0.798	0.334
analgesic	fájdalomcsillapító	0.417	0.321	0.441
analogous	hasonló	0.531	0.270	0.500
analogue	hasonló	0.570	0.320	0.446
analogy	analógia	0.510	0.367	0.509
