Word	Russian-ru	Valence	Arousal	Dominance
adjacent	примыкающий	0.645	0.276	0.536
adjective	имя прилагательное	0.570	0.316	0.569
adjoining	прилегающий	0.520	0.400	0.393
adjourn	закрывать	0.385	0.456	0.475
adjournment	отложение	0.438	0.510	0.370
adjudicate	выносить приговор	0.559	0.520	0.683
adjudication	судебное решение	0.551	0.462	0.691
adjunct	адъюнкт	0.459	0.440	0.426
adjust	регулировать	0.647	0.327	0.638
adjuster	оценщик	0.510	0.540	0.760
adjustment	регулировка	0.590	0.520	0.661
adjuvant	адъювант	0.510	0.500	0.456
admin	админ	0.688	0.420	0.854
administer	управлять	0.635	0.425	0.860
administration	администрация	0.625	0.404	0.786
administrative	административный	0.542	0.415	0.579
administrator	администратор	0.538	0.480	0.902
admirable	замечательный	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	адмиралтейство	0.594	0.547	0.733
admiration	восхищение	0.969	0.583	0.726
admire	восхищаться	0.867	0.692	0.704
admired	почитаемый	0.917	0.560	0.815
admirer	обожатель	0.796	0.720	0.650
admiring	восхищенный	0.867	0.578	0.629
admissibility	допустимость	0.802	0.580	0.602
admissible	допустимый	0.780	0.528	0.642
admission	вход	0.802	0.415	0.732
admit	признавать	0.538	0.423	0.667
admittance	впуск	0.690	0.451	0.598
admitted	признал	0.720	0.490	0.767
admitting	допускающий	0.620	0.500	0.546
admixture	примесь	0.450	0.375	0.438
admonition	замечание	0.357	0.606	0.455
ado	суматоха	0.520	0.423	0.385
adobe	саман	0.500	0.319	0.328
adolescence	подростковый возраст	0.487	0.694	0.444
adolescent	подросток	0.781	0.680	0.509
adopt	принять	0.694	0.612	0.701
adoption	принятие	0.625	0.566	0.589
adoptive	усыновленный	0.531	0.469	0.520
adorable	обожаемый	0.969	0.519	0.457
adoration	обожание	0.885	0.699	0.708
adore	обожать	0.854	0.438	0.657
adoring	поклоняющийся	0.885	0.620	0.717
adorn	украшать	0.910	0.424	0.482
adornment	украшение	0.918	0.373	0.377
adrenalin	адреналин	0.865	0.920	0.786
adrenaline	адреналин	0.765	0.965	0.825
adrift	дрейфовать	0.398	0.486	0.230
adult	для взрослых	0.815	0.491	0.787
adulterated	фальсифицированный	0.188	0.865	0.370
adulterer	прелюбодей	0.229	0.814	0.407
adultery	прелюбодеяние	0.120	0.922	0.510
adulthood	совершеннолетие	0.541	0.454	0.652
advance	продвижение	0.673	0.472	0.858
advanced	передовой	0.844	0.623	0.797
advancement	продвижение	0.776	0.650	0.839
advancing	опережения	0.929	0.608	0.812
advantage	преимущество	0.917	0.548	0.859
advantageous	выгодный	0.837	0.640	0.789
advent	приход	0.665	0.560	0.627
adventure	приключение	0.917	0.857	0.710
adventurer	авантюрист	0.781	0.839	0.868
adventures	приключения	0.812	0.764	0.749
adventurous	предприимчивый	0.969	0.898	0.722
adversary	состязательный	0.349	0.777	0.457
adverse	неблагоприятный	0.323	0.610	0.385
adversity	напасти	0.276	0.760	0.538
advertise	рекламировать	0.500	0.529	0.580
advertisement	Реклама	0.600	0.566	0.539
advertising	реклама	0.622	0.608	0.632
adverts	объявления	0.551	0.500	0.595
advice	совет	0.698	0.408	0.688
advisable	рекомендуемый	0.867	0.480	0.510
advise	консультировать	0.760	0.393	0.705
advised	рекомендуется	0.823	0.330	0.509
advisement	совещание суда перед вынесением решения	0.698	0.235	0.655
adviser	консультант	0.745	0.362	0.705
advisor	консультант	0.646	0.350	0.689
advisory	консультативный	0.656	0.429	0.633
advocacy	пропаганда	0.500	0.646	0.731
advocate	адвокат	0.551	0.530	0.818
aegis	эгида	0.490	0.439	0.462
aeration	аэрация	0.550	0.500	0.433
aerial	антенна	0.615	0.461	0.463
aerobics	аэробика	0.708	0.771	0.627
aerodrome	аэродром	0.541	0.740	0.678
aerodynamic	аэродинамический	0.561	0.724	0.728
aerodynamics	аэродинамика	0.590	0.663	0.722
aeronautics	воздухоплавание	0.551	0.633	0.688
aeroplane	самолет	0.714	0.642	0.644
aerospace	авиационно-космический	0.643	0.520	0.779
aesthetic	эстетический	0.708	0.442	0.526
aesthetics	эстетика	0.847	0.327	0.549
aetiology	этиология	0.480	0.398	0.615
afar	издалека	0.396	0.373	0.358
affable	приветливый	0.704	0.380	0.452
affair	дело	0.520	0.459	0.657
affect	аффект	0.458	0.569	0.578
affecting	затрагивающий	0.350	0.574	0.394
affection	привязанность	0.898	0.559	0.696
affectionate	любящий	0.949	0.422	0.550
affections	привязанностей	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	аффидавит	0.469	0.584	0.526
affiliated	аффилированная	0.673	0.519	0.535
affiliation	присоединение	0.615	0.594	0.500
affinity	сродство	0.800	0.500	0.537
affirm	утверждать	0.745	0.509	0.731
affirmation	утверждение	0.750	0.500	0.689
affirmative	утвердительный	0.854	0.589	0.816
affirmatively	утвердительно	0.908	0.500	0.811
affix	аффикс	0.438	0.335	0.411
afflict	тревожить	0.302	0.555	0.293
afflicted	страдающий	0.271	0.500	0.167
affliction	недуг	0.294	0.635	0.392
affluence	наплыв	0.663	0.618	0.722
affluent	полноводный	0.756	0.388	0.477
afford	позволить себе	0.571	0.580	0.575
affordable	доступный	0.840	0.398	0.493
affront	оскорбление	0.327	0.740	0.547
affronted	оскорбленный	0.385	0.750	0.527
afield	в поле	0.594	0.370	0.373
afire	огонь	0.367	0.904	0.675
afloat	на плаву	0.602	0.427	0.444
afore	выше	0.500	0.337	0.382
aforementioned	вышеупомянутый	0.490	0.316	0.408
aforesaid	вышеупомянутый	0.531	0.358	0.478
afraid	боюсь	0.010	0.775	0.245
afresh	сызнова	0.643	0.521	0.480
african	африканец	0.490	0.423	0.555
aft	кормовой	0.480	0.417	0.518
afterlife	загробная жизнь	0.571	0.567	0.568
aftermath	отава	0.312	0.449	0.444
afternoon	после полудня	0.533	0.388	0.339
aftershave	лосьон после бритья	0.406	0.384	0.415
aftertaste	осадок	0.354	0.362	0.455
afterthought	раздумье	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	разинув рот	0.612	0.529	0.464
agate	агат	0.540	0.377	0.483
age	возраст	0.561	0.226	0.498
aged	престарелый	0.135	0.365	0.236
agency	агентство	0.460	0.296	0.583
agenda	повестка дня	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	агломерация	0.450	0.765	0.509
aggravate	обострять	0.224	0.770	0.464
aggravated	усугубленный	0.079	0.760	0.430
aggravates	усугубляет	0.108	0.778	0.357
aggravating	ухудшающий	0.257	0.794	0.640
aggravation	усугубление	0.071	0.784	0.613
aggregate	совокупный	0.730	0.378	0.556
aggregation	агрегирование	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агрессия	0.094	0.929	0.533
aggressive	агрессивный	0.125	0.949	0.648
aggressively	агрессивно	0.250	0.926	0.688
aggressiveness	агрессивность	0.077	0.913	0.648
aggressor	агрессор	0.146	0.948	0.823
agh	аг	0.260	0.500	0.400
aghast	ошеломленный	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	проворный	0.800	0.657	0.775
agility	проворство	0.720	0.702	0.815
aging	старение	0.214	0.255	0.284
agitate	агитировать	0.300	0.796	0.593
agitated	взволнованный	0.444	0.882	0.491
agitation	агитация	0.240	0.931	0.447
aglow	возбужденный	0.780	0.510	0.797
agnostic	агностик	0.306	0.396	0.574
ago	тому назад	0.317	0.280	0.404
agonizing	мучительный	0.083	0.800	0.340
agony	агония	0.083	0.775	0.393
agoraphobia	агорафобия	0.127	0.712	0.438
agree	дать согласие	0.906	0.260	0.545
agreeable	приятный	0.906	0.500	0.696
agreed	согласовано	0.797	0.449	0.574
agreeing	соглашаясь	0.854	0.480	0.557
agreement	соглашение	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	сельскохозяйственное	0.686	0.321	0.473
agriculture	сельское хозяйство	0.640	0.357	0.465
aground	на мели	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	впереди	0.708	0.520	0.673
ahhh	аааа	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	на палубе	0.500	0.497	0.380
aid	помощь	0.796	0.491	0.541
aide	помощник	0.724	0.342	0.434
aiding	пособничество	0.643	0.533	0.569
aids	вспомогательные средства	0.561	0.480	0.500
ail	Айыл	0.375	0.434	0.385
ailing	больной	0.094	0.518	0.153
ailment	недуг	0.146	0.734	0.277
aim	цель	0.481	0.569	0.567
aimless	бесцельный	0.150	0.267	0.183
air	воздух	0.708	0.163	0.427
airbag	воздушная подушка	0.510	0.402	0.433
airborne	бортовой	0.542	0.519	0.385
aircraft	самолет	0.646	0.644	0.691
aircraft carrier	авианосец	0.490	0.740	0.727
airfield	летное поле	0.601	0.650	0.645
airhead	дурачок	0.271	0.481	0.276
airlift	воздушные перевозки	0.573	0.622	0.642
airline	авиакомпания	0.650	0.482	0.688
airliner	пассажирский самолет	0.667	0.777	0.647
airlock	воздушная пробка	0.398	0.520	0.447
airman	авиатор	0.587	0.716	0.721
airplane	самолет	0.719	0.702	0.708
airport	аэропорт	0.729	0.684	0.682
airs	арии	0.583	0.196	0.370
airship	дирижабль	0.542	0.472	0.529
airspace	воздушное пространство	0.562	0.510	0.640
airspeed	воздушная скорость	0.583	0.780	0.544
airstrip	взлетно-посадочная полоса	0.550	0.690	0.649
airtight	воздухонепроницаемый	0.479	0.381	0.570
airway	авиалиния	0.638	0.585	0.482
aisle	придел	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ака	0.459	0.358	0.351
akin	похожий	0.639	0.343	0.523
alabaster	алебастр	0.542	0.404	0.445
alarm	аварийная сигнализация	0.241	0.882	0.698
alarm clock	будильник	0.542	0.727	0.642
alarmed	встревоженный	0.188	0.822	0.492
alarming	тревожный	0.204	0.890	0.585
alas	Увы	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	альбатрос	0.500	0.445	0.527
albino	альбинос	0.500	0.240	0.358
album	альбом	0.635	0.349	0.453
alchemy	алхимия	0.541	0.583	0.693
alcohol	алкоголь	0.323	0.667	0.377
alcoholic	алкоголик	0.153	0.688	0.361
alcoholism	алкоголизм	0.061	0.779	0.407
alcove	альков	0.490	0.340	0.356
alderman	старейшина	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	бдительный	0.479	0.820	0.648
alertness	настороженность	0.375	0.875	0.750
alerts	оповещения	0.337	0.804	0.673
alfalfa	люцерна	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебраическая	0.531	0.412	0.441
algorithm	алгоритм	0.448	0.394	0.559
alias	псевдоним	0.541	0.353	0.333
alibi	алиби	0.396	0.528	0.556
alien	инопланетянин	0.410	0.615	0.491
alienate	отчуждать	0.247	0.500	0.523
alienated	отчужденный	0.410	0.423	0.559
alienation	отчуждение	0.378	0.530	0.462
alight	зажженный	0.667	0.657	0.605
align	выравнивать	0.656	0.364	0.627
aligned	выровненный	0.583	0.275	0.553
alignment	выравнивание	0.643	0.412	0.683
alike	подобно	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	алименты	0.612	0.477	0.464
aliquot	аликвоты	0.440	0.310	0.404
alive	в живых	0.816	0.637	0.731
alkali	щелочь	0.490	0.350	0.408
alkaloids	алкалоиды	0.433	0.562	0.402
allay	смягчать	0.417	0.406	0.398
allegation	утверждение	0.578	0.578	0.608
allege	утверждать	0.418	0.482	0.587
alleged	мнимый	0.365	0.522	0.520
allegiance	верность	0.917	0.398	0.750
allegorical	аллегорический	0.517	0.558	0.598
allegory	аллегория	0.615	0.580	0.509
allegro	аллегро	0.635	0.627	0.453
allergic	аллергический	0.135	0.549	0.273
allergy	аллергия	0.296	0.606	0.389
alleviate	смягчать	0.869	0.270	0.528
alleviation	облегчение	0.735	0.200	0.491
alley	аллея	0.347	0.500	0.355
alleyway	переулок	0.357	0.471	0.382
alliance	союз	0.696	0.473	0.769
allied	союзный	0.714	0.245	0.642
alligator	аллигатор	0.354	0.704	0.645
allocate	выделять	0.673	0.462	0.672
allocation	распределение	0.604	0.388	0.679
allot	отчислять	0.622	0.481	0.616
allotment	выделение	0.600	0.390	0.640
allow	позволять	0.698	0.429	0.538
allowable	допустимый	0.698	0.500	0.561
allowance	пособие	0.673	0.382	0.591
allowed	позволил	0.730	0.360	0.655
alloy	сплав	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	завлекать	0.804	0.585	0.686
alluring	заманчивый	0.837	0.745	0.843
allusion	ссылка	0.440	0.308	0.462
alluvial	наносной	0.323	0.490	0.491
ally	союзник	0.792	0.320	0.688
almanac	альманах	0.688	0.190	0.412
almighty	всемогущий	0.938	0.874	0.958
almond	миндальный	0.698	0.183	0.314
aloft	наверх	0.771	0.373	0.700
aloha	алоха	0.698	0.440	0.441
alone	в одиночестве	0.333	0.167	0.216
alongside	рядом	0.458	0.333	0.347
aloof	отчужденный	0.189	0.423	0.302
aloud	вслух	0.458	0.713	0.750
alpha	альфа	0.708	0.340	0.755
alphabet	алфавит	0.562	0.204	0.672
alphabetical	буквенный	0.537	0.296	0.535
alpine	высокогорный	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	алтарь	0.724	0.387	0.635
altar boy	алтарный мальчик	0.434	0.206	0.350
alter	изменять	0.333	0.694	0.654
alteration	внесение изменений	0.167	0.798	0.609
altercation	перебранка	0.170	0.806	0.500
altered	изменено	0.255	0.765	0.500
alternate	чередовать	0.625	0.363	0.589
alternating	переменный	0.480	0.494	0.542
alternative	альтернатива	0.628	0.373	0.631
altimeter	высотомер	0.615	0.510	0.580
altitude	высота над уровнем моря	0.708	0.482	0.736
alto	альт	0.656	0.404	0.730
altogether	в целом	0.833	0.324	0.644
aluminum	алюминий	0.449	0.280	0.434
alumnus	выпускник	0.633	0.368	0.422
alveolar	альвеолярный	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амальгама	0.438	0.333	0.510
amalgamation	укрупнение	0.406	0.470	0.531
amaretto	амаретто	0.543	0.551	0.375
amass	копить	0.552	0.465	0.465
amateur	любитель	0.469	0.500	0.409
amaze	поражать	0.896	0.843	0.783
amazed	пораженный	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	изумление	0.750	0.800	0.639
amazing	удивительно	0.906	0.837	0.849
amazingly	удивительно	0.918	0.765	0.920
ambassador	посол	0.651	0.529	0.917
amber	янтарный	0.635	0.308	0.369
ambience	атмосфера	0.735	0.356	0.426
ambient	окружающий	0.625	0.360	0.582
ambiguity	неоднозначность	0.164	0.460	0.370
ambiguous	двусмысленный	0.265	0.462	0.358
ambit	сфера	0.479	0.380	0.386
ambition	амбиция	0.510	0.804	0.661
ambitious	амбициозный	0.484	0.821	0.717
ambivalent	амбивалентный	0.510	0.404	0.482
ambrosia	амброзия	0.571	0.452	0.480
ambulance	скорая помощь	0.500	0.750	0.609
ambush	засада	0.281	0.830	0.500
ameliorate	улучшать	0.770	0.548	0.747
amen	аминь	0.781	0.182	0.542
amenable	поддающийся	0.448	0.410	0.406
amend	изменить	0.688	0.406	0.658
amendment	поправка	0.531	0.459	0.606
amends	возмещение	0.640	0.366	0.517
amenity	удобства	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	любезный	0.847	0.290	0.483
amicable	дружный	0.875	0.330	0.507
amid	среди	0.510	0.340	0.256
amidst	среди	0.480	0.330	0.316
amino	амино-	0.551	0.402	0.433
ammo	боеприпасы	0.323	0.765	0.621
ammonia	аммиак	0.292	0.587	0.409
ammonium	аммоний	0.354	0.396	0.368
ammunition	боеприпасов	0.338	0.635	0.667
amnesia	амнезия	0.296	0.330	0.308
amnesty	амнистировать	0.551	0.451	0.814
amorous	влюбчивый	0.844	0.670	0.636
amorphous	аморфный	0.327	0.402	0.349
amortization	амортизация	0.592	0.491	0.522
amount	количество	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	ампер	0.439	0.393	0.375
ampersand	амперсант	0.480	0.448	0.483
amphetamines	амфетамины	0.133	0.667	0.526
amphibian	амфибия	0.427	0.357	0.474
amphibious	десантный	0.479	0.346	0.445
amphitheater	амфитеатр	0.653	0.480	0.545
ample	обильный	0.744	0.349	0.719
amplification	усиление	0.690	0.677	0.810
amplify	усиливать	0.677	0.735	0.827
amplitude	амплитуда	0.694	0.439	0.692
amply	пространно	0.781	0.431	0.766
amputate	ампутировать	0.092	0.660	0.509
amputation	ампутация	0.100	0.755	0.483
amuck	набрасываться	0.385	0.602	0.321
amulet	амулет	0.781	0.260	0.630
amuse	озадачивать	0.812	0.684	0.664
amused	довольный	0.942	0.847	0.596
amusement	развлечение	0.929	0.837	0.803
amusing	забавный	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	анаконда	0.146	0.830	0.540
anaesthesia	анестезия	0.350	0.217	0.473
anaesthetic	анестезирующее	0.449	0.268	0.509
anagram	анаграмма	0.552	0.327	0.449
anal	анальный	0.333	0.798	0.334
analgesic	анальгетик	0.417	0.321	0.441
analogous	аналогичный	0.531	0.270	0.500
analogue	аналог	0.570	0.320	0.446
analogy	аналогия	0.510	0.367	0.509
analysis	анализ	0.729	0.448	0.705
analyst	аналитик	0.604	0.415	0.755
analytic	аналитический	0.665	0.521	0.634
analytical	аналитический	0.625	0.324	0.800
analyze	анализировать	0.667	0.462	0.710
analyzer	анализатор	0.625	0.556	0.854
anaphylactic	анафилактический	0.378	0.588	0.500
anarchism	анархизм	0.125	0.804	0.623
anarchist	анархист	0.204	0.700	0.759
anarchy	анархия	0.146	0.755	0.620
anastomosis	анастомоз	0.375	0.470	0.490
anathema	анафема	0.286	0.490	0.519
