Word	Gujarati-gu	Valence	Arousal	Dominance
accountable	જવાબદાર	0.709	0.282	0.777
accountant	એકાઉન્ટન્ટ	0.625	0.450	0.639
accounting	નામું	0.552	0.390	0.677
accounts	એકાઉન્ટ્સ	0.592	0.340	0.471
accredited	અધિકૃત	0.669	0.479	0.768
accretion	અભિવ્યક્તિ	0.448	0.519	0.672
accrue	ઉપાર્જિત કરવું	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	એકઠા કરો	0.573	0.536	0.607
accumulation	સંચય	0.479	0.527	0.600
accuracy	ચોકસાઈ	0.604	0.481	0.802
accurate	સચોટ	0.743	0.360	0.737
accursed	શાપિત	0.135	0.745	0.345
accusation	આરોપ	0.073	0.718	0.564
accusative	આકસ્મિક	0.198	0.755	0.482
accuse	દોષારોપણ	0.133	0.752	0.500
accused	આરોપી	0.130	0.670	0.420
accuser	આરોપ મૂકનાર	0.122	0.779	0.615
accusing	આક્ષેપ કર્યો	0.156	0.745	0.324
accustomed	ટેવાયેલું	0.542	0.365	0.441
ace	પાસાનો પો	0.643	0.481	0.546
acetic	એસિટિક	0.333	0.420	0.519
acetylene	એસિટિલિન	0.306	0.469	0.509
ache	દુખાવો	0.146	0.760	0.312
achieve	હાંસલ	0.816	0.545	0.843
achieved	પ્રાપ્ત	0.896	0.519	0.775
achievement	સિદ્ધિ	0.896	0.808	0.759
aching	પીડા	0.053	0.880	0.348
achy	અચી	0.167	0.840	0.373
acid	તેજાબ	0.265	0.642	0.566
acidity	એસિડિટીએ	0.156	0.663	0.360
acknowledge	સ્વીકારો	0.786	0.370	0.661
acknowledged	સ્વીકાર્યું	0.714	0.443	0.765
acknowledgement	સ્વીકૃતિ	0.819	0.539	0.830
acknowledgment	સ્વીકૃતિ	0.796	0.528	0.777
acme	એકમ	0.408	0.435	0.375
acne	ખીલ	0.167	0.474	0.308
acorn	એકોર્ન	0.448	0.198	0.192
acoustic	એકોસ્ટિક	0.542	0.462	0.536
acoustics	ધ્વનિવિજ્ઞાન	0.611	0.330	0.509
acquaint	પરિચય	0.646	0.491	0.639
acquaintance	પરિચય	0.656	0.290	0.670
acquainted	પરિચિત	0.906	0.358	0.632
acquiescence	સંમતિ	0.542	0.480	0.554
acquire	હસ્તગત	0.833	0.468	0.700
acquiring	હસ્તગત	0.735	0.510	0.817
acquisition	સંપાદન	0.698	0.509	0.736
acquisitions	એક્વિઝિશન	0.773	0.660	0.790
acquit	બાંધી દેવું	0.583	0.571	0.611
acquittal	નિર્દોષ છુટકારો	0.760	0.497	0.700
acre	એકર	0.583	0.387	0.423
acreage	વાવેતર વિસ્તાર	0.741	0.450	0.528
acres	એકર	0.510	0.363	0.500
acrobat	એક્રોબેટ	0.708	0.828	0.602
acrylic	એક્રેલિક	0.582	0.279	0.420
act	કાર્ય કરો	0.656	0.704	0.735
acting	અભિનય	0.698	0.643	0.500
action	ક્રિયા	0.760	0.898	0.802
action figure	ક્રિયા આંકડો	0.615	0.774	0.611
actionable	દાવાપાત્ર	0.673	0.702	0.613
activate	સક્રિય કરો	0.764	0.650	0.806
activation	સક્રિયકરણ	0.781	0.800	0.754
active	સક્રિય	0.847	0.730	0.731
activist	કાર્યકર્તા	0.531	0.653	0.877
activity	પ્રવૃત્તિ	0.701	0.660	0.807
actor	અભિનેતા	0.653	0.561	0.629
actress	અભિનેત્રી	0.633	0.556	0.596
actual	વાસ્તવિક	0.729	0.400	0.716
actuality	વાસ્તવિકતા	0.750	0.464	0.600
actuary	એક્ટ્યુરી	0.510	0.404	0.491
acuity	તીવ્રતા	0.469	0.378	0.741
acumen	કુશળતા	0.564	0.660	0.679
acupuncture	એક્યુપંકચર	0.531	0.324	0.549
acute	તીવ્ર	0.427	0.652	0.534
acutely	તીક્ષ્ણ	0.417	0.543	0.491
ad	જાહેરાત	0.521	0.705	0.558
adage	કહેવત	0.517	0.415	0.566
adamant	મક્કમ	0.344	0.529	0.575
adapt	સ્વીકારવાનું	0.740	0.355	0.551
adaptable	સ્વીકાર્ય	0.735	0.423	0.641
adaptation	અનુકૂલન	0.663	0.365	0.609
add	ઉમેરો	0.728	0.490	0.554
added	ઉમેરી	0.562	0.405	0.509
addendum	પુરવણી	0.392	0.370	0.418
adder	નાનો ઝેરી સાંપ	0.388	0.461	0.588
addict	વ્યસની	0.075	0.696	0.327
addicted	વ્યસની	0.156	0.712	0.483
addiction	વ્યસન	0.180	0.806	0.420
addictive	વ્યસન	0.302	0.683	0.472
addition	વધુમાં	0.562	0.373	0.471
additional	વધારાનુ	0.673	0.462	0.526
additive	ઉમેરવામાં	0.561	0.633	0.691
address	સરનામું	0.650	0.327	0.567
addressee	સરનામાં	0.622	0.382	0.538
addresses	સરનામાઓ	0.510	0.354	0.450
adept	પારંગત	0.594	0.539	0.789
adequacy	પર્યાપ્તતા	0.615	0.435	0.702
adequate	પર્યાપ્ત	0.854	0.264	0.705
adhere	પાલન	0.633	0.339	0.554
adherence	પાલન	0.760	0.307	0.630
adherent	અનુયાયી	0.561	0.385	0.555
adhering	પાલન	0.612	0.561	0.537
adhesion	સંલગ્નતા	0.521	0.445	0.586
adhesive	ચીકણું	0.604	0.350	0.413
adieu	એડીયુ	0.250	0.471	0.342
adipose	વરાળ	0.333	0.350	0.391
adjacency	સંલગ્નતા	0.365	0.417	0.375
adjacent	અડીને	0.645	0.276	0.536
adjective	વિશેષણ	0.570	0.316	0.569
adjoining	સંલગ્ન	0.520	0.400	0.393
adjourn	સ્થગિત	0.385	0.456	0.475
adjournment	સ્થગિતતા	0.438	0.510	0.370
adjudicate	નિર્ણય કરવો	0.559	0.520	0.683
adjudication	નિર્ણય	0.551	0.462	0.691
adjunct	સંલગ્ન	0.459	0.440	0.426
adjust	વ્યવસ્થિત કરો	0.647	0.327	0.638
adjuster	એડજસ્ટર	0.510	0.540	0.760
adjustment	ગોઠવણ	0.590	0.520	0.661
adjuvant	સહાયક	0.510	0.500	0.456
admin	એડમિન	0.688	0.420	0.854
administer	સંચાલિત કરો	0.635	0.425	0.860
administration	વહીવટ	0.625	0.404	0.786
administrative	વહીવટી	0.542	0.415	0.579
administrator	સંચાલક	0.538	0.480	0.902
admirable	પ્રશંસનીય	0.929	0.600	0.870
admiral	એડમિરલ	0.844	0.490	0.847
admiralty	એડમિરલ્ટી	0.594	0.547	0.733
admiration	પ્રશંસા	0.969	0.583	0.726
admire	પ્રશંસક	0.867	0.692	0.704
admired	પ્રશંસા	0.917	0.560	0.815
admirer	પ્રશંસક	0.796	0.720	0.650
admiring	પ્રશંસા	0.867	0.578	0.629
admissibility	સ્વીકાર્યતા	0.802	0.580	0.602
admissible	સ્વીકાર્ય	0.780	0.528	0.642
admission	પ્રવેશ	0.802	0.415	0.732
admit	સ્વીકાર્યું	0.538	0.423	0.667
admittance	પ્રવેશ	0.690	0.451	0.598
admitted	સ્વીકાર્યું	0.720	0.490	0.767
admitting	સ્વીકાર્યું	0.620	0.500	0.546
admixture	સંમિશ્રણ	0.450	0.375	0.438
admonition	સલાહ	0.357	0.606	0.455
ado	એડો	0.520	0.423	0.385
adobe	એડોબ	0.500	0.319	0.328
adolescence	કિશોરાવસ્થા	0.487	0.694	0.444
adolescent	કિશોર	0.781	0.680	0.509
adopt	અપનાવી	0.694	0.612	0.701
adoption	દત્તક	0.625	0.566	0.589
adoptive	દત્તક	0.531	0.469	0.520
adorable	આરાધ્ય	0.969	0.519	0.457
adoration	પૂજા	0.885	0.699	0.708
adore	પૂજવું	0.854	0.438	0.657
adoring	આદરણીય	0.885	0.620	0.717
adorn	શણગારવું	0.910	0.424	0.482
adornment	શણગાર	0.918	0.373	0.377
adrenalin	એડ્રેનાલિન	0.865	0.920	0.786
adrenaline	એડ્રેનાલિન	0.765	0.965	0.825
adrift	અસહાય	0.398	0.486	0.230
adult	પુખ્ત	0.815	0.491	0.787
adulterated	ભેળસેળવાળું	0.188	0.865	0.370
adulterer	વ્યભિચારી	0.229	0.814	0.407
adultery	વ્યભિચાર	0.120	0.922	0.510
adulthood	પુખ્તવયતા	0.541	0.454	0.652
advance	અગાઉથી	0.673	0.472	0.858
advanced	અદ્યતન	0.844	0.623	0.797
advancement	પ્રગતિ	0.776	0.650	0.839
advancing	આગળ	0.929	0.608	0.812
advantage	ફાયદો	0.917	0.548	0.859
advantageous	ફાયદાકારક	0.837	0.640	0.789
advent	આગમન	0.665	0.560	0.627
adventure	સાહસ	0.917	0.857	0.710
adventurer	સાહસી	0.781	0.839	0.868
adventures	સાહસો	0.812	0.764	0.749
adventurous	સાહસિક	0.969	0.898	0.722
adversary	વિરોધી	0.349	0.777	0.457
adverse	પ્રતિકૂળ	0.323	0.610	0.385
adversity	પ્રતિકૂળતા	0.276	0.760	0.538
advertise	જાહેરાત કરો	0.500	0.529	0.580
advertisement	જાહેરખબર	0.600	0.566	0.539
advertising	જાહેરાત	0.622	0.608	0.632
adverts	જાહેરાત	0.551	0.500	0.595
advice	સલાહ	0.698	0.408	0.688
advisable	સલાહભર્યું	0.867	0.480	0.510
advise	સલાહ	0.760	0.393	0.705
advised	સલાહ આપી	0.823	0.330	0.509
advisement	સલાહ	0.698	0.235	0.655
adviser	સલાહકાર	0.745	0.362	0.705
advisor	સલાહકાર	0.646	0.350	0.689
advisory	સલાહકાર	0.656	0.429	0.633
advocacy	સમર્થન	0.500	0.646	0.731
advocate	વકીલ	0.551	0.530	0.818
aegis	વસિયતનામું	0.490	0.439	0.462
aeration	વાયુમિશ્રણ	0.550	0.500	0.433
aerial	હવાઈ	0.615	0.461	0.463
aerobics	ઍરોબિક્સ	0.708	0.771	0.627
aerodrome	વિમાનમથક	0.541	0.740	0.678
aerodynamic	એરોડાયનેમિક	0.561	0.724	0.728
aerodynamics	એરોડાયનેમિક્સ	0.590	0.663	0.722
aeronautics	એરોનોટિક્સ	0.551	0.633	0.688
aeroplane	વિમાન	0.714	0.642	0.644
aerospace	એરોસ્પેસ	0.643	0.520	0.779
aesthetic	સૌંદર્યલક્ષી	0.708	0.442	0.526
aesthetics	સૌંદર્ય શાસ્ત્ર	0.847	0.327	0.549
aetiology	રોગશાસ્ત્ર	0.480	0.398	0.615
afar	આઘે	0.396	0.373	0.358
affable	વિવેકપૂર્ણ	0.704	0.380	0.452
affair	અફેર	0.520	0.459	0.657
affect	અસર	0.458	0.569	0.578
affecting	અસર	0.350	0.574	0.394
affection	સ્નેહ	0.898	0.559	0.696
affectionate	પ્રેમાળ	0.949	0.422	0.550
affections	લાગણીઓ	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	એફિડેવિટ	0.469	0.584	0.526
affiliated	સંલગ્ન	0.673	0.519	0.535
affiliation	જોડાણ	0.615	0.594	0.500
affinity	આકર્ષણ	0.800	0.500	0.537
affirm	પ્રતિજ્ઞા	0.745	0.509	0.731
affirmation	પ્રતિજ્ઞા	0.750	0.500	0.689
affirmative	હકારાત્મક	0.854	0.589	0.816
affirmatively	પ્રતિજ્ઞાપૂર્વક	0.908	0.500	0.811
affix	લગાડવું	0.438	0.335	0.411
afflict	દમન	0.302	0.555	0.293
afflicted	વ્યથિત	0.271	0.500	0.167
affliction	દુઃખ	0.294	0.635	0.392
affluence	સમૃદ્ધિ	0.663	0.618	0.722
affluent	સમૃદ્ધ	0.756	0.388	0.477
afford	પરવડી	0.571	0.580	0.575
affordable	પોસાય	0.840	0.398	0.493
affront	અપમાન કરવું	0.327	0.740	0.547
affronted	અપમાનિત	0.385	0.750	0.527
afield	દૂર	0.594	0.370	0.373
afire	સળગતું	0.367	0.904	0.675
afloat	તરતું	0.602	0.427	0.444
afore	અગાઉથી	0.500	0.337	0.382
aforementioned	ઉપરોક્ત	0.490	0.316	0.408
aforesaid	ઉપરોક્ત	0.531	0.358	0.478
afraid	ભયભીત	0.010	0.775	0.245
afresh	નવેસરથી	0.643	0.521	0.480
african	આફ્રિકન	0.490	0.423	0.555
aft	પાછલા ભાગમાં	0.480	0.417	0.518
afterlife	મૃત્યુ પછીનું જીવન	0.571	0.567	0.568
aftermath	પ્રત્યાઘાત	0.312	0.449	0.444
afternoon	બપોરે	0.533	0.388	0.339
aftershave	આફ્ટરશેવ	0.406	0.384	0.415
aftertaste	પછીથી	0.354	0.362	0.455
afterthought	પછીથી	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	અગાપે	0.612	0.529	0.464
agate	એગેટ	0.540	0.377	0.483
age	ઉંમર	0.561	0.226	0.498
aged	વૃદ્ધ	0.135	0.365	0.236
agency	એજન્સી	0.460	0.296	0.583
agenda	કાર્યસૂચિ	0.531	0.296	0.553
agent	એજન્ટ	0.480	0.439	0.755
agglomeration	સમૂહ	0.450	0.765	0.509
aggravate	ગુસ્સે થવું	0.224	0.770	0.464
aggravated	બઢતી	0.079	0.760	0.430
aggravates	બગાડે છે	0.108	0.778	0.357
aggravating	બગાડવું	0.257	0.794	0.640
aggravation	ઉગ્રતા	0.071	0.784	0.613
aggregate	એકંદર	0.730	0.378	0.556
aggregation	એકંદર	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	આક્રમકતા	0.094	0.929	0.533
aggressive	આક્રમક	0.125	0.949	0.648
aggressively	આક્રમક રીતે	0.250	0.926	0.688
aggressiveness	આક્રમકતા	0.077	0.913	0.648
aggressor	આક્રમણખોર	0.146	0.948	0.823
agh	આહ	0.260	0.500	0.400
aghast	આઘાત	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ચપળ	0.800	0.657	0.775
agility	ઍજિલિટી	0.720	0.702	0.815
aging	જૂની પુરાણી	0.214	0.255	0.284
agitate	ઉશ્કેરવું	0.300	0.796	0.593
agitated	ઉશ્કેરાયેલી	0.444	0.882	0.491
agitation	આંદોલન	0.240	0.931	0.447
aglow	ઉમદા	0.780	0.510	0.797
agnostic	અજ્ઞેયવાદી	0.306	0.396	0.574
ago	પહેલાં	0.317	0.280	0.404
agonizing	વેદનાકારી	0.083	0.800	0.340
agony	યાતના	0.083	0.775	0.393
agoraphobia	ઍગોરાફોબિયા	0.127	0.712	0.438
agree	સંમત થાઓ	0.906	0.260	0.545
agreeable	અનુકૂળ	0.906	0.500	0.696
agreed	સંમત થયા	0.797	0.449	0.574
agreeing	સંમત થવું	0.854	0.480	0.557
agreement	કરાર	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	કૃષિ	0.686	0.321	0.473
agriculture	કૃષિ	0.640	0.357	0.465
aground	આજુબાજુ	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	આગળ	0.708	0.520	0.673
ahhh	અહહ	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	અહોય	0.500	0.497	0.380
aid	મદદ	0.796	0.491	0.541
aide	સહાયક	0.724	0.342	0.434
aiding	સહાયક	0.643	0.533	0.569
aids	એડ્સ	0.561	0.480	0.500
ail	આલ	0.375	0.434	0.385
ailing	બીમાર	0.094	0.518	0.153
ailment	બીમારી	0.146	0.734	0.277
aim	હેતુ	0.481	0.569	0.567
aimless	નિશાન વિનાનું	0.150	0.267	0.183
air	હવા	0.708	0.163	0.427
airbag	એરબેગ	0.510	0.402	0.433
airborne	એરબોર્ન	0.542	0.519	0.385
aircraft	વિમાન	0.646	0.644	0.691
aircraft carrier	વિમાનવાહક	0.490	0.740	0.727
airfield	એરફિલ્ડ	0.601	0.650	0.645
airhead	એરહેડ	0.271	0.481	0.276
airlift	એરલિફ્ટ	0.573	0.622	0.642
airline	એરલાઇન	0.650	0.482	0.688
airliner	એરલાઈનર	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	એરમેન	0.587	0.716	0.721
airplane	વિમાન	0.719	0.702	0.708
airport	એરપોર્ટ	0.729	0.684	0.682
airs	હવા	0.583	0.196	0.370
airship	એરશીપ	0.542	0.472	0.529
airspace	વાતસ્થાન	0.562	0.510	0.640
airspeed	એરસ્પીડ	0.583	0.780	0.544
airstrip	એરસ્ટ્રીપ	0.550	0.690	0.649
airtight	હવાચુસ્ત	0.479	0.381	0.570
airway	વાયુમિશ્રણ	0.638	0.585	0.482
aisle	પાંખ	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ઉર્ફ	0.459	0.358	0.351
akin	સમાન	0.639	0.343	0.523
alabaster	એલાબસ્ટર	0.542	0.404	0.445
alarm	એલાર્મ	0.241	0.882	0.698
alarm clock	અલાર્મ ઘડિયાળ	0.542	0.727	0.642
alarmed	સાવધાન	0.188	0.822	0.492
alarming	ભયજનક	0.204	0.890	0.585
alas	અફસોસ!	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	અલ્બાટ્રોસ	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	આલ્બમ	0.635	0.349	0.453
alchemy	રસાયણ	0.541	0.583	0.693
alcohol	આલ્કોહોલ	0.323	0.667	0.377
alcoholic	મદ્યપાન કરનાર	0.153	0.688	0.361
alcoholism	મદ્યપાન	0.061	0.779	0.407
alcove	અલકોવ	0.490	0.340	0.356
alderman	એલ્ડરમેન	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ચેતવણી	0.479	0.820	0.648
alertness	સતર્કતા	0.375	0.875	0.750
alerts	ચેતવણીઓ	0.337	0.804	0.673
alfalfa	રજકો	0.546	0.250	0.311
algebra	બીજગણિત	0.440	0.340	0.565
algebraic	બીજગણિત	0.531	0.412	0.441
algorithm	અલ્ગોરિધમ	0.448	0.394	0.559
alias	ઉપનામ	0.541	0.353	0.333
alibi	અલીબી	0.396	0.528	0.556
alien	પરાયું	0.410	0.615	0.491
alienate	વિમુખ થવું	0.247	0.500	0.523
alienated	વિમુખ	0.410	0.423	0.559
alienation	ઈનામ	0.378	0.530	0.462
alight	ઉતરવાનું	0.667	0.657	0.605
align	સંરેખિત કરો	0.656	0.364	0.627
aligned	સંરેખિત	0.583	0.275	0.553
alignment	ગોઠવણી	0.643	0.412	0.683
alike	એકસરખું	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ખોરાકી	0.612	0.477	0.464
aliquot	ભાગ્ય	0.440	0.310	0.404
alive	જીવંત	0.816	0.637	0.731
alkali	આલ્કલી	0.490	0.350	0.408
alkaloids	એલ્કલોઇડ્સ	0.433	0.562	0.402
allay	દૂર કરવું	0.417	0.406	0.398
allegation	આક્ષેપ	0.578	0.578	0.608
allege	દલીલ કરે છે	0.418	0.482	0.587
alleged	કથિત	0.365	0.522	0.520
allegiance	નિષ્ઠા	0.917	0.398	0.750
allegorical	રૂપકાત્મક	0.517	0.558	0.598
allegory	રૂપક	0.615	0.580	0.509
allegro	સંગીત તેજ કે દ્રુત ગતિથી	0.635	0.627	0.453
allergic	એલર્જિક	0.135	0.549	0.273
allergy	એલર્જી	0.296	0.606	0.389
alleviate	શમન કરવું	0.869	0.270	0.528
alleviation	નિવારણ	0.735	0.200	0.491
alley	ગલી	0.347	0.500	0.355
alleyway	ગલી	0.357	0.471	0.382
alliance	જોડાણ	0.696	0.473	0.769
allied	સાથી	0.714	0.245	0.642
alligator	મગર	0.354	0.704	0.645
allocate	ફાળવો	0.673	0.462	0.672
allocation	ફાળવણી	0.604	0.388	0.679
allot	ફાળવણી	0.622	0.481	0.616
allotment	ફાળવણી	0.600	0.390	0.640
allow	પરવાનગી આપો	0.698	0.429	0.538
allowable	માન્ય	0.698	0.500	0.561
allowance	ભથ્થું	0.673	0.382	0.591
allowed	મંજૂરી	0.730	0.360	0.655
alloy	એલોય	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	આકર્ષવું	0.804	0.585	0.686
alluring	લલચાવતું	0.837	0.745	0.843
allusion	સંકેત	0.440	0.308	0.462
alluvial	જળશાળા	0.323	0.490	0.491
ally	સાથી	0.792	0.320	0.688
almanac	અલ્માનક	0.688	0.190	0.412
almighty	સર્વશક્તિમાન	0.938	0.874	0.958
almond	બદામ	0.698	0.183	0.314
aloft	ઉચ્ચ	0.771	0.373	0.700
aloha	અલહા	0.698	0.440	0.441
alone	એકલા	0.333	0.167	0.216
alongside	સાથે	0.458	0.333	0.347
aloof	અલોફ	0.189	0.423	0.302
aloud	મોટેથી	0.458	0.713	0.750
alpha	આલ્ફા	0.708	0.340	0.755
alphabet	મુળાક્ષરો	0.562	0.204	0.672
alphabetical	મૂળાક્ષર	0.537	0.296	0.535
alpine	આલ્પાઇન	0.594	0.337	0.474
alreadyyyyy	પહેલેથી જ	0.592	0.717	0.351
altar	વેદી	0.724	0.387	0.635
altar boy	યજ્ઞવેદી છોકરો	0.434	0.206	0.350
alter	ફેરફાર કરો	0.333	0.694	0.654
alteration	ફેરફાર	0.167	0.798	0.609
altercation	ઝગડો	0.170	0.806	0.500
altered	બદલાયેલ	0.255	0.765	0.500
alternate	વૈકલ્પિક	0.625	0.363	0.589
alternating	વૈકલ્પિક	0.480	0.494	0.542
alternative	વૈકલ્પિક	0.628	0.373	0.631
altimeter	અલ્ટીમીટર	0.615	0.510	0.580
altitude	ઊંચાઇ	0.708	0.482	0.736
alto	ઓલ્ટો	0.656	0.404	0.730
altogether	એક સાથે	0.833	0.324	0.644
aluminum	એલ્યુમિનિયમ	0.449	0.280	0.434
alumnus	ભૂતપૂર્વ વિદ્યાર્થી	0.633	0.368	0.422
