Word	Bulgarian-bg	Valence	Arousal	Dominance
adjective	прилагателно	0.570	0.316	0.569
adjoining	съседен	0.520	0.400	0.393
adjourn	свършвам	0.385	0.456	0.475
adjournment	отсрочване	0.438	0.510	0.370
adjudicate	произнасяне	0.559	0.520	0.683
adjudication	отсъждане	0.551	0.462	0.691
adjunct	допълнение	0.459	0.440	0.426
adjust	регулирате	0.647	0.327	0.638
adjuster	регулатор	0.510	0.540	0.760
adjustment	регулиране	0.590	0.520	0.661
adjuvant	адювантна	0.510	0.500	0.456
admin	администратор	0.688	0.420	0.854
administer	администрира	0.635	0.425	0.860
administration	администрация	0.625	0.404	0.786
administrative	административен	0.542	0.415	0.579
administrator	администратор	0.538	0.480	0.902
admirable	възхитителен	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	адмиралтейство	0.594	0.547	0.733
admiration	възхищение	0.969	0.583	0.726
admire	уважавам	0.867	0.692	0.704
admired	възхищават	0.917	0.560	0.815
admirer	почитател	0.796	0.720	0.650
admiring	възхищавах	0.867	0.578	0.629
admissibility	допустимост	0.802	0.580	0.602
admissible	допустим	0.780	0.528	0.642
admission	допускане	0.802	0.415	0.732
admit	признавам	0.538	0.423	0.667
admittance	достъп	0.690	0.451	0.598
admitted	допуснати	0.720	0.490	0.767
admitting	признавайки	0.620	0.500	0.546
admixture	примес	0.450	0.375	0.438
admonition	предупреждение	0.357	0.606	0.455
ado	шум	0.520	0.423	0.385
adobe	кирпич	0.500	0.319	0.328
adolescence	юношество	0.487	0.694	0.444
adolescent	юноша	0.781	0.680	0.509
adopt	приеме	0.694	0.612	0.701
adoption	осиновяване	0.625	0.566	0.589
adoptive	приемен	0.531	0.469	0.520
adorable	възхитителен	0.969	0.519	0.457
adoration	обожание	0.885	0.699	0.708
adore	обожавам	0.854	0.438	0.657
adoring	обожаващи	0.885	0.620	0.717
adorn	украсявам	0.910	0.424	0.482
adornment	украса	0.918	0.373	0.377
adrenalin	адреналина	0.865	0.920	0.786
adrenaline	адреналин	0.765	0.965	0.825
adrift	без посока	0.398	0.486	0.230
adult	възрастен	0.815	0.491	0.787
adulterated	фалшифициран	0.188	0.865	0.370
adulterer	прелюбодеец	0.229	0.814	0.407
adultery	изневяра	0.120	0.922	0.510
adulthood	старост	0.541	0.454	0.652
advance	напредък	0.673	0.472	0.858
advanced	напреднал	0.844	0.623	0.797
advancement	напредък	0.776	0.650	0.839
advancing	напредва	0.929	0.608	0.812
advantage	предимство	0.917	0.548	0.859
advantageous	благоприятен	0.837	0.640	0.789
advent	идване	0.665	0.560	0.627
adventure	приключение	0.917	0.857	0.710
adventurer	авантюрист	0.781	0.839	0.868
adventures	приключения	0.812	0.764	0.749
adventurous	авантюристичен	0.969	0.898	0.722
adversary	противник	0.349	0.777	0.457
adverse	вреден	0.323	0.610	0.385
adversity	бедствие	0.276	0.760	0.538
advertise	рекламирам	0.500	0.529	0.580
advertisement	реклама	0.600	0.566	0.539
advertising	реклама	0.622	0.608	0.632
adverts	обяви	0.551	0.500	0.595
advice	съвет	0.698	0.408	0.688
advisable	препоръчителен	0.867	0.480	0.510
advise	съветвам	0.760	0.393	0.705
advised	които не се препоръчват	0.823	0.330	0.509
advisement	посъветваха	0.698	0.235	0.655
adviser	съветник	0.745	0.362	0.705
advisor	съветник	0.646	0.350	0.689
advisory	консултативен	0.656	0.429	0.633
advocacy	застъпничество	0.500	0.646	0.731
advocate	застъпник	0.551	0.530	0.818
aegis	егида	0.490	0.439	0.462
aeration	проветряване	0.550	0.500	0.433
aerial	въздушен	0.615	0.461	0.463
aerobics	аеробика	0.708	0.771	0.627
aerodrome	летище	0.541	0.740	0.678
aerodynamic	аеродинамичен	0.561	0.724	0.728
aerodynamics	аеродинамика	0.590	0.663	0.722
aeronautics	аеронавтика	0.551	0.633	0.688
aeroplane	самолет	0.714	0.642	0.644
aerospace	космически	0.643	0.520	0.779
aesthetic	естетичен	0.708	0.442	0.526
aesthetics	естетика	0.847	0.327	0.549
aetiology	етиология	0.480	0.398	0.615
afar	надалеч	0.396	0.373	0.358
affable	вежлив	0.704	0.380	0.452
affair	афера	0.520	0.459	0.657
affect	засегне	0.458	0.569	0.578
affecting	засягащи	0.350	0.574	0.394
affection	привързаност	0.898	0.559	0.696
affectionate	привързан	0.949	0.422	0.550
affections	привързаността	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	писмена клетвена декларация	0.469	0.584	0.526
affiliated	принадлежащ	0.673	0.519	0.535
affiliation	присъединяване	0.615	0.594	0.500
affinity	афинитет	0.800	0.500	0.537
affirm	потвърждавам	0.745	0.509	0.731
affirmation	утвърждаване	0.750	0.500	0.689
affirmative	утвърдителен	0.854	0.589	0.816
affirmatively	утвърдително	0.908	0.500	0.811
affix	поставя	0.438	0.335	0.411
afflict	измъчвам	0.302	0.555	0.293
afflicted	огорчен	0.271	0.500	0.167
affliction	скръб	0.294	0.635	0.392
affluence	охолство	0.663	0.618	0.722
affluent	приток	0.756	0.388	0.477
afford	позволим	0.571	0.580	0.575
affordable	на достъпни цени	0.840	0.398	0.493
affront	оскърбление	0.327	0.740	0.547
affronted	оскърбено	0.385	0.750	0.527
afield	далеч	0.594	0.370	0.373
afire	пожар	0.367	0.904	0.675
afloat	плаващ	0.602	0.427	0.444
afore	преди	0.500	0.337	0.382
aforementioned	гореспоменатия	0.490	0.316	0.408
aforesaid	гореспоменатия	0.531	0.358	0.478
afraid	уплашен	0.010	0.775	0.245
afresh	наново	0.643	0.521	0.480
african	африкански	0.490	0.423	0.555
aft	назад	0.480	0.417	0.518
afterlife	задгробен живот	0.571	0.567	0.568
aftermath	отава	0.312	0.449	0.444
afternoon	следобед	0.533	0.388	0.339
aftershave	афтършейв	0.406	0.384	0.415
aftertaste	привкус	0.354	0.362	0.455
afterthought	мисъл	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	захласнато	0.612	0.529	0.464
agate	ахат	0.540	0.377	0.483
age	възраст	0.561	0.226	0.498
aged	на възраст	0.135	0.365	0.236
agency	агенция	0.460	0.296	0.583
agenda	дневен ред	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	агломерация	0.450	0.765	0.509
aggravate	влошавам	0.224	0.770	0.464
aggravated	утежнени	0.079	0.760	0.430
aggravates	утежнява	0.108	0.778	0.357
aggravating	отежняващ	0.257	0.794	0.640
aggravation	влошаване	0.071	0.784	0.613
aggregate	агрегат	0.730	0.378	0.556
aggregation	съвкупност	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агресия	0.094	0.929	0.533
aggressive	агресивен	0.125	0.949	0.648
aggressively	агресивно	0.250	0.926	0.688
aggressiveness	агресивност	0.077	0.913	0.648
aggressor	агресор	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	втрещен	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	пъргав	0.800	0.657	0.775
agility	ловкост	0.720	0.702	0.815
aging	остаряване	0.214	0.255	0.284
agitate	агитирам	0.300	0.796	0.593
agitated	развълнуван	0.444	0.882	0.491
agitation	възбуда	0.240	0.931	0.447
aglow	пламнал	0.780	0.510	0.797
agnostic	агностик	0.306	0.396	0.574
ago	преди	0.317	0.280	0.404
agonizing	мъчителен	0.083	0.800	0.340
agony	агония	0.083	0.775	0.393
agoraphobia	агорафобия	0.127	0.712	0.438
agree	Съгласен	0.906	0.260	0.545
agreeable	приятен	0.906	0.500	0.696
agreed	съгласуван	0.797	0.449	0.574
agreeing	договарянето	0.854	0.480	0.557
agreement	съгласие	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	земеделски	0.686	0.321	0.473
agriculture	селско стопанство	0.640	0.357	0.465
aground	заседнал	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	напред	0.708	0.520	0.673
ahhh	Аааа	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ало	0.500	0.497	0.380
aid	помощ	0.796	0.491	0.541
aide	помощник	0.724	0.342	0.434
aiding	помагане	0.643	0.533	0.569
aids	помагала	0.561	0.480	0.500
ail	измъчвам	0.375	0.434	0.385
ailing	боледуващ	0.094	0.518	0.153
ailment	неразположение	0.146	0.734	0.277
aim	цел	0.481	0.569	0.567
aimless	безсмислен	0.150	0.267	0.183
air	въздух	0.708	0.163	0.427
airbag	въздушна възглавница	0.510	0.402	0.433
airborne	пренасян по въздуха	0.542	0.519	0.385
aircraft	самолет	0.646	0.644	0.691
aircraft carrier	самолетоносач	0.490	0.740	0.727
airfield	летище	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	авиотранспорт	0.573	0.622	0.642
airline	авиолиния	0.650	0.482	0.688
airliner	пътнически самолет	0.667	0.777	0.647
airlock	въздушна пробка	0.398	0.520	0.447
airman	летец	0.587	0.716	0.721
airplane	самолет	0.719	0.702	0.708
airport	летище	0.729	0.684	0.682
airs	превземки	0.583	0.196	0.370
airship	дирижабъл	0.542	0.472	0.529
airspace	въздушното пространство	0.562	0.510	0.640
airspeed	въздушната скорост	0.583	0.780	0.544
airstrip	бетонна писта	0.550	0.690	0.649
airtight	херметичен	0.479	0.381	0.570
airway	дихателните пътища	0.638	0.585	0.482
aisle	пътека	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	известен още като	0.459	0.358	0.351
akin	близък	0.639	0.343	0.523
alabaster	алабастър	0.542	0.404	0.445
alarm	аларма	0.241	0.882	0.698
alarm clock	будилник	0.542	0.727	0.642
alarmed	разтревожен	0.188	0.822	0.492
alarming	тревожен	0.204	0.890	0.585
alas	уви	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	албатрос	0.500	0.445	0.527
albino	албинос	0.500	0.240	0.358
album	албум	0.635	0.349	0.453
alchemy	алхимия	0.541	0.583	0.693
alcohol	алкохол	0.323	0.667	0.377
alcoholic	алкохолик	0.153	0.688	0.361
alcoholism	алкохолизъм	0.061	0.779	0.407
alcove	беседка	0.490	0.340	0.356
alderman	член на градския съвет	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	тревога	0.479	0.820	0.648
alertness	бдителност	0.375	0.875	0.750
alerts	Известия	0.337	0.804	0.673
alfalfa	люцерна	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебричен	0.531	0.412	0.441
algorithm	алгоритъм	0.448	0.394	0.559
alias	псевдоним	0.541	0.353	0.333
alibi	алиби	0.396	0.528	0.556
alien	извънземно	0.410	0.615	0.491
alienate	отчужди	0.247	0.500	0.523
alienated	отчужден	0.410	0.423	0.559
alienation	отчуждение	0.378	0.530	0.462
alight	запален	0.667	0.657	0.605
align	подравняване	0.656	0.364	0.627
aligned	подравнен	0.583	0.275	0.553
alignment	подравняване	0.643	0.412	0.683
alike	еднакъв	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	издръжка	0.612	0.477	0.464
aliquot	кратен	0.440	0.310	0.404
alive	жив	0.816	0.637	0.731
alkali	основа	0.490	0.350	0.408
alkaloids	алкалоиди	0.433	0.562	0.402
allay	успокоявам	0.417	0.406	0.398
allegation	твърдение	0.578	0.578	0.608
allege	твърдя	0.418	0.482	0.587
alleged	предполагаем	0.365	0.522	0.520
allegiance	вярност	0.917	0.398	0.750
allegorical	алегоричен	0.517	0.558	0.598
allegory	алегория	0.615	0.580	0.509
allegro	алегро	0.635	0.627	0.453
allergic	алергичен	0.135	0.549	0.273
allergy	алергия	0.296	0.606	0.389
alleviate	облекчаване	0.869	0.270	0.528
alleviation	облекчение	0.735	0.200	0.491
alley	алея	0.347	0.500	0.355
alleyway	тясна уличка	0.357	0.471	0.382
alliance	съюз	0.696	0.473	0.769
allied	съюзнически	0.714	0.245	0.642
alligator	алигатор	0.354	0.704	0.645
allocate	разпредели	0.673	0.462	0.672
allocation	разпределяне	0.604	0.388	0.679
allot	възлагам	0.622	0.481	0.616
allotment	разпределяне	0.600	0.390	0.640
allow	позволява	0.698	0.429	0.538
allowable	допустим	0.698	0.500	0.561
allowance	отстъпка	0.673	0.382	0.591
allowed	позволен	0.730	0.360	0.655
alloy	сплав	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	чар	0.804	0.585	0.686
alluring	съблазнителен	0.837	0.745	0.843
allusion	алюзия	0.440	0.308	0.462
alluvial	наносен	0.323	0.490	0.491
ally	съюзник	0.792	0.320	0.688
almanac	алманах	0.688	0.190	0.412
almighty	всемогъщ	0.938	0.874	0.958
almond	бадем	0.698	0.183	0.314
aloft	по време на полета	0.771	0.373	0.700
aloha	алоха	0.698	0.440	0.441
alone	сам	0.333	0.167	0.216
alongside	успоредно	0.458	0.333	0.347
aloof	сдържан	0.189	0.423	0.302
aloud	на глас	0.458	0.713	0.750
alpha	алфа	0.708	0.340	0.755
alphabet	азбука	0.562	0.204	0.672
alphabetical	азбучен	0.537	0.296	0.535
alpine	алпийски	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	олтар	0.724	0.387	0.635
altar boy	олтар момче	0.434	0.206	0.350
alter	промени	0.333	0.694	0.654
alteration	промяна	0.167	0.798	0.609
altercation	кавга	0.170	0.806	0.500
altered	променен	0.255	0.765	0.500
alternate	заместник	0.625	0.363	0.589
alternating	редуващ се	0.480	0.494	0.542
alternative	алтернатива	0.628	0.373	0.631
altimeter	алтиметър	0.615	0.510	0.580
altitude	надморска височина	0.708	0.482	0.736
alto	алт	0.656	0.404	0.730
altogether	напълно	0.833	0.324	0.644
aluminum	алуминий	0.449	0.280	0.434
alumnus	възпитаник на даден университет	0.633	0.368	0.422
alveolar	алвеоларен	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амалгама	0.438	0.333	0.510
amalgamation	сливане	0.406	0.470	0.531
amaretto	амарето	0.543	0.551	0.375
amass	събирам	0.552	0.465	0.465
amateur	любител	0.469	0.500	0.409
amaze	удиви	0.896	0.843	0.783
amazed	изумени	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	изумление	0.750	0.800	0.639
amazing	удивителен	0.906	0.837	0.849
amazingly	изумително	0.918	0.765	0.920
ambassador	посланик	0.651	0.529	0.917
amber	кехлибар	0.635	0.308	0.369
ambience	атмосфера	0.735	0.356	0.426
ambient	околен	0.625	0.360	0.582
ambiguity	неяснота	0.164	0.460	0.370
ambiguous	двусмислен	0.265	0.462	0.358
ambit	обсег	0.479	0.380	0.386
ambition	амбиция	0.510	0.804	0.661
ambitious	амбициозен	0.484	0.821	0.717
ambivalent	противоречив	0.510	0.404	0.482
ambrosia	амброзия	0.571	0.452	0.480
ambulance	линейка	0.500	0.750	0.609
ambush	засада	0.281	0.830	0.500
ameliorate	подобрявам	0.770	0.548	0.747
amen	амин	0.781	0.182	0.542
amenable	податлив	0.448	0.410	0.406
amend	изменят	0.688	0.406	0.658
amendment	изменение	0.531	0.459	0.606
amends	обезщетение	0.640	0.366	0.517
amenity	вежливост	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	симпатичен	0.847	0.290	0.483
amicable	приятелски	0.875	0.330	0.507
amid	сред	0.510	0.340	0.256
amidst	сред	0.480	0.330	0.316
amino	амино	0.551	0.402	0.433
ammo	боеприпаси	0.323	0.765	0.621
ammonia	амоняк	0.292	0.587	0.409
ammonium	амоний	0.354	0.396	0.368
ammunition	боеприпаси	0.338	0.635	0.667
amnesia	амнезия	0.296	0.330	0.308
amnesty	амнистия	0.551	0.451	0.814
amorous	влюбчив	0.844	0.670	0.636
amorphous	аморфен	0.327	0.402	0.349
amortization	амортизация	0.592	0.491	0.522
amount	количество	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	усилвател	0.439	0.393	0.375
ampersand	знакът '&'	0.480	0.448	0.483
amphetamines	амфетамини	0.133	0.667	0.526
amphibian	хидроплан	0.427	0.357	0.474
amphibious	двойствен	0.479	0.346	0.445
amphitheater	амфитеатър	0.653	0.480	0.545
ample	предостатъчен	0.744	0.349	0.719
amplification	усилване	0.690	0.677	0.810
amplify	усилване	0.677	0.735	0.827
amplitude	амплитуда	0.694	0.439	0.692
amply	щедро	0.781	0.431	0.766
amputate	отрязвам	0.092	0.660	0.509
amputation	ампутиране	0.100	0.755	0.483
amuck	в гнева си	0.385	0.602	0.321
amulet	амулет	0.781	0.260	0.630
amuse	разсмивам	0.812	0.684	0.664
amused	развеселен	0.942	0.847	0.596
amusement	забавление	0.929	0.837	0.803
amusing	забавен	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	анаконда	0.146	0.830	0.540
anaesthesia	анестезия	0.350	0.217	0.473
anaesthetic	упойка	0.449	0.268	0.509
anagram	анаграма	0.552	0.327	0.449
anal	анален	0.333	0.798	0.334
analgesic	аналгетик	0.417	0.321	0.441
analogous	аналогичен	0.531	0.270	0.500
analogue	аналог	0.570	0.320	0.446
analogy	аналогия	0.510	0.367	0.509
analysis	анализ	0.729	0.448	0.705
analyst	аналитик	0.604	0.415	0.755
analytic	аналитичен	0.665	0.521	0.634
analytical	аналитичен	0.625	0.324	0.800
analyze	анализирам	0.667	0.462	0.710
analyzer	анализатор	0.625	0.556	0.854
anaphylactic	анафилактичен	0.378	0.588	0.500
anarchism	анархизъм	0.125	0.804	0.623
anarchist	анархист	0.204	0.700	0.759
anarchy	анархия	0.146	0.755	0.620
anastomosis	група вени	0.375	0.470	0.490
anathema	анатема	0.286	0.490	0.519
anatomic	анатомически	0.562	0.442	0.546
anatomy	анатомия	0.562	0.390	0.571
ancestor	прародител	0.592	0.388	0.594
ancestral	потомствен	0.640	0.481	0.750
ancestry	потекло	0.708	0.519	0.717
anchor	котва	0.520	0.284	0.564
