Word	Uzbek-uz	Valence	Arousal	Dominance
addressee	qabul qiluvchi	0.622	0.382	0.538
addresses	manzillari	0.510	0.354	0.450
adept	usta	0.594	0.539	0.789
adequacy	adekvatlik	0.615	0.435	0.702
adequate	etarli	0.854	0.264	0.705
adhere	saqlang	0.633	0.339	0.554
adherence	sodiqlik	0.760	0.307	0.630
adherent	yopishgan	0.561	0.385	0.555
adhering	yopishgan	0.612	0.561	0.537
adhesion	yopishqoqlik	0.521	0.445	0.586
adhesive	yopishtiruvchi	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipoz	0.333	0.350	0.391
adjacency	qo'shnichilik	0.365	0.417	0.375
adjacent	ulashgan	0.645	0.276	0.536
adjective	sifati	0.570	0.316	0.569
adjoining	qo'shni	0.520	0.400	0.393
adjourn	kechikish	0.385	0.456	0.475
adjournment	kechiktirish	0.438	0.510	0.370
adjudicate	qaror qabul qilish	0.559	0.520	0.683
adjudication	sud qarorlari	0.551	0.462	0.691
adjunct	adjunkt	0.459	0.440	0.426
adjust	sozlang	0.647	0.327	0.638
adjuster	sozlovchi	0.510	0.540	0.760
adjustment	moslashish	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	boshqarish	0.635	0.425	0.860
administration	boshqarish	0.625	0.404	0.786
administrative	ma'muriy	0.542	0.415	0.579
administrator	ma'mur	0.538	0.480	0.902
admirable	yoqimli	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	hayrat	0.969	0.583	0.726
admire	hayratga tushadi	0.867	0.692	0.704
admired	hayratga tushdi	0.917	0.560	0.815
admirer	muxlis	0.796	0.720	0.650
admiring	yoqimli	0.867	0.578	0.629
admissibility	qabul qilinishi mumkinligi	0.802	0.580	0.602
admissible	qabul qilinishi mumkin emas	0.780	0.528	0.642
admission	qabul qilish	0.802	0.415	0.732
admit	tan olish	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	tan oldi	0.720	0.490	0.767
admitting	qabul qilish	0.620	0.500	0.546
admixture	aralashtirma	0.450	0.375	0.438
admonition	ogohlantirish	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	Yoshlik	0.487	0.694	0.444
adolescent	o'smir	0.781	0.680	0.509
adopt	qabul qilish	0.694	0.612	0.701
adoption	qabul qilish	0.625	0.566	0.589
adoptive	qabul qiluvchi	0.531	0.469	0.520
adorable	yoqimli	0.969	0.519	0.457
adoration	xayrixohlik	0.885	0.699	0.708
adore	yoqimli	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	bezatilgan	0.910	0.424	0.482
adornment	ziynat	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	kattalar	0.815	0.491	0.787
adulterated	yolg'on gapirdi	0.188	0.865	0.370
adulterer	zinokor	0.229	0.814	0.407
adultery	xiyonat	0.120	0.922	0.510
adulthood	kattalar	0.541	0.454	0.652
advance	oldinga	0.673	0.472	0.858
advanced	rivojlangan	0.844	0.623	0.797
advancement	taraqqiyot	0.776	0.650	0.839
advancing	rivojlanmoqda	0.929	0.608	0.812
advantage	afzalliklari	0.917	0.548	0.859
advantageous	foydalidir	0.837	0.640	0.789
advent	kelishi	0.665	0.560	0.627
adventure	sarguzasht	0.917	0.857	0.710
adventurer	adventurer	0.781	0.839	0.868
adventures	sarguzashtlar	0.812	0.764	0.749
adventurous	sarguzasht	0.969	0.898	0.722
adversary	dushman	0.349	0.777	0.457
adverse	salbiy	0.323	0.610	0.385
adversity	qiyinchilik	0.276	0.760	0.538
advertise	reklama qiling	0.500	0.529	0.580
advertisement	reklama	0.600	0.566	0.539
advertising	reklama	0.622	0.608	0.632
adverts	reklamalar	0.551	0.500	0.595
advice	maslahat	0.698	0.408	0.688
advisable	tavsiya etiladi	0.867	0.480	0.510
advise	maslahat bering	0.760	0.393	0.705
advised	tavsiya etilgan	0.823	0.330	0.509
advisement	maslahat	0.698	0.235	0.655
adviser	maslahatchi	0.745	0.362	0.705
advisor	maslahatchisi	0.646	0.350	0.689
advisory	maslahat	0.656	0.429	0.633
advocacy	advokatlashtirish	0.500	0.646	0.731
advocate	advokat	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	shamollatish	0.550	0.500	0.433
aerial	havo	0.615	0.461	0.463
aerobics	aerobika	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodinamik	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronavtika	0.551	0.633	0.688
aeroplane	samolyot	0.714	0.642	0.644
aerospace	aviatsiya	0.643	0.520	0.779
aesthetic	estetik	0.708	0.442	0.526
aesthetics	estetikalar	0.847	0.327	0.549
aetiology	etiologiya	0.480	0.398	0.615
afar	uzoqdan	0.396	0.373	0.358
affable	mehrli	0.704	0.380	0.452
affair	munosabatlar	0.520	0.459	0.657
affect	ta'sir qiladi	0.458	0.569	0.578
affecting	ta'sir	0.350	0.574	0.394
affection	muhabbat	0.898	0.559	0.696
affectionate	mehrli	0.949	0.422	0.550
affections	ta'sir qiladi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	bog'liq	0.673	0.519	0.535
affiliation	a'zolik	0.615	0.594	0.500
affinity	qarindoshlik	0.800	0.500	0.537
affirm	tasdiqlang	0.745	0.509	0.731
affirmation	tasdiqlash	0.750	0.500	0.689
affirmative	ijobiy	0.854	0.589	0.816
affirmatively	ijobiy tarzda	0.908	0.500	0.811
affix	qo'shimchalar	0.438	0.335	0.411
afflict	azoblanish	0.302	0.555	0.293
afflicted	qiynalgan	0.271	0.500	0.167
affliction	azob	0.294	0.635	0.392
affluence	boylik	0.663	0.618	0.722
affluent	boy	0.756	0.388	0.477
afford	o'z ko'zlari bilan	0.571	0.580	0.575
affordable	arzon	0.840	0.398	0.493
affront	tahqirlash	0.327	0.740	0.547
affronted	e'tiroz bildirdi	0.385	0.750	0.527
afield	Afield	0.594	0.370	0.373
afire	olov	0.367	0.904	0.675
afloat	suv ostida	0.602	0.427	0.444
afore	bundan avval	0.500	0.337	0.382
aforementioned	yuqorida keltirilgan	0.490	0.316	0.408
aforesaid	yuqorida aytib o'tilgan	0.531	0.358	0.478
afraid	qo'rqaman	0.010	0.775	0.245
afresh	yangidan boshlang	0.643	0.521	0.480
african	afrikalik	0.490	0.423	0.555
aft	kechikish	0.480	0.417	0.518
afterlife	keyin hayot	0.571	0.567	0.568
aftermath	keyin	0.312	0.449	0.444
afternoon	tushdan keyin	0.533	0.388	0.339
aftershave	keyinchalik	0.406	0.384	0.415
aftertaste	pishirishdan keyin	0.354	0.362	0.455
afterthought	keyinchalik	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	yoshi	0.561	0.226	0.498
aged	yoshi katta	0.135	0.365	0.236
agency	agentligi	0.460	0.296	0.583
agenda	kun tartibi	0.531	0.296	0.553
agent	agenti	0.480	0.439	0.755
agglomeration	aglomeratsiya	0.450	0.765	0.509
aggravate	og'irlashadi	0.224	0.770	0.464
aggravated	og'irlashdi	0.079	0.760	0.430
aggravates	og'irlashadi	0.108	0.778	0.357
aggravating	og'irlashtirmoqda	0.257	0.794	0.640
aggravation	tobora kuchaymoqda	0.071	0.784	0.613
aggregate	jami	0.730	0.378	0.556
aggregation	aggregatsiya	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	tajovuz	0.094	0.929	0.533
aggressive	tajovuzkor	0.125	0.949	0.648
aggressively	agressiv ravishda	0.250	0.926	0.688
aggressiveness	tajovuzkorlik	0.077	0.913	0.648
aggressor	tajovuzkor	0.146	0.948	0.823
agh	ach	0.260	0.500	0.400
aghast	ahmoqlik	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	tezkor	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	qarish	0.214	0.255	0.284
agitate	agitatsiya qilish	0.300	0.796	0.593
agitated	hayajonlangan	0.444	0.882	0.491
agitation	ajitasyon	0.240	0.931	0.447
aglow	haydash	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	oldin	0.317	0.280	0.404
agonizing	zo'ravonlik	0.083	0.800	0.340
agony	azob	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	qabul qilaman	0.906	0.260	0.545
agreeable	yoqimli	0.906	0.500	0.696
agreed	qabul qildi	0.797	0.449	0.574
agreeing	shartnoma	0.854	0.480	0.557
agreement	kelishuv	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	qishloq xo'jaligi	0.686	0.321	0.473
agriculture	qishloq xo'jaligi	0.640	0.357	0.465
aground	quruqlikda	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	oldinga	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	yordam	0.796	0.491	0.541
aide	yordamchi	0.724	0.342	0.434
aiding	yordam berish	0.643	0.533	0.569
aids	yordam beradi	0.561	0.480	0.500
ail	oila	0.375	0.434	0.385
ailing	kasal	0.094	0.518	0.153
ailment	kasallik	0.146	0.734	0.277
aim	maqsad	0.481	0.569	0.567
aimless	maqsadsiz	0.150	0.267	0.183
air	havo	0.708	0.163	0.427
airbag	havo yostig'i	0.510	0.402	0.433
airborne	havoga ko'tarilgan	0.542	0.519	0.385
aircraft	samolyotlar	0.646	0.644	0.691
aircraft carrier	samolyot tashuvchi	0.490	0.740	0.727
airfield	aerodrom	0.601	0.650	0.645
airhead	havo yo'li	0.271	0.481	0.276
airlift	avialayner	0.573	0.622	0.642
airline	aviakompaniya	0.650	0.482	0.688
airliner	samolyot	0.667	0.777	0.647
airlock	havo yo'li	0.398	0.520	0.447
airman	samolyot	0.587	0.716	0.721
airplane	samolyot	0.719	0.702	0.708
airport	aeroporti	0.729	0.684	0.682
airs	samolyotlar	0.583	0.196	0.370
airship	samolyot safarlari	0.542	0.472	0.529
airspace	havo sohasi	0.562	0.510	0.640
airspeed	havo tezligi	0.583	0.780	0.544
airstrip	havo yo'li	0.550	0.690	0.649
airtight	havo o'tkazmaydigan	0.479	0.381	0.570
airway	havo yo'li	0.638	0.585	0.482
aisle	qator	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	o'xshash	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	ogohlantirish	0.241	0.882	0.698
alarm clock	budilnik	0.542	0.727	0.642
alarmed	qo'rqib ketgan	0.188	0.822	0.492
alarming	tashvish beruvchi	0.204	0.890	0.585
alas	Afsuski	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albom	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	spirtli ichimlik	0.323	0.667	0.377
alcoholic	spirtli	0.153	0.688	0.361
alcoholism	alkogolizm	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ogohlantirish	0.479	0.820	0.648
alertness	ogohlantirish	0.375	0.875	0.750
alerts	ogohlantirishlar	0.337	0.804	0.673
alfalfa	beda	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraik	0.531	0.412	0.441
algorithm	algoritm	0.448	0.394	0.559
alias	boshqa nom	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	begona	0.410	0.615	0.491
alienate	yabancılaştırmak	0.247	0.500	0.523
alienated	begonalashtirildi	0.410	0.423	0.559
alienation	yabancılaşma	0.378	0.530	0.462
alight	olov	0.667	0.657	0.605
align	hizalaning	0.656	0.364	0.627
aligned	hizaladi	0.583	0.275	0.553
alignment	hizalama	0.643	0.412	0.683
alike	bir xil	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	aliment	0.612	0.477	0.464
aliquot	alikot	0.440	0.310	0.404
alive	tirik	0.816	0.637	0.731
alkali	gidroksidi	0.490	0.350	0.408
alkaloids	alkaloidlar	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	da'vo	0.578	0.578	0.608
allege	da'vo qilish	0.418	0.482	0.587
alleged	da'vo qilingan	0.365	0.522	0.520
allegiance	sadoqat	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergik	0.135	0.549	0.273
allergy	allergiya	0.296	0.606	0.389
alleviate	engillashtirish	0.869	0.270	0.528
alleviation	kamaytirish	0.735	0.200	0.491
alley	xiyobon	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	ittifoq	0.696	0.473	0.769
allied	ittifoqdosh	0.714	0.245	0.642
alligator	timsol	0.354	0.704	0.645
allocate	ajratish	0.673	0.462	0.672
allocation	ajratish	0.604	0.388	0.679
allot	ajratish	0.622	0.481	0.616
allotment	ajratish	0.600	0.390	0.640
allow	ruxsat berish	0.698	0.429	0.538
allowable	ruxsat etiladi	0.698	0.500	0.561
allowance	nafaqa	0.673	0.382	0.591
allowed	ruxsat berilgan	0.730	0.360	0.655
alloy	qotishma	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	chiroylik	0.804	0.585	0.686
alluring	jozibali	0.837	0.745	0.843
allusion	alomatlar	0.440	0.308	0.462
alluvial	allyuvial	0.323	0.490	0.491
ally	ittifoqdosh	0.792	0.320	0.688
almanac	almanax	0.688	0.190	0.412
almighty	qudratli	0.938	0.874	0.958
almond	bodom	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	yolg'iz	0.333	0.167	0.216
alongside	bilan birga	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	baland ovozda	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alifbo	0.562	0.204	0.672
alphabetical	alifbo tartibida	0.537	0.296	0.535
alpine	Alp tog'lari	0.594	0.337	0.474
alreadyyyyy	allaqachon	0.592	0.717	0.351
altar	qurbongoh	0.724	0.387	0.635
altar boy	qurbongoh o'g'li	0.434	0.206	0.350
alter	o'zgartirish	0.333	0.694	0.654
alteration	o'zgarish	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	o'zgartirilgan	0.255	0.765	0.500
alternate	muqobil	0.625	0.363	0.589
alternating	o'zgaruvchan	0.480	0.494	0.542
alternative	muqobil	0.628	0.373	0.631
altimeter	altimetr	0.615	0.510	0.580
altitude	balandligi	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	birgalikda	0.833	0.324	0.644
aluminum	alyuminiy	0.449	0.280	0.434
alumnus	bitiruvchisi	0.633	0.368	0.422
alveolar	alveolalar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	birlashma	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	to'plash	0.552	0.465	0.465
amateur	amatör	0.469	0.500	0.409
amaze	ajablantiradigan	0.896	0.843	0.783
amazed	hayratga tushdi	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	hayratga tushdi	0.750	0.800	0.639
amazing	ajoyib	0.906	0.837	0.849
amazingly	ajoyib tarzda	0.918	0.765	0.920
ambassador	elchi	0.651	0.529	0.917
amber	kehribar	0.635	0.308	0.369
ambience	muhit	0.735	0.356	0.426
ambient	muhit	0.625	0.360	0.582
ambiguity	noaniqlik	0.164	0.460	0.370
ambiguous	noaniq	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	hirs	0.510	0.804	0.661
ambitious	ehtirosli	0.484	0.821	0.717
ambivalent	qarama-qarshi	0.510	0.404	0.482
ambrosia	ambrosiya	0.571	0.452	0.480
ambulance	tezyordam	0.500	0.750	0.609
ambush	pistirma	0.281	0.830	0.500
ameliorate	yaxshilash	0.770	0.548	0.747
amen	Omin	0.781	0.182	0.542
amenable	javob beradi	0.448	0.410	0.406
amend	o'zgartirish	0.688	0.406	0.658
amendment	o'zgartirish	0.531	0.459	0.606
amends	o'zgartiradi	0.640	0.366	0.517
amenity	qulaylik	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	xushbichim	0.847	0.290	0.483
amicable	do'stona	0.875	0.330	0.507
amid	o'rtasida	0.510	0.340	0.256
amidst	o'rtasida	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammiak	0.292	0.587	0.409
ammonium	ammiak	0.354	0.396	0.368
ammunition	o'q-dorilar	0.338	0.635	0.667
amnesia	amneziya	0.296	0.330	0.308
amnesty	amnistiya	0.551	0.451	0.814
amorous	mamnun	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortizatsiya	0.592	0.491	0.522
amount	miqdori	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	Amfetaminlar	0.133	0.667	0.526
amphibian	amfibiya	0.427	0.357	0.474
amphibious	amfibi	0.479	0.346	0.445
amphitheater	amfiteatr	0.653	0.480	0.545
ample	juda ko'p	0.744	0.349	0.719
