Word	Hindi-hi	Valence	Arousal	Dominance
adder	योजक	0.388	0.461	0.588
addict	व्यसनी	0.075	0.696	0.327
addicted	लत लग	0.156	0.712	0.483
addiction	लत	0.180	0.806	0.420
addictive	नशे की लत	0.302	0.683	0.472
addition	इसके अलावा	0.562	0.373	0.471
additional	अतिरिक्त	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	पता	0.650	0.327	0.567
addressee	पत्र पानेवाला	0.622	0.382	0.538
addresses	पतों	0.510	0.354	0.450
adept	निपुण	0.594	0.539	0.789
adequacy	पर्याप्तता	0.615	0.435	0.702
adequate	पर्याप्त	0.854	0.264	0.705
adhere	पालन ​​करना	0.633	0.339	0.554
adherence	अनुपालन	0.760	0.307	0.630
adherent	पक्षपाती	0.561	0.385	0.555
adhering	पालन	0.612	0.561	0.537
adhesion	आसंजन	0.521	0.445	0.586
adhesive	गोंद	0.604	0.350	0.413
adieu	विदाई	0.250	0.471	0.342
adipose	वसा	0.333	0.350	0.391
adjacency	समीपता	0.365	0.417	0.375
adjacent	सटा हुआ	0.645	0.276	0.536
adjective	विशेषण	0.570	0.316	0.569
adjoining	साथ लगा हुआ	0.520	0.400	0.393
adjourn	स्थगित होना	0.385	0.456	0.475
adjournment	स्थगन	0.438	0.510	0.370
adjudicate	निर्णय करना	0.559	0.520	0.683
adjudication	न्यायिक निर्णय	0.551	0.462	0.691
adjunct	सहायक	0.459	0.440	0.426
adjust	समायोजित	0.647	0.327	0.638
adjuster	समायोजक	0.510	0.540	0.760
adjustment	समायोजन	0.590	0.520	0.661
adjuvant	सहायक	0.510	0.500	0.456
admin	व्यवस्थापक	0.688	0.420	0.854
administer	प्रशासन के	0.635	0.425	0.860
administration	शासन प्रबंध	0.625	0.404	0.786
administrative	प्रशासनिक	0.542	0.415	0.579
administrator	प्रशासक	0.538	0.480	0.902
admirable	प्रशंसनीय	0.929	0.600	0.870
admiral	एडमिरल	0.844	0.490	0.847
admiralty	नौवाहनविभाग	0.594	0.547	0.733
admiration	प्रशंसा	0.969	0.583	0.726
admire	प्रशंसा	0.867	0.692	0.704
admired	प्रशंसा की	0.917	0.560	0.815
admirer	प्रशंसक	0.796	0.720	0.650
admiring	निहार	0.867	0.578	0.629
admissibility	स्वीकार्यता	0.802	0.580	0.602
admissible	स्वीकार्य	0.780	0.528	0.642
admission	दाखिला	0.802	0.415	0.732
admit	स्वीकार करना	0.538	0.423	0.667
admittance	प्रवेश	0.690	0.451	0.598
admitted	स्वीकार किया	0.720	0.490	0.767
admitting	स्वीकार	0.620	0.500	0.546
admixture	मिश्रण	0.450	0.375	0.438
admonition	चेतावनी	0.357	0.606	0.455
ado	हलचल	0.520	0.423	0.385
adobe	एडोब	0.500	0.319	0.328
adolescence	किशोरावस्था	0.487	0.694	0.444
adolescent	किशोर	0.781	0.680	0.509
adopt	अपनाना	0.694	0.612	0.701
adoption	दत्तक ग्रहण	0.625	0.566	0.589
adoptive	गोद लेने योग्य	0.531	0.469	0.520
adorable	प्यारी	0.969	0.519	0.457
adoration	आराधना	0.885	0.699	0.708
adore	प्यार करते हैं	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	सजाना	0.910	0.424	0.482
adornment	अलंकरण	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	एड्रेनालाईन	0.765	0.965	0.825
adrift	भटकते हुए	0.398	0.486	0.230
adult	वयस्क	0.815	0.491	0.787
adulterated	मिलावटी	0.188	0.865	0.370
adulterer	परस्रीगमी	0.229	0.814	0.407
adultery	व्यभिचार	0.120	0.922	0.510
adulthood	वयस्कता	0.541	0.454	0.652
advance	अग्रिम	0.673	0.472	0.858
advanced	उन्नत	0.844	0.623	0.797
advancement	उन्नति	0.776	0.650	0.839
advancing	आगे बढ़ाने	0.929	0.608	0.812
advantage	फायदा	0.917	0.548	0.859
advantageous	लाभदायक	0.837	0.640	0.789
advent	आगमन	0.665	0.560	0.627
adventure	साहसिक	0.917	0.857	0.710
adventurer	साहसी	0.781	0.839	0.868
adventures	रोमांच	0.812	0.764	0.749
adventurous	साहसी	0.969	0.898	0.722
adversary	वैरी	0.349	0.777	0.457
adverse	विपरीत	0.323	0.610	0.385
adversity	विपत्ति	0.276	0.760	0.538
advertise	विज्ञापित	0.500	0.529	0.580
advertisement	विज्ञापन	0.600	0.566	0.539
advertising	विज्ञापन	0.622	0.608	0.632
adverts	विज्ञापनों	0.551	0.500	0.595
advice	सलाह	0.698	0.408	0.688
advisable	उचित	0.867	0.480	0.510
advise	सलाह देना	0.760	0.393	0.705
advised	सलाह दी	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	सलाहकार	0.745	0.362	0.705
advisor	सलाहकार	0.646	0.350	0.689
advisory	सलाहकार	0.656	0.429	0.633
advocacy	वकालत	0.500	0.646	0.731
advocate	वकील	0.551	0.530	0.818
aegis	तत्वावधान	0.490	0.439	0.462
aeration	वातन	0.550	0.500	0.433
aerial	हवाई	0.615	0.461	0.463
aerobics	एरोबिक्स	0.708	0.771	0.627
aerodrome	हवाई अड्डा	0.541	0.740	0.678
aerodynamic	वायुगतिकीय	0.561	0.724	0.728
aerodynamics	वायुगतिकी	0.590	0.663	0.722
aeronautics	वैमानिकी	0.551	0.633	0.688
aeroplane	विमान	0.714	0.642	0.644
aerospace	एयरोस्पेस	0.643	0.520	0.779
aesthetic	सौंदर्य	0.708	0.442	0.526
aesthetics	सौंदर्यशास्र	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	दूर	0.396	0.373	0.358
affable	मिलनसार	0.704	0.380	0.452
affair	चक्कर	0.520	0.459	0.657
affect	को प्रभावित	0.458	0.569	0.578
affecting	प्रभावित करने वाले	0.350	0.574	0.394
affection	स्नेह	0.898	0.559	0.696
affectionate	स्नेही	0.949	0.422	0.550
affections	प्यार	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	शपत पात्र	0.469	0.584	0.526
affiliated	सम्बद्ध	0.673	0.519	0.535
affiliation	संबंधन	0.615	0.594	0.500
affinity	आत्मीयता	0.800	0.500	0.537
affirm	वाणी	0.745	0.509	0.731
affirmation	प्रतिज्ञान	0.750	0.500	0.689
affirmative	सकारात्मक	0.854	0.589	0.816
affirmatively	सकारात्मक	0.908	0.500	0.811
affix	प्रत्यय	0.438	0.335	0.411
afflict	पीड़ा देना	0.302	0.555	0.293
afflicted	संतप्त	0.271	0.500	0.167
affliction	यातना	0.294	0.635	0.392
affluence	समृद्धि	0.663	0.618	0.722
affluent	धनी	0.756	0.388	0.477
afford	बर्दाश्त	0.571	0.580	0.575
affordable	सस्ती	0.840	0.398	0.493
affront	अपमान	0.327	0.740	0.547
affronted	अपमानित	0.385	0.750	0.527
afield	खेत	0.594	0.370	0.373
afire	एक आग	0.367	0.904	0.675
afloat	बचाए	0.602	0.427	0.444
afore	आगे	0.500	0.337	0.382
aforementioned	पूर्वकथित	0.490	0.316	0.408
aforesaid	पूर्वोक्त	0.531	0.358	0.478
afraid	डरा हुआ	0.010	0.775	0.245
afresh	नए सिरे से	0.643	0.521	0.480
african	अफ़्रीकी	0.490	0.423	0.555
aft	पिछाड़ी	0.480	0.417	0.518
afterlife	पुनर्जन्म	0.571	0.567	0.568
aftermath	परिणाम	0.312	0.449	0.444
afternoon	दोपहर	0.533	0.388	0.339
aftershave	आफ़्टरशेव	0.406	0.384	0.415
aftertaste	स्वाद	0.354	0.362	0.455
afterthought	बाद का विचार	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	मुंह खोले हुए	0.612	0.529	0.464
agate	सुलेमानी पत्थर	0.540	0.377	0.483
age	आयु	0.561	0.226	0.498
aged	वृद्ध	0.135	0.365	0.236
agency	एजेंसी	0.460	0.296	0.583
agenda	कार्यसूची	0.531	0.296	0.553
agent	एजेंट	0.480	0.439	0.755
agglomeration	ढेर	0.450	0.765	0.509
aggravate	छेड़ना	0.224	0.770	0.464
aggravated	बहुत बिगड़	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	उत्तेजक	0.257	0.794	0.640
aggravation	उत्तेजना	0.071	0.784	0.613
aggregate	कुल	0.730	0.378	0.556
aggregation	एकत्रीकरण	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	आक्रमण	0.094	0.929	0.533
aggressive	आक्रामक	0.125	0.949	0.648
aggressively	उग्रता के साथ	0.250	0.926	0.688
aggressiveness	आक्रामकता	0.077	0.913	0.648
aggressor	आक्रामक	0.146	0.948	0.823
agh	आह	0.260	0.500	0.400
aghast	भौचक्का	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	चुस्त	0.800	0.657	0.775
agility	चपलता	0.720	0.702	0.815
aging	उम्र बढ़ने	0.214	0.255	0.284
agitate	उत्तेजित करना	0.300	0.796	0.593
agitated	उत्तेजित	0.444	0.882	0.491
agitation	आंदोलन	0.240	0.931	0.447
aglow	दमकता हुआ	0.780	0.510	0.797
agnostic	अज्ञेयवाद का	0.306	0.396	0.574
ago	पूर्व	0.317	0.280	0.404
agonizing	अति पीड़ा देनेवाला	0.083	0.800	0.340
agony	व्यथा	0.083	0.775	0.393
agoraphobia	भीड़ से डर लगना	0.127	0.712	0.438
agree	इस बात से सहमत	0.906	0.260	0.545
agreeable	सहमत	0.906	0.500	0.696
agreed	माना	0.797	0.449	0.574
agreeing	सहमत होने से	0.854	0.480	0.557
agreement	समझौता	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	कृषि	0.686	0.321	0.473
agriculture	कृषि	0.640	0.357	0.465
aground	टिका हुआ	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	आगे	0.708	0.520	0.673
ahhh	आह	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	एहोय	0.500	0.497	0.380
aid	सहायता	0.796	0.491	0.541
aide	सहयोगी	0.724	0.342	0.434
aiding	सहायता	0.643	0.533	0.569
aids	एड्स	0.561	0.480	0.500
ail	बीमार होना	0.375	0.434	0.385
ailing	बीमार	0.094	0.518	0.153
ailment	रोग	0.146	0.734	0.277
aim	लक्ष्य	0.481	0.569	0.567
aimless	लक्ष्यहीन	0.150	0.267	0.183
air	वायु	0.708	0.163	0.427
airbag	एयरबैग	0.510	0.402	0.433
airborne	हवाई	0.542	0.519	0.385
aircraft	हवाई जहाज	0.646	0.644	0.691
aircraft carrier	विमान वाहक	0.490	0.740	0.727
airfield	हवाई क्षेत्र	0.601	0.650	0.645
airhead	एयरहेड	0.271	0.481	0.276
airlift	विमान सेवा	0.573	0.622	0.642
airline	एयरलाइन	0.650	0.482	0.688
airliner	विमान	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	विमान-चालक	0.587	0.716	0.721
airplane	विमान	0.719	0.702	0.708
airport	हवाई अड्डा	0.729	0.684	0.682
airs	एयर्स	0.583	0.196	0.370
airship	हवाई पोत	0.542	0.472	0.529
airspace	हवाई क्षेत्र	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	हवाई पट्टी	0.550	0.690	0.649
airtight	वायु-रोधक	0.479	0.381	0.570
airway	वायु-मार्ग	0.638	0.585	0.482
aisle	गलियारा	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	उर्फ	0.459	0.358	0.351
akin	सदृश्य	0.639	0.343	0.523
alabaster	सिलखड़ी	0.542	0.404	0.445
alarm	अलार्म	0.241	0.882	0.698
alarm clock	अलार्म घड़ी	0.542	0.727	0.642
alarmed	चिंतित	0.188	0.822	0.492
alarming	खतरनाक	0.204	0.890	0.585
alas	हाय	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	भारी अड़चन	0.500	0.445	0.527
albino	सूरजमुखी मनुष्य	0.500	0.240	0.358
album	एल्बम	0.635	0.349	0.453
alchemy	रस-विधा	0.541	0.583	0.693
alcohol	शराब	0.323	0.667	0.377
alcoholic	शराबी	0.153	0.688	0.361
alcoholism	शराब	0.061	0.779	0.407
alcove	घिरौची	0.490	0.340	0.356
alderman	उर्ननग रपाल	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	चेतावनी	0.479	0.820	0.648
alertness	मुस्तैदी	0.375	0.875	0.750
alerts	अलर्ट	0.337	0.804	0.673
alfalfa	अल्फाल्फा	0.546	0.250	0.311
algebra	बीजगणित	0.440	0.340	0.565
algebraic	बीजगणितीय	0.531	0.412	0.441
algorithm	कलन विधि	0.448	0.394	0.559
alias	उपनाम	0.541	0.353	0.333
alibi	अन्यत्र उपस्थिति	0.396	0.528	0.556
alien	विदेशी	0.410	0.615	0.491
alienate	हटाना	0.247	0.500	0.523
alienated	अलग-थलग	0.410	0.423	0.559
alienation	अलगाव की भावना	0.378	0.530	0.462
alight	प्रदीप्त करना	0.667	0.657	0.605
align	संरेखित	0.656	0.364	0.627
aligned	संरेखित किया गया	0.583	0.275	0.553
alignment	संरेखण	0.643	0.412	0.683
alike	एक जैसे	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	निर्वाह निधि	0.612	0.477	0.464
aliquot	विभाज्य	0.440	0.310	0.404
alive	ज़िंदा	0.816	0.637	0.731
alkali	क्षार	0.490	0.350	0.408
alkaloids	एल्कलॉइड	0.433	0.562	0.402
allay	निराकरणकरना	0.417	0.406	0.398
allegation	आरोप	0.578	0.578	0.608
allege	आरोप है	0.418	0.482	0.587
alleged	कथित तौर पर	0.365	0.522	0.520
allegiance	निष्ठा	0.917	0.398	0.750
allegorical	व्यंजनापूर्ण	0.517	0.558	0.598
allegory	रूपक	0.615	0.580	0.509
allegro	Allegro	0.635	0.627	0.453
allergic	एलर्जी	0.135	0.549	0.273
allergy	एलर्जी	0.296	0.606	0.389
alleviate	कम	0.869	0.270	0.528
alleviation	उपशमन	0.735	0.200	0.491
alley	गली	0.347	0.500	0.355
alleyway	गली	0.357	0.471	0.382
alliance	संधि	0.696	0.473	0.769
allied	सम्बद्ध	0.714	0.245	0.642
alligator	मगर	0.354	0.704	0.645
allocate	आवंटित	0.673	0.462	0.672
allocation	आवंटन	0.604	0.388	0.679
allot	आवंटित	0.622	0.481	0.616
allotment	आवंटन	0.600	0.390	0.640
allow	अनुमति देते हैं	0.698	0.429	0.538
allowable	स्वीकार्य	0.698	0.500	0.561
allowance	भत्ता	0.673	0.382	0.591
allowed	अनुमति	0.730	0.360	0.655
alloy	मिश्र धातु	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	फुसलाना	0.804	0.585	0.686
alluring	मनोहर	0.837	0.745	0.843
allusion	संकेत	0.440	0.308	0.462
alluvial	कछार का	0.323	0.490	0.491
ally	मित्र	0.792	0.320	0.688
almanac	पंचांग	0.688	0.190	0.412
almighty	सर्वशक्तिमान	0.938	0.874	0.958
almond	बादाम	0.698	0.183	0.314
aloft	ऊपर	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	अकेला	0.333	0.167	0.216
alongside	साथ - साथ	0.458	0.333	0.347
aloof	अलग	0.189	0.423	0.302
aloud	जोर से	0.458	0.713	0.750
alpha	अल्फा	0.708	0.340	0.755
alphabet	वर्णमाला	0.562	0.204	0.672
alphabetical	वर्णमाला सम्बन्धी	0.537	0.296	0.535
alpine	अल्पाइन	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	वेदी	0.724	0.387	0.635
altar boy	वेदी सहायक	0.434	0.206	0.350
alter	बदलना	0.333	0.694	0.654
alteration	परिवर्तन	0.167	0.798	0.609
altercation	तकरार	0.170	0.806	0.500
altered	बदल	0.255	0.765	0.500
alternate	वैकल्पिक	0.625	0.363	0.589
alternating	बारी	0.480	0.494	0.542
alternative	विकल्प	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	ऊंचाई	0.708	0.482	0.736
alto	ऑल्टो	0.656	0.404	0.730
altogether	कुल मिलाकर	0.833	0.324	0.644
aluminum	अल्युमीनियम	0.449	0.280	0.434
alumnus	भूतपूर्व छात्र	0.633	0.368	0.422
alveolar	वायुकोशीय	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	मिश्रण	0.438	0.333	0.510
amalgamation	मिश्रण	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	एकत्र करना	0.552	0.465	0.465
amateur	शौक़ीन व्यक्ति	0.469	0.500	0.409
amaze	विस्मित करना	0.896	0.843	0.783
amazed	हैरान	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	विस्मय	0.750	0.800	0.639
amazing	गजब का	0.906	0.837	0.849
amazingly	आश्चर्यजनक	0.918	0.765	0.920
ambassador	दूत	0.651	0.529	0.917
amber	अंबर	0.635	0.308	0.369
ambience	माहौल	0.735	0.356	0.426
ambient	व्यापक	0.625	0.360	0.582
ambiguity	अस्पष्टता	0.164	0.460	0.370
ambiguous	अस्पष्ट	0.265	0.462	0.358
ambit	सीमा	0.479	0.380	0.386
ambition	महत्वाकांक्षा	0.510	0.804	0.661
ambitious	महत्त्वाकांक्षी	0.484	0.821	0.717
ambivalent	उभयभावी	0.510	0.404	0.482
ambrosia	अमृत	0.571	0.452	0.480
ambulance	रोगी वाहन	0.500	0.750	0.609
ambush	घात लगाना	0.281	0.830	0.500
ameliorate	सुधारना	0.770	0.548	0.747
amen	तथास्तु	0.781	0.182	0.542
amenable	वश्य	0.448	0.410	0.406
amend	संशोधन	0.688	0.406	0.658
amendment	संशोधन	0.531	0.459	0.606
amends	हरजाना	0.640	0.366	0.517
amenity	सुख सुविधा	0.750	0.327	0.574
amethyst	बिल्लौर	0.622	0.406	0.517
amiable	सुशील	0.847	0.290	0.483
amicable	मैत्रीपूर्ण	0.875	0.330	0.507
