Word	Hmong-hmn	Valence	Arousal	Dominance
adhesion	adhesion	0.521	0.445	0.586
adhesive	nplaum	0.604	0.350	0.413
adieu	koj nyiam	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	nyob ib sab	0.365	0.417	0.375
adjacent	nyob ib sab	0.645	0.276	0.536
adjective	chaw	0.570	0.316	0.569
adjoining	sib txuas	0.520	0.400	0.393
adjourn	thau xaus	0.385	0.456	0.475
adjournment	sijhawm xaus	0.438	0.510	0.370
adjudicate	ua txhaum	0.559	0.520	0.683
adjudication	kev txiav txim	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	kho	0.647	0.327	0.638
adjuster	teeb tsa	0.510	0.540	0.760
adjustment	kev hloov	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	Admin	0.688	0.420	0.854
administer	tswj hwm	0.635	0.425	0.860
administration	kev tswj hwm	0.625	0.404	0.786
administrative	kev tswj hwm	0.542	0.415	0.579
administrator	tus thawj coj	0.538	0.480	0.902
admirable	qhuas	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	admiration	0.969	0.583	0.726
admire	qhuas	0.867	0.692	0.704
admired	qhuas	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	qhuas	0.867	0.578	0.629
admissibility	kev pom zoo	0.802	0.580	0.602
admissible	lees txais	0.780	0.528	0.642
admission	nkag	0.802	0.415	0.732
admit	lees	0.538	0.423	0.667
admittance	kev nkag	0.690	0.451	0.598
admitted	txais	0.720	0.490	0.767
admitting	lees paub	0.620	0.500	0.546
admixture	kev tuaj yeem	0.450	0.375	0.438
admonition	lus ntuas	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	thaum tiav hluas	0.487	0.694	0.444
adolescent	tub ntxhais hluas	0.781	0.680	0.509
adopt	txais yuav	0.694	0.612	0.701
adoption	kev saws	0.625	0.566	0.589
adoptive	saws	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	kev qhuas	0.885	0.699	0.708
adore	nco txog	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenaline	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	tus laus	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	deev luag poj luag txiv	0.120	0.922	0.510
adulthood	adulthood	0.541	0.454	0.652
advance	ua ntej	0.673	0.472	0.858
advanced	advanced	0.844	0.623	0.797
advancement	kev nce qib	0.776	0.650	0.839
advancing	advancing	0.929	0.608	0.812
advantage	zoo dua	0.917	0.548	0.859
advantageous	zoo	0.837	0.640	0.789
advent	advent	0.665	0.560	0.627
adventure	taug txuj kev nyuaj	0.917	0.857	0.710
adventurer	adventurer	0.781	0.839	0.868
adventures	adventures	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	tus yeeb ncuab	0.349	0.777	0.457
adverse	adverse	0.323	0.610	0.385
adversity	kev nyuaj siab	0.276	0.760	0.538
advertise	tshaj tawm	0.500	0.529	0.580
advertisement	xov xwm	0.600	0.566	0.539
advertising	advertising	0.622	0.608	0.632
adverts	tshaj tawm	0.551	0.500	0.595
advice	tswv yim	0.698	0.408	0.688
advisable	tawm tswv yim	0.867	0.480	0.510
advise	tawm tswv yim	0.760	0.393	0.705
advised	qhia	0.823	0.330	0.509
advisement	kev tawm tswv yim	0.698	0.235	0.655
adviser	adviser	0.745	0.362	0.705
advisor	Advisor	0.646	0.350	0.689
advisory	advisory	0.656	0.429	0.633
advocacy	kev tawm suab	0.500	0.646	0.731
advocate	tus kws lij choj	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	dav hlau	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	zoo nkauj	0.708	0.442	0.526
aesthetics	zoo nkauj	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	plaub	0.396	0.373	0.358
affable	ua tsaug	0.704	0.380	0.452
affair	kev yi	0.520	0.459	0.657
affect	cuam ​​tshuam	0.458	0.569	0.578
affecting	cuam ​​tshuam rau	0.350	0.574	0.394
affection	kev hlub	0.898	0.559	0.696
affectionate	kev hlub	0.949	0.422	0.550
affections	kev hlub	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	affiliated	0.673	0.519	0.535
affiliation	koom nrog	0.615	0.594	0.500
affinity	affinity	0.800	0.500	0.537
affirm	lees paub	0.745	0.509	0.731
affirmation	kev pom zoo	0.750	0.500	0.689
affirmative	qhia tseeb	0.854	0.589	0.816
affirmatively	ua ncaj ncees	0.908	0.500	0.811
affix	sau lo lus	0.438	0.335	0.411
afflict	afflict	0.302	0.555	0.293
afflicted	raug kev txom nyem	0.271	0.500	0.167
affliction	kev txom nyem	0.294	0.635	0.392
affluence	zoo siab	0.663	0.618	0.722
affluent	tus tswv cuab	0.756	0.388	0.477
afford	them taus	0.571	0.580	0.575
affordable	pheej yig	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	tshaj tawm	0.594	0.370	0.373
afire	Afire	0.367	0.904	0.675
afloat	poob siab	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	lo lus hais	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	ntshai	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	Teb chaws africa	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	tom qab lub neej	0.571	0.567	0.568
aftermath	tom qab	0.312	0.449	0.444
afternoon	tav su	0.533	0.388	0.339
aftershave	Ntxiv rau	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	tom qab ntawd	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	hnub nyoog	0.561	0.226	0.498
aged	laus	0.135	0.365	0.236
agency	koom haum	0.460	0.296	0.583
agenda	cov txheej txheem	0.531	0.296	0.553
agent	tus neeg sawv cev	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	nyhav	0.224	0.770	0.464
aggravated	hnyav dua	0.079	0.760	0.430
aggravates	hnyav dua	0.108	0.778	0.357
aggravating	nyhav	0.257	0.794	0.640
aggravation	hnyav dua	0.071	0.784	0.613
aggregate	aggregate	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	kev ua phem	0.094	0.929	0.533
aggressive	txhoj puab heev	0.125	0.949	0.648
aggressively	dhau heev lawm	0.250	0.926	0.688
aggressiveness	kev chim siab	0.077	0.913	0.648
aggressor	tus neeg dag	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ib txhis	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	kev laus	0.720	0.702	0.815
aging	laus	0.214	0.255	0.284
agitate	ua siab ntev	0.300	0.796	0.593
agitated	ntxhov siab	0.444	0.882	0.491
agitation	ntxhov siab	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	dhau los	0.317	0.280	0.404
agonizing	kev nyuaj siab	0.083	0.800	0.340
agony	kev txom nyem	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	pom zoo	0.906	0.260	0.545
agreeable	pom zoo	0.906	0.500	0.696
agreed	pom zoo	0.797	0.449	0.574
agreeing	pom zoo	0.854	0.480	0.557
agreement	kev pom zoo	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ua liaj ua teb	0.686	0.321	0.473
agriculture	ua liaj ua teb	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	tom ntej	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	pab	0.796	0.491	0.541
aide	tus pab	0.724	0.342	0.434
aiding	kev pab	0.643	0.533	0.569
aids	aids	0.561	0.480	0.500
ail	niam	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	kab mob kev nkeeg	0.146	0.734	0.277
aim	aim	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	cua	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	plav hav zoov	0.542	0.519	0.385
aircraft	aircraft	0.646	0.644	0.691
aircraft carrier	aircraft cov cab kuj	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	tus menyuam	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	dav hlau	0.719	0.702	0.708
airport	tshav dav hlau	0.729	0.684	0.682
airs	cua	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	cua daj cua dub	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	lub tswb	0.241	0.882	0.698
alarm clock	tswb moos	0.542	0.727	0.642
alarmed	alarmed	0.188	0.822	0.492
alarming	alarming	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	cawv	0.323	0.667	0.377
alcoholic	dej cawv	0.153	0.688	0.361
alcoholism	kev quav dej caw	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ceeb toom	0.479	0.820	0.648
alertness	alertness	0.375	0.875	0.750
alerts	ceeb toom	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	nawj	0.410	0.615	0.491
alienate	Alienate	0.247	0.500	0.523
alienated	Alienated	0.410	0.423	0.559
alienation	kev tsis sib haum	0.378	0.530	0.462
alight	qhov tseeb	0.667	0.657	0.605
align	dlhos	0.656	0.364	0.627
aligned	kws dlhos	0.583	0.275	0.553
alignment	sib ncag	0.643	0.412	0.683
alike	zoo sib xws	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	kev ua si	0.440	0.310	0.404
alive	ciaj sia	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	kev liam	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	liam	0.365	0.522	0.520
allegiance	allegiance	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	Lus hauv no teb	0.635	0.627	0.453
allergic	allergic	0.135	0.549	0.273
allergy	kev tsis haum	0.296	0.606	0.389
alleviate	alleviate	0.869	0.270	0.528
alleviation	alleviation	0.735	0.200	0.491
alley	phoojywg	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	kev sib haum xeeb	0.696	0.473	0.769
allied	phooj ywg	0.714	0.245	0.642
alligator	tus phom sij	0.354	0.704	0.645
allocate	faib	0.673	0.462	0.672
allocation	faib	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	allotment	0.600	0.390	0.640
allow	cia	0.698	0.429	0.538
allowable	tso cai	0.698	0.500	0.561
allowance	nyiaj pub dawb	0.673	0.382	0.591
allowed	pub	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	phooj ywg	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	muaj hwjchim	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	nyob ib leeg	0.333	0.167	0.216
alongside	alongside	0.458	0.333	0.347
aloof	tsis muaj zog	0.189	0.423	0.302
aloud	nrov nrov	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	niam ntawv	0.562	0.204	0.672
alphabetical	alphabetical	0.537	0.296	0.535
alpine	Alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	lub thaj	0.724	0.387	0.635
altar boy	thaj tub	0.434	0.206	0.350
alter	hloov	0.333	0.694	0.654
alteration	hloov	0.167	0.798	0.609
altercation	kev hloov altercation	0.170	0.806	0.500
altered	hloov kho	0.255	0.765	0.500
alternate	alternate	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	lwm txoj	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	altitude	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	zoo rau nws	0.833	0.324	0.644
aluminum	txhuas	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	ntsaws hniav	0.438	0.333	0.510
amalgamation	kev sib cais	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	pib xyaum ua	0.469	0.500	0.409
amaze	amaze	0.896	0.843	0.783
amazed	xav tsis thoob	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	kev xav tsis thoob	0.750	0.800	0.639
amazing	amazing	0.906	0.837	0.849
amazingly	amazingly	0.918	0.765	0.920
ambassador	Ambassador	0.651	0.529	0.917
amber	Amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambiguity	0.164	0.460	0.370
ambiguous	ambiguous	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambition	0.510	0.804	0.661
ambitious	nquag	0.484	0.821	0.717
ambivalent	tsis pom kev	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulance	0.500	0.750	0.609
ambush	ambush	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	Amenable	0.448	0.410	0.406
amend	hloov kho	0.688	0.406	0.658
amendment	hloov kho	0.531	0.459	0.606
amends	hloov kho	0.640	0.366	0.517
amenity	kev phais	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	mos txwv	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	tus nqi	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheatre	0.653	0.480	0.545
ample	txaus	0.744	0.349	0.719
amplification	kev txhawb zog	0.690	0.677	0.810
amplify	ua kom nrov loj	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	Nqaij	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	ua zoo	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	kev lom zem	0.929	0.837	0.803
amusing	txaus luag	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	tshuaj loog	0.350	0.217	0.473
anaesthetic	tshuaj loog	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	qhov quav	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	analogous	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
