Word	Galician-gl	Valence	Arousal	Dominance
adjournment	aplazamento	0.438	0.510	0.370
adjudicate	adxudicar	0.559	0.520	0.683
adjudication	adxudicación	0.551	0.462	0.691
adjunct	complementario	0.459	0.440	0.426
adjust	Axustar	0.647	0.327	0.638
adjuster	Ajustador	0.510	0.540	0.760
adjustment	axuste	0.590	0.520	0.661
adjuvant	adyuvante	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administrar	0.635	0.425	0.860
administration	administración	0.625	0.404	0.786
administrative	administrativo	0.542	0.415	0.579
administrator	administrador	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	almirante	0.844	0.490	0.847
admiralty	almirante	0.594	0.547	0.733
admiration	admiración	0.969	0.583	0.726
admire	admirar	0.867	0.692	0.704
admired	admirado	0.917	0.560	0.815
admirer	admirador	0.796	0.720	0.650
admiring	admirando	0.867	0.578	0.629
admissibility	admisibilidade	0.802	0.580	0.602
admissible	admisible	0.780	0.528	0.642
admission	admisión	0.802	0.415	0.732
admit	admitir	0.538	0.423	0.667
admittance	admisión	0.690	0.451	0.598
admitted	admitido	0.720	0.490	0.767
admitting	admitindo	0.620	0.500	0.546
admixture	mestura	0.450	0.375	0.438
admonition	admonición	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescencia	0.487	0.694	0.444
adolescent	adolescente	0.781	0.680	0.509
adopt	adoptar	0.694	0.612	0.701
adoption	adopción	0.625	0.566	0.589
adoptive	adoptivo	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	adoración	0.885	0.699	0.708
adore	adoro	0.854	0.438	0.657
adoring	adorando	0.885	0.620	0.717
adorn	adornar	0.910	0.424	0.482
adornment	adorno	0.918	0.373	0.377
adrenalin	adrenalina	0.865	0.920	0.786
adrenaline	adrenalina	0.765	0.965	0.825
adrift	á deriva	0.398	0.486	0.230
adult	adulto	0.815	0.491	0.787
adulterated	adulterado	0.188	0.865	0.370
adulterer	adúltero	0.229	0.814	0.407
adultery	adulterio	0.120	0.922	0.510
adulthood	idade adulta	0.541	0.454	0.652
advance	avanzar	0.673	0.472	0.858
advanced	avanzado	0.844	0.623	0.797
advancement	avance	0.776	0.650	0.839
advancing	avanzar	0.929	0.608	0.812
advantage	vantaxe	0.917	0.548	0.859
advantageous	ventajoso	0.837	0.640	0.789
advent	advento	0.665	0.560	0.627
adventure	aventura	0.917	0.857	0.710
adventurer	aventurero	0.781	0.839	0.868
adventures	aventuras	0.812	0.764	0.749
adventurous	aventurero	0.969	0.898	0.722
adversary	adversario	0.349	0.777	0.457
adverse	adverso	0.323	0.610	0.385
adversity	adversidade	0.276	0.760	0.538
advertise	anunciar	0.500	0.529	0.580
advertisement	publicidade	0.600	0.566	0.539
advertising	publicidade	0.622	0.608	0.632
adverts	anuncios	0.551	0.500	0.595
advice	consello	0.698	0.408	0.688
advisable	recomendable	0.867	0.480	0.510
advise	aconsellar	0.760	0.393	0.705
advised	avisado	0.823	0.330	0.509
advisement	asesoramento	0.698	0.235	0.655
adviser	asesor	0.745	0.362	0.705
advisor	conselleiro	0.646	0.350	0.689
advisory	asesoramento	0.656	0.429	0.633
advocacy	advocacy	0.500	0.646	0.731
advocate	avogado	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aireación	0.550	0.500	0.433
aerial	aéreo	0.615	0.461	0.463
aerobics	aeróbic	0.708	0.771	0.627
aerodrome	aeródromo	0.541	0.740	0.678
aerodynamic	aerodinámico	0.561	0.724	0.728
aerodynamics	aerodinámica	0.590	0.663	0.722
aeronautics	aeronáutica	0.551	0.633	0.688
aeroplane	avión	0.714	0.642	0.644
aerospace	aeroespacial	0.643	0.520	0.779
aesthetic	estética	0.708	0.442	0.526
aesthetics	estética	0.847	0.327	0.549
aetiology	etioloxía	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	afable	0.704	0.380	0.452
affair	asunto	0.520	0.459	0.657
affect	afectar	0.458	0.569	0.578
affecting	afectando	0.350	0.574	0.394
affection	afecto	0.898	0.559	0.696
affectionate	cariñoso	0.949	0.422	0.550
affections	afectos	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	declaración jurada	0.469	0.584	0.526
affiliated	afiliado	0.673	0.519	0.535
affiliation	afiliación	0.615	0.594	0.500
affinity	afinidade	0.800	0.500	0.537
affirm	afirmar	0.745	0.509	0.731
affirmation	afirmación	0.750	0.500	0.689
affirmative	afirmativo	0.854	0.589	0.816
affirmatively	afirmativamente	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	afligido	0.302	0.555	0.293
afflicted	afligido	0.271	0.500	0.167
affliction	aflición	0.294	0.635	0.392
affluence	riqueza	0.663	0.618	0.722
affluent	afluente	0.756	0.388	0.477
afford	pagar	0.571	0.580	0.575
affordable	accesible	0.840	0.398	0.493
affront	afrontamento	0.327	0.740	0.547
affronted	afrontados	0.385	0.750	0.527
afield	afuera	0.594	0.370	0.373
afire	fogo	0.367	0.904	0.675
afloat	a flote	0.602	0.427	0.444
afore	anterior	0.500	0.337	0.382
aforementioned	mencionado anteriormente	0.490	0.316	0.408
aforesaid	antedicho	0.531	0.358	0.478
afraid	temer	0.010	0.775	0.245
afresh	novo	0.643	0.521	0.480
african	africano	0.490	0.423	0.555
aft	popa	0.480	0.417	0.518
afterlife	despois da vida	0.571	0.567	0.568
aftermath	consecuencias	0.312	0.449	0.444
afternoon	tarde	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	gusto	0.354	0.362	0.455
afterthought	despois da reflexión	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	ágata	0.540	0.377	0.483
age	Idade	0.561	0.226	0.498
aged	envellecido	0.135	0.365	0.236
agency	axencia	0.460	0.296	0.583
agenda	axenda	0.531	0.296	0.553
agent	axente	0.480	0.439	0.755
agglomeration	aglomeración	0.450	0.765	0.509
aggravate	agravar	0.224	0.770	0.464
aggravated	agravado	0.079	0.760	0.430
aggravates	agrava	0.108	0.778	0.357
aggravating	agravante	0.257	0.794	0.640
aggravation	agravamento	0.071	0.784	0.613
aggregate	agregado	0.730	0.378	0.556
aggregation	agregación	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresión	0.094	0.929	0.533
aggressive	agresivo	0.125	0.949	0.648
aggressively	agresivamente	0.250	0.926	0.688
aggressiveness	agresividade	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	áxil	0.800	0.657	0.775
agility	axilidade	0.720	0.702	0.815
aging	envellecemento	0.214	0.255	0.284
agitate	agitar	0.300	0.796	0.593
agitated	agitado	0.444	0.882	0.491
agitation	axitación	0.240	0.931	0.447
aglow	Aglow	0.780	0.510	0.797
agnostic	agnóstico	0.306	0.396	0.574
ago	atrás	0.317	0.280	0.404
agonizing	agonizante	0.083	0.800	0.340
agony	agonía	0.083	0.775	0.393
agoraphobia	agorafobia	0.127	0.712	0.438
agree	acepta	0.906	0.260	0.545
agreeable	agradable	0.906	0.500	0.696
agreed	acordado	0.797	0.449	0.574
agreeing	acordando	0.854	0.480	0.557
agreement	acordo	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrícola	0.686	0.321	0.473
agriculture	agricultura	0.640	0.357	0.465
aground	encallado	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	adiante	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	axuda	0.796	0.491	0.541
aide	axudante	0.724	0.342	0.434
aiding	axudando	0.643	0.533	0.569
aids	axudas	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	enfermo	0.094	0.518	0.153
ailment	enfermidade	0.146	0.734	0.277
aim	obxectivo	0.481	0.569	0.567
aimless	sen rumbo	0.150	0.267	0.183
air	aire	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	aéreo	0.542	0.519	0.385
aircraft	avión	0.646	0.644	0.691
aircraft carrier	portaavións	0.490	0.740	0.727
airfield	campo de aviación	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	ponte aérea	0.573	0.622	0.642
airline	aerolínea	0.650	0.482	0.688
airliner	avión de pasaxeiros	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	avión	0.587	0.716	0.721
airplane	avión	0.719	0.702	0.708
airport	aeroporto	0.729	0.684	0.682
airs	aire	0.583	0.196	0.370
airship	aeronave	0.542	0.472	0.529
airspace	espazo aéreo	0.562	0.510	0.640
airspeed	velocidade aérea	0.583	0.780	0.544
airstrip	pista de aterrizaje	0.550	0.690	0.649
airtight	hermético	0.479	0.381	0.570
airway	via aérea	0.638	0.585	0.482
aisle	corredor	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	semellante	0.639	0.343	0.523
alabaster	alabastro	0.542	0.404	0.445
alarm	alarma	0.241	0.882	0.698
alarm clock	Espertador	0.542	0.727	0.642
alarmed	alarmado	0.188	0.822	0.492
alarming	alarmante	0.204	0.890	0.585
alas	por desgraza	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	álbum	0.635	0.349	0.453
alchemy	Alquimia	0.541	0.583	0.693
alcohol	alcohol	0.323	0.667	0.377
alcoholic	alcohólico	0.153	0.688	0.361
alcoholism	alcoholismo	0.061	0.779	0.407
alcove	alcoba	0.490	0.340	0.356
alderman	Alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alerta	0.479	0.820	0.648
alertness	alerta	0.375	0.875	0.750
alerts	alertas	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	Álxebra	0.440	0.340	0.565
algebraic	algebraico	0.531	0.412	0.441
algorithm	algoritmo	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alieníxena	0.410	0.615	0.491
alienate	alienar	0.247	0.500	0.523
alienated	alienado	0.410	0.423	0.559
alienation	alienación	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	alinear	0.656	0.364	0.627
aligned	aliñado	0.583	0.275	0.553
alignment	aliñamento	0.643	0.412	0.683
alike	por igual	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	pensión alimenticia	0.612	0.477	0.464
aliquot	alícuota	0.440	0.310	0.404
alive	vivo	0.816	0.637	0.731
alkali	álcalis	0.490	0.350	0.408
alkaloids	alcaloides	0.433	0.562	0.402
allay	aliviar	0.417	0.406	0.398
allegation	alegación	0.578	0.578	0.608
allege	alegar	0.418	0.482	0.587
alleged	presuntamente	0.365	0.522	0.520
allegiance	alianza	0.917	0.398	0.750
allegorical	alegórica	0.517	0.558	0.598
allegory	alegoría	0.615	0.580	0.509
allegro	alegro	0.635	0.627	0.453
allergic	alérxica	0.135	0.549	0.273
allergy	alerxia	0.296	0.606	0.389
alleviate	aliviar	0.869	0.270	0.528
alleviation	alivio	0.735	0.200	0.491
alley	rúa	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alianza	0.696	0.473	0.769
allied	aliados	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	asignar	0.673	0.462	0.672
allocation	asignación	0.604	0.388	0.679
allot	alargar	0.622	0.481	0.616
allotment	asignación	0.600	0.390	0.640
allow	permitir	0.698	0.429	0.538
allowable	admisible	0.698	0.500	0.561
allowance	subsidio	0.673	0.382	0.591
allowed	permitidas	0.730	0.360	0.655
alloy	aleación	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	encanto	0.804	0.585	0.686
alluring	fascinante	0.837	0.745	0.843
allusion	alusión	0.440	0.308	0.462
alluvial	aluvial	0.323	0.490	0.491
ally	aliado	0.792	0.320	0.688
almanac	almanaque	0.688	0.190	0.412
almighty	todopoderosa	0.938	0.874	0.958
almond	almendra	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	só	0.333	0.167	0.216
alongside	xunto	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	en voz alta	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabeto	0.562	0.204	0.672
alphabetical	alfabético	0.537	0.296	0.535
alpine	alpino	0.594	0.337	0.474
alreadyyyyy	xayyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	neno do altar	0.434	0.206	0.350
alter	alterar	0.333	0.694	0.654
alteration	alteración	0.167	0.798	0.609
altercation	altercado	0.170	0.806	0.500
altered	alterado	0.255	0.765	0.500
alternate	alternativo	0.625	0.363	0.589
alternating	alternando	0.480	0.494	0.542
alternative	alternativa	0.628	0.373	0.631
altimeter	altímetro	0.615	0.510	0.580
altitude	altitude	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	en total	0.833	0.324	0.644
aluminum	aluminio	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	fusión	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amasar	0.552	0.465	0.465
amateur	afeccionado	0.469	0.500	0.409
amaze	sorprender	0.896	0.843	0.783
amazed	sorprendido	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	asombro	0.750	0.800	0.639
amazing	sorprendente	0.906	0.837	0.849
amazingly	sorprendentemente	0.918	0.765	0.920
ambassador	embaixador	0.651	0.529	0.917
amber	ámbar	0.635	0.308	0.369
ambience	ambiente	0.735	0.356	0.426
ambient	ambiente	0.625	0.360	0.582
ambiguity	ambigüidade	0.164	0.460	0.370
ambiguous	Ambiguo	0.265	0.462	0.358
ambit	ámbito	0.479	0.380	0.386
ambition	ambición	0.510	0.804	0.661
ambitious	ambicioso	0.484	0.821	0.717
ambivalent	ambivalente	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulancia	0.500	0.750	0.609
ambush	emboscada	0.281	0.830	0.500
ameliorate	mellorar	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	enmendar	0.688	0.406	0.658
amendment	modificación	0.531	0.459	0.606
amends	modifica	0.640	0.366	0.517
amenity	comodidade	0.750	0.327	0.574
amethyst	amatista	0.622	0.406	0.517
amiable	amable	0.847	0.290	0.483
amicable	amigable	0.875	0.330	0.507
amid	no medio	0.510	0.340	0.256
amidst	en medio	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munición	0.323	0.765	0.621
ammonia	amoníaco	0.292	0.587	0.409
ammonium	amonio	0.354	0.396	0.368
ammunition	munición	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnistía	0.551	0.451	0.814
amorous	amoroso	0.844	0.670	0.636
amorphous	amorfo	0.327	0.402	0.349
amortization	amortización	0.592	0.491	0.522
amount	importe	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	anfetaminas	0.133	0.667	0.526
amphibian	anfibio	0.427	0.357	0.474
amphibious	anfibios	0.479	0.346	0.445
amphitheater	anfiteatro	0.653	0.480	0.545
ample	amplo	0.744	0.349	0.719
amplification	amplificación	0.690	0.677	0.810
amplify	amplificar	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amplamente	0.781	0.431	0.766
amputate	amputar	0.092	0.660	0.509
amputation	amputación	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amuleto	0.781	0.260	0.630
amuse	divertirse	0.812	0.684	0.664
amused	divertido	0.942	0.847	0.596
amusement	diversión	0.929	0.837	0.803
amusing	divertido	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anestesia	0.350	0.217	0.473
anaesthetic	anestésico	0.449	0.268	0.509
anagram	anagrama	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analxésico	0.417	0.321	0.441
analogous	análogo	0.531	0.270	0.500
analogue	analóxico	0.570	0.320	0.446
analogy	analoxía	0.510	0.367	0.509
analysis	análise	0.729	0.448	0.705
analyst	analista	0.604	0.415	0.755
analytic	analítica	0.665	0.521	0.634
analytical	analítica	0.625	0.324	0.800
analyze	analizar	0.667	0.462	0.710
analyzer	analizador	0.625	0.556	0.854
anaphylactic	anafiláctico	0.378	0.588	0.500
anarchism	anarquismo	0.125	0.804	0.623
anarchist	anarquista	0.204	0.700	0.759
anarchy	anarquía	0.146	0.755	0.620
anastomosis	anastomose	0.375	0.470	0.490
anathema	anatema	0.286	0.490	0.519
anatomic	anatómico	0.562	0.442	0.546
anatomy	anatomía	0.562	0.390	0.571
ancestor	antepasado	0.592	0.388	0.594
ancestral	ancestral	0.640	0.481	0.750
ancestry	ascendencia	0.708	0.519	0.717
anchor	áncora	0.520	0.284	0.564
anchorage	ancoraxe	0.500	0.325	0.639
ancient	antiga	0.420	0.217	0.439
ancillary	accesorio	0.449	0.442	0.278
androgen	Andróxenos	0.255	0.523	0.527
android	androide	0.663	0.436	0.500
anecdote	anécdota	0.583	0.529	0.500
anemia	anemia	0.188	0.327	0.310
anemic	anémico	0.167	0.279	0.155
