Word	Kurdish-ku	Valence	Arousal	Dominance
adhesion	adhesion	0.521	0.445	0.586
adhesive	pêvzeliqî	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	dorpêç	0.365	0.417	0.375
adjacent	berde	0.645	0.276	0.536
adjective	navder	0.570	0.316	0.569
adjoining	dorpêçkirin	0.520	0.400	0.393
adjourn	tarloqkirin	0.385	0.456	0.475
adjournment	hevdîtinê	0.438	0.510	0.370
adjudicate	nêzîk	0.559	0.520	0.683
adjudication	dagirkeriyê	0.551	0.462	0.691
adjunct	nêzîk	0.459	0.440	0.426
adjust	lihevanîn	0.647	0.327	0.638
adjuster	hevalek	0.510	0.540	0.760
adjustment	lêanî	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	birêvebirin	0.635	0.425	0.860
administration	birêvebirî	0.625	0.404	0.786
administrative	îdarî	0.542	0.415	0.579
administrator	birêvebir	0.538	0.480	0.902
admirable	qeşeng	0.929	0.600	0.870
admiral	amîral	0.844	0.490	0.847
admiralty	dilovanî	0.594	0.547	0.733
admiration	dilpêmayî	0.969	0.583	0.726
admire	lêşaşman	0.867	0.692	0.704
admired	dilsoz	0.917	0.560	0.815
admirer	dilovan	0.796	0.720	0.650
admiring	dilsoz	0.867	0.578	0.629
admissibility	pejirandin	0.802	0.580	0.602
admissible	dibe	0.780	0.528	0.642
admission	mûkir	0.802	0.415	0.732
admit	qebûlkirin	0.538	0.423	0.667
admittance	berdana	0.690	0.451	0.598
admitted	qebûl kirin	0.720	0.490	0.767
admitting	pejirandin	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	şîret	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	xortî	0.487	0.694	0.444
adolescent	ciwanan	0.781	0.680	0.509
adopt	xwerezarokgirtin	0.694	0.612	0.701
adoption	zarokgirtinî	0.625	0.566	0.589
adoptive	berbiçav	0.531	0.469	0.520
adorable	şahî	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	limêjkirin	0.854	0.438	0.657
adoring	berbiçav	0.885	0.620	0.717
adorn	xemilandin	0.910	0.424	0.482
adornment	zivistan	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	tolazgerî	0.398	0.486	0.230
adult	gihîştî	0.815	0.491	0.787
adulterated	zehf kirin	0.188	0.865	0.370
adulterer	zilamê	0.229	0.814	0.407
adultery	marşikandinî	0.120	0.922	0.510
adulthood	zilamê	0.541	0.454	0.652
advance	pêşveçûn	0.673	0.472	0.858
advanced	pêşveçû	0.844	0.623	0.797
advancement	barkirin	0.776	0.650	0.839
advancing	pêşveçûn	0.929	0.608	0.812
advantage	berjewendî	0.917	0.548	0.859
advantageous	bi berjewendî	0.837	0.640	0.789
advent	gihîştin	0.665	0.560	0.627
adventure	serpêhatî	0.917	0.857	0.710
adventurer	maceraperest	0.781	0.839	0.868
adventures	pispor	0.812	0.764	0.749
adventurous	berbiçav	0.969	0.898	0.722
adversary	neyar	0.349	0.777	0.457
adverse	neyare	0.323	0.610	0.385
adversity	tengahiyê	0.276	0.760	0.538
advertise	gilîkirin	0.500	0.529	0.580
advertisement	gilî	0.600	0.566	0.539
advertising	reqlam	0.622	0.608	0.632
adverts	adres	0.551	0.500	0.595
advice	şêwr	0.698	0.408	0.688
advisable	pêşnîyarbar	0.867	0.480	0.510
advise	şêwirîn	0.760	0.393	0.705
advised	şîret kirin	0.823	0.330	0.509
advisement	şêwirdarî	0.698	0.235	0.655
adviser	şêwirvan	0.745	0.362	0.705
advisor	şêwirmend	0.646	0.350	0.689
advisory	şêwirdarî	0.656	0.429	0.633
advocacy	parêzer	0.500	0.646	0.731
advocate	pêşnîyarkirin	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	revandin	0.550	0.500	0.433
aerial	bi firrê	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodîk	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronîk	0.551	0.633	0.688
aeroplane	balafir	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	jestîk	0.708	0.442	0.526
aesthetics	estethetîk	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	berbiçav	0.704	0.380	0.452
affair	karûbar	0.520	0.459	0.657
affect	raydakirin	0.458	0.569	0.578
affecting	bandor dike	0.350	0.574	0.394
affection	hezkirin	0.898	0.559	0.696
affectionate	dilane	0.949	0.422	0.550
affections	bandorê	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	beyana bi sond	0.469	0.584	0.526
affiliated	girêdayî	0.673	0.519	0.535
affiliation	têkildarî	0.615	0.594	0.500
affinity	girêdayî	0.800	0.500	0.537
affirm	bawerdayin	0.745	0.509	0.731
affirmation	teqezkirin	0.750	0.500	0.689
affirmative	pêgûmananîn	0.854	0.589	0.816
affirmatively	erênî	0.908	0.500	0.811
affix	pêvgirêdan	0.438	0.335	0.411
afflict	dilêşandin	0.302	0.555	0.293
afflicted	xemgîn kirin	0.271	0.500	0.167
affliction	dilêş	0.294	0.635	0.392
affluence	dewlemendî	0.663	0.618	0.722
affluent	dewlemed	0.756	0.388	0.477
afford	ji xwere kanîn	0.571	0.580	0.575
affordable	kir	0.840	0.398	0.493
affront	pêşî	0.327	0.740	0.547
affronted	li hemberî	0.385	0.750	0.527
afield	afirîn	0.594	0.370	0.373
afire	afirîn	0.367	0.904	0.675
afloat	ajnêwar	0.602	0.427	0.444
afore	dûr	0.500	0.337	0.382
aforementioned	pêşniyaz kirin	0.490	0.316	0.408
aforesaid	bistîne	0.531	0.358	0.478
afraid	tirsane	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	efrîkayî	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	jiyanê	0.571	0.567	0.568
aftermath	paşê	0.312	0.449	0.444
afternoon	piştînîvroj	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	paşê	0.354	0.362	0.455
afterthought	paşnav	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agir	0.540	0.377	0.483
age	kalbûn	0.561	0.226	0.498
aged	salî	0.135	0.365	0.236
agency	ajans	0.460	0.296	0.583
agenda	naverok	0.531	0.296	0.553
agent	casus	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	xirabkirin	0.224	0.770	0.464
aggravated	bêhtir	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	acizker	0.257	0.794	0.640
aggravation	xirabbûyî	0.071	0.784	0.613
aggregate	berbiçav	0.730	0.378	0.556
aggregation	kategoriyê	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	êrişbazî	0.094	0.929	0.533
aggressive	êrşişbaz	0.125	0.949	0.648
aggressively	dijwar	0.250	0.926	0.688
aggressiveness	aggressiveness	0.077	0.913	0.648
aggressor	êrişkir	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	xerîb	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	zelal	0.720	0.702	0.815
aging	agir	0.214	0.255	0.284
agitate	acizkirin	0.300	0.796	0.593
agitated	veguherandin	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostîk	0.306	0.396	0.574
ago	pêşî	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	êş	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	qebûlkirin	0.906	0.260	0.545
agreeable	xweş	0.906	0.500	0.696
agreed	lihevhati	0.797	0.449	0.574
agreeing	bipejirîne	0.854	0.480	0.557
agreement	lihevhatin	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	cotarî	0.686	0.321	0.473
agriculture	cotyarî	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	pêşve	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	alîkarî	0.796	0.491	0.541
aide	alîkar	0.724	0.342	0.434
aiding	alîkariyê	0.643	0.533	0.569
aids	alîkarî	0.561	0.480	0.500
ail	nexweş	0.375	0.434	0.385
ailing	germ	0.094	0.518	0.153
ailment	êş	0.146	0.734	0.277
aim	armanc	0.481	0.569	0.567
aimless	armanc	0.150	0.267	0.183
air	hewa	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ezmûn	0.542	0.519	0.385
aircraft	firrok	0.646	0.644	0.691
aircraft carrier	balafirgehê	0.490	0.740	0.727
airfield	hewayê	0.601	0.650	0.645
airhead	hewayê	0.271	0.481	0.276
airlift	agirbestek	0.573	0.622	0.642
airline	şîrketa balafiran	0.650	0.482	0.688
airliner	balafirgehê	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	balafir	0.719	0.702	0.708
airport	balafirgeh	0.729	0.684	0.682
airs	hewa	0.583	0.196	0.370
airship	hewayî	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	hewayê	0.550	0.690	0.649
airtight	zû	0.479	0.381	0.570
airway	hewayê	0.638	0.585	0.482
aisle	fitêsa	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	berbiçav	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	hawar	0.241	0.882	0.698
alarm clock	demjimara şîyarker	0.542	0.727	0.642
alarmed	xeter kirin	0.188	0.822	0.492
alarming	acizane	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albûm	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	alkol	0.323	0.667	0.377
alcoholic	alkolgir	0.153	0.688	0.361
alcoholism	alkolgirî	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	hişyar	0.479	0.820	0.648
alertness	hişyariyê	0.375	0.875	0.750
alerts	alerts	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	navê dizî	0.541	0.353	0.333
alibi	delîl	0.396	0.528	0.556
alien	xerîb	0.410	0.615	0.491
alienate	xerîbkirin	0.247	0.500	0.523
alienated	xerîb	0.410	0.423	0.559
alienation	xerîbbûyî	0.378	0.530	0.462
alight	daketin	0.667	0.657	0.605
align	berpêvekirin	0.656	0.364	0.627
aligned	navîn	0.583	0.275	0.553
alignment	berbiçav	0.643	0.412	0.683
alike	nêzhev	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	debar	0.612	0.477	0.464
aliquot	nerast	0.440	0.310	0.404
alive	jînde	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	hemî	0.417	0.406	0.398
allegation	îddîa	0.578	0.578	0.608
allege	îfadekirin	0.418	0.482	0.587
alleged	îdîakirin	0.365	0.522	0.520
allegiance	dilsozî	0.917	0.398	0.750
allegorical	tawanbar	0.517	0.558	0.598
allegory	tawanbar	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alerjîk	0.135	0.549	0.273
allergy	alerjî	0.296	0.606	0.389
alleviate	kêm bikin	0.869	0.270	0.528
alleviation	kêmkirin	0.735	0.200	0.491
alley	kûçe	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	hevkarî	0.696	0.473	0.769
allied	hevkar	0.714	0.245	0.642
alligator	alîgator	0.354	0.704	0.645
allocate	pardan	0.673	0.462	0.672
allocation	pardayî	0.604	0.388	0.679
allot	belakirin	0.622	0.481	0.616
allotment	belakirinî	0.600	0.390	0.640
allow	destûrdan	0.698	0.429	0.538
allowable	pejirandin	0.698	0.500	0.561
allowance	heq	0.673	0.382	0.591
allowed	destûr	0.730	0.360	0.655
alloy	astarê madenî	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	dilkişîn	0.804	0.585	0.686
alluring	xurt	0.837	0.745	0.843
allusion	tevlihev	0.440	0.308	0.462
alluvial	pêdivî ye	0.323	0.490	0.491
ally	hevkar	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	kane	0.938	0.874	0.958
almond	beîv	0.698	0.183	0.314
aloft	xilas	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	tenê	0.333	0.167	0.216
alongside	li gel	0.458	0.333	0.347
aloof	şaş	0.189	0.423	0.302
aloud	gor	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	elfabe	0.562	0.204	0.672
alphabetical	elfabeyî	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	yeksyyyy	0.592	0.717	0.351
altar	mêrab	0.724	0.387	0.635
altar boy	kurê gorîgehê	0.434	0.206	0.350
alter	gûherrandin	0.333	0.694	0.654
alteration	gûherte	0.167	0.798	0.609
altercation	guhertin	0.170	0.806	0.500
altered	guhertin	0.255	0.765	0.500
alternate	dorbidor	0.625	0.363	0.589
alternating	alternatîf	0.480	0.494	0.542
alternative	şûndor	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	bilindayî	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	giştî	0.833	0.324	0.644
aluminum	elemyûn	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamation	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	nekarbend	0.469	0.500	0.409
amaze	şaşman	0.896	0.843	0.783
amazed	şaş e	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	şaşmayî	0.750	0.800	0.639
amazing	êcêb	0.906	0.837	0.849
amazingly	ecêb	0.918	0.765	0.920
ambassador	sefîr	0.651	0.529	0.917
amber	aqût	0.635	0.308	0.369
ambience	atmosfer	0.735	0.356	0.426
ambient	giran	0.625	0.360	0.582
ambiguity	neheq	0.164	0.460	0.370
ambiguous	nebaş	0.265	0.462	0.358
ambit	heybet	0.479	0.380	0.386
ambition	xîret	0.510	0.804	0.661
ambitious	xîretwar	0.484	0.821	0.717
ambivalent	nefret	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ereba nexweşan	0.500	0.750	0.609
ambush	paşî	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	rastî	0.781	0.182	0.542
amenable	berbiçav	0.448	0.410	0.406
amend	serrastkirin	0.688	0.406	0.658
amendment	gûhertinî	0.531	0.459	0.606
amends	amends	0.640	0.366	0.517
amenity	heqê	0.750	0.327	0.574
amethyst	neheq	0.622	0.406	0.517
amiable	amîable	0.847	0.290	0.483
amicable	dostane	0.875	0.330	0.507
amid	diqewime	0.510	0.340	0.256
amidst	li ser	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amonyak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	cebhane	0.338	0.635	0.667
amnesia	hişwendatî	0.296	0.330	0.308
amnesty	borîn	0.551	0.451	0.814
amorous	bêhêz	0.844	0.670	0.636
amorphous	bêhêz	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	biha	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amefibious	0.479	0.346	0.445
amphitheater	amphîtheater	0.653	0.480	0.545
ample	gellek	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	xûrtkirin	0.677	0.735	0.827
amplitude	amûrbûnê	0.694	0.439	0.692
amply	bêhtir	0.781	0.431	0.766
amputate	jêkirin	0.092	0.660	0.509
amputation	jêkirinî	0.100	0.755	0.483
amuck	şaş	0.385	0.602	0.321
amulet	amûlet	0.781	0.260	0.630
amuse	kêfkirin	0.812	0.684	0.664
amused	nerm	0.942	0.847	0.596
amusement	kêf	0.929	0.837	0.803
amusing	pêkene	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	jarepûç	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesîk	0.417	0.321	0.441
analogous	analog	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analog	0.510	0.367	0.509
analysis	lêkolîne	0.729	0.448	0.705
analyst	analîz	0.604	0.415	0.755
analytic	analîtîk	0.665	0.521	0.634
