Word	Serbian-sr	Valence	Arousal	Dominance
acquiring	стицање	0.735	0.510	0.817
acquisition	аквизиција	0.698	0.509	0.736
acquisitions	аквизиције	0.773	0.660	0.790
acquit	ослободити	0.583	0.571	0.611
acquittal	ослобађајућу пресуду	0.760	0.497	0.700
acre	ацре	0.583	0.387	0.423
acreage	површина	0.741	0.450	0.528
acres	ари	0.510	0.363	0.500
acrobat	ацробат	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	чинити	0.656	0.704	0.735
acting	глума	0.698	0.643	0.500
action	поступак	0.760	0.898	0.802
action figure	играчка	0.615	0.774	0.611
actionable	изводљиво	0.673	0.702	0.613
activate	активирати	0.764	0.650	0.806
activation	активација	0.781	0.800	0.754
active	активан	0.847	0.730	0.731
activist	активиста	0.531	0.653	0.877
activity	активност	0.701	0.660	0.807
actor	глумац	0.653	0.561	0.629
actress	глумица	0.633	0.556	0.596
actual	стварно	0.729	0.400	0.716
actuality	актуалност	0.750	0.464	0.600
actuary	актуар	0.510	0.404	0.491
acuity	острва	0.469	0.378	0.741
acumen	ацумен	0.564	0.660	0.679
acupuncture	акупунктура	0.531	0.324	0.549
acute	акутни	0.427	0.652	0.534
acutely	акутно	0.417	0.543	0.491
ad	ад	0.521	0.705	0.558
adage	адаге	0.517	0.415	0.566
adamant	адамант	0.344	0.529	0.575
adapt	прилагодити	0.740	0.355	0.551
adaptable	прилагодљив	0.735	0.423	0.641
adaptation	адаптација	0.663	0.365	0.609
add	додати	0.728	0.490	0.554
added	додато	0.562	0.405	0.509
addendum	аддендум	0.392	0.370	0.418
adder	сабирница	0.388	0.461	0.588
addict	зависник	0.075	0.696	0.327
addicted	завистан	0.156	0.712	0.483
addiction	зависност	0.180	0.806	0.420
addictive	заразна	0.302	0.683	0.472
addition	додатак	0.562	0.373	0.471
additional	додатни	0.673	0.462	0.526
additive	адитив	0.561	0.633	0.691
address	адреса	0.650	0.327	0.567
addressee	адресар	0.622	0.382	0.538
addresses	адресе	0.510	0.354	0.450
adept	адепт	0.594	0.539	0.789
adequacy	адекватност	0.615	0.435	0.702
adequate	адекватно	0.854	0.264	0.705
adhere	придржавају	0.633	0.339	0.554
adherence	приврженост	0.760	0.307	0.630
adherent	адхерент	0.561	0.385	0.555
adhering	Придржавати се	0.612	0.561	0.537
adhesion	адхезија	0.521	0.445	0.586
adhesive	лепак	0.604	0.350	0.413
adieu	адиеу	0.250	0.471	0.342
adipose	адипозно	0.333	0.350	0.391
adjacency	суседство	0.365	0.417	0.375
adjacent	суседно	0.645	0.276	0.536
adjective	придев	0.570	0.316	0.569
adjoining	суседно	0.520	0.400	0.393
adjourn	пауза	0.385	0.456	0.475
adjournment	пауза	0.438	0.510	0.370
adjudicate	пресуда	0.559	0.520	0.683
adjudication	пресуда	0.551	0.462	0.691
adjunct	додатак	0.459	0.440	0.426
adjust	прилагодите	0.647	0.327	0.638
adjuster	адјустер	0.510	0.540	0.760
adjustment	подешавање	0.590	0.520	0.661
adjuvant	адјувант	0.510	0.500	0.456
admin	админ	0.688	0.420	0.854
administer	управљати	0.635	0.425	0.860
administration	администрација	0.625	0.404	0.786
administrative	административни	0.542	0.415	0.579
administrator	администратор	0.538	0.480	0.902
admirable	дивно	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	Адмиралти	0.594	0.547	0.733
admiration	дивљење	0.969	0.583	0.726
admire	дивити се	0.867	0.692	0.704
admired	дивио се	0.917	0.560	0.815
admirer	обожавалац	0.796	0.720	0.650
admiring	дивио се	0.867	0.578	0.629
admissibility	прихватљивост	0.802	0.580	0.602
admissible	допуштено	0.780	0.528	0.642
admission	пријем	0.802	0.415	0.732
admit	признајем	0.538	0.423	0.667
admittance	адмитансе	0.690	0.451	0.598
admitted	признао	0.720	0.490	0.767
admitting	признајем	0.620	0.500	0.546
admixture	додатак	0.450	0.375	0.438
admonition	опомена	0.357	0.606	0.455
ado	адо	0.520	0.423	0.385
adobe	адобе	0.500	0.319	0.328
adolescence	Младост	0.487	0.694	0.444
adolescent	адолесцент	0.781	0.680	0.509
adopt	усвојити	0.694	0.612	0.701
adoption	усвајање	0.625	0.566	0.589
adoptive	усвојитељ	0.531	0.469	0.520
adorable	адорабле	0.969	0.519	0.457
adoration	обожавање	0.885	0.699	0.708
adore	обожавам	0.854	0.438	0.657
adoring	адоринг	0.885	0.620	0.717
adorn	краси	0.910	0.424	0.482
adornment	украс	0.918	0.373	0.377
adrenalin	адреналин	0.865	0.920	0.786
adrenaline	адреналин	0.765	0.965	0.825
adrift	кретање	0.398	0.486	0.230
adult	одрасла особа	0.815	0.491	0.787
adulterated	преплављен	0.188	0.865	0.370
adulterer	прељуба	0.229	0.814	0.407
adultery	прељуба	0.120	0.922	0.510
adulthood	одрасли	0.541	0.454	0.652
advance	унапред	0.673	0.472	0.858
advanced	напредни	0.844	0.623	0.797
advancement	напредовање	0.776	0.650	0.839
advancing	напредује	0.929	0.608	0.812
advantage	предност	0.917	0.548	0.859
advantageous	повољно	0.837	0.640	0.789
advent	адвент	0.665	0.560	0.627
adventure	авантура	0.917	0.857	0.710
adventurer	авантуриста	0.781	0.839	0.868
adventures	авантуре	0.812	0.764	0.749
adventurous	авантуристички	0.969	0.898	0.722
adversary	противник	0.349	0.777	0.457
adverse	штетан	0.323	0.610	0.385
adversity	недаће	0.276	0.760	0.538
advertise	рекламирајте	0.500	0.529	0.580
advertisement	реклама	0.600	0.566	0.539
advertising	оглашавање	0.622	0.608	0.632
adverts	рекламе	0.551	0.500	0.595
advice	савет	0.698	0.408	0.688
advisable	препоручљиво	0.867	0.480	0.510
advise	саветовати	0.760	0.393	0.705
advised	саветован	0.823	0.330	0.509
advisement	адв	0.698	0.235	0.655
adviser	саветник	0.745	0.362	0.705
advisor	саветник	0.646	0.350	0.689
advisory	саветодавно	0.656	0.429	0.633
advocacy	адвокатура	0.500	0.646	0.731
advocate	адвокат	0.551	0.530	0.818
aegis	аегис	0.490	0.439	0.462
aeration	аерација	0.550	0.500	0.433
aerial	аериал	0.615	0.461	0.463
aerobics	аеробика	0.708	0.771	0.627
aerodrome	аеродром	0.541	0.740	0.678
aerodynamic	аеродинамика	0.561	0.724	0.728
aerodynamics	аеродинамика	0.590	0.663	0.722
aeronautics	аеронаутика	0.551	0.633	0.688
aeroplane	авион	0.714	0.642	0.644
aerospace	аероспаце	0.643	0.520	0.779
aesthetic	естетски	0.708	0.442	0.526
aesthetics	естетика	0.847	0.327	0.549
aetiology	етиологија	0.480	0.398	0.615
afar	далеко	0.396	0.373	0.358
affable	љубазан	0.704	0.380	0.452
affair	афера	0.520	0.459	0.657
affect	утицати	0.458	0.569	0.578
affecting	утичу	0.350	0.574	0.394
affection	наклоност	0.898	0.559	0.696
affectionate	љубазан	0.949	0.422	0.550
affections	осећања	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	заложно право	0.469	0.584	0.526
affiliated	аффилиатед	0.673	0.519	0.535
affiliation	припадност	0.615	0.594	0.500
affinity	афинитет	0.800	0.500	0.537
affirm	потврдити	0.745	0.509	0.731
affirmation	афирмација	0.750	0.500	0.689
affirmative	потврдан	0.854	0.589	0.816
affirmatively	афирмативно	0.908	0.500	0.811
affix	аффик	0.438	0.335	0.411
afflict	патити	0.302	0.555	0.293
afflicted	погођен	0.271	0.500	0.167
affliction	стидљивост	0.294	0.635	0.392
affluence	богатство	0.663	0.618	0.722
affluent	богатији	0.756	0.388	0.477
afford	приушти	0.571	0.580	0.575
affordable	приступачан	0.840	0.398	0.493
affront	опрости	0.327	0.740	0.547
affronted	угрожени	0.385	0.750	0.527
afield	пољски	0.594	0.370	0.373
afire	пожар	0.367	0.904	0.675
afloat	на планету	0.602	0.427	0.444
afore	претходно	0.500	0.337	0.382
aforementioned	горе поменуто	0.490	0.316	0.408
aforesaid	претходно	0.531	0.358	0.478
afraid	уплашен	0.010	0.775	0.245
afresh	поново	0.643	0.521	0.480
african	афрички	0.490	0.423	0.555
aft	назад	0.480	0.417	0.518
afterlife	после зивота	0.571	0.567	0.568
aftermath	после последица	0.312	0.449	0.444
afternoon	поподневни	0.533	0.388	0.339
aftershave	афтерсхаве	0.406	0.384	0.415
aftertaste	афтертасте	0.354	0.362	0.455
afterthought	након тога	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	агапе	0.612	0.529	0.464
agate	агате	0.540	0.377	0.483
age	старост	0.561	0.226	0.498
aged	старости	0.135	0.365	0.236
agency	агенција	0.460	0.296	0.583
agenda	дневни ред	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	агломерација	0.450	0.765	0.509
aggravate	отежати	0.224	0.770	0.464
aggravated	отежано	0.079	0.760	0.430
aggravates	отежава	0.108	0.778	0.357
aggravating	отежавајуће	0.257	0.794	0.640
aggravation	погоршање	0.071	0.784	0.613
aggregate	агрегат	0.730	0.378	0.556
aggregation	агрегација	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агресија	0.094	0.929	0.533
aggressive	агресиван	0.125	0.949	0.648
aggressively	агресивно	0.250	0.926	0.688
aggressiveness	агресивност	0.077	0.913	0.648
aggressor	агресор	0.146	0.948	0.823
agh	агх	0.260	0.500	0.400
aghast	агхаст	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	агилно	0.800	0.657	0.775
agility	окретност	0.720	0.702	0.815
aging	старење	0.214	0.255	0.284
agitate	агитовати	0.300	0.796	0.593
agitated	узнемирен	0.444	0.882	0.491
agitation	агитација	0.240	0.931	0.447
aglow	аглов	0.780	0.510	0.797
agnostic	агностик	0.306	0.396	0.574
ago	пре	0.317	0.280	0.404
agonizing	агонизинг	0.083	0.800	0.340
agony	агонија	0.083	0.775	0.393
agoraphobia	агорафобија	0.127	0.712	0.438
agree	договорити се	0.906	0.260	0.545
agreeable	пријатан	0.906	0.500	0.696
agreed	сложио се	0.797	0.449	0.574
agreeing	слажем се	0.854	0.480	0.557
agreement	договор	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	пољопривредни	0.686	0.321	0.473
agriculture	пољопривреде	0.640	0.357	0.465
aground	агроунд	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	напред	0.708	0.520	0.673
ahhh	аххх	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ахои	0.500	0.497	0.380
aid	помоћ	0.796	0.491	0.541
aide	аиде	0.724	0.342	0.434
aiding	помагање	0.643	0.533	0.569
aids	аидс	0.561	0.480	0.500
ail	аил	0.375	0.434	0.385
ailing	болестан	0.094	0.518	0.153
ailment	болест	0.146	0.734	0.277
aim	циљ	0.481	0.569	0.567
aimless	без циља	0.150	0.267	0.183
air	ваздух	0.708	0.163	0.427
airbag	ваздушни јастук	0.510	0.402	0.433
airborne	ваздушни	0.542	0.519	0.385
aircraft	авиона	0.646	0.644	0.691
aircraft carrier	носач авиона	0.490	0.740	0.727
airfield	аеродром	0.601	0.650	0.645
airhead	аирхеад	0.271	0.481	0.276
airlift	аирлифт	0.573	0.622	0.642
airline	ваздушна линија	0.650	0.482	0.688
airliner	аирлинер	0.667	0.777	0.647
airlock	аирлоцк	0.398	0.520	0.447
airman	аирман	0.587	0.716	0.721
airplane	авион	0.719	0.702	0.708
airport	аеродром	0.729	0.684	0.682
airs	ваздух	0.583	0.196	0.370
airship	авион	0.542	0.472	0.529
airspace	ваздушни простор	0.562	0.510	0.640
airspeed	ваздушна брзина	0.583	0.780	0.544
airstrip	писта	0.550	0.690	0.649
airtight	Херметичан	0.479	0.381	0.570
airway	дисајне путеве	0.638	0.585	0.482
aisle	пролаз	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ака	0.459	0.358	0.351
akin	сродан	0.639	0.343	0.523
alabaster	алабастер	0.542	0.404	0.445
alarm	алармни	0.241	0.882	0.698
alarm clock	будилник	0.542	0.727	0.642
alarmed	алармантан	0.188	0.822	0.492
alarming	алармантно	0.204	0.890	0.585
alas	алас	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	албатрос	0.500	0.445	0.527
albino	албино	0.500	0.240	0.358
album	албум	0.635	0.349	0.453
alchemy	алхемија	0.541	0.583	0.693
alcohol	алкохол	0.323	0.667	0.377
alcoholic	алкохолно	0.153	0.688	0.361
alcoholism	алкохолизам	0.061	0.779	0.407
alcove	алцове	0.490	0.340	0.356
alderman	алдерман	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	упозорење	0.479	0.820	0.648
alertness	будност	0.375	0.875	0.750
alerts	упозорења	0.337	0.804	0.673
alfalfa	луцерка	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебарски	0.531	0.412	0.441
algorithm	алгоритам	0.448	0.394	0.559
alias	алиас	0.541	0.353	0.333
alibi	алиби	0.396	0.528	0.556
alien	ванземаљац	0.410	0.615	0.491
alienate	отуђити	0.247	0.500	0.523
alienated	отуђен	0.410	0.423	0.559
alienation	отуђење	0.378	0.530	0.462
alight	излази	0.667	0.657	0.605
align	поравнајте	0.656	0.364	0.627
aligned	Поравнање	0.583	0.275	0.553
alignment	поравнање	0.643	0.412	0.683
alike	једнако	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	алиментација	0.612	0.477	0.464
aliquot	аликвот	0.440	0.310	0.404
alive	жив	0.816	0.637	0.731
alkali	алкали	0.490	0.350	0.408
alkaloids	алкалоиди	0.433	0.562	0.402
allay	смирите се	0.417	0.406	0.398
allegation	оптужбе	0.578	0.578	0.608
allege	аллеге	0.418	0.482	0.587
alleged	наводно	0.365	0.522	0.520
allegiance	лојалност	0.917	0.398	0.750
allegorical	алегорично	0.517	0.558	0.598
allegory	алегорија	0.615	0.580	0.509
allegro	аллегро	0.635	0.627	0.453
allergic	алергичан	0.135	0.549	0.273
allergy	алергија	0.296	0.606	0.389
alleviate	ублажити	0.869	0.270	0.528
alleviation	ублажавање	0.735	0.200	0.491
alley	улица	0.347	0.500	0.355
alleyway	улица	0.357	0.471	0.382
alliance	савез	0.696	0.473	0.769
allied	савезник	0.714	0.245	0.642
alligator	алигатор	0.354	0.704	0.645
allocate	издвојити	0.673	0.462	0.672
allocation	расподела	0.604	0.388	0.679
allot	алот	0.622	0.481	0.616
allotment	доделу	0.600	0.390	0.640
allow	дозволите	0.698	0.429	0.538
allowable	дозвољено	0.698	0.500	0.561
allowance	џепарац	0.673	0.382	0.591
allowed	дозвољен	0.730	0.360	0.655
alloy	легура	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	привлачност	0.804	0.585	0.686
alluring	привлачан	0.837	0.745	0.843
allusion	алузија	0.440	0.308	0.462
alluvial	алувијални	0.323	0.490	0.491
ally	савезник	0.792	0.320	0.688
almanac	алманах	0.688	0.190	0.412
almighty	свемогући	0.938	0.874	0.958
almond	бадем	0.698	0.183	0.314
aloft	алофт	0.771	0.373	0.700
aloha	алоха	0.698	0.440	0.441
alone	сами	0.333	0.167	0.216
alongside	заједно са	0.458	0.333	0.347
aloof	резервисан	0.189	0.423	0.302
aloud	наглас	0.458	0.713	0.750
alpha	алфа	0.708	0.340	0.755
alphabet	абецеда	0.562	0.204	0.672
alphabetical	абецедно	0.537	0.296	0.535
alpine	алпине	0.594	0.337	0.474
alreadyyyyy	алреадиииии	0.592	0.717	0.351
altar	олтар	0.724	0.387	0.635
altar boy	олтар дечак	0.434	0.206	0.350
alter	алтер	0.333	0.694	0.654
alteration	измена	0.167	0.798	0.609
altercation	алтерцатион	0.170	0.806	0.500
altered	измењено	0.255	0.765	0.500
alternate	алтернативно	0.625	0.363	0.589
alternating	алтернативно	0.480	0.494	0.542
alternative	алтернатива	0.628	0.373	0.631
altimeter	алтиметар	0.615	0.510	0.580
altitude	надморске висине	0.708	0.482	0.736
alto	алто	0.656	0.404	0.730
altogether	алтогетхер	0.833	0.324	0.644
aluminum	алуминијум	0.449	0.280	0.434
alumnus	Алесус	0.633	0.368	0.422
alveolar	алвеолар	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амалгам	0.438	0.333	0.510
amalgamation	амалгамација	0.406	0.470	0.531
amaretto	амаретто	0.543	0.551	0.375
amass	амасс	0.552	0.465	0.465
amateur	аматер	0.469	0.500	0.409
amaze	ућивај	0.896	0.843	0.783
amazed	запањен	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	изненађење	0.750	0.800	0.639
amazing	Невероватно	0.906	0.837	0.849
amazingly	Невероватно	0.918	0.765	0.920
ambassador	амбасадор	0.651	0.529	0.917
amber	амбер	0.635	0.308	0.369
ambience	амбијент	0.735	0.356	0.426
ambient	амбијент	0.625	0.360	0.582
ambiguity	двосмисленост	0.164	0.460	0.370
ambiguous	двосмислен	0.265	0.462	0.358
ambit	амбит	0.479	0.380	0.386
ambition	амбиција	0.510	0.804	0.661
ambitious	амбициозан	0.484	0.821	0.717
ambivalent	амбивалентан	0.510	0.404	0.482
ambrosia	амбросиа	0.571	0.452	0.480
ambulance	хитна помоћ	0.500	0.750	0.609
ambush	заседа	0.281	0.830	0.500
ameliorate	амелиорате	0.770	0.548	0.747
amen	амен	0.781	0.182	0.542
amenable	аменабле	0.448	0.410	0.406
amend	изменити	0.688	0.406	0.658
amendment	амандман	0.531	0.459	0.606
amends	измени	0.640	0.366	0.517
amenity	аменити	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	љубазно	0.847	0.290	0.483
amicable	пријатељски	0.875	0.330	0.507
amid	амид	0.510	0.340	0.256
amidst	средином	0.480	0.330	0.316
amino	амино	0.551	0.402	0.433
ammo	муниција	0.323	0.765	0.621
ammonia	амонијак	0.292	0.587	0.409
ammonium	амонијум	0.354	0.396	0.368
ammunition	муницију	0.338	0.635	0.667
amnesia	амнезија	0.296	0.330	0.308
amnesty	амнестија	0.551	0.451	0.814
amorous	љубазан	0.844	0.670	0.636
amorphous	аморфан	0.327	0.402	0.349
amortization	амортизација	0.592	0.491	0.522
amount	износ	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	амп	0.439	0.393	0.375
ampersand	амперсанд	0.480	0.448	0.483
amphetamines	амфетамини	0.133	0.667	0.526
amphibian	амфибије	0.427	0.357	0.474
amphibious	амфибијски	0.479	0.346	0.445
amphitheater	амфитеатар	0.653	0.480	0.545
ample	довољно	0.744	0.349	0.719
amplification	амплификација	0.690	0.677	0.810
amplify	појачати	0.677	0.735	0.827
amplitude	амплитуде	0.694	0.439	0.692
amply	добро	0.781	0.431	0.766
amputate	ампутат	0.092	0.660	0.509
amputation	ампутација	0.100	0.755	0.483
amuck	амуцк	0.385	0.602	0.321
amulet	амулет	0.781	0.260	0.630
amuse	забавите се	0.812	0.684	0.664
amused	забавно	0.942	0.847	0.596
amusement	забава	0.929	0.837	0.803
amusing	забаван	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	анаконда	0.146	0.830	0.540
anaesthesia	анестезија	0.350	0.217	0.473
anaesthetic	анестезија	0.449	0.268	0.509
anagram	анаграм	0.552	0.327	0.449
anal	анал	0.333	0.798	0.334
analgesic	аналгетик	0.417	0.321	0.441
analogous	аналогно	0.531	0.270	0.500
analogue	аналогни	0.570	0.320	0.446
analogy	аналогија	0.510	0.367	0.509
analysis	анализа	0.729	0.448	0.705
analyst	аналитичар	0.604	0.415	0.755
analytic	аналитички	0.665	0.521	0.634
analytical	аналитички	0.625	0.324	0.800
analyze	анализирај	0.667	0.462	0.710
analyzer	анализатор	0.625	0.556	0.854
anaphylactic	анафилактички	0.378	0.588	0.500
anarchism	анархизам	0.125	0.804	0.623
anarchist	анархиста	0.204	0.700	0.759
anarchy	анархија	0.146	0.755	0.620
anastomosis	анастомоза	0.375	0.470	0.490
anathema	анатема	0.286	0.490	0.519
anatomic	анатомски	0.562	0.442	0.546
anatomy	анатомија	0.562	0.390	0.571
ancestor	предак	0.592	0.388	0.594
ancestral	предак	0.640	0.481	0.750
ancestry	предака	0.708	0.519	0.717
anchor	сидро	0.520	0.284	0.564
anchorage	сидрење	0.500	0.325	0.639
ancient	древни	0.420	0.217	0.439
ancillary	помоц	0.449	0.442	0.278
androgen	андроген	0.255	0.523	0.527
android	андроид	0.663	0.436	0.500
