Word	Armenian-hy	Valence	Arousal	Dominance
addict	թմրամոլ	0.075	0.696	0.327
addicted	կախվածություն	0.156	0.712	0.483
addiction	կախվածություն	0.180	0.806	0.420
addictive	կախարդական	0.302	0.683	0.472
addition	լրացուցիչ	0.562	0.373	0.471
additional	լրացուցիչ	0.673	0.462	0.526
additive	հավելում	0.561	0.633	0.691
address	հասցեով	0.650	0.327	0.567
addressee	հասցեատեր	0.622	0.382	0.538
addresses	հասցեներ	0.510	0.354	0.450
adept	խորամիտ	0.594	0.539	0.789
adequacy	համապատասխանությունը	0.615	0.435	0.702
adequate	համարժեք	0.854	0.264	0.705
adhere	հավատարիմ մնալուն	0.633	0.339	0.554
adherence	հավատարմությունը	0.760	0.307	0.630
adherent	հավատարիմ	0.561	0.385	0.555
adhering	հավատարիմ	0.612	0.561	0.537
adhesion	հավատարմությունը	0.521	0.445	0.586
adhesive	սոսինձ	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	կեսօրին	0.333	0.350	0.391
adjacency	հարեւանությամբ	0.365	0.417	0.375
adjacent	հարակից	0.645	0.276	0.536
adjective	ածական	0.570	0.316	0.569
adjoining	հարակից	0.520	0.400	0.393
adjourn	հետաձգում	0.385	0.456	0.475
adjournment	ընդմիջումից հետո	0.438	0.510	0.370
adjudicate	դատարանը	0.559	0.520	0.683
adjudication	դատարանը	0.551	0.462	0.691
adjunct	կից	0.459	0.440	0.426
adjust	հարմարեցնել	0.647	0.327	0.638
adjuster	կարգավորիչը	0.510	0.540	0.760
adjustment	ճշգրտում	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	կառավարում	0.635	0.425	0.860
administration	վարչակազմը	0.625	0.404	0.786
administrative	վարչական	0.542	0.415	0.579
administrator	ադմինիստրատոր	0.538	0.480	0.902
admirable	անսպասելի	0.929	0.600	0.870
admiral	ծովակալ	0.844	0.490	0.847
admiralty	նավատորմ	0.594	0.547	0.733
admiration	հիացմունքով	0.969	0.583	0.726
admire	հիանում	0.867	0.692	0.704
admired	հիացած	0.917	0.560	0.815
admirer	երկրպագու	0.796	0.720	0.650
admiring	հիացմունքով	0.867	0.578	0.629
admissibility	ընդունելիություն	0.802	0.580	0.602
admissible	ընդունելի	0.780	0.528	0.642
admission	ընդունելություն	0.802	0.415	0.732
admit	խոստովանել	0.538	0.423	0.667
admittance	ընդունում	0.690	0.451	0.598
admitted	խոստովանել է	0.720	0.490	0.767
admitting	ընդունելով	0.620	0.500	0.546
admixture	խառնուրդ	0.450	0.375	0.438
admonition	հորդոր	0.357	0.606	0.455
ado	Ադո	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	երիտասարդություն	0.487	0.694	0.444
adolescent	դեռահասը	0.781	0.680	0.509
adopt	ընդունել	0.694	0.612	0.701
adoption	ընդունում	0.625	0.566	0.589
adoptive	ընդունող	0.531	0.469	0.520
adorable	գրավիչ	0.969	0.519	0.457
adoration	երկրպագում	0.885	0.699	0.708
adore	սիրել	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	զարդարել	0.910	0.424	0.482
adornment	զարդարանք	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	ադրենալին	0.765	0.965	0.825
adrift	անպիտան	0.398	0.486	0.230
adult	մեծահասակ	0.815	0.491	0.787
adulterated	պոռնկությամբ	0.188	0.865	0.370
adulterer	շնացող	0.229	0.814	0.407
adultery	շնություն	0.120	0.922	0.510
adulthood	մեծահասակ	0.541	0.454	0.652
advance	առաջընթացը	0.673	0.472	0.858
advanced	առաջադեմ	0.844	0.623	0.797
advancement	առաջընթացը	0.776	0.650	0.839
advancing	առաջընթացը	0.929	0.608	0.812
advantage	առավելություն	0.917	0.548	0.859
advantageous	շահավետ	0.837	0.640	0.789
advent	գալուստը	0.665	0.560	0.627
adventure	արկած	0.917	0.857	0.710
adventurer	արկածախնդիր	0.781	0.839	0.868
adventures	արկածները	0.812	0.764	0.749
adventurous	արկածային	0.969	0.898	0.722
adversary	հակառակորդին	0.349	0.777	0.457
adverse	անբարենպաստ	0.323	0.610	0.385
adversity	դժբախտություն	0.276	0.760	0.538
advertise	գովազդել	0.500	0.529	0.580
advertisement	գովազդ	0.600	0.566	0.539
advertising	գովազդ	0.622	0.608	0.632
adverts	գովազդներ	0.551	0.500	0.595
advice	խորհուրդներ	0.698	0.408	0.688
advisable	ցանկալի է	0.867	0.480	0.510
advise	խորհուրդ տալ	0.760	0.393	0.705
advised	խորհուրդ տվեց	0.823	0.330	0.509
advisement	խորհրդատվություն	0.698	0.235	0.655
adviser	խորհրդական	0.745	0.362	0.705
advisor	խորհրդական	0.646	0.350	0.689
advisory	խորհրդատվություն	0.656	0.429	0.633
advocacy	քարոզչություն	0.500	0.646	0.731
advocate	փաստաբան	0.551	0.530	0.818
aegis	ավագ	0.490	0.439	0.462
aeration	օդափոխություն	0.550	0.500	0.433
aerial	օդային	0.615	0.461	0.463
aerobics	Աերոբիկա	0.708	0.771	0.627
aerodrome	օդանավակայան	0.541	0.740	0.678
aerodynamic	աերոդինամիկ	0.561	0.724	0.728
aerodynamics	աերոդինամիկան	0.590	0.663	0.722
aeronautics	ավիացիա	0.551	0.633	0.688
aeroplane	ինքնաթիռ	0.714	0.642	0.644
aerospace	ավիատոմսեր	0.643	0.520	0.779
aesthetic	էսթետիկ	0.708	0.442	0.526
aesthetics	գեղագիտություն	0.847	0.327	0.549
aetiology	էիթիոլոգիա	0.480	0.398	0.615
afar	հեռվից	0.396	0.373	0.358
affable	բարյացակամ	0.704	0.380	0.452
affair	գործը	0.520	0.459	0.657
affect	ազդում	0.458	0.569	0.578
affecting	ազդում	0.350	0.574	0.394
affection	սիրով	0.898	0.559	0.696
affectionate	քնքուշ	0.949	0.422	0.550
affections	ազդեցությունները	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	հղում անելով	0.469	0.584	0.526
affiliated	փոխկապակցված	0.673	0.519	0.535
affiliation	ա	0.615	0.594	0.500
affinity	սերունդը	0.800	0.500	0.537
affirm	հաստատում	0.745	0.509	0.731
affirmation	հաստատում	0.750	0.500	0.689
affirmative	դրական	0.854	0.589	0.816
affirmatively	դրականորեն	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	տառապանք	0.302	0.555	0.293
afflicted	տառապող	0.271	0.500	0.167
affliction	տառապանք	0.294	0.635	0.392
affluence	հարստություն	0.663	0.618	0.722
affluent	հարուստ	0.756	0.388	0.477
afford	թույլ տալով	0.571	0.580	0.575
affordable	մատչելի	0.840	0.398	0.493
affront	խաբեությամբ	0.327	0.740	0.547
affronted	ցնցված	0.385	0.750	0.527
afield	մի հատված	0.594	0.370	0.373
afire	կողքից	0.367	0.904	0.675
afloat	ջրի տակ	0.602	0.427	0.444
afore	Նախկինում	0.500	0.337	0.382
aforementioned	վերոհիշյալ	0.490	0.316	0.408
aforesaid	վերոհիշյալը	0.531	0.358	0.478
afraid	վախենալով	0.010	0.775	0.245
afresh	նորից	0.643	0.521	0.480
african	աֆրիկյան	0.490	0.423	0.555
aft	բարձրանալը	0.480	0.417	0.518
afterlife	հետո	0.571	0.567	0.568
aftermath	հետո	0.312	0.449	0.444
afternoon	կեսօրին	0.533	0.388	0.339
aftershave	հետաձգում	0.406	0.384	0.415
aftertaste	եթերից հետո	0.354	0.362	0.455
afterthought	հետո	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	ագատ	0.540	0.377	0.483
age	Տարիք	0.561	0.226	0.498
aged	տարեց	0.135	0.365	0.236
agency	գործակալությունը	0.460	0.296	0.583
agenda	օրակարգը	0.531	0.296	0.553
agent	գործակալ	0.480	0.439	0.755
agglomeration	ագլոմերացիա	0.450	0.765	0.509
aggravate	խորացնելը	0.224	0.770	0.464
aggravated	ծանրացվեց	0.079	0.760	0.430
aggravates	խորացնում է	0.108	0.778	0.357
aggravating	ծանրացնող	0.257	0.794	0.640
aggravation	ուժեղացում	0.071	0.784	0.613
aggregate	ագրեգատ	0.730	0.378	0.556
aggregation	միաձուլումը	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ագրեսիա	0.094	0.929	0.533
aggressive	ագրեսիվ	0.125	0.949	0.648
aggressively	ագրեսիվորեն	0.250	0.926	0.688
aggressiveness	ագրեսիվություն	0.077	0.913	0.648
aggressor	ագրեսոր	0.146	0.948	0.823
agh	Աղ	0.260	0.500	0.400
aghast	աղքատ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	արագաշարժ	0.800	0.657	0.775
agility	շարժունություն	0.720	0.702	0.815
aging	ծերացումը	0.214	0.255	0.284
agitate	խթանել	0.300	0.796	0.593
agitated	ցնցված	0.444	0.882	0.491
agitation	քարոզչություն	0.240	0.931	0.447
aglow	հովանավոր	0.780	0.510	0.797
agnostic	ագնոստիկ	0.306	0.396	0.574
ago	առաջ	0.317	0.280	0.404
agonizing	ցնցող	0.083	0.800	0.340
agony	տառապանք	0.083	0.775	0.393
agoraphobia	Ագարաֆոբիա	0.127	0.712	0.438
agree	համաձայնվել	0.906	0.260	0.545
agreeable	հաճելի	0.906	0.500	0.696
agreed	համաձայնեցին	0.797	0.449	0.574
agreeing	համաձայնեցնելով	0.854	0.480	0.557
agreement	պայմանագիրը	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	գյուղատնտեսական	0.686	0.321	0.473
agriculture	գյուղատնտեսություն	0.640	0.357	0.465
aground	տեղանքում	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	առաջ	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	օգնություն	0.796	0.491	0.541
aide	օգնական	0.724	0.342	0.434
aiding	օգնություն	0.643	0.533	0.569
aids	օժանդակ միջոցներ	0.561	0.480	0.500
ail	ընտանիք	0.375	0.434	0.385
ailing	հիվանդ	0.094	0.518	0.153
ailment	հիվանդություն	0.146	0.734	0.277
aim	նպատակ	0.481	0.569	0.567
aimless	նպատակասլաց	0.150	0.267	0.183
air	օդը	0.708	0.163	0.427
airbag	օդորակիչ	0.510	0.402	0.433
airborne	օդանավակայանում	0.542	0.519	0.385
aircraft	Ինքնաթիռ	0.646	0.644	0.691
aircraft carrier	ավիակիր	0.490	0.740	0.727
airfield	օդանավակայան	0.601	0.650	0.645
airhead	օդաչու	0.271	0.481	0.276
airlift	օդանավակայան	0.573	0.622	0.642
airline	ավիաընկերություն	0.650	0.482	0.688
airliner	օդանավը	0.667	0.777	0.647
airlock	օդանավակայան	0.398	0.520	0.447
airman	օդանավը	0.587	0.716	0.721
airplane	ինքնաթիռ	0.719	0.702	0.708
airport	օդանավակայան	0.729	0.684	0.682
airs	օդեր	0.583	0.196	0.370
airship	օդանավակայան	0.542	0.472	0.529
airspace	օդային տարածություն	0.562	0.510	0.640
airspeed	օդանավակայան	0.583	0.780	0.544
airstrip	օդանավը	0.550	0.690	0.649
airtight	հերմետիկ	0.479	0.381	0.570
airway	օդուղիները	0.638	0.585	0.482
aisle	միջանցք	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	ազգական	0.639	0.343	0.523
alabaster	ալաբաստեռ	0.542	0.404	0.445
alarm	ահազանգ	0.241	0.882	0.698
alarm clock	Զարթուցիչ	0.542	0.727	0.642
alarmed	անհանգստացած	0.188	0.822	0.492
alarming	ահազանգ	0.204	0.890	0.585
alas	ավաղ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	ալբատոսս	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	ալբոմ	0.635	0.349	0.453
alchemy	Ալքիմիա	0.541	0.583	0.693
alcohol	ալկոհոլ	0.323	0.667	0.377
alcoholic	ալկոհոլային	0.153	0.688	0.361
alcoholism	ալկոհոլիզմը	0.061	0.779	0.407
alcove	ալկով	0.490	0.340	0.356
alderman	ալդերման	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	զգոնություն	0.479	0.820	0.648
alertness	զգոնություն	0.375	0.875	0.750
alerts	ծանուցումներ	0.337	0.804	0.673
alfalfa	առվույտ	0.546	0.250	0.311
algebra	հանրահաշիվ	0.440	0.340	0.565
algebraic	հանրահաշիվ	0.531	0.412	0.441
algorithm	ալգորիթմ	0.448	0.394	0.559
alias	կեղծանուն	0.541	0.353	0.333
alibi	Ալիբին	0.396	0.528	0.556
alien	օտար	0.410	0.615	0.491
alienate	օտարել	0.247	0.500	0.523
alienated	օտարված	0.410	0.423	0.559
alienation	օտարումը	0.378	0.530	0.462
alight	ալիքը	0.667	0.657	0.605
align	շարել	0.656	0.364	0.627
aligned	հավասարեցված	0.583	0.275	0.553
alignment	հավասարեցում	0.643	0.412	0.683
alike	միեւնույն ժամանակ	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ալիմենտ	0.612	0.477	0.464
aliquot	Ալիկոտոպ	0.440	0.310	0.404
alive	կենդանի	0.816	0.637	0.731
alkali	ալկալի	0.490	0.350	0.408
alkaloids	ալկալոիդներ	0.433	0.562	0.402
allay	բոլորը	0.417	0.406	0.398
allegation	մեղադրանք	0.578	0.578	0.608
allege	ենթադրություն	0.418	0.482	0.587
alleged	ենթադրյալ	0.365	0.522	0.520
allegiance	հավատարմություն	0.917	0.398	0.750
allegorical	Ալեգորիկ	0.517	0.558	0.598
allegory	Ալեգորիան	0.615	0.580	0.509
allegro	Ալեգրո	0.635	0.627	0.453
allergic	ալերգիկ	0.135	0.549	0.273
allergy	ալերգիա	0.296	0.606	0.389
alleviate	մեղմել	0.869	0.270	0.528
alleviation	մեղմացում	0.735	0.200	0.491
alley	ալեհեր	0.347	0.500	0.355
alleyway	ալելիայով	0.357	0.471	0.382
alliance	դաշինք	0.696	0.473	0.769
allied	դաշնակից	0.714	0.245	0.642
alligator	թալիշը	0.354	0.704	0.645
allocate	հատկացնել	0.673	0.462	0.672
allocation	տեղաբաշխում	0.604	0.388	0.679
allot	հատկացնել	0.622	0.481	0.616
allotment	հատկացում	0.600	0.390	0.640
allow	թույլատրել	0.698	0.429	0.538
allowable	թույլատրելի	0.698	0.500	0.561
allowance	նպաստ	0.673	0.382	0.591
allowed	թույլատրված է	0.730	0.360	0.655
alloy	խառնուրդ	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	գաղափարախոսություն	0.804	0.585	0.686
alluring	գրավիչ	0.837	0.745	0.843
allusion	ենթադրություն	0.440	0.308	0.462
alluvial	ալուլյիվիա	0.323	0.490	0.491
ally	դաշնակից	0.792	0.320	0.688
almanac	ալմանակ	0.688	0.190	0.412
almighty	Ամենակարող	0.938	0.874	0.958
almond	նուշ	0.698	0.183	0.314
aloft	ալոֆտ	0.771	0.373	0.700
aloha	ալոհա	0.698	0.440	0.441
alone	միայնակ	0.333	0.167	0.216
alongside	կողքին	0.458	0.333	0.347
aloof	առանձին	0.189	0.423	0.302
aloud	բարձրաձայն	0.458	0.713	0.750
alpha	ալֆա	0.708	0.340	0.755
alphabet	Այբուբեն	0.562	0.204	0.672
alphabetical	այբբենական	0.537	0.296	0.535
alpine	ալպին	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	զոհասեղանը	0.724	0.387	0.635
altar boy	խորանի տղա	0.434	0.206	0.350
alter	փոխել	0.333	0.694	0.654
alteration	փոփոխություն	0.167	0.798	0.609
altercation	խառնաշփոթություն	0.170	0.806	0.500
altered	փոփոխված	0.255	0.765	0.500
alternate	այլընտրանքային	0.625	0.363	0.589
alternating	փոխարինող	0.480	0.494	0.542
alternative	այլընտրանք	0.628	0.373	0.631
altimeter	ալյումինաչափը	0.615	0.510	0.580
altitude	բարձրությունը	0.708	0.482	0.736
alto	ալթո	0.656	0.404	0.730
altogether	ընդհանրապես	0.833	0.324	0.644
aluminum	ալյումինե	0.449	0.280	0.434
alumnus	շրջանավարտ	0.633	0.368	0.422
alveolar	ալվեոլային	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	գործնականում	0.438	0.333	0.510
amalgamation	միավորում	0.406	0.470	0.531
amaretto	ամառետոն	0.543	0.551	0.375
amass	ամաս	0.552	0.465	0.465
amateur	սիրողական մինետ	0.469	0.500	0.409
amaze	զարմացնել	0.896	0.843	0.783
amazed	զարմացած	0.796	0.779	0.533
amazedness	զարմանք	0.827	0.872	0.510
amazement	զարմանք	0.750	0.800	0.639
amazing	զարմանալի է	0.906	0.837	0.849
amazingly	զարմանալիորեն	0.918	0.765	0.920
ambassador	Դեսպան	0.651	0.529	0.917
amber	սաթ	0.635	0.308	0.369
ambience	միջավայր	0.735	0.356	0.426
ambient	շրջապատը	0.625	0.360	0.582
ambiguity	անորոշություն	0.164	0.460	0.370
ambiguous	երկիմաստ	0.265	0.462	0.358
ambit	ամբիթ	0.479	0.380	0.386
ambition	ձգտումը	0.510	0.804	0.661
ambitious	հավակնոտ	0.484	0.821	0.717
ambivalent	երկչոտ	0.510	0.404	0.482
ambrosia	ամբրոսիա	0.571	0.452	0.480
ambulance	շտապօգնությունը	0.500	0.750	0.609
ambush	դարանակալ	0.281	0.830	0.500
ameliorate	բարելավելու համար	0.770	0.548	0.747
amen	ամեն	0.781	0.182	0.542
amenable	պատասխանատու	0.448	0.410	0.406
amend	փոփոխություն	0.688	0.406	0.658
amendment	փոփոխություն	0.531	0.459	0.606
amends	փոխում է	0.640	0.366	0.517
amenity	հարմարավետություն	0.750	0.327	0.574
amethyst	ամեթիստ	0.622	0.406	0.517
amiable	զվարճալի	0.847	0.290	0.483
